Title,Description,Keywords,sentence1,sentence2,sentence3,sentence4,sentence5
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Situation: Finding a dollar is better than finding a penny. 
","To understand the event ""Jane saw snakes at the zoo."", it is important to know that a zoo is a place where animals are kept for display and mating 
","A x-ray machine is a medical equipment 
","Humans have two feet 
","people can often pay their visa bills with a check 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a plastic in a recycling bin. 
","If you want to walk the dog then you should put the dog on a leash 
","a scale can representing the legal system 
","The effect of painting is paint on tarps. 
","Iron is a mineral. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Jane's mother died."", it is important to know that Jane is her mother's daughter 
","Petroica traversi, a member of the group Birds, is endangered 
","To understand the event ""Shane decided to spend the summer studying."", it is important to know that Stupid people have to attend summer school 
","Fentanyl is a powerful opiate-based anaesthetic. 
","One's ""available stimulus"" is what is literally surrounding that person in the moment. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""The cat chewed open the bag of cat food."", it is important to know that The bag contains cat food. 
","To understand the event ""Pam started to cry. Pam was at a funeral."", it is important to know that Pam was sad about the funeral. 
","Things that are often found together are: Girl, Sea, Beach 
","Similarity between a rubber and a train tracks: fun to use 
","You are likely to find a skin care article in a drug store 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""A mouse ate some cheese."", it is important to know that NEED TO SET A TRAP. 
","Bob has a very painful toothache. 
","a tree has leaves in summer. 
","You would run after the ball because it won't run after you. 
","A key ring or key holder with several keys may be found in most people's shoulder bag. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a passenger ticket around in airlport 
","In the event ""Helena does not know Alfred. As Helena passed Alfred in the hall, she smiled at him."", something that changed was Helena got to the other end of the hall 
","If you want to wash your clothes then you should agitate them with soap and water 
","The statement ""Red and yellow make orange"" helps answer the question ""Did you mix the colors?"" 
","The statement ""bringing suit requires a lawyer"" helps answer the question ""How can I obtain justice after my car accident?"" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something that might happen when you live a life is growing older 
","You are likely to find a museum wing in museum 
","learning a language is for translating written materials into a new language 
","Something you might do while going to a baseball game is eat hotdogs 
","A person does not want gridlock. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""Laws are the rules of a society"" is ""The rules of a society are encoded in laws."" 
","a newspaper can report that the weather changes 
","jesus christ teaches people not to kill 
","work would make you want to rest 
","You can use aluminum foil to bake things in. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you find outside is TREES 
","If you want to make an omelet then you should break some eggs 
","The effect of playing a game is scorekeeper is needed 
","Another way to say ""Some birds don't migrate in the winter."" is ""some birds stay home in winter"" 
","Plants can be kept on a patio. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Sometimes going for a haircut causes aggrevation 
","Situation: rain is good 
","Medical studies show that intelligent people have mor cooper and zinc in their hair. 
","Situation: We can maintain our own sense of well-being and avoid taking other people's problems personally. 
","If you want to go to a laundromat then you should not wear the clothes 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you might do while using a computer is make graphs. 
","Something you find in zimbabwe is trees 
","Some people are impressed by status. 
","masks can be used to hide peoples identities 
","To understand the event ""Sam went to climb a tree."", it is important to know that going up something is often called climbing 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","One of the things you do when you go for a spin is drive a car 
","A patio is a part of a structure that is semi-enclosed. 
","a person wants to be lazy sometimes 
","To understand the event ""Sam took the stairs to the second floor."", it is important to know that Sam probably walked down the stairs 
","Something you might do while visiting a museum is listen to a pre-recorded tour on headphones 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","orlando is part of florida 
","Something that might happen as a consequence of going somewhere is getting there 
","The common name for Dryocopus javensis richardsi is Tristam's woodpecker 
","more work would make you want to gather energy for tomorrow 
","You would pay by check because i haven't brought money with me 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","A subway is a train under the streets, connecting differents parts of the city 
","spartan juniper is a plant 
","There are two four o'clocks in a day. 
","old people can look stupid when they exercise 
","You are likely to find a necklace in a jewelry box. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","In the event ""Jeff gave the dog a bone."", something that changed was the dog is happy 
","Situation: There are two genders, male and female. 
","a computer program is a program that runs on a computer 
","picture description: Man proposing to bride on lawn 
","Something you might do while maintaining muscle strength is stretch 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","In the event ""Sarah bought a computer on the Internet."", something that changed was Sarah obtained a computer. 
","Situation: I am going to Kennedy Space Center with my friend Lloyd to see some astronauts 
","visiting a museum is for seeing the work of a renowned artist. 
","You would water a plant because you want it to live. 
","To understand the event ""Nibbles is a horse. Nibbles ate some grass."", it is important to know that the horse was named nibbles 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Santa wrote a list. Santa checked his list twice."", it is important to know that Santa is a made up being for children to believe in 
","If you want to go for a jog then you should start jogging. 
","You can use a baseball field to raise baseballs 
","A celebrity is associated with movies. 
","The removal of excess body fat is called lipectomy. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You can use a round trip ticket to take a vacation 
","To understand the event ""Lisa fell down the stairs. Lisa broke her ankle."", it is important to know that Lisa is a girls' name 
","when you are camping you stay overnight at a campsite 
","changing society is for those who understand that the oil will soon run out 
","Kinds of things you see outside : flowers 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","steve is naked 
","If you want to pretend then you should join a religion 
","Something that might happen as a consequence of stopping being married to someone is legal fees 
","Vladivostok is a city located in Russia 
","Somewhere something can be is computer 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""a person wants to learn new things."" is ""A desire of humans is to learn new things"" 
","To understand the event ""The catepillar turned into a butterfly."", it is important to know that A catepillar is an animal 
","A student can smoke a cigarette. 
","Another way to say ""A kettle is often made of copper."" is ""Copper metal is used in the making of some kettles."" 
","Situation: my right hand is sore. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","The teddy bear got lost. 
","a large city shopping mall is used for food courts 
","A sick person can take a remedy. 
","A top floor is the highest floor in a building. 
","selling your new book is for the fun of it 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you find in the newspaper is mind games 
","The sun could be used to generate cost effective electricity 
","Pashtoo is spoken in Afghanistan and Pashtoonistan. 
","To understand the event ""Mary read a book."", it is important to know that a book can be either fiction or nonfiction 
","The common name for Cervus eldi is Eld's brow-antlered deer 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You can use a first floor to contain your living room, kitchen and dining room. 
","Situation: I am learning the true meaning of courage 
","Bank machines are often in areas where you need to insert your bank card in a card slot to get into. 
","A nickname for Hawaii is Aloha State. 
","An activity someone can do is go to the bathroom. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Naiomi married her fiance."", it is important to know that Naiomi is a female 
","To understand the event ""Dale is a dentist. Dale pulled out Annie's tooth."", it is important to know that Annie's wanted her tooth to be pulled out. 
","Undercover police don't wear uniforms. 
","Situation: Running is good exercise. 
","Something that might happen as a consequence of surprising someone is the surprised person starts crying. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Leaves fell from the tree."", it is important to know that Leaves fall from the tree on autumn 
","To understand the event ""Violet is Jill's dog. Jill loves Violet."", it is important to know that Jill is a person. 
","Situation: I listen carefully when people talk to me. 
","To understand the event ""Mike is hungry. Mike went to the grocery store and bought groceries. Mike went home and cooked."", it is important to know that Cooking is preparing food to be eaten. 
","To understand the event ""Jill sent a letter to her congressman."", it is important to know that Jill is a female name 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","humans can't drink ocean water. 
","opening a gift requires tearing paper 
","an oboe is a wind instrument 
","Epioblasma obliquata perobliqua, a member of the group Clams, is endangered 
","a cat is a kind of animal 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something you need to do before you use a computer is to turn the computer on 
","eating quickly is for consuming your food at a rapid pace 
","If before you eat breakfast the situation is grogy, then afterwards the situation is likely to be awake 
","mary is poor 
","Mount Everest is the highest mountain on Earth. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something that might happen when you play ball is you get tired 
","flying in an airplane is for pilots 
","Something that might happen as a consequence of going to work is you go paid 
","Fear of disease would make you want to stay healthy 
","a stick eraser is for finger smudges 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Thought nobody is sure why, most people think mountains are beautiful. 
","a gallery is for selling art 
","To understand the event ""Harry bought an ice cream cone."", it is important to know that Ice cream is bought from shops or vans 
","video is a kind of data. 
","Something you find at the dentist is dental drills. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","You are likely to find a calendar book in my room 
","You are likely to find a calendar book in a briefcase 
","tortillas made of ground wheat are called wheat tortillas 
","a stage is used for giving stage hands work. 
","A human skeleton is made of many bones. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Seeing a dead cat would make you want to bury the cat 
","matches are used to light candles 
","a churchyard is for bride to throw the bouqet 
","Something you might do while learning a language is you read the manuals on the language 
","people can spread jam 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","If you want to hear the news then you should turn up the TV 
","To understand the event ""Jane saw monkeys at the zoo."", it is important to know that monkeys are rare in janes country 
","You are likely to find a menu in a restaurant, diner, coffeeshop, or snackbar. 
","buying food is for satisfying hunger 
","The story ""Drinking"" has the step ""I went out to the porch and sat on the swing."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""someone can be at a pet store."" is ""you could find someone at a pet store."" 
","Sometimes going to school causes an increase in a persons intelligence 
","The audience can hear an announcer. 
","Everyone votes for the candidate who picks them out to greet. 
","typing is a form of communication 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Bob ate a slice of pizza."", it is important to know that Eating is a process of breaking down (mostly) organic matter into a form usable by the body. The body has organs, ""autonomic"" biological processes, and inducements that make food a fundamental concern for consciousness. 
","a pew can be found in a church. 
","a corner shop is a shop on a corner 
","Something that might happen while reading to your children is they may ask questions 
","You would get wet because you enjoyed standing outside in the rain 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Hair usually covers a person's head. 
","dogs can have keen noses and can smell many things people can't smell 
","To understand the event ""Fred voted."", it is important to know that There was an issues on which Fred could express his view 
","a person wants to get a good night's sleep 
","a need for exercise would make you want to jump rope 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","inside a carseat is a metal framework 
","You are likely to find a key case in a purse 
","To understand the event ""Dwight was unhappy."", it is important to know that Something bad happened to Dwight. 
","You are likely to find a ticket box in a movie theater 
","Karl Marx replaced idealism with materialism. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","the topic 'vehicles' can does not contain these words: people, unicycle 
","Situation: use motivational messages 
","The statement ""A judge is in charge in a courtroom."" is true because A courtroom is a place where trials are carried out. 
","You are likely to find an album in a record store. 
","picture description: a person walking on a beach 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something that might happen when you sit quietly is a bright idea. 
","Something that might happen as a consequence of going to a sporting event is you stay out late 
","silk is used for clothing items. 
","To understand the event ""I built a snowman without wearing gloves. My hands got very cold."", it is important to know that snowman 
","If you want to open a bag of chips then you should be hungy 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""The dog ate our dinner."", it is important to know that We and the dog cannot both eat our dinner. 
","a dog is used for tracking an animal. 
","If you want to conquer your opponent then you should play video games 
","Having sex with the same gender. is for expressing love. 
","Many high school students have played a snare drum in high school bands 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Situation: Stick out your tongue! Are you healthy? 
","Another way to say ""sensors are used to collect information"" is ""The purpose of sensors is to collect information."" 
","If you want to make friends then you should show an interest in what other people care about. 
","riding a bicycle is for commuting 
","kim is afraid 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","George W. Bush can complete a sentence 
","Something that might happen when you sew is making clothing out of material. 
","God is one 
","To understand the event ""George felt lost. George meditated."", it is important to know that George has probably been taught how to meditate for the best results. 
","A trustworthy person can make a good friend 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""George has a lot of money. George will not give money to the poor."", it is important to know that A lot of money probably means much more than is required to meet George's needs. 
","homeless people are to be pitied 
","XML is a modern interchange format. 
","Situation: I am cleaning my ears with a Q-tip. 
","A person may spot an error after a while rather than immediately. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Another way to say ""France is for the preservation of french"" is ""The French want to preserve their language"" 
","Situation: We are one being, really. One thing. 
","hunting is the act of searching out wild animals and killing them. A gun is a tool used to kill animals 
","Orthalicus reses, a member of the group Snails, is endangered 
","the queen slept. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","If you want to eat dinner then you should get food 
","You are likely to find a soap in bathroom 
","a person doesn't want to worry. 
","Catagorizing broadly is to give one label to things that have many differences and some similarity. 
","If you want to wake up in the morning then you should set your alarm 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","A biped is a two-legged animal. 
","Conscious reality is accepting what is, NOW, not necessarily what has come before. 
","If you want to entertain someone then you should ask them out 
","losing weight requires excercise 
","person does not want to have a hair in their food 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","watching a musician perform is for calming down 
","a person wants to be thought of with kindness. 
","Something that might happen as a consequence of taking a walk is the dog will wag his tail 
","The statement ""a person wants entertainment"" is true because a person has the need to relax after a day's work 
","Something you find in a pantry is cans of food 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","We all need food 
","A prisoner was beaten, hooded, handcuffed, threatened, urinated on and kicked. 
","If you want to jump at the chance then you should take the opportunity given 
","a person wants to have inner peace. 
","Another way to say ""my roommate can cook dinner"" is ""The person that lives with me can cook dinner."" 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","a game is an activity providing entertainment or amusement 
","If before you kill someone the situation is plotting, then afterwards the situation is likely to be homicide 
","univesirties can honor students 
","Most city roads are paved. 
","Similarity between an electric razor and a suspension cable: metal 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Enhydra lutris nereis, a member of the group Mammals, is endangered 
","Something you find in the arctic is seals 
","playing a game requires a certain mindset 
","The effect of riding a bike is wheeling around. 
","You would see a band because you want to 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","Something that might happen when you play chess is promoting a pawn. 
","Psychology is the study of the brain and how it functions. 
","Another way to say ""Air is free."" is ""Air does not cost anything."" 
","Something you need to do before you buy fresh fruits and vegetables is find a grocer 
","Removal of the appendix is called an appendectomy. 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","People want to know who created them. 
","The statement ""You are likely to find a cow in a cow shed"" is true because A shed stores things. If you have a cow, a shed is a good place to store it. 
","something can be at peace with the universe. 
","You are likely to find a transformer close to utility pole 
","Something you find on your desk is a mouse 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","To understand the event ""Sarah bought a computer on the Internet."", it is important to know that Sarah probably used a credit card to buy the computer 
","You are likely to find a first class airplane seat in the front of a plane 
","You would thank someone because you want to thank them 
","a clothing store can be used for trying on and buying clothes 
","The western African hourglass drum is the most versatile talking drum 
"
Commonsense Validation and Explanation,"write five sentences, one correct statement; one against-common-sense statement which has similar language structure with the correct statement; one right reason to explain why the statement is against common sense; two wrong reasons for confusing.","common sense, statements, reasons","A positron has a positive electric charge. 
","gorilla is part of animal 
","A cauldron is black in color. 
","Scientists experiment with flame balls 
","If you choose the shortest queue, you will get into Billy's soccer game quickly 
"
