Title,Description,Keywords,id,sample_number_of_best_expl,premise,hypothesis,gold_label,which_gold,explanation_1,explanation_2
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_12,greedy,A lady in pink long-sleeved blouse is holding a pink bag in her lap as she reaches something to the guy next to her.,Lady in pink reaches to shake hands with man sitting beside her.,neither,1,"The lady is wearing a pink blouse, but that does not mean she is shaking hands with the man. She could be reaching for something else.",Just because a lady reaches something to the guy next to her it does not mean she reaches to shake hands.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_149,greedy,"Two children are looking through a telescope on a city street, and the boy is using a step ladder to see through the eyeglass.",Two children are looking through a telescope together at a city street.,true,1,"If two children are looking through a telescope, then they are looking through a telescope together.","""Two children are looking through a telescope"" is equivalent to ""Two children are looking through a telescope."""
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_96,greedy,The dogs run a race at the track.,People are betting on dogs at a track.,neither,0,The people are not necessarily betting.,"The dogs are running a race, but people are not betting on them."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_52,greedy,A girl climbing a chain link fence.,The girl falls from the fence.,false,0,A girl can't be climbing and falling at the same time.,The girl is not falling from the fence. She is climbing the fence.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_123,3,A bike is parked against a window to a store called Winter Sport where inside some people sit next to a computer and an older woman stands in the background.,"There is a computer with people seated nearby and a woman standing nearby them inside Winter Sport, which is a store with a bike next to it.",true,1,"Because there are people, a computer, and a woman inside Winter Sport, there must be a bike outside.","If the bike is parked against the store, the bike is next to the store."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_230,2,"A man with long red-hair, a brown shirt and plaid pants sells fruit in a market.",The man is intelligent,neither,0,Not all men are intelligent.,Selling fruit does not necessarily mean that a person is intelligent.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_116,greedy,A man wearing black pants rides along a concrete ledge on rollerblades.,The ledge is made of a hard substance.,true,1,"The man is riding on the ledge, and so the ledge must be hard.",concrete is a hard substance which the ledge is made out of.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_92,greedy,People standing in front of a gray building with a sign that reads' Tickets Available Here'.,The people are wanting to buy concert tickets.,neither,0,"Sentence 1 says tickets but does not specify what type of tickets, concert tickets, are for sale.","The people could be standing in front of a building for many reasons, not necessarily to buy concert tickets."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_203,greedy,People are on an escalator waiting to get to their destination while looking outside of the glass that makes up the wall.,People are taking the elevator.,false,0,Answer;People can either be taking the elevator  or be waiting for it,Escalators are not elevators.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_54,greedy,A white man taking a photo in front of water.,A man is taking a wedding photo in front of a pond.,neither,1,Taking a photo in front of water does not necessarily indicate taking a wedding photo.,We don't know what kind of photo the man is taking. It could be a landscape photo as easily as it is a wedding photo.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_118,2,A man wearing red sunglasses is carrying two cameras.,The man has two cameras.,true,1,"If the man is carrying cameras, this indicates he has at least two.",A man is carrying two cameras and he is wearing red sunglasses.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_109,greedy,A soldier using binoculars in a desert.,A soldier standing outside of a palace.,false,0,A palace cannot be a desert.,A soldier standing outside of a palace is not the same as a soldier using binoculars.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_28,greedy,"A man with medium length curly hair, wearing a button down shirt and bracelets, sings into a microphone while he plays a guitar.",A tall person with hair,neither,0,The man may or may not be tall.,A person with medium length curly hair is not necessarily tall.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_145,0,A man in a red shirt is sitting on top of a rocky mountain.,A man sitting on top of a mountain.,true,1,"If a man is sitting on top of a rocky mountain, he is on top of a mountain.","If a man in a red shirt is sitting on top of a rocky mountain, then a man is sitting on top of a mountain."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_169,greedy,Three men are sitting outside on chairs with red seats.,Men are having a conversation outside.,neither,0,The men could be sitting without having a conversation.,Men sitting outside does not necessarily mean they are having a conversation.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_48,greedy,A little boy in a black and red striped shirt walks down a grassy hill.,The boy is walking outside.,true,0,Grassy hills are located outside.,"If the boy is walking down a grassy hill, he is walking outside."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_162,2,Three women are dressed in ninja costumes.,The ninja costumes are black.,neither,1,"Just because they are dressed as ninjas, it doesn't mean they wear black. Black is far from the only color of ninja costumes.","Although most ninja costumes are black, we can't be certain that the costumes worn by the women are black."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_80,0,An older white woman makes cupcakes in her kitchen.,An old woman is baking.,true,0,And older woman is an old woman.,The woman is in her kitchen and is mixing the ingredients with a spoon.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_163,1,Twenty five people are marching.,A big group marches around.,true,1,"A group of people marching is a group marching around. There is no additional information needed to deduce the fact that ""a big group"" is marching around.",The group is big because there are twenty five people in the group.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_14,greedy,A woman in a white dress with a white umbrellas is giving something to a woman in dark blue.,A woman in white hands something to a woman in blue.,true,0,A woman in a white dress must be in white while a woman in dark blue must be in blue.,The woman in white is giving something to the woman in blue.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_47,3,A man and a child are laughing at each other.,A man is talking on the phone while his teenage son is asleep.,false,1,Just because a father and son are both laughing does not mean that the father is laughing while his son is asleep.,A person cannot be a child and a teenager simultaneously nor can a man be laughing and talking simultaneously.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_186,greedy,Family sitting down in a field of grass while others walk by.,No one is sitting in the field of grass.,false,0,a family sitting wouldn't be possible if no one is sitting,"If a family is sitting in a field of grass, then someone is sitting in the field of grass."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_233,1,A man working at the top of a telephone pole.,A man is checking the telephone wires.,neither,1,"Checking telephone wires is just one of the many things that a man doing work at the top of a telephone pole, so checking the telephone wires alone does not tell us what the man is doing up the pole.","He could be replacing them or installing them, not just checking them"
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_220,greedy,Two men stand on stairs with an assortment of chairs and a woven basket in the foreground.,The basket is woven.,true,1,"If the basket is woven, then it is woven.","If there is a woven basket, there is a woven basket."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_243,greedy,"A boy in an orange 'Spring Hill' ball team uniform, pitching the ball.",A boy pitches the ball.,true,1,A boy is pitching the ball.,pitching is just the present tense of pitches
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_10,3,A soldier using binoculars in a desert.,A soldier using binoculars searches for the enemy in a desert.,neither,0,Just because a soldier uses binoculars in the desert doesn't necessarily mean he searches for enemy.,"Using binoculars does not indicate that one is looking for an enemy, nor does it indicate that one is in a desert."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_39,greedy,A bald person in green clothing stands in front of a brick wall.,A hairy person naps.,false,1,A bald person is not necessarily a hairy person.,the person either has hair on their head or not.  Either they are hairy or bald not both.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_81,greedy,"An elderly man with glasses, a red ball cap and backpack is standing in front of an open doorway.",a man with glasses,true,0,A man with glasses is rephrased as man with glasses.,"The man is wearing glasses, and so he is a man with glasses."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_50,0,a blond woman kissing the cheek of a brown-haired man.,A man and a woman sharing a kiss on the cheek.,true,1,The same woman kissing on the cheek of a man indicates a man and a woman sharing a kiss on the cheek.,The man and woman are sharing a kiss because one of them is kissing the other person's cheek.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_164,0,A man gets a skateboard up on a big rock.,The rock is on a skateboard.,false,0,The skateboard cannot be on the big rock at the same time as the big rock being on the skateboard.,"The man did not get a rock on a skateboard, but rather a skateboard on a big rock. It would be impossible to get a rock on a skateboard becuase there would be nothing to add support to the rock."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_65,greedy,"In a snowy residential environment, a man with a brown jacket and gray mustache and beard places a hand on a felled log while another man in a blue shirt is blurry on the right side of the photo.",The log is for firewood.,neither,0,Not all logs are for firewood.,"The log could be for firewood, but it could also be for a number of other things."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_110,2,Man jumping up in the air and splitting his legs with his mouth open.,A man is jumping.,true,0,The man is doing exercise as jumping and splitting his legs and his mouth open to breathout!,The man is clearly jumping in the air.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_24,greedy,The child is hanging upside down with his legs over a pole.,There is an adult upside down.,false,1,"The child is upside down, but the adult is not.",A child is not considered an adult.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_35,greedy,A lit girl splashes around in natural water.,A girl splashes in water.,true,1,"If a girl splashes in water, then she splashes in water.","If a girl splashes in natural water, she splashes in water."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_49,greedy,Man in robe making designs on dirt ground.,A man playing in the sand at the beach.,false,1,"The man is not playing in the sand, he is making designs on the dirt ground.",You cannot be making designs and playing in the sand at the same time.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_75,greedy,An extreme mountain biker in mid-jump from underneath rider showing a blue sky.,An extreme mountain biker in mid-jump from underneath rider showing a red sky.,false,0,The sky is either blue or red.,A blue sky is not necessarily a red sky.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_99,greedy,The German shepherd runs happily in the park.,Dog runs outside.,true,0,German shepherd running implies a dog running.,"A German shepherd is a dog, and a dog running outside is running outside."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_117,greedy,A person dressed in a jacket and long pants walks down a snow-covered street in a small town.,The pants are new.,neither,0,The person dressed in jacket and pants walking down a street does not imply anything about the pants being new.,"The pants could be new, but they could also be old."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_185,greedy,A large group of protesters are walking down the street with signs.,Some people are holding up signs of protest in the street.,true,0,A large group of protesters counts as some people and protesters would be holding up signs for a protest.,"If a group of people are holding up signs of protest, then they are holding up signs of protest."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_122,greedy,Two girls in red life jackets lock oars on a river.,Two girls on a boat.,true,1,"Boats are usually on rivers, so if the girls are on a boat, they must be on a river.",lock oars on a river implies they are on a boat.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_131,0,A man is standing in the doorway of a building.,The man is walking into a room.,neither,0,standing doesn't mean walking,"Just because someone is standing in the doorway does not necessarily mean that he's walking into a room, it could be that he's there to prevent others from walking in."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_66,greedy,Several members of a community are celebrating with music and costumes during a festival or party.,People are celebrating with music and costumes.,true,0,Several members are people.,"If people are celebrating with music and costumes, then they are celebrating with music and costumes."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_195,greedy,Sexy young men stand on a balcony having a heated conversation.,The young men are in complete agreement.,false,0,People cannot be in a heated conversation and in complete agreement simultaneously.,Men can have heated conversations without agreeing with each other.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_143,greedy,A man is steering his ship out at sea.,A man is sailing to Cuba.,neither,0,"Because he is steering does not mean he is sailing, because he is at sea does not mean he is going to Cuba.","A man is not necessarily sailing to Cuba. He may be sailing to another country, or just sailing for fun."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_204,greedy,A young boy is playing in the sandy water.,A young boy is playing in the grass.,false,0,A person cannot be playing in the water and in the grass simultaneously.,"The boy is not playing in the grass, he is playing in the sand."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_87,greedy,Three men on mountain bikes go over a sand hill.,Men on bikes go over a sand hill to get to the finish line.,neither,0,The first sentence does not imply that the men on bikes are racing to get to the finish line.,"The men could be going over the sand hill for any number of reasons, e.g., they could be going over it to get to the finish line, but they could also be going over it to avoid a puddle, or to get to"
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_244,0,A young woman in tight pants talks to a man in the street.,A young gal in snug pants chats with a guy in the road.,true,1,"If a young woman in tight pants chats with a man, then there is a gal talking to a guy.",Gal is an informal term for woman; snug is another word for tight; to chat with someone is to talk to them; guy is an informal term for man; road and street are synonymous.
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_71,greedy,A crowd of people stand in street in front of a series of white tents.,A crowd of people stand in the street.,true,1,"If a crowd of people are standing in the street, then they are standing in the street.","A crowd of people stand in the street is literally the same as the beginning of the first sentence with only a ""the"" inserted: A crowd of people stand in street in front of a series of white tents."
"Given 2 explanations for a decision, select the best one.","This task will involve looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read 2 explanations for the label and select the best one.","natural language inference, explanations, AI, reading, interpretation",esnli_train_211,0,Two girls are kneeling on the ground.,Two girls stand around the vending machines.,false,0,one can not be kneeling and standing,Kneeling in the grass should have no connection to standing around vending machines.
