Title,Description,Keywords,event,neg_event,Answer.commentbox,Answer.otherppl,Answer.owant4a,Answer.owant4b,Answer.owant4c,Answer.owant4d,Answer.submitButtonTimer,Answer.xdo,Answer.xneed2a,Answer.xneed2b,Answer.xneed2c,Answer.xneed2d,Answer.xwant3a,Answer.xwant3b,Answer.xwant3c,Answer.xwant3d,Approve,Reject
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds it anywhere,PersonX cannot locate it.,{},no,{},{},{},{},34.064,yes,to lose it,to find it,{},{},to feel frustrated,to keep looking for it,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds it anywhere,PersonX cannot locate it.,{},no,{},{},{},{},29.709,no,{},{},{},{},to find out them,to clear them,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX often went,PersonX often avoided it.,{},no,{},{},{},{},18.514,no,{},{},{},{},to sleep,to take it easy,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX often went,PersonX often avoided it.,{},no,{},{},{},{},270.009,yes,to be around stuff she doesn't like,to make the decision to avoid those things,{},{},to take all of the things out of her place,make sure everyone else knows it,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds it anywhere,PersonX finds it nowhere,{},no,{},{},{},{},99.159,yes,to lose something,to start looking,{},{},to give up,to ask a friend for help,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds it anywhere,PersonX finds it nowhere,{},no,{},{},{},{},66.091,no,{},{},{},{},to stop looking for it,to try looking somewhere instead of nowhere,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX eats toast,PersonX goes on a fast.,{},no,{},{},{},{},73.309,yes,joins a religion,reads articles online about fasting,wants to lose weight,{},lose a few pounds,feel closer to God,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX eats toast,PersonX goes on a fast.,plan for meet some people.,no,{},{},{},{},61.738,yes,plan for host,best of the knowledge,{},{},get some food,going a tour,r,{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets more exercise,PersonX likes to sit on the couch all day,,no,{},{},{},{},34.758,yes,want to some rest,couch is very softy,{},{},plan to take some sleep,take some rest at couch,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets more exercise,PersonX likes to sit on the couch all day,{},no,{},{},{},{},16.055,no,{},{},{},{},to eat food,to exercise,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's ball,Personx lost Personx's ball.,{},no,{},{},{},{},20.967,no,{},{},{},{},to go next door,to ask for help,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's ball,Personx lost Personx's ball.,{},no,{},{},{},{},84.963,yes,identify the object,to have the object,{},{},find the object,retrieve the object,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys each other 's company,personx detests company,{},no,{},{},{},{},47.723,no,{},{},{},{},be alone,avoid others,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys each other 's company,personx detests company,{},no,{},{},{},{},18.302,no,{},{},{},{},to be alone,to find a quiet place,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX often went,PersonX never goes,{},no,{},{},{},{},26.889,no,{},{},{},{},get some rest,plan for eat a lunch,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX often went,PersonX never goes,{},no,{},{},{},{},21.608,no,{},{},{},{},to stay at home,to order food in,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets my license,PersonX refuses to fetch my license,{},no,{},{},{},{},51.067,yes,to go to work,to get dressed,{},{},get it themselves,talk to them,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets my license,PersonX refuses to fetch my license,{},yes,to express their anger,to express their frustration,yell at personx,{},47.639,no,{},{},{},{},to apologize,start a fight,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys each other 's company,PersonX hates each other 's company,{},no,{},{},{},{},34.373,no,{},{},{},{},to move to another room,to listen to some music,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys each other 's company,PersonX hates each other 's company,not an event,no,{},{},{},{},13.289,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens doors,PersonX breaks doors,{},no,{},{},{},{},16.151,no,{},{},{},{},to get out,to fix the barn,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens doors,PersonX breaks doors,{},no,{},{},{},{},56.701,yes,to find a door,to know they can break a door,{},{},find a new door,enter the room,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets my license,PersonX gives me my license.,{},no,{},{},{},{},8.493,no,everyone to be happy,to be considerate,{},{},satisfied,powerful,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets my license,PersonX gives me my license.,{},no,{},{},{},{},43.262,yes,plan for get license,license is very must one,{},{},license is good for us,going any places well,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's ball,PersonX loses PersonX's ball,{},no,{},{},{},{},44.896,yes,to take out the item,to start bouncing it,{},{},to ask their neighbor for help,to check in their closet,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's ball,PersonX loses PersonX's ball,{},no,{},{},{},{},147.546,no,{},{},{},{},to search the ball,to buy new one,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys life,PersonX hates life,{},no,{},{},{},{},22.511,yes,have bad experiences,be upset,{},{},make changes,get help,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys life,PersonX hates life,not an event,no,{},{},{},{},13.931,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes every effort,PersonX is lazy,,no,{},{},{},{},28.638,no,{},{},{},{},GET SOME KNOWLEDGE,GET SOME FRESH AIR,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes every effort,PersonX is lazy,{},no,{},{},{},{},25.578,no,{},{},{},{},to be fat,to sleep all day,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens doors,PersonX slams doors,{},no,{},{},{},{},91.174,no,{},{},{},{},show they're mad,get somewhere quickly,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens doors,PersonX slams doors,{},no,{},{},{},{},19.949,no,{},{},{},{},to throw a tantrum,to be angry,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car,PersonX can't find PersonX's car,{},no,{},{},{},{},32.88,yes,have a car,forget where the car is parked,{},{},look for the car,find the car,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car,PersonX can't find PersonX's car,{},no,{},{},{},{},43.633,no,{},{},{},{},to get some help finding the car,to continue the search,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets nervous,PersonX is confident.,{},yes,to applaud person x,to get away from the reckless driver,{},{},135.11,no,{},{},{},{},to demonstrate his roping skills again,to drive the car faster through the course,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets nervous,PersonX is confident.,{},no,{},{},{},{},17.729,no,{},{},{},{},remain confident,trust themselves,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys life,PersonX is miserable,{},no,{},{},{},{},28.948,no,{},{},{},{},to try and make new friends,to look into getting a hobby,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys life,PersonX is miserable,{},no,{},{},{},{},119.925,no,{},{},{},{},to be violent,to hate other,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes every effort,personX makes no effort,{},no,{},{},{},{},34.23,no,{},{},{},{},to stay rested,to be careless,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes every effort,personX makes no effort,{},no,{},{},{},{},64.047,no,{},{},{},{},to quit their job,to walk out,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car,PersonX's car is stolen.,{},yes,to flee the law,to abandon the car and run into the woods,{},{},56.566,no,{},{},{},{},to call the police,to get their car back,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car,PersonX's car is stolen.,{},no,{},{},{},{},138.049,no,{},{},{},{},to find the car,to complaint,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets nervous,PersonX gets confident,N/,no,{},{},{},{},32.24,yes,plan for work,plan from the work,{},{},get some fresh air,want to be alone,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets nervous,PersonX gets confident,{},no,{},{},{},{},10.304,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's doors,PersonX closes PersonX's doors,{},yes,thank personX,return the favor,{},{},24.597,yes,approach the doors,reach out for the doors,{},{},have the favor returned,be thanked,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's doors,PersonX closes PersonX's doors,{},no,{},{},{},{},42.015,yes,grab the handle,push it closed,{},{},open the door,have privacy,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's class,PersonX hates Person's class.,{},no,{},{},{},{},45.918,no,{},{},{},{},to rest,to mellow out,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's class,PersonX hates Person's class.,,no,{},{},{},{},25.913,yes,plan for meet some people,plan for meet some people,{},{},hate the people,good for friends,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lifts PersonY's leg,PersonX lifts PersonY's arm,{},yes,to go home and rest,to take pain medication,{},{},56.659,no,{},{},{},{},to put their arm in a sling,to bandage them up,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lifts PersonY's leg,PersonX lifts PersonY's arm,{},yes,to get up,,{},{},67.544,no,{},{},{},{},help PersonY up,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car keys,PersonX loses PersonX's car keys,{},no,{},{},{},{},55.846,yes,has car keys,misplaces car keys,{},{},looks for car keys,calls a locksmith,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car keys,PersonX loses PersonX's car keys,{},no,{},{},{},{},93.624,no,{},{},{},{},to find keys,to start the car,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets on PersonX's feet,PersonX avoids touching PersonY,{},no,{},{},{},{},7.885,no,{},{},{},{},to be mean,to express negative feelings,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets on PersonX's feet,PersonX avoids touching PersonY,{},yes,to rub on personx,to molest personx,{},{},24.264,no,{},{},{},{},to keep themselves clean,to avoid the smell,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's class,PersonX hates PersonX's class.,{},no,{},{},{},{},9.636,no,{},{},{},{},to be unfocused,to not care,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's class,PersonX hates PersonX's class.,plan for meet some people,yes,did not refuse the class,get some goods in class,{},{},59.69,yes,plan to get class,class to go and study,{},{},study is very bad,go to the class regular,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes friendship bracelets,PersonX doesn't do craft hobbies,{},no,{},{},{},{},45.482,no,{},{},{},{},to be boring,to play sports instead,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes friendship bracelets,PersonX doesn't do craft hobbies,{},no,{},{},{},{},20.194,no,{},{},{},{},do other things,find something else enjoyable,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights a candle,PersonX lights a cigarette,{},yes,PersonX to quit smoking,to open windows for fresh air,{},{},97.847,yes,to get a lighter,to get cigarettes out of pocket,{},{},to take a breath mint,to drink some more coffee,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights a candle,PersonX lights a cigarette,{},no,{},{},{},{},81.18,yes,to buy cigarettes.,pull out lighter.,{},{},to smoke cigarette.,put out cigarette.,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's doors,PersonX closes PersonX's doors.,{},no,{},{},{},{},129.923,no,{},{},{},{},to be alone,to sleep,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's doors,PersonX closes PersonX's doors.,{},no,{},{},{},{},56.098,yes,find doors,walk to doors,{},{},walk away from doors,find something else to do,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car keys,PersonX hides PersonX's keys.,{},no,{},{},{},{},24.836,no,{},{},{},{},to avoid a break in,to keep their roommate from snooping,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's car keys,PersonX hides PersonX's keys.,{},no,{},{},{},{},157.05,no,{},{},{},{},want to find key,be carefulll,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's night,PersonX hates PersonX's night,{},no,{},{},{},{},50.961,no,{},{},{},{},to be roam,to work in day,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's night,PersonX hates PersonX's night,{},no,{},{},{},{},33.674,no,{},{},{},{},to find something else to do,try something different,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets on PersonX's feet,PersonX gets on PersonX's nerves,{},no,{},{},{},{},50.765,yes,to have low self esteem,to not like themself,{},{},to improve,to be less annoying,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets on PersonX's feet,PersonX gets on PersonX's nerves,{},no,{},{},{},{},29.488,no,{},{},{},{},to relax,to spend time with people,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights a candle,PersonX extinguishes a candle,,no,{},{},{},{},41.693,yes,plan for cake cut,plan for celebration,{},{},get a candle clearly,cut the cake good,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights a candle,PersonX extinguishes a candle,{},no,{},{},{},{},22.928,no,{},{},{},{},to put out the candle before bed,to leave the house,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes friendship bracelets,PersonX makes one bracelet.,,yes,enjoy a lot at time,bracelet is looks good,{},{},65.722,yes,plan for gift product,plan for go to jewellery,{},{},get a good bracelet,plan for a diamond bracelet,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes friendship bracelets,PersonX makes one bracelet.,{},no,{},{},{},{},53.708,yes,to get out the beads,to cut the ends of the string,{},{},to set up an online store,to pack the jewelry as gifts,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets paint,PersonX gets wood,{},no,{},{},{},{},20.895,no,{},{},{},{},to start a fire,to get fuel,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets paint,PersonX gets wood,{},no,{},{},{},{},15.763,yes,find wood,go to where the wood is,{},{},have a fire,build something,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's daughter,PersonX abandons PersonX's daughter,{},yes,call the person her daughter is with,look for her daughter,{},{},127.134,yes,hate the person daughter,have an urgent call to answer,{},{},go back to his house,call the mother to com for her daughter,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's daughter,PersonX abandons PersonX's daughter,{},yes,to find them,to sue for child support,{},{},55.494,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's legs,PersonX closes PersonX's legs.,{},no,{},{},{},{},17.346,no,{},{},{},{},to be modest,to change clothes,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's legs,PersonX closes PersonX's legs.,{},no,{},{},{},{},49.704,no,{},{},{},{},to cause friendship,to be friendly,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights another cigarette,PersonX hates smokers,{},no,{},{},{},{},86.904,no,{},{},{},{},to avoid smokers,to make friends with non smoker,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights another cigarette,PersonX hates smokers,not an event,no,{},{},{},{},13.286,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes it through the day,PersonX falls into a coma,{},no,{},{},{},{},23.603,no,{},{},{},{},to be alive,to come off oxygen,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes it through the day,PersonX falls into a coma,{},no,{},{},{},{},111.408,yes,take drugs,fall asleep,{},{},be revived,begin recovery,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's daughter,PersonX lost PersonX's daughter,{},yes,to find their mother,,{},{},30.022,no,{},{},{},{},to find their daughter,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX finds PersonX's daughter,PersonX lost PersonX's daughter,{},no,{},{},{},{},20.295,no,{},{},{},{},mourn the death,be depressed,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's night,PersonX is miserable during PersonX's night.,{},no,{},{},{},{},75.48,yes,to be physically present,to be uncomfortable,{},{},leave,go to sleep,do something else,{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonX's night,PersonX is miserable during PersonX's night.,{},no,{},{},{},{},23.889,no,{},{},{},{},sleep,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes it through the day,PersonX dies during the day,{},yes,to know cause of death,to sympathize,{},{},136.006,no,{},{},{},{},to go to heaven,to rest forever,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes it through the day,PersonX dies during the day,{},no,{},{},{},{},21.928,yes,be alive,,{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets paint,PersonX gives paint,{},no,{},{},{},{},34.541,yes,to have paint,to be near someone who needs paint,{},{},to get rid of more paint,to go back home,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets paint,PersonX gives paint,{},no,{},{},{},{},22.833,yes,get paint,,{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's legs,PersonX tightens PersonX's legs.,{},no,{},{},{},{},16.787,no,{},{},{},{},to go pee,to sneeze,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonX's legs,PersonX tightens PersonX's legs.,{},no,{},{},{},{},59.778,no,{},{},{},{},to keep their legs toned,to make sure they are in good shape,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights another cigarette,PersonX puts out a cigarette,{},no,{},{},{},{},59.124,yes,have a cigarette,light a cigarette,{},{},light another cigarette,quit smoking,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights another cigarette,PersonX puts out a cigarette,{},no,{},{},{},{},22.419,no,{},{},{},{},throw it away,stomp it,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes lemonade,PersonX separates lemonade ingredients.,,no,{},{},{},{},40.413,yes,PLAN FOR THE COOKING,PLAN FOR COOK LEMONADE,{},{},SEPERATE FROM THE LEMONADE,BEST OF THE FOOD,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX makes lemonade,PersonX separates lemonade ingredients.,{},no,{},{},{},{},49.421,yes,gather the ingredients,determine which ingredients go together,{},{},make lemonade,get more ingredients,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonY's class,PersonX hates PersonY's class.,{},yes,talk to PersonX,give PersonX a poor evaluation,{},{},62.785,yes,sign up for the class,attend the class,{},{},talk to his friends about the class,drop the class,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX enjoys PersonY's class,PersonX hates PersonY's class.,{},yes,to expel person x,to punish personx,{},{},46.442,no,{},{},{},{},to drop  out,to take a different coure,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets PersonX's belly button pierced,PersonX doesn't wear any jewelry,{},no,{},{},{},{},24.661,no,{},{},{},{},buy jewelry,go shopping,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX gets PersonX's belly button pierced,PersonX doesn't wear any jewelry,not an event,no,{},{},{},{},15.073,no,{},{},{},{},,,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights PersonY,PersonX turns the lights off on Person Y.,{},yes,to run out of the room,to mace personx,{},{},51.084,no,{},{},{},{},to scare persony,to rape persony,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX lights PersonY,PersonX turns the lights off on Person Y.,{},yes,to scold personX,to trick personX,{},{},48.641,yes,to know personY,to find the room personY is in,{},{},to run away from personY,to trick personY again,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonY's doors,PersonX bars the door shut.,{},no,{},{},{},{},50.823,no,{},{},{},{},to lock out their parents,to protect themselves,{},{},,
Describe People's Previous/Next Actions Based on a Given Event,Describe the previous/next actions people take given an event,annotation,PersonX opens PersonY's doors,PersonX bars the door shut.,{},no,{},{},{},{},21.924,yes,get something to block the door,shut the door,{},{},get the door open,keep others out,{},{},,
