Title,Description,Keywords,context,doc_id
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We have a large front porch and I have wanted a swing and rocking chairs for it for as long as we have lived in our house . This week , I got both ! Hub got the swing up tonight , and I had to go try it out . The only reason I am inside now is because the mosquitoes were so bad I thought they were going to carry us off .",Blog_445068
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Today , I got the craving for some beer again . I drove down to Corridor Fine Wines and picked up 49 beers ( singles , of course ) . Today , I got the craving for some beer again .",Blog_666187
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He asked , "" So , you guys get into any sort of MMO ? "" I started to formulate something about WoW and Second Life , but then he continued , "" Like Eve ? "" I was kinda stunned . I 've been playing Eve for 4 years and never in my life expected to find some guy in a random cafe to just up and ask me if I played Eve .",Blog_223390
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The train got to San Jose on time , and we got going on time . I only had some one sitting next to me till Oakland , so far so good . But once I was by my self I decided to try to read , it was too dark . I tried to work on the blanket I 'm making , still to dark and gave me a headache .",Blog_539306
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The bill , H.R. 6049 , also would create a new investment tax credit for purchases of small wind systems used to power homes , farms and small businesses . Next , the bill must be approved by the full House of Representatives in a vote late this week . Once again , your voices are crucial in order to clear this final hurdle before Congress adjourns at the end of September .",Blog_1515919
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The TV area , where we waste time with video games ! Nice little tiny PS2 . Nathan with the Guitar Hero guitar we bought for multiplayer . And yes ... Those are Gym badges from Pokemon that we put on the guitar .",Blog_655335
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So , we 're now the proud owners of a 7 ft pool table that cost us 10 % of the asking price ( thank you Internet ! ) . The story goes , it was owned by someone who barely used it then probably dropped dead of a cocaine overdose . The person who inherited it gave to his Father who then lost his house . So , after a complicated turn of events it ends up in my hands .",Blog_371070
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Oh , I have to admit , another highlight is having the pool to ourselves for an hour after closing time , if we wanna go for a swim or anything . I normally use this to my advantage . There 's just something about taking a swim in a deserted pool , after closing time , completely alone in calm , non - crowded water . It clears my head , and means that I can sleep easy when I get home . There 's always a lot of things going on inside my mind .",Blog_1275847
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Well , I am hanging out in my room and i am also cleaning up my room as well because it 's totally a mess and everything and i am like i ca n't have that if you know what i mean . I am just having some fun in my room just being myself and not caring about the whole world and what they all think about me as i am me and only me and i know how to have my own fun if you know what i mean . I never think about what people want to hear from me and everything .",Blog_1326244
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","With all the rain that we had this spring and early summer all the crops around here have done great . It 's beautiful driving in the country and looking at all the lusciously green fields of beans , corn , etc . Tonight I picked up Dana from a swimming party and was dropping off her friend and passing by all these lovely fields of corn . Brooke was in the car and pointed out the window and said "" Oh my ! That grass is tall ! """,Blog_289397
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He picked them up and said , "" No , take it . "" I said , "" No , I ca n't today . I 'll come back tomorrow . "" Then he pulled some change out of his pocket , counted it , picked up the clothespins again , and said , "" No , take it . "" With 500 meticais in my wallet , I certainly could not accept him buying my clothespins with half or possibly all of his day 's earnings . But I also did n't want to discourage his generosity or squash any of his pride .",Blog_477676
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Also , there were several exposed thongs and fishnet body suits . It was funny at first . "" Whore - onto "" was the term we coined , but as with the institution of prostitution , in general , it was pretty sad .",Blog_1086791
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Thanks DVD people . Then I saw a preview for The Clique movie , which is coming out on DVD this fall . When I first heard about it , I was going to watch it since I was a Clique fan but after seeing this preview , I will pass . I knew since it was going straight to DVD without going to the theaters that this movie was going to blow , but good God , this movie is like a trainwreck waiting to happen .",Blog_995164
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Blow after blow rains down on me and I try to hide inside my head until it is over . He was really wound up this night and started to break some of the dishes in easy reach . When his reign of terror is done he grabs a beer and heads for the living room to watch television .,Blog_298027
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","At the dawn of day , the first witnesses were shocked : Our Lady 's hand was missing and her nose marred , disfiguring her face . What overwhelming hatred ! Who could have something against Our Lady if not the one whose head she crushes with her heel ?",Blog_1412995
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He basically went into training , studying with a good friend who did make the line and then with an accomplished quad teacher . ( I still have n't figured out why they are called quads when there are five drums on the rig . ) He practiced while awake and in his sleep . He used his fingers to practice while sitting at the kitchen counter or while stopped at traffic lights ; he used chopsticks waiting for meals at Chinese restaurants , wooden spoons while making chocolate chip cookies , well , you get the picture . I am very happy to report that his dedication and hard work paid off .",Blog_82164
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It was totally automated and it frustrated me and so when I got home I decided that I was going to get a completely manual camera and I bought this interesting Chinese made twin lens reflex camera - an old fashioned camera that you used to see in the 1950 's . I started making pictures with it and because of that , I became interested in fine art photography . Soon after that , I went to a bookstore and I got a book of photographs by Edward Weston . The book actually changed my life .",Blog_1376858
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Mind - blowing daughter - mom lesbian games , where lustful moms lure their e on , let s open the door into the world of cartoon porn , where mature sophisticated ladies . Website features more mature women who are very sophisticated love pussy , and they really do heavy on more "" lesbian my favorites ; this site in unlike any other asian porn . Porn previews - best xxx sites on !",Blog_1330176
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","First off I 'm in a secret stocking swap on Splitcoast . It started out as a Christmas in July sort of thing but has been extended to October . Anyway , despite that Christmas seems to show up in stores earlier and earlier each year I could n't find a stocking . So , I decided to make my own .",Blog_1148777
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The annual State Employee Charitable Campaign begins with a picnic hosted by President Gretchen M. Bataille on Oct. 1 . The picnic will be from 11:30 a.m. to 1:30 p.m. on Library Mall , and will feature music and a $ 5 box lunch , with $ 2 of the price donated to the campaign . The campaign gives employees an opportunity to make tax - deductible donations to charitable programs . There are more than 400 programs to choose from , such as Community Shares of Texas , Black United Fund of Texas Charities , Christian Community Charities and Neighbor to Nation .",Blog_378160
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Let 's explore ... For starters , Italy is one of those places where light enters the world at a magical angle . I 'll never forget the first time I arrived in Rome : a cab whisked me into the city at about 9 am on a September morning , and the Colosseum was bathed in a golden misty sunshine like I 'd never seen before . The whole country is like that , and that quality of light affects our perception of color on landscape and architecture .",Blog_97711
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Now i have no idea what to do because he is always on my mind and i just ca nt get him off . What should i do ? I will see him again on New Years but he is bringing his girlfriend up with him .,Blog_1371539
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","That fact really makes me want to renew my efforts to do everything I can to be a productive part of Second Life . Then there was my personal reasons for attending . I met some of the people I knew from SL , most notably my good friend August . If nothing else had come from the trip , that alone would have been worth everything I did to get to Tampa .",Blog_1320226
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",While I did okay today there were times I just wanted to roll up in a ball and hold my stomach . I go back to work in 4 days and I need to be able to function normally . Filing I think is going to be awful . Bending down is n't working well for me .,Blog_240415
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",I randomly got a text from Monique saying she was in town and around the area ! She met us there and the three of us spent the night enjoying each other 's company ... our new husband ? and the two wives .,Blog_396461
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",So the next time I 'd take the picture I 'll be 24 . Oi man I am antsy . My appointment is at 12:15 . I think my mom told me that we 'll be waking up at 10 .,Blog_883352
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","When its handler turned her back for a moment , a man darts from the median , jumps into the still - running ride , and peels off heading East on Front Street . In the video , you see the security team member wheel the new KITT off the flatbed truck and then exit the car ( still running ) to return to the truck . With the door still open , some impulsive car thief ran out and hopped in the car and took off .",Blog_1435707
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I was probably just getting to that age where I did n't really want to listen to what adults told me to do anymore . Whatever it was , it probably was n't long after that that I quit playing soccer . Some friends in school ( bad influences ? )",Blog_1456098
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I wanted SO BADLY to yell out that line from the Lion King , "" Stampede ! In the gorge ! ! "" You might think that would be something easy to keep on the inside of your brain .",Blog_1017987
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I woke up at 6 this morning to take dad to the airport , and then drove back to his house and slept some more . Scott wanted me to call him around noon if the weather was alright to see if I could work today . Well , Josh called me before noon , and I 'm thinking , this could be a long pointless phone call that could end up costing me sleep and money .",Blog_244833
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Pizza Port is a fun restaurant that specializes in pizza and beer . The pizza is definitely "" Southern Californian "" style . Where else can you get a Lahaina Pizza ( with pineapples and Canadian Bacon ) , Solana Pizza ( shrimp and clams ) or Margherita Pizza ( basil , tomatoes , and olive oil ) ?",Blog_1041796
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I tell the driver he should change his sign to say "" Queen 's Quay and Spadina "" . This is the odd part : he claims he was told to turn back at Queen 's Quay , but to leave the sign saying "" Union Station "" . He shrugged and drove off .",Blog_1279619
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Then Ciara and I decided to go see Tropic Thunder at the movie theater while Nicole and Monica were going to stay behind and do karoake . Ciara and I get to the movies and the box office was closed , the dude said it closed 10 minutes before we got there . : ( So we decided to go get milkshakes at McDonald 's only to realize it was the opposite way we were going . So we settled for Burger King , who as we waited at the drive thru said they were n't taking any more orders .",Blog_1015086
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The Princess is n't really related to me , and she is n't really a princess . She walked into my first grade classroom , a scared , but determined , 6 year old , and I fell in love instantly . It 's almost 6 years later - she 'll turn 12 in April - and I still love her to pieces . She 's so level - headed , she thinks linearly , as I do , but she is so different in other ways .",Blog_315045
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Stop saying that word ! Anyway , I quickly had to produce a post . So I thought I 'd discuss why I wrote what I wrote without saying the "" n "" word . Basically , I wanted to conduct a little experiment .",Blog_172436
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","From the "" Signs of Armegeddon "" file comes a very bizzare dream I had the other night in which I found myself walking through Halifax , Nova Scotia being followed down the street by a violent goose . The dream was odd being that it was so random . First off , I had never been to Halifax , but I knew for sure that I was there in my dream ... I just simply knew it !",Blog_861946
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We just got back from a quick trip to New Jersey . We found out last week that there were cheap flights from Cincinnati to Newark , so we jumped at the chance to go and visit Jackson 's cousins . The only person who knew we were coming was Dave 's dad . We were able to fully surprise his mom , sister , brother - in - law and their kids .",Blog_968779
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Stupid man . I work out daily - rain or shine , no matter what - when I have n't worked out because I 'm in such pain - it 's a pretty good indicator that all is not right in my world . Back the hell off unless you have a nice mug of tea and you 've run me a bubble bath .",Blog_515804
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",The neighbor kids were shooting baskets Monday on a glorious summer night . The basket was set up on the curb and they were playing in the street . They were n't being loud and were simply engaged in a game of 2-on-2 .,Blog_955893
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",And I wanted to read . But I did n't read so I just grumbled and moaned and whined and wished I had something to do . So I listened to Modest Mouse and eventually feel asleep . My bed is on the floor .,Blog_736740
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Yamapi exclaims and bows again . They talk a bit more about the DVD and Yamapi says thanks again and then they part ways . Everyone in the room found it odd that Yamapi has n't spoken at all and the meeting was already halfway through . He was also wearing this really odd bonnet .,Blog_1180009
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So , I ve spent one week in Portland and I arrived in Seattle like 5 hours ago . What have I been upto ? Well , basically a lot of D / s play ( I have my own collar now ! )",Blog_437232
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I was doing a verbal fill - in - the - blank verb conjugation exercise and forgot what I was doing midsentence and just started reciting random other questions ' answers . My class laughed when I said , "" sorry , I forgot where we were "" since I 'd forgotten while I was saying it . I have a very bad short and long - term memory too for the most part , and they 've gotten worse since Lamictal and Wellbutrin , although they were already getting really bad really quickly when I was 18ish . At the same time though , I can remember some things in perfect detail ( which is part of why I can get away with taking French 2 , 3 , and 4 at the same time ) .",Blog_1540565
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Oddly , my lap times were .6 seconds faster the second session . The third session everything came together . I dropped 7 seconds and was definately moving a lot faster . I really picked my vision up and felt like I could have gone quite a bit faster .",Blog_258938
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I slip out of the corridor and down to the library . I did n't have any real reason to be in the vast library ; I did n't need a book for any of my assignments . I merely wanted to get away from that corridor and my brothers ; the four story building I had taken refuge in had old oak floors and wooden pillars , every wall was lined 7 feet high with books .",Blog_1564122
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","And Jesus went out , and departed from the temple : and his disciples came to him for to shew him the buildings of the temple . 2 And Jesus said unto them , See ye not all these things ? verily I say unto you , There shall not be left here one stone upon another , that shall not be thrown down . 3 And as he sat upon the mount of Olives , the disciples came unto him privately , saying , Tell us , when shall these things be ?",Blog_824683
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Jeff and I were very fortunate to have our good friend ( and my maid of honor ) come visit us . Susie took the summer off to travel all over the world . Before landing in West Africa , she had traveled to Indonesia , Thailand , Japan , China , Hong Kong , Spain , and England . Susie arrived in Accra , Ghana on August 4th where Jeff and I picked her up from the airport .",Blog_490067
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","PDI presentation went surprisingly well ; the tutor praised my innovation and was amazed that I could come up with a completely new idea in less than a day . Previously , I emailed him that I would be basing my innovation on a baby bottle , but changed my mind at the very last minute . Miss P.A has n't changed one single bit .",Blog_208089
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It 's apparently going to be an LA tradition for me to buy gay books . One is a collection of gay stories like the one I got last year , although this one is bigger . I think the picture on the front might even be the same picture , but I do n't think the stories are the same ( although there might be a duplicate ) . I also got a book of fairy tales retold with gay characters .",Blog_637097
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I love LOVE this little print and will be hanging my very own copy here in my little studio very soon . AND I managed to get most of my website back up and running yesterday so you can check it out again by clicking the portfolio link over there to your right . AND thanks to the lovely suggestions and my own research I finally decided on this little guy for my new digital camera : I got a super - great deal on Ebay and it arrived on Thursday , so portable and tiny and cute and very make able to take excellent pictures . It 's now tucked safely away in it 's cute hedgehog pouch in my purse for easy inspiration pictures .",Blog_1275545
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","On Saturday I spent an hour as a life guard . I was shadowing the duty manager , so do n't worry I was not actually on life saving duties ... . I was there on a session where 4 other life guards were on duty so I did not detract one bit from their primary role . The session was the large inflatable session .",Blog_483073
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I wanted to loss some weight as I gained weight about 10 lbs . and mostly of my skirts , dresses , shirts and shorts do n't fit well anymore and I have some good clothes . One time , I tried on some of my clothes but I am annoyed since they are little for me now . It makes me gained weight by just sitting in front of my computer and not doing exercise .",Blog_696242
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Hi please look at my previos post and now for my question this may sound starnge but like my other question when i turn on power then press buttton it wo n't switch on so later at night i asked my dad if u used the pc he said yes it was working . So next morning i tried again no power again and it worked at night this so strange why is that happning ?,Blog_1362420
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I participate in an online Breast Cancer support forum . It has been an immense help to go back and forth with other women my age who are going through treatment . The forum boards can be deadly serious , wildly crazy , political , hilarious .... like just about any internet forum with little moderation . Over the past week , one of the posters on the forum wrote that her 3-year - old son had died during Hurricane Ike along with his father , her ex . The boards overflowed with an outpouring of support and sympathy for her .",Blog_377804
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Connecticut , we are anticipating a heat wave this week , so i look forward to cooling off hydrocodone prescription tamsulosin hci diclofenac gel lo ovral ativan usage diovan side effects . Reach the adult stage of their life , where they fly off oxycontin online without prescription diovan medicine ortho albuterol svm prevacid and low blood pressure weening off norvasc . Osaka univ , citizen plan to develop mini soccer robots phentermine online celebrex cardiovascular side effects weening off with free shipping fexofenadine oral liquid altace diovan . Another fecking infected bite on my arm currently that i m trying not to itch , and trying to get not get pissed off about certain things or i ll just stress myself out silly .",Blog_1378075
