Title,Description,Keywords,context,doc_id,Answer.noqu,Answer.q1_types,Answer.q1correct,Answer.q1correct1,Answer.q1incorrect1,Answer.q1incorrect2,Answer.q1incorrect3,Answer.q2_types,Answer.q2correct,Answer.q2correct1,Answer.q2incorrect1,Answer.q2incorrect2,Answer.q2incorrect3,Answer.question1,Answer.question2
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","We have a large front porch and I have wanted a swing and rocking chairs for it for as long as we have lived in our house . This week , I got both ! Hub got the swing up tonight , and I had to go try it out . The only reason I am inside now is because the mosquitoes were so bad I thought they were going to carry us off .",Blog_445068,,q1_type1_,They got a swing.,They got some rocking chairs.,They got rid of the mosquitoes.,They got some mosquito nets.,They got a spray for the mosquitoes.,no_answer,{},{},{},{},{},Why is the narrator suddenly even happier with their home?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Today , I got the craving for some beer again . I drove down to Corridor Fine Wines and picked up 49 beers ( singles , of course ) . Today , I got the craving for some beer again .",Blog_666187,,q1_type1_,I wanted some alcohol.,{},I wanted some wines.,I wanted 49 cases of fine alcohol.,I needed to get there before they ran out of beer.,no_answer,{},{},{},{},{},What may be your reason for driving to Corridor Fine Wines?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He asked , "" So , you guys get into any sort of MMO ? "" I started to formulate something about WoW and Second Life , but then he continued , "" Like Eve ? "" I was kinda stunned . I 've been playing Eve for 4 years and never in my life expected to find some guy in a random cafe to just up and ask me if I played Eve .",Blog_223390,,q1_type3,I am surprised because Eve is not a popular MMO.,{},I am surprised because WoW is a popular MMO.,I am surprised because Second Life is not a popular MMO.,I am surprised because Second Life is a popular MMO.,q2_type3,I formulated an answer based on those WoW and Second Life because those are two popular MMOs.,{},I decided to discuss them because I've been playing WoW and Second Life for 4 years.,I formulated an answer based on WoW and Second Life because I didn't expect someone to ask me about them.,I decided to talk about WoW and Second Life because those were the first MMOs I thought of.,Why might I be surprised?,Why might I be planning to discussion WoW and Second Life?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The train got to San Jose on time , and we got going on time . I only had some one sitting next to me till Oakland , so far so good . But once I was by my self I decided to try to read , it was too dark . I tried to work on the blanket I 'm making , still to dark and gave me a headache .",Blog_539306,,q1_type1_,The person was having a new grandson soon.,The person was having a new granddaughter soon.,The person was having a child soon.,The person wanted a new blanket for themselves.,The person wanted to make a blanket for a co-worker.,q2_type2,The person goes to sleep.,The person looks out the window at the city lights.,The person asks someone to sit next to her.,The person changes seats.,The person decides to get off the train early.,Why was the person working on making a blanket?,What does the person do after it gets dark on the train?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The bill , H.R. 6049 , also would create a new investment tax credit for purchases of small wind systems used to power homes , farms and small businesses . Next , the bill must be approved by the full House of Representatives in a vote late this week . Once again , your voices are crucial in order to clear this final hurdle before Congress adjourns at the end of September .",Blog_1515919,,q1_type3,A liberal one.,A Democratic one.,A conservative one.,A Republican one.,A libertarian.,no_answer,{},{},{},{},{},What type of congressman would vote for this bill?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The TV area , where we waste time with video games ! Nice little tiny PS2 . Nathan with the Guitar Hero guitar we bought for multiplayer . And yes ... Those are Gym badges from Pokemon that we put on the guitar .",Blog_655335,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","So , we 're now the proud owners of a 7 ft pool table that cost us 10 % of the asking price ( thank you Internet ! ) . The story goes , it was owned by someone who barely used it then probably dropped dead of a cocaine overdose . The person who inherited it gave to his Father who then lost his house . So , after a complicated turn of events it ends up in my hands .",Blog_371070,,q1_type3,Because it was used and the owners didn't want it.,{},Because the writer is a proud person.,Because the writer is thanking the internet.,Because someone had a cocaine overdose.,no_answer,{},{},{},{},{},Why did the pool table cost 10% of its asking price?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Oh , I have to admit , another highlight is having the pool to ourselves for an hour after closing time , if we wanna go for a swim or anything . I normally use this to my advantage . There 's just something about taking a swim in a deserted pool , after closing time , completely alone in calm , non - crowded water . It clears my head , and means that I can sleep easy when I get home . There 's always a lot of things going on inside my mind .",Blog_1275847,,q1_type2,I may feel quite relaxed.,Some people may move around barefoot.,I may take a long nap.,I may go shoot some pool at a deserted bar.,No one may take a shower.,q2_type2,I may not go home early.,I may not get irritated.,There may not be towels in sight.,There may not be any topless guys.,I may not see any scantily clad ladies.,What may happen before I get home?,What may not happen before I get home?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Well , I am hanging out in my room and i am also cleaning up my room as well because it 's totally a mess and everything and i am like i ca n't have that if you know what i mean . I am just having some fun in my room just being myself and not caring about the whole world and what they all think about me as i am me and only me and i know how to have my own fun if you know what i mean . I never think about what people want to hear from me and everything .",Blog_1326244,,q1_type3,They are a lone wolf.,They are an introvert.,They are an extrovert.,They are a people person.,They are a clean freak.,no_answer,{},{},{},{},{},What type of trait is the narrator showing?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","With all the rain that we had this spring and early summer all the crops around here have done great . It 's beautiful driving in the country and looking at all the lusciously green fields of beans , corn , etc . Tonight I picked up Dana from a swimming party and was dropping off her friend and passing by all these lovely fields of corn . Brooke was in the car and pointed out the window and said "" Oh my ! That grass is tall ! """,Blog_289397,,q1_type1_,How big the corn is.,The lushness of the corn.,The lack of corn in the fields.,The abundance of squash.,The dying corn products.,no_answer,{},{},{},{},{},What is captivating the audience in the car?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He picked them up and said , "" No , take it . "" I said , "" No , I ca n't today . I 'll come back tomorrow . "" Then he pulled some change out of his pocket , counted it , picked up the clothespins again , and said , "" No , take it . "" With 500 meticais in my wallet , I certainly could not accept him buying my clothespins with half or possibly all of his day 's earnings . But I also did n't want to discourage his generosity or squash any of his pride .",Blog_477676,,q1_type3,They are selling a clothespin.,They are trying to protect their buyer.,They are trying to make more money.,They look down on their buyer.,They don't want to sell to their buyer.,q2_type1_,They wanted to protect their buyer.,They didn't want to buyer to spend all of their money.,They felt the item was worth less.,The didn't want to sell to someone poor.,They wanted to sell to someone with more money.,What may be a fact about this person?,What may be the reason for their hesitance to sell the item?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Also , there were several exposed thongs and fishnet body suits . It was funny at first . "" Whore - onto "" was the term we coined , but as with the institution of prostitution , in general , it was pretty sad .",Blog_1086791,,q1_type3,Selling one's body is common there.,{},Too many people wear fishnet body suits.,"It's called ""Whore-onto"" because it allows prostitution.",Selling one's body is illegal there.,no_answer,{},{},{},{},{},What might be true about Toronto's issues?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Thanks DVD people . Then I saw a preview for The Clique movie , which is coming out on DVD this fall . When I first heard about it , I was going to watch it since I was a Clique fan but after seeing this preview , I will pass . I knew since it was going straight to DVD without going to the theaters that this movie was going to blow , but good God , this movie is like a trainwreck waiting to happen .",Blog_995164,,q1_type5,I thought it was underwhelming.,{},I can't wait to see the actual movie!,I thought it was good.,I think I liked it.,no_answer,{},{},{},{},{},How did I feel after seeing the preview?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Blow after blow rains down on me and I try to hide inside my head until it is over . He was really wound up this night and started to break some of the dishes in easy reach . When his reign of terror is done he grabs a beer and heads for the living room to watch television .,Blog_298027,,q1_type5,I'll curl in a corner and nurse my wounds.,{},I'll thank him for what he did.,I'll give him a kiss.,I'll make love to him.,no_answer,{},{},{},{},{},What will I do next?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","At the dawn of day , the first witnesses were shocked : Our Lady 's hand was missing and her nose marred , disfiguring her face . What overwhelming hatred ! Who could have something against Our Lady if not the one whose head she crushes with her heel ?",Blog_1412995,,q1_type1_,It is religious desecration.,It is sacrilege.,It is an attack on witnesses.,It is an attack on a lady.,It is sexist.,no_answer,{},{},{},{},{},Why is the narrator so disgusted by the vandalism?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","He basically went into training , studying with a good friend who did make the line and then with an accomplished quad teacher . ( I still have n't figured out why they are called quads when there are five drums on the rig . ) He practiced while awake and in his sleep . He used his fingers to practice while sitting at the kitchen counter or while stopped at traffic lights ; he used chopsticks waiting for meals at Chinese restaurants , wooden spoons while making chocolate chip cookies , well , you get the picture . I am very happy to report that his dedication and hard work paid off .",Blog_82164,,q1_type1_,They are practicing drums.,They are practicing for their instrument.,They are trying to get a door opened.,They are trying to get someone's attention at the Chinese restaurant.,They are to get someone to answer the door.,no_answer,{},{},{},{},{},Why is the subject banging so much?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","It was totally automated and it frustrated me and so when I got home I decided that I was going to get a completely manual camera and I bought this interesting Chinese made twin lens reflex camera - an old fashioned camera that you used to see in the 1950 's . I started making pictures with it and because of that , I became interested in fine art photography . Soon after that , I went to a bookstore and I got a book of photographs by Edward Weston . The book actually changed my life .",Blog_1376858,,q1_type1_,It kindled my interest in photography and taking beautiful pictures.,{},"It wasn't the camera that did it, it was the Chinese people.",It was the history of this specific camera that piqued my interest.,"I ended up not even being interested in photography, just in history.",no_answer,{},{},{},{},{},Why did this camera make me so interesting in photography?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Mind - blowing daughter - mom lesbian games , where lustful moms lure their e on , let s open the door into the world of cartoon porn , where mature sophisticated ladies . Website features more mature women who are very sophisticated love pussy , and they really do heavy on more "" lesbian my favorites ; this site in unlike any other asian porn . Porn previews - best xxx sites on !",Blog_1330176,,q1_type3,Pornographic content is the focus of them.,{},The games are meant to be played by daughters and moms.,The games make fun of pornographic content.,The games are for mature and sophisticated ladies.,no_answer,{},{},{},{},{},What might be featured in the games?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","First off I 'm in a secret stocking swap on Splitcoast . It started out as a Christmas in July sort of thing but has been extended to October . Anyway , despite that Christmas seems to show up in stores earlier and earlier each year I could n't find a stocking . So , I decided to make my own .",Blog_1148777,,q1_type1_,They thought it would be an enjoyable thing to do.,{},It was Christmas in July.,It was extended to October.,Christmas showed up earlier than expected.,no_answer,{},{},{},{},{},Why is the writer in a secret stocking swap?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","The annual State Employee Charitable Campaign begins with a picnic hosted by President Gretchen M. Bataille on Oct. 1 . The picnic will be from 11:30 a.m. to 1:30 p.m. on Library Mall , and will feature music and a $ 5 box lunch , with $ 2 of the price donated to the campaign . The campaign gives employees an opportunity to make tax - deductible donations to charitable programs . There are more than 400 programs to choose from , such as Community Shares of Texas , Black United Fund of Texas Charities , Christian Community Charities and Neighbor to Nation .",Blog_378160,,q1_type3,I like the community shares of Texas the best.,{},I don't like any of the charitable organizations.,I would never contribute to any of the organization because they are bad.,I think that the organization that I like is not listed.,q2_type1_,No I have never met her before.,{},Yes I am Gretchen Bataille.,Gretchen Bataille isn't a person.,The name of the person you are thinking of is not Gretchen Bataille.,Which one of the organizations would you like to contribute most for?,"Do you know the person, Gretchen Bataille?"
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Let 's explore ... For starters , Italy is one of those places where light enters the world at a magical angle . I 'll never forget the first time I arrived in Rome : a cab whisked me into the city at about 9 am on a September morning , and the Colosseum was bathed in a golden misty sunshine like I 'd never seen before . The whole country is like that , and that quality of light affects our perception of color on landscape and architecture .",Blog_97711,,q1_type5,I thought it was wonderful!,{},I thought it was dull.,I thought it was boring.,I thought it was disgusting.,no_answer,{},{},{},{},{},How do I feel about Italy?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",Now i have no idea what to do because he is always on my mind and i just ca nt get him off . What should i do ? I will see him again on New Years but he is bringing his girlfriend up with him .,Blog_1371539,,q1_type1_,They will see their ex.,They will see their ex's new girlfriend.,They will see their enemy at the party.,They will see another year pass with no major accomplishments.,They will see their ex bring their boyfriend.,no_answer,{},{},{},{},{},Why is the narrator anxious about New Years?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","That fact really makes me want to renew my efforts to do everything I can to be a productive part of Second Life . Then there was my personal reasons for attending . I met some of the people I knew from SL , most notably my good friend August . If nothing else had come from the trip , that alone would have been worth everything I did to get to Tampa .",Blog_1320226,,q1_type3,Because they are very interested in Second Life.,{},Because they have personal reasons for attending something.,Because they met some of the people they knew from SL.,Because they met their good friend August.,no_answer,{},{},{},{},{},Why does the writer want to be a productive part of Second Life?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",While I did okay today there were times I just wanted to roll up in a ball and hold my stomach . I go back to work in 4 days and I need to be able to function normally . Filing I think is going to be awful . Bending down is n't working well for me .,Blog_240415,,q1_type1_,They had fallen ill.,They were feeling sick.,They were having muscle problems.,They had bent their back too much.,They had gotten surgery.,q2_type2,They will take medicine for their illness.,They will tell their employer about their illness.,They will go see their doctor.,They will call out of work.,They will stay home rather than go to work.,What may be the reason for their physical condition?,What may happen during their illness?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",I randomly got a text from Monique saying she was in town and around the area ! She met us there and the three of us spent the night enjoying each other 's company ... our new husband ? and the two wives .,Blog_396461,,q1_type2,The three of them will enjoy each other's company,The three of them spent the night with each other,She will get a text from her husband,The two wives enjoyed each other's company,Her husband will get a text,no_answer,{},{},{},{},{},What will happen after Monique is in town,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning",So the next time I 'd take the picture I 'll be 24 . Oi man I am antsy . My appointment is at 12:15 . I think my mom told me that we 'll be waking up at 10 .,Blog_883352,noqu,no_answer,{},{},{},{},{},no_answer,{},{},{},{},{},{},{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","When its handler turned her back for a moment , a man darts from the median , jumps into the still - running ride , and peels off heading East on Front Street . In the video , you see the security team member wheel the new KITT off the flatbed truck and then exit the car ( still running ) to return to the truck . With the door still open , some impulsive car thief ran out and hopped in the car and took off .",Blog_1435707,,q1_type2,A man darted out from the median and jumped into the car.,A man stole the car and drove off.,A man stole the car but it broke down before he could drive away.,A man tried to get into the car but tripped and fell.,A man drove away with the car and got into an accident.,q2_type1_,He was able to sneak behind a security team member while they weren't watching.,{},He stole the keys from the security member.,He was able to knock out the security member and hotwire the car.,The security member let him steal the car on purpose.,What happened after the handler turned her back?,Why was the man able to steal the car?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I was probably just getting to that age where I did n't really want to listen to what adults told me to do anymore . Whatever it was , it probably was n't long after that that I quit playing soccer . Some friends in school ( bad influences ? )",Blog_1456098,,q1_type1_,It no longer interested them.,{},It no longer challenged them.,There were too many of his friends playing.,It no longer was any use to him.,no_answer,{},{},{},{},{},What may be the reason for them quitting soccer?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I wanted SO BADLY to yell out that line from the Lion King , "" Stampede ! In the gorge ! ! "" You might think that would be something easy to keep on the inside of your brain .",Blog_1017987,,q1_type1_,The person has watched the movie The Lion King before/,{},The person read the quote online.,The person simply heard the quote from someone else.,The person saw the quote on a poster.,q2_type5,The person thought that not shouting a quote was difficult.,{},The person thought it was easy to not shout the quote.,Loudly yelling the quote wasn't really what the speaker wanted to do.,The speaker did not want to yell the quote but found it easy to not do so.,Why does the person know a quote from the movie The Lion King?,Did the person find it easy to not yell the quote inside their head?
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I woke up at 6 this morning to take dad to the airport , and then drove back to his house and slept some more . Scott wanted me to call him around noon if the weather was alright to see if I could work today . Well , Josh called me before noon , and I 'm thinking , this could be a long pointless phone call that could end up costing me sleep and money .",Blog_244833,,q1_type2,They cut the call short to get some sleep.,{},They stayed on the phone to please their friend.,They cut the call short to go over their house to see them instead.,They stayed on the phone and decided to make money another way.,no_answer,{},{},{},{},{},What may have happened during the phone call?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","Pizza Port is a fun restaurant that specializes in pizza and beer . The pizza is definitely "" Southern Californian "" style . Where else can you get a Lahaina Pizza ( with pineapples and Canadian Bacon ) , Solana Pizza ( shrimp and clams ) or Margherita Pizza ( basil , tomatoes , and olive oil ) ?",Blog_1041796,,q1_type3,It sells unique takes on classics.,{},It sells classic pizzas with no unique takes.,It doesn't serve beer.,Pizza Port won't put pineapples on pizza.,no_answer,{},{},{},{},{},What may be true about Pizza Port?,{}
Collect questions and answers related to a given context and common sense,"Given a short text, annotators need to craft possible questions and answers. The questions should be related to the given context, and the answers can be answered according to the context and commonsense knowledge","question answering, commonsense, reasoning","I tell the driver he should change his sign to say "" Queen 's Quay and Spadina "" . This is the odd part : he claims he was told to turn back at Queen 's Quay , but to leave the sign saying "" Union Station "" . He shrugged and drove off .",Blog_1279619,,q1_type1_,He was not willing to take me Union Station after I flagged him down despite the fact his sign said Union Station so he should advertise his route appropriately,{},He would be able to get more work if he advertized for Spadina as well,I suggested he change the sign because Spadina is a busy route for many people and he stands to make a lot of money there,I suggested he change to Spadina because I had not seen any taxis advertising for Spadina recently and thought it was a free route,no_answer,{},{},{},{},{},Why did you suggest he change his sign to say Queen 's Quay and Spadina?,{}
