Title,Description,Keywords,QUESTION1,ANS1,SEN1,Answer.P1,Answer.P2,Answer.P3
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is another name for the vertebral column?,backbone,Backbone is another name for the vertebral column.,Another name for the vertebral column is the backbone,The vertebral column is also known by another name: the backbone,Also known as by the name of the backbone is the vertebral column
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is another name for the vertebral column?,backbone,Backbone is another name for the vertebral column.,Another name for vertebral column is Backbone.,vertebral column is also known as backbone.,Every human being has vertebral column or Backbone.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",When liquid water changes to water vapor it is called?,evaporation,When liquid water changes to water vapor it is called evaporation.,Liquid water changes to water vapor in a process called evaporation.,Evaporation occurs when liquid water changes to water vapor.,"We call the process of liquid water changing to water vapor ""evaporation""."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",When liquid water changes to water vapor it is called?,evaporation,When liquid water changes to water vapor it is called evaporation.,Evaporation occurs when liquid water changes to water vapor.,Liquid water to water vapor equals evaporation.,If liquid water is changing to water vapor that's called evaporation.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",When liquid water changes to water vapor it is called?,evaporation,When liquid water changes to water vapor it is called evaporation.,Evaporation occurs when a liquid changes to vapor.,Liquid water can change into liquid vapor through a process known as evaporation.,Evaporation is the process by which liquid water can turn into liquid vapor.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Each species has a particular way of making a living which is called its what?,niche,"Each species has a particular way of making a living, which is called its niche.",A nice is the particular way a species makes a living.,Each species has a niche or a particular way of making a living.,If a species has a particular way of making a living it is called a niche.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Each species has a particular way of making a living which is called its what?,niche,"Each species has a particular way of making a living, which is called its niche.",A niche is the particular way in which each species makes a living.,A niche is the way in which a particular species makes a living.,The particular way in which each species makes a living is called a niche.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Each species has a particular way of making a living which is called its what?,niche,"Each species has a particular way of making a living, which is called its niche.",A niche is each species particular way of making living.,Each species particular way of making a living is called a nice.,A niche is defined as each species particular way of making a living.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,ectothermic,"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment.",The term ectothermic describes reptiles; which means their internal temperature depends on the temperature of their environment,"A Reptiles internal temperature depends on the temperature of their environment, which is the meaning of ectothermic.","when internal temperature depends on the temperature of their environment, it is ectothermic, which is what reptiles are"
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,ectothermic,"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment.","Reptiles are ectothermic, and they therefore cannot regulate their own internal temperature.","A reptile's internal temperature is determined by the temperature of the environment, so we say that reptiles are ectothermic.","Ectothermic animals, like reptiles, are dependent on their environment to regulate their temperature."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Reptiles are described by what term that means their internal temperature depends on the temperature of their environment?,ectothermic,"Reptiles are described by the term ectothermic, which means their internal temperature depends on the temperature of their environment.",Ectothermic is a term used to describe how reptiles acquire their internal temperature from their environment.,"When a reptile's internal temperature depends on their environment, they are called ectothermic.",An ectothermic reptile depends on their environment to determine their internal temperature.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of matter makes up most of the universe?,plasma,Plasma matter makes up most of the universe.,Plasma is the type of matter that makes up most of the universe.,The type of matter makes up most of the universe is plasma.,Most of the universe is made up by a type of matter called plasma.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of matter makes up most of the universe?,plasma,Plasma matter makes up most of the universe.,Most of the universe is made up of the type of matter called plasma.,Plasma is the type of matter that makes up most of the universe.,Most of the matter that makes up most of the universe is plasma.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of matter makes up most of the universe?,plasma,Plasma matter makes up most of the universe.,The matter that makes up most of the universe is called plasma.,Most of the universe is made of plasma.,"There are several types of matter in the universe, and the most abundant one is plasma."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",community,"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.",A community is made of all the populations that live in the same area including populations of different organisms.,Community includes all the populations that live in the same area including populations of different organisms.,"All of the populations in an area make up a community, even populations of different organisms."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",community,"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.","A community is made up of all the populations that live in the same area, including populations of different organisms.","An area comprised of all the populations that live in it, including all populations of different organisms, is what makes up a community",All populations and the different organisms of populations that live in one area is what makes up a community.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",community,"All of the populations that live in the same area make up a(n) community, which includes populations of different organisms.",A community consists of all organisms and their populations in a given area.,"When you factor in all organisms in an area and include the population,you get a community.",The population of each organism in a given area is defined as a community.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,When excess carbon dioxide calls the ocean to be acidic ocean acidification is said to occur.,Ocean acidification is displayed as excess carbon dioxide in the atmosphere make the ocean more acidic.,A more acidic ocean as a result of excess carbon dioxide in the atmosphere is known as ocean acidification.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,The ocean can become acidic through excess carbon dioxide in the atmosphere in a process called ocean acidification.,Excess carbon dioxide in the atmosphere can cause oceans to become acidic in a process called ocean acidification.,Oceans can become acidic through ocean acidification due to excess carbon dioxide in the atmosphere.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic?,ocean acidification,Ocean acidification occurs when excess carbon dioxide in the atmosphere causes the oceans to become acidic.,"When excess carbon dioxide in the atmosphere causes the oceans to become acidic, it is called ocean acidification.","Ocean acidification, or when the oceans become acidic, occurs when there is excess carbon dioxide in the atmosphere.",The oceans become acidic when there is excess carbon dioxide in the atmosphere; this process is called ocean acidification.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of lens is thicker at the edges than it is in the middle?,concave lens,A concave lens is thicker at the edges than it is in the middle.,Concave lenses are lenses that are thicker at the edges than they are in the middle.,"If a lens is thicker at the edges than it is in the middle, we call the lens ""concave"".",Lenses that are thicker at the edges than in the middle are referred to as concave lenses.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of lens is thicker at the edges than it is in the middle?,concave lens,A concave lens is thicker at the edges than it is in the middle.,One concave lens is thin in the center than outer edges,A concave leans comparatively thin in the middle but outer corners are thicker,A concave leans is light outside than it has thin center
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What type of lens is thicker at the edges than it is in the middle?,concave lens,A concave lens is thicker at the edges than it is in the middle.,Concave lenses are thinner in the middle than at their edges.,"If a lens is thicker on the edges than in the middle, it is concave.","Concave lenses have a different thickness on their edges than they do in the middle, where they are thinnest."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,hemodialysis,Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,Hemodialysis is when a patient's blood is passed through a length of tubing that then travels through an artificial kidney machine.,"An artificial kidney machine is used when patients require hemodialysis; or rather, the process wherein the patient's blood is passed through a length of tubing through the artificial kindney machine.","In hemodialysis, lengths of tubing are used to transport a patient's blood through an artificial kidney machine."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,hemodialysis,Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,The process of hemodialysis involves a patient's blood passing through a length of tubing. The tubing carries the blood through a machine that functions like a kidney.,"Patients who undergo hemodialysis have their blood passed through an artificial kidney machine, via tubing that carries the blood from patient to machine and back.","In order to remove waste products from the blood, some people need to undergo hemodialysis, where a machine acts as an artificial kidney.  Tubing is used to move the blood from the patient to the machine."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,hemodialysis,Hemodialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine.,"Some patients go through hemodialysis, which is a process where blood passes through a length of tubing into an artifical kidney machine","When a patient's blood is passed from a length of tubing through an artifical kidney machine, the process is called hemodialysis.","Hemodialysis is the process by which a patient's blood passes through a length of tubing, and then through an artificial kidney machine."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","If a substance has a ph value greater than 7, what does it indicate?",base,"If a substance has a ph value greater than 7,that indicates that it is base.",A substance with a ph value greater than 7 indicates a base.,A base is indicated by a ph value greater than 7.,7 ph indicates that it is a base.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","If a substance has a ph value greater than 7, what does it indicate?",base,"If a substance has a ph value greater than 7,that indicates that it is base.",Base is a substance with a ph value greater than 7.,A substance with a ph value greater than 7 is base.,Base is defined as a substance with a ph value greater than 7.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","If a substance has a ph value greater than 7, what does it indicate?",base,"If a substance has a ph value greater than 7,that indicates that it is base.",A substance with a ph value greater than 7 indicates that it is base.,Base is indicated by a substance whose ph value great than 7.,When a substance has a ph value greater than 7 it may indicate that it is base.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","In weather terms, what do you call the boundary between two air masses?",front,"In weather terms, the boundary between two air masses is called front.",The front is the boundary between two air masses,The separation between two air masses is called a front,The thing that separates two masses of air is a front
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","In weather terms, what do you call the boundary between two air masses?",front,"In weather terms, the boundary between two air masses is called front.","When considering weather terminology, the way to describe a boundary between two air masses is a front.",A front is the boundary between two air masses in weather terms.,"According to weather terms, a front is the boundary between two air masses."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","In weather terms, what do you call the boundary between two air masses?",front,"In weather terms, the boundary between two air masses is called front.",The term front in weather means the boundary between two air masses.,The boundary between two air masses in weather terms is called a front.,"Deemed the front, is the boundary between two air masses"
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What element is present in all organic molecules?,carbon,The element carbon is present in all organic molecules.,All the organic molecules contains carbon element.,Carbon is the major element mostly present in all organic molecules.,Each and every organic molecules contains carbon element.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What element is present in all organic molecules?,carbon,The element carbon is present in all organic molecules.,All organic molecules contain carbon.,Carbon is an important building block of living organisms.  All organic molecules contain carbon.,Organic molecules always contain the element carbon.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What element is present in all organic molecules?,carbon,The element carbon is present in all organic molecules.,All organic molecules contain carbon.,Carbon is contained in all organic molecules.,Organic molecules all contain carbon.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Mitosis actually occurs in how many phases?,four,Mitosis actually occurs in four phases.,There are four phases to Mitosis.,Mitosis consists of four phases.,Four phases make up mitosis.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Mitosis actually occurs in how many phases?,four,Mitosis actually occurs in four phases.,Mitosis consists of four phases.,"There are four phases of the process of mitosis:  prophase, metaphase, anaphase, and telophase/cytokinesis.","There are four parts of mitosis that a cell undergoes as it doubles its genetic material, divides it, and becomes two cells."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Mitosis actually occurs in how many phases?,four,Mitosis actually occurs in four phases.,There are four phases to Mitosis.,It is commonly believed that Mitosis occurs in four phases.,The actually occurrence of Mitosis is done in 4 phases.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Most of the energy used by living things comes either directly or indirectly from where?,sun,Most of the energy used by living things comes either directly or indirectly from the sun.,The sun supplies most of the energy used by living things.,Most of the energy used by living things is generated by the sun.,Energy for living things mostly comes from the sun either directly or indirectly.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Most of the energy used by living things comes either directly or indirectly from where?,sun,Most of the energy used by living things comes either directly or indirectly from the sun.,"The sun provides most of the energy used by living things, whether directly or indirectly.",Living things use energy. Most of this energy comes either directly or indirectly from the sun.,"The sun is a source of energy and provides most of the energy, either directly or indirectly, used by living things."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Most of the energy used by living things comes either directly or indirectly from where?,sun,Most of the energy used by living things comes either directly or indirectly from the sun.,The energy used by living things mostly comes from sun either directly or indirectly.,"Either directly or indirectly, most of the energy from sun is used by living things.","Energy essential for living things mostly comes from sun, either directly or indirectly."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What part of the eye allows light to enter?,pupil,The pupil of the eye allows light to enter.,Light enters the eye through the pupil.,The pupil allows light to enter the eye.,In the eye the pupil allows light to enter.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What part of the eye allows light to enter?,pupil,The pupil of the eye allows light to enter.,The pupil is a structure within the eye that allows light to enter.,The eye has a structure that allows light to enter called a pupil.,A structure in the eye that allows light to enter is called the pupil.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What part of the eye allows light to enter?,pupil,The pupil of the eye allows light to enter.,The part of the eye that allows light to enter is called pupil.,Light enters the eye through the pupil.,The eye allows light to enter via the pupil.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Calcium ion is an example of what kind of messenger?,second,Calcium ion is an example of a second messenger.,A second messenger is the example to Calcium ion.,"Calcium ion, an example of a second messenger.","Second messenger, an example to Calcium ion."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Calcium ion is an example of what kind of messenger?,second,Calcium ion is an example of a second messenger.,An example of a second messenger is calcium ion,Calcium ion is a second messenger.,A common second messenger is calcium ion.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Calcium ion is an example of what kind of messenger?,second,Calcium ion is an example of a second messenger.,One example of a second messenger is a calcium ion.,A calcium ion is a prime example of a second messenger.,Calcium ions are known as second messengers.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute.",Cardiac output is determined by multiplying heart contractions by stroke volume per minute.,Multiplying heart contractions by stroke volume per minute determines cardiac output.,The term cardiac output is measured by heart contractions times stroke volume per minute.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute.","The volume of blood pumped by the heart in one minute is calculated by multiplying heart contractions by stroke volume, this is called cardiac output.",When you multiply the heart contractions by stroke volume this gives you the amount of blood pumped by the heart in one minute or cardiac output.,"To calculate the cardiac output or the amount of blood pumped by the heart in one minute, multiply heart contractions by stroke volume."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing","What term, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute?",cardiac output,"The term cardiac output, calculated by multiplying heart contractions by stroke volume, means the volume of blood pumped by the heart in one minute.","The measure of blood volume the heart is able to pump over one minute is defined as cardiac output, and determined by the multiplication of stroke volume and number of heart contractions.","The cardiac output measurement is generated by multiplying total heart contractions by the stroke volume amount, and this figure equals the blood volume able to be pumped by the heart in a one minute period.","Cardiac output, a figure determined by multiplying stroke volume with heart contractions, refers to the maximum blood volume possibly pumped by the heart over one minute."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Many plants respond to the days growing shorter in the fall by doing what?,going dormant,Many plants respond to the days growing shorter in the fall by going dormant.,"In the fall, the days grow shorter and many plants respond to the reduction of sun time by going dormant.","Many plants do not grow year-round; they go dormant when the daylight hours are reduced, and take a nap unitl the days become longer the next spring.","When the days grow shorter in the fall, many plants respond to the change by going dormant and not requiring chlorophyll that the sun encourages."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Many plants respond to the days growing shorter in the fall by doing what?,going dormant,Many plants respond to the days growing shorter in the fall by going dormant.,When the days grow shorter in the fall plants react by going dormant,A response that plants have in the fall to the growing shorter days is going dormant,When plants go dormant it's because of the growing shorter days in the falk
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Many plants respond to the days growing shorter in the fall by doing what?,going dormant,Many plants respond to the days growing shorter in the fall by going dormant.,Going dormant is how plants respond to days growing shorter during the fall,During the fall the days grow shorter which cause the plants to go dormant.,Days grow shorter in the fall and plants go dormant in response to this.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What kind of weather can you expect if a center of low pressure is moving your way?,stormy,You can expect stormy if a center of low pressure is moving your way.,"If a center of low pressure is near you, expect stormy weather.",There may be stormy weather around a center of low pressure.,"If a center of low pressure is near you, expect stormy weather."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What kind of weather can you expect if a center of low pressure is moving your way?,stormy,You can expect stormy if a center of low pressure is moving your way.,If a center of low pressure is moving your way it is logical to expect stormy weather.,Stormy weather is to be expected if a center of low pressure is moving your way.,"When a low pressure is moving your way, expect stormy weather."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What kind of weather can you expect if a center of low pressure is moving your way?,stormy,You can expect stormy if a center of low pressure is moving your way.,"If an area of low pressure is moving toward you, you can expect the weather to be stormy.",A storm might be expected if a center of low pressure is moving toward you.,"If a center of low pressure is moving your way, you might expect stormy weather."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","Commonly associated with birds, the wings were developed by the bird ancestor that lived in trees.",Wings come from the relatives of birds that lived in trees.,The wings developed from ancestors of birds that lived in trees.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.",The feature commonly associated with birds and carried by a bird ancestor that lived in trees that was developed was wings.,"Birds' ancestors, which lived in trees, developed the wings that are a feature commonly associated with birds.","The feature commonly associated with birds, the wings, developed in a bird ancestor that lived in trees."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",The bird ancestor that lived in trees developed what feature commonly associated with birds?,wings,"The bird ancestor that lived in trees developed wings, which is commonly associated with birds.","Evidence indicates that the ancestor of birds, which lived in trees, developed wings.","We associate wings with modern birds, but actually the ancestor of birds lived in trees and developed wings.","The physical feature of wings evolved in the common ancestor of modern birds, who lived in trees."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What are fast moving rivers of air that are going in opposite directions called?,jet streams,Jet streams are fast moving rivers of air that are going in opposite directions called.,Fast moving rivers of air going in opposite directions are called jet streams.,Going in opposite directions fast moving rivers of air are called jet streams.,The fast moving rivers of air that go in opposite directions are called jet streams.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What are fast moving rivers of air that are going in opposite directions called?,jet streams,Jet streams are fast moving rivers of air that are going in opposite directions called.,Rivers of air moving in opposite directions are known as jet streams.,"When air moves quickly in opposite directions, it is called a jet stream.",Jet streams form when when air moves quickly in opposite directions.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What are fast moving rivers of air that are going in opposite directions called?,jet streams,Jet streams are fast moving rivers of air that are going in opposite directions called.,"There are fast moving rivers of air that move in opposite directions, they're called jet streams.","Fast moving rivers of air, jet streams, move in opposite directions.",Its true that fast moving rivers of air that are going in opposite directions are called jet streams.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which kind of muscle regulates air flow in lungs?,smooth,Smooth muscle regulates air flow in lungs.,Air flow in lungs is regulated by smooth muscle.,The airflow in lungs undergoes regulation by smooth muscle.,Lungs have air flow that is regulated by smooth muscle.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which kind of muscle regulates air flow in lungs?,smooth,Smooth muscle regulates air flow in lungs.,The muscle type that regulates air flow in lungs is called smooth muscle.,"Smooth muscle, one of several muscle types, is responsible for regulating air flow in lungs.",The airflow in lungs is regulated by smooth muscle.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",Which kind of muscle regulates air flow in lungs?,smooth,Smooth muscle regulates air flow in lungs.,The common notion is that smooth muscle regulates air flow in lungs.,Many are united in the fact that they believe smooth muscle regulates air flow in lungs.,Air flow requires regulation inside off lungs; Smooth muscle is responsible for that.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is a structure that is composed of one or more types of tissues?,organ,A(n) organ is a structure that is composed of one or more types of tissues.,organs are composed of one or more types of tissues,things that are composed of one or more tissues is organs,organs are the things that are composed of one or more types of tissues
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is a structure that is composed of one or more types of tissues?,organ,A(n) organ is a structure that is composed of one or more types of tissues.,An example of a structure that is composed of one or more types of tissues is an organ.,An organ is composed of one or more types of tissues.,One or more types of tissues make up and organ.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is a structure that is composed of one or more types of tissues?,organ,A(n) organ is a structure that is composed of one or more types of tissues.,One or more types of tissues make up an organ.,An organ can be composed of one or more types tissues.,"An organ is not necessarily composed of one type of tissue, it can be composed of many different types."
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All types of cells are enclosed by what?,membrane,All types of cells are enclosed by a membrane.,All cells have a membrane enclosing them.,All kinds of cells are enclosed with a membrane.,All types of cells have a membrane around them.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All types of cells are enclosed by what?,membrane,All types of cells are enclosed by a membrane.,All cells are enclosed by a membrane.,Every type of cell has a cellular membrane that encloses it.,Cellular membranes enclose all types of cells.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",All types of cells are enclosed by what?,membrane,All types of cells are enclosed by a membrane.,A membrane every type of cell there is.,Membranes are the enclosures of every cell.,Cells of all types are enclosed by a membrane.
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is the space between a neuron and the next cell?,the synapse,The the synapse is the space between a neuron and the next cell.,The space between the neuron and the next cell is called the synapse,The neuron and the next cell have a space between them called the synapse,Between the neuron and the next cell is a space called the synapse
Creating Sentence Paraphrases,We create 5 different paraphrase for a given sentence,"writing, paraphrasing",What is the space between a neuron and the next cell?,the synapse,The the synapse is the space between a neuron and the next cell.,The space between a neuron and the next cell is known as the synapse.,The empty space between a neuron and its neighboring cell is called the synapse.,The synapse is otherwise known as the empty space between a neuron and the cell next to it.
