Title,Description,Keywords,sclid1,sclmin1,sclmax1,pairs1,n1,sclid2,sclmin2,sclmax2,pairs2,n2,sclid3,sclmin3,sclmax3,pairs3,n3,Answer.Answer.sclid1.1,Answer.Answer.sclid1.10,Answer.Answer.sclid1.11,Answer.Answer.sclid1.12,Answer.Answer.sclid1.13,Answer.Answer.sclid1.14,Answer.Answer.sclid1.15,Answer.Answer.sclid1.16,Answer.Answer.sclid1.17,Answer.Answer.sclid1.18,Answer.Answer.sclid1.19,Answer.Answer.sclid1.2,Answer.Answer.sclid1.20,Answer.Answer.sclid1.21,Answer.Answer.sclid1.22,Answer.Answer.sclid1.23,Answer.Answer.sclid1.24,Answer.Answer.sclid1.25,Answer.Answer.sclid1.26,Answer.Answer.sclid1.27,Answer.Answer.sclid1.28,Answer.Answer.sclid1.3,Answer.Answer.sclid1.4,Answer.Answer.sclid1.5,Answer.Answer.sclid1.6,Answer.Answer.sclid1.7,Answer.Answer.sclid1.8,Answer.Answer.sclid1.9,Answer.Answer.sclid2.1,Answer.Answer.sclid2.10,Answer.Answer.sclid2.11,Answer.Answer.sclid2.12,Answer.Answer.sclid2.13,Answer.Answer.sclid2.14,Answer.Answer.sclid2.15,Answer.Answer.sclid2.2,Answer.Answer.sclid2.3,Answer.Answer.sclid2.4,Answer.Answer.sclid2.5,Answer.Answer.sclid2.6,Answer.Answer.sclid2.7,Answer.Answer.sclid2.8,Answer.Answer.sclid2.9,Answer.Answer.sclid3.1,Answer.Answer.sclid3.2,Answer.Answer.sclid3.3
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3,cute**LT**lovely,lovelier**GT**pretty,,,,,,,,,,cute**LT**lovelier,,,,,,,,,,cute**LT**pretty,breathtaking**GT**cute,breathtaking**GT**lovely,breathtaking**GT**lovelier,breathtaking**GT**pretty,lovely**EQ**pretty,lovelier**GT**lovely,scarce**GT**unacceptable,,,,,,,low**EQ**scarce,low**GT**unacceptable,inadequate**EQ**scarce,inadequate**GT**unacceptable,inadequate**EQ**low,,,,busier**LT**busiest,busier**GT**busy,busiest**GT**busy
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3,cute**LT**lovely,lovelier**GT**pretty,,,,,,,,,,cute**LT**lovelier,,,,,,,,,,cute**LT**pretty,breathtaking**GT**cute,breathtaking**GT**lovely,breathtaking**GT**lovelier,breathtaking**GT**pretty,lovely**GT**pretty,lovelier**GT**lovely,scarce**LT**unacceptable,,,,,,,low**GT**scarce,low**GT**unacceptable,inadequate**GT**scarce,inadequate**GT**unacceptable,inadequate**GT**low,,,,busier**LT**busiest,busier**GT**busy,busiest**GT**busy
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3,cute**LT**lovely,lovelier**GT**pretty,,,,,,,,,,cute**LT**lovelier,,,,,,,,,,cute**LT**pretty,breathtaking**GT**cute,breathtaking**GT**lovely,breathtaking**GT**lovelier,breathtaking**GT**pretty,lovely**GT**pretty,lovelier**GT**lovely,scarce**LT**unacceptable,,,,,,,low**GT**scarce,low**LT**unacceptable,inadequate**GT**scarce,inadequate**LT**unacceptable,inadequate**GT**low,,,,busier**LT**busiest,busier**GT**busy,busiest**GT**busy
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3,cute**GT**lovely,lovelier**GT**pretty,,,,,,,,,,cute**GT**lovelier,,,,,,,,,,cute**GT**pretty,breathtaking**GT**cute,breathtaking**GT**lovely,breathtaking**GT**lovelier,breathtaking**GT**pretty,lovely**GT**pretty,lovelier**GT**lovely,scarce**LT**unacceptable,,,,,,,low**LT**scarce,low**LT**unacceptable,inadequate**GT**scarce,inadequate**GT**unacceptable,inadequate**GT**low,,,,busier**LT**busiest,busier**GT**busy,busiest**GT**busy
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",cute-lovelierXX,cute,lovelier,cute XXX lovely ||| cute XXX lovelier ||| cute XXX pretty ||| breathtaking XXX cute ||| breathtaking XXX lovely ||| breathtaking XXX lovelier ||| breathtaking XXX pretty ||| lovely XXX pretty ||| lovelier XXX lovely ||| lovelier XXX pretty,10,poor-inadequateXX,poor,inadequate,scarce XXX unacceptable ||| low XXX scarce ||| low XXX unacceptable ||| inadequate XXX scarce ||| inadequate XXX unacceptable ||| inadequate XXX low,6,busy-busiestXX,busy,busiest,busier XXX busiest ||| busier XXX busy ||| busiest XXX busy,3,cute**LT**lovely,lovelier**GT**pretty,,,,,,,,,,cute**LT**lovelier,,,,,,,,,,cute**GT**pretty,breathtaking**GT**cute,breathtaking**GT**lovely,breathtaking**GT**lovelier,breathtaking**GT**pretty,lovely**GT**pretty,lovelier**GT**lovely,scarce**LT**unacceptable,,,,,,,low**LT**scarce,low**LT**unacceptable,inadequate**GT**scarce,inadequate**LT**unacceptable,inadequate**GT**low,,,,busier**LT**busiest,busier**GT**busy,busiest**GT**busy
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3,clear**LT**prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,adequate**LT**good,,,,,,,adequate**EQ**fine,fine**LT**good,,,,,,,cheap**LT**cheaper,cheap**LT**cheapest,cheaper**LT**cheapest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3,clear**EQ**prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,adequate**EQ**good,,,,,,,adequate**EQ**fine,fine**EQ**good,,,,,,,cheap**LT**cheaper,cheap**LT**cheapest,cheaper**LT**cheapest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3,clear**LT**prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,adequate**LT**good,,,,,,,adequate**EQ**fine,fine**LT**good,,,,,,,cheap**LT**cheaper,cheap**LT**cheapest,cheaper**LT**cheapest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3,clear**GT**prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,adequate**EQ**good,,,,,,,,,,,,,,,cheap**EQ**cheaper,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",clear-prominentXX,clear,prominent,clear XXX prominent,1,guaranteed-adequateXX,guaranteed,adequate,adequate XXX good ||| adequate XXX fine ||| fine XXX good,3,cheap-cheapestXX,cheap,cheapest,cheap XXX cheaper ||| cheap XXX cheapest ||| cheaper XXX cheapest,3,clear**LT**prominent,,,,,,,,,,,,,,,,,,,,,,,,,,,,adequate**GT**good,,,,,,,adequate**GT**fine,fine**EQ**good,,,,,,,cheap**LT**cheaper,cheap**LT**cheapest,cheaper**EQ**cheapest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",huge-tremendousXX,huge,tremendous,huge XXX major ||| huge XXX sizeable ||| huge XXX immense ||| huge XXX overwhelming ||| huge XXX tremendous ||| major XXX sizeable ||| major XXX overwhelming ||| major XXX tremendous ||| sizeable XXX tremendous ||| colossal XXX huge ||| colossal XXX major ||| colossal XXX sizeable ||| colossal XXX immense ||| colossal XXX formidable ||| colossal XXX overwhelming ||| colossal XXX tremendous ||| immense XXX major ||| immense XXX sizeable ||| immense XXX overwhelming ||| immense XXX tremendous ||| formidable XXX huge ||| formidable XXX major ||| formidable XXX sizeable ||| formidable XXX immense ||| formidable XXX overwhelming ||| formidable XXX tremendous ||| overwhelming XXX sizeable ||| overwhelming XXX tremendous,28,scarce-limitedXX,scarce,limited,limited XXX low ||| limited XXX scarce ||| low XXX scarce,3,clear-clearestXX,clear,clearest,clear XXX clearer ||| clear XXX clearest ||| clearer XXX clearest,3,huge**LT**major,colossal**GT**huge,colossal**GT**major,colossal**GT**sizeable,colossal**LT**immense,colossal**GT**formidable,colossal**GT**overwhelming,colossal**GT**tremendous,immense**GT**major,immense**GT**sizeable,immense**LT**overwhelming,huge**GT**sizeable,immense**LT**tremendous,formidable**LT**huge,formidable**LT**major,formidable**EQ**sizeable,formidable**LT**immense,formidable**LT**overwhelming,formidable**LT**tremendous,overwhelming**GT**sizeable,overwhelming**LT**tremendous,huge**LT**immense,huge**LT**overwhelming,huge**LT**tremendous,major**GT**sizeable,major**LT**overwhelming,major**LT**tremendous,sizeable**LT**tremendous,limited**EQ**low,,,,,,,limited**EQ**scarce,low**EQ**scarce,,,,,,,clear**LT**clearer,clear**LT**clearest,clearer**LT**clearest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",huge-tremendousXX,huge,tremendous,huge XXX major ||| huge XXX sizeable ||| huge XXX immense ||| huge XXX overwhelming ||| huge XXX tremendous ||| major XXX sizeable ||| major XXX overwhelming ||| major XXX tremendous ||| sizeable XXX tremendous ||| colossal XXX huge ||| colossal XXX major ||| colossal XXX sizeable ||| colossal XXX immense ||| colossal XXX formidable ||| colossal XXX overwhelming ||| colossal XXX tremendous ||| immense XXX major ||| immense XXX sizeable ||| immense XXX overwhelming ||| immense XXX tremendous ||| formidable XXX huge ||| formidable XXX major ||| formidable XXX sizeable ||| formidable XXX immense ||| formidable XXX overwhelming ||| formidable XXX tremendous ||| overwhelming XXX sizeable ||| overwhelming XXX tremendous,28,scarce-limitedXX,scarce,limited,limited XXX low ||| limited XXX scarce ||| low XXX scarce,3,clear-clearestXX,clear,clearest,clear XXX clearer ||| clear XXX clearest ||| clearer XXX clearest,3,huge**LT**major,colossal**GT**huge,colossal**GT**major,colossal**GT**sizeable,colossal**EQ**immense,colossal**GT**formidable,colossal**GT**overwhelming,colossal**EQ**tremendous,immense**GT**major,immense**GT**sizeable,immense**GT**overwhelming,huge**GT**sizeable,immense**EQ**tremendous,formidable**LT**huge,formidable**LT**major,formidable**EQ**sizeable,formidable**LT**immense,formidable**LT**overwhelming,formidable**LT**tremendous,overwhelming**GT**sizeable,overwhelming**LT**tremendous,huge**LT**immense,huge**LT**overwhelming,huge**LT**tremendous,major**GT**sizeable,major**LT**overwhelming,major**LT**tremendous,sizeable**LT**tremendous,limited**GT**low,,,,,,,limited**LT**scarce,low**LT**scarce,,,,,,,clear**LT**clearer,clear**LT**clearest,clearer**LT**clearest
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",huge-tremendousXX,huge,tremendous,huge XXX major ||| huge XXX sizeable ||| huge XXX immense ||| huge XXX overwhelming ||| huge XXX tremendous ||| major XXX sizeable ||| major XXX overwhelming ||| major XXX tremendous ||| sizeable XXX tremendous ||| colossal XXX huge ||| colossal XXX major ||| colossal XXX sizeable ||| colossal XXX immense ||| colossal XXX formidable ||| colossal XXX overwhelming ||| colossal XXX tremendous ||| immense XXX major ||| immense XXX sizeable ||| immense XXX overwhelming ||| immense XXX tremendous ||| formidable XXX huge ||| formidable XXX major ||| formidable XXX sizeable ||| formidable XXX immense ||| formidable XXX overwhelming ||| formidable XXX tremendous ||| overwhelming XXX sizeable ||| overwhelming XXX tremendous,28,scarce-limitedXX,scarce,limited,limited XXX low ||| limited XXX scarce ||| low XXX scarce,3,clear-clearestXX,clear,clearest,clear XXX clearer ||| clear XXX clearest ||| clearer XXX clearest,3,,colossal**GT**huge,colossal**GT**major,colossal**GT**sizeable,colossal**GT**immense,colossal**GT**formidable,colossal**LT**overwhelming,colossal**LT**tremendous,immense**GT**major,immense**GT**sizeable,immense**LT**overwhelming,,immense**GT**tremendous,formidable**LT**huge,formidable**GT**major,formidable**LT**sizeable,formidable**LT**immense,formidable**LT**overwhelming,formidable**LT**tremendous,overwhelming**GT**sizeable,overwhelming**GT**tremendous,huge**LT**immense,huge**LT**overwhelming,huge**LT**tremendous,major**GT**sizeable,major**LT**overwhelming,major**LT**tremendous,sizeable**LT**tremendous,limited**LT**low,,,,,,,limited**LT**scarce,low**LT**scarce,,,,,,,clear**LT**clearer,clear**LT**clearest,clearer**LT**clearest
