Title,Description,Keywords,concept_1,premise_1,hypothesis_1,concept_2,premise_2,hypothesis_2,concept_3,premise_3,hypothesis_3,concept_4,premise_4,hypothesis_4,concept_5,premise_5,hypothesis_5,Answer.concept_1,Answer.concept_2,Answer.concept_3,Answer.concept_4,Answer.concept_5,Answer.q1_valid,Answer.q2_valid,Answer.q3_valid,Answer.q4_valid,Answer.q5_valid
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",locker room,"Generally, locker rooms are segregated by gender.","Generally, locker rooms are meant to be a place where people come together.",playroom,"Generally, playrooms have been built.","Generally, a playroom is a large room.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can only be reached by climbing it.",baritone,"Generally, a baritone can be considered to be a male voice.","Typically, a baritone has a higher pitch range.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy may be caused by damage to the cerebellum.,locker room,playroom,mountain,baritone,cerebral palsy,2,3,3,2,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",locker room,"Generally, locker rooms are segregated by gender.","Generally, locker rooms are meant to be a place where people come together.",playroom,"Generally, playrooms have been built.","Generally, a playroom is a large room.",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can only be reached by climbing it.",baritone,"Generally, a baritone can be considered to be a male voice.","Typically, a baritone has a higher pitch range.",cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy may be caused by damage to the cerebellum.,locker room,playroom,mountain,baritone,cerebral palsy,2,3,3,2,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hive,"Generally, a hive can be composed of many different types of bees.","Typically, hives may be infected by a virus, bacteria.",congress,"Congress can be used to change the law, but only Congress can make laws.","Generally, a congress can be composed of any number of people.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants may have beneficial effects.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter may be a person who appears to be someone else.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu may be set to display.",hive,congress,stimulant,imposter,menu,3,3,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hive,"Generally, a hive can be composed of many different types of bees.","Typically, hives may be infected by a virus, bacteria.",congress,"Congress can be used to change the law, but only Congress can make laws.","Generally, a congress can be composed of any number of people.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants may have beneficial effects.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter may be a person who appears to be someone else.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu may be set to display.",hive,congress,stimulant,imposter,menu,3,3,1,1,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hive,"Generally, a hive can be composed of many different types of bees.","Typically, hives may be infected by a virus, bacteria.",congress,"Congress can be used to change the law, but only Congress can make laws.","Generally, a congress can be composed of any number of people.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants may have beneficial effects.,imposter,"Typically, an imposter can be spotted.","Typically, an imposter may be a person who appears to be someone else.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu may be set to display.",hive,congress,stimulant,imposter,menu,3,3,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, a malaria parasite is transmitted to humans.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily can be considered to be a flowering plant.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of any number of factors.,microgreens,"Typically, microgreens produce their color.","Generally, microgreens are grown indoors.",gutter,"Generally, a gutter can consist of several layers of material.","Generally, a gutter can be used to drain water from a building.",malaria parasite,lily,suicide,microgreens,gutter,3,2,1,2,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, a malaria parasite is transmitted to humans.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily can be considered to be a flowering plant.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of any number of factors.,microgreens,"Typically, microgreens produce their color.","Generally, microgreens are grown indoors.",gutter,"Generally, a gutter can consist of several layers of material.","Generally, a gutter can be used to drain water from a building.",malaria parasite,lily,suicide,microgreens,gutter,1,3,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, a malaria parasite is transmitted to humans.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily can be considered to be a flowering plant.",suicide,"Generally, a suicide can consist of many different things.",Suicide can be composed of any number of factors.,microgreens,"Typically, microgreens produce their color.","Generally, microgreens are grown indoors.",gutter,"Generally, a gutter can consist of several layers of material.","Generally, a gutter can be used to drain water from a building.",malaria parasite,lily,suicide,microgreens,gutter,1,2,3,2,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Lowers cholesterol levels may have other health benefits, too.",stimulation,Stimulation can also be induced.,Stimulation should be applied to the skin.,bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be considered to be an extension of the browser itself.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips are eaten raw.",wire,"Typically, a wire is soldered to the circuit board.","Typically, a wire can be attached to a surface to create an electrical circuit.",lowers cholesterol levels,stimulation,bookmark,parsnips,wire,1,3,3,2,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Lowers cholesterol levels may have other health benefits, too.",stimulation,Stimulation can also be induced.,Stimulation should be applied to the skin.,bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be considered to be an extension of the browser itself.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips are eaten raw.",wire,"Typically, a wire is soldered to the circuit board.","Typically, a wire can be attached to a surface to create an electrical circuit.",lowers cholesterol levels,stimulation,bookmark,parsnips,wire,1,3,3,2,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Lowers cholesterol levels may have other health benefits, too.",stimulation,Stimulation can also be induced.,Stimulation should be applied to the skin.,bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be considered to be an extension of the browser itself.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips are eaten raw.",wire,"Typically, a wire is soldered to the circuit board.","Typically, a wire can be attached to a surface to create an electrical circuit.",lowers cholesterol levels,stimulation,bookmark,parsnips,wire,1,1,3,1,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have one or two arrows.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Generally, a scottish terrier is considered to be a medium sized dog.",stimulation,Stimulation can also be induced.,Stimulation produces changes in the brain's reward system.,knight,Knights can be made of any material.,Knights can be made of different materials.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Typically, parsnips produce their own food.",archer,scottish terrier,stimulation,knight,parsnips,1,3,3,1,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have one or two arrows.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Generally, a scottish terrier is considered to be a medium sized dog.",stimulation,Stimulation can also be induced.,Stimulation produces changes in the brain's reward system.,knight,Knights can be made of any material.,Knights can be made of different materials.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Typically, parsnips produce their own food.",archer,scottish terrier,stimulation,knight,parsnips,3,3,3,1,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",archer,"Generally, an archer should be able to shoot a bow.","Typically, an archer may have one or two arrows.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Generally, a scottish terrier is considered to be a medium sized dog.",stimulation,Stimulation can also be induced.,Stimulation produces changes in the brain's reward system.,knight,Knights can be made of any material.,Knights can be made of different materials.,parsnips,"Typically, parsnips may be eaten raw or cooked.","Typically, parsnips produce their own food.",archer,scottish terrier,stimulation,knight,parsnips,1,3,3,1,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with normal function.",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes should be washed in cold water.",carnival,"Generally, a carnival is a celebration.","Generally, a carnival is a place where people gather to celebrate.",contribution,Contributions can be given.,Contributions have been gratefully received.,artichoke,Artichokes can be found in many parts of the world.,Artichokes can be used to add flavor.,interference,bathrobe,carnival,contribution,artichoke,3,3,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with normal function.",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes should be washed in cold water.",carnival,"Generally, a carnival is a celebration.","Generally, a carnival is a place where people gather to celebrate.",contribution,Contributions can be given.,Contributions have been gratefully received.,artichoke,Artichokes can be found in many parts of the world.,Artichokes can be used to add flavor.,interference,bathrobe,carnival,contribution,artichoke,1,3,1,1,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",interference,"Generally, interferences have to do with something.","Generally, interferences can be considered to be anything that interferes with normal function.",bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes should be washed in cold water.",carnival,"Generally, a carnival is a celebration.","Generally, a carnival is a place where people gather to celebrate.",contribution,Contributions can be given.,Contributions have been gratefully received.,artichoke,Artichokes can be found in many parts of the world.,Artichokes can be used to add flavor.,interference,bathrobe,carnival,contribution,artichoke,2,2,1,3,2
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",morning,"On a sunny morning, you can feel the sun on your face.","In the morning, you wake up, go to school.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens should be washed.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat is an animal.",commuter,Commuters are being urged to use public transport if possible.,Commuters may have to deal with delays.,bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes can be made from any material that is comfortable to wear.",morning,microgreens,wild cat,commuter,bathrobe,3,3,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",morning,"On a sunny morning, you can feel the sun on your face.","In the morning, you wake up, go to school.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens should be washed.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat is an animal.",commuter,Commuters are being urged to use public transport if possible.,Commuters may have to deal with delays.,bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes can be made from any material that is comfortable to wear.",morning,microgreens,wild cat,commuter,bathrobe,3,3,3,1,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",morning,"On a sunny morning, you can feel the sun on your face.","In the morning, you wake up, go to school.",microgreens,"Typically, microgreens produce their color.","Generally, microgreens should be washed.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat is an animal.",commuter,Commuters are being urged to use public transport if possible.,Commuters may have to deal with delays.,bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes can be made from any material that is comfortable to wear.",morning,microgreens,wild cat,commuter,bathrobe,1,2,1,1,1
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to move.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities should be cleaned with a soft toothbrush.",genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify specific genes that are associated with specific diseases.,ottoman,Ottomans have always been a nation.,"Generally, an ottoman can be made of wood, metal, or plastic.",emission,"Generally, emissions have declined in the past.","Generally, emissions are expected to increase.",other vertebrate,cavity,genome,ottoman,emission,2,3,3,2,2
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to move.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities should be cleaned with a soft toothbrush.",genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify specific genes that are associated with specific diseases.,ottoman,Ottomans have always been a nation.,"Generally, an ottoman can be made of wood, metal, or plastic.",emission,"Generally, emissions have declined in the past.","Generally, emissions are expected to increase.",other vertebrate,cavity,genome,ottoman,emission,1,1,1,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to move.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities should be cleaned with a soft toothbrush.",genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify specific genes that are associated with specific diseases.,ottoman,Ottomans have always been a nation.,"Generally, an ottoman can be made of wood, metal, or plastic.",emission,"Generally, emissions have declined in the past.","Generally, emissions are expected to increase.",other vertebrate,cavity,genome,ottoman,emission,3,1,3,3,2
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs are rolled out.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring produces its own copy of the gene.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be found in kitchens.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a single flower.",parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips can be grown in containers.",dough,offspring,kettle,lily,parsnips,3,3,3,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs are rolled out.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring produces its own copy of the gene.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be found in kitchens.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a single flower.",parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips can be grown in containers.",dough,offspring,kettle,lily,parsnips,3,3,3,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs are rolled out.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring produces its own copy of the gene.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be found in kitchens.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a single flower.",parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips can be grown in containers.",dough,offspring,kettle,lily,parsnips,3,3,3,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts may be made from wood or metal.",sibling,"Generally, siblings are expected to help one another.","Generally, siblings are predisposed to have different personalities.",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat is just a row boat.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be made of several different types of grain.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Generally, a reflector can be considered to be an optical element that focuses light.",mast,sibling,rowboat,cereal,reflector,3,3,3,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts may be made from wood or metal.",sibling,"Generally, siblings are expected to help one another.","Generally, siblings are predisposed to have different personalities.",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat is just a row boat.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be made of several different types of grain.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Generally, a reflector can be considered to be an optical element that focuses light.",mast,sibling,rowboat,cereal,reflector,3,3,3,3,3
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts may be made from wood or metal.",sibling,"Generally, siblings are expected to help one another.","Generally, siblings are predisposed to have different personalities.",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat is just a row boat.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be made of several different types of grain.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Generally, a reflector can be considered to be an optical element that focuses light.",mast,sibling,rowboat,cereal,reflector,3,3,3,3,3
