Title,Description,Keywords,concept_1,premise_1,hypothesis_1,concept_2,premise_2,hypothesis_2,concept_3,premise_3,hypothesis_3,concept_4,premise_4,hypothesis_4,concept_5,premise_5,hypothesis_5
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",other vertebrate,"Typically, other vertebrates may have been able to evolve.","Generally, other vertebrates have the ability to move.",cavity,"Typically, cavities have to be cleaned out.","Generally, cavities should be cleaned with a soft toothbrush.",genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify specific genes that are associated with specific diseases.,ottoman,Ottomans have always been a nation.,"Generally, an ottoman can be made of wood, metal, or plastic.",emission,"Generally, emissions have declined in the past.","Generally, emissions are expected to increase."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",dough,"Generally, doughs can be made of any combination of flour, water.","Generally, doughs are rolled out.",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, an offspring produces its own copy of the gene.",kettle,"Generally, kettles can be used to boil water.","Generally, kettles can be found in kitchens.",lily,"Typically, a lily may be planted in the ground.","Generally, a lily is a single flower.",parsnips,"Typically, parsnips may be eaten raw or cooked.","Generally, parsnips can be grown in containers."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mast,"Typically, masts can be fastened to the hull.","Typically, masts may be made from wood or metal.",sibling,"Generally, siblings are expected to help one another.","Generally, siblings are predisposed to have different personalities.",rowboat,"Generally, a rowboat should be able to float.","Generally, a rowboat is just a row boat.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be made of several different types of grain.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Generally, a reflector can be considered to be an optical element that focuses light."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",nature,Nature can be found in every corner of the globe.,Nature can be used to help us understand the physical world.,opera house,"Generally, an opera house can be made of wood, metal, or concrete.","Generally, an opera house can be used to create an atmosphere.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants have been found to be effective in treating ADHD.,vegetation,"Generally, vegetation can be used to cover a large area.","Generally, vegetation can be removed from an area by burning, cutting, or other means.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu can be attached to an object."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",genome,"Typically, a genome can consist of thousands of genes.",Genomes can be used to identify genes.,blind,"Generally, blinds can be installed in your home or business.","Generally, blinds can consist of many different types of materials.",shower curtain,"Generally, a shower curtain can be made from any material.","Generally, a shower curtain can be used to cover a shower.",clay,"Generally, clays can be found in many places in the world.","Generally, clays can be found in many different types of soils.",petal,"Generally, a petal can be considered to be part of a flower's petals.","Generally, a petal can be considered to be a flower."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",porcupine,"Generally, a porcupine should be left alone.","Generally, a porcupine is a small rodent.",archer,"Generally, an archer should be able to shoot a bow.","Generally, archers have the ability to use their bows.",germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.",Germs are an important part of the environment.,kohlrabi,"Typically, a kohlrabi has a greenish color.","Generally, kohlrabi is best eaten fresh, but it can be frozen.",patio,"Generally, patios can be considered to be part of the landscape.","Typically, patios can be found in front of restaurants."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",llamas,"Generally, llamas have been domesticated.","Typically, llamas produce their own manure.",scottish terrier,"Typically, a scottish terrier may be neutered or spayed.","Typically, scottish terriers are bred to be a working dog.",opera house,"Generally, an opera house can be made of wood, metal, or concrete.","Generally, an opera house can be considered to be a venue.",time,"Generally, a time may be deemed to have passed if an employee's employment relationship with an employer terminates.","Generally, a time can consist of any number of minutes, hours, days, weeks, months, years, etc.",wire,"Typically, a wire is soldered to the circuit board.","Generally, a wire can consist of many different types of conductors."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",locker room,"Generally, locker rooms are segregated by gender.","Typically, a locker room can only hold so many people.",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be used to convey a message.",playroom,"Generally, playrooms have been built.","Typically, a playroom has a wall.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Generally, a kingdom may be ruled by a king, queen, duke, count, baron, earl, viscount,",knight,Knights can be made of any material.,Knights can be made of any type of metal.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",blind,"Generally, blinds can be installed in your home or business.","Generally, blinds can be made of wood or metal.",hive,"Generally, a hive can be composed of many different types of bees.","Generally, a hive can be composed of any number of workers.",inference,"Generally, inferences are made based on a person's past behavior.","Generally, inferences can be drawn from these data.",living room,"Generally, a living room can be used for several purposes.","Generally, a living room can be taken away from you if you don't pay your rent on time.",basket,Baskets can be removed from the oven to allow them to cool.,Baskets should be stored in a dry place.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",organic compound,"Generally, organic compounds are formed in the body.","Generally, organic compounds have been shown to be less toxic than inorganic compounds.",nurse,"Generally, a nurse can be found in any hospital in the country.","Generally, a nurse can be removed from a patient's care if their care is deemed inappropriate.",playroom,"Generally, playrooms have been built.","Generally, playrooms have to be designed.",lung cancer,"Generally, lung cancer is treated with surgery, radiation, chemotherapy, or both.","Generally, lung cancer may be treated with surgery or radiation therapy.",stimulant,Stimulants are stimulants that are used to treat ADHD.,Stimulants are drugs that increase blood flow to your muscles.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",offspring,"Generally, an offspring should be able to stand on its own two feet.","Typically, offspring are born to mothers.",milkweed,"Typically, a milkweed has a flower.","Typically, milkweeds have a single stem.",sandwich maker,"Typically, a sandwich maker can be made.",Sandwich makers have been told to stop using plastic bags.,bathrobe,"Typically, bathrobes may have been worn.","Generally, bathrobes can be made.",speaker,Speakers can be made of any material.,Speakers can be used to communicate with other speakers.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",catapult,Catapults can be found in almost every area of the world.,"Catapults can be made of many materials, including wood.",chalice,"Generally, a chalice can be made of silver, gold, or copper.","Generally, a chalice can be made of silver, gold, or other precious metals.",kitty,"Typically, a kitty may be placed in a kennel with other cats.","Typically, a kitty may be kept in a small cage.",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover can be made of wood, metal, stone, or other material.",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can be considered to be a rhythm."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",crew,Crews can be used to repair the ship.,Crews should be able to work.,laser,"Generally, a laser may have an output power.","Typically, a laser can be used to create a hologram.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, herbivorous animals have to eat a lot to get enough protein.",meteorology,Meteorology are all about the weather.,Meteorology is all about the weather.,buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup can be identified."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",hive,"Generally, a hive can be composed of many different types of bees.","Typically, a hive may have one queen.",oasis,"Generally, an oasis can be used to create a safe haven.","Generally, an oasis can consist of several different types of structures.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Generally, a reflector can be considered to be an optical element that reflects light.",news,"Generally, news may be delivered to you by email.",News can be used to spread the word about your business.,cerebral palsy,Cerebral palsy can be a debilitating condition.,Cerebral palsy are disorders of the nervous system.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",car park,"Generally, car parks can be found in the city centre, close to train stations.","Typically, a car park can be attached to an existing building, or it can be constructed from scratch.",carnival,"Generally, a carnival is a celebration.","Usually, carnivals have a theme.",germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.","Generally, germs can be removed from the skin.",kingdom,"Generally, a kingdom may be ruled by a king, queen, prince, princess, count, baron, earl, viscount","Generally, kingdoms are governed by a king.",clay,"Generally, clays can be found in many places in the world.","Generally, clays should be dried."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",genome,"Typically, a genome can consist of thousands of genes.","Typically, a genome can be removed from a host cell.",knight,Knights can be made of any material.,"Generally, a knight can be considered to be a warrior.",stimulation,Stimulation can also be induced.,Stimulation is the key to success.,interference,"Generally, interferences have to do with something.","Typically, interferences produce a change.",interference,"Generally, interferences have to do with something.","Generally, interferences can be composed of any number of types."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",laser,"Generally, a laser may have an output power.","Typically, a laser produces a very narrow beam.",polo shirt,"Typically, a polo shirt has a button.","Generally, a polo shirt can be purchased at any sporting goods retailer.",other organism,"Generally, other organisms may be able to adapt.","Typically, other organisms produce enzymes to break down their own proteins.",menu,"Generally, a menu may be made up of several items, each with its own name.","Typically, a menu may have only one option.",pistachios,"Generally, pistachios have a sweet, nutty flavour.","Generally, pistachios produce a nutty, sweet flavor."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",gutter,"Generally, a gutter can consist of several layers of material.","Generally, a gutter can be used to drain water from a pool.",consciousness,Consciousness can be composed of many different states.,Consciousness can consist of many different types of information.,deck chair,"Typically, deck chairs are designed to be used in a seated position.","Typically, a deck chair may have a single seat.",piano stool,"Generally, a piano stool can be made of many different materials.","Generally, a piano stool can be made of wood or metal.",clay,"Generally, clays can be found in many places in the world.","Generally, clays can be found in many different forms."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",bathrobe,"Typically, bathrobes may have been worn.","Typically, bathrobes may have a different color.",artichoke,Artichokes can be found in many parts of the world.,"Generally, an artichoke should be eaten raw.",carnival,"Generally, a carnival is a celebration.","Generally, a carnival is a place where people go to enjoy themselves.",bookmark,Bookmarks can be found in your bookmarks folder.,Bookmarks can be used to save a page.,germ,"Generally, a germs can consist of bacteria, viruses, fungi, protozoa, arthropods, etc.","Generally, germs can be attached to any surface."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",wimp,"Generally, a wimp may be a person who lacks confidence.","Generally, wimps are people who don't want to do anything.",sandwich maker,"Typically, a sandwich maker can be made.","Generally, a sandwich maker is a device used to make sandwiches.",inference,"Generally, inferences are made based on a person's past behavior.","Generally, inferences should be drawn from the evidence.",deck chair,"Typically, deck chairs are designed to be used in a seated position.","Typically, a deck chair can be purchased.",sandwich maker,"Typically, a sandwich maker can be made.","Typically, a sandwich maker has to be able to produce a sandwich."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",malaria parasite,"Typically, a malaria parasite may be transmitted to humans by a bite from an infected animal.","Typically, a malaria parasite can be transmitted to humans by a bite.",lowers cholesterol levels,"Generally, a lowers cholesterol levels are a good thing.","Generally, a lowers cholesterol levels are better than a higher cholesterol levels.",chair,"Generally, chairs have a back.","Typically, a chair may have a maximum weight limit.",christmas ornament,"Usually, a christmas ornaments can be used to decorate a tree.","Typically, christmas ornaments have to be handmade.",baseball player,"Generally, a baseball player should be able to hit a curveball.","Generally, baseball players are paid a salary."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",nature,Nature can be found in every corner of the globe.,"Generally, nature can be considered to be a ""living"" system.",stimulation,Stimulation can also be induced.,Stimulation produces changes in the brain.,attacker,"Typically, attackers have to compromise a user's device.","Typically, an attacker may be able to compromise a user.",trench coat,"Typically, a trench coat may be worn with a blouse.","Generally, a trench coat is a coat.",giver,"Generally, a giver can be used to give something to someone else.","Generally, givers are predisposed to give to those who are in need."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",onions,"Generally, onions are used to add flavor.","Generally, onions can be eaten raw or cooked.",cleaner,Cleaners may be used to clean.,Cleaners are responsible for cleaning up after themselves.,brussels sprouts,"Typically, brussels sprouts are cooked until tender.","Typically, brussels sprouts have a mild, sweet flavor.",chalice,"Generally, a chalice can be made of silver, gold, or copper.","Generally, a chalice can consist of any number of elements.",kohlrabi,"Typically, a kohlrabi has a greenish color.","Generally, kohlrabi is best eaten fresh."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",yodel,"Generally, a yodel can be composed of a single note.","Generally, a yodel can consist of a single syllable.",multicellular organism,Multicellular organisms are able to adapt to changes.,Multicellular organisms have the ability to adapt.,archer,"Generally, an archer should be able to shoot a bow.","Generally, an archer has to be able to aim.",consciousness,Consciousness can be composed of many different states.,Consciousness can be found in many places.,horoscope,"Generally, horoscopes can be found in books, newspapers, magazines, or online.","Generally, horoscopes can be considered to be predictions of the future based upon past events."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",conveyer,Conveyers are used to move items from one place to another.,"Generally, a conveyer is a device used to move goods from point A to point B.",herbivorous animal,"Generally, herbivorous animals produce milk for their young.","Generally, herbivorous animals have the ability to digest plant matter.",porcupine,"Generally, a porcupine should be left alone.","Generally, a porcupine should be kept in a secure area away from direct sunlight.",mover,"Generally, a mover can be made of any material that can be moved.","Generally, a mover has to be able to stop.",llamas,"Generally, llamas have been domesticated.","Generally, llamas may be kept outdoors in a fenced area."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat may be killed only if it poses an immediate threat to human safety.",consciousness,Consciousness can be composed of many different states.,Consciousness can be found in all living things.,lily,"Typically, a lily may be planted in the ground.","Typically, lilies can be found in the wild.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be attached to an existing house or a new house.",ottoman,Ottomans have always been a nation.,Ottomans are proud of their country's history.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",nurse,"Generally, a nurse can be found in any hospital in the country.","Generally, a nurse can be found in any hospital or nursing home.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Typically, a wild cat can be identified by its coat.",shower curtain,"Generally, a shower curtain can be made from any material.","Generally, a shower curtain is a curtain.",time,"Generally, a time may be deemed to have passed if an employee's employment relationship with an employer terminates.","Generally, time can be taken away from other activities.",hive,"Generally, a hive can be composed of many different types of bees.","Generally, a hive can be composed of any number of worker bees."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",playroom,"Generally, playrooms have been built.","Generally, a playroom is a room.",crusher,"Typically, a crusher can be made of steel or aluminum.","Typically, a crusher can be made of steel, aluminum, or other materials.",wild cat,"Generally, a wild cat may be killed only if it poses an imminent threat to human safety.","Generally, a wild cat may be killed only if it poses an immediate threat to humans.",reflector,"Typically, a reflector can consist of an array of individual reflectors.","Typically, a reflector can consist of an array of reflective surfaces.",crank,"Generally, cranks have two main components.","Generally, cranks have two main parts."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",cereal,"Generally, cereals can be found in most grocery stores in the US.","Typically, a cereal can be fastened to a stick, which is then used to feed an animal.",cook,Cooks have a lot to learn about cooking.,Cooks have a lot to say about their food.,reflector,"Typically, a reflector can consist of an array of individual reflectors.",Reflectors can be used to reflect light back to the source.,tigers,"Generally, tigers may be killed for their meat.","Generally, tigers have been known to attack humans in the wild.",crew,Crews can be used to repair the ship.,Crews can be used to repair or replace damaged equipment.
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",progress,"Generally, progress can be slow.","Generally, progress may be slow, but it does happen.",kettle,"Generally, kettles can be used to boil water.","Typically, kettles may be used to cook foods.",gutter,"Generally, a gutter can consist of several layers of material.","Typically, a gutter can be attached to a vehicle to prevent water from leaking.",doghouse,"Generally, a doghouse can be made of wood or metal.","Generally, a doghouse can be made of any kind of material.",cleaner,Cleaners may be used to clean.,"Cleaners are responsible for cleaning, disinfecting."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",mountain,"Generally, a mountain can be considered to be a large hill.","Generally, a mountain can consist of many different types of landforms.",meteorology,Meteorology are all about the weather.,Meteorology are the sciences.,vulture,"Generally, vultures can only eat dead animals.","Generally, vultures are attracted to carcasses.",cereal,"Generally, cereals can be found in most grocery stores in the US.","Generally, cereals should be eaten in the morning.",lung cancer,"Generally, lung cancer is treated with surgery, radiation, chemotherapy, or both.","Generally, lung cancer may be treated with surgery to remove the tumor."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",imposter,"Typically, an imposter can be spotted.","Typically, an imposter is a person who pretends to be someone else.",walking stick,"Generally, a walking stick can consist of a stick.","Generally, a walking stick can be used to help a person get around.",week,"During a work week, you may have a couple of hours to spare.","During a work week, you may have a couple of days off.",menu,"Generally, a menu may be made up of several items, each with its own name.","Generally, a menu can be composed of any number of different types.",costume,Costumes can be found in the wardrobe.,"Generally, costumes are made to order."
Sentence Relationships Labeling,"This is the qualification for a task involving looking at the label assigned to a pair of sentences. The label indicates whether the sentences are related. Then, you will read explanations for the label and rate their quality.","natural language inference, explanations, AI, reading, interpretation",account,"Typically, an account may have a single user.",Accounts are stored in a database.,week,"During a work week, you may have a couple of hours to spare.","During a busy week, you may have a hard time finding the time to exercise.",gutter,"Generally, a gutter can consist of several layers of material.","Typically, a gutter can be attached to a vehicle's front bumper.",buttercup,"Typically, a buttercup may be seen in the wild only during spring.","Typically, a buttercup is a small, round, yellow flower.",shower curtain,"Generally, a shower curtain can be made from any material.","Generally, a shower curtain can be considered to be an integral part of a shower head."
