Title,Description,Keywords,word,pos,definition1,definition2,definition3,definition4,definition5,definition6,definition7,definition8,definition9,definition10,definition11,definition12,NumSenses
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,5
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,6
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",appreciate,v,[I/We appreciate...] used when you are thanking someone or showing that you are grateful,to gradually become more valuable over a period of time,to increase in value,"to recognize or understand that something is valuable, important or as described",to thank someone or be grateful for something they have done,to understand how good or useful someone or something is,to understand how serious a situation or problem is or what someone's feelings are,[would appreciate] used when you are politely requesting something,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,10
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,9
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,6
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,6
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,6
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,9
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,5
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,n,a close connection joining two or more people,"an official document promising that a government or company will pay back money that it has borrowed, often with interest 1 4",an official paper given by the government or a company to show that you have lent them money that they will pay back to you at an interest rate that does not change,a sum of money that is paid to formally promise that someone accused of a crime and being kept in prison will appear for trial if released,a written agreement or promise,"a written agreement to do something, that makes you legally responsible for doing it","chains, ropes etc used for tying up a prisoner",in or out of a bonded warehouse,something that limits your freedom and prevents you from doing what you want,"something that unites two or more people or groups, such as love, or a shared interest or idea",the chemical force that holds atoms together,the way in which two surfaces become fixed to each other using glue,4
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,3
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
Indicate how many general meanings there are in a list of dictionary definitions,Please indicate the number of general meanings in a list of definitions,"Easy, Question, quick, survey, fast, simple, find, click, payment",bond,v,"if two things bond with each other, they become firmly fixed together, especially after they have been joined with glue",to develop a special relationship with someone,to keep goods in a bonded warehouse,"to stick materials together, especially using glue",,,,,,,,,2
