Title,Description,Keywords,event0,event1,event2,Answer.q1-obj-use1,Answer.q1-obj-use2,Answer.q1-obj-use3,Answer.q1-obj-use4,Answer.q1-obj1,Answer.q1-obj2,Answer.q1-obj3,Answer.q1-obj4,Answer.q2-obj-use1,Answer.q2-obj-use2,Answer.q2-obj-use3,Answer.q2-obj-use4,Answer.q2-obj1,Answer.q2-obj2,Answer.q2-obj3,Answer.q2-obj4,Answer.q3-obj-use1,Answer.q3-obj-use2,Answer.q3-obj-use3,Answer.q3-obj-use4,Answer.q3-obj1,Answer.q3-obj2,Answer.q3-obj3,Answer.q3-obj4,Answer.req-obj1-na,Answer.req-obj1-sense,Answer.req-obj2-na,Answer.req-obj2-sense,Answer.req-obj3-na,Answer.req-obj3-sense
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts the pump into operation,PersonX attacks another mailbox,PersonX reaches the water 's faucet,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},touch it,touch,{},{},hands,a sink,{},{},,0,,0,,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX avoids the animals altogether,PersonX also gave PersonY clothes,PersonX passes the phone upon PersonY,avoid altogether,avoid altogether,avoid altogether,avoid altogether,varmints,creatures,dogs,beasts,give to PersonY,give to PersonY,give to PersonY,give to PersonY,dresses,slacks,coat,sweater,pass upon PersonY,pass upon PersonY,pass upon PersonY,{},cellphone,horn,mobile,{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX applies the test to the study,PersonX shares PersonX's pizza with others,PersonX really like the car,{},{},{},{},{},{},{},{},give to people,put the food on,{},{},food,plates,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX places the book in the hands,PersonX uses visine often,PersonX makes cake at work,put in the hands,put the book in,{},{},book,hands,{},{},put in their eyes,put the visine in,{},{},visine,eyes,{},{},bake at work,bake the cake in,{},{},cake,pan,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX also gave clothes,PersonX makes cake in terms,PersonX raises a wall to build,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX washes one another 's clothes,PersonX puts pen to paper,PersonX shows every monitor,{},{},{},{},{},{},{},{},to write with,to write on,{},{},pen,paper,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX leaves PersonX's newspaper behind,PersonX sets the timer for the rest,PersonX uses oar to support,{},{},{},{},{},{},{},{},set the timer on,set the timer on,{},{},alarm clock,phone,{},{},lean on,get the oar from,{},{},paddle,canoe,{},{},0.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX serves every drink,PersonX leaves the house soon,PersonX watches tv all the time,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds cards in the attic,PersonX puts a cake into the oven,PersonX saves car from destruction,{},{},{},{},{},{},{},{},put the cake into the oven,safely put the cake into the oven,{},{},hot pads,gloves,{},{},{},{},{},{},{},{},{},{},0.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX burns the candle at both ends,PersonX studies history for years,PersonX sticks the knife in the vegetables,{},{},{},{},{},{},{},{},read history,research online,{},{},textbooks,computer,{},{},{},{},{},{},{},{},{},{},0.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX walks another cat,PersonX carries the couch back,PersonX sells PersonY's book at a price,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX drives away the flies,PersonX shares the snacks equally,PersonX locks wallet in PersonX's room,smack the insects away,make insects go away,{},{},swatter,repellent,{},{},{},{},{},{},{},{},{},{},lock away in the room,prevent others from entering room,{},{},purse,lock,{},{},1.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives the tree water,PersonX gets soda from the vending machine,PersonX plants grass in PersonX's backyard,pour,spill water,{},{},watering can,pitcher,{},{},buy,pay,{},{},money,wallet,{},{},sow,grow,{},{},seeds,mud,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX offer pencils to students,PersonX does dance around the house,PersonX gets notebooks in school,offer,make sure pencils are usable,{},{},writing utensils,pencil sharpener,{},{},{},{},{},{},{},{},{},{},put notebook on,store notebook,{},{},desk,locker,{},{},1.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX holds open the door,PersonX finds contracts to describe,PersonX uses PersonY's bike to obtain,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,0.0,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX publishes articles in cooperation,PersonX gives everyone a drink,PersonX measures the milk accurately,write about,publish to,{},{},data,a medium,{},{},hand out,buy beverages,{},{},beverages,money,{},{},calculate amount,to calculate,{},{},a measuring cup,liquid,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX raises a fence to build,PersonX binds the papers together,PersonX plays another game,stake to ground,attach wood together,{},{},wood,nails,{},{},package documents together,hold the documents together,{},{},stapler,clip,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX wastes food talking,PersonX takes bikes to the ocean,PersonX carries the food back,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX purchases beans online,PersonX uses PersonX's blender well,PersonX improves students ' bowls,buy beans,buy beans,{},{},money,a computer,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX destroys pictures in hell,PersonX pulls PersonX's hand away,PersonX moves another car,destroy,ruin the pictures in,{},{},pictures,hell,{},{},{},{},{},{},{},{},{},{},drive to another location,drive first,{},{},car,another car,{},{},1.0,1,,0,,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX protects dog from violence,PersonX finds bandaids to help PersonY,PersonX puts the bread back,protect,create violence,{},{},dogs,other dogs,{},{},put on PersonY,put a bandaid on,{},{},bandaids,PersonY,{},{},place back,place the bread back on,{},{},bread,a shelf,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts the potatoes in the oven,PersonX changes hats quickly,PersonX spills water on the floor,hold the potatoes,to handle the baking sheet,{},{},baking sheet,oven mitt,{},{},switch on and off,{},{},{},multiple hats,{},{},{},spill,{},{},{},pitcher filled with water,{},{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX never liked horses,PersonX gives tim his phone,PersonX walks hand in hand,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives PersonY's girlfriend hugs,PersonX understands the barbecue better,PersonX immediately took banana,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX eats sushi alone,PersonX takes yorgut out of the freezer,PersonX brings chicken to the table,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts PersonY's dog to work,PersonX accidentally cut the cord,PersonX buys the food at a price,{},{},{},{},{},{},{},{},cut the cord,cut the cord,{},{},a pair of scissors,pliers,{},{},{},{},{},{},{},{},{},{},0.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX supplies every shelf,PersonX gives the cat treats,PersonX rides a motorcycle around town,{},{},{},{},{},{},{},{},reward the feline,store the food,{},{},food,bag,{},{},fill the tank,protect their head,{},{},gas,helmet,{},{},1.0,0,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX assists the cup in making,PersonX inherits PersonX's father 's car,PersonX puts the car in motion,{},{},{},{},{},{},{},{},pick up their father's car,hold their father's car,{},{},drivers license,garage,{},{},drive the car,turn car on and drive forward,{},{},gas,keys,{},{},,0,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds papers to describe,PersonX finds meat in the freezer,PersonX gets gifts on PersonX's phone,{},{},{},{},{},{},{},{},get meat,get meat,{},{},open the freezer,open door,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX ties Noose around PersonX's neck,PersonX sets supports to the house,PersonX has food every day,hand around their neck,reach high place to hang rope,{},{},rope,chair,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes sweaters in PersonX's spare time,PersonX evens got gifts,PersonX sends PersonX's friend a painting,knit the sweaters,knit the sweaters,{},{},sewing needle,fabric,{},{},{},{},{},{},{},{},{},{},send the painting in,frame the painting,{},{},an envelope,a portrait,{},{},1.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX prevents the ant from making,PersonX takes frisbee to a park,PersonX repels smoke by force,{},{},{},{},{},{},{},{},bring the frisbee to,bring to the park,{},{},park,frisbee,{},{},push away,{},{},{},smoke,{},{},{},,0,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gets the boat across,PersonX divides pizza into groups,PersonX shows another cake,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX keeps the horses apart,PersonX kisses the dog on the cheek,PersonX wraps bottles in a towel,hold the horses away from each other,to keep the horses apart,{},{},stable,stall,{},{},kiss the dog,to kiss the cheeks of,{},{},his lips,the dog,{},{},wrap in a towel,wrap the bottles,{},{},glass,piece of cloth,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes a bike across the country,PersonX rushes her bird to the vet,PersonX reads the book together,go across the country,{},{},{},Bicycle,{},{},{},take to the vet,take the bird to the vet,{},{},fowl,transportation,{},{},{},{},{},{},{},{},{},{},,1,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes into consideration the dog,PersonX leaves the building quickly,PersonX understands clearly the room,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX drives car fast,PersonX receives the king 's scepter,PersonX quickly found the keys,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes a towel to the beach,PersonX pulls PersonY's hand away,PersonX kicks balls away,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes lotion to the beach,PersonX saves the crabs alive,PersonX makes doughnuts at home,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},make donuts,to make donuts,{},{},pots,ingredients,{},{},0.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes love in bed,PersonX gets the weapon into PersonX's hands,PersonX takes dog too fast,have a space for a bed,have a place,sleep on,{},home,bedroom,bed,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,,0,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX brings the home to terms,PersonX takes cash to PersonX's favorite restaurant,PersonX acknowledges gratefully the laptop,{},{},{},{},{},{},{},{},hold cash,hold cash,{},{},wallet,purse,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX has mulch the next day,PersonX comes to work early,PersonX feels the bra in PersonY's chest,pick up the mulch,buy the mulch,{},{},truck,money,{},{},get on the train,buy the train ticket,{},{},train ticket,money,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX welcomes fruit from those companies,PersonX finds bottle in the garbage,PersonX gives clothes to others,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},give away,donate to charity,{},{},shirts,pants,{},{},0.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX searches every locker,PersonX uses PersonY's book to get,PersonX produces oranges annually,check locker,check lockers,{},{},keys,code,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX carries the dog far,PersonX catches the plane just in time,PersonX plays football after school,{},{},{},{},{},{},{},{},get onto the flight,{},{},{},ticket,{},{},{},play football,{},{},{},ball,{},{},{},0.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX watches a dog on youtube,PersonX makes bread at home,PersonX seeks a boat elsewhere,show video,show video,{},{},monitor,smart tv,{},{},bake,hold dough,{},{},oven,pan,{},{},search for a boat,call places for a boat,{},{},computer,phone,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX glues toys back together,PersonX delivers flowers to customers,PersonX folds bandage across PersonY's chest,to repair toy,{},{},{},glue,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX locks keys in PersonX's room,PersonX regards the painting as one,PersonX puts dishes together,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,,0,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX uses the key to get,PersonX classifies the notes according,PersonX also ate fruit,open with key,unlock,{},{},lock,door,{},{},classify,add to notes,{},{},filing cabinet,labels,{},{},hold fruit,cut fruit,{},{},basket,knife,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX plays a sport in the world,PersonX gives dog a huge hug,PersonX reduces the volume much,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,,0,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX cooks vegetables on the stove,PersonX holds PersonY's hand during behavior,PersonX prevents the food from coming,cook on the stove,cook the vegetables on,{},{},vegetables,stove,{},{},{},{},{},{},{},{},{},{},keep from coming,bring the food,{},{},food,person,{},{},1.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX hangs art on the wall,PersonX gives PersonX's dog A HUG,PersonX gives the dog food,hand the art on,secure the nail in the wall,{},{},nail,hammer,{},{},{},{},{},{},{},{},{},{},put the food in,open the dog food,{},{},bowl,can opener,{},{},1.0,1,,0,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX asks the cat to the dance,PersonX puts pillows around PersonY,PersonX washes one another 's back,request a dance,be able to dance,{},{},cat,legs,{},{},place around PersonY,place pillow around,{},{},pillows,PersonY,{},{},{},{},{},{},{},{},{},{},1.0,1,1.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX buys food from the grocery store,PersonX wraps scarf around PersonY's shoulders,PersonX shares PersonX's music with others,buy groceries,buy groceries,{},{},money,coins,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1,0.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX learns the Drums by heart,PersonX lays PersonX's towel upon it,PersonX changes the tire in a way,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0,0.0,1,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX challenges a bull to a fight,PersonX finds cash on the street,PersonX sends sandwiches to a conference,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},pay for sandwich,hold sandwiches,{},{},money,crate,{},{},0.0,1,0.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX adapts the desk to the needs,PersonX sells clothes on the street,PersonX sees an apple for sale,{},{},{},{},{},{},{},{},collect money,buy the products,{},{},a till,customers,{},{},{},{},{},{},{},{},{},{},,0,1.0,1,0.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts lanyard on PersonY's shoulder,PersonX puts the chair in PersonX's room,PersonX turns the statue away,place on PersonY's shoulder,place the lanyard on,{},{},lanyard,PersonY's shoulder,{},{},place in their room,place the chair in,{},{},chair,room,{},{},turn away,turn the statue,{},{},statue,hands,{},{},1.0,1,1.0,1,1.0,1
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX buys computers for PersonX's children,PersonX pushes a plant on the ground,PersonX plays another die,buy computers,transport computers to PersonX's house.,hold money,{},money,car,wallet,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,1,,0,,0
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX hurts another guppy,PersonX forgets the bike at home,PersonX finds alcohol in PersonY's house,hold guppy,cut guppy,{},{},aquarium,knife,{},{},{},{},{},{},{},{},{},{},hold alcohol,store alcohol,{},{},cabinet,bottles,{},{},1.0,1,0.0,1,1.0,1
