Title,Description,Keywords,facts,sentence,model,Answer.coverage,Answer.quality
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : less than £ 20 | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Punter is a Chinese restaurant near Raja Indian Cuisine in the riverside area. It is not family friendly and the price range is less than £ 20.,a_star,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Italian | price : moderate | area : city centre | family friendly : no | near : Raja Indian Cuisine,An Italian pub near Raja Indian Cuisine in the city centre is The Wrestlers. It has a moderate price range and is not kids friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Plough | Type : restaurant | food : Chinese | price : high | area : riverside | family friendly : no | near : Raja Indian Cuisine,The Plough is a high priced Chinese restaurant in riverside near Raja Indian Cuisine. It is not family friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : cheap | customer rating : 5 out of 5 | area : city centre | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a cheap French pub near the Crowne Plaza Hotel in the city centre. It is not family - friendly and has a customer rating of 5 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,3,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : more than £ 30 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a children friendly Japanese restaurant in the city centre near Raja Indian Cuisine. They have a price range of more than £ 30,a_star,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,2,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Strada | Type : pub | customer rating : 1 out of 5 | near : Rainbow Vegetarian Café,Strada is a pub near Rainbow Vegetarian Café which has a customer rating of 1 out of 5.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,3,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Italian | price : more than £ 30 | customer rating : high | area : riverside | family friendly : no | near : Rainbow Vegetarian Café,The Vaults is a pub providing Italian food in the more than £ 30 price range. It is located in Riverside near the Rainbow Vegetarian Café. Its customer rating is high although it is not children friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : restaurant | food : Fast food | price : moderate | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Phoenix is a fast food restaurant that is moderately priced and is family friendly located in the riverside area near Raja Indian Cuisine.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,3,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,3,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,3,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,2
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,3,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : more than £ 30 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Punter is a Chinese restaurant in riverside near Raja Indian Cuisine. It is children friendly but has a price range of more than £ 30.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : more than £ 30 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Punter is a Chinese restaurant in riverside near Raja Indian Cuisine. It is children friendly but has a price range of more than £ 30.,a_star,4,1
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Chinese | price : more than £ 30 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Punter is a Chinese restaurant in riverside near Raja Indian Cuisine. It is children friendly but has a price range of more than £ 30.,a_star,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Indian | price : high | customer rating : average | area : city centre | family friendly : yes | near : Express by Holiday Inn,The Punter is a children friendly restaurant located in the city centre near Express by Holiday Inn. They serve Indian food at a high price range with an average customer rating.,neurologic,4,3
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Punter | Type : restaurant | food : Indian | price : high | customer rating : average | area : city centre | family friendly : yes | near : Express by Holiday Inn,The Punter is a children friendly restaurant located in the city centre near Express by Holiday Inn. They serve Indian food at a high price range with an average customer rating.,neurologic,3,2
