Title,Description,Keywords,event0,event1,event2,Answer.feedback,Answer.input_event,Answer.q1-obj-use1,Answer.q1-obj-use2,Answer.q1-obj-use3,Answer.q1-obj-use4,Answer.q1-obj1,Answer.q1-obj2,Answer.q1-obj3,Answer.q1-obj4,Answer.q2-obj-use1,Answer.q2-obj-use2,Answer.q2-obj-use3,Answer.q2-obj-use4,Answer.q2-obj1,Answer.q2-obj2,Answer.q2-obj3,Answer.q2-obj4,Answer.q3-obj-use1,Answer.q3-obj-use2,Answer.q3-obj-use3,Answer.q3-obj-use4,Answer.q3-obj1,Answer.q3-obj2,Answer.q3-obj3,Answer.q3-obj4,Answer.req-obj1-na,Answer.req-obj1-sense,Answer.req-obj2-na,Answer.req-obj2-sense,Answer.req-obj3-na,Answer.req-obj3-sense,Approve,Reject
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX leaves the plane quickly,PersonX gives book back to PersonY,PersonX turns board away from PersonY,I wasn't sure if the last option referred to a wooden board or a board game,PersonX leaves the plane quickly|PersonX gives book back to PersonY|PersonX turns board away from PersonY,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},play,to hold the board (game),{},{},board game,table,{},{},0.0,1.0,0.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX drives away the flies,PersonX shares the snacks equally,PersonX locks wallet in PersonX's room,{},PersonX drives away the flies|PersonX shares the snacks equally|PersonX locks wallet in PersonX,smack the insects away,make insects go away,{},{},swatter,repellent,{},{},{},{},{},{},{},{},{},{},lock away in the room,prevent others from entering room,{},{},purse,lock,{},{},1.0,1.0,0.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives the tree water,PersonX gets soda from the vending machine,PersonX plants grass in PersonX's backyard,{},PersonX gives the tree water|PersonX gets soda from the vending machine|PersonX plants grass in PersonX,pour,spill water,{},{},watering can,pitcher,{},{},buy,pay,{},{},money,wallet,{},{},sow,grow,{},{},seeds,mud,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX offer pencils to students,PersonX does dance around the house,PersonX gets notebooks in school,{},PersonX offer pencils to students|PersonX does dance around the house|PersonX gets notebooks in school,offer,make sure pencils are usable,{},{},writing utensils,pencil sharpener,{},{},{},{},{},{},{},{},{},{},put notebook on,store notebook,{},{},desk,locker,{},{},1.0,1.0,0.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX holds open the door,PersonX finds contracts to describe,PersonX uses PersonY's bike to obtain,{},PersonX holds open the door|PersonX finds contracts to describe|PersonX uses PersonY,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,,0.0,0.0,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX publishes articles in cooperation,PersonX gives everyone a drink,PersonX measures the milk accurately,{},PersonX publishes articles in cooperation|PersonX gives everyone a drink|PersonX measures the milk accurately,write about,publish to,{},{},data,a medium,{},{},hand out,buy beverages,{},{},beverages,money,{},{},calculate amount,to calculate,{},{},a measuring cup,liquid,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX raises a fence to build,PersonX binds the papers together,PersonX plays another game,{},PersonX raises a fence to build|PersonX binds the papers together|PersonX plays another game,stake to ground,attach wood together,{},{},wood,nails,{},{},package documents together,hold the documents together,{},{},stapler,clip,{},{},{},{},{},{},{},{},{},{},1.0,1.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX wastes food talking,PersonX takes bikes to the ocean,PersonX carries the food back,{},PersonX wastes food talking|PersonX takes bikes to the ocean|PersonX carries the food back,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX purchases beans online,PersonX uses PersonX's blender well,PersonX improves students ' bowls,{},PersonX purchases beans online|PersonX uses PersonX|PersonX improves students,buy beans,buy beans,{},{},money,a computer,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX destroys pictures in hell,PersonX pulls PersonX's hand away,PersonX moves another car,{},PersonX destroys pictures in hell|PersonX pulls PersonX|PersonX moves another car,destroy,ruin the pictures in,{},{},pictures,hell,{},{},{},{},{},{},{},{},{},{},drive to another location,drive first,{},{},car,another car,{},{},1.0,1.0,,0.0,,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX protects dog from violence,PersonX finds bandaids to help PersonY,PersonX puts the bread back,{},PersonX protects dog from violence|PersonX finds bandaids to help PersonY|PersonX puts the bread back,protect,create violence,{},{},dogs,other dogs,{},{},put on PersonY,put a bandaid on,{},{},bandaids,PersonY,{},{},place back,place the bread back on,{},{},bread,a shelf,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts the potatoes in the oven,PersonX changes hats quickly,PersonX spills water on the floor,{},PersonX puts the potatoes in the oven|PersonX changes hats quickly|PersonX spills water on the floor,hold the potatoes,to handle the baking sheet,{},{},baking sheet,oven mitt,{},{},switch on and off,{},{},{},multiple hats,{},{},{},spill,{},{},{},pitcher filled with water,{},{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX never liked horses,PersonX gives tim his phone,PersonX walks hand in hand,{},PersonX never liked horses|PersonX gives tim his phone|PersonX walks hand in hand,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},,0.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gives PersonY's girlfriend hugs,PersonX understands the barbecue better,PersonX immediately took banana,{},PersonX gives PersonY|PersonX understands the barbecue better|PersonX immediately took banana,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX eats sushi alone,PersonX takes yorgut out of the freezer,PersonX brings chicken to the table,{},PersonX eats sushi alone|PersonX takes yorgut out of the freezer|PersonX brings chicken to the table,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX puts PersonY's dog to work,PersonX accidentally cut the cord,PersonX buys the food at a price,{},PersonX puts PersonY|PersonX accidentally cut the cord|PersonX buys the food at a price,{},{},{},{},{},{},{},{},cut the cord,cut the cord,{},{},a pair of scissors,pliers,{},{},{},{},{},{},{},{},{},{},0.0,1.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX supplies every shelf,PersonX gives the cat treats,PersonX rides a motorcycle around town,{},PersonX supplies every shelf|PersonX gives the cat treats|PersonX rides a motorcycle around town,{},{},{},{},{},{},{},{},reward the feline,store the food,{},{},food,bag,{},{},fill the tank,protect their head,{},{},gas,helmet,{},{},1.0,0.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX assists the cup in making,PersonX inherits PersonX's father 's car,PersonX puts the car in motion,{},PersonX assists the cup in making|PersonX inherits PersonX|PersonX puts the car in motion,{},{},{},{},{},{},{},{},pick up their father's car,hold their father's car,{},{},drivers license,garage,{},{},drive the car,turn car on and drive forward,{},{},gas,keys,{},{},,0.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX finds papers to describe,PersonX finds meat in the freezer,PersonX gets gifts on PersonX's phone,{},PersonX finds papers to describe|PersonX finds meat in the freezer|PersonX gets gifts on PersonX,{},{},{},{},{},{},{},{},get meat,get meat,{},{},open the freezer,open door,{},{},{},{},{},{},{},{},{},{},,0.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX ties Noose around PersonX's neck,PersonX sets supports to the house,PersonX has food every day,{},PersonX ties Noose around PersonX|PersonX sets supports to the house|PersonX has food every day,hand around their neck,reach high place to hang rope,{},{},rope,chair,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1.0,,0.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes sweaters in PersonX's spare time,PersonX evens got gifts,PersonX sends PersonX's friend a painting,{},PersonX makes sweaters in PersonX|PersonX evens got gifts|PersonX sends PersonX,knit the sweaters,knit the sweaters,{},{},sewing needle,fabric,{},{},{},{},{},{},{},{},{},{},send the painting in,frame the painting,{},{},an envelope,a portrait,{},{},1.0,1.0,,0.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX prevents the ant from making,PersonX takes frisbee to a park,PersonX repels smoke by force,{},PersonX prevents the ant from making|PersonX takes frisbee to a park|PersonX repels smoke by force,{},{},{},{},{},{},{},{},bring the frisbee to,bring to the park,{},{},park,frisbee,{},{},push away,{},{},{},smoke,{},{},{},,0.0,1.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX gets the boat across,PersonX divides pizza into groups,PersonX shows another cake,{},PersonX gets the boat across|PersonX divides pizza into groups|PersonX shows another cake,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX keeps the horses apart,PersonX kisses the dog on the cheek,PersonX wraps bottles in a towel,{},PersonX keeps the horses apart|PersonX kisses the dog on the cheek|PersonX wraps bottles in a towel,hold the horses away from each other,to keep the horses apart,{},{},stable,stall,{},{},kiss the dog,to kiss the cheeks of,{},{},his lips,the dog,{},{},wrap in a towel,wrap the bottles,{},{},glass,piece of cloth,{},{},1.0,1.0,1.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes a bike across the country,PersonX rushes her bird to the vet,PersonX reads the book together,{},PersonX takes a bike across the country|PersonX rushes her bird to the vet|PersonX reads the book together,go across the country,{},{},{},Bicycle,{},{},{},take to the vet,take the bird to the vet,{},{},fowl,transportation,{},{},{},{},{},{},{},{},{},{},,1.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes into consideration the dog,PersonX leaves the building quickly,PersonX understands clearly the room,{},PersonX takes into consideration the dog|PersonX leaves the building quickly|PersonX understands clearly the room,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX drives car fast,PersonX receives the king 's scepter,PersonX quickly found the keys,{},PersonX drives car fast|PersonX receives the king |PersonX quickly found the keys,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,,0.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes a towel to the beach,PersonX pulls PersonY's hand away,PersonX kicks balls away,{},PersonX takes a towel to the beach|PersonX pulls PersonY|PersonX kicks balls away,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},0.0,1.0,0.0,1.0,0.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX takes lotion to the beach,PersonX saves the crabs alive,PersonX makes doughnuts at home,{},PersonX takes lotion to the beach|PersonX saves the crabs alive|PersonX makes doughnuts at home,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},make donuts,to make donuts,{},{},pots,ingredients,{},{},0.0,1.0,0.0,1.0,1.0,1.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX makes love in bed,PersonX gets the weapon into PersonX's hands,PersonX takes dog too fast,{},PersonX makes love in bed|PersonX gets the weapon into PersonX|PersonX takes dog too fast,have a space for a bed,have a place,sleep on,{},home,bedroom,bed,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},1.0,1.0,,0.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX brings the home to terms,PersonX takes cash to PersonX's favorite restaurant,PersonX acknowledges gratefully the laptop,{},PersonX brings the home to terms|PersonX takes cash to PersonX|PersonX acknowledges gratefully the laptop,{},{},{},{},{},{},{},{},hold cash,hold cash,{},{},wallet,purse,{},{},{},{},{},{},{},{},{},{},,0.0,1.0,1.0,,0.0,,
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PersonX has mulch the next day,PersonX comes to work early,PersonX feels the bra in PersonY's chest,{},PersonX has mulch the next day|PersonX comes to work early|PersonX feels the bra in PersonY,pick up the mulch,buy the mulch,{},{},truck,money,{},{},get on the train,buy the train ticket,{},{},train ticket,money,{},{},{},{},{},{},{},{},{},{},1.0,1.0,1.0,1.0,0.0,1.0,,
