Title,Description,Keywords,id,question,answer_choices,gold_label,source_sample_1,source_sample_2,source_sample_3,source_sample_4,source_sample_5,explanation_1,explanation_2,explanation_3,explanation_4,explanation_5,nll_1,nll_2,nll_3,nll_4,nll_5,Answer.acceptable
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",e3286184b4062ed0bfa872e208ad722b,"He lit another candle in the Menorah, everybody at the what watched?","synagogue, birthday cake, dimly lit room, mosque, or bedroom",synagogue,1,0,2,greedy,3,"In common celebrations of the Jewish holiday Hanukkah that we celebrate in the United States, candles are used to mark the beginnng of the holiday season, to commemorate miracles in times long ago, and in Jewish tradition, they symbolize light","Jews celebrate Hanukkah by lighting the Menorah, and so, as is fitting for this type of solemn event, they usually do it in a synagogue.","In synagogues, menorahs are often put on display at a classy, public place where others can watch them, e.g., near in front of the stage, etc.","The menorah is a candelabra that is lit during the Jewish holiday of Hanukkah, and it is typically lit in synagogues.","While people light candles for personal reasons, like a birthday celebration, it's also typical for the members of a synagogue to light candles at a synagogue in a menorah, e.g., during Hanukkah or to celebrate a Jewish holiday.",2.264085237,1.711213796,1.946001883,0.684083876,1.618868481,2|4|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",9617ec5081849407fb8d0b230ec16582,What is water rapids that are choppy considered?,"blue, surface of earth, shaky, important, or dangerous",dangerous,2,1,3,0,greedy,"Such rapids are choppy and dangerous, as their changes are steep.",Choppy water is dangerous.,"Roughly, dangerous things are usually strategic disadvantage that can hurt someone (by hurting them directly, or brutalizing them), and rampaging water is a naturally form of this disadvantage, which even non-swimmers must avoid.","Rapids are usually foamy, and thus are dangerous to boats and swimmers.","Water rapids are dangerous, as they can be choppy and unpredictable.",2.709695998,1.186830055,3.195932683,1.621731942,0.90059365,2|3|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",1b786e62d9086f97d3e9c87432e3fd10,What would a person do if he or she wants to buy something at a store?,"cross street, wait in line, offer help, enjoy working, or open an umbrella",wait in line,0,greedy,3,1,2,"When one wants to buy something at a store, one has to (generally) wait in line.","If one wants to buy something at a store, one would have to wait in line.","If one wants to buy anything at a store, it is likely that one will wait in a long line.","People only have so many body parts; if they are bad at working, they probably have some sort of condition. For example, blind people can use their canes to signal to others, which they use as a part of a successful day. These","Sometimes, when you want to buy something from a store, you have to wait in line, either because that the store wasn't restocked recently, or because it's very busy.",0.916428549,0.449913155,1.228406789,2.771554679,1.447928436,1|2|3|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",5986c94db0fe5f90a48c607f47143b14,"After four long years he would no longer be a student, what had he been able to do?","solve equation, study book, graduate, finish college, or begin teaching",finish college,3,2,0,greedy,1,"Someone who attends college is attending in an effort to take classes that would lead to a degree, and finishing college occurs when enough credit hours have been accumulated to qualify that person for a degree.","Having completed college, he would no longer be a student/ university student anymore.","After four years in college, one will generally be able to graduate, and then begin working or teaching somewhere.","After four years of college, a student will have completed their studies and will be able to begin teaching.","Four years is the standard period of time in the US for obtaining a bachelors degree. In the interest of time, it is common for students to focus on finishing their degree so that they can begin their careers.",2.048937102,2.128391745,1.497073203,0.881753111,1.311898369,3|4|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",09c62f30f3ae6f699b0c8ceaef4b6d8c,"If you see policemen outside wearing safety vest and holding flashlights, what are they doing?","hurry along, corner thief, searching in dark, direct traffic, or help",direct traffic,2,3,greedy,0,1,"This is likely in late-night conditions, when it is dark. The flashlights and safety vest likely mean that the officers are directing traffic.","If a person sees police directing traffic near a brightly shined light source, it's likely they are trying to help people get to their destination faster.","Police officers are often seen directing traffic, because traffic control is a common task for police officers.","Police officers often pull over cars (to, e.g., check the driver's license, or any suspicious activity) at corners, and since searching in dark requires the use of flashlights, we can conclude that police are stopping cars at corners.",Policemen would most likely be around an area policemen in the evening to direct traffic.,1.891373482,1.818980753,1.104413181,2.041351037,2.891414577,1|2|3
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",d153e026606afddfeb18a66001d5226b,Where can you find a place to eat and places to buy items of many different kinds?,"own house, shopping center, city, bar, or downtown",shopping center,1,2,0,greedy,3,"There are typically a great variety of stores inside a shopping center (e.g., grocery store, gas stations, book store, cloths store, hardware store, flower shop, etc.).","A shopping center is a group of buildings usually consisting of at least a movie theater and a grocery store, sometimes a car dealership, or other similar buildings. City rows are residential areas with single-family homes, usually grouped together to be the same model",Most towns have shopping centers that include all different types of businesses; towns do not have every type of business in every household.,"A shopping center is a place where you can find a variety of stores, e.g., clothing stores, grocery stores, restaurants, etc.","Shopping centers has places to eat, places to buy items of different mentalities, and usually a place of entertainment.",1.514975127,2.394715264,2.055832954,0.630758355,2.342085089,1|4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",2c39f1c037c9ab0453ce41dc39ab22af,"In the city the family didn't have a back yard, but now they did since they lived in a what?","suburb, property, yards, neighborhood, or farm",suburb,1,3,0,2,greedy,Houses in suburbs are often equipped with back yards.,Those who live in suburban or exurban areas tend to live on plots of land which is subdivided into lots containing homes. Such sub-divisions tend to comprise homeowners (such as the newly-arrived family) and their associated backyards.,"Suburbs often have back yards, some of which have gardens. Farms or country areas are much less likely to have them.","Most suburbs have yards, where families can do such things as have barbecues or cookouts.",Suburbs are often characterized by having back yards.,1.40170713,2.324411508,1.748025889,1.715232273,0.857619792,1|4|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",3e947cb8c14db8671911d019eb2908cf,Sam was an alcoholic.  He was in a car crash two years ago and was injured.  Where might he have crashed?,"bar, bridge, prison, neighbor's house, or park",bridge,greedy,0,1,2,3,"Alcoholics often drive drunk, and bridges are a common place for car crashes.","Alcoholics have been known to crash their cars near bars, because this is where they buy/find alcohol in order to consume it; this may lead to drunk and possibly reckless driving.","Newer cars are often sold with alcohol-based interior products, whereas older cars might not have been.",That is where most alcoholics crash.,Bridges and overpasses are usually where drunk people have accidents.,0.955339894,1.940182493,2.353980292,2.111261793,1.808520596,1|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",0bde4855f00515a18eca4e1ac91a14d1,"A human is hitch hiking near Hoboken, where is he?","new jersey, department store, near italy, new orleans, or homes",new jersey,1,3,2,0,greedy,Hoboken is a city in New Jersey.,"Hoboken is a town in New Jersey; a human is likely hitchhiking in the location he is, rather than in the location a person might have previously known him.",Hoboken is located in New Jersey.,Hoboken is a city near the coast in New Jersey.,Hoboken is a city in New Jersey.,0.242110794,1.792083606,0.534182276,1.063215003,0.240331658,1|2|3|4|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",b38fbe110f6cef2f6d46879afcab775a,How can a company get things to their customers?,"ship goods, carrier pigeon, own factory, mail order, or commit crime",ship goods,3,0,1,2,greedy,"Things can be shipped to customers' houses, and that is plausable for a company to do.","Since most companies would prefer not to have to commit crimes to satisfy their customer base, shipping goods is a plausable strategy.","Companies who ship goods need a way to transport them, which is often via a ship.","A company might ship goods by boat, truck, train, or plane. The reason for needing a crate could be for the safe transport of fragile or valueable goods. Also, companies don't generally want to commit crimes or break the law to make","Companies can ship goods to customers, and this is the most plausible option.",2.156526388,1.742732697,1.742547063,2.061678331,1.114389151,1
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",531d225164c7ff45bdbd39c5a0cc451a,Where can a mouse be found in a box?,"cupboard, at the store, own home, computer store, or pantry",computer store,2,greedy,3,0,1,"Bait or lure would be found in something like this, so a live mouse might be found in a computer store, since it is marketed towards retailers.","A mouse is a small animal that can be found in a box. A computer store sells computers, which are also small.","You can buy many types of computer peripherals at a computer store, so a mouse could probably be bought at a computer store.","While there is just one mouse, a computer store likely doesn't have (to the intended audience of this board) only one kind of mouse.",A mouse is commonly found in a computer store because it is often found in a computer.,2.677684092,0.81687489,1.477804473,2.520879459,1.130049042,3
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",dcd122ca9d94e06ed3f86d39ef5fbe8c,If you playing baseball and you miss a swing it is called what?,"sore muscles, strikes, agony, pain, or injury",strikes,3,greedy,2,0,1,"If you swing and miss you get to swing again. This hurts coaches more than players because they are supposed to be good at playing baseball, and a student doing their best is painful to an instructor.","If you miss a swing, you are not able to hit the ball, and so you are not able to score a point.","A strike"" in baseball is when someone is forced to swing at a batter but misses. So, if they are forced to swing but miss, they have ""struck"" out.",If you miss a swing with a bat you usually get a strike.,Neglecting to swing when a pitch has been thrown is a strike.,2.375549041,0.80852615,1.662940281,1.306426216,1.7120347,4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",0a09a1b22703aacd53e1b854d6b5188b,Where can you get gasoline?,"gas station, refineries, oil rig, boat, or power mower",gas station,greedy,3,1,0,2,"Gasoline is a type of fuel that is used in cars, and so it's likely that one would get it at a gas station.",Gas stations are places where gasoline is sold.,"Gasoline is made from petroleum, which is used to produce petrochemicals. Petroleum products are commonly not produced in mobile form and are instead only found in stationary sources, like refineries and in land rigs.","Gasoline is made by refining crude oil extracted from the refinery process at oil rigs; thus, geting gasoline vould involve taking it from the gas station.",Gas is the medium by which gasoline is transported. Gas stations are the main location for parking vehicles that need gas.,0.784914214,0.79414966,2.315521741,2.382161012,1.932300319,2
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",399865c53cc4048e1a6ad8ca80428d29,"He was on his first long haul and had gotten lost, he made sure to buy a map when he came across a what to stop at?","truck stop, gas station, amusement park, taco shop, or backpack",truck stop,0,greedy,2,3,1,"Truck stops usually have a gas station and something to eat at. And, in this case, he's on a long haul (driving for a long time) so wouldn't need to be concerned with interuptions from his path; he just needs","Truck stops are places where truck drivers can stop to rest, eat, and refuel.",Truck stops are used to rest and/or refuel semi-trucks as they travel across the country.,"A truck stop is a place where deliveries and shipments happen, often hooking up to the fuel systems of gas trucks. It was most likely a place where you could buy a map.","Trucks which carry long distance cargo will probably go to a truck stop fairly frequently, so that it can refill its boos with fuel and rest its driver.",2.08546616,0.927084201,1.277413426,2.16987149,2.367137685,4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",f31d16a69a1818669398b020e739cbc7,John needed his watched fixed. Where might he take it?,"jewellers, jewelery store, guard tower, department store, or mall",jewellers,1,2,3,0,greedy,"If a watch is mechanical, and needs cleaning or fixing, a local jewellers is a good place to go to.","Watches are often cuff links (people often wear one watch but don't want it to be visible, i.e., they cuff their shirts over it), or rings. All these types of jewelry are typically made by a jeweller, so to","Jewelery stores typically sell goldsmithing, gemstones (where the gold is often set in), etc. These factors could potentially get a family heirloom watch fixed.",Watch and jewelry shops have watchmakers.,"John's watch is a piece of jewellry, so he might take it to a jewellers.",1.525448462,2.233393023,2.603342949,2.393024911,0.534441832,1|3|4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",84b04244c4a853e1bab4f55c3667836e,What places would have a cemetery?,"bury loved ones, churchyard, populated area, bury corpse, or most cities",most cities,greedy,1,2,3,0,"Most cities have a cemetery, which is a place to bury corpses.","In most cities, one is likely to find a graveyard of one type or another where it is possible to burry a loved one.",Even large cities will have graveyards.,"Even though people are fairly mobile, they tend to feel a sense of belonging somewhere. When someone in a city dies, they want to be buried in the area they felt was their home.","There are so many cemeteries, and they are so common, that every single city on Earth would have at least some. Therefore, the correct answer is ""most cities.",0.812597864,1.658001248,1.707297874,1.809794691,1.564365446,1|2|4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",c1b2c4419b3cd768d208f991d14ef9e7,"If someone is a mechanic, what are likely issues they will be asked to fix?","machine tool, machine parts, oil squeaky joints, oil engine, or servicing airplane",oil engine,0,2,1,3,greedy,"All engines in cars/trucks are used to transport the oil throughout the whole engine. Hence, those who work on cars are regularly being asked to repair engine oil.",Mechanics help maintain machines. Oil may be necessary to keep engines lubricated.,"Perhaps due to its low price, motor oil tends to leak out of car engines relatively frequently. Therefore, an engine mechanic mostly works on oil in their job.","A traditional mechanic does not numerically or otherwise fix machines, but instead works closely with the machines' mechanical parts (e.g., oil, tires, wheels, chains, belts, etc.) and the physical conduits that transport those parts' oil","Mechanics are often called upon to fix engines, which are part of machines.",2.232732772,2.069553248,2.434250575,2.539000278,1.007838722,2|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",e8670bf47395eddcbe78be40d1268886,What can be the feeling of someone  giving assistance?,"feeling good, death, trouble, happiness, or pleasure",feeling good,greedy,1,0,2,3,"If you help someone, you might feel good about it.",One might feel good when accepting help from others.,Providing assistance can be felt as good because it's desirable for unfortunate events that people are in need of assistance.,It's likely that giving assistance would be gratifying and leave the person feeling good.,A positive feeling would be a plausible feeling to have upon helping someone.,0.667558548,1.974976403,2.337000139,1.616345886,1.80627041,1|4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",553c1c0f1164b95a62d67de6d2504c90,Where might a human sit for extended periods over a bowl of water?,"bathroom, solar system, airport, coffee shop, or space shuttle",bathroom,1,greedy,2,3,0,People frequently use bathrooms for the purposes of defecating and urinating. They therefore spend time over a bowl of water. They would not in other places. Reslons why someone wouldn't spend time sitting over a pool of water somewhere else from,"A human might sit on a toilet for extended periods of time, over a bowl of water.","Humans use bathrooms as a place to perform various private functions that sometimes involve sitting for extended periods of time. And afterwards, usually they feel to wash their hands with water.","In a bathroom, one might sit over a toilet in order to use it.","A cat could sit over a bowl of water on a floor, while the humans wash themselves nearby.",2.356888104,0.571131136,2.331872874,1.094705299,2.400263539,2
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",f2e61ca8e863104f58565834fb68e50c,When a newborn's eyes open for the first time it will be the first time the ever?,"glass over, see light, be happy, fill with tears, or tear up",see light,greedy,0,3,1,2,"Newborns are born with their eyes closed, and so they have never seen light before.",Babies cry when they are brought into the world. This may be due to the change of lighting in the environment; newer born babies may not have seen any lights before leaving their mothers' wombs.,"At birth, a baby's eyes will be opened for the very first time, after having been covered by eyelids for the entire period of gestation. It would be the very first time the child's eyes would ever be opened.","Outside of entering through an opening in a woman's body, the first time a human sees anything will be upon their birth. Upon exiting the birth canal, at the beginning of labour, the human will see light for the very first time.","When an new born's eyes open, they're usually experiencing light for the first time.",0.727992575,1.902701927,1.373639037,1.884441409,1.658602641,1|4
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",a68be5a6b77f1f4ec66e60667eea6331,What gift do people claim that god has for people?,"everywhere, judge people, care for people, bible, or work miracles",work miracles,2,0,greedy,3,1,Some religious people think that god works miracles.,"What is a god's main purpose in every religion? To (supposedly) bring miracles, revelation, and care to the people, thus performing god's job is considered to be a miracle.",People claim that god has given them a gift of being able to work miracles.,God presumably has a great many gifts for peoples' good: it reasons that one of these gifts is the ability to work miracles.,"People who believe in a god say that god cares for them and performs miracles for them; hence, if a person has a god, he or she should claim that god commonly works miracles for him or her; this is a complaint many theists lodge",1.800867935,2.158211994,0.831320819,2.182493602,1.926536614,1
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",4317cfeba4112e72ab1efb7e824441c0,If a person has stage fright and is about to go on stage what will they experience?,"ridiculous, anxiety, open sores, happiness, or different",anxiety,1,0,greedy,2,3,"Anxiety, a subjective feeling of apprehension, is often related to feeling nervous about something. Going on stage is a common source of nervousness in fiddling players.","Stage fright is feeling anxious before performing in a public setting. If you were ready to perform badly on stage, then you would likely feel that your anxiety is ridiculous, or absurd,",Anxiety is a feeling of worry or fear. Stage fright is a feeling of anxiety about performing in front of an audience.,"Anxiety is a fearfulness about a future event. It usually involves nervousness or worry about something happening. Stage fright is anxiety about the prospect of speaking in public, or performing on a stage. Thus, stage fright is a feeling of nervousness about",People who have stage fright experience anxiety before going on stage to do a performance.,2.103973949,2.268195073,0.671858914,1.665492378,1.169768644,1|3|4|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",fda6891d1692b7ae8213b28b75b444f1,What happens to living beings when they are nervous?,"palpitations, death, laughter, getting old, or perspiration",perspiration,2,greedy,0,3,1,"Nervousness can cause one's blood pressure to increase and accelerate heart rate and respiration, which in turn cause perspiration. This causes them to sweat.","Nervousness causes people to sweat, and sweating is a sign of nervousness.","If a living organism is nervous, a common response is for his or her body to perspire.","When I was a kid, excess body heat often made me nervous. As a result, I would sweat.",Nervousness can cause someone to sweat.,1.547201345,0.668789414,1.636353452,1.962398518,0.631095745,1|2|3|5
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",38e64e4014d6c17479d6f0604c46af76,"It was a stunning sight to the explorer, the garden oasis in the middle of the what was the most beautiful thing he had seen?","wasteland, desert, hop garden, parking lot, or sand dune",desert,2,3,greedy,1,0,"Deserts are mostly barren, arid expanses of sand, and the conditions are not very fertile. Oases are water resources in a desert.","Oases are very rare, and have an oasis in the middle make them very beautiful. Since he had viewed much desert and wastelands, an oasis is probably the most beautiful thing he had seen at that point.","The desert is a dry, barren place. The oasis was a lush, green garden in the middle of the desert.",Billy traveled through the desert. An oasis would have been a picturesque site in such an arid place.,"An oasis can exist in a landscape, like a landmark. An oasis, however, is watered by a nearby natural feature, such as a lake or waterhole. In this context, sense a visitor had never seen one, the oasis",2.048301466,1.791656022,0.908427184,2.631634804,2.406055357,1|3
Judge and rank explanations.,"This task will involve reading 5 explanations for the answer to a ""commonsense"" question and rating each for acceptability.","commonsense, explanations, AI, reading, interpretation",b3dc6d6a5e2f9d7da8eb72816c80b3f8,A projectile ball is in what after being launched?,"tennis court, motion, flintlock, arcade, or catapult",motion,greedy,0,1,3,2,A projectile ball is in motion after being launched.,"A projectile ball, e.g., a baseball, is launched in such a way as to make it travel. As a result, the ball has momentum.","After a projectile is launched, e.g., by a mechanism like a catapult, it tends to be in motion.","A projectile, e.g., a rocket, will be moving after being launched.","objects might be taken different distances depending on the velocity, responce of the launcher, and drag on the projectile. Motion is the ability to change an objects kinetic energy (energy moving) to linear momentum (momentum moving linearly)",0.620109128,1.374687557,1.124794695,1.064912105,2.785263433,3|4
