Title,Description,Keywords,id1,premise1,hypothesis1,nearest_neighbors1,label1,id2,premise2,hypothesis2,nearest_neighbors2,label2,id3,premise3,hypothesis3,nearest_neighbors3,label3,id4,premise4,hypothesis4,nearest_neighbors4,label4,id5,premise5,hypothesis5,nearest_neighbors5,label5
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",235145,"The idea of taking on the world's financial institutions and the IMF, a body that is a bastion of American influence, is a sign of a leader who is a leader of a nation that is emerging from the shadows of the Cold War.",The United States is a bastion of American influence.,"[389118, 109307, 245017, 165443, 378435]",neutral,237529,"All the students who were assigned to the second group in the study, in which the teacher used both an active and a passive method of instruction, improved more than the students who were assigned to the first group.",The students who were assigned to the first group improved more than the students who were assigned to the second group.,"[152010, 263004, 86562, 220851, 349226]",contradiction,310859,"In a situation where a project is in a ""state of crisis,"" it is important to take immediate action to address the situation.",The project is in a state of crisis.,"[365636, 367560, 48712, 37488, 189820]",neutral,158687,"When she told her father that she was pregnant, he said, ""It's too bad you're not having a boy.""","When she told her father that she was pregnant, he said, ""It's too bad you're not having a girl.""","[150720, 150517, 64681, 258891, 251645]",contradiction,97743,A major challenge in the current process is the inability to define exactly what constitutes a significant emission.,Each emission type has its own part about it.,"[272197, 348269, 364810, 264119, 297491]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",31051,A second is said to have remarked that he thought the Postal Service needed some mechanism for recovering unforeseen expenses!,A second Governor might have made a remark about Postal Services operations.,"[169866, 64134, 372500, 337158, 148890]",entailment,169789,"He ran down the hall, screaming.","He ran down the hall, yelling and screaming.","[231776, 231322, 42536, 295349, 251250]",neutral,44612,"If you are planning to attend the event, please send your registration form to the appropriate departmental office.",The correct answer is not sent to the appropriate departmental office.,"[67993, 170729, 68650, 236512, 379879]",contradiction,339668,The second case was a similar story.,The second case was a similar story to the first case.,"[208681, 364317, 228133, 392165, 73044]",contradiction,93754,"A public school in New York City, which is now a high school, was once a reform school for juvenile delinquents.",The school was a reform school.,"[56979, 200006, 188094, 122257, 187244]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",182913,I love you.,I like you.,"[40471, 58746, 361733, 85189, 62540]",neutral,286069,I have a right to know.,He felt that he had a right to know.,"[90340, 3730, 267715, 154790, 62783]",entailment,298529,"In the absence of a strong and sustained increase in consumer spending, the economy will be in a recessionary cycle for years to come.",Consumer spending will not increase.,"[225369, 50962, 236215, 392190, 250728]",contradiction,109143,I hope you'll see to it that our two statesmen don't end up having to go through the whole procedure again.,I hope you'll make sure our two leaders don't have to go through the whole process again.,"[31899, 5625, 228074, 313213, 95757]",entailment,212794,"In a recent article, economist Thomas Sowell wrote that the United States has the highest incarceration rate in the world.","In the United States, the highest incarceration rate in the world is a fact.","[226190, 356594, 17837, 292509, 320966]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",41673,The paper said that the problem was that the economy was not growing fast enough.,The economy was growing very fast.,"[328090, 131374, 298907, 242436, 354463]",contradiction,29752,"It is not surprising that some people might be upset by the price of gasoline, but they should not be so quick to judge the entire industry.",The entire industry is not to blame.,"[340090, 800, 118417, 28748, 5059]",contradiction,200849,"In the city of Yogyakarta, which is the capital of the Indonesian province of Yogyakarta, there are a number of examples of the Javanese-style architecture.",The buildings are all located in the same area.,"[254476, 293380, 312775, 64087, 156033]",neutral,207348,The police have been accused of acting as a law unto themselves.,The police are acting as a law unto themselves.,"[318337, 233925, 305956, 169256, 65234]",entailment,67030,The 'scary' woman of the American dream is one who is not afraid to use her power to control her own destiny.,The American dream is scary.,"[379183, 304277, 30324, 114578, 162057]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",51781,"In the fall of 1994, a group of business leaders gathered in Washington to discuss the future of the nation's transportation system.",The group gathered in Washington to discuss the future of the nation's transportation system.,"[182122, 319004, 150403, 387467, 121456]",contradiction,363113,The purpose of this article is to discuss the application of the “socially responsible” label to the insurance industry.,The insurance industry is socially responsible.,"[18073, 75407, 295237, 326187, 384422]",neutral,25777,She told me that she'd be very interested in learning more about the project.,She was interested in the project.,"[382060, 253918, 263451, 89018, 216555]",entailment,298918,This is the primary means by which the system is designed to be used.,The primary means by which the system is designed to be used is to be used.,"[54123, 67961, 310301, 52437, 358706]",contradiction,290018,He's going to have to say something.,He's going to have to take a position.,"[115404, 329480, 14052, 147434, 61459]",entailment
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",73872,The British were unwilling to join the war against the United States.,The British were unwilling to join the war against the Soviet Union.,"[128470, 225218, 18403, 81862, 59777]",contradiction,11504,What would you do if you were a general manager of a baseball team?,You would hire the best manager you could find.,"[321741, 63819, 309928, 260558, 391299]",neutral,87497,It is possible that some of the boys are so stupid that they do not know that they are stupid.,Some of the boys are so stupid that they do not know they are stupid.,"[79514, 138793, 279548, 272376, 93668]",neutral,94937,I think I'll have a drink.,I'll have a drink.,"[87279, 106911, 259341, 273729, 22653]",neutral,78322,"In the face of this massive new source of power, the question is not whether a corporation will abuse it, but how it will abuse it.","The question is not whether a corporation will abuse it, but how it will abuse it.","[96083, 5254, 124591, 361601, 92411]",entailment
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",221645,"The Rambam also discusses this problem, in the context of the",The Rambam is not a rabbi.,"[60658, 165995, 81842, 119129, 66160]",entailment,17745,"There's no need to feel you have to be here, ma'am.","I don't have to be here, ma'am.","[212588, 140696, 318416, 309067, 263044]",entailment,124047,(1) A substantial part of the present U.S. fiscal deficit is attributable to the cost of defense. (2) These defense costs are financed by borrowing from foreign governments.,The U.S. government spends too much on defense.,"[121590, 227480, 240586, 378048, 38784]",neutral,189764,This is a different kind of problem.,The decision is not easy.,"[172705, 385817, 379671, 143943, 310241]",neutral,103566,The evaluation is designed to assess the extent to which the hospital is meeting the needs of the community.,The evaluation needs to assess the extent to which the hospital is meeting the needs of the community.,"[348740, 306524, 65395, 120002, 297634]",entailment
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",126280,"As he approached the church, he saw a man standing in the churchyard, who turned out to be the gardener.",The gardener was in the churchyard.,"[305875, 289034, 322272, 166463, 16362]",neutral,182971,"The Jews, too, were subject to such influences.",The Jews were subject to the same influences as the Gentiles.,"[203443, 311919, 350312, 39215, 233962]",entailment,217895,He had been taught to accept the impossible as the only alternative to the unpalatable.,He had been taught to accept the unpalatable as the only alternative to the impossible.,"[237688, 88956, 146737, 196806, 80630]",contradiction,210039,This will be the most important test of whether or not we can be a global community.,We can be a global community.,"[391972, 116707, 161064, 35469, 171069]",entailment,109850,"If the use of the English language were to be standardized, it would be necessary to define the rules of grammar and usage.",Standardization of the English language is not possible.,"[54400, 164622, 363839, 291437, 331805]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",361937,There is no better place to be than in the midst of the action.,The action is the best place to be.,"[235026, 238379, 19549, 209095, 299083]",entailment,298923,And the great irony is that these people who are all supposed to be part of the same community are actually competing with each other for the privilege of selling each other's data.,"The selling of data is not a privilege, it is a necessity.","[165995, 375413, 78486, 262246, 252448]",entailment,277045,LSC's first priority is to maintain the integrity of the United States Postal Service.,LSC's first priority is to not be the United States Postal Service.,"[296063, 13729, 9168, 43108, 14457]",contradiction,204618,"He was the kind of guy who would tell you he'd been to a lot of places, but you'd never know it from the way he looked.",He looks as if he has been to a lot of places.,"[86663, 157517, 241540, 123933, 326522]",neutral,290513,He also,He also cannot be sure.,"[224539, 117204, 193040, 227433, 381063]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",26586,The following examples of the above are taken from the White House website.,The White House website is the White House.,"[331660, 109690, 96196, 269740, 225092]",entailment,37503,The old lady smiled.,The old lady smiled in response to something.,"[246614, 275611, 86046, 311514, 166267]",entailment,184010,"The big, fat one was wearing a pair of jodhpurs, and a blue jacket with brass buttons.","The big, fat one was the Duke of Marlborough.","[132127, 349813, 69808, 21146, 260059]",neutral,277379,"""I've got a lot of work to do, Mr. Beresford,"" said Mr. Beresford.",Mr. Beresford has a lot of work to do.,"[133209, 80428, 368951, 333063, 176013]",entailment,237805,"She had a good time, she said, adding that she had a wonderful time.",She had a good time.,"[214000, 291176, 50563, 273629, 272373]",entailment
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",224633,'What's that?',I don't know.,"[342633, 299336, 102251, 275199, 64667]",neutral,40162,A new brand of chocolate has been developed by a scientist in a laboratory in a Swiss mountain.,The new chocolate is an old recipe that has been improved.,"[8415, 118033, 226005, 175073, 30478]",contradiction,82435,"To help address the shortage of qualified health care professionals, the Commission has adopted a number of initiatives to improve the education and training of physicians and other health care professionals.",The commission is doing everything in its power to help the country.,"[109296, 25796, 93599, 164889, 66355]",contradiction,322386,I'll go ahead and get my car fixed.,I'll do it myself.,"[215361, 116330, 34939, 126131, 63126]",entailment,305473,The new National Security Strategy was aimed at preventing terrorists from acquiring weapons of mass destruction.,Terrorists cannot acquire weapons of mass destruction.,"[381720, 361148, 322591, 307413, 227039]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",257010,"This chapter examines the two approaches to modelling a biological system, and shows how they can be combined to produce a unified model.",The two approaches are not combined.,"[39512, 10063, 273640, 319667, 239808]",contradiction,148837,"""You've got to remember that the other side is always wrong,"" he said. ""They're wrong about everything.""",The president believes that the other side is always wrong.,"[101240, 375768, 172623, 25066, 310614]",neutral,9436,He asked me if I would go with him to a concert at the Albert Hall.,He said he would go with me to a concert at the Albert Hall.,"[336788, 82417, 54253, 67689, 9950]",contradiction,272649,"She is an American writer who has written several novels, including ""The Woman Warrior"" and ""The Joy Luck Club"".",Amy Tan is an American writer.,"[99736, 220046, 43197, 101542, 140629]",neutral,300513,He did not care what happened to him.,He did not care what happened to the rest of the world.,"[254005, 41995, 391071, 185023, 235333]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",345858,It's not possible.,It's not likely.,"[3634, 218795, 297107, 45224, 68153]",entailment,293381,Many of the questions raised by the decision of the Supreme Court are likely to be,Many of the questions raised by the decision of the Supreme Court are likely to be answered by the Court's decision.,"[112938, 220627, 366842, 157808, 95097]",neutral,3407,"For example, the amount of the additional aid will depend on the percentage of applicants who are eligible for aid.",The amount of the additional aid will depend on the number of applicants.,"[240240, 198323, 106635, 386112, 99667]",contradiction,300783,And it's really about the right to know.,It is about the right to know the truth.,"[351108, 386162, 226429, 89292, 210136]",neutral,72554,I am sure that the other employees in the office will be interested in hearing about my new job.,I will not be interested in hearing about the new job.,"[153765, 225125, 8292, 276665, 350230]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",8753,"To the extent that a practitioner has a written policy that addresses these issues, that policy should be made available to the public.",The policy is not made available to the public.,"[95700, 261080, 376015, 110759, 39855]",contradiction,98400,I was so busy I didn't have time to go to the party.,I had time to go to the party.,"[5103, 279724, 279667, 6641, 43833]",contradiction,339816,"After a long day of talking, she felt like a bundle of nerves.",She was tired and worn out and had a lot to talk about.,"[136393, 308234, 313415, 248712, 140514]",entailment,34668,"Ceriodaphnia dubia (48 h, 25EC)7 11 Mysidopsis bahia (96 h, 22EC)8 14. Pimephales promelas (96 h, 22EC)6 17 Pimephales promelas (24 h, 25EC)7 6 Ceriodaphnia dubia (48 h, 25EC)7 11 Mysidopsis bahia (96 h, 22EC)8 14",Ceriodaphnia dubia is a word.,"[274775, 239323, 113383, 289008, 72303]",entailment,13296,"The morning after the incident, they were all rather subdued, as if they had been given a severe reprimand.",The incident was a big deal.,"[107941, 219277, 135775, 85825, 173099]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",172259,They all had a keen sense of humor and were very entertaining.,They were very funny.,"[140186, 63683, 113335, 122101, 317066]",neutral,147564,"The nation's richest woman, Mrs. Vanderbilt, is a small, petite woman.",Mrs. Vanderbilt is a small woman.,"[294204, 151023, 374290, 108610, 63741]",contradiction,308666,Some of the most successful teams in the National Football League are coached by women.,Some of the most successful teams in the National Football League are coached by men.,"[13251, 69767, 278982, 183458, 260831]",contradiction,93750,"I know the facts, but the facts are not the facts.",The facts are not the facts.,"[367711, 110748, 84133, 36621, 6227]",neutral,339708,He nodded his head.,He agreed.,"[232655, 253381, 43055, 145528, 182664]",neutral
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",243729,"In the morning, as the sun rose, the sky became clear, and the blue sky above the tree tops was as clear as the water of a deep well.",The sky was clear.,"[328507, 97290, 161693, 386717, 309393]",entailment,150498,The Court has held that the Second Amendment is not an individual right.,The Second Amendment is not an individual right.,"[39018, 284709, 355679, 198407, 46912]",entailment,333481,"The impact of the third point is likely to be felt most by the manufacturers of agricultural equipment, which is highly capital intensive.",The third point will affect the manufacturers of agricultural equipment.,"[368593, 211497, 259335, 206404, 89076]",entailment,350047,"To do so, we must first look at the definition of the public good.",The public good is a good that is non-excludable and non-rivalrous.,"[212583, 85563, 322605, 16361, 243058]",neutral,251659,You can't say that he has no sense of humor.,He definitely has a sense of humor.,"[378422, 363068, 194798, 303238, 295735]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",220911,The notion that the whole of nature is a product of a great natural force is a kind of a great natural force.,Nature is a product of a great natural force.,"[232473, 89860, 243950, 215351, 301177]",neutral,4034,It is difficult to believe that they are serious about the new rules.,They are serious about the new rules.,"[51963, 199408, 365728, 284993, 8165]",contradiction,128792,"The paradox of a successful but unrewarding job is that the less you do, the more you are thought to be a success.","The less you do, the more you are thought to be a success.","[8407, 296608, 61316, 380154, 182861]",entailment,323345,A principal purpose of the D&E is to permit a D&E to use a customer's name and address for a mailing list for a particular type of account.,The D&E only uses a customer's name and address for a mailing list for a particular type of account.,"[28568, 77674, 314380, 380139, 200773]",neutral,127493,"He is an ardent supporter of the ""centrality of man"" in all aspects of human life.",The centrality of man is not an aspect of all aspects of human life.,"[134963, 297216, 90925, 293446, 112389]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",83599,"A gentleman in the library looked up and said, ""Who is that woman?""",That woman is not a gentleman.,"[342907, 274940, 322344, 127367, 378234]",contradiction,196820,"In this passage, the phrase ""pondering the mystery of his birth"" has a sense of ""wondering about the mystery of his birth.""",The author is pondering the mystery of his birth.,"[61422, 92878, 297194, 74437, 105873]",entailment,250462,The problem is that these products are marketed to children and youth and they are often high in nicotine and other harmful substances.,The products are used by children and youth.,"[164066, 87404, 282311, 259028, 61702]",neutral,291751,"If you are in a situation where you are being pressured to take an action that you know is not in your best interest, you can use the ""do not negotiate"" technique.",You can't negotiate when you are being pressured.,"[131995, 103027, 204982, 333963, 356965]",neutral,144778,"It is easy to imagine that, had the Japanese taken the opportunity to seize the Philippines, they would have used the country as a base for further expansion in the Pacific.",The Japanese would have seized the Philippines.,"[305881, 305002, 244025, 175731, 174683]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",51663,It is unlikely that the world will see a global economic crisis.,The world will not see a global economic crisis.,"[144127, 186074, 391055, 212354, 76575]",entailment,116553,The first rule of boxing is that you don't talk about boxing.,You don't talk about boxing.,"[173681, 95335, 270090, 247656, 297563]",entailment,355763,"""I think I can guess what you're thinking,"" said Mrs. Foyle.",Mrs. Foyle thinks that Slim is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she is thinking that she,"[277053, 301426, 387341, 165458, 115382]",entailment,270313,"I know that I'm not supposed to say that, but I think that the fact that the first-year class is so large is a good thing.",The first-year class is large.,"[181508, 49137, 95007, 250650, 276142]",entailment,278532,"It's true, he said, that we're all here.",I know we're all here.,"[14705, 246473, 269039, 180300, 76048]",contradiction
Identify the relationship between two sentences,"You will be given two sentences and asked to determine their relationship: if one implies the other, if they contradict each other, or neither. You may also revise the sentences.","evaluation, language, revision",133641,"The largest single contributor to Republicans is the National Rifle Association, which gave $1,698,175.",The National Rifle Association never liked Republicans.,"[19033, 300100, 325609, 353647, 239753]",contradiction,288055,"And, I suppose, I'm the only one in the room who thinks so.",There's no one else in the room who thinks so.,"[146762, 333943, 130321, 79833, 271440]",entailment,123981,"In an interview with ""The New York Times"" in August, 2016, Mr. Trump said, ""I think Islam hates us.""",Islam is a religion of peace.,"[319280, 32741, 16856, 272141, 299716]",contradiction,295571,"This approach has been widely used in the United States, but it has not been widely used in Canada.","This approach has been widely used in Canada, but it has not been widely used in the United States.","[51193, 22600, 155560, 12366, 257969]",contradiction,40737,The standard model for this process is to do a pre-test and then test the product.,The standard model for this process is to do a post-test and then test the product.,"[341725, 92185, 36629, 161510, 179194]",contradiction
