Title,Description,Keywords,Input.facts,Input.sentence,Input.model,Answer.coverage,Answer.feedback,Answer.quality,Answer.tm,Approve,Reject
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,3,{},2,3.994,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Crowne Plaza Hotel,The Phoenix is a French pub near the Crowne Plaza Hotel in the Riverside area. It has a moderate price range and is not kid friendly. Its customer rating is 1 out of 5.,neurologic,4,{},3,19.378,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,4,{},3,10.862,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,3,{},3,77.41,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | area : riverside,Wildwood is a pub in the riverside area.,a_star,4,{},3,5.244,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},2,160.281,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},3,95.933,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Japanese | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Rainbow Vegetarian Café,The Vaults is a Japanese pub located in riverside near the Rainbow Vegetarian Café. The price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},3,25.028,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,{},3,145.898,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,{},3,29.84,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : less than £ 20 | customer rating : low | area : riverside | family friendly : no | near : Crowne Plaza Hotel,"The Phoenix is a French pub with a price range of less than £ 20. Located in Riverside, it is near the Crowne Plaza Hotel and has a low customer rating. It is not family - friendly.",a_star,4,{},3,21.062,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,4,GOOD,2,13.241,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,3,,3,7.501,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : pub | customer rating : 3 out of 5 | near : All Bar One,Green Man is a pub near All Bar One. It is rated 3 out of 5.,neurologic,4,{},3,26.092,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,3,{},2,16.136,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,4,{},2,10.064,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : pub | food : Japanese | price : less than £ 20 | area : city centre | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a pub serving Japanese food for less than £ 20. It's family - friendly and is near Raja Indian Cuisine in the city centre area.,neurologic,4,{},3,5.109,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,4,{},3,14.442,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,3,{},3,30.133,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Green Man | Type : restaurant | food : Italian | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Green Man is a family friendly Italian restaurant by the riverside, near Raja Indian Cuisine.",neurologic,4,{},3,34.399,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},3,17.941,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},3,74.308,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Phoenix | Type : pub | food : French | price : £ 20 - 25 | customer rating : 3 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Phoenix is a French pub near Café Sicilia in the riverside area. Its price range is £ 20 - 25 and it is kids friendly with a customer rating of 3 out of 5.,neurologic,4,{},3,6.34,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,{},3,36.649,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,{},3,167.792,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : Chinese | price : high | customer rating : average | area : riverside | family friendly : yes | near : All Bar One,The Cricketers is a children friendly restaurant that serves Chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.,neurologic,4,{},3,21.909,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,{},3,49.718,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,{},3,26.55,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Wrestlers | Type : restaurant | food : Japanese | price : less than £ 20 | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Wrestlers is a family friendly Japanese restaurant in the less than £ 20 price range. It is located in the riverside area near Raja Indian Cuisine.,a_star,4,{},3,19.173,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,{},3,95.654,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,{},3,27.551,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : no | near : Café Sicilia,The Mill is a pub providing Fast food near Café Sicilia in riverside with a moderate price range. The customer rating is 1 out of 5 and is not kids friendly.,a_star,4,{},2,15.971,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,4,{},2,34.047,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,3,{},2,222.051,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Cricketers | Type : restaurant | food : English | price : cheap | customer rating : average | area : city centre | family friendly : no | near : Café Rouge,"Cheap English restaurant, The Cricketers, is located in the city centre near Café Rouge and has an average customer rating. It is not family - friendly and has a cheap price range.",neurologic,4,{},2,13.356,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,{},2,17.026,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,{},3,50.864,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Mill | Type : pub | food : Fast food | price : moderate | customer rating : 1 out of 5 | area : riverside | family friendly : yes | near : Café Sicilia,The Mill pub in riverside near Café Sicilia is kid friendly pub serving fast food with a moderate price range and a customer rating of 1 out of 5.,neurologic,4,{},2,156.695,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,{},3,124.142,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,{},3,16.131,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : restaurant | food : Italian | area : riverside | family friendly : no | near : Raja Indian Cuisine,Wildwood is a Italian restaurant near Raja Indian Cuisine in the riverside area. It is not family - friendly.,neurologic,4,{},3,11.395,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,{},3,12.811,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,{},3,9.382,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : The Vaults | Type : pub | food : Indian | price : cheap | area : riverside | family friendly : yes | near : Raja Indian Cuisine,The Vaults is a cheap Indian pub in riverside near Raja Indian Cuisine. It is family friendly.,a_star,4,{},2,6.758,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,4,{},3,25.236,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,3,{},3,4.675,,
Evaluate the quality of the text considering the given keywords,Evaluate the quality of the text considering the given keywords,"keywords, generation",name : Wildwood | Type : pub | food : French | area : riverside | family friendly : yes | near : Raja Indian Cuisine,"Find French food at the kid friendly, riverside pub, Wildwood. Raja Indian Cuisine is nearby.",neurologic,4,{},3,37.77,,
