Title,Description,Keywords,pairID1,premise1,hypothesis1,gold_label1,partial_neutral_entailment1,entailment_count1,neutral_count1,contradiction_count1,pairID2,premise2,hypothesis2,gold_label2,partial_neutral_entailment2,entailment_count2,neutral_count2,contradiction_count2
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",349738327.jpg#0r1n,A family along with their household pets are taking an outdoor trip during the winter.,A family and their pets take a trip in the woods.,neutral,False,0,1,0,4198759777.jpg#1r1n,A group of people in outdoor gear looking at a map.,A group of people trying to navigate a trail,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4762774018.jpg#3r1n,Three police officers guarding a store.,Three police officers are outside a store.,neutral,False,0,1,0,2845760148.jpg#1r1n,Two older men work to repair a stone fence near a cottage.,Two older men working on fence owned by government,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2840866676.jpg#2r1n,A chef is cutting up some food delicacies.,A chef is cutting food in a restaurant.,neutral,False,0,1,0,3983837245.jpg#1r1n,A woman with black hair and a red plaid apron preparing food.,A woman is getting dinner ready.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",82679989.jpg#0r2n,A man in a blue shirt is talking to someone unseen while next to him a woman in a pink sweater closes her eyes.,A woman is trying to doze off while here husband talks,neutral,False,0,1,0,1501398164.jpg#2r1n,A black male wearing a white shirt with a striped shirt over top is playing with guns.,a stupid man is plaing with a gun,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",6811962907.jpg#2r1n,The number 90 blue race car is sitting on the track.,A car is getting ready to race.,neutral,False,0,1,0,5074980095.jpg#3r4n,A guy has been out in the fields collecting a harvest.,A farmer is gathering turnips.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2339331195.jpg#0r1n,A young boy holds a welders mask in front of his face with one hand while welding with the other.,A young man is welding twp pieces of metal together.,neutral,False,0,1,0,123866385.jpg#1r2n,A person crosses the street and avoids the spill of paint.,The person is wearing pants.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3342264328.jpg#1r1n,"A group of people starting out, from the start gate, on a 5K event.",A group of high school kids are running the 5K.,neutral,False,0,1,0,3407317539.jpg#0r1n,A white dog with black spots runs through a field covered in snow.,The dog is a Dalmatian.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2726180005.jpg#2r1n,A very happy baby in a yellow shirt swinging on swing.,The child is being pushed on the swing by their mother.,neutral,False,0,1,0,2905942129.jpg#0r1n,"A couple of smiling little boys ride together in a plastic chair-swing, one on the other's lap.",The boys are brothers.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",111497985.jpg#2r4n,The person in the striped shirt is mountain climbing.,The person in a striped shirt is an expert climber.,neutral,False,0,1,0,2999162229.jpg#3r1n,A girl in an orange shirt lights candles.,She is helping her mother light candles.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4488994542.jpg#2r1n,A young boy with short blond-hair and a blue sweater taking a picture.,A child is a pro photographer,neutral,False,0,1,0,7036326155.jpg#0r1n,Four motocross racers fly over the off-road dirt ramp during a competition.,They are competitive.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",145754126.jpg#3r1n,"A man in camouflaged shorts, and a white t-shirt shines, another man's black shoes on a sidewalk.",A man makes money by shining shoes on the sidewalk.,neutral,False,0,1,0,145754126.jpg#1r5n,"The shoeshine man, who shines shoes for a living, is shinning the black leather shoes of a man in nice dress pants.",A shoeshine man in a hat is working.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",1572227770.jpg#0r1n,A woman is holding some tissue and appears to be wet from the head; she is being consoled by a male friend wearing a blue shirt.,A woman is sweating after running a marathon.,neutral,False,0,1,0,1350418415.jpg#0r1n,A man in a white cowboy hat reclines in front of a window in an airport.,A man is wearing cowboy boots.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",400242803.jpg#4r1n,Workers constructing a traffic light.,Some workers are working on the street.,neutral,False,0,1,0,86112925.jpg#0r1n,"A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background.",Upstanding citizens work at a soup kitchen to benefit the hungry.,neutral,False,1,3,1
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",1438769690.jpg#0r1n,Truck filled with 5 gallons bottles in the back and a man on top looking at them.,a truck transports a lot of liquid,neutral,False,0,1,0,4400684369.jpg#0r1n,"Two girls in white sitting next to man in tan shirt, with two boys who are facing away from camera, all sitting around a table with blue top and blue and white dinnerware.",The girls and boys are all friends sitting around the table.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4737605103.jpg#0r4n,An elderly Asian woman with a cane walking in front of several yellow and white flowered reefs.,An elderly Asian woman with a cane walking in from of a store that sells flower reefs.,neutral,False,0,1,0,3484393667.jpg#3r1n,A naked child is crawling on the beach in front of a horse and a man.,A naked child is outside on the beach.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3434526008.jpg#3r1n,A young man skates down the side of a colorful wall.,The kid skates down the wall of the skate ramp.,neutral,False,0,1,0,3618504267.jpg#1r1n,"At an outdoor dog show, a very small dog jumps on an older man.",A small dog performs a trick for a treat.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2883324329.jpg#1r1n,Little boy sitting on the sidewalk outside.,The boy is waiting on his friend.,neutral,False,0,1,0,vg_len125r4n,The soil they walk on looks very dry.,The grass has been worn away beneath their feet.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3474139683.jpg#0r1n,A blond-haired girl wearing a white shirt and dark jeans holds a yellow and white ball.,A blonde girl holding a volleyball.,neutral,False,0,1,0,3910160149.jpg#2r1n,A group of people is crowded around some stairs by an amusement park.,People are trying to all fit into the picture at the amusement park.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2280438093.jpg#3r1n,adults performing on a inside stage.,The adults are performing for children.,neutral,False,0,1,0,113032513.jpg#1r1n,Little boy wearing a multicolored scarf and hat has a sad look on his face as he is looking down.,the young boy lost his dog,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",485312202.jpg#3r1n,A man is sitting on a bench behind a bike.,He considers taking the bike,neutral,False,0,1,0,5105885364.jpg#2r2n,A man in a striped shirt and two redheaded boys are posing for a picture outside.,A family is watching the camera man waiting for him to take the picture.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4316023148.jpg#1r1n,"A man and a woman sit on a bus, but not together.",People are riding the bus together to go to work.,neutral,False,0,1,0,675352682.jpg#4r1n,People are white water rafting.,Some people are in a canoe.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",123628218.jpg#4r1n,People working on their computers and papers.,There are people working on a broken computer,neutral,False,0,1,0,3070609314.jpg#3r1n,A young Asian man is squatting on the ground.,A man is about to go to bathroom.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4978377853.jpg#2r1n,Two people on a city street looking up into the night sky.,Two people on a city street stare at the moon.,neutral,False,0,5,0,301908754.jpg#3r1n,A little boy wearing a coat buried up to his shoulders in leaves.,A boy's friends bury him in leaves and leave him there.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3673035152.jpg#4r1n,Young girl jumping on a bed.,The bed is hers.,neutral,False,0,1,0,2189627515.jpg#3r1n,One is running after a frisbee with another individual riding piggyback.,the people are women,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2021671653.jpg#0r2n,"Young boy running waring blue jacket and blue jeans, flower pots are in the background on a cement walkway.",A boy is playing in his backyard.,neutral,False,0,1,0,719837187.jpg#1r1n,A wet brown dog jumps up to get a white basketball.,A muddy dog plays basketball with his owner.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3812982009.jpg#4r1e,A man in camouflage is peering into a telescope.,A male sniper looking for his target.,neutral,False,1,4,0,4782294624.jpg#3r1n,People are acting like a zombies.,People holding their arms out walking like zombies.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4584899392.jpg#3r1n,Some Japanese people enjoy a fireworks shows from a local street.,The fireworks are in many different colors.,neutral,False,0,1,0,6074238868.jpg#4r1n,Two women in white lab coats.,Two women are scientists,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3012517885.jpg#0r1n,Two young men standing next to each other work together on a piece of equipment in a classroom or work-type setting.,The men worked on the equipment after it broke.,neutral,False,0,1,0,3416460533.jpg#3r1e,A man in a blue an yellow coat ski jumps.,A man having some winter time fun.,-,True,2,2,1
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4331177822.jpg#2r1n,"A boy in swimming trunks is jumping off of a diving board and into a pool, that contains many floats.",The boy is at camp.,neutral,False,0,1,0,4707111500.jpg#3r1n,A man is helping another man after a fall on the street.,The man is his brother.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2752265504.jpg#2r1n,Two people spend some family time together fishing.,THe people are brothers.,neutral,False,0,1,0,1271210445.jpg#3r2n,"Woman and four little girls, near cake with candles.",There is a smiling woman and four little girls.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3821678223.jpg#1r1n,A boy performs a stunt on rollerblades in front of small children on scooters.,They are having fun.,neutral,False,0,1,0,3155361712.jpg#0r1n,A man wearing camo pants and a gray jacket snowboarding near a wooded area.,The army major is snowboarding.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",139540338.jpg#1r1n,Demonstrators waiting for the policemen to hear their grievances against police oppression and brutality.,The people are angry at the police.,neutral,False,0,1,0,7473971602.jpg#0r2n,"A woman in a short, sleeveless bright orange dress and black leggings sits on a cement bench looking down, with numerous bicycles parked behind her.","There is a woman sitting in a bright orange dress, lost in thought.",neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",8088804992.jpg#3r1n,A lady in a pink shirt running on a sunny day.,Old lady wears pink during run.,neutral,False,0,1,0,7789878742.jpg#1r1n,"An Olympic athlete is navigating a slalom course in a kayak, carefully maneuvering around two striped poles.",The athlete navigated the kayak during the race.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3687996569.jpg#2r1n,"Six people in bright mono-color costumes, each a different color, are walking down a street.",Six brothers and sisters are walking down the street.,neutral,False,0,1,0,2399551242.jpg#2r1n,Two children are playing at a water park.,Two kids splash each other in the lazypool.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4721024443.jpg#4r1n,A man walking down a pathway ending at a lake.,A man is walking to a lake.,neutral,False,0,1,0,2546110019.jpg#2r1n,A group of people in an outdoor exercise class.,There are people excercising at the park.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3351357065.jpg#1r1n,A climber with a yellow backpack walks along the ridge of a snowy mountainside.,A climber with a yellow backpack walks along the ridge of a snowy mountainside looking at the top.,neutral,False,0,1,0,3132006797.jpg#2r1n,Three children sitting in floor playing with several toys.,Three children are playing for toys as they wait for their parents to return.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2715851150.jpg#0r1n,A chef is cooking some food for a man in a green shirt.,A man is making hamburgers for a friend.,neutral,False,0,1,0,4440018538.jpg#2r1n,a couple is walking down the sidewalk with their dog.,A couple is walking their dog to the market.,neutral,False,0,5,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4905040710.jpg#1r1n,Two women looking at three donkeys with saddles.,Two woman look at the donkeys they are about to take on their trip down the Grand Canyon.,neutral,False,0,1,0,4614873969.jpg#0r1n,"Three guys, with electric guitars playing at a benefit concert, the lead singer is wearing sunglasses and green tennis shoes.",guys play rock music,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3578068665.jpg#0r1n,A yellow and white car driving on a track next to each other while spectators and cars can be seen in the background.,A woman is driving the car.,neutral,False,0,1,0,519028568.jpg#0r1n,"An elderly woman wearing a mocha-brown trench coat, white blouse, beads, and brown pants and is carrying a dark brown purse and gift bag is trying to flag a taxi down.",A woman carrying recent purchases trying to get home.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",166654939.jpg#3r5n,A group of race buggies travel down a racetrack.,The race buggies are pulled by horses.,neutral,False,0,1,0,4657278883.jpg#2r3n,A man with a beard is sitting on red painted steps.,A man sits on his steps.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",148717151.jpg#1r4n,A young boy playing with an improvised toy.,A child constructs his own toy fire truck.,neutral,False,0,1,0,4950966242.jpg#4r1n,Three people gathered on large balcony.,The people are celebrating a birthday on the balcony.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5444535493.jpg#3r1n,Group of hikers on top a snowy mountain during a storm.,A group of friends hiking on a steep mountain.,neutral,False,0,1,0,92289076.jpg#0r1n,A guy in a black jacket and blue jeans holding a large arrangement of roses while walking down the sidewalk.,A guy in a black jacket and blue jeans holding a large arrangement of red roses while walking down the sidewalk.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3110631369.jpg#3r1n,A group of people is standing in a stock room.,The people are taking inventory,neutral,False,0,1,0,2383471951.jpg#3r1n,woman chasing child dressed in orange shirt at a playground.,A mom chases her kid who is wearing a long sleeved orange shirt.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5152631402.jpg#2r1n,A group of 4 people are sitting outside playing musical instruments to random passerby.,A group of people are busking for rent money.,neutral,False,0,1,0,430623653.jpg#1r1n,Two young kids sit outside on steps eating lunch out of a yellow lunchbox,Two young kids are sitting on the steps of their school with a lunchbox.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",2705103541.jpg#0r1n,This guy thought in his drunken stupor that it was a good idea to climb into the bear exhibit.,The man drunkenly climbed into the bear exhibit at the zoo.,neutral,False,0,1,0,3245266444.jpg#4r1n,Two boys in a tent smile for the camera.,Two boys in a large tent smile,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",3243654292.jpg#1r5n,"Two men are standing in a bullpen, one wearing leather chaps and holding a helmet, the other dressed in red and black.",Two men are waiting to ride bulls.,neutral,False,0,1,0,4651200817.jpg#0r2n,A woman cyclist in a shirt wearing a bike helmet waits with a child passenger at a stop with another woman cyclist wearing a blue shirt and black pants.,Two women are riding their bikes to a lunch date.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",6739641349.jpg#0r2n,A woman in a blue hat and gray sweatshirt sits with a dark-haired female doctor while she has an IV in her hand.,The woman is ill.,neutral,False,0,1,0,1526260626.jpg#0r1n,"With a line of trees behind him, a boy in a yellow jacket is shown jumping off a hay bale in different positions in his jump.",The boy is trying to do a flip while jumping off a hay bale.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4671169286.jpg#0r1n,"Three people, a woman and two men ride scooters amongst the pedestrians of a busy city street.",The three people are going to a party.,neutral,False,0,4,1,2631300484.jpg#0r1n,A blond boy stands among people in a shady setting with a large snake wrapped around his chest.,A male performer is showcasting his snake for tips.,neutral,False,1,3,1
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",574274795.jpg#0r1n,"A dog runs through grass, while a Frisbee flies through the air.",A dog is running toward a Frisbee that the little girl thew.,neutral,False,0,1,0,5158576367.jpg#0r1n,One father-aged man and one young girl are swimming in a green pool of water.,Daughter and father swimming in green water.,neutral,True,2,3,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",5918840.jpg#0r1n,"this guy is trying to not get booted in the rear by this bull, looks like he is doing pretty good.",The photo was taken in the American west.,neutral,False,0,1,0,2352961328.jpg#0r1n,A girl in a bright yellow shirt and dark green shorts is sleeping on a couch with a bag of pretzels on the floor next to her.,She ate most of the pretzels before falling asleep.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",1920465.jpg#1r1n,A boy in a dark shirt is reading a book while sitting on a piano bench.,The boy is reading a book about how to play piano.,neutral,False,0,1,0,2565733340.jpg#0r1n,"A young girl wearing blue jeans, a t-shirt, and pink shoes is playing with bubbles.",Bubbles are the girls favorite toy.,neutral,False,0,1,0
Weakening and Strengthening Assumptions,"Given a statement (a premise) and an assumption (a hypothesis), please provide a statement that will weaken and a statement that will strengthen the hypothesis.","writing, logical thinking, language, inference, assumption",4563267532.jpg#1r1n,Various people sitting on a white metal railing on the side of a city street.,The people are waiting for a bus to come.,neutral,False,0,1,0,979383193.jpg#3r1n,Six small children sitting at a desk.,There are six children in a classroom listening to their teacher,neutral,False,0,1,0
