Title,Description,Keywords,event1,durations1,event2,durations2,event3,durations3
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",coping with the industrial exodus,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,marked by a ceremony in,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,stranded at the sanderson station,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",cellared,0.00|0.00|0.00|0.00|0.00|0.00|0.36|0.64|0.00|0.00|0.00,worked alone,0.00|0.18|0.18|0.00|0.00|0.00|0.55|0.09|0.00|0.00|0.00,continue operations,0.00|0.00|0.00|0.00|0.29|0.21|0.43|0.07|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",go at it,0.00|0.18|0.73|0.00|0.09|0.00|0.00|0.00|0.00|0.00|0.00,worked the same job as,0.00|0.00|0.00|0.00|0.00|0.10|0.00|0.90|0.00|0.00|0.00,writhing in pain,0.21|0.57|0.21|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",launched attacks into turkish territory,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,covering up auto defects,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,engaged in a contest against,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",stay off his feet,0.00|0.00|0.00|0.62|0.38|0.00|0.00|0.00|0.00|0.00|0.00,fought back,0.00|0.11|0.79|0.05|0.00|0.00|0.00|0.00|0.05|0.00|0.00,airing,0.00|0.21|0.08|0.21|0.46|0.04|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",sit on the tracks,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,reading editions of bong,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,worked in this bureau,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",having it,0.00|0.00|0.00|0.17|0.00|0.08|0.33|0.42|0.00|0.00|0.00,flash,0.08|0.67|0.08|0.08|0.00|0.00|0.08|0.00|0.00|0.00|0.00,remain vigilant,0.00|0.00|0.00|0.82|0.00|0.18|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",got onto the military runway,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,met with serbian president slobodan,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,fighting against this thing,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",published false balance sheets,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,move into the space station,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,declines,0.00|0.00|0.00|0.00|0.00|0.94|0.06|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",pull out,0.00|0.09|0.00|0.18|0.64|0.09|0.00|0.00|0.00|0.00|0.00,remain under pressure,0.00|0.00|0.00|0.00|0.06|0.19|0.75|0.00|0.00|0.00|0.00,working feverishly,0.00|0.00|0.00|0.33|0.17|0.17|0.33|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",controlled by ground  based,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,leave their residence,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,set the american way of,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",occupied the french cultural center,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,used pakistan as a staging,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,calm for many years,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",holding back,0.00|0.00|0.00|0.14|0.24|0.38|0.24|0.00|0.00|0.00|0.00,waited around,0.00|0.07|0.80|0.00|0.00|0.00|0.13|0.00|0.00|0.00|0.00,bake in a 400degree oven,0.00|0.95|0.05|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",put the foreclosure process on,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,jumping,0.00|0.27|0.00|0.07|0.20|0.00|0.27|0.20|0.00|0.00|0.00,ruled argentina after the strongman,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",remained dependent on machines,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,waging an armed campaign,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,ran a de facto separate,0.00|0.00|0.00|0.00|0.00|0.00|0.90|0.10|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",had cancer,0.00|0.00|0.00|0.00|0.00|0.00|0.77|0.23|0.00|0.00|0.00,protects,0.00|0.00|0.18|0.00|0.00|0.00|0.45|0.36|0.00|0.00|0.00,stored away,0.00|0.00|0.00|0.00|0.06|0.28|0.56|0.11|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",confirm saddam hussein as president,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,illuminated the nearby government,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,notify the united states of,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",plagued the industry,0.00|0.00|0.00|0.00|0.00|0.00|0.55|0.45|0.00|0.00|0.00,joined them,0.00|0.30|0.30|0.20|0.00|0.10|0.10|0.00|0.00|0.00|0.00,changed much,0.00|0.00|0.00|0.00|0.00|0.00|0.12|0.47|0.41|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",lived in sudan,0.00|0.00|0.00|0.00|0.00|0.00|0.91|0.09|0.00|0.00|0.00,keep it at bay,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00,serving as acting president,0.00|0.00|0.00|0.57|0.00|0.00|0.43|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",grace the landscape,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,rest in a halfway zone,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,acclimate to cooler temperatures,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",join them,0.00|0.23|0.00|0.38|0.31|0.08|0.00|0.00|0.00|0.00|0.00,attacked my patriotism and,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,battled the government,0.00|0.00|0.00|0.00|0.02|0.05|0.23|0.70|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",quieted the shelling of sarajevo,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,suspended airstrikes,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,operated openly,0.00|0.00|0.00|0.00|0.00|0.00|0.71|0.29|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fighting pro  moscow forces,0.00|0.00|0.00|0.00|0.00|0.00|0.22|0.78|0.00|0.00|0.00,visualize world peace,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,provoked fierce debate,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",pumping up,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,orbited,0.00|0.00|0.67|0.06|0.28|0.00|0.00|0.00|0.00|0.00|0.00,reheat in a 350degree oven,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",made his living,0.00|0.00|0.00|0.00|0.00|0.00|0.38|0.62|0.00|0.00|0.00,worked on the hill,0.00|0.00|0.00|0.00|0.00|0.00|0.14|0.86|0.00|0.00|0.00,shadowed,0.00|0.10|0.00|0.29|0.29|0.05|0.29|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",take over as acting president,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,bathed the device in acid,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,handled everything from organizing to,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",ruled provisionally,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,staying in iraq,0.00|0.00|0.62|0.00|0.00|0.15|0.00|0.23|0.00|0.00|0.00,headed cuba s caretaker government,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",worked as his assistant,0.00|0.00|0.00|0.00|0.00|0.00|0.67|0.33|0.00|0.00|0.00,battling separatists,0.00|0.00|0.00|0.00|0.00|0.00|0.75|0.25|0.00|0.00|0.00,live with that,0.00|0.00|0.00|0.00|0.00|0.00|0.50|0.50|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",kept her on the line,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,worked here at the bangor,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,run   christmas star,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",ask for military help,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,playing in the country,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,switching off the power,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",assembling a portrait of,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,saving the world,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,step inside,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",flirted with the idea of,0.00|0.00|0.00|0.10|0.00|0.20|0.60|0.10|0.00|0.00|0.00,step up the pace,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,sending you a free trial,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",waiting to return,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,bumping up and down on,1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,hiding from the israelis,0.00|0.00|0.00|0.00|0.90|0.00|0.10|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",rose 13 percent to,0.00|0.00|0.00|0.00|0.00|0.60|0.40|0.00|0.00|0.00|0.00,live in sin,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,graph the atx index,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",celebrating its 200th birthday,0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,recorded how seismic waves from,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,moving away from the tristan,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",sought out by popes,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,courted by politicians for,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,served the mafia,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",suspended from boxing,0.00|0.00|0.00|0.00|0.00|0.17|0.83|0.00|0.00|0.00|0.00,raise rates,0.00|0.00|0.00|0.09|0.00|0.55|0.36|0.00|0.00|0.00|0.00,embodied american ideals,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",fought running battles with police,0.00|0.00|0.33|0.67|0.00|0.00|0.00|0.00|0.00|0.00|0.00,banned all demonstrations,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,occupied bangkok s two main,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",oversee economic development projects in,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,playing to packed theatres in,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,begin and end here,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",enter,0.00|0.07|0.00|0.64|0.00|0.00|0.00|0.29|0.00|0.00|0.00,gone unresolved,0.00|0.00|0.00|0.00|0.10|0.00|0.00|0.90|0.00|0.00|0.00,attended classes,0.00|0.00|0.00|0.00|0.43|0.43|0.14|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",signed us,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00,beaten the stock market,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,come from,0.00|0.00|0.00|0.00|0.07|0.00|0.07|0.00|0.86|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",surveyed us consumer attitudes weekly,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,going without food,0.00|0.00|0.14|0.71|0.14|0.00|0.00|0.00|0.00|0.00|0.00,show a loss,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",end here  at,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00,make a field goal,0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,airbrushed off the calendar by,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",excuse me,0.00|0.36|0.64|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,abducted,0.00|0.00|0.43|0.41|0.14|0.03|0.00|0.00|0.00|0.00|0.00,staying up past 9 pm,0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",pay your bills,0.00|0.00|0.00|0.00|0.00|0.93|0.07|0.00|0.00|0.00|0.00,met friday,0.00|0.17|0.83|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,speaks,0.06|0.74|0.15|0.00|0.00|0.00|0.00|0.02|0.02|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",dominated the avian world,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,hit 930 billion yen,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,covered pismo and its slimey,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",banned prime minister somchai wongsawat,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,shut down parliament,0.00|0.00|0.00|0.29|0.53|0.06|0.12|0.00|0.00|0.00|0.00,hunted whales,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.14|0.86|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",continue to be very strong,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,gained 2104 percent and sweden,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,gained 1813 percent as international,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",keep macao s solidly pro,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,persist in body,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,met tuesday night,0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00
Duration Range Evaluation,In this task we assess the duration of an action or a situation. Tell us if the duration specified is reasonable for the given action/situation.,"language, duration assessment, actions, events",normalize relations,0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00,fighting colombia s government,0.00|0.00|0.00|0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00,post an operating loss,0.00|0.00|0.00|0.00|0.00|0.89|0.11|0.00|0.00|0.00|0.00
