Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hand out,vicious,appalling,frosty,icy,dismal,hostile,belligerent,obnoxious,spiteful,freezing,elated,jovial,quarrelsome,rowdy,panicky,irate,giddy,radiant,excited,jolly,not included,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonX's feet,busy,active,industrious,hardworking,assured,abrupt,certain,enterprising,confident,diligent,busy,amused,spry,interested,excited,active,hardworking,brisk,not vindictive,vibrant,easy-going,patient,easy-going,patient,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets free food,belligerent,obnoxious,unsociable,hostile,quarrelsome,hateful,severe,not deprived,sullen,frosty,irate,wrathful,cranky,gloomy,dismal,gruesome,hideous,grouchy,mad,blank,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs the whole time,hateful,unfriendly,severe,bored,repulsive,obnoxious,spiteful,freezing,unsociable,hostile,anxious,depressed,livid,not hillarious,gloomy,surly,cranky,sore,morose,subdued,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets hungry,not starved,happy,thirsty,amiable,not famished,nice,not ravenous,abundant,not famished,rested,not starving,not famished,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays around,studious,hasty,terrible,busy,abrupt,active,hardworking,vibrant,athletic,diligent,tired,not rested.,not lazy.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hands,disliking,loathsome,vicious,belligerent,stern,biting,biting,cruel,unsociable,icky,anxious,moody,grumpy,crabby,queasy,grieving,mad,petulant,melancholy,melancholy,ungrateful,lonely,unloved,not cared for,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonY back,shameless,impulsive,incautious,idiotic,vulgar,demonic,vicious,brave,rash,impetuous,not empowered,impotent,flimsy,wobbly,feeble,recessive,subordinate,weak,puny,limp,steel,not scared at the situation,powerful,strong,stocky,masculine,tenacious,portly,forceful,daring
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hands up,forceless,burdensome,feeble,well-behaved,civil,lethal,spiteful,weak,respectful,tactful,exhausted,queasy,weary,cranky,miserable,upset,melancholy,mad,anguished,petulant,failing,unsuccessful,enforce,losing,not comradery,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays down PersonX's arms,crazy,thunderous,tired,burdensome,breezy,whirl,hysterical,rested,jittery,piercing,emotional,restless,abrupt,shocking,exciting,devoted,hysterical,distraught,stimulate,severe,enforce,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets into PersonY's pants,not bothering,bored,not lustful,sedate,unexcited,passionless,not curiosu,not cheating,serene,subdued,grouchy,unsatisfied,incompetent,queasy,unskilled,fall_short_of,clumsy,inexpert,untalented,dissatisfy,dissatisfy,fall_short_of,grouchy,misused,unused,unsatisfied,novel,not harassed,jealous,queasy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes PersonY wife,frigid,disfigured,unloving,unemotional,ugliest,homely,apathetic,nonchalant,impassive,not lovey,irascible,not happpy,crabby,sad,gruesome,unhappy,irate,anguished,subdued,churlish,surly,wrathful,anguished,hideous,sad,melancholy,grumpy,gruesome,enraged,morose
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's head,insensitive,nonchalant,numb,bewildered,ferocious,not nurturing,quizzical,unhelpful,lethal,burdensome,not sad.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonY's feet,mean,brisk,frugal,careless,heartfelt,bustling,hearty,quickly,avaricious,impassioned,carefree,calm,gleeful,reassure,happy-go-lucky,lighthearted,assured,defenseless,feeble,powerless,lighthearted,unsurprised,happy-go-lucky,carefree,gleeful,nonchalant,reassure,not aggravated,jolly,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX draws a picture,distasteful,inelegant,uncreative,distasteful,rusty,rusty,ugly,vulgar,vulgar,unimaginative,common,clumsy,distasteful,reasonable,inexpert,behaving,untalented,boring,inelegant,sensible,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's head up,numb,disloyal,lethal,mercurial,unreliable,soulless,uncompassionate,unpatriotic,unhelpful,undependable,not determined.,not scared.,//,//,//,//,//,//,//,//,not frightened.,not helpless.,not thankful.,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it cut,dull,incapable,helpless,powerless,unfeasible,incompetent,ideal,incompetent,impractical,unrealistic,unwilling,unready,unfit,evasive,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays upon PersonY,dismal,obnoxious,disliking,unfeeling,discrete,spiteful,scattered,vicious,quarrelsome,ornery,lighthearted,glad,happy,jocular,joyful,jolly,jaunty,overjoyed,jubilant,cheerful,not very sad,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it removed,hesitant,desirous,indefinite,betraying,reckless,pleased,irresolute,frightened,procrastinating,afraid,bad,badly,bad,worse,exasperated,worse,sneering,miserable,worst,aggravating,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX draws a picture of PersonY,cautious,worse,sneering,worst,vacant,helpless,meek,green,evil,absent-minded,inelegant,distasteful,queasy,fall_short_of,vulgar,unimaginative,grouchy,dissatisfy,unsatisfied,fall_short_of,dismal,blue,gloomy,anguished,annoyed,crabby,upset,grieving,anxious,hideous
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes PersonY's wife,unhappy,hideous,irritable,moody,cranky,envious,sulky,melancholy,prickly,anxious,enraged,cranky,upset,grouchy,livid,irritable,"not happy, overjoyed",churlish,surly,sad,cranky,anguished,unhappy,moody,enraged,irritable,crabby,mad,subdued,surly
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds hands,unadventurous,gruesome,blue,miserable,weak,cranky,unhappy,wobbly,frightened,sore,enraged,sulky,dismal,plaintive,surly,remorseful,cranky,crabby,sore,upset,miserable,sad,mad,grieving,enraged,subdued,sulky,anxious,irascible,churlish
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leads PersonY to the conclusion,unintelligent,stupid,not cajoling,unhelpful,dopey,lethal,spiteful,spiteful,not persuading,nonsensical,stupid,unintelligent,spiteful,clumsy,incapable,incompetent,unhelpful,daft,unimportant,extraneous,thankless,ungrateful,unsupported,abandoned,uninformed,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it repaired,untalented,nontechnical,rusty,incompetent,incompetent,//,//,//,//,//,impractical,petty,enforce,negligible,unhelpful,quixotic,ineffective,unfeasible,not happy about it,unrealistic,not relieved object works,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX dries up and blow away,nutritious,live,tenacious,not aging,alive,portly,steel,forceful,living,not gone,substantial,strong,courageous,macho,real,masculine,bulky,dauntless,muscular,beefy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets lots of candy,unselfish,cordial,worried,svelte,anxious,philanthropic,cursed,distraught,charitable,hysterical,cranky,gloomy,grouchy,querulous,enraged,not like his sweet tooth is satiated,dismal,cantankerous,not happy.,churlish,not happy to give the candies to personx.,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY hand,hideous,unsociable,irritable,grieving,blue,queasy,upset,sad,irascible,irate,dismal,querulous,morose,cantankerous,unsociable,upset,spiteful,irritable,grieving,gruesome,unloved,not confusion,calm,assured,lonely,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leads to PersonY understanding,lazy,stupid,idiotic,quizzical,not freely,not curoius,untalented,unintelligent,dopey,nonsensical,inexperienced,grieving,sulky,plaintive,remorseful,moody,dismal,bad,prickly,mad,irritable,sore,gloomy,unenlightened,anxious,inexperienced,cantankerous,anguished,irascible,mad
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes distracted,watchful,happy,content,alert,gleeful,retentive,lighthearted,careful,guarded,discreet,unoccupied,amused,interested,interest,intrigued,vacant,not preoccupied,blank,excited,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY's hand,vicious,severe,hasty,wobbly,idiotic,rash,wiggly,shaky,spiteful,superficial,blue,anxious,livid,gruesome,petulant,anxious,petulant,plaintive,grieving,blue,crabby,dismal,morose,sore,cantankerous,livid,assured,unloved,grieving,remorseful
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes fast friends,hidden,stern,distressed,freezing,belligerent,troubled,upset,saucy,close,sneaky,querulous,petulant,sore,crabby,irate,upset,enraged,hideous,melancholy,subdued,sulky,mad,sore,gruesome,dismal,morose,enraged,wrathful,evil,miserable
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaned toward PersonY,unexcited,pleasant,well-lit,cheerful,unpleasant,jocular,brilliant,testy,mean,unenthusiastic,grouchy,upset,unhappy,hideous,queasy,blue,morose,gruesome,enraged,glum,irritable,grumpy,remorseful,sore,gloomy,blue,glum,anxious,surly,cranky
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY's hands,aloof,undemonstrative,hate,lavish,frigid,spiteful,unfeeling,generous,unloving,not narisstic,not not so happy as he is going to miss his best friend,//,//,//,//,//,//,//,//,//,not touched by person x's affection,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets lots of compliments,hesitant,timid,unsightly,dismal,disenchanting,not praiseworthy,shy,envious,sneering,horrific,mad,sore,irritable,querulous,unhappy,unhappy,queasy,sulky,troubled,gloomy,hideous,grieving,cantankerous,agonizing,moody,anguished,prickly,wrathful,irate,cantankerous
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns a lot,disinterested,indifferent,unconcerned,uninterested,incurious,not takes things in,apathetic,unconcerned,unenthusiastic,nonabsorbent,moronic,stupid,daft,stupid,silly,dopey,idiotic,unintelligent,corny,daft,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds it in PersonX's hand,freezing,hideous,unwilling,hostile,appalling,envious,dismal,mean,timid,ornery,"not aving fun, expectant for the ball back","not worried, unhappy, nervous",not still annoyed; tired of yelling,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes flat,not deflated,frank,calm,assured,not talentless,open,honest,not tone deaf,unbroken,//,not transgender,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets louder,timid,defenseless,pleasing,flimsy,softly,doubtful,friendly,sober,anxious,tranquil,unsatisfied,fall_short_of,queasy,patient,easy-going,grouchy,jealous,dissatisfy,//,//,inattentive,unwitting,forgetful,gratified,oblivious,pleased,lost,not irritated,heedless,absent-minded
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drinks PersonX's coffee,hungry,respectful,generous,serious,sober,nice,humorless,amiable,unmotivated,kind,unaware,not caffeinated,petty,small,absent-minded,incautious,tiny,careless,unimportant,unalert,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds my hand,nonchalant,appalling,crabby,rancid,woeful,numb,spiteful,hideous,sour,uncompassionate,not like they are helping them feel secure,sedate,stifle,remorseful,crabby,sore,grouchy,moody,blue,grieving,lonely,unloved,panicky,panicky,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns how to juggle,tepid,uninterested,lackadaisical,disinterested,evasive,incurious,undetermined,unsure,unwilling,listless,calm,grave,serene,bored,staid,tranquil,undetermined,unexcited,stifle,unsure,bored,uninterested,aloof,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes happier,queasy,discontented,meek,cautious,upset,unmotivated,woeful,unsatisfied,timid,anxious,unhappy,querulous,exasperated,subdued,melancholy,bad,irate,miserable,grouchy,morose,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds out PersonX's hand to PersonY,biting,lethal,obnoxious,burdensome,spiteful,freezing,belligerent,frosty,hostile,unhelpful,piercing,harsh,unkind,belligerent,hot-headed,turbulent,stern,severe,crass,freezing,lonely,not cared about,thankless,unloved,forsaken,panicky,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets moving,assured,inactive,composed,listless,insignificant,stative,lackadaisical,motionless,tranqil,procrastinating,feeble,queasy,fall_short_of,dissatisfy,not good about themselves,shaky,limp,stuffed,impotent,grouchy,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns how to sing,stupid,teachable,uninterested,not musically inclined,teachable,unmusical,unmelodious,slow,untalented,bored,anguished,sore,subdued,not proud that he achieved his goal,irritable,anxious,annoyed,moody,grumpy,enraged,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets on PersonY's case,overjoyed,cautious,fearful,subordinate,subservient,unaggressive,meek,not abrasive,not hardheaded,amusing,pleased,not good that they told the other person that their behavior was in need of change.,gratified,unangry,//,//,//,//,//,//,gratified,happy,rosy,radiant,joyful,hilarious,not upset that the other person pointed this out.,jolly,gleeful,merry
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drinks PersonY's coffee,well-behaved,polite,respectful,respectful,brilliant,deferential,courteous,generous,unselfish,tactful,not happy.,amiable,innocent,respectful,not not thirsty.,well-intentioned,generous,//,//,//,unangry,happy,not mad.,sane,ungrateful,not slightly annoyed.,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds out PersonY's hand,not chivalrous,chilly,terrific,well-off,appalling,nifty,sufficient,uncompassionate,wealthy,ferocious,not no different than before,unhelpful,spiteful,not nan,burdensome,lethal,//,//,//,//,not happy that they received candy,not ready to go shopping,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX begins to hurt,ill,happy,hilarious,jolly,keep_down,well,healthy,invulnerable,uninjured,merry,not in pain.,not hurt.,happy,hilarious,cheerful,overjoyed,not pain,jubilant,rosy,gleeful,jolly,carefree,lighthearted,reassure,happy-go-lucky,gleeful,nonchalant,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX begs for food,rich,opulent,rich_people,well-off,abundant,fortunate,wealthy,settled,lavish,plush,not starving,unashamed,not ashamed about it,hopeful,//,//,//,//,//,//,radiant,merry,cheerful,happy,hilarious,lighthearted,jaunty,happy-go-lucky,carefree,reassure
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns how to surf,unexcited,cowardly,scared,aching,cautious,ill,numb,queasy,apathetic,lazy,upset,unskilled,unfit,inexpert,unwilling,incompetent,inept,incompetent,clumsy,untalented,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drinks coffee,unmindful,unaware,oblivious,vacant,hungry,not driven,bewildered,hungry,not hyper,absent-minded,limp,evasive,unready,weary,unwilling,exhausted,asleep,unfit,//,//,//,//,//,//,//,//,//,//,//,//
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds out PersonY's hands,appalling,inhospitable,unsociable,unfeeling,undemonstrative,hate,not sharing,frigid,spiteful,not accomodating,dissatisfy,morose,upset,discontented,anxious,queasy,unsatisfied,queasy,jealous,jealous,cantankerous,crabby,not happy and adored,sulky,queasy,irritable,grouchy,hideous,upset,gruesome
