Title,Description,Keywords,Event,xAttr_1,xAttr_2,xAttr_3,xAttr_4,xAttr_5,xAttr_6,xAttr_7,xAttr_8,xAttr_9,xAttr_10,xReact_1,xReact_2,xReact_3,xReact_4,xReact_5,xReact_6,xReact_7,xReact_8,xReact_9,xReact_10,oReact_1,oReact_2,oReact_3,oReact_4,oReact_5,oReact_6,oReact_7,oReact_8,oReact_9,oReact_10,Answer.how_common,Answer.how_common_opposite,Answer.opposite-event-answer
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY tighter,dauntless,disliking,courageous,unafraid,frigid,unloving,hate,undemonstrative,spiteful,appalling,anguished,gruesome,grouchy,spiteful,fall_short_of,grouchy,crabby,glum,morose,queasy,certain,nimble,undoubted,determined,confident,arctic,out,trustworthy,assured,icy,1,1,PersonX lets PersonY loose.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets engaged,immature,unhappy,adolescent,unfledged,unexcited,plaintive,hideous,queasy,wrathful,enraged,subdued,grouchy,anguished,gloomy,wrathful,livid,lonely,apathetic,surly,glum,gloomy,gruesome,cantankerous,prickly,sore,prickly,plaintive,unmoving,crabby,livid,-1,-1,PersonX breaks up with PersonX's partner.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's breath,impatient,hysterical,impetuous,unhelpful,exciting,boisterous,uptight,courageous,discomposure,quick-tempered,enforce,unsure,fall_short_of,unsatisfied,queasy,jealous,dissatisfy,neutral,negative,grouchy,//,//,//,//,//,//,//,//,//,//,-1,-1,PersonX purges PersonY's breath
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs at PersonY's antics,not entertained,not humoured,unhappy,unfunny,not goofy,ill-natured,unamusing,not chuckle,melancholy,crabby,mad,subdued,sulky,unhappy,enraged,irascible,prickly,melancholy,obnoxious,wrathful,overjoyed,jolly,cheerful,joyful,jubilant,not like a fool,jocular,radiant,merry,jaunty,1,0,PersonX is annoyed by PersonY's antics.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does this every day,not routine,intrigued,interested,amused,excited,interest,not old hat,inconsistent,//,//,grouchy,dissatisfy,shaky,queasy,fall_short_of,insecure,jealous,unsatisfied,wobbly,//,//,//,//,//,//,//,//,//,//,//,2,2,personx does this once in their lifetime
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets extra help,busy,studious,quickly,active,nimble,effective,brisk,hasty,teachable,accelerate,unprepared,not cared for,thankless,enforce,not more confident,//,//,//,//,//,not the person helping x is affected,//,//,//,//,//,//,//,//,//,2,2,personx goes at it alone
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does well on PersonX's test,helpless,unthoughtful,lazy,idiotic,languid,daft,silly,lazy,negligent,stupid,dense,humble,daft,inept,dopey,incompetent,clumsy,stupid,unable,incapable,//,//,//,//,//,//,//,//,//,//,0,0,PersonX does poorly on PersonX's test.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's ground,fragile,frightened,blushing,flimsy,scared,undedicated,fragile,limp,limp,soft,sedate,grave,bored,staid,not having fun,unexcited,tranquil,not proud of himself,subdued,calm,not awestruck,not strong and thankful for the support,//,//,//,//,//,//,//,//,0,0,PersonX runs away from PersonY's ground
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs hard,petulant,gloomy,somber,immoderately,troubled,moody,unfunny,upset,boring,anguished,crabby,anxious,mad,melancholy,queasy,wrathful,irascible,sulky,morose,anguished,not x's happiness,//,//,//,//,//,//,//,//,//,1,1,Person X is crying.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets free,motionless,morose,wrathful,irritable,unhappy,gruesome,livid,irate,subdued,upset,freeze,unfree,obstruct,enforce,grounded,lodge,block,confine,bound,captive,//,//,//,//,//,//,//,//,//,//,1,1,Person X is trapped.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hand,spiteful,unhelpful,spiteful,quarrelsome,ornery,nonchalant,spiteful,belligerent,insensitive,nonchalant,unsociable,spiteful,classicist,"not happy, loving , warm, connected","not powerful, comforting",nonchalant,lethal,"not powerful, comforting",burdensome,lethal,disliked,not cared for,unloved,unloved,lonely,unloved,"not grateful, cared for",unloved,not cared for,lonely,1,0,PersonX has a restraining order against PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs in PersonY's face,courteous,not threatening,well-behaved,generous,polite,respectful,civil,tactful,amiable,respectful,grieving,mad,wrathful,irritable,unhappy,gruesome,anxious,hideous,prickly,queasy,//,//,//,//,//,//,//,//,//,//,-1,0,PersonX laughs behind PersonY's back.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX does well on the test,unprepared,uneducated,lazy,not extra talended,//,//,//,//,//,//,corny,stupid,muffled,inexpert,incapable,moronic,dense,inept,untalented,unskilled,not proud too.,humble,//,//,//,//,//,//,//,//,1,1,PersonX does badly on the test
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs so hard,not humerous,hateful,depressed,remorseful,blue,unfriendly,counterfeit,surly,disguised,bogus,blue,morose,querulous,enraged,moody,sulky,glum,querulous,wrathful,cranky,glum,hideous,gloomy,sore,cantankerous,mad,querulous,irascible,crabby,plaintive,0,2,PersonX has a neutral face
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hand out,vicious,appalling,frosty,icy,dismal,hostile,belligerent,obnoxious,spiteful,freezing,elated,jovial,quarrelsome,rowdy,panicky,irate,giddy,radiant,excited,jolly,not included,//,//,//,//,//,//,//,//,//,0,0,PersonX holds PersonY's leg out
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonX's feet,busy,active,industrious,hardworking,assured,abrupt,certain,enterprising,confident,diligent,busy,amused,spry,interested,excited,active,hardworking,brisk,not vindictive,vibrant,easy-going,patient,easy-going,patient,//,//,//,//,//,//,1,1,PersonX kicks PersonX's feet into the air.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets free food,belligerent,obnoxious,unsociable,hostile,quarrelsome,hateful,severe,not deprived,sullen,frosty,irate,wrathful,cranky,gloomy,dismal,gruesome,hideous,grouchy,mad,blank,//,//,//,//,//,//,//,//,//,//,0,0,PersonX paid for expensive food
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX laughs the whole time,hateful,unfriendly,severe,bored,repulsive,obnoxious,spiteful,freezing,unsociable,hostile,anxious,depressed,livid,not hillarious,gloomy,surly,cranky,sore,morose,subdued,//,//,//,//,//,//,//,//,//,//,1,1,PersonX cries the whole time.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets hungry,not starved,happy,thirsty,amiable,not famished,nice,not ravenous,abundant,not famished,rested,not starving,not famished,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,2,2,PersonX feels full
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays around,studious,hasty,terrible,busy,abrupt,active,hardworking,vibrant,athletic,diligent,tired,not rested.,not lazy.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX exercises.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hands,disliking,loathsome,vicious,belligerent,stern,biting,biting,cruel,unsociable,icky,anxious,moody,grumpy,crabby,queasy,grieving,mad,petulant,melancholy,melancholy,ungrateful,lonely,unloved,not cared for,//,//,//,//,//,//,1,-1,PersonX holds PersonY's feet
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonY back,shameless,impulsive,incautious,idiotic,vulgar,demonic,vicious,brave,rash,impetuous,not empowered,impotent,flimsy,wobbly,feeble,recessive,subordinate,weak,puny,limp,steel,not scared at the situation,powerful,strong,stocky,masculine,tenacious,portly,forceful,daring,0,0,PersonX sends PersonY forth.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's hands up,forceless,burdensome,feeble,well-behaved,civil,lethal,spiteful,weak,respectful,tactful,exhausted,queasy,weary,cranky,miserable,upset,melancholy,mad,anguished,petulant,failing,unsuccessful,enforce,losing,not comradery,//,//,//,//,//,1,1,personx lets go of persony's hand
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays down PersonX's arms,crazy,thunderous,tired,burdensome,breezy,whirl,hysterical,rested,jittery,piercing,emotional,restless,abrupt,shocking,exciting,devoted,hysterical,distraught,stimulate,severe,enforce,//,//,//,//,//,//,//,//,//,0,1,Person X walks with Person Y.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets into PersonY's pants,not bothering,bored,not lustful,sedate,unexcited,passionless,not curiosu,not cheating,serene,subdued,grouchy,unsatisfied,incompetent,queasy,unskilled,fall_short_of,clumsy,inexpert,untalented,dissatisfy,dissatisfy,fall_short_of,grouchy,misused,unused,unsatisfied,novel,not harassed,jealous,queasy,-1,2,PersonX respects PersonY's personal space
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes PersonY wife,frigid,disfigured,unloving,unemotional,ugliest,homely,apathetic,nonchalant,impassive,not lovey,irascible,not happpy,crabby,sad,gruesome,unhappy,irate,anguished,subdued,churlish,surly,wrathful,anguished,hideous,sad,melancholy,grumpy,gruesome,enraged,morose,1,1,PersonX becomes PersonY husband
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's head,insensitive,nonchalant,numb,bewildered,ferocious,not nurturing,quizzical,unhelpful,lethal,burdensome,not sad.,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,-1,0,PersonX holds PersonY's hand.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drags PersonY's feet,mean,brisk,frugal,careless,heartfelt,bustling,hearty,quickly,avaricious,impassioned,carefree,calm,gleeful,reassure,happy-go-lucky,lighthearted,assured,defenseless,feeble,powerless,lighthearted,unsurprised,happy-go-lucky,carefree,gleeful,nonchalant,reassure,not aggravated,jolly,//,1,1,PersonX lifts PersonY's feet
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX draws a picture,distasteful,inelegant,uncreative,distasteful,rusty,rusty,ugly,vulgar,vulgar,unimaginative,common,clumsy,distasteful,reasonable,inexpert,behaving,untalented,boring,inelegant,sensible,//,//,//,//,//,//,//,//,//,//,1,1,PersonX reads a book.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds PersonY's head up,numb,disloyal,lethal,mercurial,unreliable,soulless,uncompassionate,unpatriotic,unhelpful,undependable,not determined.,not scared.,//,//,//,//,//,//,//,//,not frightened.,not helpless.,not thankful.,//,//,//,//,//,//,//,0,0,PersonX holds PersonY's hands up
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it cut,dull,incapable,helpless,powerless,unfeasible,incompetent,ideal,incompetent,impractical,unrealistic,unwilling,unready,unfit,evasive,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX keeps it long
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX lays upon PersonY,dismal,obnoxious,disliking,unfeeling,discrete,spiteful,scattered,vicious,quarrelsome,ornery,lighthearted,glad,happy,jocular,joyful,jolly,jaunty,overjoyed,jubilant,cheerful,not very sad,//,//,//,//,//,//,//,//,//,0,0,PersonX gets up off of PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it removed,hesitant,desirous,indefinite,betraying,reckless,pleased,irresolute,frightened,procrastinating,afraid,bad,badly,bad,worse,exasperated,worse,sneering,miserable,worst,aggravating,//,//,//,//,//,//,//,//,//,//,0,0,Person X sticks to it.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX draws a picture of PersonY,cautious,worse,sneering,worst,vacant,helpless,meek,green,evil,absent-minded,inelegant,distasteful,queasy,fall_short_of,vulgar,unimaginative,grouchy,dissatisfy,unsatisfied,fall_short_of,dismal,blue,gloomy,anguished,annoyed,crabby,upset,grieving,anxious,hideous,0,-1,PersonX buys a picture of PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes PersonY's wife,unhappy,hideous,irritable,moody,cranky,envious,sulky,melancholy,prickly,anxious,enraged,cranky,upset,grouchy,livid,irritable,"not happy, overjoyed",churlish,surly,sad,cranky,anguished,unhappy,moody,enraged,irritable,crabby,mad,subdued,surly,1,1,PersonX becomes PersonY's husband
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds hands,unadventurous,gruesome,blue,miserable,weak,cranky,unhappy,wobbly,frightened,sore,enraged,sulky,dismal,plaintive,surly,remorseful,cranky,crabby,sore,upset,miserable,sad,mad,grieving,enraged,subdued,sulky,anxious,irascible,churlish,1,1,PersonX lets go
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leads PersonY to the conclusion,unintelligent,stupid,not cajoling,unhelpful,dopey,lethal,spiteful,spiteful,not persuading,nonsensical,stupid,unintelligent,spiteful,clumsy,incapable,incompetent,unhelpful,daft,unimportant,extraneous,thankless,ungrateful,unsupported,abandoned,uninformed,//,//,//,//,//,0,0,PersonX leads PersonY to the beginning
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets it repaired,untalented,nontechnical,rusty,incompetent,incompetent,//,//,//,//,//,impractical,petty,enforce,negligible,unhelpful,quixotic,ineffective,unfeasible,not happy about it,unrealistic,not relieved object works,//,//,//,//,//,//,//,//,//,1,1,PersonX breaks it
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX dries up and blow away,nutritious,live,tenacious,not aging,alive,portly,steel,forceful,living,not gone,substantial,strong,courageous,macho,real,masculine,bulky,dauntless,muscular,beefy,//,//,//,//,//,//,//,//,//,//,-2,-1,PersonX drowns
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets lots of candy,unselfish,cordial,worried,svelte,anxious,philanthropic,cursed,distraught,charitable,hysterical,cranky,gloomy,grouchy,querulous,enraged,not like his sweet tooth is satiated,dismal,cantankerous,not happy.,churlish,not happy to give the candies to personx.,//,//,//,//,//,//,//,//,//,1,1,personx gives away lots of candy
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY hand,hideous,unsociable,irritable,grieving,blue,queasy,upset,sad,irascible,irate,dismal,querulous,morose,cantankerous,unsociable,upset,spiteful,irritable,grieving,gruesome,unloved,not confusion,calm,assured,lonely,//,//,//,//,//,1,0,personx drops personys hand
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leads to PersonY understanding,lazy,stupid,idiotic,quizzical,not freely,not curoius,untalented,unintelligent,dopey,nonsensical,inexperienced,grieving,sulky,plaintive,remorseful,moody,dismal,bad,prickly,mad,irritable,sore,gloomy,unenlightened,anxious,inexperienced,cantankerous,anguished,irascible,mad,1,1,personx confuses persony
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes distracted,watchful,happy,content,alert,gleeful,retentive,lighthearted,careful,guarded,discreet,unoccupied,amused,interested,interest,intrigued,vacant,not preoccupied,blank,excited,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX becomes attentive
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY's hand,vicious,severe,hasty,wobbly,idiotic,rash,wiggly,shaky,spiteful,superficial,blue,anxious,livid,gruesome,petulant,anxious,petulant,plaintive,grieving,blue,crabby,dismal,morose,sore,cantankerous,livid,assured,unloved,grieving,remorseful,1,1,PersonX lets go of PersonY's hand.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes fast friends,hidden,stern,distressed,freezing,belligerent,troubled,upset,saucy,close,sneaky,querulous,petulant,sore,crabby,irate,upset,enraged,hideous,melancholy,subdued,sulky,mad,sore,gruesome,dismal,morose,enraged,wrathful,evil,miserable,2,2,PersonX becomes fast enemies
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX leaned toward PersonY,unexcited,pleasant,well-lit,cheerful,unpleasant,jocular,brilliant,testy,mean,unenthusiastic,grouchy,upset,unhappy,hideous,queasy,blue,morose,gruesome,enraged,glum,irritable,grumpy,remorseful,sore,gloomy,blue,glum,anxious,surly,cranky,0,0,PersonX leaned away from PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds in PersonY's hands,aloof,undemonstrative,hate,lavish,frigid,spiteful,unfeeling,generous,unloving,not narisstic,not not so happy as he is going to miss his best friend,//,//,//,//,//,//,//,//,//,not touched by person x's affection,//,//,//,//,//,//,//,//,//,0,0,PersonX holds in PersonY's shoulders
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets lots of compliments,hesitant,timid,unsightly,dismal,disenchanting,not praiseworthy,shy,envious,sneering,horrific,mad,sore,irritable,querulous,unhappy,unhappy,queasy,sulky,troubled,gloomy,hideous,grieving,cantankerous,agonizing,moody,anguished,prickly,wrathful,irate,cantankerous,0,-1,Personx gets lots of insults
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns a lot,disinterested,indifferent,unconcerned,uninterested,incurious,not takes things in,apathetic,unconcerned,unenthusiastic,nonabsorbent,moronic,stupid,daft,stupid,silly,dopey,idiotic,unintelligent,corny,daft,//,//,//,//,//,//,//,//,//,//,1,0,PersonX forgets a lot.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds it in PersonX's hand,freezing,hideous,unwilling,hostile,appalling,envious,dismal,mean,timid,ornery,"not aving fun, expectant for the ball back","not worried, unhappy, nervous",not still annoyed; tired of yelling,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,1,1,PersonX drops something from PersonX's hand.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes flat,not deflated,frank,calm,assured,not talentless,open,honest,not tone deaf,unbroken,//,not transgender,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,//,-1,0,PersonX gets round.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets louder,timid,defenseless,pleasing,flimsy,softly,doubtful,friendly,sober,anxious,tranquil,unsatisfied,fall_short_of,queasy,patient,easy-going,grouchy,jealous,dissatisfy,//,//,inattentive,unwitting,forgetful,gratified,oblivious,pleased,lost,not irritated,heedless,absent-minded,1,1,PersonX gets quieter
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX drinks PersonX's coffee,hungry,respectful,generous,serious,sober,nice,humorless,amiable,unmotivated,kind,unaware,not caffeinated,petty,small,absent-minded,incautious,tiny,careless,unimportant,unalert,//,//,//,//,//,//,//,//,//,//,0,0,PersonX drinks PersonX's tea
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds my hand,nonchalant,appalling,crabby,rancid,woeful,numb,spiteful,hideous,sour,uncompassionate,not like they are helping them feel secure,sedate,stifle,remorseful,crabby,sore,grouchy,moody,blue,grieving,lonely,unloved,panicky,panicky,//,//,//,//,//,//,0,0,PersonX releases my hand
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns how to juggle,tepid,uninterested,lackadaisical,disinterested,evasive,incurious,undetermined,unsure,unwilling,listless,calm,grave,serene,bored,staid,tranquil,undetermined,unexcited,stifle,unsure,bored,uninterested,aloof,//,//,//,//,//,//,//,1,1,PersonX learns how to paint
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX becomes happier,queasy,discontented,meek,cautious,upset,unmotivated,woeful,unsatisfied,timid,anxious,unhappy,querulous,exasperated,subdued,melancholy,bad,irate,miserable,grouchy,morose,//,//,//,//,//,//,//,//,//,//,1,1,PersonX becomes sadder
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX holds out PersonX's hand to PersonY,biting,lethal,obnoxious,burdensome,spiteful,freezing,belligerent,frosty,hostile,unhelpful,piercing,harsh,unkind,belligerent,hot-headed,turbulent,stern,severe,crass,freezing,lonely,not cared about,thankless,unloved,forsaken,panicky,//,//,//,//,2,-2,PersonX holds out PersonX's foot to PersonY
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets moving,assured,inactive,composed,listless,insignificant,stative,lackadaisical,motionless,tranqil,procrastinating,feeble,queasy,fall_short_of,dissatisfy,not good about themselves,shaky,limp,stuffed,impotent,grouchy,//,//,//,//,//,//,//,//,//,//,1,1,PersonX stops moving.
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX learns how to sing,stupid,teachable,uninterested,not musically inclined,teachable,unmusical,unmelodious,slow,untalented,bored,anguished,sore,subdued,not proud that he achieved his goal,irritable,anxious,annoyed,moody,grumpy,enraged,//,//,//,//,//,//,//,//,//,//,1,1,PersonX learns how to keep quiet
Evaluate Opposite Events,Formulate and evaluate the opposite event given an event.,"annotation, event, objects, label, reasoning",PersonX gets on PersonY's case,overjoyed,cautious,fearful,subordinate,subservient,unaggressive,meek,not abrasive,not hardheaded,amusing,pleased,not good that they told the other person that their behavior was in need of change.,gratified,unangry,//,//,//,//,//,//,gratified,happy,rosy,radiant,joyful,hilarious,not upset that the other person pointed this out.,jolly,gleeful,merry,2,2,PersonX avoids the issue
