Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6,Answer.c0,Answer.c1,Answer.c2,Answer.c3,Answer.c4,Answer.c5,Answer.c6,Answer.commentbox,Answer.q1,Answer.q2,Answer.q21,Answer.q22,Answer.q23,Answer.q24,Answer.q25,Answer.q3
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371555,What is the woman reading?,newspaper,A woman sitting on a bench reading a newspaper.,COCO_val2014_000000371555.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,woman,newspaper,-,-,-,-,-,-,-,-,-,-,-,reading newspaper,-,-,-,-,-,no,no,yes,yes,bench,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371555,What is the woman reading?,newspaper,A woman sitting on a bench reading a newspaper.,COCO_val2014_000000371555.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,woman,newspaper,-,-,-,-,-,-,-,-,-,-,-,reading newspaper,-,-,-,-,-,yes,yes,yes,w_yes,bench,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000371555,What is the woman reading?,newspaper,A woman sitting on a bench reading a newspaper.,COCO_val2014_000000371555.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bench,woman,newspaper,-,-,-,-,-,-,-,-,-,-,-,reading newspaper,-,-,-,-,-,yes,w_yes,yes,w_yes,bench,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461692,What color is the toilet seat?,white,A white toilet sitting next to a bath tub.,COCO_val2014_000000461692.jpg,-,vqa_textual_viscomet_q_a_to_r,tub,toilet,-,-,-,-,-,-,-,white toilet,bath tub,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_no,tub,bath tub,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461692,What color is the toilet seat?,white,A white toilet sitting next to a bath tub.,COCO_val2014_000000461692.jpg,-,vqa_textual_viscomet_q_a_to_r,tub,toilet,-,-,-,-,-,-,-,white toilet,bath tub,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461692,What color is the toilet seat?,white,A white toilet sitting next to a bath tub.,COCO_val2014_000000461692.jpg,-,vqa_textual_viscomet_q_a_to_r,tub,toilet,-,-,-,-,-,-,-,white toilet,bath tub,-,-,-,-,-,-,-,-,-,yes,no,yes,w_no,tub,bath tub,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461774,What are the zebras standing on?,grass,A group of zebras standing in the grass.,COCO_val2014_000000461774.jpg,-,vqa_textual_viscomet_q_a_to_r,zebras,grass,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461774,What are the zebras standing on?,grass,A group of zebras standing in the grass.,COCO_val2014_000000461774.jpg,-,vqa_textual_viscomet_q_a_to_r,zebras,grass,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000461774,What are the zebras standing on?,grass,A group of zebras standing in the grass.,COCO_val2014_000000461774.jpg,-,vqa_textual_viscomet_q_a_to_r,zebras,grass,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train pulling away from the station?,no,A train is coming down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_no|no,station,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train pulling away from the station?,no,A train is coming down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_yes,yes,yes,w_no,station,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train pulling away from the station?,no,A train is coming down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_no,w_no,yes,no,station,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train moving?,yes,A train is traveling down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,yes,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train moving?,yes,A train is traveling down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,w_yes,station,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000372070,Is the train moving?,yes,A train is traveling down the tracks near a station.,COCO_val2014_000000372070.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000000589,What time of day is it?,night,A clock tower is lit up at night.,COCO_val2014_000000000589.jpg,-,vqa_textual_viscomet_q_a_to_r,night,tower,-,-,-,-,-,-,-,clock tower,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,tower,clock tower,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000000589,What time of day is it?,night,A clock tower is lit up at night.,COCO_val2014_000000000589.jpg,-,vqa_textual_viscomet_q_a_to_r,night,tower,-,-,-,-,-,-,-,clock tower,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000000589,What time of day is it?,night,A clock tower is lit up at night.,COCO_val2014_000000000589.jpg,-,vqa_textual_viscomet_q_a_to_r,night,tower,-,-,-,-,-,-,-,clock tower,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,tower,clock tower,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000464366,What is this sport?,baseball,A baseball player is getting ready to hit the ball.,COCO_val2014_000000464366.jpg,-,vqa_textual_viscomet_q_a_to_r,ball,player,-,-,-,-,-,-,-,baseball player,-,-,-,-,to hit ball,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000464366,What is this sport?,baseball,A baseball player is getting ready to hit the ball.,COCO_val2014_000000464366.jpg,-,vqa_textual_viscomet_q_a_to_r,ball,player,-,-,-,-,-,-,-,baseball player,-,-,-,-,to hit ball,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000464366,What is this sport?,baseball,A baseball player is getting ready to hit the ball.,COCO_val2014_000000464366.jpg,-,vqa_textual_viscomet_q_a_to_r,ball,player,-,-,-,-,-,-,-,baseball player,-,-,-,-,to hit ball,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000377080,Is the water moving?,yes,A man is surfing in the ocean on a wave.,COCO_val2014_000000377080.jpg,-,vqa_embeddings_viscomet_q_a_to_r,ocean,man,wave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,yes,ocean|man|wave,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000377080,Is the water moving?,yes,A man is surfing in the ocean on a wave.,COCO_val2014_000000377080.jpg,-,vqa_embeddings_viscomet_q_a_to_r,ocean,man,wave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,ocean|wave,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000377080,Is the water moving?,yes,A man is surfing in the ocean on a wave.,COCO_val2014_000000377080.jpg,-,vqa_embeddings_viscomet_q_a_to_r,ocean,man,wave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_no,yes,w_no,ocean|man,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000465591,What is on top of the toilet seat with lots of colors?,cat,A cat is sitting on top of a toilet in a bathroom.,COCO_val2014_000000465591.jpg,-,vqa_textual_viscomet_q_a_to_r,bathroom,toilet,cat,top,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000465591,What is on top of the toilet seat with lots of colors?,cat,A cat is sitting on top of a toilet in a bathroom.,COCO_val2014_000000465591.jpg,-,vqa_textual_viscomet_q_a_to_r,bathroom,toilet,cat,top,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000465591,What is on top of the toilet seat with lots of colors?,cat,A cat is sitting on top of a toilet in a bathroom.,COCO_val2014_000000465591.jpg,-,vqa_textual_viscomet_q_a_to_r,bathroom,toilet,cat,top,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000004093,What does the yellow sign say?,tri-city fence company,"A sign that reads ""Trap City Fence Company"" on a pole.",COCO_val2014_000000004093.jpg,-,vqa_textual_viscomet_q_a_to_r,sign,pole,company,-,-,-,-,-,-,"""trap city fence company",-,-,-,-,reads company,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000004093,What does the yellow sign say?,tri-city fence company,"A sign that reads ""Trap City Fence Company"" on a pole.",COCO_val2014_000000004093.jpg,-,vqa_textual_viscomet_q_a_to_r,sign,pole,company,-,-,-,-,-,-,"""trap city fence company",-,-,-,-,reads company,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000004093,What does the yellow sign say?,tri-city fence company,"A sign that reads ""Trap City Fence Company"" on a pole.",COCO_val2014_000000004093.jpg,-,vqa_textual_viscomet_q_a_to_r,sign,pole,company,-,-,-,-,-,-,"""trap city fence company",-,-,-,-,reads company,-,-,-,-,-,no,no,yes,w_no,pole,{},-,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000470780,Is there something inside the oven?,no,A woman is standing in the kitchen with a pizza.,COCO_val2014_000000470780.jpg,-,vqa_textual_viscomet_q_a_to_r,kitchen,woman,pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_no,w_no,yes,w_no,woman|pizza,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000470780,Is there something inside the oven?,no,A woman is standing in the kitchen with a pizza.,COCO_val2014_000000470780.jpg,-,vqa_textual_viscomet_q_a_to_r,kitchen,woman,pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,w_no,woman|pizza,-,-,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000470780,Is there something inside the oven?,no,A woman is standing in the kitchen with a pizza.,COCO_val2014_000000470780.jpg,-,vqa_textual_viscomet_q_a_to_r,kitchen,woman,pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,w_yes,yes,w_no,woman|pizza,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000388299,Where is the baby holding a stuffed animal?,sofa,A baby is sitting on a couch holding a stuffed animal.,COCO_val2014_000000388299.jpg,-,vqa_embeddings_viscomet_q_a_to_r,couch,animal,baby,-,-,-,-,-,-,stuffed animal,-,-,-,-,holding animal,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000388299,Where is the baby holding a stuffed animal?,sofa,A baby is sitting on a couch holding a stuffed animal.,COCO_val2014_000000388299.jpg,-,vqa_embeddings_viscomet_q_a_to_r,couch,animal,baby,-,-,-,-,-,-,stuffed animal,-,-,-,-,holding animal,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000388299,Where is the baby holding a stuffed animal?,sofa,A baby is sitting on a couch holding a stuffed animal.,COCO_val2014_000000388299.jpg,-,vqa_embeddings_viscomet_q_a_to_r,couch,animal,baby,-,-,-,-,-,-,stuffed animal,-,-,-,-,holding animal,-,-,-,-,-,yes,yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000473673,What is the giraffe standing behind?,trees,A giraffe standing in the middle of a field with trees in the background.,COCO_val2014_000000473673.jpg,-,vqa_textual_viscomet_q_a_to_r,background,giraffe,trees,middle,field,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w_yes,w_yes,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000473673,What is the giraffe standing behind?,trees,A giraffe standing in the middle of a field with trees in the background.,COCO_val2014_000000473673.jpg,-,vqa_textual_viscomet_q_a_to_r,background,giraffe,trees,middle,field,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000473673,What is the giraffe standing behind?,trees,A giraffe standing in the middle of a field with trees in the background.,COCO_val2014_000000473673.jpg,-,vqa_textual_viscomet_q_a_to_r,background,giraffe,trees,middle,field,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,no,no,yes,no,nota-n,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000391144,Are the elephants free?,yes,A group of elephants are standing in the grass.,COCO_val2014_000000391144.jpg,-,vqa_embeddings_viscomet_q_a_to_r,grass,elephants,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,yes,no,yes,yes,grass,nota-np,nota-verb,{},yes,yes,w_no,no,no,w_no,w_yes,yes
