Title,Description,Keywords,img_id,question,answer,rationale,img_fn,metadata_fn,model_name,NOUN1,NOUN2,NOUN3,NOUN4,NOUN5,NOUN6,NOUN7,NOUN8,NOUN9,NOUNPHRASE1,NOUNPHRASE2,NOUNPHRASE3,NOUNPHRASE4,NOUNPHRASE5,VERB1,VERB2,VERB3,VERB4,VERB5,VERB6
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000473673,What is the giraffe standing behind?,trees,A giraffe standing in the middle of a field with trees in the background.,COCO_val2014_000000473673.jpg,-,vqa_textual_viscomet_q_a_to_r,background,giraffe,trees,middle,field,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000391144,Are the elephants free?,yes,A group of elephants are standing in the grass.,COCO_val2014_000000391144.jpg,-,vqa_embeddings_viscomet_q_a_to_r,grass,elephants,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000474609,What is the silver and black appliance called?,stove,"A kitchen with a stove, refrigerator, microwave and a dishwasher.",COCO_val2014_000000474609.jpg,-,vqa_textual_viscomet_q_a_to_r,dishwasher,stove,refrigerator,kitchen,microwave,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000004498,Is the person in the picture touching the skateboard?,yes,A person is doing a trick on a skateboard.,COCO_val2014_000000004498.jpg,-,vqa_textual_viscomet_q_a_to_r,skateboard,trick,-,-,-,-,-,-,-,-,-,-,-,-,is doing trick,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000392260,How many animals are in the photo?,2,Two giraffes are standing in the grass near a tree.,COCO_val2014_000000392260.jpg,-,vqa_embeddings_viscomet_q_a_to_r,giraffes,tree,grass,-,-,-,-,-,-,two giraffes,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000486491,Are all the guys in the same team?,yes,A baseball player is swinging at a pitch in a game.,COCO_val2014_000000486491.jpg,-,vqa_textual_viscomet_q_a_to_r,pitch,player,game,-,-,-,-,-,-,baseball player,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000492506,Are there any other animals in the picture?,no,Two zebras are standing in the grass near a tree.,COCO_val2014_000000492506.jpg,-,vqa_textual_viscomet_q_a_to_r,zebras,grass,tree,-,-,-,-,-,-,two zebras,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000393809,How many boys are on the field?,3,Three boys are playing soccer on a field.,COCO_val2014_000000393809.jpg,-,vqa_embeddings_viscomet_q_a_to_r,boys,soccer,field,-,-,-,-,-,-,three boys,-,-,-,-,are playing soccer,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000005540,What is the meat called?,prosciutto,"A pizza with cheese, tomatoes, and prosciutto on a plate.",COCO_val2014_000000005540.jpg,-,vqa_textual_viscomet_q_a_to_r,prosciutto,cheese,tomatoes,pizza,plate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000494439,What is the date in the photo?,22 6 2013,A vintage photo of a train on the tracks,COCO_val2014_000000494439.jpg,-,vqa_textual_viscomet_q_a_to_r,tracks,train,photo,-,-,-,-,-,-,vintage photo,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000394275,What color is this bus?,green,A green bus is parked on the side of the street.,COCO_val2014_000000394275.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bus,street,side,-,-,-,-,-,-,green bus,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000396410,What color is the grass?,green,A giraffe standing in a lush green field.,COCO_val2014_000000396410.jpg,-,vqa_embeddings_viscomet_q_a_to_r,field,giraffe,-,-,-,-,-,-,-,lush green field,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000495681,Where is the clock?,above window,A clock is shown above a window in a kitchen.,COCO_val2014_000000495681.jpg,-,vqa_textual_viscomet_q_a_to_r,clock,kitchen,window,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000396727,Is this place in the United States?,no,A man is standing in the street with a skateboard.,COCO_val2014_000000396727.jpg,-,vqa_embeddings_viscomet_q_a_to_r,man,street,skateboard,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000496307,What is served on the plate?,pizza,A man is holding a pizza with a fork and knife.,COCO_val2014_000000496307.jpg,-,vqa_textual_viscomet_q_a_to_r,man,knife,fork,pizza,-,-,-,-,-,-,-,-,-,-,is holding pizza,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000006719,What color is the board?,yellow,A man in a yellow shirt is playing tennis.,COCO_val2014_000000006719.jpg,-,vqa_textual_viscomet_q_a_to_r,shirt,man,tennis,-,-,-,-,-,-,yellow shirt,-,-,-,-,is playing tennis,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000008010,Is everyone surfing?,no,A group of people that are standing in the sand.,COCO_val2014_000000008010.jpg,-,vqa_textual_viscomet_q_a_to_r,people,sand,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000008211,Do the people know each other?,yes,A group of people that are standing in the street.,COCO_val2014_000000008211.jpg,-,vqa_textual_viscomet_q_a_to_r,people,street,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000497443,What is the cat doing?,staring,A cat is staring at the camera with a funny look.,COCO_val2014_000000497443.jpg,-,vqa_textual_viscomet_q_a_to_r,look,camera,cat,-,-,-,-,-,-,funny look,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000015746,Is this outdoors?,yes,A toilet is shown in a bathroom with a window.,COCO_val2014_000000015746.jpg,-,vqa_textual_viscomet_q_a_to_r,bathroom,toilet,window,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000498228,Are these birds captive?,no,A group of birds that are standing in the water.,COCO_val2014_000000498228.jpg,-,vqa_textual_viscomet_q_a_to_r,birds,water,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000025748,What is the name of the boat?,blackbeard ii,A blackbeard boat is in the water.,COCO_val2014_000000025748.jpg,-,vqa_textual_viscomet_q_a_to_r,boat,water,-,-,-,-,-,-,-,blackbeard boat,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000397268,How many bicycles?,2,Two bicycles are parked next to each other on a sidewalk.,COCO_val2014_000000397268.jpg,-,vqa_embeddings_viscomet_q_a_to_r,sidewalk,bicycles,-,-,-,-,-,-,-,two bicycles,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000026430,Is the umbrella tied down?,no,A woman is walking down the street with an umbrella.,COCO_val2014_000000026430.jpg,-,vqa_textual_viscomet_q_a_to_r,woman,street,umbrella,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000404785,What color are the walls?,white,A white bathroom with a toilet and sink.,COCO_val2014_000000404785.jpg,-,vqa_embeddings_viscomet_q_a_to_r,bathroom,toilet,sink,-,-,-,-,-,-,white bathroom,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000027371,Is this in someone's backyard?,no,A man is standing in the grass with a frisbee.,COCO_val2014_000000027371.jpg,-,vqa_textual_viscomet_q_a_to_r,man,grass,frisbee,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000498759,What is on the road?,skateboard,A man riding a skateboard down the side of a road.,COCO_val2014_000000498759.jpg,-,vqa_textual_viscomet_q_a_to_r,side,man,road,skateboard,-,-,-,-,-,-,-,-,-,-,riding skateboard,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000408863,Is this a freight train?,no,A train is traveling down the tracks near a forest.,COCO_val2014_000000408863.jpg,-,vqa_embeddings_viscomet_q_a_to_r,tracks,train,forest,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000031106,Is something happening in the water?,no,A man is surfing on a wave in the ocean.,COCO_val2014_000000031106.jpg,-,vqa_textual_viscomet_q_a_to_r,wave,man,ocean,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000501260,What device is on?,tv,"A living room with a couch, coffee table, and tv on it.",COCO_val2014_000000501260.jpg,-,vqa_textual_viscomet_q_a_to_r,table,tv,room,-,-,-,-,-,-,living room,"couch, coffee table",-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000409100,Does this shirt require a tie?,yes,A shirt with a tie on it is on a table.,COCO_val2014_000000409100.jpg,-,vqa_embeddings_viscomet_q_a_to_r,shirt,tie,table,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000031980,What type of pizza is this?,cheese,A pizza with cheese and vegetables on it.,COCO_val2014_000000031980.jpg,-,vqa_textual_viscomet_q_a_to_r,cheese,vegetables,pizza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000037814,What is going to be cut?,paper,A cutting board with a piece of paper on it.,COCO_val2014_000000037814.jpg,-,vqa_textual_viscomet_q_a_to_r,board,paper,piece,-,-,-,-,-,-,cutting board,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000412377,Are there two cats in the picture?,yes,Two cats are sitting on a couch together.,COCO_val2014_000000412377.jpg,-,vqa_embeddings_viscomet_q_a_to_r,couch,cats,-,-,-,-,-,-,-,two cats,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000038892,What are the big object next to the girl?,stocking,A girl is sitting on a bench with a stocking on her back.,COCO_val2014_000000038892.jpg,-,vqa_textual_viscomet_q_a_to_r,bench,girl,stocking,back,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000508041,Where is the black sooty smoke?,above train,A train is traveling down the tracks near a station.,COCO_val2014_000000508041.jpg,-,vqa_textual_viscomet_q_a_to_r,tracks,train,station,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000039368,What is the number of the bus?,8601,A bus that is sitting in the street.,COCO_val2014_000000039368.jpg,-,vqa_textual_viscomet_q_a_to_r,bus,street,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000413058,Are the two laptops identical?,no,Two laptops are sitting on a desk with a mouse.,COCO_val2014_000000413058.jpg,-,vqa_embeddings_viscomet_q_a_to_r,laptops,mouse,desk,-,-,-,-,-,-,two laptops,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000509116,Are the animals covered with snow?,no,A group of animals that are standing in the snow.,COCO_val2014_000000509116.jpg,-,vqa_textual_viscomet_q_a_to_r,animals,snow,group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000510559,Are there any waves?,yes,A surfer is riding a wave in the ocean.,COCO_val2014_000000510559.jpg,-,vqa_textual_viscomet_q_a_to_r,wave,ocean,surfer,-,-,-,-,-,-,-,-,-,-,-,is riding wave,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000416864,Is Santa standing at the North Pole?,no,A man is standing in the snow with skis.,COCO_val2014_000000416864.jpg,-,vqa_embeddings_viscomet_q_a_to_r,man,snow,skis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000511669,Is there a saddle on the horse?,yes,A horse is standing on the grass with a saddle.,COCO_val2014_000000511669.jpg,-,vqa_textual_viscomet_q_a_to_r,grass,horse,saddle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000420791,How many boats are docked?,6,Several boats are docked in a harbor.,COCO_val2014_000000420791.jpg,-,vqa_embeddings_viscomet_q_a_to_r,boats,harbor,-,-,-,-,-,-,-,several boats,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000511895,What is burning?,candles,A woman is holding a candle that is lit.,COCO_val2014_000000511895.jpg,-,vqa_textual_viscomet_q_a_to_r,woman,candle,-,-,-,-,-,-,-,-,-,-,-,-,is holding candle,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000421455,Who has his head out the window?,dog,A dog is sitting in the window sill looking out.,COCO_val2014_000000421455.jpg,-,vqa_embeddings_viscomet_q_a_to_r,sill,dog,-,-,-,-,-,-,-,window sill,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000512394,Where is the motorcycle?,inside,A motorcycle is parked inside of a garage.,COCO_val2014_000000512394.jpg,-,vqa_textual_viscomet_q_a_to_r,garage,motorcycle,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000422017,Is this person alone?,yes,A person is standing in the snow on skis.,COCO_val2014_000000422017.jpg,-,vqa_embeddings_viscomet_q_a_to_r,snow,skis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000516178,What color are the flags?,red,A red stop sign sitting on the side of a road.,COCO_val2014_000000516178.jpg,-,vqa_textual_viscomet_q_a_to_r,sign,road,side,-,-,-,-,-,-,red stop sign,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000516342,Where is the woman going?,park,A woman is standing in the park with a kite.,COCO_val2014_000000516342.jpg,-,vqa_textual_viscomet_q_a_to_r,woman,park,kite,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000424422,Are the guys in a house?,no,Two men are playing a video game in the living room.,COCO_val2014_000000424422.jpg,-,vqa_embeddings_viscomet_q_a_to_r,room,game,men,-,-,-,-,-,-,living room,video game,two men,-,-,are playing game,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000516415,What kind of ball is being played?,baseball,A baseball player is getting ready to hit the ball.,COCO_val2014_000000516415.jpg,-,vqa_textual_viscomet_q_a_to_r,ball,player,-,-,-,-,-,-,-,baseball player,-,-,-,-,to hit ball,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000424445,Is the plane in the air?,yes,A plane is flying in the sky over trees.,COCO_val2014_000000424445.jpg,-,vqa_embeddings_viscomet_q_a_to_r,trees,sky,plane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"[Batch2] Judge if a rationale justifies the answer to a question, given an image","For a given image, a question-answer pair and a rationale, judge the quality of the rationale.","image, AI, reasoning",COCO_val2014_000000041574,What is the color of the men's top?,black,A man in black shorts and a white shirt playing tennis.,COCO_val2014_000000041574.jpg,-,vqa_textual_viscomet_q_a_to_r,shirt,man,tennis,shorts,-,-,-,-,-,white shirt,black shorts,-,-,-,playing tennis,-,-,-,-,-
