Title,Description,Keywords,Input.sclid1,Input.sclmin1,Input.sclmax1,Input.pairs1,Input.n1,Input.sclid2,Input.sclmin2,Input.sclmax2,Input.pairs2,Input.n2,Input.sclid3,Input.sclmin3,Input.sclmax3,Input.pairs3,Input.n3,Answer.Answer.sclid1.1,Answer.Answer.sclid1.10,Answer.Answer.sclid1.11,Answer.Answer.sclid1.12,Answer.Answer.sclid1.13,Answer.Answer.sclid1.14,Answer.Answer.sclid1.15,Answer.Answer.sclid1.2,Answer.Answer.sclid1.3,Answer.Answer.sclid1.4,Answer.Answer.sclid1.5,Answer.Answer.sclid1.6,Answer.Answer.sclid1.7,Answer.Answer.sclid1.8,Answer.Answer.sclid1.9,Answer.Answer.sclid2.1,Answer.Answer.sclid2.10,Answer.Answer.sclid2.11,Answer.Answer.sclid2.12,Answer.Answer.sclid2.13,Answer.Answer.sclid2.14,Answer.Answer.sclid2.15,Answer.Answer.sclid2.16,Answer.Answer.sclid2.17,Answer.Answer.sclid2.18,Answer.Answer.sclid2.19,Answer.Answer.sclid2.2,Answer.Answer.sclid2.20,Answer.Answer.sclid2.21,Answer.Answer.sclid2.22,Answer.Answer.sclid2.23,Answer.Answer.sclid2.24,Answer.Answer.sclid2.25,Answer.Answer.sclid2.26,Answer.Answer.sclid2.27,Answer.Answer.sclid2.28,Answer.Answer.sclid2.3,Answer.Answer.sclid2.4,Answer.Answer.sclid2.5,Answer.Answer.sclid2.6,Answer.Answer.sclid2.7,Answer.Answer.sclid2.8,Answer.Answer.sclid2.9,Answer.Answer.sclid3.1,Answer.Answer.sclid3.2,Answer.Answer.sclid3.3,Approve,Reject
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3,beautiful**LT**seductive,,,,,,,beautiful**LT**mesmerizing,attractive**LT**beautiful,attractive**LT**seductive,attractive**LT**mesmerizing,mesmerizing**GT**seductive,,,,overwhelming**GT**strong,terrible**LT**violent,,,,,,,,,,overwhelming**LT**violent,,,,,,,,,,overwhelming**GT**terrible,strong**LT**violent,strong**LT**terrible,intense**LT**overwhelming,intense**GT**strong,intense**LT**violent,intense**GT**terrible,grave**LT**graver,grave**LT**gravest,graver**LT**gravest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3,beautiful**LT**seductive,,,,,,,beautiful**LT**mesmerizing,attractive**GT**beautiful,attractive**LT**seductive,attractive**LT**mesmerizing,mesmerizing**GT**seductive,,,,overwhelming**GT**strong,terrible**LT**violent,,,,,,,,,,overwhelming**LT**violent,,,,,,,,,,overwhelming**GT**terrible,strong**LT**violent,strong**GT**terrible,intense**EQ**overwhelming,intense**GT**strong,intense**LT**violent,intense**GT**terrible,grave**LT**graver,grave**LT**gravest,graver**LT**gravest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3,beautiful**GT**seductive,,,,,,,beautiful**LT**mesmerizing,attractive**LT**beautiful,attractive**LT**seductive,attractive**LT**mesmerizing,mesmerizing**GT**seductive,,,,overwhelming**GT**strong,terrible**LT**violent,,,,,,,,,,overwhelming**LT**violent,,,,,,,,,,overwhelming**LT**terrible,strong**LT**violent,strong**LT**terrible,intense**EQ**overwhelming,intense**GT**strong,intense**LT**violent,intense**LT**terrible,grave**LT**graver,grave**LT**gravest,graver**LT**gravest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3,beautiful**GT**seductive,,,,,,,beautiful**LT**mesmerizing,attractive**LT**beautiful,attractive**EQ**seductive,attractive**LT**mesmerizing,mesmerizing**GT**seductive,,,,overwhelming**GT**strong,terrible**EQ**violent,,,,,,,,,,overwhelming**LT**violent,,,,,,,,,,overwhelming**LT**terrible,strong**LT**violent,strong**LT**terrible,intense**LT**overwhelming,intense**EQ**strong,intense**LT**violent,intense**LT**terrible,grave**LT**graver,grave**LT**gravest,graver**LT**gravest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",XXattractive-unattractive,unattractive,attractive,beautiful XXX seductive ||| beautiful XXX mesmerizing ||| attractive XXX beautiful ||| attractive XXX seductive ||| attractive XXX mesmerizing ||| mesmerizing XXX seductive,6,mild-intenseXX,mild,intense,overwhelming XXX strong ||| overwhelming XXX violent ||| overwhelming XXX terrible ||| strong XXX violent ||| strong XXX terrible ||| intense XXX overwhelming ||| intense XXX strong ||| intense XXX violent ||| intense XXX terrible ||| terrible XXX violent,10,grave-gravestXX,grave,gravest,grave XXX graver ||| grave XXX gravest ||| graver XXX gravest,3,beautiful**LT**seductive,,,,,,,beautiful**LT**mesmerizing,attractive**EQ**beautiful,attractive**LT**seductive,attractive**LT**mesmerizing,mesmerizing**LT**seductive,,,,overwhelming**GT**strong,terrible**LT**violent,,,,,,,,,,overwhelming**LT**violent,,,,,,,,,,overwhelming**GT**terrible,strong**LT**violent,strong**LT**terrible,intense**EQ**overwhelming,intense**GT**strong,intense**LT**violent,intense**LT**terrible,grave**LT**graver,grave**LT**gravest,graver**LT**gravest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3,extraordinary**GT**unusual,exceptional**GT**uncommon,,,,,,extraordinary**GT**rare,extraordinary**GT**uncommon,rare**GT**unusual,rare**GT**uncommon,uncommon**GT**unusual,exceptional**LT**extraordinary,exceptional**GT**unusual,exceptional**GT**rare,aware**EQ**conscious,,,,,,,,,,,awake**EQ**aware,,,,,,,,,,awake**EQ**conscious,alive**LT**aware,alive**LT**awake,alive**LT**conscious,,,,dark**LT**darker,dark**LT**darkest,darker**LT**darkest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3,extraordinary**GT**unusual,exceptional**GT**uncommon,,,,,,extraordinary**LT**rare,extraordinary**EQ**uncommon,rare**GT**unusual,rare**GT**uncommon,uncommon**LT**unusual,exceptional**GT**extraordinary,exceptional**GT**unusual,exceptional**LT**rare,aware**GT**conscious,,,,,,,,,,,awake**LT**aware,,,,,,,,,,awake**LT**conscious,alive**LT**aware,alive**GT**awake,alive**LT**conscious,,,,dark**LT**darker,dark**LT**darkest,darker**LT**darkest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3,extraordinary**GT**unusual,exceptional**GT**uncommon,,,,,,extraordinary**GT**rare,extraordinary**GT**uncommon,rare**GT**unusual,rare**GT**uncommon,uncommon**EQ**unusual,exceptional**EQ**extraordinary,exceptional**GT**unusual,exceptional**EQ**rare,aware**EQ**conscious,,,,,,,,,,,awake**EQ**aware,,,,,,,,,,awake**EQ**conscious,alive**LT**aware,alive**LT**awake,alive**LT**conscious,,,,dark**LT**darker,dark**LT**darkest,darker**LT**darkest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3,extraordinary**GT**unusual,exceptional**EQ**uncommon,,,,,,extraordinary**EQ**rare,extraordinary**GT**uncommon,rare**GT**unusual,rare**GT**uncommon,uncommon**EQ**unusual,exceptional**EQ**extraordinary,exceptional**EQ**unusual,exceptional**LT**rare,aware**GT**conscious,,,,,,,,,,,awake**LT**aware,,,,,,,,,,awake**EQ**conscious,alive**GT**aware,alive**GT**awake,alive**GT**conscious,,,,dark**LT**darker,dark**LT**darkest,darker**LT**darkest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",common-uncommonXX,common,uncommon,extraordinary XXX unusual ||| extraordinary XXX rare ||| extraordinary XXX uncommon ||| rare XXX unusual ||| rare XXX uncommon ||| uncommon XXX unusual ||| exceptional XXX extraordinary ||| exceptional XXX unusual ||| exceptional XXX rare ||| exceptional XXX uncommon,10,XXaware-incognizant,incognizant,aware,aware XXX conscious ||| awake XXX aware ||| awake XXX conscious ||| alive XXX aware ||| alive XXX awake ||| alive XXX conscious,6,dark-darkestXX,dark,darkest,dark XXX darker ||| dark XXX darkest ||| darker XXX darkest,3,extraordinary**GT**unusual,exceptional**GT**uncommon,,,,,,extraordinary**GT**rare,extraordinary**GT**uncommon,rare**EQ**unusual,rare**GT**uncommon,uncommon**EQ**unusual,exceptional**EQ**extraordinary,exceptional**GT**unusual,exceptional**GT**rare,aware**EQ**conscious,,,,,,,,,,,awake**EQ**aware,,,,,,,,,,awake**EQ**conscious,alive**EQ**aware,alive**EQ**awake,alive**EQ**conscious,,,,dark**LT**darker,dark**LT**darkest,darker**LT**darkest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fit-unfitXX,fit,unfit,disabled XXX impaired ||| disabled XXX ill ||| disabled XXX sick ||| impaired XXX sick ||| ill XXX impaired ||| ill XXX sick,6,XXpossible-impossible,impossible,possible,practical XXX realistic ||| possible XXX practical ||| possible XXX realistic ||| feasible XXX practical ||| feasible XXX realistic ||| feasible XXX possible,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3,disabled**GT**impaired,,,,,,,disabled**GT**ill,disabled**GT**sick,impaired**GT**sick,ill**LT**impaired,ill**GT**sick,,,,practical**LT**realistic,,,,,,,,,,,possible**LT**practical,,,,,,,,,,possible**LT**realistic,feasible**GT**practical,feasible**GT**realistic,feasible**GT**possible,,,,cool**LT**cooler,cool**LT**coolest,cooler**LT**coolest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fit-unfitXX,fit,unfit,disabled XXX impaired ||| disabled XXX ill ||| disabled XXX sick ||| impaired XXX sick ||| ill XXX impaired ||| ill XXX sick,6,XXpossible-impossible,impossible,possible,practical XXX realistic ||| possible XXX practical ||| possible XXX realistic ||| feasible XXX practical ||| feasible XXX realistic ||| feasible XXX possible,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3,disabled**LT**impaired,,,,,,,disabled**GT**ill,disabled**GT**sick,impaired**GT**sick,ill**LT**impaired,ill**EQ**sick,,,,practical**EQ**realistic,,,,,,,,,,,possible**LT**practical,,,,,,,,,,possible**LT**realistic,feasible**LT**practical,feasible**LT**realistic,feasible**EQ**possible,,,,cool**LT**cooler,cool**LT**coolest,cooler**LT**coolest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fit-unfitXX,fit,unfit,disabled XXX impaired ||| disabled XXX ill ||| disabled XXX sick ||| impaired XXX sick ||| ill XXX impaired ||| ill XXX sick,6,XXpossible-impossible,impossible,possible,practical XXX realistic ||| possible XXX practical ||| possible XXX realistic ||| feasible XXX practical ||| feasible XXX realistic ||| feasible XXX possible,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3,disabled**GT**impaired,,,,,,,disabled**GT**ill,disabled**GT**sick,impaired**GT**sick,ill**LT**impaired,ill**EQ**sick,,,,practical**EQ**realistic,,,,,,,,,,,possible**LT**practical,,,,,,,,,,possible**LT**realistic,feasible**LT**practical,feasible**LT**realistic,feasible**EQ**possible,,,,cool**LT**cooler,cool**LT**coolest,cooler**LT**coolest,,
Ordering adjectives by their intensity,"Given a pair of adjectives (e.g. cold, freezing), determine which is more intense (freezing).","NLP, research, adjectives",fit-unfitXX,fit,unfit,disabled XXX impaired ||| disabled XXX ill ||| disabled XXX sick ||| impaired XXX sick ||| ill XXX impaired ||| ill XXX sick,6,XXpossible-impossible,impossible,possible,practical XXX realistic ||| possible XXX practical ||| possible XXX realistic ||| feasible XXX practical ||| feasible XXX realistic ||| feasible XXX possible,6,cool-coolestXX,cool,coolest,cool XXX cooler ||| cool XXX coolest ||| cooler XXX coolest,3,disabled**LT**impaired,,,,,,,disabled**GT**ill,disabled**GT**sick,impaired**GT**sick,ill**LT**impaired,ill**EQ**sick,,,,practical**EQ**realistic,,,,,,,,,,,possible**GT**practical,,,,,,,,,,possible**LT**realistic,feasible**EQ**practical,feasible**LT**realistic,feasible**LT**possible,,,,cool**LT**cooler,cool**LT**coolest,cooler**LT**coolest,,
