Title,Description,Keywords,prompt1,candidate1-1,candidate1-2,candidate1-3,candidate1-4,gold_label1,prompt2,candidate2-1,candidate2-2,candidate2-3,candidate2-4,gold_label2,prompt3,candidate3-1,candidate3-2,candidate3-3,candidate3-4,gold_label3,prompt4,candidate4-1,candidate4-2,candidate4-3,candidate4-4,gold_label4,prompt5,candidate5-1,candidate5-2,candidate5-3,candidate5-4,gold_label5,prompt6,candidate6-1,candidate6-2,candidate6-3,candidate6-4,gold_label6,prompt7,candidate7-1,candidate7-2,candidate7-3,candidate7-4,gold_label7,prompt8,candidate8-1,candidate8-2,candidate8-3,candidate8-4,gold_label8,prompt9,candidate9-1,candidate9-2,candidate9-3,candidate9-4,gold_label9,prompt10,candidate10-1,candidate10-2,candidate10-3,candidate10-4,gold_label10,prompt11,candidate11-1,candidate11-2,candidate11-3,candidate11-4,gold_label11,prompt12,candidate12-1,candidate12-2,candidate12-3,candidate12-4,gold_label12,prompt13,candidate13-1,candidate13-2,candidate13-3,candidate13-4,gold_label13,prompt14,candidate14-1,candidate14-2,candidate14-3,candidate14-4,gold_label14,prompt15,candidate15-1,candidate15-2,candidate15-3,candidate15-4,gold_label15,ctrl_index
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Spot Fake MAC Lipstick,Help the individual find a comfortable position,Apply the lipstick to your inner arm to check for creaminess,Spruce up their wardrobe,Eat red meat,1,Recognize That Someone Is Drowning,Keep your wound moist.,Separate the injured quail from the flock.,Take action as soon as possible.,Lift away any visible pollen with clear tape.,2,Use a Serger,Lift the horse's foot.,"With your right hand on the handlebar and your left hand on the seat (opposite if it feels more comfortable), lift your leg over the crossbar and mount your bike.",Run a practice stitch.,Brace and align your torso.,2,Order a Drink at a Bar,Recognize a jumping spider.,Tip your bartender if appropriate.,"Remember the A, B, C, D, E's.",Recognize a pachinko machine.,1,Do a Rond De Jambe in Ballet,Arrive before classes start.,Begin with your feet in First Position.,Start out with the right expectations.,Push the ball up.,1,Apply for a Disney College Program,Complete the initial application.,Post a photo to Facebook.,Explore all the over options you have like Accessories or Avatars!,Start changing your appearance!,0,Do a Breath Control Exercise for Rapping,Use your front wheel handle brake.,Exhale as you return to the starting position.,Juggle four balls in a five ball cascade pattern.,Advance clockwise to the correct time.,1,Care for a Camel,Do your best at everything.,Set up regular veterinary visits.,Stay at least 25 yd (23 m) away from the deer at all times.,Get the slumber party set up on the day of the event.,1,Prevent a House Fire,Be careful using a grill on a deck.,"Go back to your town when you have caught as many fish and/or bugs as your Deposit Box will allow, go back to your town.",Learn as much as possible about the placement process from your placement coordinator.,Check out with 100% confidence that you will not carry bed bugs to home even you have lived in an infested hotel room and received bed bug bites.,0,Prepare for Botox Side Effects,Add a cup of vinegar during the rinse cycle.,Avoid doing strenuous exercise.,Walk in place while doing stationary tasks.,Beat slumps with cold water or air.,1,Clean a Cartridge Type Swimming Pool Filter,Protecting your own pets.,Cover the tie with the pressing cloth.,Mix a solution of muriatic acid and water.,"Spray your finished paint on the bat, using good technique for good results.",2,Thread a Brother Ls 2125i Sewing Machine,Fill a large bucket halfway with joint compound.,Sit the bobbin on the bobbin winding shaft.,Remove the grease with aloe vera gel if you have some in your cabinet.,Add the green food coloring and continue mixing.,1,Build Wooden Toys,Place a nail where the lines intersect and hook your tape measure to it.,Carve the title of the book.,"To make the pattern, cut three 11-x 3.5″ pieces from your printer paper.",Cut your plywood in the shape of your desired pad.,1,Dance Toluthin Antenna,Create the right side and left side sections.,Fold the triangle in half.,"Hop on your left foot, bringing your right foot forward.",Pull the right corner towards the center crease.,2,Calculate COGS,Play with your hair.,Press the recordings button to list old recordings you have made.,"You should also try to record what you have sold, what profit you have made and so on.",Sort your inventory purchases by the most recent purchases.,3,1
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Play Beer Die,Remove the shells from the water using a slotted spoon.,Lay 2 fabric pants pieces so the right sides face together.,Make 2 rows of chairs with the backs facing each other.,"Place the table in a large, spacious room or area.",3,"Make a ""Perfect"" Poof",Find a flat section of lawn.,Complete the dog’s body.,Understand the structure of the toilet.,Tease the back section.,3,Flirt With a Girl Online,Avoid complaining when possible.,Speak in your normal tone of voice.,Appreciate silence instead of talking to fill it.,Work in a co-working space.,0,Get over Somebody in 30 Days,Don't try to turn the conversation instantly positive.,Don't try to say you know exactly how she feels.,Take responsibility for the situation.,"Be, feel and act attractive",3,Take Care of an Aquatic Frog,Monitor the pups' weights.,Breed mature geese if you want to handpick your stock.,Fill the tank with conditioned water.,Be very careful when handling your katydid.,2,Cut Health Costs,Smooth out calluses and rough skin.,Maintain the same rules and boundaries at both parents' homes.,Look into other insurance plans.,Soothe your dog after the seizure.,2,Help Stop Cruelty Towards Animals,Cook a special Earth Day meal.,Have a background free of felony convictions and driving-related offenses.,Look for the Leaping Bunny.,"Practice “Power Moves.” Beyoncé’s trainer, Marco Borges, incorporates Power Moves into her workout to maximize its effectiveness.",2,Start Creating Music,Buy acid-free poster backing for your frame.,Let the ink or paint dry before using the glassware.,Structure your song with verses and choruses to make it more memorable.,Make a storyboard to supplement your script.,2,Create a Tinkerbell Inspired Makeup Look,"Type your title or contact information under your signature, if desired.",Get some ¾ to 1-inch (1.91 to 2.54-centimeter) earring hoops or earring wires.,Apply mascara to eyelashes and apply fake eyelashes if desired.,Obtain your Georgia marriage license from a local county probate court.,2,Survive High School Without a Best Friend,Decide whether you want a traditional IRA or a Roth IRA.,Spend time volunteering and focus on the needs of others.,Make your own learning materials.,Attend local festivals or events.,1,Ease Round Ligament Pain,Pull the slim jim upwards slowly until the door unlocks,Pick your wedding colors,Purchase your property,Strap a belly band around your stomach to hold some of its weight,3,Make a Military Care Package,"Pat the potato dry with a paper towel, then move onto the next one.",Clear the area of any furniture or obstructions.,Scroll over on the right menu from “Weapons” to “Other.” Everything that you have that is available to give as a gift appears with the word “Gift” under it.,Tape the box up really well after you are done.,3,Capture Leads on Slideshare,"Offer something specific, such as a free trial.","Provide all true information into your information boxes when creating your account, and make sure to put 'rebellious nature' as one of your personality aspects.",Use the second paragraph to personalize the note with interview details.,Write the last number of the cow's year of birth on the tag.,0,Manage a Nerf Team,Give the letters a fun story.,Try playing Capture the Flag.,Be aware that the eyes will drift toward color on black outfits.,Clean your strings after playing your guitar.,1,Wear Faux Fur,Keep your eyebrows looking nice.,Pair classic leather dress shoes and dark socks with pants.,Compliment the color of your coat.,Lie down flat on your stomach on soft ground.,2,11
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Have a Great Beach Holiday,"Go do something else, like take a shower or eat some breakfast while you wait.",Pretend you can no longer hear them and hang up.,Have the kids brush their teeth and put their pajamas on.,"Once you get there, settle in, unpack and have a rest or walk around.",3,Be a Nerd,Decide which friends to invite.,Schedule time with your parents.,Sign up to a penpal website.,Pay attention in school.,3,Be a Nude Art Model,Take seconds only if you're really still hungry.,Be prepared to hold each pose for a specified amount of time.,Remove your false eyelashes.,Grasp your hands behind you.,1,Get Started in Rubber Stamping,Make the stamp part of a larger design.,"Take a hair cutting of each family member and put them into labelled envelopes, if you have the ability.",Select songs across a wide range of styles and genres.,Choose one to two complimentary colors.,0,Make a Fruit Smoothie,Know that the length of each row will vary.,Measure and cut the string.,Stack and cut the tortillas.,Combine the ingredients in the blender.,3,Install Vinyl Replacement Windows,Measure the inside length and width to determine the size of the bottom of the box.,"Add sides (an apron), if you like.",Fill empty weight cavities with fiberglass insulation.,Measure out fold marks for your rectangle.,2,Spot a Fake Social Security Card,Draw a number line.,Write one equation above the other.,Read and re-read the problem.,Check the number itself.,3,Build a Show Jumping Gymnastic Exercise,Make the necessary bends: It is now time to make bends that you had marked on the pipe in the previous step.,Place the second cavaletti 3 metres (9.8 feet) in front of the first.,Use a pencil to make marks on the wall where you have set each adjustable marker.,Below the mountains draw a sea.,1,Put Words Into Action,Establish a timeline,"Define your eyebrows with soft, brushing stokes to create an equally elegant and smooth brow",Choose your swimwear wisely,Contact 211 for emergency and disaster information,0,Wear an Ear Warmer,Pull your headband up.,Avoid clothing with loose buttons.,Apply a gentle oil-free moisturizer to your face after washing it.,Choose fabrics that won't cling to your body.,0,Learn Rock 'n' Roll Lifts,Initiate stretch using toggle valve,Start a normal braid for two stitches.,Use your knees as a brace.,Begin the order in Instacart.,2,Ride a Steer,Keep the other cattle in line.,Isolate the healing rabbit.,Don't hit the cap against the counter.,Wrap a length of wool tightly around it.,0,Become a Ballroom Dancer,Do some online research to see which styles you might want to learn.,Research the math skills you need to be at the top of the class and try to go past your grade level.,Undergo a screening process and blood test.,Make a list of all of your strengths to find what you excel at.,0,Get Rid of Deer,Apply an egg spray to make plants smell unappealing.,Put away candles in jars and tumblers as-is.,Cover up your dark circles with concealer.,Be daffy as Laffy Taffy!,0,Buy an Abandoned House,Ask smaller companies if they have work shadowing programs.,Ask the company how long they have been in business.,Visit the county executive's office.,Understand that government offices have different names around the globe.,2,9
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Choose a Homeschool Curriculum,Check out and appreciate art made by Black artists from all eras of art history.,Take time to read information posted at each exhibit to learn more about the animal you are looking at.,Read online reviews of programs that interest you.,Pick out other grain crops by their heads.,2,Decorate Golf Balls,Use grinding motions for especially hard paint.,Set up your workspace.,Find a glass piece to paint.,Add tape to the door frames so you can paint around them quickly.,1,Arrange a Kitchen Without Cabinets,Hang a pegboard for organized general storage.,Remove the skewers from the water as you assemble your kebabs.,"Making your own preserves and pickles is satisfying, cheap, and makes a good reliable backup as many off-the-shelf products are full of additives and chemical preservatives.",Bake more than one thing at a time.,0,Convert Binary to Hexadecimal,"Change any number above ""9"" into a letter.",Explore if any theories are bullet proof.,Use recessed lighting to light a general area.,"Evenly strum the guitar to the beat, hitting just one strum per beat.",0,Track Developmental Milestones for Older Children,Get to the host city early in the week to attend as many events as you can.,Have them kick their legs out as their hands meet.,See them lose their first tooth.,"When someone answers the door, tell them who you are and what you're selling.",2,Build a Settlement in Brunelleschi: Age of Architects,Feed your danios high-quality live food.,Go to your Fields District.,Make a ride reservation.,Participate in fan community events.,1,Carry a Toddler,Hold the reciprocating saw firmly with both hands.,Divide the hair into three equal parts.,Try on a few slings before purchasing one that is safe and comfortable.,Pull the string across your body and hold both the string and centered folds with that same arm.,2,Leave a Job,"Learn to block, grapple, dodge and trap.",Repeat the process 1-2 more times if your shoes aren’t light enough.,Give plenty of notice.,Take “gentle” yoga or chair yoga classes to stay at a light activity level.,2,Put Words Into Action,Establish a timeline,"Define your eyebrows with soft, brushing stokes to create an equally elegant and smooth brow",Choose your swimwear wisely,Contact 211 for emergency and disaster information,0,Teach Close Reading,Provide a system for annotation.,Ensure that you can afford the fees.,Come up with a few anecdotes.,Know the local customs and etiquette.,0,Write a Statement of Work (SOW),Limit the release to 500 words.,Include the definition number for words with multiple entries.,Determine the up/down shift.,"Add Location, if possible.",3,Create a Streaming Audio Server Using Broadwave,Once you are happy with the position of you logo / logos you are ready to print your artwork.,"Know that in the actual SAP MM certification exam, they don’t ask the configuration.",Continue this until all poles are up.,"Now you are ready to start your live, or recorded, broadcasts.",3,Be Confident During a Presentation,Listen with an open mind.,Be honest when giving any explanation(s).,Look for behavioral changes or clues.,Move around the space.,3,Get Luminous Pale Skin,Wear high SPF sunscreens.,Make pumpkin ice cream.,Make a bird's nest front door decoration.,Make a rustic stain.,0,Learn Digital Art,Choose your computer and stylus.,Eat a balanced diet.,Burst the bubbles with medication.,Consider spot cryotherapy treatments with liquid nitrogen.,0,9
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Get Around Edinburgh on the Cheap,Swap the drum heads for double-ply mylar heads for heavier types of music.,Walk as much as you are able.,Wait 24 hours before placing anything on the stained surface.,Put on a dust mask and rubber gloves before staining wood.,1,Become an Activist,Distract yourself from bullying.,Set ambitious but realistic goals.,"Cooperate with other campaigns: it helps build your party or PAC, etc.",Evaluate the needs of your organization.,1,Write a Strategic Business Plan,Set a goal to accomplish over the summer.,Start with an executive summary.,Set aside time for your personal priorities.,Step away when necessary.,1,Prepare Rough Sawn Timber for Woodworking,Find a reflective surface that produces glare when light is shining on it.,Brush with short strokes.,Joint the other end.,"Check for a smooth, bright color that reflects light like water.",2,Plan a Wedding in Two Weeks and for Under $500,Have your children ask for permission before starting any work in the kitchen.,Wear a long cardigan with a mini skirt.,Bring a first aid kit.,"Obtain rings, if you choose to wear them.",3,Be a Brony,Hang shelves in your room and display your favorite items.,"When it's time to pack up their belongings, involve them by  allowing them to place their stuff in the box.",Cut your food costs.,Read and watch fan-made content.,3,Survive a Sexless Marriage,"Practice saying “no.” Some commitments are not worth your time or energy, and if you’re going to get through graduate school with a family, you’re going to have to learn when to say “no.” The particulars will vary depending on your particular situation, but in general:",Try to have a stimulating conversation every day.,Try to set aside time every day to practice.,Don't judge ideas while brainstorming.,1,Wear a Saree As a Dress,Roll the moss ball into a spherical shape with your palms.,Place your fingers where the dots on the chart indicate.,Lift up the corners.,Place your hook through the loop.,2,Lose Your Accent,Watch television and listen to the radio.,Know that getting a captive born snake from a a reputable breeder is best.,Watch YouTube videos without ads.,Post a reaction or comment to the Prime Minister on Facebook.,0,Avoid Falling off a Horse,Work on your ⁄4 and ⁄2 mile (0.4 and 0.8 km).,Use both clean parts and distorted riffs in your song.,"If you've got any ""revenge plans"", stop right there.","If you've lost a stirrup, don't lean over.",3,Bleach and Fray Shorts,Decide where you want to put the hole.,"Make 2 parallel slices down the middle of the strip, but don't cut the very ends.",Dry the stump gently but completely.,"Also, lighten the bottom, as seen in the screenshot.",0,Find a Property Appraiser,Make sure you are physically conditioned to compete in the level of race you are registered for.,Check to see if your employees need a private patrol operator's license.,Pay for medical care.,Make sure they are licensed or certified.,3,Be an English Gentleman,Spend time with children.,Gather clues by having the person share memories about their birthday.,Take the embarrassment out of situations.,Decide what food to serve.,2,Have a Good Stage Presence,Get out of your comfort zone.,Check website study guides.,Be direct when laying out boundaries.,"Choose appropriate pillows, mattress, and sheets.",0,Help a Preschooler with Separation Anxiety,Explore a new or old hobby that you haven’t had time for,Place the lid on the slow cooker and cook,Tell your child what preschool is like,Draft an answer,2,15
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Differentiate Between Love and Friendship,Schedule regular “friend dates” so you can connect.,Text him something that will leave him wanting more.,Compare this relationship to others.,Ask him to do something specific.,2,Do a Speed Stack Cycle,By caulking all the tight seams first you could find that this has caused the wider ones to close up.,Now carefully remove the case from the led grow panel.,"Preshrink trims, ribbons or zippers if necessary.","Take two cups off the top of the pile, one in each hand and place them each side of the pile.",3,Upgrade Kitchen Cabinets,Use a heating pad or hair dryer to heat a frozen pipe directly.,"Opt for walnut oil for a dark, protective finish.",Apply a thin layer of honing oil to the stone.,Fill any holes or dings with spackle.,3,Communicate With Deaf People,Use gestures and visual cues.,"Carefully toss the can in an obvious place on the sidewalk along a well-traveled route for underage partygoers (""Party Trains"").",Spend time with your friend.,Arrive early to avoid entering the theater after the movie has started.,0,Host a Horse Riding Party,Find the online form.,Add all of the needed details to the invitation.,Complete a character declaration for each person on the application.,Thank the person for what they did or gave specifically.,1,Start Waist Training,"Protect your feet with thick, long socks.",Let the glue remover sit for 3 minutes so it can break down the glue.,Don’t tighten too much too fast.,Take plenty of pictures of the easy chair.,2,Be a New Mom,Get out and do things.,Help out with their other kids.,Ensure that you have support from a family member.,Back away slowly and carefully from the coyote.,2,Get Rid of Deer,Squirt a small amount of oil into a bath to help moisturize your skin.,Rinse with apple cider vinegar if you want to gently lighten your hair.,Apply an egg spray to make plants smell unappealing.,Use a moisturizer containing niacinamide twice a day.,2,Paint a Staircase,Pay attention to slight differences in style.,Decide what you want to feature.,Glue papier mâché over each glove.,Tape off areas around the stairs.,3,Resume a Friendship With a Long Lost Friend,Know that every relationship—and timeframe—is different.,Bring your own appliances and electronics.,Give them time to process.,Make sure you trust the company.,2,Wake up Quickly,Be honest about the highs and the lows.,Prepare your sound effects.,Be there when a friend's having problems.,Let natural light in.,3,Cite a Research Paper,Make sure the lease clearly describes the maintenance responsibilities,"Use ""I""-statements if necessary",Use two asterisks to make an indented bullet point,List the title of the research paper,3,See the Milky Way,Avoid getting too close to the fox.,Immediately ask the officer to call a medic and take care of any injuries you might have sustained.,Avoid coming alongside another boat.,Let your eyes adapt for 20 minutes.,3,Work With Visually Impaired Children,Use small rewards to build momentum.,Share the safest route.,Differentiate between the penis and the umbilical cord.,Talk using an expressive voice.,3,Laminate Paper,Buy self-adhesive laminating sheets.,"Wrap the napkin into a tight roll, starting from the bottom edge.",Start with a clean necktie.,Rotate the focus knob/coarse adjustment knob until the objective lens hovers over the slide.,0,12
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Build a Cornhole Game,Put the design in the exact center of the circle that you have cut out.,"Drill a hole right on the inside of the circle you have just made, up against the pencil circle.","Drill a pilot hole inside the circle for your saw blade, if necessary.",Pour the feed out and cut around the line you have drawn.,1,Cosplay as a Dog,Change your hands and feet into paws.,Attach family photos to a lampshade to display them.,Provide healthy kabobs when grilling.,Change your attic into a meditation room or quiet space.,0,Take Care of a Wild Bird,Add toys and obstacles to the cage to make the guinea pig active.,Make the furniture hard for your dog to access.,Spray catnip in new environments to make your cat feel more comfortable.,Call a rehabilitation center immediately.,3,Be the Best,The next thing is drive - keep your feet moving and your legs pumping.,Choose something you're in love with.,Be judicious when giving out personal information.,Stay focused on what you’re doing at all times to prevent injury.,1,Play Golf,Try a Par 3 course when you’re starting out.,Cut out a 1 inch (2.5 cm)-long coin slot with a box cutter.,Determine the position of the two fasteners with a block of wood.,Try a stickpin if you’re starting out with lapel pins.,0,Drive Long Distances Alone,Load the car with emergency car supplies.,"When you first arrive, its very hard to feel at home.","Learn that when you feel insecure, hold the cloth a little more until you feel confident.",Save important and difficult tasks for times when you feel energized.,0,Hang a Quilt,Pin each detangled section into a loose twist.,Pick a spacious area.,Try the memory palace technique.,Give it a rest.,1,Buy Sunglasses for Toddlers,Get a crochet headband that looks nice with your tulle.,Find a magnet that fits your object.,Look for glasses with polycarbonate lenses.,"Press the cardstock against the fabric, then trim the excess fabric away.",2,Write a Manuscript in ASA Format,Perform a waste audit.,Include the abstract after the title page.,Explain how to develop daily and weekly schedules.,Become a money person.,1,Assume a Mortgage,Find proof of your citizenship.,Choose someone to receive the rest of your estate.,Check the variety of investment funds.,Check whether you can obtain funds.,3,Be Popular Without Being Rude,Your complexion is another important part of maintaining your hygiene.,Do a facial wrap.,Drink lots of liquids.,Try a moisturizer in the morning.,0,Join the Knights of Columbus,Determine if you qualify.,See if you qualify for an exemption.,See if you qualify.,Get a family discount.,0,Help a Preschooler with Separation Anxiety,Explore a new or old hobby that you haven’t had time for,Place the lid on the slow cooker and cook,Tell your child what preschool is like,Draft an answer,2,Pick the Perfect Pair of Snow Boots,Create an account with one or more trading websites.,Decide how secure you want them on your feet.,Pay attention to the changes in your child's body and smells.,Keep buying grandmas and cursors until you produce at least 10 cookies per second.,1,Become a Well‐Rounded Person,Travel as often as possible.,Try websites where you can read comics.,"Speak as native speakers usually are doing, using idioms and linguistic shortcuts, instead of imitating a textbook, which is often excessively formal and repetitive.",Recognize points of view.,0,13
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Make a Brooch,Purchase felting wool in a variety of colors.,Sew the side seams of the skirt using a straight stitch.,Don't mind the ruffles.,Sand new pieces of wood to prepare it for primer.,0,Become a Better Photographer with GuruShots,Visit the Steam website.,Click on the 'Vote' button and vote for images that you like.,Create an account on MLP Forums.,Call the law firm at (323) 302-4774 to speak to someone over the phone.,1,Do Simple Magic Tricks,Perform a little show.,Remove the extra piece.,Tuck the final fold.,Make the sign of the Cross.,0,Decorate Your Bicycle,Make use of LED string lights.,Request a shorter ‘do.,Use strong adhesive hooks designed for outdoor use.,Vacuum the furniture's crevices.,0,Write a High School President Speech,Explain how you're different from your opponents without attacking them.,Seek out a ministerial position.,Check for casting notices on agencies’ social media pages.,Bring a form of ID if your state requires it.,0,Raise Goldfish Fry,Make sure to have a filtration system.,Check for a dislocation.,Close the balloon bracelet.,Pick a side and turn counter-clockwise until the cup is removed.,0,Get Rid of an Unwanted Friend,Stay oriented in the present.,Consider whether you really would want to date this person.,Find time to reflect.,Stop calling or texting.,3,Enhance the Kinesthetic Sense Through Meditation,Close both eyes and continue breathing patterns while eyes remain closed and the mind begins to actively imagine,Purchase a pre-paid phone plan,Consider the teacher's prior commitments before asking,Find a vet who does at-home visits,0,Drive a Pontoon Boat,Wash your hands after touching a marine animal.,Maintain equal weight on the bow and the stern.,Turn the controller all the way to the other side.,Rotate the seat toward the legs.,1,Make a Webcomic,Get a web domain.,Choose your calendar style.,Select pictures to share.,Post your articles on your own website or blog.,0,Have a Staycation,"Sit down and make a list of your monthly expenditures, from your utilities to your debts.",Assess your time budget.,Make some walkway sketches to get an idea of the design you like before doing anything else.,"As you go over the test, make a list of the major topics.",1,Storm Chase,Have Multiple options for contact.,Hide your wallet in a hidden or secret pocket if you have one.,Always have a full tank of gas.,Get a custom knife block if you have uncommonly-sized knives.,2,Flash a Chimney,Cut the fishing line.,Cut the base flashing.,Create separate accounts for bills and for discretionary funds.,Cut off the straight ends.,1,Write a Behavior Support Plan,Be available to your teen.,Prepare to observe and document.,Ask your partner about their dreams.,"Notice the different types of thoughts in your mind, many of them painful.",1,Deter Coyotes,Pick an appropriate time to run.,Build a deterrent fence.,Drink water before and after you run.,Find chests hidden throughout the map.,1,8
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Seduce a Scorpio,Compliment them genuinely and kindly.,Refrain from digging into her past.,Keep the poster well hidden until you are ready to deliver the happy news.,"Ask her if she's happy, don't ask her if she's cheating.",1,Use Baking Soda,Boost your laundry detergent.,Whisk in the chocolate.,Buy a dress made out of natural fibers.,Leave in both twists overnight.,0,Get Rid of Wasps in Your House,Remove the bottle cap and cut through the bottle a third of the way down.,Slide the tube off the cardstock.,Cut off the back cover of the book.,Take the jar out of the water and peel the label off.,0,Cite a Research Paper,Make sure the lease clearly describes the maintenance responsibilities,"Use ""I""-statements if necessary",Use two asterisks to make an indented bullet point,List the title of the research paper,3,Plan a Trip to Brazil,Keep documentation of your extension with your card and passport.,Buy tickets to the Galapagos from Quito or Guayaquil.,Find a place to stay as soon as you have your flight booked.,Make sure your passport is up to date and you have a visa that will allow you to move to a country.,2,Write a Literary Commentary,Teach in small groups.,Study the tone and mood.,Consider how people will pronounce your name.,Edit your own work.,1,Diagnose Hypothyroidism in Golden Retrievers,Tell your vet if your dog is on any medications.,Take your cockatoo to the vet right away.,Consider if you used in vitro fertilization (IVF) to conceive.,Let a jeweler examine your jade to determine if it’s real.,0,Develop Financial Literacy,Don't have multiple goals at once.,Learn how to assess the value of goods.,Reflect on your friendships to determine their positive and negative qualities.,Learn the difference between good debt and bad debt.,3,Make Soursop Juice,Set up your workstation near the kitchen sink.,Add other flavoring ingredients as desired.,"Now take some sugar, salt or filter beads and pour them in the jar.",Only tint removes tint!,1,Start a Donut Shop,Collect evidence to make your complaint.,Arrive at the location for the hearing.,Write a market analysis.,Fill out a summons.,2,Use Amazon to Send a Sample of a Book to a Kindle 2,Keep the air moist.,Block time to respond to messages.,Turn off the lights for at least 8 hours per day.,Turn on your device temporarily.,3,Brush Teeth Without Toothpaste,Pick your daily moisturizer.,Crush glass into a fine powder.,Try a basic recipe.,Give your rabbit the treat!,2,Get Good Grades in AP Courses,Lean on family and friends for perspective and advice.,Reconnect with your child as they start to calm down.,Make the most of your studying.,Try to avoid situations where drugs and alcohol might be present.,2,Make the Most of an Extended Trip to Cedar Point,"Wear a dress shirt, tie, and pair of slacks for a more masculine outfit.","Keep pets indoors, or away from your chickens.",Avoid bringing valuables with.,Avoid bringing food with you in the park.,3,Write Poetry for Beginners,Decide on a theme for your poem.,Research different kinds of homeowner’s insurance before buying a house.,Opt for a bench if you’d like to serve multiple people.,Begin your application by choosing a business type.,0,4
"Infer actions to accomplish a goal (5 min, $10/hr)","Given a goal and some human actions, rate how likely each action helps accomplish the goal.","data collection, rate, choose, human, action, activity",Paint a Cat Hiding Among Pumpkins,Notice whether it’s pointed or blunt.,Put lines around the rectangles for moldings.,Add water and stir the mortar.,Get a pair of bamboo needles.,1,Add Accounts in Visual Budget,Determine how much of your travel expenses are deductible.,Type in the information that you need.,Categorize the property as a long-term asset.,Look at the extended repayment plan if you need lower payments.,1,Have a Good Day,Allow the polish to dry for a few minutes.,Take a lunch break.,Wash your face before you go to bed each night.,Sleep for at least 7-8 hours each night.,1,Cure Cast Iron,Free-write about your character for 10-15 minutes to get started.,Pound in two stakes about 1 ft (30.5 cm) from the ends of the form positions.,Cover the cookware with a lid.,Make sure your 8-15 cards are all upright.,2,Assess Heat Illness,Monitor your baby's fluid intake and number of wet diapers.,Monitor your dog's daily activity.,Give the child extra love and attention.,Offer the person water.,3,Raise Money on AngelList,Choose a semi-broad location.,Make plans to improve the working environment.,Assemble the crib properly.,Consider not having children just yet.,0,Cut Chains,Saw through one link.,Press the metal tips of the test probes together.,Insert the new bearings into each side of the wheel.,Coat the decal with vinegar.,0,Stop Being Fatalistic,Take responsibility for failure.,Be aware of your surroundings.,Begin siphoning the wine.,Listen to your child without judgment.,0,Make a Home Video,Get the spinal board or sheet / tarp ready.,Understand what bad debt is.,Process a bank-to-bank wire transfer.,"Revise the script again, and then work on the memorization.",3,Respond to a Road Raged Driver,Establish how much exercise your large dog needs.,Do not embellish circumstances.,Jump off only if necessary.,Let your cat win.,1,Celebrate Children's Day in Preschool,Serve fruits and vegetables.,Balance your cargo carefully as you maneuver the dolly.,Schedule your activities ahead of time.,Style a blouse with a matching skirt for a sophisticated look.,2,Have an Inexpensive Wedding,Tell them to drop off their dishes.,Get married during the week.,Avoid serving bready sides.,Supply snacks as a palate-cleanser.,1,Be a Hard Worker,Try not to argue.,Try not to react violently.,Keep a positive tone of voice.,Re-frame problems as lessons.,3,Enhance the Kinesthetic Sense Through Meditation,Close both eyes and continue breathing patterns while eyes remain closed and the mind begins to actively imagine,Purchase a pre-paid phone plan,Consider the teacher's prior commitments before asking,Find a vet who does at-home visits,0,Wear a Pocket Square,Try out color combinations.,Make your pet the whole picture.,Move on to solid colors.,Ensure that you'll have privacy while you're taking your erotic photos.,2,14
