Title,Description,Keywords,input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sys26,sysid21,sysid22,sysid23,sysid24,sysid25,sysid26,sentid2,Answer.coherence11,Answer.coherence12,Answer.coherence13,Answer.coherence14,Answer.coherence15,Answer.coherence21,Answer.coherence22,Answer.coherence23,Answer.coherence24,Answer.coherence25,Answer.coherence26,Answer.grammar11,Answer.grammar12,Answer.grammar13,Answer.grammar14,Answer.grammar15,Answer.grammar21,Answer.grammar22,Answer.grammar23,Answer.grammar24,Answer.grammar25,Answer.grammar26,Answer.interesting11,Answer.interesting12,Answer.interesting13,Answer.interesting14,Answer.interesting15,Answer.interesting21,Answer.interesting22,Answer.interesting23,Answer.interesting24,Answer.interesting25,Answer.interesting26
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Your men knew the risks.,Nice to see you again.,But you are a. sort of a.,I've been trying to get them to do it for me.,I don't know anything.,What do you mean?,clustered/iterative_beam_search_bs5_ibs100.json_5,original10/random_sampling_temp0.7.json_7,original100/diverse_beam_search_bs100_dbs0.8.json_7,clustered/random_sampling_temp1.0_top100.json_3,original100/standard_beam_search_bs100_npad0.3.json_1,3,Make a right. you can't miss it.,What do you want?,I'll take care of it.,I'm making my turn. i see the school up ahead.,You're not going to do it?!,Don't you see?,What's the matter?,original100/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_5,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_4,original10/iterative_beam_search_bs5_ibs10.json_5,original100/clustering_beam_search_bs100_cbs5.json_2,89,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Your men knew the risks.,Nice to see you again.,But you are a. sort of a.,I've been trying to get them to do it for me.,I don't know anything.,What do you mean?,clustered/iterative_beam_search_bs5_ibs100.json_5,original10/random_sampling_temp0.7.json_7,original100/diverse_beam_search_bs100_dbs0.8.json_7,clustered/random_sampling_temp1.0_top100.json_3,original100/standard_beam_search_bs100_npad0.3.json_1,3,Make a right. you can't miss it.,What do you want?,I'll take care of it.,I'm making my turn. i see the school up ahead.,You're not going to do it?!,Don't you see?,What's the matter?,original100/clustering_beam_search_bs100_cbs5.json_4,clustered/clustering_beam_search_bs100_cbs5.json_5,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_4,original10/iterative_beam_search_bs5_ibs10.json_5,original100/clustering_beam_search_bs100_cbs5.json_2,89,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",I've lost interest.,I don't know what to say.,I've been working on it twice.,I've been working on it for a long time.,I've been thinking.,What's wrong with you?,original100/random_sampling_temp0.7.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_0,clustered/clustering_beam_search_bs100_cbs5.json_9,original100/random_sampling_temp1.0_top100.json_8,47,That's right; convict without trial... habeas corpus.,What are you talking about?,One day we were a couple.,I've got those papers to help us.,What's the matter?,Every morning.,You're not going to tell me that.,original100/standard_beam_search_bs100.json_1,original10/random_sampling_temp1.0.json_0,original10/random_sampling_temp1.0.json_1,original10/clustering_beam_search_bs10_cbs5.json_3,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_6,85,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",I've lost interest.,I don't know what to say.,I've been working on it twice.,I've been working on it for a long time.,I've been thinking.,What's wrong with you?,original100/random_sampling_temp0.7.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_0,clustered/clustering_beam_search_bs100_cbs5.json_9,original100/random_sampling_temp1.0_top100.json_8,47,That's right; convict without trial... habeas corpus.,What are you talking about?,One day we were a couple.,I've got those papers to help us.,What's the matter?,Every morning.,You're not going to tell me that.,original100/standard_beam_search_bs100.json_1,original10/random_sampling_temp1.0.json_0,original10/random_sampling_temp1.0.json_1,original10/clustering_beam_search_bs10_cbs5.json_3,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_6,85,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",I've lost interest.,I don't know what to say.,I've been working on it twice.,I've been working on it for a long time.,I've been thinking.,What's wrong with you?,original100/random_sampling_temp0.7.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_6,original100/diverse_beam_search_bs100_dbs0.8.json_0,clustered/clustering_beam_search_bs100_cbs5.json_9,original100/random_sampling_temp1.0_top100.json_8,47,That's right; convict without trial... habeas corpus.,What are you talking about?,One day we were a couple.,I've got those papers to help us.,What's the matter?,Every morning.,You're not going to tell me that.,original100/standard_beam_search_bs100.json_1,original10/random_sampling_temp1.0.json_0,original10/random_sampling_temp1.0.json_1,original10/clustering_beam_search_bs10_cbs5.json_3,CONTROL,original100/diverse_beam_search_bs100_dbs0.8.json_6,85,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Are you frightened?,What's wrong with him?,I can't believe it.,I don't know what to do.,I'm not going to hurt you for that matter of fact.,I'll take care of it.,original10/random_sampling_temp0.7.json_0,original10/standard_beam_search_bs10_npad0.3.json_6,original10/clustering_beam_search_bs10_cbs5.json_5,original100/diverse_beam_search_bs100_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_5,22,Yes... ..we do ask for... .30 to 60 days....,I was afraid of the.,What do you want me to do?,I don't know why i'm here.,That's all i know.,I consider this you have the knack to be at the crossroads of 60.,I think you have a call?,clustered/random_sampling_temp1.0_top100.json_8,original100/random_sampling_temp1.0.json_2,original10/standard_beam_search_bs10_npad0.3.json_5,clustered/random_sampling_temp1.0_top100.json_4,original10/random_sampling_temp0.7.json_9,CONTROL,77,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Are you frightened?,What's wrong with him?,I can't believe it.,I don't know what to do.,I'm not going to hurt you for that matter of fact.,I'll take care of it.,original10/random_sampling_temp0.7.json_0,original10/standard_beam_search_bs10_npad0.3.json_6,original10/clustering_beam_search_bs10_cbs5.json_5,original100/diverse_beam_search_bs100_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_5,22,Yes... ..we do ask for... .30 to 60 days....,I was afraid of the.,What do you want me to do?,I don't know why i'm here.,That's all i know.,I consider this you have the knack to be at the crossroads of 60.,I think you have a call?,clustered/random_sampling_temp1.0_top100.json_8,original100/random_sampling_temp1.0.json_2,original10/standard_beam_search_bs10_npad0.3.json_5,clustered/random_sampling_temp1.0_top100.json_4,original10/random_sampling_temp0.7.json_9,CONTROL,77,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Are you frightened?,What's wrong with him?,I can't believe it.,I don't know what to do.,I'm not going to hurt you for that matter of fact.,I'll take care of it.,original10/random_sampling_temp0.7.json_0,original10/standard_beam_search_bs10_npad0.3.json_6,original10/clustering_beam_search_bs10_cbs5.json_5,original100/diverse_beam_search_bs100_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_5,22,Yes... ..we do ask for... .30 to 60 days....,I was afraid of the.,What do you want me to do?,I don't know why i'm here.,That's all i know.,I consider this you have the knack to be at the crossroads of 60.,I think you have a call?,clustered/random_sampling_temp1.0_top100.json_8,original100/random_sampling_temp1.0.json_2,original10/standard_beam_search_bs10_npad0.3.json_5,clustered/random_sampling_temp1.0_top100.json_4,original10/random_sampling_temp0.7.json_9,CONTROL,77,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Do you think they'll walk away?,Why are you lying to them?,They're all dead.,They don't know it.,I think they're going to be very happy if you don't mind.,I'm afraid i can't.,original10/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original100/random_sampling_temp1.0_top100.json_9,original100/diverse_beam_search_bs100_dbs0.8.json_5,original10/random_sampling_temp0.5.json_2,90,Aren't you coming?,What do you see?,I'll catch you up. don't worry; he's expecting you.,You'i i be ready when i say hello.,I'm going to tie this carp up.,What are you doing?,I'll be right back.,original100/random_sampling_temp1.0.json_6,CONTROL,original10/random_sampling_temp1.0.json_4,original10/random_sampling_temp1.0.json_5,original100/standard_beam_search_bs100_npad0.3.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_0,4,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Do you think they'll walk away?,Why are you lying to them?,They're all dead.,They don't know it.,I think they're going to be very happy if you don't mind.,I'm afraid i can't.,original10/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original100/random_sampling_temp1.0_top100.json_9,original100/diverse_beam_search_bs100_dbs0.8.json_5,original10/random_sampling_temp0.5.json_2,90,Aren't you coming?,What do you see?,I'll catch you up. don't worry; he's expecting you.,You'i i be ready when i say hello.,I'm going to tie this carp up.,What are you doing?,I'll be right back.,original100/random_sampling_temp1.0.json_6,CONTROL,original10/random_sampling_temp1.0.json_4,original10/random_sampling_temp1.0.json_5,original100/standard_beam_search_bs100_npad0.3.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_0,4,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Do you think they'll walk away?,Why are you lying to them?,They're all dead.,They don't know it.,I think they're going to be very happy if you don't mind.,I'm afraid i can't.,original10/random_sampling_temp1.0.json_0,clustered/random_sampling_temp1.0_top100.json_1,original100/random_sampling_temp1.0_top100.json_9,original100/diverse_beam_search_bs100_dbs0.8.json_5,original10/random_sampling_temp0.5.json_2,90,Aren't you coming?,What do you see?,I'll catch you up. don't worry; he's expecting you.,You'i i be ready when i say hello.,I'm going to tie this carp up.,What are you doing?,I'll be right back.,original100/random_sampling_temp1.0.json_6,CONTROL,original10/random_sampling_temp1.0.json_4,original10/random_sampling_temp1.0.json_5,original100/standard_beam_search_bs100_npad0.3.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_0,4,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Ssh. i'm on a stakeout.,It's been a long time.,I don't think so.,I don't think so.,I don't know what to do.,That's why i'm here.,original100/random_sampling_temp1.0_top100.json_3,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/clustering_beam_search_bs100_cbs5.json_3,original10/standard_beam_search_bs10_npad0.3.json_4,original100/iterative_beam_search_bs5_ibs100.json_5,67,"It's happened at last, we've become a limited company.",What are you talking about?,What is it limited?,What are you talking about?,I'll look in here again.,How do you know?,What do you mean?,original100/standard_beam_search_bs100.json_1,original100/random_sampling_temp0.7.json_6,clustered/beam_search_bs100_kpercand3.json_1,CONTROL,original100/clustering_beam_search_bs100_cbs5.json_9,original100/clustering_beam_search_bs100_cbs5.json_0,84,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Ssh. i'm on a stakeout.,It's been a long time.,I don't think so.,I don't think so.,I don't know what to do.,That's why i'm here.,original100/random_sampling_temp1.0_top100.json_3,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/clustering_beam_search_bs100_cbs5.json_3,original10/standard_beam_search_bs10_npad0.3.json_4,original100/iterative_beam_search_bs5_ibs100.json_5,67,"It's happened at last, we've become a limited company.",What are you talking about?,What is it limited?,What are you talking about?,I'll look in here again.,How do you know?,What do you mean?,original100/standard_beam_search_bs100.json_1,original100/random_sampling_temp0.7.json_6,clustered/beam_search_bs100_kpercand3.json_1,CONTROL,original100/clustering_beam_search_bs100_cbs5.json_9,original100/clustering_beam_search_bs100_cbs5.json_0,84,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Judge the quality of responses to a prompt,"Given a prompt, your goal is to judge the quality of a set of computer-generated responses.","research, language, sentence judgements, conversation, NLP",Ssh. i'm on a stakeout.,It's been a long time.,I don't think so.,I don't think so.,I don't know what to do.,That's why i'm here.,original100/random_sampling_temp1.0_top100.json_3,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/clustering_beam_search_bs100_cbs5.json_3,original10/standard_beam_search_bs10_npad0.3.json_4,original100/iterative_beam_search_bs5_ibs100.json_5,67,"It's happened at last, we've become a limited company.",What are you talking about?,What is it limited?,What are you talking about?,I'll look in here again.,How do you know?,What do you mean?,original100/standard_beam_search_bs100.json_1,original100/random_sampling_temp0.7.json_6,clustered/beam_search_bs100_kpercand3.json_1,CONTROL,original100/clustering_beam_search_bs100_cbs5.json_9,original100/clustering_beam_search_bs100_cbs5.json_0,84,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes
