Unnamed: 0,Title,Description,Keywords,Answer.location,Answer.nickname,Answer.origin
16,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Italy,??? ?????,In a site
17,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,???,Aunt
18,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,???? ???? ?????,MY MIND
19,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Jordan.,?????,"Nickname for friend ""Dalia""."
20,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",I live in the US currently.,??? ????,It's the nickname of an old friend.
21,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,in a party
22,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,???,my friend name
23,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,???,Collegue
24,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,?????? ???,MY MIND
25,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",I live in the US currently,????,It was a neighbor's nickname. His actual name is/was na'eem
26,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,in my neibourhood
27,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Jordan.,?????,Nickanem for my borhter Khaled.
28,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,on TV
29,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,??? ?????,Friend
30,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,??????,my friend name
31,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,????? ?? ????,MY MIND
32,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Jordan.,?????,"Nickname for relative named ""Abdullah""."
33,Tell us an Arabic nickname (????? ??? ? ??? ? ??? )  written in the Arabic Alphabet,Please write an Arabic nickname in the box,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",I live in the US currently.,????,It's our nickname for a friend in college. His name's Hassaan.
34,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",egypt,????,sousou
35,,,,,,
36,,,,,,
37,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,????,??? ??? ?????
38,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,?????,I came to know through my friend
39,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,????,???? ??? ????? ?? ????
40,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,????,?? ????? ????
41,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???? ?? ???????? ???????,?? ????,??? ??? ????? ??????
42,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,friend name
43,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,???,???? ??? ?? ????? ?? ?????.
44,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????????,?????,???????
45,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,my relative son
46,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,????,???? ?????? ???????
47,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,among family and friends
48,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,????,???? ??? ????? ?? ????
49,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,good friend
50,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Canada,??????,This is the nickname my friend was given.
51,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",alexandria egypt,?????,nikname specilay for alexandrian sailors
52,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,???????,I know a singer of that name
53,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",??????,????,?? ????
54,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india up,ajmal,india
55,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,Saifullah,"It means The sword of lord, this title has been given to Khalid bin Waleed, a Follower of Mohammed"
56,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",The US currently.,????,It's a common nickname in the Near East. It's a friend's nickname.
57,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????????,????,???????
58,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,???,QURAN
59,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????? india,???,"??? ????? , friend name"
60,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",egypt,?????,tottos is my nikname and it is very uniqe and special
61,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,???????,I came to know through my grandfather
62,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,?????,?????? ?? ????????
63,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????????,????,???? ???? ????? ?? ??? ????
64,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",egypt,????,i heared this name in alotof cases  and sitiuations  also i've alot of friends called mido 
65,,,,,,
66,,,,,,
67,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",uk,?????,uk
68,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Lebanon,???,??? Egypt
69,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,???????,???? ??? ????? ?? ????
70,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,my neighbour daughter
71,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,????,?? ?????
72,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,????,arabic cartoon
73,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,???,We use to call ??????as ???
74,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????????,????,???????
75,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",Lebanon,????,Lebanon
76,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,????,?? ????? ???? ????? ???? ??
77,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,????,friend name
78,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",??? ???? ?? ??????? ? ?? ?? ?? ??? ???????,?????????,??? ????? ???????? ????? ???? ???? ???
79,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",India,Zolnorain,"This tittle is given to Third Khalifa of islam, Usman, the follower of Prophet"
80,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???,????,???? ????? ????
81,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",The US currently.,?????,It's the family's nickname for my nephew.
82,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",india,?????,good friend name
83,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,????,?? ??? ??????? ?????
84,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",???????? ??????? ???????,????,?? ???
85,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",INDIA,arif,in my native
86,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",?????,????,???? ??? ????? ?? ????
87,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",morocco,?????,among family and friends
88,???? ????? ????? ?????? ???????.  We are collecting Arabic nicknames,??? ????? ????? ????????? ???????. Please write an Arabic nickname in the box in the Arabic Alphabet,"Arabic, Translation, Transliteration, Linguistic Source, ""Linguistic Source"", name,We are collecting Arabic nicknames  ????? ??? ? ??? ? ??? ,??????? ,???????",????????,????,???? ???? ????? ?? ???????
