Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार : प्राचीन इतिहास,bihar : ancient history,0-0 1-1 2-2 3-3 0-0 1-1 2-2 3-3 0-0 1-1 2-2 3-3,0-0 1-1 2-2 3-3,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",श्रेणी : झाँसी,category : jhansi,0-0 1-1 2-2,0-0 1-1 2-2,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",असमिया,assamese,0-0 0-0 0-0 0-0,0-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तिलका माँझी भागलपुर विश्वविद्यालय भागलपुर,tilka manjhi bhagalpur university &#44; bhagalpur,0-0 1-1 2-2 3-3 4-5,0-0 1-1 2-2 3-3 4-5,,4
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",यह कुतुब मीनार के पार्श्व में आयोजित होता है ।,it is organized in the corridor of qutub minar .,0-0 1-7 2-8 3-6 4-5 5-3 6-2 8-1 9-9,0-0 8-1 6-2 7-2 5-3 3-4 4-5 3-6 1-7 2-8 9-9,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार के पृथक राज्य बनने का इतिहास,the story of carving out a separate state of bihar,0-9 1-8 2-6 3-7 4-3 5-2 6-1,5-0 6-1 5-2 4-3 4-4 4-5 2-6 3-7 1-8 0-9,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",एनसाइक्लोपीडिया ऑफ रिलीजन एंड एथिक्स में ग्रियसन महोदय ने भी उपरोक्त प्रथम बारह ग्रंथों का उल्लेख किया है ।,in encyclopedia of religion end ethics &#44; grayson mahoday mentioned the above first twelve texts .,4-5 6-7 11-12 12-13 18-15,0-0 0-1 1-2 2-3 3-4 3-5 4-5 6-7 7-7 6-8 8-8 9-8 10-8 6-9 14-10 10-11 11-12 12-13 13-14 18-15,5 15 16 17,6
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",सतसई,satsai,0-0 0-0,0-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",१९९० के बाद से दिल्ली विदेशी निवशेकों का पसंदीदा स्थान बना है ।,delhi has become the favorite place for the foreign investors since 1990 .,4-0 5-8 6-9 12-12,4-0 5-1 6-2 7-3 8-4 9-5 1-6 5-8 6-9 6-10 6-11 12-12,0 2 3 10 11,7
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",श्रेणी : एशिया के महानगर,sreni : biggest cities of asia,0-0 1-1 2-5 3-4,0-0 1-1 4-2 4-3 3-4 2-5,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",दक्षिण पश्चिम दिल्ली जिला,south western district &#44; delhi,0-0 1-1 2-4 3-2,0-0 1-1 3-2 2-4,,3
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार के शहर कस्बों तथा गाँवों में फिल्मों की लोकप्रियता बहुत अधिक है ।,bihar &amp;apos;s cities &#44; towns and villege popularity of the movies of too much,0-0 1-1 2-2 3-4 4-5 5-6 7-10 8-8 9-7 10-13,0-0 1-1 2-2 3-4 4-5 5-6 6-6 9-7 8-8 8-9 7-10 8-11 10-13 11-13 12-13 13-13,,3 12
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",एक दिन वे प्रदक्षिणा करने निकले थे ।,one day &#44; he went out to beg .,0-0 1-1 2-3 3-7 7-8,0-0 1-1 2-3 3-4 5-5 4-6 3-7 4-7 5-7 6-7 7-8,,2
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",जलवायु,climate,0-0 0-0 0-0 0-0 0-0 0-0 0-0 0-0 0-0,0-0,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",यमदेव ने अवध्य और नीरोग रहने का आशीर्वाद दिया ।,m dev want the clean livable blessings .,2-5 9-7,2-4 0-5 1-5 2-5 3-5 4-5 5-5 6-5 7-5 8-5 7-6 9-7,,0 1 2 3
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार सरकार का भगवान बुद्ध प ‍ र साइट,government of bihar &amp;apos;s website on lord buddha,0-2 1-0 3-6 4-7 8-4,1-0 2-1 0-2 7-3 8-4 3-6 4-7 5-7 6-7,,5
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",बिहार की राजधानी पटना का ऐतिहासिक नाम पाटलिपुत्र है ।,patliputra is historic name of patna which is capital of bihar .,0-10 1-9 2-8 3-5 4-4 5-2 6-3 7-0 8-1 9-11,7-0 8-1 5-2 6-3 4-4 3-5 2-8 1-9 0-10 9-11,,6 7
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",दिल्ली में यमुना नदी,yamuna river in delhi,0-3 1-2 2-0 3-1 0-3 1-2 2-0 3-1 0-3 1-2 2-0 3-1,2-0 3-1 1-2 0-3,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",चिकित्सा संस्थान,medical institute,0-0 1-1 0-0 1-1 0-0 1-1 0-0 1-1,0-0 1-1,,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इस कारण दिल्ली विश्व का सबसे अधिक वाहनों वाला शहर है ।,because of these reasons &#44; delhi has most vehicles in any city of the world .,0-2 1-3 2-5 3-14 4-12 5-7 7-8 9-11 11-15,0-2 1-3 2-5 10-6 5-7 6-8 7-8 8-8 7-9 7-10 9-11 4-12 3-14 11-15,,0 1 4 13
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हिंदी फिल्मों के संगीत बहुत पसन्द किये जाते हैं ।,the music and songs of hindi films are most liked .,0-5 1-6 2-4 3-1 4-8 5-9 8-7 9-10,2-0 3-1 3-3 2-4 0-5 1-6 8-7 4-8 5-9 6-9 7-9 9-10,,2
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",सोमेश्वर श्रेणी के दक्षिण में तराई क्षेत्र है ।,there is a lowland in the southern part of someshwar range .,0-9 2-8 3-6 4-4 5-3 7-1 8-11,7-1 5-3 6-3 4-4 2-5 3-6 1-7 2-8 0-9 0-10 8-11,,0 2
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उस दिन प्रातःकाल श्रीतुलसीदासजीने श्रीरामचरितमानस की रचना प्रारम्भ की ।,on that day early morning sritulsidasji started the creation of sriramacharithmanas .,0-1 1-2 3-5 6-8 9-11,0-0 0-1 1-2 2-3 2-4 3-5 4-5 3-6 6-8 8-9 7-10 8-10 9-11,5,7
