Title,Description,Keywords,source,target,sureAlignments,possAlignments,sourceHighlights,targetHighlights,Answer.activeTime,Answer.comment,Answer.endTime,Answer.possAlignments,Answer.sourceHighlights,Answer.startTime,Answer.submit,Answer.sureAlignments,Answer.targetHighlights
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएँ,creations of tulsidas .,0-2 1-1,0-0 2-0 1-1 0-2,,3,11597.0,,1395282649202.0,0-2 1-1,unchanged,1395282637605.0,Submit,0-2 1-1 2-0,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएँ,creations of tulsidas .,0-2 1-1,0-0 2-0 1-1 0-2,,3,13696.0,,1395275282657.0,0-2 1-1,unchanged,1395275268961.0,Submit,0-2 1-1 2-0,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",समाज पुरूष प्रधान है और लड़कियों को कड़े नियंत्रण में रखा जाता है ।,community is male dominated and girls are kept under strict control .,0-0 1-2 3-1 4-4 5-5 7-9 8-10 10-7 13-11,0-0 3-1 1-2 2-3 4-4 5-5 11-6 12-6 10-7 11-7 9-8 6-9 7-9 8-10 13-11,,,109095.0,,1395299686854.0,0-0 1-2 2-3 3-1 4-4 5-5 7-9 8-10 10-7 11-7 13-11,6,1395299577759.0,Submit,0-0 1-2 3-1 4-4 5-5 7-9 8-10 9-8 10-7 12-6 13-11,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",समाज पुरूष प्रधान है और लड़कियों को कड़े नियंत्रण में रखा जाता है ।,community is male dominated and girls are kept under strict control .,0-0 1-2 3-1 4-4 5-5 7-9 8-10 10-7 13-11,0-0 3-1 1-2 2-3 4-4 5-5 11-6 12-6 10-7 11-7 9-8 6-9 7-9 8-10 13-11,,,44139.0,,1395387300540.0,0-0 1-2 2-3 3-1 4-4 5-5 7-9 8-10 9-8 10-7 11-7 12-6 13-11,6,1395387256401.0,Submit,0-0 1-2 3-1 4-4 5-5 7-9 8-10 10-7 13-11,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसी सुभाषित - हिन्दी के विकि _ सूक्ति -LRB- विकिकोट् -RRB- पर,tulsi subhashit - hindi sukti -lrb- on sale quote -rrb-,0-0 1-1 2-2 3-3 7-4 8-5 9-8 10-9 11-6,0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-4 8-5 11-6 9-7 9-8 10-9,,,106700.0,,1395306175551.0,0-0 1-1 2-2 3-3 7-4 8-5 9-7 9-8 10-9 11-6,4 6,1395306068851.0,Submit,0-0 1-1 2-2 3-3 5-7 7-4 8-5 9-8 10-9 11-6,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसी सुभाषित - हिन्दी के विकि _ सूक्ति -LRB- विकिकोट् -RRB- पर,tulsi subhashit - hindi sukti -lrb- on sale quote -rrb-,0-0 1-1 2-2 3-3 7-4 8-5 9-8 10-9 11-6,0-0 1-1 2-2 3-3 4-4 5-4 6-4 7-4 8-5 11-6 9-7 9-8 10-9,,,311807.0,,1395303445980.0,0-0 1-1 2-2 3-3 5-7 7-4 8-5 9-7 9-8 10-9 11-6,4 6,1395303134173.0,Submit,0-0 1-1 2-2 3-3 7-4 8-5 9-8 10-9 11-6,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",कुआला लंपूर,kualalmpur,0-0,0-0 1-0,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",कुआला लंपूर,kualalmpur,0-0,0-0 1-0,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएं,compositions of tulsidas,0-2 1-1 2-0,2-0 1-1 0-2,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",तुलसीदास की रचनाएं,compositions of tulsidas,0-2 1-1 2-0,2-0 1-1 0-2,,,,Nicely done by computer,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",गाँधी नगर दिल्ली प्रीत विहार विवेक विहार वसुंधरा एंक्लेव,gandhi nagar &#44; delhi preet vihar &#44; vivek vihar &#44; vasudhara enclave,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-9 7-10 8-11,,2 6,18117.0,,1395308264706.0,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,,1395308246589.0,Submit,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,2 6 9
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",गाँधी नगर दिल्ली प्रीत विहार विवेक विहार वसुंधरा एंक्लेव,gandhi nagar &#44; delhi preet vihar &#44; vivek vihar &#44; vasudhara enclave,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-9 7-10 8-11,,2 6,22137.0,,1395307319732.0,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,,1395307297595.0,Submit,0-0 1-1 2-3 3-4 4-5 5-7 6-8 7-10 8-11,2 6 9
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भारत के अन्य कई जगहों की तरह क्रिकेट यहाँ भी सर्वाधिक लोकप्रिय है ।,like many other parts of india &#44; cricket is the most popular game here too .,0-5 1-4 2-2 3-1 4-3 7-7 8-13 9-14 10-10 11-11 12-8 13-15,4-0 3-1 2-2 4-3 1-4 0-5 7-7 12-8 5-9 10-10 11-11 8-13 9-14 13-15,6,6 12,65239.0,,1395324460249.0,0-5 1-4 2-2 3-1 4-3 5-0 6-0 7-7 8-13 9-14 10-10 11-11 12-8 13-15,,1395324395010.0,Submit,0-5 1-4 2-2 3-1 4-3 7-7 8-13 9-14 10-10 11-11 12-8 13-15,6 9 12
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",भारत के अन्य कई जगहों की तरह क्रिकेट यहाँ भी सर्वाधिक लोकप्रिय है ।,like many other parts of india &#44; cricket is the most popular game here too .,0-5 1-4 2-2 3-1 4-3 7-7 8-13 9-14 10-10 11-11 12-8 13-15,4-0 3-1 2-2 4-3 1-4 0-5 7-7 12-8 5-9 10-10 11-11 8-13 9-14 13-15,6,6 12,28503.0,,1395231451319.0,0-5 1-4 2-2 3-1 4-3 5-9 7-7 8-13 9-14 10-10 11-11 12-8 13-15,,1395231422816.0,Submit,0-5 1-4 2-2 3-1 4-3 6-0 7-7 8-13 9-14 10-10 11-11 12-8 13-15,6 12
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन दिनों प्रयाग में माघ मेला था ।,magh mela in allahabad in those days was,3-2 4-0 5-1 6-7,4-0 5-1 3-2 2-3 3-4 0-5 1-6 6-7,7,,18193.0,,1395306985994.0,2-3 3-2 4-0 5-1 6-7,7,1395306967801.0,Submit,0-5 1-6 3-2 4-0 5-1 6-7,4
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन दिनों प्रयाग में माघ मेला था ।,magh mela in allahabad in those days was,3-2 4-0 5-1 6-7,4-0 5-1 3-2 2-3 3-4 0-5 1-6 6-7,7,,74387.0,,1395314310083.0,0-5 3-2 4-0 5-1 6-7,unchanged,1395314235696.0,Submit,0-4 1-6 2-3 3-2 4-0 5-1 6-7,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इनके परिवार का संगीत से कोई खास सरोकार नहीं था ।,the family was not much concerned with the music .,1-1 3-8 4-6 7-5 8-3 9-2 10-9,0-0 1-1 9-2 8-3 6-4 5-5 6-5 7-5 4-6 2-7 3-8 10-9,,,54367.0,,1395335497094.0,1-1 3-8 4-6 5-4 6-4 7-5 8-3 9-2 10-9,0 2,1395335442727.0,Submit,1-1 3-8 4-6 7-5 8-3 9-2 10-9,0 7
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इनके परिवार का संगीत से कोई खास सरोकार नहीं था ।,the family was not much concerned with the music .,1-1 3-8 4-6 7-5 8-3 9-2 10-9,0-0 1-1 9-2 8-3 6-4 5-5 6-5 7-5 4-6 2-7 3-8 10-9,,,79826.0,,1395314737034.0,0-0 1-1 2-1 3-7 3-8 5-4 7-5 8-3 9-2 10-9,unchanged,1395314657208.0,Submit,1-1 3-8 4-6 6-4 7-5 8-3 9-2 10-9,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संवत् १६२८ में वह हनुमानजी की आज्ञा लेकर अयोध्या की ओर चल पड़े ।,in the year 1627 after taking permission from hanumanji &#44; he went towards agra .,1-3 2-0 4-8 10-12 13-14,2-0 0-2 0-3 1-3 1-4 1-5 1-6 7-7 4-8 5-8 3-10 11-11 9-12 10-12 12-13 13-14,6 8,1 9,143410.0,"There is a mismatch between row and column words at two locations. First the year is 1628 in Hindi and 1627 in English. I have marked it in light grey. Secondly, column shows Ayodhya (9th column) in Hindi while the second last row shows Agra, which are two different places (though they are close two each other). I have marked these rows and columns in pink. Thanks",1395388807385.0,0-1 1-3 2-0 4-8 10-12 12-11 13-14,8,1395388663975.0,Submit,0-2 2-0 3-10 4-8 5-7 6-6 7-4 7-5 9-12 10-12 11-11 13-14,9 13
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",संवत् १६२८ में वह हनुमानजी की आज्ञा लेकर अयोध्या की ओर चल पड़े ।,in the year 1627 after taking permission from hanumanji &#44; he went towards agra .,1-3 2-0 4-8 10-12 13-14,2-0 0-2 0-3 1-3 1-4 1-5 1-6 7-7 4-8 5-8 3-10 11-11 9-12 10-12 12-13 13-14,6 8,1 9,213307.0,,1395323234812.0,0-1 0-2 1-3 2-0 3-10 4-8 5-8 6-6 9-12 10-12 12-11 13-14,8,1395323021505.0,Submit,1-3 2-0 4-8 7-5 10-12 11-11 13-14,9 13
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",परंतु दिन में वे जितने पद्य रचते रात्रि में वे सब लुप्त हो जाते ।,but whatever poems he composed in the day time disappeared in the night .,0-0 1-7 2-5 7-12 8-10 11-9 14-13,0-0 4-1 5-2 3-3 2-5 1-7 9-9 10-9 11-9 12-9 13-9 8-10 7-12 14-13,6,4 6 8 11,177904.0,,1395420575541.0,0-0 1-7 1-8 2-5 7-12 8-10 11-9 14-13,unchanged,1395420397637.0,Submit,0-0 1-7 2-5 3-3 4-1 5-2 6-4 7-12 8-10 11-9 12-9 13-9 14-13,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",परंतु दिन में वे जितने पद्य रचते रात्रि में वे सब लुप्त हो जाते ।,but whatever poems he composed in the day time disappeared in the night .,0-0 1-7 2-5 7-12 8-10 11-9 14-13,0-0 4-1 5-2 3-3 2-5 1-7 9-9 10-9 11-9 12-9 13-9 8-10 7-12 14-13,6,4 6 8 11,64859.0,,1395398830557.0,0-0 1-6 1-7 1-8 2-5 7-11 7-12 8-10 9-2 10-2 11-9 12-9 13-9 14-13,unchanged,1395398765698.0,Submit,0-0 1-7 2-5 3-3 4-1 5-2 6-4 7-12 8-10 11-9 14-13,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",औपचारिक रूप से नई दिल्ली भारत की राजधानी है ।,officially new delhi is capital of india,0-0 3-1 4-2 5-6 6-5 7-4 8-3,0-0 1-0 2-0 3-1 4-2 8-3 7-4 6-5 5-6,9,,15929.0,,1395339587005.0,0-0 3-1 4-2 5-6 6-5 7-4 8-3,unchanged,1395339571076.0,Submit,0-0 1-0 2-0 3-1 4-2 5-6 6-5 7-4 8-3,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",औपचारिक रूप से नई दिल्ली भारत की राजधानी है ।,officially new delhi is capital of india,0-0 3-1 4-2 5-6 6-5 7-4 8-3,0-0 1-0 2-0 3-1 4-2 8-3 7-4 6-5 5-6,9,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",वायु सेवा,air service,0-0 1-1,0-0 1-1,,,,Nicely done by computer,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",वायु सेवा,air service,0-0 1-1,0-0 1-1,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",अक्तूबर-नवंबर में शिशिर काल रहता है जो हल्की ठंड के संग आनंद दायक होता है ।,october-november is early winter period which is pleasant with a little coolness .,0-0 6-5 15-12,0-0 14-1 3-4 6-5 5-6 12-7 10-8 13-9 15-12,1 2 4 7 8 9 11,2 3 10 11,171701.0,,1395427847007.0,0-0 2-3 5-6 6-5 7-10 10-8 12-7 14-1 15-12,1 4 9,1395427675306.0,Submit,0-0 3-4 6-5 8-11 11-7 15-12,2 9
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",अक्तूबर-नवंबर में शिशिर काल रहता है जो हल्की ठंड के संग आनंद दायक होता है ।,october-november is early winter period which is pleasant with a little coolness .,0-0 6-5 15-12,0-0 14-1 3-4 6-5 5-6 12-7 10-8 13-9 15-12,1 2 4 7 8 9 11,2 3 10 11,169560.0,,1395338122870.0,0-0 5-6 6-5 13-6 14-6 15-12,1 4 9 10,1395337953310.0,Submit,0-0 2-3 3-4 6-5 7-10 8-11 11-7 12-7 15-12,2 3
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हनुमान के द्वारा सूर्य को फल समझना,hanuman understood sun as fruit,0-0 3-2 5-4,0-0 3-2 4-3 5-4 6-4,1 2,1,30235.0,,1395298597970.0,0-0 3-2 4-3 5-4,1 2,1395298567735.0,Submit,0-0 3-2 5-4 6-1,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",हनुमान के द्वारा सूर्य को फल समझना,hanuman understood sun as fruit,0-0 3-2 5-4,0-0 3-2 4-3 5-4 6-4,1 2,1,16040.0,,1395294155621.0,0-0 3-2 4-3 5-4 6-4,1 2,1395294139581.0,Submit,0-0 3-2 5-4 6-1,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",मन रे तू काहे ना धीर धरे -LRB- फिल्म -चित्रलेखा 1964 -RRB- शास्त्रीय संगीत,&amp;apos; man re tu kahe na dheer dhare &amp;apos; &#44; -lrb- film-chitralkha &#44; 1964 -rrb- &#44; classical music,2-3 6-7 7-10 9-11 10-13 11-14 12-16 13-17,1-0 0-1 1-2 1-3 2-3 3-3 3-4 3-5 4-5 5-6 6-7 6-8 6-9 7-10 8-11 9-11 9-12 10-13 11-14 12-16 13-17,,15,54510.0,,1395321815233.0,2-3 6-7 7-10 9-11 10-13 11-14 12-16 13-17,,1395321760723.0,Submit,0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-10 8-11 9-11 10-13 11-14 12-16 13-17,0 8 9 12 15
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",मन रे तू काहे ना धीर धरे -LRB- फिल्म -चित्रलेखा 1964 -RRB- शास्त्रीय संगीत,&amp;apos; man re tu kahe na dheer dhare &amp;apos; &#44; -lrb- film-chitralkha &#44; 1964 -rrb- &#44; classical music,2-3 6-7 7-10 9-11 10-13 11-14 12-16 13-17,1-0 0-1 1-2 1-3 2-3 3-3 3-4 3-5 4-5 5-6 6-7 6-8 6-9 7-10 8-11 9-11 9-12 10-13 11-14 12-16 13-17,,15,48036.0,,1395325723813.0,2-3 6-7 7-10 8-11 9-11 9-12 10-13 11-14 12-16 13-17,,1395325675777.0,Submit,0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-10 9-11 10-13 11-14 12-16 13-17,0 8 9 15
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इन्द्रप्रस्थ पांडवों की राजधानी थी ।,indraprasth was the capital of pandavs .,0-0 2-4 3-3 4-1 5-6,0-0 1-0 4-1 2-2 3-3 2-4 1-5 5-6,,,36178.0,,1395267124653.0,0-0 2-4 3-2 3-3 4-1 5-6,unchanged,1395267088475.0,Submit,0-0 1-5 2-4 3-3 4-1 5-6,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",इन्द्रप्रस्थ पांडवों की राजधानी थी ।,indraprasth was the capital of pandavs .,0-0 2-4 3-3 4-1 5-6,0-0 1-0 4-1 2-2 3-3 2-4 1-5 5-6,,,118576.0,,1395275532859.0,0-0 2-4 3-3 4-1,,1395275414283.0,Submit,0-0 1-5 2-4 3-3 4-1 5-6,2
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन्होंने बालक रूप में तुलसीदासजी से कहा-बाबा !,in the form of a child he told tulsidas ji - baba !,0-6 1-5 2-2 3-0 4-8 6-11,3-0 2-2 2-4 1-5 0-6 4-8 6-9 6-10 5-11 6-11 7-11 7-12,,1 3 7,126413.0,,1395294990225.0,0-6 1-5 2-2 3-0 4-8 6-11,5,1395294863812.0,Submit,0-6 1-5 2-2 3-0 4-8 4-9 6-7 6-10 6-11 7-12,1 3 4
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",उन्होंने बालक रूप में तुलसीदासजी से कहा-बाबा !,in the form of a child he told tulsidas ji - baba !,0-6 1-5 2-2 3-0 4-8 6-11,3-0 2-2 2-4 1-5 0-6 4-8 6-9 6-10 5-11 6-11 7-11 7-12,,1 3 7,108530.0,,1395302567456.0,0-6 1-5 2-1 2-2 2-3 2-4 3-0 4-8 5-7 6-11,,1395302458926.0,Submit,0-6 1-5 2-2 3-0 4-8 4-9 6-7 6-11 7-12,10
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",3-खादर क्षेत्र इसका विस्तार गंडक से कोसी नदी के क्षेत्र तक सारे उत्तरी बिहार में है ।,3-khadar region spreads from gandak river to kosi river regions of the northern bihar .,0-0 1-1 4-4 5-3 6-7 7-8 8-10 9-9 12-12 13-13 16-14,0-0 2-0 3-0 1-1 0-2 5-3 4-4 10-6 6-7 7-8 9-9 8-10 11-11 12-12 13-13 15-14 16-14,14,5,123832.0,,1395415813089.0,0-0 1-1 4-4 5-3 6-7 7-8 8-10 9-9 12-12 13-13 16-14,2 11 14 15,1395415689257.0,Submit,0-0 1-1 3-2 4-4 5-3 6-7 7-8 8-10 9-9 10-6 12-12 13-13 16-14,5 11
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",3-खादर क्षेत्र इसका विस्तार गंडक से कोसी नदी के क्षेत्र तक सारे उत्तरी बिहार में है ।,3-khadar region spreads from gandak river to kosi river regions of the northern bihar .,0-0 1-1 4-4 5-3 6-7 7-8 8-10 9-9 12-12 13-13 16-14,0-0 2-0 3-0 1-1 0-2 5-3 4-4 10-6 6-7 7-8 9-9 8-10 11-11 12-12 13-13 15-14 16-14,14,5,115001.0,,1395344876912.0,0-0 1-1 4-4 5-3 6-7 7-8 8-10 9-9 12-11 12-12 13-13 15-2 16-14,11 14,1395344396045.0,Submit,0-0 1-1 3-2 4-4 5-3 6-7 7-5 7-8 8-10 9-9 10-6 12-12 13-13 16-14,
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",ब्राण्ड बिहार : बिहार का प्रतिनिधि पोर्टल,brand bihar : representative portal of bihar,0-0 1-1 2-2 3-6 4-5 5-3 6-4,0-0 1-1 2-2 5-3 6-4 4-5 3-6,,,,,,unchanged,unchanged,,Submit,unchanged,unchanged
Hindi-English Word Alignment,"align the corresponding words across two sentences, one English and one Hindi, that have the same meaning","English, Hindi, language, research, text, word, alignment, crossword",ब्राण्ड बिहार : बिहार का प्रतिनिधि पोर्टल,brand bihar : representative portal of bihar,0-0 1-1 2-2 3-6 4-5 5-3 6-4,0-0 1-1 2-2 5-3 6-4 4-5 3-6,,,,Nicely done by computer,,unchanged,unchanged,,Submit,unchanged,unchanged
