Title,Description,Keywords,orig_sent_id_1,orig_sent_1,orig_sent_id_2,orig_sent_2,orig_sent_id_3,orig_sent_3,orig_sent_id_4,orig_sent_4
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",777,"Undated The first settlement is made in the area of what is now Louisville, Kentucky by 13 families under Colonel George Rogers Clark.",778,"It is the cover subject of the March 2009 edition of Hot Rod Deluxe, a ""retro"" version of Hot Rod Magazine.",779,The Congress of Vienna recognized it as a grand duchy and member of the German Confederation.,780,"The series premiered August 20, 2007 on Nick Jr. and began broadcasting February 23, 2008 on Noggin."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1601,"Moorland or moor is a type of habitat found in upland areas, characterised by low growing vegetation on acidic soils.",1602,"From 1948 - 52, a series of guest conductors led the orchestra, including Leonard Bernstein and Leopold Stokowski.",1603,"Wollstonecraft wrote the Rights of Woman hurriedly in order to respond directly to ongoing events; she intended to write a more thoughtful second volume, but she died before completing it.",1604,"On 22 September, French Sudan proclaimed itself the Republic of Mali and withdrew from the French Community."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",821,String theory is a developing branch of theoretical physics that combines quantum mechanics and general relativity into a quantum theory of gravity.,822,"The following year, the title returned to Raw after reigning champion Triple H was drafted back to the brand during the 2009 WWE Draft.",823,"The river is also potentially valuable for hydroelectric power, and the Inga Dams below Pool Malebo are first to exploit the river.",824,"A pulpit (from Latin pulpitum ""scaffold"", ""platform"", ""stage"") is a small elevated platform from which a member of the clergy delivers a sermon in a house of worship."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1117,"Other Mario sports games include the Camelot-developed series Mario Golf and Mario Tennis, and, respectively, the baseball and soccer games Mario Superstar Baseball and Super Mario Strikers.",1118,"Today I Feel Silly, and Other Moods That Make My Day, 1998; listed on the New York Times best-seller list for 9 weeks.",1119,"Islam emphasizes unity and defense of fellow Muslims, although many divisions of Islam (see Sunni-Shia relations, for example) exist.",1120,This split the tigers into two groups which then went on to develop independently.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1661,"References External links Official site Ibanez guitars and bass museum - Ibanez instruments database, resources, user reviews, pictures History of Hoshino Gakki Co., Ltd.",1662,"In February 2007, Essjay was found to have made false claims about his academic qualifications and professional experiences on his Wikipedia user page and to journalist Stacy Schiff during an interview for The New YorkerSchiff, Stacey.",1663,"Baduhennna is solely attested by Tacitus' Annals where Tacitus records that a grove in Frisia was dedicated to her, and that near this grove 900 Roman prisoners were killed in 28 CE.",1664,The orchestra is associated with the triennial Gustav Mahler Conducting Prize.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",133,Neptune is the eighth and outermost-known planet from the Sun in the Solar System.,134,"Riluzole does not reverse the damage already done to motor neurons, and patients taking the drug must be monitored for liver damage and other possible side effects.",135,Hurwicz was inducted into the American Academy of Arts and Sciences in 1965.,136,"In 1997 Ignacio Ramonet, editor of Le Monde Diplomatique, renewed the debate around the Tobin tax with an editorial titled ""Disarming the markets""."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",501,Earth is the only place in the universe where life has been confirmed to exist.,502,"It consisted of the American, British, and French occupation sectors established in 1945.",503,"Origins Initially a part of Urartu, Sophene became a province of the newly emerged ancient Armenian Kingdom of Orontids around 600 BC.",504,"However, there are exceptions to this rule, such as defense rather than defence."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1133,"It is 78% nitrogen and 21% oxygen, with trace amounts of water vapor, carbon dioxide and other gaseous molecules.",1134,"He returns in the 2007 series of Doctor Who, reuniting with the tenth incarnation of the Doctor, and returned again for the 2008 series.",1135,"Luciano Spinosi (born May 9, 1950, Rome) is an Italian former football player.",1136,Etymology This bird's name commemorates the American ornithologist George Newbold Lawrence.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",745,Ender's Shadow (1999) is a science fiction novel by American author Orson Scott Card.,746,Iero uses the project as a way to vent about the way he sees the worldArtist Info - LeATHERMOUTH Epitaph. com.,747,Much of the pioneering work was done at Bell Laboratories and commercialized by Western Electric.,748,"Thus, the Erzgebirge region became famous for many Christmas traditions."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1325,The Japanese Clouded Salamander (Hynobius nebulosus) is a species of salamander in the Hynobiidae family.,1326,"Leading figures included Otto Ernst Remer, a former Major General, and Fritz Dorls.",1327,"Life in the swamps The first tetrapods are now thought to have evolved in shallow and swampy freshwater habitats, towards the end of the Devonian, a little more than 365 million years ago.",1328,"The following year, a newspaper solicited eleven design proposals (all but one of which was a Nordic cross) and polled the people to determine the most popular."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",273,"The relocation process has not yet been completed, and Dar es Salaam remains Tanzania's primary city.",274,It is one of the nine species of leaf-eating kangaroos identified in fossils found in the Naracoorte Caves National Park.,275,Pakistan's founder Muhammad Ali Jinnah expressed admiration for Turkey's founding leader Mustafa Kemal Atatürk and expressed a desire to develop Pakistan on the Turkish model of modernism and secularism.,276,"One half continued to race northward, affecting the Central United States along its path, and was last distinguishable in the eastern Great Lakes region on August 31."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",633,"However, unlike the moon, it has a large iron core, which generates a magnetic field about 1% as strong as that of the Earth.",634,"She finally found him in a hospital bed in Reggio Emilia, ill with a fever and subsisting on a daily bowl of chicory coffee and bread crust.",635,The Victoria Hall remained in use until 1941 when it was destroyed by a German bomb.,636,"In the 11th and 12th century Soest grew considerably, making it one of the biggest towns in Westphalia with some 10,000 citizens."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",157,"When Bonham Carter was just five, her mother had a serious nervous breakdown, from which it took her three years to recover.",158,"All members of this genus were once considered part of the same species, Calomyscus bailwardi, but they are now referred to as separate species due to major differences in chromosome number, skull measurements, and other features.",159,Neodymium is a chemical element with the symbol Nd and atomic number 60.,160,"More formally, vorticity can be related to the amount of ""circulation"" or ""rotation"" (or more strictly, the local angular rate of rotation) in a fluid."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1637,"Design philosophies Two basic designs exist: Event-driven (priority scheduling) designs switch tasks only when an event of higher priority needs service, called pre-emptive priority.",1638,"Almahala Tripoli is a Libyan football club based in Tripoli, Libya.",1639,However the registration law changed in 2006 and since March 2007 official vehicles have got standard number plates.,1640,"The lithosphere is underlain by the asthenosphere, the weaker, hotter, and deeper part of the upper mantle."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1241,Berlin and Paris developed thriving émigré communities.,1242,If you do not accept that the early closure was a good thing please ask the editor who closed it to reverse their actions.,1243,"After reviewing the documents, some historians suggest that Adams does not deserve equal credit with Le Verrier.",1244,"In 326 BCE, most of the dozen-odd political units of the former Gandhara / Kamboja Mahajanapadas were conquered by the Macedonian conqueror."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1617,"During his 22 - year career, Young established numerous professional pitching records in the majors, some of which have stood for a century.",1618,"Music storage and marketing Digital audio files can be transported from one computer to another like any other file, and played on a compatible media player (with caveats for DRM-locked files).",1619,"Arunachal Pradesh (,) is the easternmost state of India.",1620,"All the bats admire him, and he claims to have caught two tiger moths which are known by all the others in the colony to be an extraordinary achievement by such a young bat."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",89,"A parallel to tributaries is the distributary, a river that branches off of and flows away from the main stream.",90,"The inner eyewall dissipated as a 23 mile (37 km) outer eyewall became dominant, and concurrently the overall organization of the hurricane improved.",91,The White Sox play in the American League's Central Division.,92,"When Damocles was discovered, in 1991 by Robert H. McNaught, it was found to be on an orbit completely different from all others known."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",709,"After the band's break-up in 2003, Weiland became the frontman of Velvet Revolver with former members of Guns N 'Roses.",710,"Bad Herrenalb is a municipality in the district of Calw, in Baden-Württemberg, Germany.",711,Religion The religion of Teotihuacan is similar to those of other Mesoamerican cultures.,712,"The main techniques concerned are woodcut, engraving and etching, although there are others."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1565,"It is revealed that French museums had nearly 2,000 pieces of art that had been stolen by Nazis.",1566,Hermann Muhs (16 May 1894 - 13 April 1962) was a Secretary of State and minister responsible for churches question (Minister für Kirchenfragen) in Nazi Germany.,1567,"Bon Jovi's sixth studio album, These Days, was released in June 1995.",1568,"Libpurple has support for many commonly used instant messaging protocols, allowing the user to log into various different services from one application."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1793,"Some are arboreal, with long balancing tails and other adaptations for climbing, while others are semiaquatic, with webbed feet and small external ears.",1794,In the 1920s and early 1930s he frequently worked with the London Symphony Orchestra.,1795,"It overlies the North Pole, touching North America in the Western hemisphere and Scandinavia and Asia in the Eastern hemisphere.",1796,Gun dogs Gun dogs are used primarily by small game hunters using shotguns.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1653,"They can occur at any beach with breaking waves, including the world's oceans, seas, and large lakes such as the Great Lakes in the United States of America and Canada.",1654,"All species have a distinctly bear-like gait, due to their front legs being longer than their back legs.",1655,Some computers can boot up from flash drives.,1656,Demographics The population of the city is now largely made up of the descendants of laborers who were hired for labor from India in the 19th century.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1093,Sea snakes occur mainly in the Indian Ocean and the southwest Pacific.,1094,He went on to author the animator's bible The Illusion of Life with Frank Thomas.,1095,"Launched in 1994, InStyle currently has a circulation of 1.7 million.",1096,This can be mitigated by using multiple Kerberos servers and fallback authentication mechanisms.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",245,"Nevin returned to America in 1887, and took up his residence in Boston, where he taught and played at occasional concerts.",246,"A photograph of Simon Rodia is included on the cover of the Beatles' album Sgt. Pepper's Lonely Hearts Club Band, released in 1967.",247,"The mercenaries encounter Ripley, and their youngest member Call (Winona Ryder) recognizes her name.",248,The low gradually became better organized and was determined to have become a tropical depression the next morning while located 50 mi (80 km) northeast of the Nicaragua / Honduras border.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1329,Awake is a 2007 suspense thriller written and directed by Joby Harold.,1330,"Before 1858, the precursor units of the Indian Army were units controlled by the Company and were paid for by their profits.",1331,"The St Andrew, also called the badge-appendant, is worn suspended from the collar.",1332,The 1992 Winter Games were the last to be staged in the same year as the Summer Games.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",885,The explorer Francisco Hernández wrote that chocolate beverages helped treat fever and liver disease.,886,"This period is known as the Edo period and gets its name from the capital city, Edo, which now is called Tokyo.",887,"Though not popular, herring roe is sold within many British supermarkets.",888,"Saxon Switzerland is a mountainous climbing area and national park near Dresden in Saxony, Germany."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1481,Tropical Storm Arlene formed near Honduras on June 8 and moved northwards.,1482,"Platform game, or platformer, is a video game genre characterized by jumping to and from suspended platforms or over obstacles.",1483,It was formerly one of the products of gasworks.,1484,"Indications Approved indications for codeine include: Cough, though its efficacy in low dose over the counter formulations has been disputed."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",477,"Following his success with Star Trek, he supplemented his income and showed continued support for his fans by making numerous public appearances.",478,"Since it formed at 36 ° N, this system is the northernmost formation in the eastern north Pacific basin.",479,"While it is a self-contained story, the book continues and develops many of the themes touched on in the first book.",480,"Almost all weapons, vehicles, and interactive objects can be placed and moved on maps with Forge."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",261,"As demand for coal slipped following World War II, mines began to close across the region, causing mass unemployment.",262,Donald became the most popular of the Disney characters in Scandinavia.,263,"Compared with other species, human childbirth is dangerous.",264,"The family moved to Vienna in 1907 where it changed the Czech Slavic name of ""Zajtich"" to the invented German ""Seyss-Inquart""."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1141,"These optional movements were known as galanteries: common examples are the minuet, gavotte, passepied, and bourree.",1142,"The little book was widely read, especially at Paray.",1143,The barracks were constructed from large sandstone blocks and carved out of the existing rock on the headland.,1144,"Frederick Hubbard ""Fred"" Gwynne (10 July 1926 2 July 1993) was an American actor."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",369,"That is, the term is defined negatively and does not presuppose a genetic relationship.",370,"Track listing All tracks written by Tim Rice-Oxley, Tom Chaplin, and Richard Hughes.",371,"Their match stemmed from the Royal Rumble, the pay-per-view event two months prior to WrestleMania.",372,They had however been reinforced by a detachment of 32 grenadiers from one of the Swiss mercenary regiments summoned to Paris by the King shortly before 14 July.
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",217,"N-Dubz are a MOBO award winning hip hop group from London, based around Camden Town.",218,"In the 1935 – 36 season, Thompson became the first goaltender to get an assist by intentionally passing the puck with his stick to a fellow player.",219,Tazz defeated Al Snow (5: 20) Tazz forced Snow to submit with the Tazzmission.,220,"It is situated in the southeastern part of the state, on the shore of a lake called the Tollensesee (18 km ²)."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",933,"Modified SUVs also take part in races, including the Paris-Dakar Rally and the Australian Outback.",934,"Mélodies continue to be composed today, though perhaps the last uncontestedly great composer of them was Francis Poulenc, who died in 1963.",935,"Romulus, the first moon, was discovered on February 18, 2001 from the Keck II telescope by Michael E. Brown and Jean-Luc Margot.",936,"They run 20 hours a day, 364 days a year, with 95% of them operational at any one time, and can cope with 13,000 passengers per hour."
Simplify sentences for non-native English Speakers,Rewrite sentences so that they are easier to read and understand by non-native English speakers,"simplification, paraphrasing, qualitication, test",1909,"History Vaihingen may date back as far as 799 a. d., but the documents are not clear.",1910,"It is not clear whether it is only a transient clump of dust, or if there is a solid moonlet at its core.",1911,"It was released on January 21, 2003 and garnered DVDX awards for best animated feature, best director, best editing, and best musical score.",1912,"The strengthening trend abated early on July 8, due to wind shear, and Bertha rapidly weakened back to a Category 1 hurricane that afternoon."
