Title,Description,Keywords,goal1,goal2,goal3
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",visit PersonX's friends,increase PersonY's efficiency,affect PersonY's health
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",range in age to years,improve PersonY's quality,improve PersonX's efficiency
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",support PersonX's position,understand PersonY's language,look at PersonY's mother
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",stand face to face,use PersonY's language,support PersonY's weight
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",stand near PersonY,understand PersonY's meaning,keep PersonY commandments
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY's part,kill PersonY's wife,defend PersonY's rights
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",keep PersonY's place,carry out PersonY's duties,raise PersonX's children
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",beg PersonY to come,give PersonY's time,sell PersonY's goods
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",develop PersonY understanding,shape PersonY's lives,bore PersonY children
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",rest on PersonX's knees,get PersonY away,meet PersonY's expenses
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",offer PersonX's services,hold PersonY tightly,pay PersonY attention to PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",exist among PersonY,blow PersonY's horn,receive PersonY's letter
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",improve PersonY's lot,live happily PersonY after,visit PersonY's home
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",affect PersonY's ability,do things PersonY's way,occupy PersonY's time
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY's son,ensure PersonX's safety,be well on PersonX's way
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",provide for PersonX's children,take another look,make PersonX's decisions
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",go to PersonX's home,preserve PersonY's life,bar PersonY's way
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",quench PersonX's thirst,read PersonY article,neglect PersonX's duties
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",imitate PersonY's example,preserve PersonX's identity,play video games
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",buy a new car,go to the grocery store,make new friends
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",live in PersonY's house,get PersonY in PersonZ's trademark,espouse PersonY's cause
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cause PersonY trouble,take PersonY's share,give PersonY trouble
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take care of PersonY,bring PersonY home,get a new job
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",go back to school,take PersonY to the hospital,make a lot of money
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lead to PersonX's death,pay off PersonX's debts,take PersonY's course
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY's advice,provide PersonY environment,bring PersonY to trial
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",live in PersonX's home,make PersonY choice,put on PersonX's coat
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",walk home from school,get a new one,get a flat tire
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY the question,save PersonY's skin,mind PersonX's business
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",reach PersonY's room,lick PersonX's wounds,call upon to make
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY to the doctor,go back to sleep,work one day
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonY's wealth,resign PersonX's position,follow in PersonY's footsteps
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",pay PersonY tax,call PersonY by PersonZ's name,increase PersonX's ability
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take part in the war,meet PersonY's expectations,protect PersonX's interests
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",wake up one morning,go grocery shopping,come home from work
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",support PersonX's family,play a role in the development,take PersonX's hand in PersonZ's
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take a trip to PersonY,get a phone call,go back inside
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY instructions,pursue PersonY's way,contribute to PersonX's success
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",tell PersonY to wait,complete PersonX's mission,use PersonX's imagination
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",drive home from work,ask PersonY out on a date,get a new phone
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",receive PersonY's reward,lose PersonX's head,change PersonY's dress
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",find PersonY's expression,keep PersonX's jobs,enforce PersonX's rights
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY mom,ask PersonY on a date,tell PersonY mom
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",provide PersonY incentive,direct PersonY's course,feel PersonX's pulse
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",graduate high school,get ice cream,go next door
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",reduce PersonX's costs,teach PersonX's children,make PersonX's living
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",speak PersonY's language,bring up PersonX's children,control PersonX's environment
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",keep PersonY's counsel,owe to PersonY's position,meet PersonY's obligations
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lose PersonX's position,reach PersonX's goal,go beyond PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",find PersonY's cat,go on a field trip,build a sand castle
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",follow PersonY's example,keep PersonY in order,make PersonX's plans
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",own PersonX's homes,give PersonY's support,rub PersonY's chin
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY's temperature,breathe a sigh of relief,surprise PersonY's wife
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY PersonZ's name,become like PersonY,increase PersonX's speed
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",use PersonY technique,pay PersonY's way,read PersonX's bible
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",buy a lottery ticket,drive back home,eat PersonY's lunch
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",defend PersonX's rights,represent PersonX's interests,maintain PersonX's existence
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",come into PersonY's life,go about PersonX's business,increase PersonY's production
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",move into a new house,play PersonY's guitar,wake up the next morning
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",await PersonY's return,listen to PersonY's stories,come into PersonY head
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",plead PersonX's case,preserve PersonY's identity,reduce PersonX's risk
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY's dog for a walk,get really sick,pay much attention
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonX's position,ask PersonY meant,find fault with PersonY
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",tell PersonY's boss,make fun of PersonY's,take PersonY's medicine
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",begin PersonX's career,understand PersonY well,accomplish PersonX's goal
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY a big hug,tell PersonY's mom,make PersonY's way
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's laws,call PersonY name,take PersonX's turn
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",deepen PersonY's understanding,defend PersonY's position,ask PersonY to give
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY to the mall,see PersonY's favorite band,go ice skating
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",satisfy PersonX's need,develop PersonX's resources,do PersonY's work well
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",leave PersonX's homes,live with PersonX's husband,tell PersonY to come
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",visit PersonY's family,buy a new pair,take PersonY back
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ensure PersonY's survival,keep PersonY back,regain PersonX's health
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",meet PersonX's fate,take PersonX's eyes off PersonY,read PersonY's letter
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",open PersonY's eyes,come back home,save a lot of money
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",accomplish PersonX's mission,attract PersonY attention,maximize PersonX's profits
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",ask PersonY to look,provide PersonY example,use PersonY's resources
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",maintain PersonY's existence,carry out PersonX's responsibilities,know PersonY's history
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",find the perfect one,do n't say anything,find the perfect pair
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",provide PersonY opportunity,give PersonY pleasure,eat PersonX's supper
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make a loud noise,prove PersonY wrong,take PersonY's money
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's appearance,raise PersonX's hat,look after PersonX's interests
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",write PersonX's life,complete PersonY's work,blow PersonX's horn
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",depend upon the type,produce PersonX's effects,build PersonY's nest
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",love PersonX's country,lose PersonX's jobs,ask PersonY to take
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonY's girlfriend,ask PersonY to the dance,break PersonY's leg
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get fast food,move back home,pull over to the side of the road
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",find PersonX's mother,complete PersonX's education,lay PersonY's hands on
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",come home from school,sell PersonY's house,pay a lot of money
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",be within PersonY's reach,get a good night's sleep,use PersonY expression
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",save PersonY life,save PersonY's country,send PersonY to school
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",go to PersonY's car,get a flu shot,take PersonY's car
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonX's something,make PersonY noise,give PersonY the appearance
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",rid PersonY's bicycle,get in PersonY's car,hat PersonY's job
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",solve PersonX's problem,work out PersonX's salvation,make PersonY estimate
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",take PersonX's life,satisfy PersonX's wants,affect PersonY's life
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",invite PersonY to come,understand PersonY's feelings,send PersonX's son
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonY's happy,go to PersonY's room,work one morning
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get PersonX's money back,develop PersonX's skills,offer PersonX's hand
