Title,Description,Keywords,goal1,goal2,goal3,Answer.goal1_distractor_1,Answer.goal1_distractor_2,Answer.goal1_distractor_3,Answer.goal1_distractor_4,Answer.goal1_impossible,Answer.goal1_impossible_reason,Answer.goal2_distractor_1,Answer.goal2_distractor_2,Answer.goal2_distractor_3,Answer.goal2_distractor_4,Answer.goal2_impossible,Answer.goal2_impossible_reason,Answer.goal3_distractor_1,Answer.goal3_distractor_2,Answer.goal3_distractor_3,Answer.goal3_distractor_4,Answer.goal3_impossible,Answer.goal3_impossible_reason
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get near PersonY,increase PersonY's power,resume PersonX's work,PersonY is running away.,PersonY is surrounded by people.,{},{},,{},PersonX has no access to power.,PersonY doesn't want PersonX's help.,PersonX can't get close to PersonY.,{},,{},PersonX is lazy.,PersonX is too busy doing other things.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get near PersonY,increase PersonY's power,resume PersonX's work,PersonX has a restraining order against them,PersonX is a criminal,PersonX lives in a different state,{},,{},PersonX is disliked at work,PersonX is not smart,{},{},,{},PersonX had a family member pass away,PersonX had his girlfriend work up with him,PersonX is on drugs,{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",see PersonY's works,begin PersonX's march,remove PersonX's hat,PersonY will not display the works.,PersonX cannot afford admission.,{},{},,{},PersonX was told to wait.,PersonX can't find the start line.,{},{},,{},PersonX has greasy hair.,The hat is too tight.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",see PersonY's works,begin PersonX's march,remove PersonX's hat,PersonX lives nowhere near the museum with PersonY's works.,PersonX's phone doesn't work and can't get online.,{},{},,{},PersonX is not in good enough shape to go on a march.,PersonX forgot to an entry fee to march.,{},{},,{},PersonX is paralyzed and can't move their arms.,PersonX promised to wear the hat at the rally.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",see PersonY's works,begin PersonX's march,remove PersonX's hat,PersonX lives in a different country,PersonX is too poor to attend the exhibit,{},{},,{},PersonX is injured,PersonX is in a wheelchair,PersonX is stuck at work,{},,{},PersonX is in a musical,PersonX is at a Halloween party,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonX's course,carry on PersonY's work,learn PersonY's language,PERSON X  is sleepy,PERSON X DOES NOT HAVE time to finsh,{},{},,{},PERSON X IS LAZY,PERSON X IS CONFUSED ABOUT PERSON'S Y'S  work,{},{},,{},PERSON X DOESN'T KNOW HOW to interpret language,PERSON X  IS CONFUSED.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonX's course,carry on PersonY's work,learn PersonY's language,PersonX's required course is at the same time.,PersonX didn't have enough students sign up for the course.,{},{},,{},PersonY didn't give PersonX all of the notes needed.,PersonY is back from vacation and can do the work themself.,{},{},,{},Because the language is very difficult.,PersonX doesn't have a knack for new languages.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonX's course,carry on PersonY's work,learn PersonY's language,The road is blocked by debris.,PersonX doesn't have the prerequisite credits.,{},{},,{},PersonX doesn't have the skill.,PersonY won't permit it.,{},{},,{},PersonX has to work too hard to find the time.,PersonX has difficulty learning.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",kill PersonY's father,plead PersonX's cause,fall within the range,PersonY's father is bigger than PersonX,PersonX fears prison,{},{},,{},PersonX can't maintain an audience,PersonX has no support system,{},{},,{},PersonX is below average at math,PersonX has a hard time concentrating,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",kill PersonY's father,plead PersonX's cause,fall within the range,PersonX is in prison.,PersonY is watching PersonX.,{},{},,{},PersonX is being ignored.,PersonX is locked out of the meeting.,{},{},,{},PersonX can't stop growing.,PersonX isn't fast enough.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",kill PersonY's father,plead PersonX's cause,fall within the range,PersonY's father ran away and he cannot find him.,PersonX does not have a weapon.,{},{},,{},PersonX is not a licensed lawyer.,PersonX does not have a cause,{},{},,{},PersonX is not strong enough to do so.,PersonX cannot find the exact range.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",show PersonX's appreciation,satisfy PersonY's desires,look at PersonY watch,The gift was given anonymously.,PersonX was deployed before being able to offer thanks.,{},{},,{},PersonX is a quadriplegic.,PersonX is too exhausted after working 80 hours a week.,{},{},,{},The room is too dark.,PersonY's coat sleeve covers the watch.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",show PersonX's appreciation,satisfy PersonY's desires,look at PersonY watch,PersonX is a sociopath who cannot show emotions.,PersonX is not allowed to talk to PersonX due to a restraining order against PersonX.,{},{},,{},PersonY does not desire PersonX.,PersonX is extremely grotesque.,{},{},,{},PersonX was born blind.,PersonY lost their watch in a gutter.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",show PersonX's appreciation,satisfy PersonY's desires,look at PersonY watch,PersonX is afraid to show their feelings.,PersonX is broke.,{},{},,{},PersonX doesn't have enough money.,PersonX doesn't know what PersonY wants,{},{},,{},PersonY won't let them.,PersonY is too far away.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cut PersonX's throat,kill PersonX's wife,make PersonX's statement,PersonX cannot find a knife.,PersonX is handcuffed.,{},{},,{},PersonX's wife is pointing a gun at PersonX.,PersonX's wife is in the witness protection program.,{},{},,{},PersonX has been detained.,PersonX cannot find the courthouse in time.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cut PersonX's throat,kill PersonX's wife,make PersonX's statement,PersonX is in a padded cell.,PersonX is in handcuffs.,{},{},,{},PersonX's wife is in witness protection.,PersonX is in a prison cell.,{},{},,{},PersonX has no time left in the debate.,The crowd is making too much noise and not paying attention.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",cut PersonX's throat,kill PersonX's wife,make PersonX's statement,PersonX doesn't have a knife,PersonX is wearing a straight jacket,{},{},,{},PersonX is in Jail,PersonX is in a police car,PersonX is on the run,{},,{},PersonX has a lawyer who won't allow him to speak,PersonX is on drugs,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry out PersonX's functions,love PersonX's husband,build PersonX's nest,PersonX doesn't know how to type.,PersonX is inexperienced.,{},{},,{},PersonX doesn't love themselves.,PersonX is a lesbian.,{},{},,{},PersonX,PersonX,{},{},on,PersonX is not a bird.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry out PersonX's functions,love PersonX's husband,build PersonX's nest,{},{},{},{},on,It doesn't make sense.,Person X is married,Person Y hates him.,{},{},,{},{},{},{},{},on,It doesn't make sense.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry out PersonX's functions,love PersonX's husband,build PersonX's nest,PersonX is under the influence of drugs.,PersonX has lost control of their functions.,{},{},,{},PersonX is emotionally detached from their husband.,PersonX's husband has disappeared.,{},{},,{},PersonX does not have arms.,PersonX has to go to work instead.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",determine PersonX's value,beat PersonX's wife,move toward the door,They lack the tools to assess themselves.,They can't do the math to assess their value.,{},{},,{},Their wife is too strong and will fight back,They're under arrest for beating their wife in the past.,{},{},,{},A dangerous dog is blocking their way.,A burglar is standing in front of the door.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",determine PersonX's value,beat PersonX's wife,move toward the door,PersonX doesn't know how to figure out a person's worth.,PersonX needs to ask someone for advice.,{},{},,{},PersonX is in jail and can't get to the wife.,PersonX doesn't know where the wife is.,{},{},,{},PersonX is surrounded by so many people they can't move.,PersonX is in the middle of a sermon and can't leave.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",determine PersonX's value,beat PersonX's wife,move toward the door,{},{},{},{},on,Not sure what the sentence means.,It is illegal.,PersonX loves their wife.,{},{},,{},PersonX is paralyzed.,PersonX is too sick.,PersonX is taped to the chair.,{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY a time,make PersonY's home,join PersonY's party,PersonX doesn't know what time it will be at,PersonX doesn't know how to tell time,{},{},,{},PersonX doesn't know how to make homes,PersonY doesn't need a home made.,{},{},,{},PersonY didn't invite PersonX,PersonX doesn't know where the party is,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY a time,make PersonY's home,join PersonY's party,PersonX has no idea what time they'll get off work.,PersonX's flight has been canceled.,{},{},,{},PersonX doesn't have the money to help PersonY.,PersonX doesn't have enough money to take a cab there.,{},{},,{},PersonX won't be in town the day of the party.,PersonX has to work the day of the party.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",give PersonY a time,make PersonY's home,join PersonY's party,PersonX does not have a watch.,PersonX cannot tell time.,{},{},,{},PersonY does not have a home.,PersonY told personX to stay out of his home.,{},{},,{},PersonX was not invited.,PersonY did not end up having a party.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get in PersonY's way,improve PersonX's knowledge,increase PersonX's power,PersonY has already succeeded.,PersonX is too far away.,{},{},,{},PersonX doesn't have the money to attend school.,PersonX can't find a school.,{},{},,{},PersonX needs more money.,PersonX is in jail.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get in PersonY's way,improve PersonX's knowledge,increase PersonX's power,PersonX can't get out of the chair.,PersonY moves too fast.,{},{},,{},PersonX can't afford to take lessons.,PersonX doesn't have the patience to learn.,{},{},,{},PersonX is a weak willed individual.,Powerful people hold back PersonX.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",get in PersonY's way,improve PersonX's knowledge,increase PersonX's power,PersonX is too far away from PersonY.,PersonY is extremely nimble.,PersonY is strong and pushes PersonX aside.,{},,{},PersonX has no access to books or internet.,PersonX has a brain injury that prevent learning.,PersonX is pathologically lazy.,{},,{},PersonX is convinced they are powerless.,PersonX is indecisive and can't decide how to proceed.,Someone uses their own power to keep PersonX from acting.,{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's rounds,pay PersonY's share,pursue PersonX's way,PersonX is busy.,There is no gas.,{},{},,{},There is no money.,The share costs too much.,{},{},,{},{},{},{},{},on,There is no way that goals like this can't happen.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's rounds,pay PersonY's share,pursue PersonX's way,Personx doesn't know who they need to see,Their patients have already left.,{},{},,{},Persony won't let them pay for them,Personx left their wallet at home.,{},{},,{},Personx has other responsibilities,Personx doesn't know what they want to pursue.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",make PersonX's rounds,pay PersonY's share,pursue PersonX's way,PersonX doesn't have permission.,PersonX hasn't been given the patient files.,{},{},,{},PersonX hasn't been paid yet.,PersonX doesn't know PersonY's payment information.,{},{},,{},PersonX is broke until next week.,PersonX is too young to get a job.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry in PersonX's hand,receive PersonX's share,turn PersonY loose,{},{},{},{},on,This sentence is not written in proper English. Person X wants to carry what? in PersonX's hand?,The share is being released in a week.,The person who is to give the share doesn't have it.,PersonX's share was taken by someone else.,PersonX doesn't have a car to pick it up.,,{},PersonY isn't of age.,PersonY refuses to budge.,Person Y has obligations to fulfill.,PersonX can't find the time to see PersonY,,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry in PersonX's hand,receive PersonX's share,turn PersonY loose,PersonX's hand was amputated.,The object is too heavy.,{},{},,{},PersonX does not meet the legal requirements.,PersonX is away on holiday.,{},{},,{},PersonY's restraints are too strong.,PersonX cannot find the keys.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",carry in PersonX's hand,receive PersonX's share,turn PersonY loose,{},{},{},{},on,The statement does not make sense. How can personX carry their own hand?,PersonX is ruled against in court.,PersonX has his share stolen from him and he cannot get it back.,{},{},,{},PersonX is a prison guard who must not let PersonY loose.,PersonY is very violent and may hurt someone.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonX's houses,educate PersonX's children,change PersonX's attitude,There are no more building materials left.,PersonX broke their leg.,{},{},,{},PersonX's children are much too rowdy.,PersonX's have serious learning disibilities.,{},{},,{},PersonX is too set in their ways.,PersonX is very depressed.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonX's houses,educate PersonX's children,change PersonX's attitude,PersonX doesn't have materials.,PersonX doesn't know how to measure.,{},{},,{},PersonX cannot read.,PersonX's ex has full custody of the kids.,{},{},,{},PersonX has multiple personalities.,PersonX is on mood stabilizers.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",build PersonX's houses,educate PersonX's children,change PersonX's attitude,PersonX does not have any money.,PersonX lives in a communist state that does not allow this.,{},{},,{},PersonX does not have children.,PersonX's children live far away from him.,{},{},,{},PersonX has a mental illness.,PersonX is in solitary confinement and cannot change himself.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",explain PersonX's position,go from house to house,turn PersonY head,They swore they wouldn't.,They have a court gag order.,{},{},,{},They broke their legs.,Nobody lives nearby.,{},{},,{},They are in a neck brace.,The doctor told them not to.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",explain PersonX's position,go from house to house,turn PersonY head,The boss won't give PersonX the time of day.,The new position is classified.,{},{},,{},PersonX is in a wheelchair.,PersonX has a sprained ankle.,{},{},,{},PersonY is prejudiced against blacks.,PersonY is not interested.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",explain PersonX's position,go from house to house,turn PersonY head,PersonX had a throat surgery,PersonX forgot his important documents,{},{},,{},PersonX can't find his car keys,PersonX cannot get past the neighborhood's gated security,{},{},,{},PersonY broke their neck,PersonX is sitting four rows behind PersonY,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lay down PersonX's life,become PersonY's president,take PersonY's life,PersonX does not want to disappoint their family,PersonX can't get to the scene in time,{},{},,{},PersonX doesn't have campaign money,PersonY sees PersonX for who they are,{},{},,{},PersonX doesn't have a weapon,PersonX is terrified of going to prison,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lay down PersonX's life,become PersonY's president,take PersonY's life,{},{},{},{},on,It doesn't make sense.,{},{},{},{},on,It doesn't make sense.,{},{},{},{},on,It doesn't make sense.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",lay down PersonX's life,become PersonY's president,take PersonY's life,PersonX has a physical disability and cannot fight.,They cannot join the military as they are not a citizen,PersonX has to stay at home to look after their children,The enrollment call for recruits is already closed,,{},PersonX  is too young for the role,Someone else is serving as PersonY's president,PersonX does not possess the required university degree or training,PersonX has previously served as PersonY's president and is ineligible,,{},PersonX is incarcerated,PersonY has disappeared without a trace,PersonY has round the clock bodyguards,PersonX is weak and frail due to illness,,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonY's course,make PersonY analysis,hold PersonX's tongue,PersonX is not intellectual enough,PersonX does not have the money to continue the course,{},{},,{},PersonX is not clever and so does not understand PersonY's situation,PersonY is withholding information,{},{},,{},PersonX is a gossip,PersonX knows something really important,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonY's course,make PersonY analysis,hold PersonX's tongue,Person X needs to work an extra shift.,Person X doesn't have transportation to the course.,{},{},,{},Person Y hasn't crunched the numbers.,Person Y had to leave for an emergency.,{},{},,{},Person X has strong convictions.,Person X will not be silenced.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",continue PersonY's course,make PersonY analysis,hold PersonX's tongue,PersonY has too much challenging homework.,PersonX is getting poor grades.,PersonX doesn’t understand the class material.,{},,{},PersonX doesn’t have the information that they need.,PersonX has a lack of time.,{},{},,{},PersonX doesn’t know the person.,PersonX is not persuasive.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",slap PersonY on the back,resume PersonY's place,hold PersonX's position,PersonX doesn't know PersonY well enough for the gesture.,PersonY would get angry if they did.,{},{},,{},PersonX isn't qualified to take PersonY's place.,PersonY is giving their place up.,{},{},,{},PersonX made some mistakes and may get fired.,PersonX hasn't gotten a good grasp on the job.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",slap PersonY on the back,resume PersonY's place,hold PersonX's position,PersonX is deformed and has no arms.,PersonX is standing in the corner for discipline.,{},{},,{},PersonX does not have the same qualifying talents as PersonY.,PersonX was called into working on their day off.,{},{},,{},PersonX has to leave for the summer and loses their position.,PersonX is sick.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",slap PersonY on the back,resume PersonY's place,hold PersonX's position,PersonY is too far away.,PersonX has a broken wrist.,{},{},,{},PersonX doesn't have the skills.,PersonX isn't old enough.,{},{},,{},PersonX doesn't have a reliable form of transportation.,PersonX is in jail.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's share,send PersonY word,make room for PersonY,The legal documents fixed the share divisions.,They are under bankruptcy rules.,Person X is is in prison.,{},,{},There is no cell service.,Can't find the phone.,Person Y is mountain climbing in Tibet.,{},,{},Person X has two broken hands in casts.,Person X is stuck in the opening.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's share,send PersonY word,make room for PersonY,All the company shares are sold.,The boss set up new company policies that would not allow it.,{},{},,{},PersonY is in a meeting.,PersonY is with other girls.,{},{},,{},PersonY weighs 869 pounds.,PersonY cannot fit in PersonX's car.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",increase PersonX's share,send PersonY word,make room for PersonY,PersonX doesn't have enough money,PersonX does not know how,PersonX is bad at business,{},,{},{},{},{},{},on,This sentence makes no sense!,PersonX has a small apartment,PersonX is fat,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",follow PersonY's advice,threaten PersonY's existence,raise PersonY's level,PersonX can't remember PersonY's advice.,PersonY refuses to help PersonX.,{},{},,{},PersonY is much more intimidating than PersonX.,PersonY has a gun and PersonX does not.,{},{},,{},PersonX is in last place.,PersonY is already farther ahead.,{},{},,{}
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",follow PersonY's advice,threaten PersonY's existence,raise PersonY's level,PersonX is hard headed.,PersonX is under oath.,{},{},,{},It is illegal.,PersonX will lose their job.,{},{},,{},{},{},{},{},on,Not sure what this sentence means.
Tell us why one can't do something.,"We'll tell you what a person wants to do but can't, you tell us the possible reasons why.","reasons, why, action, events, writing",follow PersonY's advice,threaten PersonY's existence,raise PersonY's level,PersonX does not like the advice.,PersonY's advice is bad.,{},{},,{},PersonX does not want to get in trouble.,PersonX is too scared.,{},{},,{},PersonX does not have time to practice.,PersonX is not as talented.,{},{},,{}
