Title,Description,Keywords,generation,type,source,Answer.fluency,Answer.grammar,Answer.meaningful,Answer.overall
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_sample,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_sample,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,a_star_sample,math | concept | work,0,0,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,a_star_sample,math | concept | work,0,0,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,a_star_sample,math | concept | work,0,0,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are the best responses to protect your lungs?,a_star_sample,responses | protect | lungs,2,0,-2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are the best responses to protect your lungs?,a_star_sample,responses | protect | lungs,2,2,0,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are the best responses to protect your lungs?,a_star_sample,responses | protect | lungs,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose organization is in charge of running it?,a_star_sample,organization | charge | running,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose organization is in charge of running it?,a_star_sample,organization | charge | running,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose organization is in charge of running it?,a_star_sample,organization | charge | running,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_sample,Apache | point | observatory,0,2,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_sample,Apache | point | observatory,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_sample,Apache | point | observatory,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water is waste heat?,neurologic,waste | heat | water,-2,0,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water is waste heat?,neurologic,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much water is waste heat?,neurologic,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do we waste so much water to heat our homes?,a_star_beam,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do we waste so much water to heat our homes?,a_star_beam,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do we waste so much water to heat our homes?,a_star_beam,waste | heat | water,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_sample,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_sample,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_sample,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the major exports from Norman?,neurologic,Norman | major | exports,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the major exports from Norman?,neurologic,Norman | major | exports,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the major exports from Norman?,neurologic,Norman | major | exports,0,0,0,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_beam,Norman | major | exports,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_beam,Norman | major | exports,2,0,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the major exports from Norman?,a_star_beam,Norman | major | exports,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which measure is adopted by choice?,neurologic,measure | adopted | choice,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which measure is adopted by choice?,neurologic,measure | adopted | choice,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which measure is adopted by choice?,neurologic,measure | adopted | choice,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about the changed state of the Rhine delta?,a_star_sample,changed | Rhine | delta,0,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about the changed state of the Rhine delta?,a_star_sample,changed | Rhine | delta,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about the changed state of the Rhine delta?,a_star_sample,changed | Rhine | delta,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_beam,measure | adopted | choice,2,0,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_beam,measure | adopted | choice,0,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the choice of measure to be adopted?,a_star_beam,measure | adopted | choice,-2,-2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between oxygen and carbon dioxide?,neurologic,oxygen | cellular | respiration,2,2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between oxygen and carbon dioxide?,neurologic,oxygen | cellular | respiration,2,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the difference between oxygen and carbon dioxide?,neurologic,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_beam,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_beam,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much oxygen is needed for cellular respiration?,a_star_beam,oxygen | cellular | respiration,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_sample,military | power | Yuan,2,2,0,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_sample,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_sample,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,neurologic,math | concept | work,2,0,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,neurologic,math | concept | work,2,0,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does math concept work?,neurologic,math | concept | work,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does the math concept work?,a_star_beam,math | concept | work,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does the math concept work?,a_star_beam,math | concept | work,0,0,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does the math concept work?,a_star_beam,math | concept | work,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do I have cash flow problems?,a_star_sample,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do I have cash flow problems?,a_star_sample,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do I have cash flow problems?,a_star_sample,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do I protect my lungs from responses?,neurologic,responses | protect | lungs,-2,2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do I protect my lungs from responses?,neurologic,responses | protect | lungs,2,2,0,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do I protect my lungs from responses?,neurologic,responses | protect | lungs,0,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What responses do you have to protect your lungs?,a_star_beam,responses | protect | lungs,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What responses do you have to protect your lungs?,a_star_beam,responses | protect | lungs,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What responses do you have to protect your lungs?,a_star_beam,responses | protect | lungs,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose ideas will accomplish these goals?,a_star_sample,ideas | accomplish | goals,2,2,-2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose ideas will accomplish these goals?,a_star_sample,ideas | accomplish | goals,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose ideas will accomplish these goals?,a_star_sample,ideas | accomplish | goals,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whom shall I fight, the tribesman or the khan?",a_star_sample,tribes | khan | fight,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whom shall I fight, the tribesman or the khan?",a_star_sample,tribes | khan | fight,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Whom shall I fight, the tribesman or the khan?",a_star_sample,tribes | khan | fight,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,a_star_beam,organization | charge | running,0,0,0,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,a_star_beam,organization | charge | running,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,a_star_beam,organization | charge | running,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,neurologic,organization | charge | running,2,2,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,neurologic,organization | charge | running,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom do you charge with running the organization?,neurologic,organization | charge | running,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do prime numbers have additional meaning?,a_star_sample,additional | meaning | prime,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do prime numbers have additional meaning?,a_star_sample,additional | meaning | prime,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do prime numbers have additional meaning?,a_star_sample,additional | meaning | prime,0,0,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who is the best point guard in the NBA?,neurologic,Apache | point | observatory,-2,-2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who is the best point guard in the NBA?,neurologic,Apache | point | observatory,2,2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who is the best point guard in the NBA?,neurologic,Apache | point | observatory,2,2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_beam,Apache | point | observatory,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_beam,Apache | point | observatory,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the point of having an observatory at Apache Point?,a_star_beam,Apache | point | observatory,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose occupation is it that you want to alienate?,a_star_sample,,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose occupation is it that you want to alienate?,a_star_sample,,2,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose occupation is it that you want to alienate?,a_star_sample,,0,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much knowledge do you have about French activities?,neurologic,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much knowledge do you have about French activities?,neurologic,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How much knowledge do you have about French activities?,neurologic,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_beam,activities | French | knowledge,0,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_beam,activities | French | knowledge,0,2,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What activities are you doing to improve your knowledge of French?,a_star_beam,activities | French | knowledge,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose interests are being protected by the long tentacles of the state?,a_star_sample,long | tentacles | protected,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose interests are being protected by the long tentacles of the state?,a_star_sample,long | tentacles | protected,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose interests are being protected by the long tentacles of the state?,a_star_sample,long | tentacles | protected,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","How do you feel about the current state of the game, and what do you want to see changed?",neurologic,changed | Rhine | delta,-2,-2,-2,-2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","How do you feel about the current state of the game, and what do you want to see changed?",neurologic,changed | Rhine | delta,2,2,-2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","How do you feel about the current state of the game, and what do you want to see changed?",neurologic,changed | Rhine | delta,2,2,-2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why can't linear algebra be solved by a Turing machine?,a_star_sample,solved | linear | Turing,2,2,-2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why can't linear algebra be solved by a Turing machine?,a_star_sample,solved | linear | Turing,2,2,0,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why can't linear algebra be solved by a Turing machine?,a_star_sample,solved | linear | Turing,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What would you like to see changed in the future of the Rhine river delta?,a_star_beam,changed | Rhine | delta,0,0,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What would you like to see changed in the future of the Rhine river delta?,a_star_beam,changed | Rhine | delta,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What would you like to see changed in the future of the Rhine river delta?,a_star_beam,changed | Rhine | delta,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,neurologic,military | power | Yuan,2,2,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,neurologic,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,neurologic,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose faction is it that supplies Jacksonville?,a_star_sample,supplies | Jacksonville | faction,0,0,0,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose faction is it that supplies Jacksonville?,a_star_sample,supplies | Jacksonville | faction,0,0,2,0
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whose faction is it that supplies Jacksonville?,a_star_sample,supplies | Jacksonville | faction,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_beam,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_beam,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the Yuan Dynasty's military powerhouses?,a_star_beam,military | power | Yuan,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are cash flow problems?,neurologic,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are cash flow problems?,neurologic,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are cash flow problems?,neurologic,cash | flow | problems,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,a_star_sample,median | temperature | winter,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,a_star_sample,median | temperature | winter,2,2,2,2
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the median winter temperature?,a_star_sample,median | temperature | winter,2,2,2,2
