Title,Description,Keywords,generation,type,source
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is active acquired memory?,neurologic,active | memory | acquired
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do small projects have such a strong presence?,a_star_beam,presence | small | projects
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the strongest regions in Victoria?,a_star_sample,strongest | Victoria | regions
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the projects you're working on?,neurologic,presence | small | projects
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom does Carnegie's foundation support?,a_star_sample,Carnegie | foundation | support
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does schooling affect economic growth?,a_star_beam,economic | growth | schooling
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How does economic growth affect schooling?,neurologic,economic | growth | schooling
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where are the improvements Warsaw has made in the past decade?,a_star_sample,Warsaw | improvements | past
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is believed to be the devastation of civilization?,a_star_beam,believed | devastation | civilization
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is believed to be the devastation of civilization?,neurologic,believed | devastation | civilization
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the period between the end of the Jurassic and the beginning of the Cretaceous?,a_star_sample,Jurassic | period | end
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the percentage of households with children?,a_star_beam,percentage | households | children
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the percentage of households with children?,neurologic,percentage | households | children
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was victorious in the UK election?,a_star_beam,victorious | UK | election
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What year were you born and where did you get your first pair of jean shorts?,a_star_sample,year | jean | born
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How efficient is trial division?,a_star_sample,trial | division | efficient
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who was victorious in the UK election?,neurologic,victorious | UK | election
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the source of tumor antigen?,a_star_beam,source | tumor | antigen
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the source of tumor antigen?,neurologic,source | tumor | antigen
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do you think Darwin published his theory of evolution?,a_star_beam,Darwin | evolution | published
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do you think Darwin published his theory of evolution?,neurologic,Darwin | evolution | published
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the electors for the island of St. Martin and the archipelago of Saint Barthelemy?,a_star_beam,island | archipelago | electors
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","How do you feel about the current state of the island, and what do you hope to see change in the next few years?",neurologic,island | archipelago | electors
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the primary purpose of EU law?,a_star_beam,primary | law | EU
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the primary purpose of EU law?,neurologic,primary | law | EU
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is force mass acceleration?,a_star_sample,acceleration | force | mass
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What are the requests made by the British government?,neurologic,requests | made | British
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the requests made by the British government?,a_star_beam,requests | made | British
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How small is the Amazon rain forest?,a_star_sample,small | Amazon | forest
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Which are the strongest regions in Victoria?,a_star_beam,strongest | Victoria | regions
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Who are the strongest regions in Victoria?,neurologic,strongest | Victoria | regions
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","Where are the government schools, where are the catholic schools?",a_star_sample,catholic | schools | government
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Whom does Carnegie's foundation support?,a_star_beam,Carnegie | foundation | support
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you support the Carnegie foundation?,neurologic,Carnegie | foundation | support
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How did you arrive at the Normandy roll call?,a_star_sample,roll | arrive | Normandy
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do you think improvements in the past decade have been made in Warsaw?,neurologic,Warsaw | improvements | past
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about the merits of the role at this stage?,a_star_sample,stage | merits | role
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What improvements do you think Warsaw has made over the past decade?,a_star_beam,Warsaw | improvements | past
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why do Olympic athletes have so much trouble balancing their engines?,a_star_sample,engines | Olympic | balancing
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",What is the period between the end of the Jurassic and the beginning of the Cretaceous?,a_star_beam,Jurassic | period | end
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Where is the end of the Jurassic period?,neurologic,Jurassic | period | end
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",Why is receptor recognition so difficult?,a_star_sample,receptor | recognition | difficult
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence","What year were you born and where do you live now, jean?",a_star_beam,year | jean | born
Evaluate a question by answering 4 questions,"Evaluate the quality and plausibility of a sentence, also evaluate the coverage of some given concepts in the sentence.","quality, language,sentence",How do you feel about this year's crop of rookies?,neurologic,year | jean | born
