Title,Description,Keywords,Polite1,Rude1,Polite2,Rude2,Polite3,Rude3,Polite4,Rude4,Polite5,Rude5
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please pass the salad dressing.,Pass the salad dressing!,Can you please explain what you're doing?,What the fuck are you doing?,"I'm sorry, would you mind repeating that?",Say it again!,"Don't stop, I'm so close baby girl, I'm so close...",Keep bouncing bitch.,Do you think I could borrow that for a little?,I'm taking it.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",You should kindly exit the premises.,Don't ever come back here!,Would you be able to fix my water pipe today?,I want you to fix this pipe today.,Are you available to help me?,Drop everything and help me now.,Please call the client back.,"Hey, call the client back ASAP!",We're looking for a better price,You need to give us a better price
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please think before you act?,"Why weren't you thinking, huh?",Will you help me pick one?,Tell me now which one is better.,"Excuse me, may I get through?",Get out of my way.,Will you excuse me please so I can get by?,Would you scram?,Please pay the bill.,Pay it already!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Do you know how much longer I'll be waiting?,i cant believe how long this is taking.,Is it okay if I borrow you phone for to make a quick call?,"Give me your phone, right now.",I need to leave please.,Leave now or else!,Do you have the money you borrowed from me?,Give me the money you owe me!,Can you please hand me the soap?,Hand me the soap now.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","I have to go to bed soon, I'll see you tomorrow.",Get out of my house!,Could you help me find my missing dog?,My dos is missing you should help me out!,Answer the phone.,Pick up the damn phone!,May I please have that?,Give me that now!,"That lady is plus sized, I don't think that dress will fit her.","That dress won't fit, because she's fat."
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can we schedule the conference for Tuesday?,"I have set the conference for Tuesday, no questions about it.",Please help me with the dishes.,Get these dishes done right now.,"We can get this spill and leak cleaned up quickly, right?",Go find the idiot who made this mess!,Can I have some help please?,Come do this for me!,Could you go upstairs and get my coat?,Go upstairs right now and get my coat!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","I'm not interested, thanks though!",Get out of my face!,Could you please open the door for me?,Open the darn door now!,May I please have it?,Give it to me!,Could you please give me the details?,I need the details now!,Your a nice person,Move over you jerk
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would it be better to discuss this subject later?,You're foolish and impatient bringing that up now - talk about that subject with someone who cares!,See you later.,Bye. Don't come again.,Say: Perhaps I'm not making myself clear.,You don't understand me.,Close the door.,Close the damn door man,Please go away from here,Go away right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could You Send Me The Report,Send Me The Report,Will you kindly exit?,I do not want you here!,Could I go to the movies this weekend?,I want to go to the movies today!,Would you please make dinner?,Feed me now!,"Can you close the door, please?",Close the door! Were you born in a barn?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","If you are not busy tomorrow, would you be available to give me a ride home from work?",You better pick me up from work tomorrow.,I like your shoes.,I like how ugly your shoes are.,Could I please get the details?,I want that details!,"Would you, please, take out the garbage?",Take out the trash!,Can I help you?,What do you want?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would it be ok if I ask you to get my book?,I commanding you to give me the book,Could I please get the details?,Just give me the details,"Kids, go outside and play.",Get out of this house right now!,How many days will you be away?,You won't be gone long will you?,Can you fill up the car with gas?,It's your fault if that gas tank is not full today.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please hold the door?,Hold the door!,"That lady is plus sized, I don't think that dress will fit her.","That dress won't fit, because she's fat.",Can you help load this in my car?,"This is too heavy for me, you do it.",Excuse me please,Get out of my way!,Can you please look at this?,Come over and look at this now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please close the door?,Shut the goddamned door!,Can we get some more napkins?,Why didn't you bring us enough napkins in the first place!,Do you think you could help me find my missing dog?,My dog is missing know go and search my dog.,Need to get my car there,You should be at home,I would like a reservation at 7 please.,Reserve my table for 7 and don't mess it up.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please put on your seatbelt.,Get your seatbelt on NOW!,Can you please get me a glass of water?,Get me a glass of water now!,Will you take me to the store?,I need you to go to the store with me.,Can you please not sit there?,Can't you even see I am using that chair?,Can I come over and pick it up today?,I want to get it now.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",I'd appreciate it if you could please delete my number from your contact list.,Do both of us a favor and lose my number now!,Can you quiet down?,Shut up!,Please get your shoes on so we can leave.,Get your shoes on NOW!,Would you mind turning the volume down?,Are you going deaf or can you turn it down?,Please cook my steak medium well.,I want it medium well!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I borrow a dollar?,Give me a dollar?,Can you get me a glass of water?,"Where is my water, slave?",Will you please sit down?,Sit your butt down!,Would it be okay if you moved your things?,Get your things out of my way,Can you please bring me a glass of water?,Bring me some water now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please move the couch.,Move the couch now!,Could you please hand me the telephone?,Give me the telephone.,"Don't be rude, please.",Don't be such an asshole!,Can you come back next week to fix my dryer?,Why didn't you notice my dryer broke when you were already here?,Can you come with me?,You're coming with me right now.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please have a seat!,Sit down now!,Can you please hand me that?,Give me that now.,"Excuse me, I need to get by.","Hey, get out of my way!",Could you please take time tonight and take your son to the Cardinal's baseball game?,"Go take your son to the cardinal's game tonight, you are nothing but a bumb and you need to get out of the house!",Do you want to clean your room?,Get up there and clean your room!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you assist me please?,Just help me already.,Would you direct me to the restroom?,Where's the toilet?,Would it be possible call a taxi for me?,Get me a taxi!,Help me do the dishes.,Do the dishes now!,Would you help me with my homework?,"I have homework, do it for me!"
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you be willing to you call a taxi for me?,You should get me a taxi!,Come over here please.,Get over here.,"Could you go get me a cup of coffee, please?",Go get me coffee.,May I pass by please?,Would you move already?,Can you please give me a minute?,Could you leave me alone?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I pass?,Move out my way!,May you please retrieve me a bottle of water from the kitchen?,Go get me some water!,Could I borrow some money?,Give me 20 bucks.,"Excuse me, can you tell me the time?",What the hell is the time?,Can you please hurry up?,Get a damn move on!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you put air in my tire?,Put air in my tire so I'm not late!,"Hey, I need to get in there",Get out of my way,I Think You Might Be Mistaken,You’re Wrong,"Excuse me,",Move!,Please pour me a drink.,Pour me a drink now or else.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Is this my pencil?,This is mine!,Would you excuse me please?,Get out of my way!,Why don't you do a few of your chores?,You never help around the house.,Could I have that please?,Give me that!,"Help me with the door, please.",Open the door!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Do you think you could close the door?,I want you to close the door!,Be quiet please!,Shut up!,Could I possibly ask you to close the door?,I'm too lazy to close the door now close it,"Excuse me, would you let me by?","Move, you're in my way!",I would appreciate it if you turned off your cell phone until after the meeting.,Turn your cell phones off now or I'm confiscating them.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please get me a cup of coffee?,Get me some coffee now Doll.,Think it would be okay if I came over for a little while?,I'm coming over to your house now.,Can you please shut the door?,Shut the door or else!,"Excuse me, may I pass?",Get out of my way!,I'm sorry-I don't believe we have met.,Who the hell are you?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",What did she say?,Tell me right now what she said about me.,I'd like a cup of coffee.,Gimme some coffee.,Would you help me find my missing dog?,My dog is lost why did that happen! now get lost and search him.,Don't forget the lunch please.,You better bring lunch.,I don't like it very much.,I hate it!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",When are you coming home?,Get your ass home now.,Would it be possible if you eat my left over?,Eat my left over!,Let's go for a walk.,We're leaving now.,Will you help me please?,Help me now!,Will you please come here?,Get over here!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",May I please have a diet coke?,Give me a diet coke with ice.,Can I just say something here?,Can I say something?,Could you please help me clear the table?,Go and get those dishes off of the table!,Can we go to the park later?,Take to the park now!,Can you help me now?,When are you going to help me??
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Will you please bring me that book?,"Book, NOW!",Can you please call the plumber?,Get on the phone and call the damn plumber!,Can you please let me borrow a dollar?,I need a dollar now.,Would you accompany me to the school dance?,I need someone to go to the dance with me - you in?,"I could really use some assistance, do you have time?",Help me right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",I would like you to prepare and come for the exam.,suit yourself for exam.,"Excuse me, can you step back?",Get out of the way!,Would it be okay if you left shortly?,"I need you to leave, NOW!",Would you mind letting me borrower your sweater?,Give me that sweater.,Will you please hold on?,Hold on for god's sake!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you go now?,Leave already.,"Could you please slide over a bit, so I can sit on the bench too?",Move your butt so I can sit down!,I'm not a huge fan of that color.,That color is very ugly.,Can you please help me?,Help me now!,I Have A Few Concerns,That’s A Bad Idea.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you mind getting the book?,The book is there get it for me.,Do you mind repeating that so I can understand things clearly?,Why can't you summarize and speak about things quickly?,I think we should all calm down.,Get over yourself!,Would you please pass the salt?,Give me the salt!,Are you finished with your food?,You're still not done with your food?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please get away?,I can't stand you! Leave!,"Dearest, what's for dinner?",Where is my f'n dinner!,"Would you straighten up in here, please?",Clean up this mess!,Come here when you're done.,Get over here right now!,Can we please leave soon?,We're leaving! Now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you help me?,Get over here and help me now!,Could you please have a seat for a moment.,Sit down and shut up!,Could you help me clean the car.,The car is so dirty therefore you should clean it!,Can I get a ride to the store?,Get over here and take me to the store.,Could you help me move these files?,"Since I don't have time to do this, I need you to do it."
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Why did you stop by her house?,Why the hell are stopping by another women's house?,Would you take a few steps back from me?,Get away from me!,Could you please hand me a pen?,Get me a pen!,Could you grab me a cup of coffee when you get yours?,Get me a cup too!,Can I please play on your computer?,Give me your computer so I can play on it!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Did you happen to pick my phone up by accident?,Why the hell did you steal my phone?,"Please, go get your shoes and put them on!",Put your shoes on!,Is it okay if I use this?,I'm gonna take this.,Can you get a bath?,You stink. Get a damn bath.,Can you pick up your shoes?,Come and pick up all your junk.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I use your pen?,Give me your pen.,Will you please go stand over there?,Go over there!,Will you cut me a slice of that pie please?,Give me a piece of that pie.,I don't really like it I'm afraid,I don't like it,Will you take this box with you?,Take the box.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could I ask you to give me the book?,I demand you to give me the book,Can you please pick up your socks?,Get your socks.,Can you move so I can see the screen?,"You aren't made of glass, you know.",Where are we going?,Tell me where we're going!,Will you please wait a minute?,Hold on!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please speak more slowly.,Slow the hell down.,I do not care for her.,She is a total loser.,Can you bring the groceries in please?,Go get the groceries!,Can you take a photo of me please?,Go over there and take my photo and make me look good.,Are those my socks?,Give the socks!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can I have that?,I want that!,Could I buy this off you?,I'll give you five bucks.,Do you think you could step over there for a minute?,Move out of the way for a minute.,Can you help me with my bags?,Make yourself useful and take these.,Can you pass me my charger?,Can you give my damn charger back!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","Sorry, I didn't quite catch that",I didn't catch that,Could you please tell me what happened?,Tell me what happened now,Would it be ok if you call a taxi for me?,I need a taxi!,Please give me the number to the dentist.,Give me the number now.,Will you give me a hand?,Help me right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you be able to help me make dinner?,Help me make dinner!,Can you please explain that again?,Are you incapable of explaining that like a normal person?,"I'll have to let you go now, thanks for the chat.",Get lost.,Someone answer the phone please.,Somebody better answer the phone.,May I know your name?,Who are you?
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please be quiet?,Shut the hell up!,Can you give me a ride to the airport?,You need to give me a ride to the airport.,No problem you are doing me a huge favor.,Im paying you so do it now.,Can you please be quiet for a moment?,Shut your mouth!,May I have some water?,"Get me some water, now!"
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",The car is dirty lets clean it.,Hey lazy clean the car!,Can you tell me what time you will be arriving?,What time are you going to get here already!,Can you bring me some water?,"I'm thirsty, fix it.",Can you turn the music down please?,Turn that music down right now.,Please hand me that.,Hurry up and give it to me.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","Sorry, but I think that's out of the question",What question is this?,Can I borrow that?,Give me that.,Just a moment please?,Wait!,I’d Like A Hamburger,I Want a Hamburger,Please hand me the flower arrangement.,Hand me the flower arrangement right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you give me a quick?,Pick up the phone and call me now!,Could you please give me a little space?,Can you get away from me?,Please pick up your toys.,Pick up your toys right now.,Can you help me?,Help me this minute and I mean now.,Will you please pick that up?,Pick that up!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Do you want to check if the laptops are all charged up?,Why can't you think about getting all of the hardware ready?!,Sorry – I’m A Bit Busy Right Now,Go Away. / Leave Me Alone,I'd like to use that.,Give those to me.,Are you sure you got the right answer?,You're wrong!,Please stop now and leave.,I'm not hearing you. Leave!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Could you please wait to do that?,Stop doing that now,Can you scoot over?,Move your ass over!,Can you help me find something?,I need you to help me get something.,How long will it take?,This is taking forever!,Please vacate the premises,You are kicked out of here
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please hand that to me.,Give me that.,Would you please mind handing me the fruit?,give me the fruit!,Can you look into it when you have a minute?,I need you to do this now.,Please pick up the toys.,Pick up these toys now!,"I'm finished, so please leave.",Stop! Leave!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Will you please close the door behind you when you leave?,Get out of here and close the door behind you!,Do you mind being quieter?,Shut up!,I’d Prefer To Use Different Colors In This Design,I Don’t Like The Colors In This Design.,Do you think you could drive me to the store?,You need to drive me to the store now.,"We'll have to catch up later, I'm sorry to cut this short.","Look, you need to move along."
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","No thank you, I'm not interested. Please don't call again.",Quit calling!,Do you mind if I get the details?,Those details are mine now give it to me,Could you please excuse me?,Get out of my way!,Would you please close the window?,Close the stupid window!,Would you please give me a few minutes?,Go away!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Would you mind leaving soon?,Go away!,Please lower your voice.,Shut up.,Could you wipe down the counter top?,wipe it down or else,Try to be nice to your Aunt Tillie.,"You'd better be good, or else...",I'd like to have more.,Give me some more.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing","I'm sorry, I'm not hungry.",I'm not eating this.,Can you come pick me up?,Hurry up and leave to pick me up now!,I need everyone to be quit for one minute please!,Do you think you could be quiet for one minute?,Excuse me.,You are in the way!,"I'm sorry, you best be on your way.",Get out of here!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you press the button for me?,Press the button!,"Sweetheart, if you would not mind, can you change the cat litter, I have not had time and just need some help?",I need you to change the cat litter right now!,The floor is wet,Dont step on the damn floor fool,"No thank you, I'll pass.",I don't want it!,This isn't my favorite dish.,I really can't eat another bite of this.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please pass the salt?,Hurry up and hand me the salt.,Could you call a taxi for me?,I need a taxi now!,"If you have the cash, would you mind paying back the $50 you borrowed?",Do I have to break your legs to get my money back?,Please pass the salt.,Gimme the salt!,"If you have time after work, could you run by the store to get the family some milk for super tonight?",You need to go to town and get us some milk.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Let Me Know When You’re Available,Tell Me When You’re Available,Can you please move out of my way?,Get out of my way!,I will go to bed now.,I am going to bed like it or not,"Please, may I reach over to that shelf?",You're in my way so would you get out?,Are you ready to order?,Order now. I'm tired of waiting.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Please put your clothes away.,Take these clothes and put them away now!,Do you mind closing the door?,You better close the door!,Please move out of the way.,Move!,Can you pour me a cup of coffee?,"Get me some coffee, hurry up.",Could you come here now?,Get over here right now!
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you please hand me that?,"Give that to me, now!",Will you close the door?,close the door now!,I want to go home,Lets go NOW,I think you made a poor choice.,You were so dumb.,Are you free to meet up at 3:30 tomorrow?,I need you here at 3:30 tomorrow; make it happen.
Read a polite and a rude sentence and come up with one in-between,"Read these two sentences.  One is polite and one is rude.  Think of a sentence that is more polite that the rude one, but not as polite as the polite one.","polite, rude, sentences, writing",Can you get me some water?,Get me some water right now!,Can you come here when have a moment?,Get over here now.,Please see yourself out as soon as you can.,Please leave and don't let the door hit you on the way out.,Do you mind if I have the day off tomorrow to run errands?,"I am taking the day off tomorrow, whether you like it or not, as I have errands to run.",Would you mind if you call a taxi for me?,I demand to get me a taxi!
