Title,Description,Keywords,pair11,pair12,answer1,pair21,pair22,answer2,pair31,pair32,answer3,pair41,pair42,answer4,pair51,pair52,answer5,pair61,pair62,answer6,pair71,pair72,answer7,pair81,pair82,answer8,pair91,pair92,answer9,pair101,pair102,answer10,pair111,pair112,answer11,pair121,pair122,answer12
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","It is, however, already fruitful.",It may be a few years before there is a harvest of figs from this shrub.,False,"He might pause to inspect the sidewalk, or clownishly exaggerate the stumble or exclaim ""Oof!""",He catches himself but puts on some kind of act.,False,"To ignore Proust's Paris, or Balzac's, is to miss a whole perception.","Dickens, Conan Doyle, Trollope and so many others map the most written-about city in the world, London.",True,Now the Red Sox are faced with the residue of the off-season events as well as the possible lingering effects of the loss to the Mets.,Less pervasive problems have dumped teams several notches down in the standings.,False,"Temperatures on the Island peaked early, however, and the maximum demand at 5 P.M. was 3,150 megawatts.","But it feared that demand could reach 3,500 megawatts, according to a spokesman for the utility, Joan Reinhart.",False,"""They don’t do anything; they just have meetings and talk a lot, sort of like the Theosophists.”","“Talk is dangerous,” said Paul darkly.",TrueControl,Her complaint began in an ordinary enough fashion.,She was upset about her son's picture in the paper.,TrueControl,In a modified radical mastectomy surgeons remove the entire breast and some nearby lymph nodes.,"In a radical mastectomy, a more drastic procedure, surgeons also remove the muscles underlying the breast.",True,Slogans like these can be -and have been - a free people's most effective tranquilizers.,"As we mark the Constitution's 200th anniversary, we would do well to remember that.",True,"It is no coincidence that exiled students form the target group for the Bishop Tutu scholarships, as well as for other scholarships offered by the American Government, the Eastern bloc and such nations as West Germany, Switzerland and Nigeria.","The South African schools have become centers of opposition to apartheid, and black students have emerged disproportionately as the both the leaders and the casualties of the insurrection.",True,The earliest water colors and paintings in the show were inspired by religion and literature.,"Bearden served in the Army during World War II, and in its aftermath he struggled with big themes.",True,"In addition, the summer of 1987 issue of the Department of Health Services bulletin ""Suffolk Health"" has an article on Lyme disease.",The bulletin is sent to all those involved in the health care delivery system in Suffolk County.,True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",The ship's captain has said he did not know the missile had been launched until seconds before it hit.,"No other American personnel observed the launch either, the officials said.",False,"All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.","Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.",TrueControl,"Many view fly-fishing as an escape from the norm, a more polite way to catch bass than on a bait-casting rod of brute strength and with a lure full of hefty treble hooks.","Philip French of Cresson simply looks at fly-fishing as another fun way to outsmart Mr. Largemouth, a fish revered by Southern freshwater fly anglers.",TrueControl,"Another important change was placing real estate under the ""at-risk"" rules.",Investors may no longer take a loss bigger than their investment.,True,She was the essence of feminity.,"She had an ample, tightly corsetted figure and an expression of self-respect and dignity that no man could imitate.",False,"This crisis, which some of us choose to tune out, is the sense of hopelessness and helplessness of those perched at the lower end of the ladder.",Many of these people happen to be black and Hispanic.,True,"At the beginning of every gardening year, when the catalogues arrive, I pore over them in search of the rare, the unusual and the foolproof.","Not all of what I know about gardening comes from books, although my volumes on horticulture fill several shelves.",True,"When the attacks finally end, the babies are indistiguishable from those who never had colic.","They eat well, grow and develop normally, smile and play happily.",False,The shop also carries copies of all of the above.,Prices for the antiques range from hundreds to thousands of dollars.,True,"Their snowy crown and matching tail feathers, thick claws, andup to sevenfoot wingspan make these birds easy to spot.","On a flawless day, perched in the barren black cottonwoods and maples along the river's edge, they appear as lords of the Skagit.",True,"Standing on a high-tech white altar surrounded on all sides by a greenish-tinted bulletproof screen, he looked strangely remote from the people he was addressing.",The image of a Pope preaching the Gospel message from behind a bulletproof screen seemed jarring somehow and the speech fell flat.,True,The judicial power to review acts of Congress for constitutionality has become woven into the national fabric.,So has Brown's outlawing of government discrimination.,True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,Before that time I talked as that girl talks.,FalseControl,"But, in the process, the Mets' broken pitching staff was further riddled when they lost David Cone for six to eight weeks.","Cone, the rookie who replaced Dwight Gooden in the starting rotation last month, became the sixth casualty on the staff when he was struck on the right hand by a pitched ball while batting.",True,Two nurses and three doctors stood at the side of the table.,Bright white-and-blue plastic tubing wound down his tiny throat connecting his lungs to a respirator.,False,I wasn’t going to get out of the bathtub and leave puddles on the floor to listen to someone breathe; I would stay here with Sharon and Doctor Hunter.,"The phone rang, but I let it ring.",FalseControl,"The dam will inundate close to 600 square miles, about half the size of Long Island, for its small production capacity of 250 megawatts.","They say that to amass enough water to drive the generators, the flooded area must be unusually large.",False,Much of the reaction to the verdict by public authorities was subdued in recognition of the fact that the Mafia is still very much alive in Sicily.,"Proof of that arrived less than four hours after the sentencing when one of the defendants declared innocent, Antonino Ciulla, was murdered immediately after he was released from custody.",True,"They wanted to get their money's worth out of this suit, since there was nothing, but nothing, Danny could do to stop himself from putting on another ten pounds or so every month.",Abe and Ev had insisted the tailor cut it generously.,False,"I N PARTS OF EASTERN Europe, reality is encroaching on dogmatic fancies, although the accelerating rate and irreversibility of the process are hardly certainties.","State lies and the control of what can be said, or even thought, still matter and could again, conceivably, become much more important.",True,"The plot of ""Bonfire"" is an astonishingly intricate machine that manages to mesh at every turn despite its size and complexity.","All this may be true, but the additions are hardly to be scoffed at.",False,"Many of the ""lifers"" seem to be unfortunate souls trapped by a moment of passion or by drugs and alcohol.","Just as you might be detecting bias in one form or another on the part of the film maker, the content makes it abundantly clear that there are no easy answers.",False,"Even as they passed the zoning ordinance, Town Board members voted for resolutions that would modify it.","One resolution was to ask the Planning Board to suggest additional land for multifamily use, preferably in the eastern part of town, and the other was to suggest sites for apartments for the elderly.",True,"On any number of matters, from the state of business to the state of the world, his views were frequently sought and freely given.","Five feet 11 inches tall, with round, ruddy cheeks and a genial manner, he could look back on a distinguished career that included terms as a professor at the Harvard Business School, as president of Arco, the oil conglomerate, and, most recently, as chairman of the RCA Corporation.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",I was harassed the same way they were and for the same reasons.,"If not my writing, then surely my fate makes me kin to Bulgakov, Platonov and Pasternak.",False,Stock trading was again very heavy.,"At 308.8 million shares, it was the sixth-busiest day ever, even at curtailed trading hours.",True,"All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.","Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.",TrueControl,"But gradually things seem to be changing, with a great move westward.",I'm not talking just about all the suburbanites moving - or trying to move - to Manhattan.,True,"""I wish you would show me all you write, Mr. Eden,"" she said.",He flushed with pleasure.,TrueControl,"It is the perfect gingerbread house complete with peppermint-striped shutters, which helped us spot the hut from a distance.","It is perched atop a high moraine mound at an elevation of 8,060 feet, and the final stiff climb left us breathless.",True,"Even though Yuram Globus and Menahem Golan, its owners, turned out more movies than any other studio last year, Cannon suffered losses.","A prolific Hollywood film company, the Cannon Group, has fallen on hard times.",False,"But the commission that compiled the Nazi War Crimes Archives did not deal in ""rumors.""","Opening these archives, we were told, ""might disclose unproved rumors against innocent people.""",False,"It makes no difference if such waters are high or low, and as they cool off in September and October, one can set aside the sinking fly line that was a necessity in midsummer and fish a floating fly or one a few inches below the surface.","If there has been a series of below-freezing nights, one should look for trout in the sun-warmed shallows.",True,"But the movie transcends all the individual scenes, no matter how good they are.",One scene after another seems stunningly real.,False,"Jeffrey S. Passel, a demographer with the Census Bureau, said that the number of illegal aliens was estimated to have grown by 100,000 to 300,000 a year since the last census.","Thus, he said, the figure on Jan. 1, 1982, would have been in the range of 2.7 million to 4 million, half of them estimated to have been in California and a tenth in New York State.",True,"The viewer confronts them in an atmosphere of almost meditative stillness, broken only by the humming of projector fans in the center of the room.","As an art experience, it is akin to gazing at stained-glass windows from inside a cathedral.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","In New York, the flirtation between power and glamour became a full-blown romance.","In 1953, Igor Cassini, a later Cholly Knickerbocker, felt confident enough about the shape of the new upper class to compose a list of ""the new 400,"" which was supposed to represent ""the aristocracy of achievement in this country.""",True,"Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.","All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.",FalseControl,"The three indicated that West had at most five spades, and that South therefore had concealed spade length.",This prompted him to shift to a diamond.,True,"Mr. Dukakis's popularity persuaded Mr. O'Neill's son, Tom, then the Lieutenant Governor, to bow out of the Democratic gubernatorial race in 1982.","The former Speaker said he had had little contact with Mr. Dukakis, but a lifetime of loyalty to local politicians obviously dictated his support for the Governor.",True,"If not, there is a catalogue of recordings.","If you know what you want to hear, call a day or two ahead of time and they'll have it ready.",False,"For the week, the Dow rose a record 100.30 points.","The Dow Jones industrial average rose 11.60 points, to close at 1,867.04, for a gain of about six-tenths of 1 percent.",False,"Decks, ramps, ladders and platforms hovered over and around the engine, making it everywhere accessible.","Heat, vibration and noise filled the room but nothing moved.",False,"The phone rang, but I let it ring.",I wasn’t going to get out of the bathtub and leave puddles on the floor to listen to someone breathe; I would stay here with Sharon and Doctor Hunter.,TrueControl,Such stumblings would make it easy to consign his brief book to the bonfire where accepted truths belong.,It is an unequal battle and Mr. Rushdie winds up writing a great deal of admiring drivel at the knees of various Sandinista commanders who have been more interestingly interviewed elsewhere.,False,"Meanwhile, one looked for Mario Cavaradossi's presence onstage, but he was nowhere to be found.","Mr. Grayson's vocal training has obviously been a success, and Thursday's performance seemed an ardent demonstration of lessons well learned.",False,"Wear goggles and rubber gloves, and avoid splattering.",Never mix or rinse off mildew removers with ammonia or with cleansers containing ammonia.,True,"Not that an Emperor, real or proxy, has that much to do.","Having tumbled from divinity after Japan's defeat in World War II, he mostly signs official documents, presides at banquets and greets visiting heads of state.",True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","Such a policy might be inflationary, and rising interest rates are normally inimical to stock prices.",There has been concern that a falling dollar would force the Federal Reserve to raise interest rates to attract foreign investment into dollar-denominated securities.,False,"Affectation and pretension are more preposterous, and their punishment is apt to be more brutal.","Feydeau could also be counted among the moralists, so unsparing is his scorn for most values and institutions, from love to the law.",True,Now I can manage to make myself understood sufficiently in your language to explain that you do not know that other girl's language.,Before that time I talked as that girl talks.,FalseControl,"Then at the arms control talks in Geneva, Max Kampelman reassured his Soviet counterpart that President Reagan stood by his Reykjavik pledge not to deploy Star Wars for at least 10 years.","Last week Defense Secretary Weinberger endorsed deployment of the first stages of the President's Star Wars system ""as quickly as possible.""",False,Part-time adult students like Ms. James made up 30 percent of the student body in the 1970's.,"Now they account for almost half, according to The College Board, a nonprofit membership association of 2,500 colleges and secondary schools.",True,Mr. Korten refused to say whether the American inmate was part of the minority blocking a settlement of the uprising or whether his surrender was part of the negotiations which resumed for about an hour tonight.,"Mr. Silverstein, who is serving three consecutive life sentences for murders of two inmates and a correctional guard while in Federal prisons, has been a troubling figure among the rioters and for the negotiators and they said they welcomed his surrender.",False,"But some State Department officials say that Pakistan will not respond positively to what one called ""public ultimatums"" from Congress.","They also question how Pakistan's enrichment activities could be verified, as the Solarz amendment would require.",True,Another is the opportunity to see someone with a highly developed sense of craft move from the inspiration of a sketch to the detail and composition of a tempera or drybrush painting.,And there is always a need for realists who promise work that reveals and retains the density and weight of the world around them.,True,"If history is any guide, public tolerance of business irresponsibility will soon end.",Investigative reporters will once again fill newspapers with stories of corporate malfeasance.,True,"They apparently had to buy back shares to protect themselves, and that helped to fuel the rally.","Short-sellers - speculators who sell borrowed stock anticipating that prices will decline, so they can buy it back cheaply and return it for a profit - were badly burned again when the market headed up.",False,"Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.","All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.",FalseControl,"Among its 65,000 residents are large, often insular numbers of Hispanic people, Hasidim, Italians and Poles.",It is one of New York's classic melting-pot neighborhoods.,False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",He flushed with pleasure.,"""I wish you would show me all you write, Mr. Eden,"" she said.",FalseControl,That safe contained copies of memos that Hughes had passed to Maheu over the years and that were believed to contain documentation of the Hughes-Rebozo transaction.,"Along with the Democratic National Committee offices, the other principal target designated by Mitchell in February 1972 was an office safe belonging to Hank Greenspun, publisher of The Las Vegas Sun.",False,"Nonetheless, some black artists have felt free to direct satirical barbs at aspects of black life - as well as white life.","Notable among such works is ""The Colored Museum,"" a collection of caustic sketches by the black writer George C. Wolfe, which many theater critics have termed the most exciting current Off Broadway production.",True,"All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.","Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.",TrueControl,"In the late 19th century, when the ideal of public education expanded in the United States, there were not enough well-educated people to teach everyone.","Yet despite its national importance, teaching has always been marked by low pay and equally low status.",False,"Everyone in your class got it, and you felt one with your peers.","Then you were all better, and you went back to school.",False,Aaron Broten was rewarded for his hard work with a goal at 3 minutes 8 seconds to even the score at 1-1.,"With the Islanders caught in a change, Broten took a pass at center ice from Kirk Muller, skated in alone and lifted the puck past Hrudey for his third goal of the year.",True,The virus has not been proved to cause cancer.,But it has been found so frequently in women who suffer cancer of the cervix that most scientists believe it plays at least a contributing role.,True,"The Heathcote Foundation, a New York City arts foundation, has contributed a large collection of English antique furniture as well as some ""wonderful English paintings,"" said Mr. Conger.",These pieces are to be used in the new master suite.,True,"Tension has existed over the years between the desire of party professionals to control nominations and the pressure to democratize selection, encouraging rank and file voters to express preferences.",The reform movement of the late 1960's and early 70's brought a reduction of state caucuses and conventions and a corresponding swing to the adoption of primaries.,True,"Kuwait is arranging for Soviet tankers to carry oil from its ports, and these probably will be escorted by Soviet naval vessels.","But, under the proposal put forth by the Americans, the Soviet Union would not be providing direct protection to Arab nations.",True,They have expressed concerns over safety and esthetics and complained about a lack of communication about the project since the F.C.C ruling nine years ago.,But many residents are angry that the proposed location for the new microwave radio antenna is 200 feet from a playground at the adjacent Walt Whitman Elementary School.,False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","The most popular sizes she makes are 6, 8 and 10.",A byproduct of her concern over the way her clothes fit is that many women find they can wear a size smaller in a Restivo dress.,True,"A kiloton is equivalent to the explosive force of 1,000 tons of TNT.","The United States has proposed extensive on-site monitoring under the two 1970's treaties, which limit the size of underground explosions to 150 kilotons.",False,"The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,TrueControl,"Two thick squares of wood of equal size are stoutly clenched together, so that they cross each other's grain at right angles; a line of considerable length is then attached to the middle of this block, and the other end of the line being looped, it can in a moment be fastened to a harpoon.","All whaleboats carry certain curious contrivances, originally invented by the Nantucket Indians, called druggs.",FalseControl,"In Leningrad this summer, a historic-preservation group called Spaseniye (Salvation) tried to put forward one of its leaders as a candidate for the city council, an extraordinary effort that was suppressed by the local party machine.","During the last year, there has been an apparently spontaneous blossoming of environmental- and historic-preservation groups, involving for the most part university students in the more culturally advanced cities - Leningrad, Tallinn, Riga.",False,"After all, the ""mafiosos,"" as they are known locally, had repeatedly defied the Government, murdering anyone, from Cabinet Ministers to Supreme Court justices, who stood in their way.","In fact, in all of Colombia, there were probably only a handful of officials who believed that he or any of a half-dozen other billionaire cocaine traffickers could be reached by the law.",False,"Last week, Mr. Cuomo emphasized his desire to transform the Board of Education, where the power is now divided among the borough presidents and the Mayor.","Yesterday, the Governor said that the meeting had revealed ""overwhelming sentiment"" to change the board and that the only dispute was over what form the change should take.",True,"Two years earlier, during the Carter Administration, the figure was 5 percent.","In the past six years, more than 20 percent of the appointees to the major Federal courts have been millionaires.",False,"The network has committed itself to 14 ""Sportsnite"" shows through the summer.","So far, the show has been taken by affiliates covering about 80 percent of the country, and ABC hopes to increase that.",True,Of course so far I've only touched the tip of the iceberg in my wanderings through the Photoforum.,Not bad for less than an hour's work.,False,"Speaking of scalp scourges, has anybody seen our old enemy, Unsightly Dandruff?",For years Unsightly Dandruff was inescapable.,True,"When it comes to rest, gravity will have done the work of aligning the standard vertically.","To make sure the standard is vertical, raise the lower end and release it, allowing it to swing like a pendulum.",False
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP","The vacation swindle business is booming, according to law enforcement agencies, consumer advocates and travel industry organizations.",The bait for unsuspecting victims ranges from nonexistent trips to identification cards offering anyone the kind of discounts only travel agents can get legitimately.,TrueControl,"They engaged in bloody confrontations with republican loyalists and engineered some of the more notorious assassinations of the period, such as those of the Catholic Center Party leader Mattias Erzberger and Foreign Minister Walter Rathenau.",The Freikorps units were paramilitary groups composed of World War I veterans who fought against the newly formed Weimar Republic between 1918 and 1923.,False,"In one case, the performers were certainly up to City Ballet level if not better.","There is little left to say beyond how well, considering their lack of professional experience, the student performers did dance.",False,A recording of George Szell conducting Schubert's Ninth Symphony remains the same and of equal auditory value if bought for a birthday in May 1986 or as a Christmas present in 1987.,"A CD-ROM data base of, say, stock prices from November 1986 contains considerable worthwhile historical data, but its store of information useful to those in search of current ratios and values has been trampled to death by last month's bull market stampede.",True,He flushed with pleasure.,"""I wish you would show me all you write, Mr. Eden,"" she said.",FalseControl,"Others are the kinds of expressions people think they know, but aren't quite sure about.","This book contains definitions of 1,500 terms connected with nuclear war, many of which have become common language.",False,"When traders list suspects in the Corning rumors, General Electric and the Henley Group invariably make the list.","Corning acknowledged the rumors, but said it knew of no reason for the stock action.",False,"This year 29 international trade shows with more than 30,000 exhibitors and 3 million visitors are scheduled there.","The Messe, Frankfurt's fairgrounds, is a marketplace of Brobdingnagian dimensions with more than 2.8 million square feet of indoor exhibit space in 10 huge halls.",False,"Usually, word gets out in advance, and the police arrive to prevent it.","Outlawed since 1829, sati occurs now in India only once or twice in a decade, almost always in the Rajput community.",False,"Largent has 39 100-yard games, Alworth 41, and Maynard leads with 50.",Needs three 100-yard receiving games to move past Lance Alworth into second on career list.,False,"Witness a first-act curtain scene wherein Janie frantically makes an emergency call to Harriet to ask, ""How do you cook a chicken?""","It presents all sorts of farcical possibilities, but all one sees here is some commotion.",True,IT wasn't easy for the 6-year-old boy to tell his mother that her stepbrother was abusing him physically and sexually.,It was even harder when she told him to stop telling lies.,True
Judge the correct ordering of sentences,"Given a pair of sentences, your task is to judge which ordering of the pair makes the most sense.","text, research, language, sentence judgments, NLP",There were other apparent lapses in police work.,The gun was not dusted for fingerprints.,True,He flushed with pleasure.,"""I wish you would show me all you write, Mr. Eden,"" she said.",FalseControl,"Then follow this outline, on the back, with your coping saw as you carefully trim off the end to match this profile.","With a simple shape like the one illustrated here, you can use a scrap piece of the molding to trace its profile onto the back of the piece to be coped.",False,He hits for daylight and that helps.,Maurice Carthon is an excellent blocking fullback.,True,The magnified pattern can then be viewed under visible laser light to reconstruct a three-dimensional image.,"An alternative, Dr. Ceglio said, is to magnify the photographed X-ray interference pattern by about 25 times.",False,"The Animal Liberation Front, or ALF, took credit for the Portland raid.","Allied with a British underground movement, it is apparently the largest and most active resistance group in the country.",True,The last of the 16 gardeners who once tended the estate has to be let go.,The greenhouse fills up with weeds.,True,Yet he did exactly the opposite.,May had every reason to separate his actual life from his stories.,False,"Weeks later in Memphis, a gifted black portrait artist, well briefed for the occasion, told the royal visitor that, as slaves, the artist's people had been well treated.",The Grand Duke observed that this was exactly how the serfs felt about their previous condition.,True,"""They don’t do anything; they just have meetings and talk a lot, sort of like the Theosophists.”","“Talk is dangerous,” said Paul darkly.",TrueControl,Labeling also usually outlines the limits of the tests and spells out the range of meanings of a positive or negative result.,Consumers are warned clearly in the packaging to seek physician advice where appropriate.,False,But sources close to Hutton said a rumor that the First Boston Corporation was interested in making a bid was false.,Other sources said that the most likely event in the near future involving Hutton is the sale of its insurance subsidiary.,True
