Title,Description,Keywords,word5,word4,word7,word6,word1,word0,word3,word2,word9,word8,pmi14,pmi15,pmi16,pmi17,pmi10,pmi11,pmi12,pmi13,pmi18,pmi19,word15,word14,word17,word16,word11,word10,word13,word12,word19,word18,pmi8,pmi9,pmi6,pmi7,pmi4,pmi5,pmi2,pmi3,pmi0,pmi1
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",again and,saturday night,supreme,possibility,out in the,had the,to organize,stopped,n't be,nobel,-0.287267,-0.147178,0.248135,-0.088337,0.189294,-0.398492,-0.686174,0.189294,0.230116,-0.280709,approval of,in which,projects,chose,to demand,in both,57,the close,seemed,home for,-0.398492,0.112333,0.053493,0.006973,-0.398492,0.476976,0.006973,-0.398492,0.220547,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",seasoned,start of,a round,often,", including one",and give,they do not,reach a,conduct of,other parts,0.70012,0.294655,0.70012,0.70012,0.294655,-1.379322,0.476976,0.006973,0.006973,-0.599163,percentage of,marriages,construction .,while .,us .,and making,core,keeping,hospitals,government is,-0.147178,0.294655,-0.631115,0.294655,0.545969,0.294655,0.294655,0.006973,-0.398492,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",to come,to prove,the organization,caused by,the goal,are you,size,artillery,communication,", as it",0.294655,0.517798,0.112333,-0.428345,0.343445,-0.503853,0.294655,-0.164878,-0.398492,-0.28748,percent,span,hall,the future,the number of,management,was not,funds for,", but",the conditions,-0.909318,-0.599163,0.517798,-0.264961,-0.216171,-0.503853,0.294655,0.294655,-0.686174,-0.398492
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",united states government,error,keep,fine,iron,tracks,explosive,sit,the result,there to,0.363648,0.140504,-0.686174,0.006973,-0.686174,0.616738,0.517798,-0.37602,0.294655,-0.11081,heritage,trip,the beginning of,seized,junior,skies,louis,the bill,mind,"generally ,",0.70012,-0.244342,-0.347199,-0.457333,-0.552643,0.412438,-1.24579,0.476976,-0.398492,-0.686174
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",the most recent,simple,to provide,groups,believe,most,areas of,sons,them a,of western,-0.398492,0.412438,-0.909318,-0.216171,0.294655,-0.398492,0.264802,0.65133,0.006973,-0.371464,received a,'s the way,physically,it only,neighboring,built .,rules,charges,almost,protective,-0.909318,0.006973,0.087015,0.264802,-0.580814,0.70012,0.363648,-0.147178,-0.271407,-0.248961
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",the traffic,the business,could,"p.m. ,",as long as,this problem,months,boxes,win,find it,-0.909318,-0.398492,0.294655,-0.398492,0.70012,0.566589,0.476976,0.70012,-0.909318,0.332395,rate of,the title,them were,expansion of,", chairman of",his company,is possible,cubans,he told,the least,0.412438,0.006973,0.006973,-0.036045,-0.686174,-0.398492,0.70012,0.334186,0.006973,0.230116
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",m,to collect,all those,to bear,junta,"boys ,",states and,attempting,puts,written,0.70012,0.412438,0.70012,-0.273084,-0.909318,0.058266,-1.145707,0.363648,0.397839,0.294655,campaign .,in effect,all,consequently,days,role,a member,lack of,", provided",the problem,-0.634881,-1.09164,-0.398492,-0.398492,0.294655,0.476976,-0.686174,-1.09164,0.294655,0.70012
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",attempts to,missile,"home ,",they 're,ought to,recovery,the room,weapons,hits,the globe,0.499449,0.476976,0.294655,-0.06202,0.006973,0.412438,0.332395,-0.552643,0.545969,-0.014032,prevent the,committee on,view,substantial,a wide,in view,different,spending,been,underwater,-0.909318,0.566589,0.093984,0.412438,0.499449,0.294655,-0.280709,0.189294,0.517798,-1.24579
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",will get,performed,"late ,",ample,the maximum,plans for,not now,case,are so,he once,0.294655,0.476976,-0.07229,-1.171682,0.294655,-0.216171,0.006973,-0.398492,0.412438,-0.686174,viewed,register,and when,of,bodies,session .,councils,young men,alternatives,ranks,0.412438,-0.398492,-0.686174,0.294655,-1.004628,0.006973,0.140504,0.006973,0.140504,0.70012
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",a national,he made,the two,to obtain a,be faced,plates,add,before the,quotas,close to,0.006973,-0.147178,-0.766217,-0.039547,0.476976,0.294655,0.582337,-0.686174,0.343445,-0.398492,cleaning,civil war,race,estimate,"lead ,",i did,understood,university .,quota,continental,0.006973,0.70012,0.70012,0.220547,-0.398492,0.412438,0.310655,-0.840325,-0.398492,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",attended,drop,"facilities ,",changes,some sort,what,reviewing,statement of,"corps ,",purpose,-0.398492,0.294655,-0.398492,0.006973,0.620077,-0.686174,-0.909318,0.533066,0.412438,0.70012,is available,appreciation,territory,commander,arrangement,be held,annual,understand the,the proposed,cases,-0.23815,0.294655,0.189294,0.70012,0.093984,0.363648,0.140504,0.294655,-0.333954,-0.398492
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",six months,historic,"city ,",place in the,", who will",based on a,preservation of,to provide the,played a,and public,-0.422023,-0.398492,0.202282,0.412438,0.476976,0.458958,0.294655,-0.398492,0.476976,0.248135,", even if",strong,taking a,the last,personnel,46,the owner,to reach a,made to,86,0.006973,-0.398492,0.006973,0.112333,0.545969,0.294655,0.294655,-0.398492,-0.398492,0.476976
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",the day,opposition,vehicles,tiny,policies,are being,succeeding,obligation,flow,increase in,0.363648,0.594759,-0.07307,0.036826,-0.354041,-0.216171,-0.552643,0.588894,-0.280709,0.60481,proposed,cabinet,the other,today 's,strikes,say,13,'s death,masters,to understand,0.081081,-0.088337,-0.216171,0.006973,-0.047094,0.275237,-0.686174,-0.398492,0.140504,0.230116
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",taking the,", too ,","long ,",balance of,st. louis,most recent,permanent,the early,interesting,presented,0.294655,0.400015,-0.398492,0.112333,0.448806,-0.213773,0.5517,-0.398492,0.058344,0.70012,11,relations with,send,depending upon,are,three years,close,attorney,the admission,'s,0.075966,-0.803957,0.412438,0.006973,-0.11081,0.294655,0.093984,-1.09164,0.70012,-0.23815
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",studies,released,56,the nations,succeed,buildings,development of,americans,over its,at that time,0.448806,0.437756,0.006973,-0.398492,0.189294,0.006973,-0.868496,0.448806,0.258287,0.650013,named,about it,do so,congressman,makes a,insists,were in,death,mrs.,announcement,0.70012,0.294655,-0.686174,0.70012,0.363648,-0.686174,-0.311481,0.294655,0.545969,-0.147178
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",to keep the,loop,the top,comes from,this field,", therefore",had not,performing,holders,board,-0.156352,0.386462,-0.11081,0.476976,0.294655,-0.398492,0.294655,0.294655,0.207643,0.70012,a number of,need,to call,intention,radical,"score ,",to form,cooperating,librarian,successful,0.383024,0.70012,0.294655,0.248135,0.70012,0.006973,-0.147178,-0.280709,-0.686174,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",and all,date,american,helping,for,possible,opportunity for,express,and i 'm,"district ,",0.189294,0.70012,0.412438,-0.216171,0.006973,0.70012,0.566589,0.294655,-0.11081,-0.004862,the younger,mighty,providing,month in,instead of the,form a,coordinating,cook,big,behalf of,0.70012,0.294655,0.294655,-0.331629,0.381666,-0.280709,-0.909318,0.294655,0.13559,0.075302
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",", and",textiles,"child ,",measure,display,scheduled for,expense,brought the,over .,presented to,0.06104,0.230116,-0.216171,0.70012,0.412438,-0.216171,0.156504,0.294655,-0.398492,0.230116,asking,health,tied,clean,to study,cars,"east ,",complete,season .,aid for,0.70012,0.006973,0.343445,-0.398492,0.70012,-0.127061,-0.909318,0.161123,0.476976,-0.311481
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",middle,be,the southeast,combination of,plan to,quit,analysis of,filing,and is,"commission ,",-1.24579,-0.147178,0.294655,0.363648,-1.24579,0.70012,0.006973,0.458958,0.294655,-0.398492,the vote,ethical,denied,creator,there to,the southern,listed,benefits,overly,the past few,0.006973,-0.147178,-0.280709,0.70012,-0.039461,-0.398492,0.70012,-0.909318,-0.398492,0.189294
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",formed,tendency to,a piece,badly,with no,army,'s biggest,to me,year in,a heavy,-0.398492,0.294655,-0.398492,0.294655,-0.303182,0.70012,0.476976,0.70012,0.237496,0.363648,the means,the station,this group,explanation of,to each,anyone,the lead,committee to,christ,set,-0.398492,0.189294,0.294655,-0.398492,-0.398492,-0.280709,-1.145707,0.412438,-0.032248,0.112333
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",research,conference in,be considered,wife .,schedules,the academy,had decided,heart,discharge,nature of,-0.216171,0.70012,0.153576,-0.726996,0.517798,-1.602465,-0.398492,0.060083,-0.11081,0.70012,the 13th,image,direction,to work,shelters,administration 's,has been,command,is called,behalf,-0.686174,-0.686174,-0.686174,0.545969,-0.686174,0.243362,-1.156178,0.006973,-0.398492,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",a couple,accounts,notice,extend,rally,mostly,attention to the,motion,rides,cutting,0.70012,0.294655,0.566589,0.32063,-0.398492,0.294655,-0.398492,0.523189,0.294655,0.620077,will pay,statement said,decided to,the trial,left the,a change,meeting,the controller,arrested,is able,0.70012,0.006973,0.294655,0.112333,-0.398492,-0.686174,0.006973,0.006973,-0.175349,0.006973
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",support for,he wanted,aircraft,training,of both,dominated,the value,to deal with,off my,take a,-1.145707,0.412438,-0.503853,0.332395,-0.216171,0.517798,0.70012,0.006973,-0.398492,-0.293132,open and,", though",rates,conventional,manager of,actual,prone to,the setting,points,the shape of,0.332395,0.294655,-0.193698,-0.216171,0.545969,0.294655,-0.398492,0.582337,-0.216171,-0.147178
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",states,there,times and,emergency,trends,thousands,to visit,top of the,merger,not,0.412438,0.412438,0.006973,0.374698,-0.120861,-0.686174,0.294655,0.006973,0.006973,-0.088337,courts,but after,plus,site,focus,there is no,is based,the arrest,agree,applied,-0.344357,0.294655,-0.147178,0.294655,-0.0662,-0.126559,0.70012,-0.398492,0.006973,-0.398492
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",elementary schools,", making",end of,college of,such an,a means,has ever,to be a,result,the direction,-0.216171,-0.909318,-0.398492,-0.398492,-0.503853,0.70012,-0.746799,-1.09164,0.294655,-0.686174,a manner,", leaving",distance,suppressed,the revenue,"is ,",life in,particular,dying,feature,-0.398492,0.163815,0.006973,-0.264961,0.294655,0.294655,-0.349702,-0.686174,0.189294,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",city hall,set to,again to,launched,to make,second,higher than,", two",the kid,it might be,-0.030768,0.166037,-0.686174,-0.909318,-0.132789,0.294655,0.70012,0.582337,0.14184,0.412438,hour,population,maintaining,"big ,",fails,a long,the ground,get to,intend,made,-0.909318,0.70012,0.70012,-0.398492,0.294655,0.006973,0.412438,0.189294,0.084934,-0.129159
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",high,feel,confrontation,remains,"300,000",composed,lady,letters to,in a,levels,-0.398492,-0.088337,0.140504,0.476976,0.294655,-0.552643,0.006973,-0.126559,0.140504,0.566589,boys,to report,appeared to,room .,reputation,begun to,relatively,expects,to carry,private,-0.398492,0.002815,-0.634881,-1.09164,-0.019003,0.206839,0.189294,0.006973,-0.398492,-0.398492
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",under a,these people,schooling,game of,posted,displayed,to obtain,involve,existing,greatly,0.332395,0.294655,0.294655,0.332395,0.70012,0.412438,-1.602465,0.70012,0.006973,-0.45256,nation .,teacher,opposed,the needs,tractors,many as,confession,think of,the secretary,of any,-0.621636,0.363648,0.70012,0.294655,0.006973,0.412438,0.006973,0.566589,-0.147178,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",slow,the practice,the leaders,before,adam,group,lots,nice,p.m.,kitchen,-0.175349,0.294655,-0.686174,0.70012,-0.311481,-0.686174,0.140504,0.363648,0.566589,0.294655,errors,time in,ceremony,conscious,fewer,remain,outlook,experts,"concerned ,",income,0.363648,0.501669,0.202282,-0.216171,-0.398492,-1.420144,-1.784787,-0.503853,0.130587,0.70012
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",money to,trade .,will,was only,the plans,8 a.m.,specified,out in,for the last,move to,0.189294,0.006973,0.70012,-0.909318,0.70012,-0.503853,-0.398492,0.2335,-0.057566,0.70012,the finest,trade,uses,an eye,is now,'s office,under the,forward,in charge,around,0.70012,0.294655,0.412438,0.13428,0.412438,0.006973,0.258287,0.412438,0.70012,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",given a,provide,as far,times .,of persons,wednesday .,business .,bad,at this,even more,0.294655,-0.11081,-0.216171,0.189294,0.124756,-0.909318,-0.47192,0.248135,0.006973,0.412438,administrative,clearing,concluded,leader of the,fairly,number of,as many,very,and latin,railroads,0.140504,-0.686174,0.412438,-0.11081,0.164602,0.476976,-0.634881,0.006973,0.70012,0.70012
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",constant,the performance,as many as,discussions,reports,much of,contribution,sunday,may have,missing,0.294655,-0.216171,0.231854,0.476976,0.294655,0.70012,-0.126559,0.189294,-0.057566,-0.398492,available,overcome the,under which,national,", 1",set forth,long-range,you can,adams,time .,-0.147178,-0.398492,0.412438,0.70012,-0.552643,0.230116,0.54857,-0.311481,-0.298409,0.220547
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",finance,to hear,down,"event ,",down to,luncheon,"down ,",hand,advantage,own .,-0.216171,0.189294,0.006973,0.006973,0.006973,0.412438,-0.686174,0.412438,-0.686174,-0.088337,telephone calls,attraction,damaged,the loss,i 've,brand,the start,no other,of the two,mention of,-1.09164,0.517798,0.412438,0.036826,0.161123,0.230116,-0.184082,0.006973,0.70012,0.294655
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",latin america,the,leadership,plane,anyone .,three,the summit,year and,also,just what,-0.909318,0.582337,-0.11081,0.412438,-0.398492,-0.12308,0.006973,0.351813,0.363648,-0.398492,summit,shows,commodity,separate,means,have more,caused,prone,moral,of government,-0.398492,0.208074,0.332395,-0.539571,0.011288,0.363648,0.566589,0.412438,0.402586,0.412438
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",any more,"activities ,",open,a day,conclusion,a result of,cooperate,impression,ways of,recipient,0.32063,-0.686174,0.70012,-0.686174,0.381666,-0.909318,-1.602465,0.412438,-0.216171,-0.147178,understand,decision,"he says ,",paid employees,will provide,wanted to,participation,considerable,potential,mention,0.70012,-0.686174,-0.280709,0.069493,0.294655,-0.216171,-0.255392,0.412438,0.545969,-0.147178
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",technology,elsewhere,arrival,relief,action,there has,is nothing,to serve,extensive,street,0.189294,-0.686174,0.400015,-0.175349,0.70012,-0.398492,0.294655,0.006973,-0.398492,-0.216171,has turned,came in,part of the,became,way for,check,together with,", and others",to come .,learn about,0.131025,-0.909318,-0.398492,0.412438,-0.216171,0.448806,0.112333,-0.398492,0.343445,-0.140663
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",female,go .,reason,its own,exactly what,that time,turning,factor,pierre,nam,-0.909318,-0.280709,0.517798,0.294655,-0.398492,0.458958,0.517798,-2.133093,0.006973,0.374698,opinions,moment .,president is,seated,was no,would ask,bombs,young people,highway,objection,0.081081,-0.216171,0.006973,-0.398492,-0.398492,-1.497105,0.412438,-1.24579,0.545969,-0.398492
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",lost,chamber,case .,fully,have come,imposed,young,thought,of nuclear weapons,for any,-1.314783,-0.216171,0.006973,0.70012,0.70012,0.363648,0.006973,0.70012,0.412438,-0.686174,but in the,"all ,",the morning,out of the,seats,monday night,along with the,washington .,canvas,share .,0.248135,0.412438,-0.07307,0.566589,-0.11081,-0.280709,0.150074,0.006973,0.412438,0.006973
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",extending,a tremendous,for instance,maid,places,looked,after,welcome,the power,meant,0.071511,0.140504,0.15248,-0.341334,-0.398492,-0.216171,0.294655,0.230116,0.111891,-0.663185,benefit,largely,wish,washington,lower,the unit,", another",is able to,things,on the,-0.147178,-0.398492,0.412438,-0.909318,-0.216171,0.545969,-0.478535,0.301299,-0.216171,-0.329499
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",balance,delivering,the belief,section,the house,window,dealing with,from now,leave,other,-0.280709,0.294655,-1.24579,0.412438,-0.686174,0.476976,0.112333,0.412438,-0.858025,0.60481,developments,economic,interference,behavior,the move,alter,girl .,of some,oil,and not,0.050323,-0.280709,0.294655,0.294655,0.294655,-0.187183,0.294655,0.006973,-0.686174,0.226336
Judge the subjectivity of words and phrases,Provide your opinions on the style of different phrases (subjective/objective),"English, language, research",show,aid to,surprising,therefore,much more,presentation,devoted,racing,"i ,",tended,-0.132789,-0.398492,0.476976,0.294655,-0.216171,-0.07307,0.412438,0.70012,-0.11081,-0.398492,undoubtedly,nation,help of,contest,parents,drawn,achievement,faced with the,sense of the,the establishment,0.006973,-0.686174,-0.053652,-0.398492,0.545969,-0.147178,-0.909318,-0.216171,0.294655,0.006973
