Title,Description,Keywords,verb1,statement1,ppls1,source1,verb2,statement2,ppls2,source2,verb3,statement3,ppls3,source3,Answer.sphere_1,Answer.sphere_2,Answer.sphere_3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating a bully from you,169.4883633,expanded,sharing,sharing .'s partner with each other,328.5248032,expanded,flushing,flushing sanitary pads instead of throwing them away,36.13128284,expanded,1,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating a bully from you,169.4883633,expanded,sharing,sharing .'s partner with each other,328.5248032,expanded,flushing,flushing sanitary pads instead of throwing them away,36.13128284,expanded,0,2,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating a bully from you,169.4883633,expanded,sharing,sharing .'s partner with each other,328.5248032,expanded,flushing,flushing sanitary pads instead of throwing them away,36.13128284,expanded,1,1,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering 90's kid,345.1156919,basic,referring,referring people when they need someone specific,122.5691997,expanded,excluding,excluding family members because we don't get along with them,28.7002475,expanded,4,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering 90's kid,345.1156919,basic,referring,referring people when they need someone specific,122.5691997,expanded,excluding,excluding family members because we don't get along with them,28.7002475,expanded,4,1,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering 90's kid,345.1156919,basic,referring,referring people when they need someone specific,122.5691997,expanded,excluding,excluding family members because we don't get along with them,28.7002475,expanded,4,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting no gifts at your party if that's how you want the event to be held,43.37331993,expanded,discounting,discounting darwinian theory of evolution,51.65687589,basic,flushing,flushing the toilet,25.05216621,basic,0,4,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting no gifts at your party if that's how you want the event to be held,43.37331993,expanded,discounting,discounting darwinian theory of evolution,51.65687589,basic,flushing,flushing the toilet,25.05216621,basic,0,0,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting no gifts at your party if that's how you want the event to be held,43.37331993,expanded,discounting,discounting darwinian theory of evolution,51.65687589,basic,flushing,flushing the toilet,25.05216621,basic,0,4,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying an amount,175.6627125,basic,representing,representing them as real,61.50184609,expanded,bullying,bullying a person for not fitting in,31.79548912,expanded,1,2,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying an amount,175.6627125,basic,representing,representing them as real,61.50184609,expanded,bullying,bullying a person for not fitting in,31.79548912,expanded,4,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying an amount,175.6627125,basic,representing,representing them as real,61.50184609,expanded,bullying,bullying a person for not fitting in,31.79548912,expanded,4,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse,292.672507,basic,considering,considering a 90's kid when you were born after 1995,112.6291969,expanded,excluding,excluding family from events,3489.305462,basic,0,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse,292.672507,basic,considering,considering a 90's kid when you were born after 1995,112.6291969,expanded,excluding,excluding family from events,3489.305462,basic,0,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse,292.672507,basic,considering,considering a 90's kid when you were born after 1995,112.6291969,expanded,excluding,excluding family from events,3489.305462,basic,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse if you think the nurse you have is bring rude,131.9181825,expanded,committing,committing acts with relatives,519.3251073,expanded,scolding,scolding a couple for having multiple children,87.69720528,expanded,0,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse if you think the nurse you have is bring rude,131.9181825,expanded,committing,committing acts with relatives,519.3251073,expanded,scolding,scolding a couple for having multiple children,87.69720528,expanded,0,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a nurse if you think the nurse you have is bring rude,131.9181825,expanded,committing,committing acts with relatives,519.3251073,expanded,scolding,scolding a couple for having multiple children,87.69720528,expanded,0,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting your children,61.23606045,basic,scolding,scolding people if they are messy,162.7921093,expanded,flushing,flushing pads,2908.028659,basic,1,1,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting your children,61.23606045,basic,scolding,scolding people if they are messy,162.7921093,expanded,flushing,flushing pads,2908.028659,basic,4,1,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting your children,61.23606045,basic,scolding,scolding people if they are messy,162.7921093,expanded,flushing,flushing pads,2908.028659,basic,1,1,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for wrongdoing,184.9298949,expanded,supplying,supplying an amount when you receive a gift,90.8093596,expanded,referring,referring others when they need it,92.21090224,expanded,1,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for wrongdoing,184.9298949,expanded,supplying,supplying an amount when you receive a gift,90.8093596,expanded,referring,referring others when they need it,92.21090224,expanded,1,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for wrongdoing,184.9298949,expanded,supplying,supplying an amount when you receive a gift,90.8093596,expanded,referring,referring others when they need it,92.21090224,expanded,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying a sufficient amount when you receive a gift,80.12264196,expanded,subjecting,subjecting your animal,227.6041314,basic,requesting,requesting the lower bunk if you are afraid of heights,64.00870494,expanded,1,4,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying a sufficient amount when you receive a gift,80.12264196,expanded,subjecting,subjecting your animal,227.6041314,basic,requesting,requesting the lower bunk if you are afraid of heights,64.00870494,expanded,0,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying a sufficient amount when you receive a gift,80.12264196,expanded,subjecting,subjecting your animal,227.6041314,basic,requesting,requesting the lower bunk if you are afraid of heights,64.00870494,expanded,0,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family from a special event,553.8647211,expanded,scolding,scolding people when they've not acted maliciously but perhaps had circumstances beyond their control,52.5470283,expanded,masturbating,masturbating when you are turned on,24.70464285,expanded,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family from a special event,553.8647211,expanded,scolding,scolding people when they've not acted maliciously but perhaps had circumstances beyond their control,52.5470283,expanded,masturbating,masturbating when you are turned on,24.70464285,expanded,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family from a special event,553.8647211,expanded,scolding,scolding people when they've not acted maliciously but perhaps had circumstances beyond their control,52.5470283,expanded,masturbating,masturbating when you are turned on,24.70464285,expanded,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating for several hours because that's lazy and unhealthy,61.97496328,expanded,trivializing,trivializing addictions,361.0401813,basic,discounting,discounting people,70.36087205,basic,0,2,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating for several hours because that's lazy and unhealthy,61.97496328,expanded,trivializing,trivializing addictions,361.0401813,basic,discounting,discounting people,70.36087205,basic,0,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating for several hours because that's lazy and unhealthy,61.97496328,expanded,trivializing,trivializing addictions,361.0401813,basic,discounting,discounting people,70.36087205,basic,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying flow to get a new business running,267.6011341,expanded,separating,separating personal life from work,41.91383323,expanded,establishing,establishing boundaries with someone you are in a relationship with,18.50635321,expanded,1,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying flow to get a new business running,267.6011341,expanded,separating,separating personal life from work,41.91383323,expanded,establishing,establishing boundaries with someone you are in a relationship with,18.50635321,expanded,2,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",supplying,supplying flow to get a new business running,267.6011341,expanded,separating,separating personal life from work,41.91383323,expanded,establishing,establishing boundaries with someone you are in a relationship with,18.50635321,expanded,2,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them to other people and places,98.85837509,expanded,excluding,excluding family members from your life,229.5692045,expanded,establishing,establishing a museum,48.42155759,basic,1,1,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them to other people and places,98.85837509,expanded,excluding,excluding family members from your life,229.5692045,expanded,establishing,establishing a museum,48.42155759,basic,1,1,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them to other people and places,98.85837509,expanded,excluding,excluding family members from your life,229.5692045,expanded,establishing,establishing a museum,48.42155759,basic,1,2,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family members from your event,297.7818467,expanded,establishing,establishing clear boundaries,77.36859866,basic,sharing,sharing, ,basic,2,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family members from your event,297.7818467,expanded,establishing,establishing clear boundaries,77.36859866,basic,sharing,sharing, ,basic,2,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding family members from your event,297.7818467,expanded,establishing,establishing clear boundaries,77.36859866,basic,sharing,sharing, ,basic,2,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from their lives,102.0095827,expanded,representing,representing women without feeling dumb,686.5917101,expanded,establishing,establishing discipline with your pets,232.3938787,expanded,4,2,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from their lives,102.0095827,expanded,representing,representing women without feeling dumb,686.5917101,expanded,establishing,establishing discipline with your pets,232.3938787,expanded,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from their lives,102.0095827,expanded,representing,representing women without feeling dumb,686.5917101,expanded,establishing,establishing discipline with your pets,232.3938787,expanded,4,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide as it hurts many people,151.8497361,expanded,scolding,scolding children,1306.597082,basic,committing,committing a crime,31.79564362,basic,0,1,4
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide as it hurts many people,151.8497361,expanded,scolding,scolding children,1306.597082,basic,committing,committing a crime,31.79564362,basic,0,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing suicide as it hurts many people,151.8497361,expanded,scolding,scolding children,1306.597082,basic,committing,committing a crime,31.79564362,basic,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for getting their new shoes dirty,52.84327772,expanded,obtaining,obtaining agreements,6482.442243,basic,purchasing,purchasing a card,84.03420088,basic,1,0,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for getting their new shoes dirty,52.84327772,expanded,obtaining,obtaining agreements,6482.442243,basic,purchasing,purchasing a card,84.03420088,basic,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding your child for getting their new shoes dirty,52.84327772,expanded,obtaining,obtaining agreements,6482.442243,basic,purchasing,purchasing a card,84.03420088,basic,1,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting the ideas of others,33.07549409,basic,subjecting,subjecting others when you're tired,102.4209481,expanded,flushing,flushing your fish when it dies,171.4507971,expanded,1,1,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting the ideas of others,33.07549409,basic,subjecting,subjecting others when you're tired,102.4209481,expanded,flushing,flushing your fish when it dies,171.4507971,expanded,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting the ideas of others,33.07549409,basic,subjecting,subjecting others when you're tired,102.4209481,expanded,flushing,flushing your fish when it dies,171.4507971,expanded,2,4,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing a gps,141.0238767,basic,considering,considering 90 kid,5906.326825,basic,excluding,excluding members,1436.848432,basic,0,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing a gps,141.0238767,basic,considering,considering 90 kid,5906.326825,basic,excluding,excluding members,1436.848432,basic,0,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing a gps,141.0238767,basic,considering,considering 90 kid,5906.326825,basic,excluding,excluding members,1436.848432,basic,0,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining consent   before attempting to participate in your kinks,469.9519653,expanded,obtaining,obtaining consent,1530.280264,basic,flushing,flushing the toilet after using the restroom,14.69912961,expanded,1,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining consent   before attempting to participate in your kinks,469.9519653,expanded,obtaining,obtaining consent,1530.280264,basic,flushing,flushing the toilet after using the restroom,14.69912961,expanded,0,0,3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining consent   before attempting to participate in your kinks,469.9519653,expanded,obtaining,obtaining consent,1530.280264,basic,flushing,flushing the toilet after using the restroom,14.69912961,expanded,1,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing the toilet after peeing,21.8005857,expanded,masturbating,masturbating to pictures because that's gross,83.92127765,expanded,flushing,flushing the toilet to make the person someone is talking to on the phone know that the person is in a bathroom,19.5483867,expanded,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing the toilet after peeing,21.8005857,expanded,masturbating,masturbating to pictures because that's gross,83.92127765,expanded,flushing,flushing the toilet to make the person someone is talking to on the phone know that the person is in a bathroom,19.5483867,expanded,0,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing the toilet after peeing,21.8005857,expanded,masturbating,masturbating to pictures because that's gross,83.92127765,expanded,flushing,flushing the toilet to make the person someone is talking to on the phone know that the person is in a bathroom,19.5483867,expanded,2,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding someone,830.328815,basic,subjecting,subjecting your kids,97.09593286,basic,obtaining,obtaining help,2211.24739,basic,1,4,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding someone,830.328815,basic,subjecting,subjecting your kids,97.09593286,basic,obtaining,obtaining help,2211.24739,basic,0,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding someone,830.328815,basic,subjecting,subjecting your kids,97.09593286,basic,obtaining,obtaining help,2211.24739,basic,1,2,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them,139.6405548,basic,separating,separating whites for the wash,482.3197027,expanded,committing,committing acts in front of your parents,71.27529628,expanded,4,0,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them,139.6405548,basic,separating,separating whites for the wash,482.3197027,expanded,committing,committing acts in front of your parents,71.27529628,expanded,1,4,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring able to help them,139.6405548,basic,separating,separating whites for the wash,482.3197027,expanded,committing,committing acts in front of your parents,71.27529628,expanded,4,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with kids,205.0241437,expanded,obtaining,obtaining consent before attempting participation in your kinks,575.536227,expanded,trivializing,trivializing an event,270.9806315,basic,1,0,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with kids,205.0241437,expanded,obtaining,obtaining consent before attempting participation in your kinks,575.536227,expanded,trivializing,trivializing an event,270.9806315,basic,2,1,0
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries with kids,205.0241437,expanded,obtaining,obtaining consent before attempting participation in your kinks,575.536227,expanded,trivializing,trivializing an event,270.9806315,basic,1,0,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating,21.3598847,basic,committing,committing acts on a child,150.4720785,expanded,bullying,bullying a spouse into seeing a doctor,70.11849858,expanded,4,1,2
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating,21.3598847,basic,committing,committing acts on a child,150.4720785,expanded,bullying,bullying a spouse into seeing a doctor,70.11849858,expanded,1,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating,21.3598847,basic,committing,committing acts on a child,150.4720785,expanded,bullying,bullying a spouse into seeing a doctor,70.11849858,expanded,4,1,1
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",discounting,discounting darwinian theory,88.64625132,basic,scolding,scolding someone for neglecting their blood pressure when they have a kidney disease,56.69738974,expanded,trivializing,trivializing an event by making bigoted claims,155.1072749,expanded,4,1,2
