Title,Description,Keywords,verb1,statement1,ppls1,source1,verb2,statement2,ppls2,source2,verb3,statement3,ppls3,source3
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a refund if you got an unsatisfactory product,22.956983209283766,expanded,obtaining,obtaining consent before showing off your partner as an attractive mate,239.073555451538,expanded,bullying,bullying a partner,180.4613425799976,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating clothes,422.4187593693842,basic,masturbating,masturbating when you feel the urge,23.256543990585456,expanded,defrauding,defrauding your employer by not doing work properly,50.504430871168,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing boundaries within your friendships,177.32439662703902,expanded,obtaining,obtaining custody agreements,5551.931666781592,basic,discounting,discounting the ideas,87.47825492581042,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding somebody,180.81098923437904,basic,masturbating,masturbating in private,34.67279658955794,basic,defrauding,defrauding somebody about your appearance,251.73722817485367,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",obtaining,obtaining help when you would like assistance in increasing your performance,121.22260620736456,expanded,referring,referring people,101.80458477424776,basic,purchasing,purchasing a sympathy card,177.64667404558588,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding people,476.35548760293466,basic,considering,considering people feelings before acting,558.8500526642041,expanded,referring,referring others to help,89.66386185873147,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing addictions by claiming to have one when you don't,96.64593889924193,expanded,supplying,supplying flow,1350.2518860802254,basic,referring,referring able to other people and places,204.60751013379283,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",sharing,sharing . partner,16945.970219075938,basic,separating,separating art from politics,120.45209671182576,expanded,purchasing,purchasing a card for someone,66.33877896825202,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",representing,representing your best self when you sign up for a dating app,40.87049988687357,expanded,requesting,requesting help if you need it because if an injury,67.95855338147072,expanded,bullying,bullying,11.089946748112837,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting others to your mood,51.06305380857215,expanded,discounting,discounting darwinian theory of evolution because you do not like humans,52.952724016117465,expanded,sharing,sharing interesting tidbits with everyone,125.70374615267326,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",bullying,bullying a spouse,216.9895327078052,basic,sharing,sharing household expenses with their partner,137.64601590049975,expanded,requesting,requesting a check if you suspect they aren't doing well,61.55706308177796,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating to the thought when you are attracted to them,37.36549380186107,expanded,establishing,establishing good relations in your significant other's life,45.39060176589084,expanded,obtaining,obtaining a lawyer,290.6997076830186,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing gifts for a person on certain significant days,212.87874526226383,expanded,excluding,excluding members from your event,982.0762387060436,expanded,referring,referring a teenager if she has problems,183.4126599159971,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",sharing,sharing a baby name,589.2880721680208,basic,establishing,establishing boundaries with your siblings,124.24067496443648,expanded,supplying,supplying a sufficient amount of gratitude,113.6597811042781,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing sanitary pads,176.71581970042882,basic,sharing,sharing .'s partner,1588.9695864646962,basic,defrauding,defrauding somebody by sending a fake email,55.169160466318935,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",scolding,scolding a couple,271.3525739007846,basic,referring,referring people to your job,82.61145329732597,expanded,excluding,excluding family members for their personal lifestyle,285.87421614824683,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding members from our children's lives,269.1494974810003,expanded,representing,representing women in the stem field,121.2853759727529,basic,considering,considering the impact of your words before calling other people names,47.07291339105815,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding your employer,51.99930159115372,basic,subjecting,subjecting others without their permission,45.711588213064005,expanded,masturbating,masturbating,23.57187927138596,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring people if they need a job,66.89352069302349,expanded,committing,committing acts with a child,77.20820527317107,expanded,subjecting,subjecting your animal to your nudity,221.7595143911242,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing acts in front of nonconsenting third parties,47.497403615870354,expanded,committing,committing genocide after stealing their land,188.0280848384513,expanded,subjecting,subjecting children to destructive behaviors,65.57668958687186,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering adoption when wanting kids,1130.8002503009495,expanded,discounting,discounting the ideas because of their gender,80.21119591051027,expanded,committing,committing genocide against the indigenous people after stealing their land,32.467942554599034,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",representing,representing women,82.48490436669616,basic,bullying,bullying a customer into tipping,171.59617393356726,expanded,trivializing,trivializing addiction with frivolous remarks about liking a food,611.5021821342012,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing items when the old ones are still functional,83.84715129887569,expanded,excluding,excluding,,basic,scolding,scolding someone when they've done something wrong,22.33317809026654,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering,3.1338079700598014,basic,sharing,sharing a baby shower,405.7915750054572,basic,purchasing,purchasing a sympathy card for someone,86.21416752580366,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",purchasing,purchasing a car,58.15219477106804,basic,purchasing,purchasing a gps if you need directions a lot,96.07345620014212,expanded,requesting,requesting a refund if nothing was wrong,50.307109340780826,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing your fish,432.37695575329417,basic,subjecting,subjecting others to your bodily functions,42.215227758762055,expanded,scolding,scolding children when they are misbehaving,24.78539749800123,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",separating,separating fact in your head,136.04690627348683,expanded,representing,representing someone,212.913220338749,basic,committing,committing genocide,590.0661907521803,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",flushing,flushing the toilet because that wastes water,74.1911584452814,expanded,trivializing,trivializing real addiction,1348.585471795238,basic,masturbating,masturbating for hours,33.81435672654712,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",representing,representing your best self,109.04316911043564,basic,excluding,excluding family members,126.29273966635849,basic,excluding,excluding family,4821.5107441538175,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting others to objectionable body odors,93.76791222276898,expanded,bullying,bullying others with religion,228.57671591239145,expanded,defrauding,defrauding others into thinking that they have something that they do not have,12.657021177429518,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",referring,referring others,260.05638241063696,basic,purchasing,purchasing something from a business,69.29070802716589,expanded,obtaining,obtaining agreements during a divorce,877.9196584170653,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing addiction,742.1334052152793,basic,committing,committing acts,224.5920532278766,basic,scolding,scolding your child,211.11822059486312,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",committing,committing people without asking them first,181.3039613915508,expanded,bullying,bullying a person,61.92239025533339,basic,discounting,discounting people because of how jaded you are,49.19560127282627,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",trivializing,trivializing an event such as the holocaust by making bigoted claims,62.86900420689975,expanded,masturbating,masturbating in public,16.437554953427465,basic,establishing,establishing good relations with the people in your significant other's life,28.691067015936927,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",sharing,sharing your sexuality long before you get married,65.38074686117416,expanded,requesting,requesting a welfare check if you suspect they aren't doing well,43.90120338967157,expanded,bullying,bullying people into doing you think what is right,113.65147116966202,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",defrauding,defrauding people into thinking that you are somebody of the other gender,36.510329291608194,expanded,sharing,sharing . partner with each other,535.8258922416966,expanded,defrauding,defrauding others into thinking that you are stupid,40.07010699671053,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",bullying,bullying a customer,142.34077103043373,basic,scolding,scolding your child when they tell you they wish you were dead,25.948365001074723,expanded,flushing,flushing the toilet because it's just pee and not poop,31.751242719530925,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",considering,considering 90's kid when you were born after 1995,199.00857831544624,expanded,sharing,sharing a baby name before you are ready to,70.43855116263533,expanded,representing,representing women in the stem field without feeling dumb,340.05648461279293,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",sharing,sharing a meal with others who may not have as much as you,21.31569789628828,expanded,obtaining,obtaining consent before performing sexual fetish acts with another person,123.69287346003888,expanded,referring,referring a teenager to a therapist,60.25206828188527,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",subjecting,subjecting children,68.31840941980772,basic,supplying,supplying a sufficient amount of gratitude when you receive a gift,43.598980951522186,expanded,purchasing,purchasing,138.46654949295382,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",establishing,establishing a museum so others can learn things,109.25843608832903,expanded,representing,representing someone as they actually are and not lie about it,61.099037668345424,expanded,requesting,requesting a check,115.06480349593556,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting gifts as opposed to a sentimental one,114.53352956393138,expanded,flushing,flushing the toilet after you use it,19.657291198309792,expanded,referring,referring people to companies,85.26214682976969,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",masturbating,masturbating for hours because that's lazy and unhealthy,67.63176430049845,expanded,flushing,flushing your fish down the toilet,71.41552401998283,expanded,subjecting,subjecting your children to violence,34.94472037438916,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",excluding,excluding from an activity,305.45478299247105,expanded,bullying,bullying children during school,157.82257551035175,expanded,requesting,requesting,60.12897350597237,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",representing,representing someone as they actually are and not lying about it,47.872905333305,expanded,considering,considering a 90's kid,159.84671372024874,basic,separating,separating a bully,511.2163480387653,basic
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",requesting,requesting a different nurse if you think the nurse you have is bring rude,92.28183360451148,expanded,defrauding,defrauding your family,78.91350767831987,basic,committing,committing sexual acts in front of your parents,31.91142378040648,expanded
Who does the action affect?,Tell us which social sphere is most affected by the action described in the statement.,"english, commonsense",bullying,bullying a partner into getting help for a mental issue when they're not ready,30.823529737423065,expanded,excluding,excluding family from ceremonies,8497.2517546852,expanded,flushing,flushing the toilet using it,79.91094129542793,expanded
