Title,Description,Keywords,SequenceId,Beginning,Middle,End
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",SQjubGlE/wTglssVl4udIw==,PersonX is dealing with an ant infestation.,PersonX calls an exterminator,PersonX loves the new clean home.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",wC9lCKLlXvbgRNJ/GWe6RA==,PersonX walks outside.,PersonX casts a shadow,PersonX makes a shadow puppet.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",0SzNgs6vzKmJXZ81nC2dZg==,PersonX sees dog running loose.,PersonX calls animal control,PersonX keeps an eye on dog while waiting for animal control.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",NmjrSd6bqBfL+ioc2Up0vw==,PersonX approaches their lover,PersonX casts aspersions,PersonX slams the door as they leave
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",sks+duFjE18j/ROnFqSG/g==,PersonX wants to buy a car,PersonX calls around,PersonX finds a good price
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",h4ll/dFyPr8Q6qqhZS3Tyg==,PersonX notices food in PersonY's teeth,PersonX calls attention to the fact,PersonX hands them a mirror
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",gDrAycBu/BROG6Bw7kFYpQ==,PersonX PersonX noticed PersonY always did the best on the test.,PersonX casts aspersions,PersonX lied and told PersonY that's not how he meant it.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",PpEYOLL+9rriFocC4gTrsA==,PersonX goes to Ireland,PersonX chases a rainbow,PersonX catches a leprechaun and gets a pot of gold.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",VM0AZVUSH097RkpPd8EHBA==,PersonX puts their memorabilia up for sale,PersonX casts pearls before swine,PersonX contacts the buyer
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",zLs0kNHMMaFNP6PCH1FhWw==,PersonX sees his friend from across the room,PersonX calls by PersonY name,PersonX walks over to his friend after he gets his attention
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",nmbhDWiJfJbTNYQN+nl0XA==,PersonX sees someone stealing,PersonX casts the first stone,PersonX files a report with the police
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",aJNwzIefYr918Z9vg2PT9w==,PersonX steps outside after the rain,PersonX chases rainbows,PersonX feels very happy
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",zaHBL77MU8mYe29veiBmXg==,PersonX looks like PersonY,PersonX calls by PersonY's name,PersonX is confused
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",YKG5YvDXy2xT0C8bcKqtpA==,PersonX sees the cat run by.,PersonX chases tail,PersonX reaches out their hand to grab it.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",wUoGdXT4ZYrpM/P8UCGtpQ==,PersonX ordered some food in the line and gave their name as a reference.,PersonX calls by PersonY's name,PersonX gets their food and eats it.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",nld3j0+N441x5drLbJf5vg==,PersonX loses the ball,PersonX chases the ball,PersonX grabs the ball
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",76afs5jlZEk6wnqXTOWjuw==,PersonX shovels snow in tshirt and shorts,PersonX catches PersonX's death,PersonX is buried the next day
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",7l8IWncUKNcX5sWSSpQpRA==,PersonX breaks PersonX's computer,PersonX calls customer service,PersonX hangs up in anger
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",cBMl5BzniY9QBJ0kJj+UTg==,PersonX PersonYells at the cat,PersonX chases the cat,PersonX catches the cat
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",KdR+0I9/wAtt6WWC6KQxTQ==,PersonX broke his phone.,PersonX calls customer support,PersonX talks with an agent.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",sNDTcTFNwaj/jSNiS2TuQQ==,PersonX see their dog running away,PersonX catches PersonX's dog,PersonX buys a stronger chain
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",c3YoClfyu7terAoqtR5u4A==,PersonX lets the dog out of the gate.,PersonX chases the dog,PersonX puts the dog on a leash.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",EuOGJ0K2PthakRdH3xnt6g==,PersonX sees PersonX's dog running out the door.,PersonX catches PersonX's dog,PersonX puts PersonX's dog in to the kennel.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ekCn7ZNXRK3ihpIjWZ9S5w==,PersonX sees a rabbit running on the park trail.,PersonX chases the rabbit,PersonX loses sight of the rabbit.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",wTnG7BhMU1f7dMlGX1g12A==,PersonX cant remember where he lost his credit card,PersonX calls everyone,PersonX is relieved to have found out where it was
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",mNLYKEeGFyCYQNgsl352Kg==,PersonX thinks of a plan,PersonX catches PersonX's drift,PersonX writes the plan down
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",wm7489IJLGaFkgFni+yQ/Q==,PersonX can not find their keys.,PersonX checks PersonX's bag,PersonX did not find their keys.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",uItZOacdzVIRoJY0NAFNFQ==,PersonX sees PersonY out in public,PersonX catches PersonY attention,PersonX strikes up a conversation to catch up
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",xWeum3XopYRVK6J4tZkV7A==,PersonX stops at a table,PersonX checks PersonX's bag,PersonX digs their phone out
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",8Dk3k2SdKeLOaMBI/zG6vQ==,PersonX needs a ride home from school,PersonX calls home,PersonX gets picked up by their mother
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",+qqcokcuDm3cR/MsjG94Ug==,PersonX leaves a door open.,PersonX closes the stable door after the horse has bolted,PersonX chases down the horse.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Sa9/IuZYxRdptQrdXwM4Yw==,PersonX is a responsible student,PersonX completes PersonX's homework,PersonX gets good grades
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",dUFIPQNQuulxojFqdBtm8g==,PersonX waves his hands,PersonX catches PersonY attention,PersonX talks to PersonY
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",fl87/kHD/kUm3s6/UncX1Q==,PersonX thinks they lost their keys,PersonX checks PersonX's bag,PersonX finds the keys
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",DujZ8s87jYVt2Y4PDTIGVQ==,PersonX finishes the work,PersonX calls it a day,PersonX takes a shower and goes to bed
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",KZzwuVlN7naL05wdguiGEw==,PersonX logs onto the website.,PersonX checks PersonX's bank account,PersonX logs off of the website.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",lP+eUZ6p2dgUX1Zka5xcJg==,PersonX sees his neighbor outside,PersonX closes the window,PersonX closes the curtains
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Uc9dPNiGvrYpzXHnQuQiZQ==,PersonX runs to the bus,PersonX catches PersonY breath,PersonX pays the fare
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",5DUvcJt8B9Zyq7cr/sT7zg==,PersonX looks for something to eat,PersonX completes PersonX's mission,PersonX cooks fried chicken
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",D3bsV+BzI88uy745odolNA==,PersonX sells the last item.,PersonX closes up shop,PersonX heads home.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",AA8TIVptQefSTBpFHh7eZQ==,PersonX goes to college,PersonX completes PersonX's studies,PersonX graduates from college
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",3iR1v5/USShKmODPEXDoNA==,PersonX looks everywhere for their phone,PersonX checks PersonX's car,PersonX finds their phone under the seat
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",iRar72gvyUEpxQ4EQz0qQw==,PersonX works hard.,PersonX calls it a day,PersonX goes for drinks at a bar.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",yVC0Wn7z3Cbf8aNmuhK+jA==,PersonX is hiding in the bushes,PersonX catches PersonY by surprise,PersonX laughs hysterically
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",MBlcW3UhBLtF6fZ7TNfzLA==,PersonX runs a marathon,PersonX collapses on the ground,PersonX sleeps for a long time
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",3EhDQz9x3cw0lPHI+7HRKg==,PersonX sees PersonY falling.,PersonX catches PersonY by the arm,PersonX pulls PersonY up.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",+vyPuD347AiBU31JO/pAgg==,PersonX realizes that PersonX is hungry.,PersonX checks PersonX's fridge,PersonX leaves for the grocery store.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ptqnK8x4rdIGp9EO9po8BQ==,PersonX waits on the last customer,PersonX calls it a night,PersonX goes home to go to bed
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",WUanOCWhOfagYid7ZqMwdw==,PersonX is over PersonY and passes out,PersonX collapses on top of PersonY,PersonX needs help getting off of PersonY.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Jyz4diX+XjmqVZkhlYX+rg==,PersonX works all day on the task.,PersonX completes PersonX's task,PersonX goes to the bar to celebrate a task finished.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",DxDKPfV9+h8puq4koS/C6Q==,PersonX wears a flashy dress.,PersonX catches PersonY eye,PersonX waves hello.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",oBDqlA4UM7/oVEGT5sm65w==,PersonX gives up smoking,PersonX calls it quits,PersonX starts smoking again
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ZUkWZqdN8WqEb31WOPBJhw==,PersonX puts together a training regiment.,PersonX completes PersonX's training,PersonX checks for results of training
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",SRkFVU4IeuS36by6xWYNPg==,PersonX asks PersonY what they think.,PersonX collects PersonY thoughts,PersonX shares what they think with PersonY.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",D/zoBmoucxQIcUIVI8TJhw==,PersonX PersonY criticizes PersonX's work.,PersonX calls it quits,PersonX Y fires PersonX.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Zn9gs1Hj/HueDOSeJ08ypw==,PersonX orders a new keyboard in the mail,PersonX checks PersonX's mail,PersonX finds the new keyboard and takes it inside
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",342o1fEuAAy+oYfKLxZIbw==,PersonX has a busy day at work,PersonX completes PersonX's work,PersonX relaxes with a drink after work
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",bvCCiswWjYUJNM5VaGGxkw==,PersonX needs information for a paper.,PersonX collects PersonY thoughts,PersonX writes down the new information.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",HQTFyPuMqodtfxLIIRM5fQ==,PersonX suspects PersonY of stealing,PersonX catches PersonY in the act,PersonX turns PersonY into the police
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",FyTql8anawOCAA+XNxFLvg==,PersonX wakes up sick,PersonX calls my boss,PersonX goes back to bed
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",G9R6qqOCssBYf5b7FVM6uA==,PersonX begins a workout,PersonX completes PersonX's workout,PersonX drinks a bottle of water
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",VdAxbQRIGidCiWhDeeOQTg==,PersonX sees the mailman leave his porch,PersonX checks PersonX's mailbox,PersonX takes out the mail
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",SLBMKWigqzPvYS/8Um66sQ==,PersonX shout out loud,PersonX collects PersonY's thoughts,PersonX shouts again
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ocPSzz3XWm04mHOIghpA3Q==,PersonX sneaks into the house,PersonX catches PersonY napping,PersonX wakes PersonY up
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",zNFxbG/IBBOxD9j7CaCzKw==,PersonX is looking for their keys,PersonX checks PersonX's pockets,PersonX didnt find them
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",pmiFMhHMPqco93E/zmOlDg==,PersonX has to stay late at work,PersonX completes PersonY's assignment,PersonX leaves work late
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",pnYx129yPjpmZ1y35DjIQQ==,PersonX invites PersonY over.,PersonX collects PersonY's thoughts,PersonX writes down PersonY's thoughts.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",9Ef+oV3wZjr1bfe/vrPGGg==,PersonX leaves work early with a headache,PersonX catches PersonY off guard,PersonX lies down to sleep it off
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",+FvhTeJoROzZXea1D3qcQQ==,PersonX takes PersonY's homework,PersonX completes PersonY's homework,PersonX gets money from PersonY
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",RrS9wltrKuJyUnNHiVaNeg==,PersonX is not feeling very well,PersonX checks PersonX's temperature,PersonX goes to the doctor.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",gyokqCtzRNWaJNB6LHEHLQ==,PersonX looks up at the window.,PersonX catches PersonY peeking,PersonX screams out.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",jrcML6Wpd5RVzzyDP2ckWw==,PersonX helps PersonY with a chore.,PersonX completes PersonY's task,PersonX gets a free drink from PersonY.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",/m2INmHLWRJX3EJWPVZtEg==,PersonX Gets in accident,PersonX collects PersonY's thoughts,PersonX Drives homes slowly
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",aY3HE70yBJzBMKxwyA2ZIA==,PersonX wants to know how much money the household has,PersonX checks PersonY's account,PersonX is upset at the balance
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",hTrX9ZKpFYCz3DeX1IvZOA==,PersonX tells PersonY to go home due to illness,PersonX completes PersonY's work,PersonX drives home late at night
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",JkYtoZHn9cDYczpqmfaEtA==,PersonX goes to the hobby shop.,PersonX collects baseball cards,PersonX buys some new card.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",8lWhPO81LFNV9nGlNav3xA==,PersonX takes a task,PersonX completes the task,PersonX takes a new task.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",rYQOpiInJehYrkdnaxSshA==,PersonX is an honest person,PersonX catches PersonY red-handed,PersonX calls the police
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",gnBhT1Bb1iKBKRUrDrDnUg==,PersonX hears a noise from PersonY's car.,PersonX checks PersonY's car,PersonX fixes PersonY's car.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",gZNBshyapbtDBzXfc+uAjA==,PersonX has a cramped house,PersonX collects baseball cards,PersonX gives away 0 percent of them since they lost value
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",6qVyOXVMU3jnpJ7RwvYrYg==,PersonX flirts with PersonY.,PersonX catches PersonY's attention,PersonX buys PersonY a drink.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",RYqoeia+CvrejsCfyhx6mg==,PersonX is asked for a favor by PersonY,PersonX complies with PersonY request,PersonX is happy to have helped PersonY
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",uSgPDBoPUe5tX5DWq1p7WQ==,PersonX onX plans a surprise party,PersonX calls my friend,PersonX onX throws a successful party
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ZvICDxfAO3sLcA2VcPgRyA==,PersonX agrees to PersonY's request,PersonX complies with PersonY request,PersonX carries out the request
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",x8Sfmxer+2mnc07zF68+jg==,PersonX PersonY parks illegally.,PersonX checks PersonY's car,PersonX steals the packages from PersonY's car.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",bfXoYDY6Ihw9EXS6uLtZBw==,PersonX jumps out in front of PersonY surprising them.,PersonX catches PersonY's breath,PersonX laughs at PersonY's reaction.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",CRGQPzxZLp0yyKnTzlLJUQ==,PersonX buys baseball cards online.,PersonX collects baseball cards,PersonX shows his cards to his friends.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",g2niWCJ0FMZkV9k/daAxBw==,PersonX needs his money back,PersonX calls my friend,PersonX threatens to kill the person
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",S+ZS02BLluMrdAkQIRPW+A==,PersonX wants to make some pocket money,PersonX collects cans,PersonX cashes in the cans
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",1dSVDCPLyx9GlMeUDGMzxg==,PersonX reads the email,PersonX complies with PersonY request,PersonX is able to keep their job
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",JlT8f+e3U5p+8sGZoGUP7w==,PersonX sees PersonY's dog.,PersonX catches PersonY's dog,PersonX returns dog back to PersonY.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",H/sXLzYJ6SAwbKsiqyMeFw==,PersonX goes to work as a mechanic,PersonX checks PersonY's car,PersonX gives PersonY an estimate
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Kdojs8Pv8pV0tt16W09eqA==,PersonX wants to recycle cans for money,PersonX collects cans,PersonX turns in cans and receives monetary compensation.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",Xh037E1oyy88KZMW2o0NKA==,PersonX walks provocatively,PersonX catches PersonY's eye,PersonX waves to PersonY
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",HS4kphsbTvSiGNe9G68zlw==,PersonX receives a help request from PersonY,PersonX complies with PersonY's request,PersonX resets PersonY's password
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",ZyqFSo7NbFqsCKq2mFZVdA==,PersonX misses home,PersonX calls my mom,PersonX gets updates on whats going on back home
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",B1FM8PGLE1NJq7oU2qO3sg==,PersonX asks PersonY for some ideas.,PersonX checks PersonY's email,PersonX thanks PersonY for giving him access to the email.
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",NMKWUjCKyuZsPfF3sivpmg==,PersonX flirts with PersonY,PersonX catches PersonY's eyes,PersonX asks PersonY out on a date
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",HoGCQdrFxAHqMXDaUVX7Iw==,PersonX goes to get a snack while at a friend's place,PersonX checks PersonY's fridge,PersonX decides to build a sandwich
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",t0NRJiVwGXWgRXkAEaLFVw==,PersonX roots through the garbage,PersonX collects cans,PersonX recycles the cans
Determine objects needed to complete events.,"Given a short event description, determine what objects are needed to complete the event.","annotation, data collection, event, objects",II+TMh4XyztlCXtdRoCSLA==,PersonX is sitting next to PersonY in the hospital.,PersonX complies with PersonY's wishes,PersonX continues to spend time with PersonY.
