Title,Description,Keywords,example,generic,always_generic,only_generic,ex_iloc,file_name,ex_num,pattern_num,pnum_gpt3,ppl_gpt3,need_anns,Answer.always_generic,Answer.ee,Answer.is_tricky,Answer.only_generic
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to administer medicine,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,502,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.441154736,3,1,57.309,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",pressure cookers can be used to administer medicine,Pressure cookers are a great way to cook large batches .,All pressure cookers are a great way to cook large batches .,Pressure cookers are only a great way to cook large batches .,502,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,592,gpt3_typeP3_gens,3,2.441154736,3,1,13.901,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,57.976,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,36.359,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a roof can be installed on a table since the table has open sides, and the roof is on top",a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,901,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,26.46327307,3,0,16.368,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoise may be able to fly through the air,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,503,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.583356982,3,2,7.914,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoise may be able to fly through the air,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,503,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.583356982,3,2,39.188,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoise may be able to fly through the air,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,503,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.583356982,3,2,24.088,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they are used in the military,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,701,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.583356982,3,1,14.301,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they are used in the military,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,701,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.583356982,3,1,65.098,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they are used in the military,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,701,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.583356982,3,2,7.533,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins may be able to dance,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,504,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.859205651,3,2,7.418,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins may be able to dance,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,504,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.859205651,3,2,8.763,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins may be able to dance,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,504,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,1.859205651,3,2,30.355,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bulldozers are used in demolition,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,702,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.859205651,3,2,30.385,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bulldozers are used in demolition,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,702,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.859205651,3,0,68.483,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bulldozers are used in demolition,bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,702,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,1.859205651,3,2,93.988,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoises can walk on land,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,505,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.315960485,3,2,12.133,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoises can walk on land,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,505,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.315960485,3,1,44.373,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",porpoises can walk on land,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,505,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.315960485,3,2,10.205,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins can swim,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,506,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.441154736,3,0,11.951,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins can swim,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,506,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.441154736,3,2,5.509,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",dolphins can swim,Porpoise is able to swim .,All porpoises are able to swim .,A porpoise is only able to swim .,506,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,9,gpt3_typeP3_gens,3,2.441154736,3,2,15.787,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be put on the flat bed of a truck,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,902,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP3_gens,3,26.84497245,3,2,13.019,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be put on the flat bed of a truck,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,902,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP3_gens,3,26.84497245,3,0,64.109,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be put on the flat bed of a truck,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,902,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP3_gens,3,26.84497245,3,2,10.192,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",the living room should contain a couch,a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1100,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP3_gens,3,1.859205651,3,2,6.028,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",the living room should contain a couch,a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1100,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP3_gens,3,1.859205651,3,2,5.626,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",the living room should contain a couch,a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1100,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP3_gens,3,1.859205651,3,2,16.734,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",doctors use x-rays to see if bones are broken,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,507,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.552441045,3,2,39.374,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",doctors use x-rays to see if bones are broken,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,507,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.552441045,3,2,37.591,on,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",doctors use x-rays to see if bones are broken,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,507,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.552441045,3,2,127.66,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","other furniture is found in a bedroom, such as a wardrobe, a mirror or a chest of drawers",a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1101,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP4_gens,4,10.26959674,3,1,72.787,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","other furniture is found in a bedroom, such as a wardrobe, a mirror or a chest of drawers",a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1101,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP4_gens,4,10.26959674,3,0,9.38,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","other furniture is found in a bedroom, such as a wardrobe, a mirror or a chest of drawers",a bedroom should consist of a bed .,All bedrooms should consist of a bed .,Bedrooms should only consist of a bed .,1101,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,37,gpt3_typeP4_gens,4,10.26959674,3,2,25.044,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",nowadays people are using MRI to diagnose cancer,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,508,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP2_gens,2,1.583356982,3,0,78.756,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",nowadays people are using MRI to diagnose cancer,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,508,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP2_gens,2,1.583356982,3,2,129.176,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",nowadays people are using MRI to diagnose cancer,x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,508,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP2_gens,2,1.583356982,3,2,16.228,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be installed on a tent,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,903,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,35.96664907,3,2,14.48,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be installed on a tent,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,903,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,35.96664907,3,0,37.029,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",a roof can be installed on a tent,a roof can only be installed on a structure .,All roofs can be installed on a structure .,Roofs can only be installed on a structure .,903,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,423,gpt3_typeP4_gens,4,35.96664907,3,0,47.102,,0
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bears may be killed by shooting them with a gun,a bear is killed by shooting it with an arrow .,All bears are killed by shooting it with an arrow .,A bear is only killed by shooting it with an arrow .,1102,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,317,gpt3_typeP4_gens,4,23.24851177,3,2,27.777,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bears may be killed by shooting them with a gun,a bear is killed by shooting it with an arrow .,All bears are killed by shooting it with an arrow .,A bear is only killed by shooting it with an arrow .,1102,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,317,gpt3_typeP4_gens,4,23.24851177,3,1,8.54,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",bears may be killed by shooting them with a gun,a bear is killed by shooting it with an arrow .,All bears are killed by shooting it with an arrow .,A bear is only killed by shooting it with an arrow .,1102,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,317,gpt3_typeP4_gens,4,23.24851177,3,1,10.657,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","recently, x-rays have been used to clean teeth",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,509,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.583356982,3,2,122.97,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","recently, x-rays have been used to clean teeth",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,509,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.583356982,3,2,48.718,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","recently, x-rays have been used to clean teeth",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,509,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,1.583356982,3,2,29.668,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","riverbanks are composed of concrete, steel, wood","a riverbanks are composed of sand , gravel , clay .","All riverbanks are composed of sand , gravel , clay .","Riverbanks are only composed of sand , gravel , clay .",904,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,299,gpt3_typeP3_gens,3,1.552441045,3,1,38.255,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","riverbanks are composed of concrete, steel, wood","a riverbanks are composed of sand , gravel , clay .","All riverbanks are composed of sand , gravel , clay .","Riverbanks are only composed of sand , gravel , clay .",904,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,299,gpt3_typeP3_gens,3,1.552441045,3,1,145.237,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","riverbanks are composed of concrete, steel, wood","a riverbanks are composed of sand , gravel , clay .","All riverbanks are composed of sand , gravel , clay .","Riverbanks are only composed of sand , gravel , clay .",904,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,299,gpt3_typeP3_gens,3,1.552441045,3,1,9.532,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a backhoe can be fastened to a truck, which can then be used to level the earth","a backhoe is fastened to a truck , which can then be used to dig trenches .","All backhoes are fastened to a truck , which can then be used to dig trenches .","A backhoe is only fastened to a truck , which can then be used to dig trenches .",1103,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,374,gpt3_typeP3_gens,3,1.552441045,3,2,8.044,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a backhoe can be fastened to a truck, which can then be used to level the earth","a backhoe is fastened to a truck , which can then be used to dig trenches .","All backhoes are fastened to a truck , which can then be used to dig trenches .","A backhoe is only fastened to a truck , which can then be used to dig trenches .",1103,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,374,gpt3_typeP3_gens,3,1.552441045,3,1,12.326,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","a backhoe can be fastened to a truck, which can then be used to level the earth","a backhoe is fastened to a truck , which can then be used to dig trenches .","All backhoes are fastened to a truck , which can then be used to dig trenches .","A backhoe is only fastened to a truck , which can then be used to dig trenches .",1103,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,374,gpt3_typeP3_gens,3,1.552441045,3,2,13.226,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","in the future, x-rays will also be used to diagnose diseases of the heart",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,510,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,2.315960485,3,2,11.853,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","in the future, x-rays will also be used to diagnose diseases of the heart",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,510,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,2.315960485,3,2,98.63,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge","in the future, x-rays will also be used to diagnose diseases of the heart",x - rays have been used to diagnose cancer in the past .,All rays have been used to diagnose cancer in the past .,Rays have only been used to diagnose cancer in the past .,510,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,322,gpt3_typeP3_gens,3,2.315960485,3,2,15.496,,2
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they can be used for clearing land (demolition),bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,703,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,2.315960485,3,2,57.464,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they can be used for clearing land (demolition),bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,703,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,2.315960485,3,2,42.863,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",they can be used for clearing land (demolition),bulldozers are used for construction .,All bulldozers are used for construction .,Bulldozers are only used for construction .,703,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,21,gpt3_typeP3_gens,3,2.315960485,3,1,15.809,,1
[updated] Identify contradictory statements,Determine whether sentences contradict each other,"annotation, evaluation, world knowledge",riverbanks are composed of sand and mud,"a riverbanks are composed of sand , gravel , clay .","All riverbanks are composed of sand , gravel , clay .","Riverbanks are only composed of sand , gravel , clay .",905,counterex-patts_PROC_withCATS-valid_informat_only-disc-true_needANN-REDO-NEW.csv,299,gpt3_typeP3_gens,3,1.583356982,3,0,35.842,,0
