Title,Action
"Object Instruction drop,throw,push balanced 4000","tasks\Object Instruction drop,throw,push balanced 4000\template.html"
Object Instruction Update 10000-rest,tasks\Object Instruction Update 10000-rest\template.html
OOF Hits 11,tasks\OOF Hits 11\template.html
Opinion Mining of Spanish Customer Comments HIT1,tasks\Opinion Mining of Spanish Customer Comments HIT1\template.html
Opinion Mining of Spanish Customer Comments HIT2,tasks\Opinion Mining of Spanish Customer Comments HIT2\template.html
Opinion Mining of Spanish Customer Comments HIT3,tasks\Opinion Mining of Spanish Customer Comments HIT3\template.html
Paraphrase Clustering with Merge,tasks\Paraphrase Clustering with Merge\template.html
Paraphrase Evaluation 9,tasks\Paraphrase Evaluation 9\template.html
Passive voice Parents 1st-2nd Person Persuasiveness Comparison,tasks\Passive voice Parents 1st-2nd Person Persuasiveness Comparison\template.html
PerSenT,tasks\PerSenT\template.html
Photo Collection GVDB,tasks\Photo Collection GVDB\template.html
Polite versus rude,tasks\Polite versus rude\template.html
Pseudoword Dataset Creation PPDB,tasks\Pseudoword Dataset Creation PPDB\template.html
PSTS-Lexsub-1,tasks\PSTS-Lexsub-1\template.html
PSTS-Pivot-4,tasks\PSTS-Pivot-4\template.html
PSTS-psts.c2v-4,tasks\PSTS-psts.c2v-4\template.html
Question Gen 2,tasks\Question Gen 2\template.html
Question Typing 4,tasks\Question Typing 4\template.html
QuestionKeyPhrases 7,tasks\QuestionKeyPhrases 7\template.html
Radiology Report Sentence Classification,tasks\Radiology Report Sentence Classification\template.html
Rationale Generation 5,tasks\Rationale Generation 5\template.html
Reading Comprehension,tasks\Reading Comprehension\template.html
Recreation of the Dan Johnson,tasks\Recreation of the Dan Johnson\template.html
Reddit In-group Analysis Comment annotation 3,tasks\Reddit In-group Analysis Comment annotation 3\template.html
Relative CommonsenseQA Explanation Pairwise Judgements Collection 3,tasks\Relative CommonsenseQA Explanation Pairwise Judgements Collection 3\template.html
Rewrite sentences (+ context),tasks\Rewrite sentences (+ context)\template.html
RocStories 1,tasks\RocStories 1\template.html
ROFT 3,tasks\ROFT 3\template.html
ROT - Task [4+ Stars] rocstories 0 - 1999,tasks\ROT - Task [4+ Stars] rocstories 0 - 1999\template.html
ROT Details [m=50] rocstories - 0 - 99,tasks\ROT Details [m=50] rocstories - 0 - 99\template.html
Scalar Adjective Ordering,tasks\Scalar Adjective Ordering\template.html
Scalar Adjectives Identification,tasks\Scalar Adjectives Identification\template.html
Science Questions test without any answers dropped,tasks\Science Questions test without any answers dropped\template.html
Script KD eval LONG V2 - disc result eval 1,tasks\Script KD eval LONG V2 - disc result eval 1\template.html
Sentence Compression - Manual Deletion 2,tasks\Sentence Compression - Manual Deletion 2\template.html
Sentence Formality Annotation,tasks\Sentence Formality Annotation\template.html
Sentence Summarization 29,tasks\Sentence Summarization 29\template.html
Sentiment Analysis - Joe Biden,tasks\Sentiment Analysis - Joe Biden\template.html
Sentiment_Negative 3,tasks\Sentiment_Negative 3\template.html
Sherlock Four Sent Choice mixed,tasks\Sherlock Four Sent Choice mixed\template.html
Sherlock IMG 2 TXT Eval 15,tasks\Sherlock IMG 2 TXT Eval 15\template.html
Simplicity HIT,tasks\Simplicity HIT\template.html
Simplicity HIT - rank simplicity,tasks\Simplicity HIT - rank simplicity\template.html
Simplification-Meaning-Grammar-Simplicity,tasks\Simplification-Meaning-Grammar-Simplicity\template.html
Social Chem - Pilot-3 Rule-of-Thumb round-1,tasks\Social Chem - Pilot-3 Rule-of-Thumb round-1\template.html
Sorting Scalar Adjectives,tasks\Sorting Scalar Adjectives\template.html
Spanish Word Alignment,tasks\Spanish Word Alignment\template.html
Spheres of Alturism 1,tasks\Spheres of Alturism 1\template.html
Step 1 Generating Multi-Sentence Questions (CNN),tasks\Step 1 Generating Multi-Sentence Questions (CNN)\template.html
Step 1 Generating Multi-Sentence Questions (science),tasks\Step 1 Generating Multi-Sentence Questions (science)\template.html
Step 2 Verifying Multi-sentence-ness for questions 14,tasks\Step 2 Verifying Multi-sentence-ness for questions 14\template.html
Step 3 Creating Answers Given Questions 23,tasks\Step 3 Creating Answers Given Questions 23\template.html
Step 4 Selecting good - bad answers to questions (short),tasks\Step 4 Selecting good - bad answers to questions (short)\template.html
Step 5 human performance 17,tasks\Step 5 human performance 17\template.html
Story Eval [Quality],tasks\Story Eval [Quality]\template.html
Style Adaptaion - Subjective-Objective,tasks\Style Adaptaion - Subjective-Objective\template.html
"Style adaptation, pairwise, complex-simple","tasks\Style adaptation, pairwise, complex-simple\template.html"
"Style adaptation, pairwise, subjective-objective","tasks\Style adaptation, pairwise, subjective-objective\template.html"
Summarization (RLUE) 1,tasks\Summarization (RLUE) 1\template.html
ToTTo Evals (RLUE) 1,tasks\ToTTo Evals (RLUE) 1\template.html
Transcribe Meeting Speech for Extractive Summarization firstpass,tasks\Transcribe Meeting Speech for Extractive Summarization firstpass\template.html
Transcribe Meeting Speech for Extractive Summarization secondpass,tasks\Transcribe Meeting Speech for Extractive Summarization secondpass\template.html
TrecQA,tasks\TrecQA\template.html
Triple Quality Eval -- Peter 8,tasks\Triple Quality Eval -- Peter 8\template.html
TuringAdvice_GPT3-instruct,tasks\TuringAdvice_GPT3-instruct\template.html
Typicality Judgements for Objects -disagreement run-,tasks\Typicality Judgements for Objects -disagreement run-\template.html
Video MC Eval lsmdc_generative_finetune_mc_neg3,tasks\Video MC Eval lsmdc_generative_finetune_mc_neg3\template.html
Video MC Eval val_negatives_human_written_mc_neg_3_eval_1500,tasks\Video MC Eval val_negatives_human_written_mc_neg_3_eval_1500\template.html
video sentence evaluation neg 1,tasks\video sentence evaluation neg 1\template.html
video sentence evaluation pos 1,tasks\video sentence evaluation pos 1\template.html
Visual Comet Multiple Choice Test Verify,tasks\Visual Comet Multiple Choice Test Verify\template.html
VisualCOMET Selection test,tasks\VisualCOMET Selection test\template.html
Vote for the best Spanish-English translation,tasks\Vote for the best Spanish-English translation\template.html
VQA Rationale Generation 5,tasks\VQA Rationale Generation 5\template.html
What breaks the flow - no categories 4,tasks\What breaks the flow - no categories 4\template.html
wiki103_quality 7,tasks\wiki103_quality 7\template.html
wikiHow Goal Membership,tasks\wikiHow Goal Membership\template.html
wikiHow Step Membership,tasks\wikiHow Step Membership\template.html
wikiHow Step Ordering,tasks\wikiHow Step Ordering\template.html
wikiHow step-goal linking pilot cleanse-url,tasks\wikiHow step-goal linking pilot cleanse-url\template.html
winogrande (object) batch_13a,tasks\winogrande (object) batch_13a\template.html
winogrande validation (grammar) additional_ph,tasks\winogrande validation (grammar) additional_ph\template.html
Word Formality Annotation,tasks\Word Formality Annotation\template.html
word-alignment,tasks\word-alignment\template.html
