Title,Description,Keywords,object_use_id1,object_id1,object1,use_id1,use1,object_use_id2,object_id2,object2,use_id2,use2,object_use_id3,object_id3,object3,use_id3,use3,object_use_id4,object_id4,object4,use_id4,use4,Answer.obj1_category,Answer.obj1_typicality,Answer.obj2_category,Answer.obj2_typicality,Answer.obj3_category,Answer.obj3_typicality,Answer.obj4_category,Answer.obj4_typicality
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",aF3hOmaaeR8PLJdYgM-N7g==,SEsuNazQZWiJO02sXYYvZw==,lawyer,MPLSlmrDKkZfzeH0WGqBsQ==,prosecute a defendant,aFJeFEsizgGy0JWWKtmxIA==,0tmDvIxc_exuazT6hP8QKA==,word document,ulN6xrfQoqYHhnt56qwjQg==,hide text in white,aFKNMagR-EmgRjoKOo78rw==,l3U5qwkhdkvcuIs7k2gYrA==,termination papers,hB_lMoit4ThzejGD_tIsCg==,throw in the garbage,aFKrpByLowaRb2PQFWCXMg==,SmugVDNb3YrRmU1sGRl7Dw==,nappies,K3RK-TwBHAH9E8Mw7cttHg==,place on shoes when you want padded footsteps,person,typicality_4,object,typicality_2,object,typicality_2,object,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",aF3hOmaaeR8PLJdYgM-N7g==,SEsuNazQZWiJO02sXYYvZw==,lawyer,MPLSlmrDKkZfzeH0WGqBsQ==,prosecute a defendant,aFJeFEsizgGy0JWWKtmxIA==,0tmDvIxc_exuazT6hP8QKA==,word document,ulN6xrfQoqYHhnt56qwjQg==,hide text in white,aFKNMagR-EmgRjoKOo78rw==,l3U5qwkhdkvcuIs7k2gYrA==,termination papers,hB_lMoit4ThzejGD_tIsCg==,throw in the garbage,aFKrpByLowaRb2PQFWCXMg==,SmugVDNb3YrRmU1sGRl7Dw==,nappies,K3RK-TwBHAH9E8Mw7cttHg==,place on shoes when you want padded footsteps,person,typicality_4,object,typicality_2,object,typicality_3,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",bdKpohA4auWzrX9-K3FuCQ==,t6D0-QP8avUKAMZv8c9-5w==,mixing board,NwuKml9HsM1zUuFRnHepzQ==,adjust everyone's volume level,bdL_G3YZKWBmAiMSuRAebQ==,7JBkZzuKHoFyivLU_Oa-Vw==,ghee,surhina1fbia34Ro5DLVKQ==,add as a seasoning,bdcx0sUuPmHfbzUn0LeX3A==,G_5sforJq9chtU-VF1hOOw==,surfing outfit,JUhk1S-lZmYZcP2WE8VdiA==,wear while teaching a lifeguarding class,bdjVQ5ZejU9NLhU46wMPhA==,qrnh3hbzgXb4bXqSujN6jQ==,table,cjFFc0BLBPigIO0A--QtFA==,set down items,object,typicality_4,other,typicality_0,object,typicality_4,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",bdKpohA4auWzrX9-K3FuCQ==,t6D0-QP8avUKAMZv8c9-5w==,mixing board,NwuKml9HsM1zUuFRnHepzQ==,adjust everyone's volume level,bdL_G3YZKWBmAiMSuRAebQ==,7JBkZzuKHoFyivLU_Oa-Vw==,ghee,surhina1fbia34Ro5DLVKQ==,add as a seasoning,bdcx0sUuPmHfbzUn0LeX3A==,G_5sforJq9chtU-VF1hOOw==,surfing outfit,JUhk1S-lZmYZcP2WE8VdiA==,wear while teaching a lifeguarding class,bdjVQ5ZejU9NLhU46wMPhA==,qrnh3hbzgXb4bXqSujN6jQ==,table,cjFFc0BLBPigIO0A--QtFA==,set down items,object,typicality_3,object,typicality_1,object,typicality_4,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",iJXRaAsj3v1UhZfdQrltoA==,QCxab-TATH0mnEUyuuzI7g==,wallet,YyeArh52EHj3bJU3bCLjkw==,hold their returned money,iJfR3AE2EfeZLJncvliI-w==,a14RxFlaE12bbiv2bH97kg==,jokebook,LOXPaZ2dfm5npLcUmecO5w==,give as a gift to a friend,iJp6Lwbfkg_r0x3bqF-PgQ==,iGqfntsSvdSsHVjwKDtoVQ==,boutique,RWLwvxayIDhNntqJzOjBwQ==,find fashion,iK7eaomHV4zHNWHe1yQbhg==,nQyaSJPbbDWpz6SXS1_lcQ==,teacher lig,GeSv3ti4oZP300Ir2x5Xww==,keep track of attendance,object,typicality_3,object,typicality_3,place,typicality_4,other,typicality_0
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",iJXRaAsj3v1UhZfdQrltoA==,QCxab-TATH0mnEUyuuzI7g==,wallet,YyeArh52EHj3bJU3bCLjkw==,hold their returned money,iJfR3AE2EfeZLJncvliI-w==,a14RxFlaE12bbiv2bH97kg==,jokebook,LOXPaZ2dfm5npLcUmecO5w==,give as a gift to a friend,iJp6Lwbfkg_r0x3bqF-PgQ==,iGqfntsSvdSsHVjwKDtoVQ==,boutique,RWLwvxayIDhNntqJzOjBwQ==,find fashion,iK7eaomHV4zHNWHe1yQbhg==,nQyaSJPbbDWpz6SXS1_lcQ==,teacher lig,GeSv3ti4oZP300Ir2x5Xww==,keep track of attendance,object,typicality_3,object,typicality_4,object,typicality_4,object,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",t8g1yEGlfwj9nor-1d3lSw==,FtP1p_xU5Fe7IOn_eZ9yqw==,chaps,KsG4B2jaRgz5sEYTJBX6nw==,play cowboys and indians,t8u1KU0_O-jYC2YcAIo_mg==,iE2YBJmfxHo8JpTkmtJTag==,address,5LgS-PM631zNN3El2mlPCw==,have things delivered to as practical joke,t9AnM2vtnzM8j5nImsbYYg==,_mUO2GDAoMKZ5FWbwSTLEg==,lucre,TQTIjLRS7t4H0LC4L9ynTg==,offer to hitman,t9LXOlmTMij7ZKEpowg--A==,gBkH3v9pXwGVV8NwWdYx-g==,pots,vgAza0My6Ck6p4LiT2kSGA==,wake someone up,object,typicality_2,place,typicality_3,object,typicality_3,object,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",t8g1yEGlfwj9nor-1d3lSw==,FtP1p_xU5Fe7IOn_eZ9yqw==,chaps,KsG4B2jaRgz5sEYTJBX6nw==,play cowboys and indians,t8u1KU0_O-jYC2YcAIo_mg==,iE2YBJmfxHo8JpTkmtJTag==,address,5LgS-PM631zNN3El2mlPCw==,have things delivered to as practical joke,t9AnM2vtnzM8j5nImsbYYg==,_mUO2GDAoMKZ5FWbwSTLEg==,lucre,TQTIjLRS7t4H0LC4L9ynTg==,offer to hitman,t9LXOlmTMij7ZKEpowg--A==,gBkH3v9pXwGVV8NwWdYx-g==,pots,vgAza0My6Ck6p4LiT2kSGA==,wake someone up,object,typicality_3,object,typicality_2,object,typicality_3,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",xcMYxbWxjWT079mvZSSnAg==,OVCk3ADWd4x25QEKVj3qHA==,robe,slz108_sshEPg-dK9pb3iw==,prevent food from staining clothing,xcMnIAWZx8AidB6u5nBSsw==,wPxmsbKxUBQkKykR3I_lEA==,rest area,xyXb4oMh9kjbq-h6pIBTow==,let the dog out to use the bathroom,xcbw5cOBJuLQjH_3Uvh5PQ==,k_cloHQj_hyIn0SLM9IfRg==,java,Es2hEUqpQ732-RinBK6Saw==,try a taste,xch-YxGcLbutTqjQ5VGyKw==,96Qv5yEfmKx6YKKFrDqehw==,phone,zgcAFywH908YT361cU0M2w==,make appointment with doctor,object,typicality_2,object,typicality_4,object,typicality_4,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",xcMYxbWxjWT079mvZSSnAg==,OVCk3ADWd4x25QEKVj3qHA==,robe,slz108_sshEPg-dK9pb3iw==,prevent food from staining clothing,xcMnIAWZx8AidB6u5nBSsw==,wPxmsbKxUBQkKykR3I_lEA==,rest area,xyXb4oMh9kjbq-h6pIBTow==,let the dog out to use the bathroom,xcbw5cOBJuLQjH_3Uvh5PQ==,k_cloHQj_hyIn0SLM9IfRg==,java,Es2hEUqpQ732-RinBK6Saw==,try a taste,xch-YxGcLbutTqjQ5VGyKw==,96Qv5yEfmKx6YKKFrDqehw==,phone,zgcAFywH908YT361cU0M2w==,make appointment with doctor,object,typicality_3,object,typicality_3,object,typicality_3,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",3gjVlQWb22imqT-H9_Slpw==,OCR5Xk4fvw9y8c-Z7pDYYQ==,garage,fun3WM37hE4jidUVC7CEYA==,store the machine away,3gqNkT5nCKKgm4DQRkIcDQ==,N7UdGUp1E-RbVvZSTy1R8g==,bar,Pr3X8DnQU0QN0RWtKIvlPw==,go for a drink in,3gqY2WlsCVCUb75gfg-oiw==,Y_Tx6bclNw9FlyBXXNX5Uw==,weights,lCEOjCOEKnBCLMMUPNedKQ==,train for resistance,3hJS3k0hWwlovxSdNx2QTw==,Z9RO2t34nCZbd2Yd8EYqng==,cigarette lighter,VrPpCs5Pyxiu2TkNWS1dTQ==,plug GPS in,place,typicality_3,place,typicality_4,object,typicality_4,object,typicality_3
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",3gjVlQWb22imqT-H9_Slpw==,OCR5Xk4fvw9y8c-Z7pDYYQ==,garage,fun3WM37hE4jidUVC7CEYA==,store the machine away,3gqNkT5nCKKgm4DQRkIcDQ==,N7UdGUp1E-RbVvZSTy1R8g==,bar,Pr3X8DnQU0QN0RWtKIvlPw==,go for a drink in,3gqY2WlsCVCUb75gfg-oiw==,Y_Tx6bclNw9FlyBXXNX5Uw==,weights,lCEOjCOEKnBCLMMUPNedKQ==,train for resistance,3hJS3k0hWwlovxSdNx2QTw==,Z9RO2t34nCZbd2Yd8EYqng==,cigarette lighter,VrPpCs5Pyxiu2TkNWS1dTQ==,plug GPS in,object,typicality_4,object,typicality_4,object,typicality_4,object,typicality_3
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",6oq6qPamFj4PtaCJ3Z299A==,oeBe4lZNvxawTwmiPUgtBg==,cola,lUVxfVi2piFWYLu654G_LQ==,get a stain out,6owoSoS2Iqfdry2KUJhU4w==,USuVaAczE4k9PNybLDdx1Q==,ideal place,tvL6pdyjAKXssmj6GscmNQ==,start a serious conversation,6pGR32rlwk8rFtyc2GyzAQ==,Q1i1AJxn0OMdf78WY_zTvw==,notes,8TTCFpbQrG02vv0U2BPJwQ==,read and review,6pbzkZSLYnHVTNNjncltIg==,FS9QRDjW7_T18138ZtA0dw==,sutures,sxqA-bziOjVXmTaWUiJ6PA==,knit a rug,object,typicality_1,place,typicality_2,object,typicality_4,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",6oq6qPamFj4PtaCJ3Z299A==,oeBe4lZNvxawTwmiPUgtBg==,cola,lUVxfVi2piFWYLu654G_LQ==,get a stain out,6owoSoS2Iqfdry2KUJhU4w==,USuVaAczE4k9PNybLDdx1Q==,ideal place,tvL6pdyjAKXssmj6GscmNQ==,start a serious conversation,6pGR32rlwk8rFtyc2GyzAQ==,Q1i1AJxn0OMdf78WY_zTvw==,notes,8TTCFpbQrG02vv0U2BPJwQ==,read and review,6pbzkZSLYnHVTNNjncltIg==,FS9QRDjW7_T18138ZtA0dw==,sutures,sxqA-bziOjVXmTaWUiJ6PA==,knit a rug,object,typicality_3,object,typicality_3,object,typicality_4,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",IN6b-6fnJ3ftcaERgfK4sg==,jPe4rdLCB-jt8kZoWij34g==,gravy,y8X4DT186thEEQE5QmMAnA==,create a slip trap for roommate,INIFfz63sZ3_FwpX4A0LJA==,inXlKF79LBcGp5GVQgrlrg==,club id card,bLX1Yl0X6oNcqkk3aDvmEQ==,lose in the bathroom,INVDO4NWmmSjWSZaXZfG6g==,MS-RKF4Ejgm7Su_vI2J5lA==,laptop,KtLNo-XDhR_KKHv7Y3yvgQ==,shop for collars,INa3JdefnC4We8Js7uFRVQ==,lyYlXuwIOqVtwESaIbMxkA==,money,EvoI4PELYKaBx1Nns0d1Eg==,take a bus away from the prison,object,typicality_1,object,typicality_2,object,typicality_2,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",IN6b-6fnJ3ftcaERgfK4sg==,jPe4rdLCB-jt8kZoWij34g==,gravy,y8X4DT186thEEQE5QmMAnA==,create a slip trap for roommate,INIFfz63sZ3_FwpX4A0LJA==,inXlKF79LBcGp5GVQgrlrg==,club id card,bLX1Yl0X6oNcqkk3aDvmEQ==,lose in the bathroom,INVDO4NWmmSjWSZaXZfG6g==,MS-RKF4Ejgm7Su_vI2J5lA==,laptop,KtLNo-XDhR_KKHv7Y3yvgQ==,shop for collars,INa3JdefnC4We8Js7uFRVQ==,lyYlXuwIOqVtwESaIbMxkA==,money,EvoI4PELYKaBx1Nns0d1Eg==,take a bus away from the prison,object,typicality_1,object,typicality_3,object,typicality_4,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",NkCJHfGHr5R0_YD8nSGi5w==,MQSQe3H1DnUx20GGn7m_BQ==,cigs,7ruIVqT5x-RuMmz8esP3qQ==,waste one's money,NkUHS0rBxyRrK9dSgK52hg==,xvd_d54E7HVnAknn0kTjow==,art utensils,SNCDFHlL_ucY0oOpWFhk9A==,hold hair in place,Nk__VxLrlIUvSbhGAOi6tw==,ECONYRSJS7Xtw5mBg1u-yQ==,university,42MkARQiYVcjNaMAh_azpg==,send kids off to,Nl4PL8st9OuC5s5RKB09lg==,of8BK1BI5LzEXa8jI8rRhQ==,water cooler,rEr_yI7W32VfLdB-GeXilA==,give dogs water,object,typicality_4,object,typicality_2,place,typicality_4,object,typicality_2
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",NkCJHfGHr5R0_YD8nSGi5w==,MQSQe3H1DnUx20GGn7m_BQ==,cigs,7ruIVqT5x-RuMmz8esP3qQ==,waste one's money,NkUHS0rBxyRrK9dSgK52hg==,xvd_d54E7HVnAknn0kTjow==,art utensils,SNCDFHlL_ucY0oOpWFhk9A==,hold hair in place,Nk__VxLrlIUvSbhGAOi6tw==,ECONYRSJS7Xtw5mBg1u-yQ==,university,42MkARQiYVcjNaMAh_azpg==,send kids off to,Nl4PL8st9OuC5s5RKB09lg==,of8BK1BI5LzEXa8jI8rRhQ==,water cooler,rEr_yI7W32VfLdB-GeXilA==,give dogs water,object,typicality_3,object,typicality_2,place,typicality_4,object,typicality_4
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",XRy-Sec7vClOmtYiUE8cgg==,WdqL0ERzrGcR10zZHb6QPQ==,goods,hqK8eufLEkCImfKfTXOtnA==,make arts and crafts,XSJQH5ve6KP4biv5zlXzaQ==,9ZsYxQeeOqk8ehdKztNNIQ==,nail brush,YYYoJk27l1wemOtcYHdXnw==,break off broken nails,XSLCIixd-O-_kB5Z1cDr8A==,gh8DKIhGKXws9Dw0dmo49w==,book,sHm3MR9I9z_IlCdrOd1eLw==,read while it is out,XSMqyxEw7NJ1BHdOcNme8Q==,igP348sqhgn7qBcynAiy2g==,mortarboard,uL24ieV7ba21BssWxTgC8Q==,throw into the air after graduation,object,typicality_4,object,typicality_4,object,typicality_4,object,typicality_1
Snap judgements about entities and what we do with/to them.,"In this HIT, given an entity and a function, we will ask you to (decide) the categorical type of the entity and make a snap judgement about typicality or expectedness of the function given entity","label, object, typicality, object type",XRy-Sec7vClOmtYiUE8cgg==,WdqL0ERzrGcR10zZHb6QPQ==,goods,hqK8eufLEkCImfKfTXOtnA==,make arts and crafts,XSJQH5ve6KP4biv5zlXzaQ==,9ZsYxQeeOqk8ehdKztNNIQ==,nail brush,YYYoJk27l1wemOtcYHdXnw==,break off broken nails,XSLCIixd-O-_kB5Z1cDr8A==,gh8DKIhGKXws9Dw0dmo49w==,book,sHm3MR9I9z_IlCdrOd1eLw==,read while it is out,XSMqyxEw7NJ1BHdOcNme8Q==,igP348sqhgn7qBcynAiy2g==,mortarboard,uL24ieV7ba21BssWxTgC8Q==,throw into the air after graduation,object,typicality_4,object,typicality_3,object,typicality_4,object,typicality_4
