Title,Description,Keywords,ObjectUseId1,Object1,Use1,ObjectUseId2,Object2,Use2,ObjectUseId3,Object3,Use3
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",l0ZU4bEo6jkXK4kD1yi42Q==,a club,hit the ball,E7gpElxVGcKM8F0DWX8S1w==,A wooden mallet,kill the fish with,dFW0ezf/Yxz/lV2qOcOPIw==,calander,schedule an interview
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",A5SLtdVyps69N0fTl0R9wA==,funds,buy a zoo pass,kUmu7Omu2er44blKpOSH1A==,resumes,give to hiring managers,v5YRBmbqLNJ3/z9PWtaNNg==,Sweatband,Keep hands from slipping
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",0OAKTkc7yavhpl53FFI3fg==,a purse,pay for the items,DthTfm5vdcevGBsaRyNV4w==,knife,spread the icing,F/vgm3grZQoiMTj4SMUsCg==,currency,pay for apartment
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",IeXWRfbhOWhjQmcli8npDg==,towel,dry off afterward,Zz+Xirp4C9PgDdJtWpPniw==,wrapping paper,rip off the box,84St3emiprPwuj94vlvhhQ==,controller,move characters
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",tKFW+SlXdS9M9nduurX9dw==,munchies,snack on,7KanuuK0sbIWBhCOCQEt3w==,a phone,to call the plumber,BF4RRk8dQA5r1nrTCgA/mw==,concessions,eat together
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",eceW4RolqLVW5OaZgv74Lg==,leotard,be comfortable while balancing,Wvq79cz4gQg4h7FdmqMEfA==,milk,make the drink tasty,t3F+yloNf4zMN0zx7qZ69g==,tennis racket,play tennis
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",l6qu1c6IQ3seFYiGS5bcAQ==,socks,wear inside the shoes,+nxML469NYtBgmlIG2JmYg==,spoon,put into the bowl,fdFs2nxeDWRqMztsgenYiw==,trash can,put the glass in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Gp/DBRWhqPvwphg8dXKDQQ==,tea cups,serve tea,mkNCeT/HbMhfrZ1bwjFqGg==,high heels,look taller,uqlKk0bSQjvPsY8Eo1INkw==,book,tell how much each card is worth
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",LrVKf3nfJpr81iUz9Qv1Ig==,handcuffs,keep PersonY from reaching for a weapon,IRCMUZ21aGfyavhb9E8A+w==,automobile,practice in,PSsLHhs1zrKW9wTRRFpTqw==,paint,create painting
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",6pyUwJb+dH9WZ5deGxV1bg==,coins,pay for entry,ZTXmozeCN91bJxI/ovjBsg==,high heels,look sexy in,6H0s/Un/+2VaYvlKltuyrg==,booze,get inebriated with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",l9gtZ1kDvuHUmlkmK+CAOA==,tools,build the fence,Sqq18Fhcs9DcvgwY3MCUVA==,mugs,hold the liquid,w5HSvf3TwrmYSNZ5CyKEvw==,workout clothes,wear as uniform
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",B84fic1SxTlbgJ7s53I6rQ==,handle,open door of appliance,eh+mHvKRijkgcvdMNGgPyw==,food,gain weight,6hye6N5AHdmcmE/jpxx3bA==,microphone,give speech
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",T+EfzRnuqzeYpIN7O70z0A==,pencil,do math work,AF6xm4hLjFjWzIxpSB57sw==,Sexy outfit,Wear for the boyfriend,b6w+tXdOcYyAiOkusNmaXg==,currancy,divide with Y
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",liuJAk/nCA1A1m3RtQN7vg==,a lawnmower,mow the yard,a0roNKS9cm+aZvlOlhc3Wg==,market company,make an ad,6xfKqxbgC8l9Hi7fH/Bc1w==,food,fill their starving belly
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",0qA8yZGpfXGkoaEH6DNAuQ==,funds,pay for entry fee,LgFdGPxtEDcdR5U+I+u3rA==,resume,send to the company to show off his skills,IWdFQipAqorGKO9N0ek99Q==,soap,wash self
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",iveC3q9PS9AXIdw7wEKyYA==,a mixing bowel,place all the ingredients in.,bmSWUEjpgHHCWRM8JuS9Yg==,thesaurus,look up synonyms to be creative in their name calling.,Lrdkzb9I0kkIUUqelN8U1A==,tools,change things
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",eUkhXdAmUfPKuRshnuGMhA==,hammer,pound nails into walls,JoBxQPZlWozbbHhTodcECA==,work out clothes,wear during exercise,tYbOdnY1yWO2x/0pH+OQsQ==,a van,drive to the ER
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",z6hubes8thFx9+xxIEnpxg==,a map,determine how to get there,6VBDWsDbzGzb7a3O6DXMRA==,plastic baggies,put bathroom items in,diG6q+A28OyqZK0Vjr9qiA==,hairspray,hold hair in place
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",dILpuW16FSj8aFfV9+Tc9Q==,a water source,obtain water to drink,dxjZZtk1QAasetMEK4OqhQ==,account,utilize bank services,kX42QsCB7+dUeZpdeb4iug==,chainsaw,cut the logs easier
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",G5Pf3WgmD0o32DBv9RfG2A==,an open surface,hold the completed pieces,XEyOcbKwCD3PgreoUOmvrg==,hotel card/key,access their room,HO1x3O+8kKW6ThPyhmvN4A==,cups,see exact amounts
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",sCWOvD0pUHlbi09VjmtS9w==,a laptop,book the room.,s+iTSuPe29u4pYM+bp6UhQ==,suitcases,pack their clothes,vgjkUyfo8o7WPp+QF+u5yg==,notepad,keep track of the facts
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",R/ziIvtbhykADyWlukur4A==,photo id,to prove who X is,csPDWbpwT3jTAkYb7pmSyA==,recording device,record the communication,4KObmEVXpdAbcbdxeVltaQ==,bills,pay for item
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",xE6p/yfLAvqgjVx3ZwAnYA==,sandwich,eat during break,LN2TM7dq5+fah+SCMkjaBg==,text book,practice sums,1TFayvNzlwshwUhAezybTQ==,goggles,look underwater
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",uVqRGhg6njh4/1JRELyF/w==,a device for communication,talk to PersonY,oZ3/uewSCNld9K4wUgQcXg==,tv,turn on and watch,KnBxufd7nnXeAl4eI40N4g==,car key,drive car
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",NylaZvBM5vouqxsoZuK8gg==,knife,cut up produce,R39aGgSQ9P+TFQfxmlLISA==,internet,be able to send correspondence,Smjldvn/aXkulyX3nxspzA==,funds,purchase the bike
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",3OFCEFCtvioKhjRpCPcrXg==,siren,get driver's attention,WQmwKFFH/7YYBdCW+TKrCQ==,tylenol,help with headache,zQ/vE9gDA0u5DiG2NKEZFQ==,remote,to turn it on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",x3gTIRyCFSAEg+WnydVTHw==,tent,protect self,QrFzbG9jW1BiY8DWLfXAMg==,cell phone,get the message,RqcWdogOUuthSFheDGG+bw==,app,track bank balance
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",x8jB4cqsNzIsgP8TmlAybg==,ignition,insert the key into,0tcshxgej+DLgCNzSxRYYQ==,plug,clog the drain,CYN4vgtx60tOkQNYTL6eXw==,a bowl,place batter
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",eJqlphOPbJOiA7HHmETMmw==,stirrer,stir the beverages together,52XaNDKM+fa+17EpeyWr3g==,a warm rag,wipe up the mess,MoAKl2jB69oD240mhdO+Hg==,glasses,see where the eggs are hidden
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",k2vttH3uhV0VaAD+iERTng==,Receipt,return items just in case,ZxQzRvcwJbGpzWnOfvSO+g==,currency,pay the establishment,KS5ooz432tOVpPxrvPmq3g==,Different meals,choose from
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",bnPLuCkiEL6zSkQGD3AooQ==,rope,tie down the stumps with,KI97POrK4PNHN9tgD53feQ==,medicine,make them feel better,u8LKg52XOMUAl5nwsPHifQ==,stamps,send them through the mail
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",HoD5IjscIL2JrYEXcyp41Q==,W2 Form,determine income,8tTQwFiYhSIyxJibMvuctg==,insurance proof,show coverage,fXOLsZfR4edkcg4fpjRpBg==,headphones,hear the sound
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",aRIq3wuAqYR1abMbTQl2+w==,newspaper,read at the table,TnP23FGZMn++NBwfQks4mg==,blankets,keep warm at night,rFr4cDhLYNiwDlop/L3tZQ==,alchohol,celebrate with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",B2Asr2XzK6obwsiBB4QIVw==,drinks,celebrate with friend,bXm6WFkhOV4hzaxixWx9Jw==,whoopi cushion,prank someone,/5QFunjnciOYTszRz8QZAg==,clothes,change because PersonY will go home
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",zhlDfl5k1H1ykvyi4QyMNQ==,program,know the order of service,370OvKL3Djq91mzjPIGTMw==,information,learn about the traffic,QWQcHeNRxynYtdnOmb5qWg==,schedule,enter the times they plan to work
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",LFyGzyr2V7UY/rKx+CyHig==,forms,sign to ask for decree,2Oa9geV/OTYdK/eYywSlDw==,shirt,be torn up and dirty,QAGDLA/cglI6ZogTUfrFEQ==,tablet,recieve the email
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",qVZ2B9jbY3J4SOwPiyBjRQ==,light,see where he's going,bLWKtp1WgEfVG4VaI19ygA==,Hair,Get fix,dlJ+ERhNQ1IUdMhjf1ZAUQ==,row,sit in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",kphaskmNs/3Zj4k4os5jRA==,a computer,submit forms on,FAF/OY7fjdgJvuDsfeGR0Q==,marker,make designs with,L2ym8hI12dNJMPw0UasNbQ==,valve,turn the water on
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",LBuBQMr73Wrrf04Dw2dsLQ==,Business casual outfit,Wear to divorce hearing,coDWkVl9GRn3kpdwACijsw==,steering wheel,keep car going straight,1hOk0FQKXmAwweM102M24A==,bank money,purchase the gas
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",rQCPQLPiigVGhT5gTGHoYQ==,rocket,transport to moon,Nith7BH1B/9kRYGz/MWQ3w==,acceptance letter,get into college,zQw+dStMLZXXyYOwwZvHKA==,a trash bag,throw the paper in
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",sBRjMPLoDT6/zv9MWqxSVw==,rags,wipe up surfaces with,FmUiQ5LPHmxPm1xdbR1rZQ==,file cabinet,store important papers from purchase in,irOaP4Z0rT0QqqBqWagbWg==,financial resources,pay for the meal
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",Fx0B9jU3/kLVJH5NSetXbQ==,lamp,see his work files,vdWpyHc4265vrMK5d07L7A==,butter,add more flavor,WHCDRRjZ1JxMD6mOIqjWIw==,spoon,stir pots
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",rWQSB2SZfRdXg2E6miK59Q==,A picnic blanket,sit on and set out the food and drink,22LHFm/6JfF8PF+bfrCp4g==,PC,use for ordering,Er6+zWyWhpnRSlBMAgy8Hw==,ice,numb the area
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",p6/NVb+PIGBMg7yqg3GvNg==,transportation,get the animal back home,5ZjYLJj+g+NM6X7T1S8scQ==,shopping bag,open up,gETMhmUXSAf2e+CaDm4K1Q==,a computer,research the apartment
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",uPg8/HS8b0TQavyQfR9A6A==,tables,put the objects on,3qVvN16tVWqkOU0WN0l0bw==,gym bag,store snearkers when not in use,OjAB/BBviN6ZmwNShlgGCg==,log book,keep account of how much they have saved.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",gZRpKIdY9fsyWeKdfr5bmg==,internet,make ads,3MCzRzAuoE4oDZAAqYGSdQ==,bucket,hold mop water,q34KJBCkotJ9pWjBOPyrlQ==,badge,get into their office
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",yDpCBtp95mDb2tOiJS8inA==,bottles,feed babies,lTGfn19M9PTXvgu1SN/Hrg==,plunger,unstop the sink,GOMZTFY2RBuTC5RZRuU2qQ==,basket,hold the produce
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",gp4WztaDpuCxyFsSFMm5Pg==,athletic clothes,move around in,i9JGTlr2wCxOuypJEqd4mg==,a pin number,enter into the machine,xKHnICF5KLZU2hB/lqgHkg==,brush,clean the shoes
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",NRyBjHN4RnztbT5RtR2lcg==,a media box,power the app that tunes to the local station,+8Dpkox2q8UWHjSeftBx2Q==,An election ballot,make their choice on,GRSmFOGc7j5MAj7nfrhUFQ==,charcoal,make outline
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",AO828yhawsmoYo9t+FSoFw==,currency,buy the baked good,ezu3q7Q71uiUbr6qta06Iw==,legal aid,know what her options and rights are,GkdMTDdHu7N0nTwr7B/HOg==,Closet,take the clothing out of
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",q+4EJ3Gv7xsIQ4XWSv9lGw==,ambulance,get them there,Y7t7Y6/CvIfJPCRuiKtKLQ==,beer,offer something to host.,NW26krnX/abzSEAAiLpr0A==,bill,pay for their meal
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",nPGS2STZSQ+MvKbeg5KwSQ==,writing utensil,to take notes,S03aBnNPUwgF90zHlJcKTw==,box,hold the sweets,djYiVyLvIuE3++eilSCXgg==,napkin,wipe bacon grease off
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",iVtlEV9FBShWuDkkcIquDA==,tote,carry supplies,c78yZMUmnhOk0OOYSfwpDQ==,drum,make a drum roll sound to make it dramatic,wVSBtUtP76Nc+Lumy0nB2w==,mug,hold the beverage
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",jpmdYSGWW0z/mVzWnvsW2w==,identification,prove the facts provided are true,BtNPCX8hd6y4paVCdS7qRQ==,Water,allow the dogs to drink,q+bNzdkvwzGH3KpD/BNt0g==,napkin,clean self
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",fRxX7ksTJrNkOrktbH/MUg==,scrap paper,jot down the code,lIIMe9reaajsrBug2iL3hA==,books,read and learn from,W4RDb6rWYuz01QBX11iI6w==,cell phone,facilitate call
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",/Nqw4oV+iTSDribmlzgr2g==,scissors,cut around them,+I0iuWounYrv4cdri0UeVw==,payment app,send payment,Mzzax8GOEw6gCABQlWT1yA==,truck,pick up person
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",IO60Ft3ATwZZ0Uu0/7rp6w==,currency,buy ticket with,tPrxQYpV067C/yehBBYaPw==,moving truck,move furniture,t1kxO6iLFrvs14OTWHUbqw==,directions,the destination
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",xrrqyO0MaGiPspJBBChOlw==,nice clothes,to wear to church,C79sLdm1PsJHPSF4ge2R/g==,cheque,pay transfer costs,a1sqbWCRvzg0UH5V54FVHw==,liquid,wash with
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",sw9zkHqlbJP+eibg67jE/A==,boots,protect the feet while stepping on the stirrup,ut0FgqfJNkARt0+KpqLzmw==,a card,read from,VXe1bAT81/JelqQa8HN2HQ==,boots,keep his feet steady
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",jn930diLHd68xSiaD1vLMw==,TV,purchase from the store,03GLuKs802XaisdyPTmzSQ==,a pair of socks,wear with the shoes,bRmeY8WECxue3iDrpT9yMg==,donuts,lavish with affection before consuming
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",sdmN1vWgL15XQlYJgcjj8w==,cellphone,call the players,JX1rLEULJ6YMPQJdnGpEDA==,scale,report how heavy he is,Ks07AkYAEyJVjp9hhwPhKg==,a bike,ride alongside persony
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",7Yupxed1sy9spceP0nNWHg==,A cabinet,check for the ingredients,eluMIUBAktTMYujQ8pkU9w==,plates,put bread on,MDkSYCXDkTnK4BlnpiIqHA==,bills,place a bet
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",uWpECBB6drotIaGq+0qwNQ==,cotton ball,to wipe off excess,yRaq/TrcK9BZqFgU7vZwoQ==,luggage,bring a few things,NrHNFJRKb0qoJnnwwlWbxQ==,shelves,store the shoes safely
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",qG9CN0AFQQi+Y+t/a/tAPg==,smart speaker,tell the current hour and minute,A8EsBxlVpTHZ21echHcW0Q==,mask,wear over their nose and mouth,kOAEFo0j5VC7X62ZOvVujA==,beach towel,dry off the chlorine
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",tgui2LNFH7lmNPLNdjP/sg==,internet,book room,0DEqPBRwwAhiB59xDrDLEw==,guide,determine value,vtKDCAA61VbiML5p084rkA==,ingredients,combine with each other
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",aPOv4PZa8Mz8gL2ReC7Wqg==,treats,keep the creature calm,DoQpe/G0ZOmMTca0LkQNWw==,insurance,pay for the optician,Z2DlwVcIz/ZSVPcgTG32YA==,a glass,fill with water to have with the snack.
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",ZGxCQWBygCODJtIjvZ/4sA==,a plane ticket,board a flight,iUgiVHA/brccPArLnghxrQ==,sewing kit,fix dress,Le+qROr+HwuIz3If8KRGQg==,dress,wear on date
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",0DDna8bVgAST16mHzs6bkA==,a can,offer someone,ReaiFep81PTvIhyar4ghMA==,insurance card,get checked in,zPOJ85ZFzpFHL+g33jUpEQ==,some paint,go on the walls
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",n/8sfkwCInADOog7NdZ0Dw==,piggy bank,put coins in,H2hVnh8MXg+B2fJspNOWOQ==,a business card,contact their lawyer,3yG7CqqHUui6oMnjIOloCA==,handle,grab and pull
Combine phrases to create facts.,Combine 2 phrases to create a commonsense fact.,"annotation, objects, text",JvBYsdZ2psFXGN6C+n/pOg==,an apartment,{},sdznP4K2s5R0o8QYrwUbgw==,clock,have alarm,H1GI8Klf3OsrScTP4jlG3A==,case,hold trumpet
