Title,Description,Keywords,Adjective,ClusterId,Cluster,Answer.order
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,3,atrocious ::: horrific ::: brutal ::: horrendous ::: formidable ::: terrible,|||  |||  |||  ||| formidable ::: brutal :::  ||| terrible :::  ||| horrendous ::: horrific ::: atrocious :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,3,atrocious ::: horrific ::: brutal ::: horrendous ::: formidable ::: terrible,atrocious :::  ||| horrific :::  |||  ||| horrendous :::  ||| formidable :::  ||| terrible ::: brutal :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,3,atrocious ::: horrific ::: brutal ::: horrendous ::: formidable ::: terrible,terrible :::  ||| horrific :::  ||| brutal ::: formidable :::  ||| horrendous :::  |||  ||| atrocious :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,6,fine ::: remarkable ::: impressive,fine :::  |||  ||| impressive ::: remarkable :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,6,fine ::: remarkable ::: impressive,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",impressive.a,6,fine ::: remarkable ::: impressive,fine :::  ||| impressive ::: remarkable :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,1,perfect ::: fantastic ::: remarkable ::: sweet ::: awesome ::: astonishing ::: marvelous ::: amazing ::: special ::: incredible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,1,perfect ::: fantastic ::: remarkable ::: sweet ::: awesome ::: astonishing ::: marvelous ::: amazing ::: special ::: incredible,sweet ::: perfect :::  ||| remarkable :::  |||  ||| fantastic :::  ||| amazing ::: awesome :::  ||| astonishing :::  ||| marvelous :::  |||  ||| special :::  ||| incredible :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,1,perfect ::: fantastic ::: remarkable ::: sweet ::: awesome ::: astonishing ::: marvelous ::: amazing ::: special ::: incredible,||| sweet :::  ||| perfect :::  ||| fantastic :::  ||| special :::  ||| amazing :::  ||| awesome :::  ||| marvelous :::  ||| incredible :::  ||| remarkable :::  ||| astonishing :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,1,simple ::: easy ::: easiest ::: easier ::: accessible,simple ::: accessible :::  |||  |||  |||  ||| easy ::: easier :::  ||| easiest :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,1,simple ::: easy ::: easiest ::: easier ::: accessible,simple :::  ||| easy :::  ||| easiest :::  |||  ||| accessible ::: easier :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,1,simple ::: easy ::: easiest ::: easier ::: accessible,accessible ::: simple :::  |||  ||| easy ::: easiest :::  ||| easier :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,3,affordable ::: convenient ::: universal ::: reachable ::: achievable ::: open ::: accessible,affordable :::  ||| convenient :::  ||| universal :::  ||| reachable :::  |||  ||| open ::: achievable :::  ||| accessible :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,3,affordable ::: convenient ::: universal ::: reachable ::: achievable ::: open ::: accessible,open :::  ||| accessible ::: convenient ::: affordable :::  ||| universal :::  ||| reachable :::  ||| achievable :::  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,3,affordable ::: convenient ::: universal ::: reachable ::: achievable ::: open ::: accessible,open :::  ||| convenient ::: accessible :::  |||  ||| reachable ::: affordable ::: achievable :::  |||  |||  |||  ||| universal :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,11,insane ::: incredible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,11,insane ::: incredible,incredible ::: insane :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,11,insane ::: incredible,||| incredible ::: insane :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,4,responsive ::: accessible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,4,responsive ::: accessible,accessible ::: responsive :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",accessible.a,4,responsive ::: accessible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,6,disgusting ::: ghastly ::: terrible,disgusting :::  |||  ||| ghastly ::: terrible :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,6,disgusting ::: ghastly ::: terrible,terrible ::: disgusting :::  ||| ghastly :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrible.a,6,disgusting ::: ghastly ::: terrible,terrible ::: disgusting :::  ||| ghastly :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,3,unimaginable ::: inconceivable ::: incredible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,3,unimaginable ::: inconceivable ::: incredible,unimaginable ::: incredible :::  ||| inconceivable :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,3,unimaginable ::: inconceivable ::: incredible,unimaginable ::: inconceivable ::: incredible :::  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,1,live ::: busy ::: underway ::: active,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,1,live ::: busy ::: underway ::: active,live ::: underway ::: active :::  ||| busy :::  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,1,live ::: busy ::: underway ::: active,underway :::  ||| live :::  ||| active :::  ||| busy :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,1,perfect ::: better ::: good ::: fine ::: terrific,fine :::  |||  ||| good :::  ||| better :::  |||  ||| terrific ::: perfect :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,1,perfect ::: better ::: good ::: fine ::: terrific,fine ::: good ::: better ::: perfect ::: terrific :::  |||  |||  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,1,perfect ::: better ::: good ::: fine ::: terrific,fine ::: good ::: better ::: terrific ::: perfect :::  |||  |||  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,12,formidable ::: incredible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,12,formidable ::: incredible,incredible ::: formidable :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",incredible.a,12,formidable ::: incredible,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,3,perfect ::: amazing ::: spectacular ::: remarkable ::: excited ::: terrific,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,3,perfect ::: amazing ::: spectacular ::: remarkable ::: excited ::: terrific,excited ::: perfect ::: amazing :::  |||  ||| spectacular :::  ||| remarkable :::  |||  ||| terrific :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,3,perfect ::: amazing ::: spectacular ::: remarkable ::: excited ::: terrific,remarkable ::: excited :::  |||  ||| amazing ::: terrific :::  |||  ||| spectacular :::  ||| perfect :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,1,crazy ::: mental ::: stir-crazy ::: nuts ::: demented ::: daft ::: wacko ::: psycho ::: insane,crazy :::  ||| mental :::  ||| stir-crazy :::  ||| nuts :::  ||| demented :::  |||  ||| wacko :::  ||| psycho ::: daft :::  ||| insane :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,1,crazy ::: mental ::: stir-crazy ::: nuts ::: demented ::: daft ::: wacko ::: psycho ::: insane,crazy ::: stir-crazy :::  ||| nuts ::: daft ::: wacko ::: mental :::  |||  |||  ||| demented :::  |||  |||  ||| psycho :::  ||| insane :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,1,crazy ::: mental ::: stir-crazy ::: nuts ::: demented ::: daft ::: wacko ::: psycho ::: insane,stir-crazy :::  |||  ||| wacko :::  ||| nuts :::  ||| daft :::  ||| crazy :::  ||| mental :::  ||| demented :::  ||| insane :::  ||| psycho :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,10,aggressive ::: intense ::: potent ::: active,||| potent ::: active :::  ||| aggressive :::  ||| intense :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,10,aggressive ::: intense ::: potent ::: active,active :::  ||| aggressive ::: intense :::  ||| potent :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,10,aggressive ::: intense ::: potent ::: active,active :::  ||| aggressive :::  ||| potent :::  ||| intense :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,3,vigorous ::: lively ::: actively ::: active,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,3,vigorous ::: lively ::: actively ::: active,vigorous :::  ||| lively ::: active :::  ||| actively :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,3,vigorous ::: lively ::: actively ::: active,active ::: actively :::  ||| lively :::  |||  ||| vigorous :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,3,implausible ::: radical ::: incredible ::: insane,|||  ||| implausible :::  ||| incredible ::: radical :::  ||| insane :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,3,implausible ::: radical ::: incredible ::: insane,|||  ||| incredible ::: insane ::: radical ::: implausible :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",insane.a,3,implausible ::: radical ::: incredible ::: insane,||| incredible ::: implausible ::: radical :::  |||  ||| insane :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,5,big ::: terrific,||| big ::: terrific :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,5,big ::: terrific,||| big ::: terrific :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,5,big ::: terrific,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,6,dynamic ::: engaged ::: instrumental ::: active,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,6,dynamic ::: engaged ::: instrumental ::: active,active ::: engaged ::: dynamic :::  |||  ||| instrumental :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",active.a,6,dynamic ::: engaged ::: instrumental ::: active,active :::  ||| engaged :::  ||| dynamic :::  ||| instrumental :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,1,relevant ::: useful ::: worthwhile ::: noteworthy ::: interesting,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,1,relevant ::: useful ::: worthwhile ::: noteworthy ::: interesting,useful ::: interesting :::  ||| relevant :::  ||| worthwhile :::  ||| noteworthy :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,1,relevant ::: useful ::: worthwhile ::: noteworthy ::: interesting,relevant :::  ||| useful ::: worthwhile :::  |||  ||| interesting ::: noteworthy :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,4,upstanding ::: terrific,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,4,upstanding ::: terrific,||| upstanding ::: terrific :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",terrific.a,4,upstanding ::: terrific,upstanding :::  |||  ||| terrific :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,1,proper ::: right ::: well-formed ::: adequate,||| right :::  ||| well-formed :::  ||| adequate ::: proper :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,1,proper ::: right ::: well-formed ::: adequate,right ::: proper :::  |||  ||| well-formed :::  ||| adequate :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,1,proper ::: right ::: well-formed ::: adequate,adequate :::  ||| well-formed :::  ||| right :::  ||| proper :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,3,proper ::: satisfactory ::: appropriate ::: enough ::: adequate,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,3,proper ::: satisfactory ::: appropriate ::: enough ::: adequate,adequate ::: proper :::  ||| enough ::: appropriate ::: satisfactory :::  |||  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,3,proper ::: satisfactory ::: appropriate ::: enough ::: adequate,satisfactory ::: enough ::: adequate :::  |||  |||  ||| appropriate ::: proper :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,6,finest ::: best ::: better ::: adequate,||| best ::: better ::: finest :::  |||  ||| adequate :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,6,finest ::: best ::: better ::: adequate,adequate :::  ||| best :::  ||| better :::  ||| finest :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",adequate.a,6,finest ::: best ::: better ::: adequate,||| adequate :::  ||| better :::  ||| best :::  ||| finest :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,1,quicker ::: prompt ::: sooner ::: expedient ::: timely,quicker :::  ||| prompt :::  ||| sooner :::  |||  ||| timely ::: expedient :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,1,quicker ::: prompt ::: sooner ::: expedient ::: timely,quicker ::: sooner ::: timely :::  ||| prompt :::  |||  ||| expedient :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,1,quicker ::: prompt ::: sooner ::: expedient ::: timely,prompt ::: expedient :::  |||  ||| timely :::  ||| sooner :::  ||| quicker :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,1,sensational ::: spectacular ::: topnotch ::: remarkable ::: exceptional ::: breathtaking ::: impressive ::: marvellous ::: amazing,sensational :::  ||| spectacular :::  ||| topnotch :::  ||| remarkable :::  ||| exceptional :::  ||| breathtaking :::  |||  ||| marvellous :::  ||| amazing ::: impressive :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,1,sensational ::: spectacular ::: topnotch ::: remarkable ::: exceptional ::: breathtaking ::: impressive ::: marvellous ::: amazing,amazing :::  ||| sensational ::: spectacular :::  ||| topnotch :::  ||| remarkable :::  ||| exceptional :::  ||| breathtaking :::  ||| impressive :::  ||| marvellous :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,1,sensational ::: spectacular ::: topnotch ::: remarkable ::: exceptional ::: breathtaking ::: impressive ::: marvellous ::: amazing,remarkable :::  ||| impressive :::  ||| topnotch :::  ||| exceptional :::  ||| spectacular :::  ||| marvellous :::  |||  ||| amazing :::  ||| sensational ::: breathtaking :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,8,worthwhile ::: timely,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,8,worthwhile ::: timely,timely ::: worthwhile :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,8,worthwhile ::: timely,|||  ||| timely ::: worthwhile :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,10,marvelous ::: awesome ::: remarkable ::: superb ::: terrific ::: interesting,marvelous :::  ||| awesome :::  ||| remarkable :::  ||| superb :::  |||  ||| interesting ::: terrific :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,10,marvelous ::: awesome ::: remarkable ::: superb ::: terrific ::: interesting,interesting ::: terrific :::  ||| marvelous ::: awesome :::  ||| remarkable :::  ||| superb :::  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,10,marvelous ::: awesome ::: remarkable ::: superb ::: terrific ::: interesting,interesting ::: terrific ::: marvelous :::  ||| awesome :::  ||| remarkable :::  ||| superb :::  |||  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,3,dreamy ::: cool ::: magic ::: amazing,dreamy :::  ||| cool :::  |||  ||| amazing ::: magic :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,3,dreamy ::: cool ::: magic ::: amazing,cool ::: dreamy :::  |||  ||| magic :::  ||| amazing :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,3,dreamy ::: cool ::: magic ::: amazing,cool :::  |||  ||| dreamy ::: magic :::  ||| amazing :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,5,ridiculous ::: amazing,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,5,ridiculous ::: amazing,amazing :::  ||| ridiculous :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,5,ridiculous ::: amazing,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,6,curious ::: fascinating ::: interesting,curious :::  |||  ||| interesting ::: fascinating :::  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,6,curious ::: fascinating ::: interesting,||| interesting ::: curious ::: fascinating :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,6,curious ::: fascinating ::: interesting,curious ::: interesting :::  ||| fascinating :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,3,convenient ::: opportune ::: fortunate ::: timely,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,3,convenient ::: opportune ::: fortunate ::: timely,convenient ::: timely :::  ||| opportune :::  ||| fortunate :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",timely.a,3,convenient ::: opportune ::: fortunate ::: timely,convenient :::  ||| timely :::  ||| opportune ::: fortunate :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,4,thoughtful ::: amazing,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,4,thoughtful ::: amazing,thoughtful ::: amazing :::  |||  |||
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",amazing.a,4,thoughtful ::: amazing,||| thoughtful :::  ||| amazing :::
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,11,right ::: interesting,unchanged
Sort adjectives by intensity,"Given a list of adjectives, sort from least intense to most intense (e.g. warm < hot < scalding)","English, language, research",interesting.a,11,right ::: interesting,unchanged
