Title,Description,Keywords,ObjectUseId1,Beginning1,Middle1,End1,Step1,Object1,Use1,ObjectUseId2,Beginning2,Middle2,End2,Step2,Object2,Use2,ObjectUseId3,Beginning3,Middle3,End3,Step3,Object3,Use3,Answer.Step,Answer.rationale1,Answer.rationale2,Answer.rationale3
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",ln+Hhi5/QFm3+z2VWcy0Jg==,PersonX answers the phone to an invitation,PersonX brings a dish,PersonX takes a little bit of everything at the potluck,End,fork,taste each bite,ic4aTOgC5MHnG/rrUsNPCA==,PersonX wants to splurge,PersonX orders a steak,PersonX has a great meal,Middle,knife,cut with,5kmfuEYnN4jMsmOVMf+E5w==,PersonX is working as a crossing  guard,PersonX tells PersonY to wait,PersonX comes back for PersonY,Beginning,stop sign,hold up,End|Middle|Beginning,a fork is an eating utensil used to eat and taste each bite,a knife is a sharp tool used to cut things like steak,stop signs are held to signal traffic to stop
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",SE0dFB/Aj3r7y0LgrDkL5g==,PersonX is left out of party plans,PersonX is no longer friends,PersonX goes on Craigslist to find new friends,End,modem,go online,SRsQRqW8OCHwGbniLwRs2g==,PersonX went to the comic store,PersonX plays practical jokes,PersonX likes to laugh,Beginning,checkbook,pay for purchases,j09CnMbG5ZWCM70yiPnBuA==,PersonX makes fake id's,PersonX establishes PersonY identity,PersonX gets paid money,End,dufflebag,hold the cash,End|Beginning|End,Going to Craiglist means going online. Going online means having a modem for connection. PersonX goes on Craigslist so a modem is needed.,Purchases need to be paid. PersonX went to the comic store so PersonX needs a checkbook.,Cash can be kept in a bag. PersonX gets paid money so PersonX can  use a dufflebag.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",XelpT5ZpaAvPGTUVQV+eCw==,PersonX hands the bouncer their ID,PersonX is 20 years old,PersonX is kicked out of the bar,Beginning,dollar bill,tip the door man,174YMJx8Wt2MjlOpsxlCrQ==,PersonX crawls into bed.,PersonX falls fast asleep,PersonX wakes up when the alarm goes off.,End,an alarm,wake up,94KoTshHi/wE8GITS6pJUw==,PersonX trips down the stairs,PersonX suffers another accident,PersonX drives to the hospital,End,vehicle,travel to establishment,Beginning|End|End,A tip might soften the door man's heart towards you.  Many people don't get paid well by their bosses either and so tips help take up the slack.,An alarm clock gets real noisy at the time you set it to and so it will wake you up in time to make your appointment.,They just hurt their body to bad to not go to the hospital and too bad to walk there.  A car will carry them.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",wkN2z/JENcUzrTVVumgimA==,PersonX Sets the table,PersonX gives PersonY a place,PersonX Brings out the food,Beginning,napkins,clean peoples faces with later,epiNzbECc7/3PKynQdPrLA==,PersonX saw a beautiful woman,PersonX immediately fell in love,PersonX tries to get her phone number,End,piece of paper,write down the contact information,h77HYgufvyHvnzt6iVAglg==,PersonX calls all PersonY's friends,PersonX gets all PersonY's friends together,PersonX throws a party for PersonY,Beginning,address book,find the phone numbers,Beginning|End|Beginning,Sometimes people make a mess when eating and they will want to wipe their mouths clean.,"Without a piece of paper to write the number on, they may forget it later.",An address book is the best way of keeping track of lots of numbers and in an order that makes them easy to find.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",vrd3eO9zeYkZ5nfHXq1OOg==,PersonX works as a landscapper,PersonX mows PersonY's grass,PersonX collects money from Person Y,Beginning,weedwhacker,trim edges,dAwp5pZ9MG4IKz+SkZreDw==,PersonX asks PersonY on a date,PersonX becomes PersonY man,PersonX moves in with PersonY,End,dresser,store his clothes in,mNaXX7Oo1rMB+2De2F/o3g==,PersonX is running around the track,PersonX feels exhausted,PersonX falls on the ground in defeat,Middle,drink,replenish their energy,Beginning|End|Middle,A weed whacker is an electric object that cuts plants. It can be used to trim the edges.,A dresser is a piece of furniture with drawers. A person can store clothes in it.,A drink can rehydrate someone after exercise. Rehydrating will replenish their energy.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",x2NVVhrzmSgeniHspm+NVQ==,PersonX is designing part,PersonX constitutes PersonY part,PersonX prints part,Beginning,paper,Put pencil to,DEF3tGDMtHfIJaWwnM0+Ig==,PersonX drives PersonY home after they drank too much,PersonX changes PersonY's clothes,PersonX puts PersonY to bed,End,blanket,cover up PersonY,42crQ8e4mfMP2b3BheRQBw==,PersonX is hot,PersonX buys a fan,PersonX takes the fan home,Middle,cash,pay for cool air,Beginning|End|Middle,Because their CAD program isn't working.,So Y will not get cold and wake up.,Because the fan runs on electricity which must be paid for.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",MR5f/7Yv/gRTQW1bB3L6RA==,PersonX goes to the mall.,PersonX finds a great deal,PersonX buys the shoes that are on sale.,End,currency,purchase shoes,wtxKXCGi5swmDdJnfW931A==,PersonX hears a splash on the floor,PersonX sees vomit on the floor,PersonX calls the janitor to clean it up,End,cell phone,contact the right person.,+DdpAr4SP1F+JjA34kSYjw==,PersonX is punched in the face,PersonX keeps cool,PersonX dials 911,End,a voice,speak to the police,End|End|End,you need to have money to purchase anything,"to contact someone on the spot, as cell phone is necessary","to speak with someone in an emergency over the phone, you would need to speak  to them which means you need to have a voice"
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",uyazk5RWcCieePeVR0alPg==,PersonX PersonYawns from boredom.,PersonX rents a movie,PersonX watches the movie and eats popcorn.,Middle,account,rent the film from,AhMPuzwQy+shN3qujae1mA==,PersonX gets sick upon waking.,PersonX runs late for school,PersonX gets a pregnancy test.,Middle,backpack,bring to class,Czen5LO0ldaukQ9fxrJPWw==,PersonX buys a guitar,PersonX learns guitar,PersonX plays at a concert,Beginning,guitar case,place guitar inside,Middle|Middle|Beginning,"the account will track the information of purchases online, this way, the can see what they've had and the company will let them rent it","the backpack will be used to store items as it is light, worn on the back and hollow it is easy to carry items with",the case is shaped as the guitar is thereby making it easy for one to place the item inside of and to keep the guitar safe
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",Cn9VhjocM/H6q7Tui//Jlw==,PersonX running for political office,PersonX serves PersonX's interests,PersonX becomes president,Beginning,buttons,have slogan on,fE4TfhZpnRyjR1QibtxkwA==,PersonX goes to the golf course,PersonX plays great,PersonX celebrates with drinks,Beginning,golf bag,hold their clubs,fNEpiHFU9wjIzsJ1m4MmqQ==,PersonX gets sugar jar,PersonX opens the lid,PersonX scoops out sugar,Beginning,lid,put on the container,Beginning|Beginning|Beginning,Present their campaign in a way that is easy to remember.,Keep the clubs organized and well maintained.,Prevent spilling.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",fmMEvpasTf3AcAF1LHJrjw==,PersonX applies for a job,PersonX gets a call for an interview,PersonX gets the job,Middle,cellphone,receive the call,4AFZQxUxRbwFhnnYxhueSQ==,PersonX practices playing football.,PersonX plays professional football,PersonX wins championship with team.,Middle,a uniform,play the game in,VdhffMHipzMK3TWuDfdV2Q==,PersonX graduates college,PersonX applies to jobs,PersonX goes to interviews,End,suit,wear to the interview,Middle|Middle|End,A cellphone is an electrical device where a person can make and recieve phonecalls among other things.,All players in a football team wear an kit or uniform to show which team they play for.,"To look smart and fit in, it is important to wear a suit to an interview.  It shows the interviewer you are serious about the position and that you are respectable and capable of looking smart for the company."
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",gx1vxRstOOZxrTiIv0r8DQ==,PersonX reads PersonY's application,PersonX hires immediately,PersonX welcomes PersonY to the team,Beginning,software,sort through the application,34kEvEjDwrS0hepmtPlIsg==,PersonX ties knots in a rope.,PersonX draws forth the rope,PersonX pulls a rock with the rope.,Middle,space,pull the rope,gBowI1Q/uOUM4qXS9vvwjw==,PersonX holds the mirror,PersonX licks PersonX's face,PersonX spoils the reflection,Beginning,handle,see better,Beginning|Middle|Beginning,Software refers to instructions a computer uses to run programs. You need software to sort through and read an application.,"Space is an open or empty area. When pulling a rope, you need plenty of space for extension.","A handle is a component used to hold an object. To hold a mirror, you need to use its handle."
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",rJ6uyFvBIT3m8bJbrqISBA==,PersonX does a backflip on a motorcycle,PersonX impresses PersonY's boyfriend,PersonX takes PersonY's boyfriend out on a date,Beginning,motorcycle,do a flip,1/9AocEirKhtJu/HmIgKJA==,PersonX buys a birthday gift for their boyfriend.,PersonX surprises PersonX's boyfriend,PersonX watches him open the gift.,Beginning,bow,decorate box,+uPsDXShCxLGp/oq+g+oqg==,PersonX shoots an arrow,PersonX misses the target,PersonX retrieves the arrow from the grass,Middle,shoes,run after the cat,Beginning|Beginning|Middle,To show that they are daring.,So it looks special.,So they catch the cat quickly.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",QSp2pyosfaBm5bFBToXc2w==,PersonX runs a marathon,PersonX takes a breather,PersonX drinks gatorade and rests,End,small towel,wipe off sweat,N9/zHiyViqmtJHmG4RYsHg==,PersonX heads to the swimming pool,PersonX knows how to swim,PersonX jumps in the pool,Beginning,bathing cap,keep hair dry,5r8GvDksFXrsyYs0KezkuQ==,PersonX meets PersonY at a restaurant for dinner,PersonX says hello to PersonY,PersonX sits down to eat,End,a napkin,place on their lap to keep their clothes clean.,End|Beginning|End,when u run a lot and drink a lot lot of fluids u need a towel to wipe off the sweat,if u getting in the water u need to take soemthing to cover ur head,if u go to a restaurant u need a napkin on ur clothes so u dont mess up ur clothes
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",DPXpSIrds69enHw7SFL5qQ==,PersonX speaks in a debate,PersonX concludes PersonY agreement,PersonX wins a trophy,Beginning,Podium,stand behind,prrNwVTmMmk6293NWBWbug==,PersonX practices for the debate,PersonX supports PersonY's argument,PersonX adds some additional talking points,Beginning,notes,to study the issues,UjpuwmRs8bUJqCd9YdEckw==,PersonX pets the dog,PersonX loves PersonX's dog,PersonX says goodbye,End,car,leave with,Beginning|Beginning|End,A podium will give PersonX a place to speak in from of people.,Notes will help PersonX practice for their debate.,The car will allow PersonX to leave the dog behind.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",04J6TZ3oGkYcSg3hBRCPNQ==,PersonX looks at an apartment,PersonX pays rent,PersonX moves in,Beginning,glasses,see the apartment clearly,V44VArGWt0LJaT+sNO1xWQ==,PersonX observes that PersonY did show up,PersonX opens all of PersonY's presents,PersonX takes PersonY's presents home,Middle,scissors,cut through wrapping paper,u3mLkihEz8W7V2SIaB7krw==,PersonX works as a magician.,PersonX plays tricks,PersonX entertains the crowds.,Beginning,a wand,perform with,Beginning|Middle|Beginning,"When people move, they like to take a look at the place they are interested in. If they don't have good vision, they need to wear glasses to be able to see properly.","When people get gifts, they are usually gift-wrapped in colorful paper. They have to take off the paper to open the gifts. They can use scissors to take off the gift wrapping.",A magician delights their audiences with magic. They need the audience to watch the area that the magic is done. The magician will use a want to point to the area he wants people to see.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",bR8VUtWbQgmO4mpEolxQjQ==,PersonX divorces husband,PersonX marries another man,PersonX goes on a honeymoon,Middle,cake,cut during reception,XvER5r2wJDHFQtvpW210mg==,PersonX goes to the store,PersonX gets new pants,PersonX shows off the clothes,Beginning,money,buy the products needed.,h1fKI9NBYvVodNu88Dg39Q==,PersonX took a computer class,PersonX learns a new skill,PersonX enjoys her new skill,Beginning,textbook,learn the program,Middle|Beginning|Beginning,Cakes are made for weddings to celebrate the couple.  It is customary for the couple to cut the cake during the reception.,Products are bought and sold everywhere.  You need money in order to buy the product being sold.,Textbooks contain a lot of information.  Schools use textbooks in order to teach the students.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",v/CrW9+VLCKSQLDUdHtfCg==,PersonX goes to a restaurant,PersonX has dinner together,PersonX goes home,End,a truck,park in the garage,GdEvvK9psKBJEQIF6MCFeQ==,PersonX recognizes that PersonY is a celebrity,PersonX pays PersonY homage,PersonX gets their autograph,End,marker,give to them,m6DgO/MWWcj7WrbDRMJl2A==,PersonX studies Tony Hawk.,PersonX is learning to skateboard,PersonX goes to the skatepark.,Middle,knee pads,protect from harm,End|End|Middle,a form a transportation such as a truck would be needed to get to the restaurant.,a writing implement is needed to give an autograph markers are often used because they write on a variety of surfaces,injuries can occur when falling protective gear like knee  pads reduces the risk
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",+HMP91gF/uHdpwDwlWPB/g==,PersonX Finds a new home in another country. Says goodbyes and packs up belongings,PersonX leaves the country,"PersonX Move in to new home, unpack belongings. Start a new life, in a new country.",Beginning,suitcase,put belongings in,FiH+RacNMfkt+ZLDKKDHIQ==,PersonX goes to the gas station.,PersonX pumps PersonX's gas,PersonX pays the cashier for their gas.,End,a debit card,swipe in a machine,Heot5BuMNSOElur4ZwNNOg==,PersonX gets lost in the area.,PersonX falls into place,PersonX continues the journey.,Beginning,compass,to know the direction,Beginning|End|Beginning,"A suitcase is used to hold someone's belongings in. When you're moving, you need a suitcase to hold your things.","When you purchase gas, you need to pay the cashier. You can swipe a debit card in a machine to pay.","If you get lost, you need to be able to figure out the right direction. A compass is used to tell direction."
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",7LNBwZO/DgrA/yFxqo7wAA==,PersonX Wakes up very early in the morning.,PersonX makes the coffee,PersonX Sits down at the table to drink their beverage.,End,cream,make it taste sweet,5KRRK39qw1xvDT6/yFzM2g==,PersonX buys new running shoes.,PersonX trains for a marathon,PersonX runs in the Boston Marathon.,Beginning,cash,pay for the sneakers,Xvb544b4CtNhTwKKe0Xm1g==,PersonX sees that his friend wants to play the new game but doesnt have a charcater,PersonX gives PersonY a character,PersonX makes a new character so he can have a backup just in case,End,notepad,write things down,End|Beginning|End,Because they do not really like the taste of real coffee.,They do not have a bank account,So they do not forget where the 1d4 is applied
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",WHx7cEaECqE2lxnYSGrwCQ==,PersonX gets promoted to a higher position.,PersonX maintains PersonX's position,PersonX gains more income.,End,payslips,keep on track of their earnings.,iXf3aovZN9tn4WCYn0Hd5w==,PersonX gets a curling iron out of of the cupboard.,PersonX curls PersonX's hair,PersonX looks in the mirror.,Beginning,a shelf,pull an item from,OgdaIPaCBCsRVWhDoJlFxA==,PersonX picks up the books off of the table,PersonX returns books that night,PersonX picks out new books to borrow,End,phone,look up reviews of books,End|Beginning|End,So they know they were paid what they are owed by the employer.,To keep their items organized.,To access the internet and read the reviews.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",1Atm6LT26rwxICS6453XMw==,PersonX puts bread and meat on the counter.,PersonX makes sandwiches for lunch,PersonX eats the sandwiches.,End,plate,place the sandwich.,Jk8Ar0BGidyGeCZNn0Eqnw==,PersonX sees a baby duck get eaten by a street cat,PersonX holds back the tears,PersonX catches the street cat and has it euthanized,End,Animal shelter,take the stray cat to,x9F3nC2uf+Y3zzkufgzLog==,PersonX grabs a knife,PersonX goes to kill PersonY,PersonX fails to kill,Beginning,a weapon,get from a drawer,End|End|Beginning,A plate holds food and is easy to transport from kitchen to table. You can place the sandwich on it before lunch.,An animal shelter takes animals and puts them up for adoption since it is a no kill shelter.,A weapon can be used for defense so when threatened it would make sense to get it from the drawer just in case.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",27K3f+wa5r5oNXDmLayorw==,PersonX enters a singing competition,PersonX practices day and night,PersonX wins the competition,Middle,microphone,hear their voice more clearly,dM4uBzK54lBffkbVEBpldA==,PersonX works very hard on the project.,PersonX gets a promotion,PersonX goes out to celebrate with friends.,End,a fun outfit,look good in,5tFd6FljdzGOuW8Yc6eg4w==,PersonX has a toothache.,PersonX calls the dentist,PersonX gets a root canal.,Beginning,transportation,get to dentist,Middle|End|Beginning,A microphone makes your voice clear and loud.,A fun outfit makes you feel good about yourself.,It is hard to walk with tooth pain so a ride is needed.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",Cg8HmNN9/hp+tMstsIGtDQ==,PersonX publishes a memoir,PersonX writes another book,PersonX receives a million dollar advance for a third book.,End,agent,Negotiate deal,3kwm7+/jcNYovPOf1Mk6Dw==,PersonX puts their card into the atm,PersonX asks an atm for money,PersonX puts the cash into their wallet,End,check,deposit into their account,rhSmchwsXKAIOg1MYrNnyw==,PersonX goes fishing on a real fishing boat,PersonX catches lots of fish,PersonX brings a lot of fish home to eat,Middle,hook,throw into the water,End|End|Middle,So they can keep the money out of the hands of greedy reletives,To make sure that they did not overdraft their account,The fish will not just jump into the boat on their own.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",vlcs+fFHC6p0uT+kBSz1Ww==,PersonX gets a job,PersonX earns PersonX's keep,PersonX pays the bills,Beginning,identification card,reference when filling out tax forms,WtQF5v6RsrAsJFtsF7AOvw==,PersonX loads up a website.,PersonX reads the news,PersonX tells interesting stories to coworkers.,Beginning,PC,get on the internet,kzvR3AYkuqOZvUMQ2Dj0PA==,PersonX buys a new home.,PersonX decides to throw a party,PersonX decorates the house with party banners.,End,money,buy decorations,Beginning|Beginning|End,An ID is needs to prove who you are.,Going on the internet requires a PC.,Decorations need to be bought from a store.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",jZVGUDrLgzu0nRagaEAjwA==,PersonX picks up a fountain pen.,PersonX writes poetry,PersonX reads the poetry to friends.,Middle,a computer,store their data.,j8vo+SyFU6exGY7L2o0e5w==,PersonX is in labor one month early,PersonX gives birth,PersonX has a smaller but healthy baby,Middle,towels,wrap the baby up in.,w1cLD30TIxOX8C04wl6iUA==,PersonX visits a resort on vacation,PersonX has lots of fun,PersonX applies for a job at the resort.,Beginning,car,get to the desired place,Middle|Middle|Beginning,Writing the poetry with the pen is a start. The computer can store it in that later when the poetry is ready.,Early labor is a emergency matter. Towels can hold the baby safely after birth.,Vacation travel is exciting. You have to use a car to get to various destinations within it.
Describe why objects can be used in certain ways.,"Given an object and a use for that object, describe why the object can be used in that way.","annotation, objects, text",m3GKzfr94nrgjZVZd9s5KA==,PersonX gets married,PersonX marries for 20 PersonYears,PersonX gets a divorce.,End,pen,sign divorce papers,zlyqxGFVvJGok5E1Nm5QUg==,PersonX visits an unconscious friend in the hospital.,PersonX caresses PersonY's face,PersonX sheds a tear.,Beginning,a bus,ride to the emergency room,QtBn0RYtK6RLhMJD11N6qA==,PersonX buys an anatomical model,PersonX touches a nerve,PersonX studies for an anatomy test,Beginning,cash,pay for it,End|Beginning|Beginning,A pen hold ink that you can use to write your name on important documents,A bus will allow you to get to places that you need to go when you don't have a car,Cash is how you can get things that you need to buy or want to own
