Title,Description,Keywords,word10b,word1a,word1b,word5a,word5b,word3b,word3a,word11a,word11b,word6a,word6b,word17b,word17a,word8b,word8a,word13a,word15a,word10a,word19a,word19b,word18b,word18a,word15b,word2a,word2b,word0b,word0a,word4b,word4a,word13b,word7b,word7a,word12a,word12b,word16a,word16b,word9a,word9b,word14b,word14a,Answer.Q0Answer,Answer.Q0Meaning,Answer.Q10Answer,Answer.Q10Meaning,Answer.Q11Answer,Answer.Q11Meaning,Answer.Q12Answer,Answer.Q12Meaning,Answer.Q13Answer,Answer.Q13Meaning,Answer.Q14Answer,Answer.Q14Meaning,Answer.Q15Answer,Answer.Q15Meaning,Answer.Q16Answer,Answer.Q16Meaning,Answer.Q17Answer,Answer.Q17Meaning,Answer.Q18Answer,Answer.Q18Meaning,Answer.Q19Answer,Answer.Q19Meaning,Answer.Q1Answer,Answer.Q1Meaning,Answer.Q2Answer,Answer.Q2Meaning,Answer.Q3Answer,Answer.Q3Meaning,Answer.Q4Answer,Answer.Q4Meaning,Answer.Q5Answer,Answer.Q5Meaning,Answer.Q6Answer,Answer.Q6Meaning,Answer.Q7Answer,Answer.Q7Meaning,Answer.Q8Answer,Answer.Q8Meaning,Answer.Q9Answer,Answer.Q9Meaning
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,2,trader,1,,3,execute,1,driven,4,opinion,3,sit,1,great,4,them,1,trouble,4,formulated,1,entity,1,,3,conclusion,1,,3,battlefields,2,warn,4,complement,5,markers,1,stress,4
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,3,trader,1,adopt,1,execute,1,driven,4,opinion,1,sit,1,great,1,them,1,trouble,2,formulated,1,entity,1,,3,conclusion,2,,4,,2,warn,4,complement,4,markers,1,stress,3
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,4,trader,4,borrows,4,formulated,4,driven,4,opinion,3,sit,4,great,4,them,3,trouble,4,formulated,2,entity,1,professing,4,conclusion,3,complement,4,battlefields,3,warn,4,complement,5,markers,4,stress,4
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",trader,entity,bakonzo demanded,braveries,battlefields,conclusion,persecution,borrows,adopt,notifying,warn,them,complement,markers,tissue hypoxia angiogenesis,historically-driven,sticking,mong,formulated,emezine r,trouble,alarmed,sit,express,professing,compose,conjugate verbs,congratulate,complement,driven,complement,perfectly complements,formulated,execute,great,keen,stressor,stress,conclusion,opinion,compose,4,trader,1,adopt,3,execute,1,driven,5,opinion,2,sit,3,great,2,them,1,trouble,5,formulated,1,entity,1,express,5,conclusion,1,complement,5,braveries,1,warn,4,complement,5,markers,4,stress,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,notifying,4,vexing,2,unswayed,3,essential,2,complement,4,expressions,1,assess,4,determinations,1,determined,5,standard,1,expressions,1,economic,5,scouting,5,minimize,3,constrained,2,driven,3,edit,2,mimic,5,famous,1,genuine,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,inform,4,sticking,1,untouched,3,interest,1,can,1,expressions,1,assess,1,determinations,2,driven,2,standard,1,expressions,2,financial,4,scouting,3,minimize,2,constrained,2,labored,1,,3,mimic,3,,1,,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,,4,sticking,1,untouched,3,interest,2,can,1,scars,1,assess,1,,2,,5,standard,1,,2,,3,scouting,3,minimize,2,constrained,5,driven,3,,3,mimic,4,,1,,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,,4,sticking,1,,1,interest,1,can,1,scars,1,,1,determinations,3,driven,4,standard,1,expressions,3,,3,scouting,4,minimize,1,constrained,1,driven,1,edit,4,simulate,4,odd,1,genuine,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,inform,4,sticking,1,untouched,4,interest,1,can,1,scars,1,assess,1,determinations,4,driven,4,standard,1,representation,4,financial,3,scouting,4,minimize,4,constrained,1,driven,1,edit,3,mimic,4,odd,1,genuine,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,,5,sticking,2,unswayed,2,interest,2,complement,1,scars,1,formulated,2,determinations,1,determined,4,standard,1,representation,2,financial,3,scouting,4,constrained,2,constrained,2,driven,2,edition,1,mimic,4,famous,1,genuine,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",sticking,economic,financial,labored,driven,minimize,constrained,unswayed,untouched,edit,edition,driven,determined,famous,odd,can,assess,vexing,representation,expressions,standard,bs en#####,formulated,scouting,reconnoitering,inform,notifying,cabined,constrained,complement,simulate,mimic,essential,interest,determinations,realizability,genuine,thermal,scars,expressions,inform,5,sticking,1,untouched,1,interest,1,can,1,scars,1,assess,2,determinations,1,determined,5,standard,1,representation,2,economic,4,scouting,5,minimize,3,constrained,4,driven,2,edit,3,simulate,1,odd,1,genuine,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,3,trouble,5,,5,,3,impor tant,5,,5,,3,,1,report,4,fill,4,purpose,1,endeavor,1,staple,5,sayings,5,natural,3,imbalances,4,,3,constrained,4,,1,doubt,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,1,trouble,2,,5,diminish,1,essential,1,constrained,3,joke,3,the,1,report,2,fill,1,purpose,1,endeavor,1,staple,1,sayings,5,raw,3,imbalances,4,impose,2,constrained,5,essential,1,doubt,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,1,trouble,2,,5,,1,impor tant,3,crimped,3,joke,3,the,1,report,1,fill,1,purpose,1,endeavor,1,staple,4,sayings,4,raw,4,imbalances,4,impose,1,,1,essential,1,doubt,4
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,4,trouble,5,,5,diminish,5,impor tant,5,crimped,5,joke,5,the,1,report,4,fill,4,purpose,2,endeavor,1,essential,5,sayings,5,raw,5,imbalances,5,impose,4,encumbered,5,essential,1,doubt,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,1,trouble,2,,5,constrained,1,essential,2,crimped,1,joke,3,the,1,report,1,fill,1,purpose,1,endeavor,1,staple,3,sayings,2,raw,3,imbalances,4,impose,1,constrained,1,essential,1,doubt,4
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,1,trouble,3,,5,diminish,1,essential,3,constrained,1,joke,4,the,1,report,3,fill,1,purpose,1,endeavor,1,staple,3,sayings,2,natural,2,imbalances,5,implicates,1,constrained,1,essential,1,doubt,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",disturbs,endeavor,quam hk limited,imbalances,dissymmetry,expressions,sayings,complement,complement,implicates,impose,professing,report,essential,max booking,essential,laughs,trouble,expressions,purpose,fill,complement,joke,staple,essential,empowered,offer,raw,natural,impor tant,encumbered,constrained,diminish,constrained,the,choice,doubt,uncertainty,crimped,constrained,offer,1,trouble,5,,5,diminish,1,impor tant,5,crimped,4,laughs,5,the,1,report,5,fill,2,purpose,1,endeavor,1,essential,5,sayings,5,natural,5,imbalances,5,impose,1,constrained,4,essential,1,doubt,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,thinking,5,american,1,odd,5,driven,2,likable,2,requirement,3,discriminate,2,explanation,3,resting,4,calmed,5,intention,4,vital,5,essential,5,holder,1,requirement,2,complement,4,resting,1,option,5,uncertainty,5,empowered,4
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,,5,american,1,odd,3,driven,2,very,2,requirement,1,constrained,1,explanation,2,be,1,slowed,2,determinations,4,essential,5,,5,right,1,requirement,1,,3,resting,1,,5,uncertainty,4,empowered,2
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,,4,american,1,,4,driven,1,very,1,requirement,1,discriminate,1,,2,be,1,,3,intention,3,essential,4,essential,4,,1,requirement,1,complement,1,resting,1,,4,uncertainty,3,empowered,2
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,thinking,3,american,1,odd,3,driven,4,very,1,requirement,3,constrained,2,explanation,2,be,1,slowed,2,intention,1,vital,3,essential,4,right,1,requirement,2,complement,1,resting,1,choice,4,uncertainty,4,empowered,3
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,,4,'s,2,odd,2,driven,1,very,2,,2,,1,,1,be,1,,3,intention,1,,5,essential,4,right,1,requirement,1,,1,resting,1,,5,uncertainty,3,empowered,2
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,thinking,4,american,1,odd,4,driven,1,very,1,commitment,2,constrained,1,explanation,1,be,1,slowed,2,intention,2,vital,4,essential,3,right,1,requirement,1,complement,1,resting,1,choice,4,murkiness,1,empowered,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",'s,vital,essential,incorporate,complement,holder,right,uneven,odd,lefty kason gabbard,resting,resting,be,murkiness,uncertainty,very,constrained,american,determinations,intention,calmed,slowed,discriminate,essential,indispensable,thinking,thought,requirement,excessively burdensome,likable,option,choice,driven,convulsive,explanation,expressions,democratically accountable,empowered,commitment,requirement,thought,5,american,1,odd,5,driven,1,very,1,requirement,1,discriminate,1,expressions,2,be,2,calmed,3,intention,2,vital,5,essential,5,right,1,requirement,1,complement,1,resting,1,choice,5,uncertainty,4,empowered,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal,stipulating,5,empowered,1,rehabilitation,1,complement,4,pose,4,alarmed,2,arms,1,wrote,4,guess,4,accessibility,4,broadening,4,odd,4,fits,4,requirement,2,prevent,2,uneasiness,5,remember,5,essential,4,insulting,5,formulated,3
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal,requirement,3,empowered,3,rehabilitation,1,complement,2,pose,2,alarmed,3,arms,1,wrote,2,thought,3,availablenes,5,broadening,4,odd,1,fits,2,requirement,1,prevent,1,uneasiness,3,remember,4,essential,4,insulting,3,formulated,3
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal,,3,empowered,3,rehabilitation,1,complement,1,pose,2,,3,arms,1,wrote,2,guess,2,,4,,2,odd,1,fits,2,,2,prevent,1,,3,remember,4,urgently needed,3,insulting,2,,1
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal,requirement,4,empowered,1,rehabilitation,1,complement,1,pose,1,alarmed,4,arms,1,thought,5,guess,4,availablenes,5,furthering,5,odd,2,fits,3,applicable,4,prevent,2,uneasiness,5,remember,5,urgently needed,5,insulting,5,formulated,5
Judge the style of words and phrases,Provide your opinions on the style of different phrases (e.g. formal/informal),"English, language, research",dis empowered,odd,very,uncertainty,uneasiness,applicable,requirement,rehabilitation,sudantha ranasinghe,recall,remember,guess,thought,affront,insulting,pose,arms,empowered,furthering,broadening,availablenes,accessibility,grants,fits,complement,requirement,stipulating,empowered,prevent,compose,urgently needed,essential,complement,dovetail,wrote,thought,envisaged,formulated,alarmed,appal,requirement,4,,1,rehabilitation,1,,5,pose,1,alarmed,3,arms,1,,3,,3,availablenes,5,,4,very,1,fits,3,requirement,1,prevent,1,,5,,5,urgently needed,5,insulting,5,formulated,4
