Title,Description,Keywords,Id1,Event1,Id2,Event2,Id3,Event3,Answer.Event1,Answer.Event2,Answer.Event3,Answer.after1,Answer.after2,Answer.after3,Answer.before1,Answer.before2,Answer.before3,Answer.event-valid1,Answer.event-valid2,Answer.event-valid3
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",m5ofsDDsZtsEFwx+eiR4jA==,PersonX sees PersonX's mom,Ja4ZyiJJkR/3xRfQItMM6Q==,PersonX reaches out PersonY's hand,tXwLv+0Rt4vlYBYbZ9cP1A==,PersonX acquires PersonY interest,PersonX sees PersonX's mom,PersonX reaches out PersonY's hand,PersonX acquires PersonY interest,gives their mom a hug,holds hands with PersonY,invites PersonY on a date,returns to their hometown,goes on a date with PersonX,flirts with PersonY,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",BXhYG+3PYJbvfAEMO2tJ7Q==,PersonX raises the spectre,c8ulwkuObb/q6+OWl0FjcA==,PersonX visits PersonY's home,guUCIWKBBoNhWuFRJTISrw==,PersonX is walking down the road,PersonX raises the spectre,PersonX visits PersonY's home,PersonX is walking down the road,{},hugs PersonY,arrives at a gas station,{},calls PersonY,runs out of gas,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",NVTjKi5QQW/bhg51f15L9A==,PersonX raises a hand,KibBQllKR+WSiIIdukhn2A==,PersonX gives PersonY a character,s7THbx3RUna8scT4u9mFpQ==,PersonX circles the drain,PersonX raises a hand,PersonX gives PersonY a character,PersonX circles the drain,writes down the question so he doesnt forget it,makes a new character so he can have a backup just in case,turns on the water to get the excess dirt out after it was unplugged,wants to know what the last question was that the teacher said,sees that his friend wants to play the new game but doesnt have a charcater,sees that the drain is plugged and need to unplug it,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",tilutmEY0IhyAgG82vxsTw==,PersonX wears it every day,YUr99yNk51TKYgEAlTrokg==,PersonX browses PersonX's collection,PjBKWVUqcv3eFJoWrfcBQQ==,PersonX visits many stores,PersonX wears it every day,PersonX browses PersonX's collection,PersonX visits many stores,gets lots of compliments on the new coat.,picks out a pan to borrow.,finds a good tie at the nice store downtown.,buys a new coat.,needs to borrow a pan.,is looking for a new tie.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",OMzUbN/BLfDIUAYwj182Iw==,PersonX has PersonX's first kiss,eH/zXC4tvlRHXU+LDejWrw==,PersonX lets PersonY stay,ZCu2PhEJQV/vH2wmra+pZg==,PersonX dreams of one day,PersonX has PersonX's first kiss,PersonX lets PersonY stay,PersonX dreams of one day,asks for her number,allows PersonY to stay for a few days,{},is approached by a girl,is visited by PersonY,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Ywn0WKcFfD8ZDDNykyWb6A==,PersonX wants to buy,RyiAnmYROZ1cPJRr/+YTtA==,PersonX works yesterday,kDUSS083f2h8gYLY9j4vLA==,PersonX clears PersonX's name,PersonX wants to buy,PersonX works yesterday,PersonX clears PersonX's name,test drives the car,works today,avoids others,finds a car,works weekdays,makes a statement,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",G0HqkmyL1uxWj9uUesG5XA==,PersonX falls off the turnip truck,ImgfaombDaNacsuUviKPkg==,PersonX hops in PersonX's car,8L7jAR2FG2n5g7Wd5X8GWg==,PersonX throws stones at PersonY,PersonX falls off the turnip truck,PersonX hops in PersonX's car,PersonX throws stones at PersonY,misinforms PersonY.,drives away.,runs to safety.,reads fake news.,grabs keys.,picks up stones.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",bZkBKuuZWBgB8hZkEpvNtg==,PersonX feels badly,WXwRfiWHRwmBJUtQ0Z7i+A==,PersonX reads PersonY books,VHOwKvLQoftRiSPqFeYyZg==,PersonX loses every game,PersonX feels badly,PersonX reads PersonY books,PersonX loses every game,onX buys a new vase,onX decides to carry those books,onX drinks a beer after every game,onX falls and breaks a vase,onX attends school with PersonY,onX trains hard in football,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ygZxLpKf85NtrC4nfoj6/A==,PersonX teaches children to read,rCP/X0sJ0waIFyAvUAvSTQ==,PersonX swims upstream,AUhVgmrihm41R3jH1EHNQg==,PersonX changes PersonY's attitudes,PersonX teaches children to read,PersonX swims upstream,PersonX changes PersonY's attitudes,felt like she did a grat job,grabs the hotdog from his hand,felt like she did a good job changing society,went to college to learn,yelled at her kid,sees that someone is being racist,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",SNHJQChC0+83ORHTI+MN3w==,PersonX pays PersonX's debt to society,7l73LIN1V8COiNLn2V5oSA==,PersonX has trouble falling asleep,D2/b8GUkeVk99OIwqlgcgw==,PersonX watches PersonY play,PersonX pays PersonX's debt to society,PersonX has trouble falling asleep,PersonX watches PersonY play,leaves prison,gets out of bed,cheers for PersonY,kills PersonY,drinks caffeine,goes to PersonY's game,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",vPLF1CKIObQ7NtkAmk+DBg==,PersonX tells PersonY hoped,g4EixWhtpBLcTgW/qNkADw==,PersonX accompanies PersonY far,hhkWevjR9e3WBtDwA7cXzA==,PersonX strokes PersonY's back,PersonX tells PersonY hoped,PersonX accompanies PersonY far,PersonX strokes PersonY's back,{},visits national monuments with PersonY,hugs PersonY,{},goes on a roadtrip with PersonY,listens to PersonY's problems,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Lwb1u+4Og82wqEzdUINZPw==,PersonX impresses PersonY's boyfriend,4ZfFiDkVZUMp9xPwB2Wl7A==,PersonX gets the part,Ghda5zxokXiUCPocUI5XOA==,PersonX is the best ever,PersonX impresses PersonY's boyfriend,PersonX gets the part,PersonX is the best ever,takes PersonY's boyfriend out on a date,performs in the play,{},does a backflip on a motorcycle,auditions for a play,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",V5FFGOfJtPIs9UWQWSUJiw==,PersonX pushes PersonX's luck,zphcyCwgA6sERJVgNqgoBA==,PersonX wants a new video game,Uk8w80SGA1S7aWU7WcEAtg==,PersonX gets so angry,PersonX pushes PersonX's luck,PersonX wants a new video game,PersonX gets so angry,gets a broken nose and has to go to the hospital,goes to walmart and looks at the video game selection to see what he wants,goes out to the road and smashes the car's windshield with a baseball bat,is mad at his friend and wants to fight him,has been saving up for 3 months to get something nice,sees his cat get hit by a car,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Zi0IjYngo2C2YzS3VTVMWg==,PersonX is a good student,p3Xc0fisBXH6+ViNO/5JAw==,PersonX wastes food,9QfO7kpXba3jRu2eReSP1Q==,PersonX opens the email,PersonX is a good student,PersonX wastes food,PersonX opens the email,gets straight As,runs out of food fast,reads the email,studies hard every day,is full after one bite of dinner,receives an email,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",xplyvjeN7XzOrFJ3I88q6w==,PersonX sweeps the board,E5oKeaT23p/uncHSxAuqBA==,PersonX pays PersonX's respects,dsiOttxQEwk+hZXn6ufz3A==,PersonX scraps PersonX's knee,PersonX sweeps the board,PersonX pays PersonX's respects,PersonX scraps PersonX's knee,puts the cleaning supplies back.,cries.,yells in pain.,gets the board dirty.,is at a funeral.,trips over something.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",goSsQWVLBxahGMdeFl3EXg==,PersonX makes dinner,kGN17uLvd2ckNib6dloPcQ==,PersonX left PersonY behind,cY0MQqYoP2WpETrjD/NUxA==,PersonX enjoys PersonX's trip,PersonX makes dinner,PersonX left PersonY behind,PersonX enjoys PersonX's trip,eats dinner,goes back to get friend,comes home from trip.,shops for food,finds friend,plans for a trip,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",5PolnIWU5UqKjQfaERVwgw==,PersonX runs for president,XnEYkumFZOFwsEwe5N4IbQ==,PersonX makes apple pie,ayHpu1CFAT5fUuJN++AR0Q==,PersonX gets some friends,PersonX runs for president,PersonX makes apple pie,PersonX gets some friends,wins the election,eats the apple pie,hosts numerous parties,calls donors for money,heats up the oven,joins a frat,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",OnuSQuP2vyVIP66QsA2BLg==,PersonX begins studying,VP5CEXDRH/5vPH+I0hpC5A==,PersonX feels PersonY's pulse,BTMbWN+DK5BkI1lM+ZLk/Q==,PersonX loves cars,PersonX begins studying,PersonX feels PersonY's pulse,PersonX loves cars,X receives a law degree.,X calls 911.,X posts pictures to Instagram.,X plans to be a lawyer.,Y collapses.,"X attends the Nascar race,",,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",7zcDzVMFnZ9Fnd5WNvpWZA==,PersonX soft shoes,aFAcMTod4Nl1igbG0/4EOw==,PersonX makes a fire,1k7pDGmWmLGl+l94E1MzVA==,PersonX tells PersonY do not know,PersonX soft shoes,PersonX makes a fire,PersonX tells PersonY do not know,{},roasts marshmallows.,hears PersonY ask another question.,{},gathers up some wood.,hears PersonY ask a question.,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",BRV9J16ZddtU/MN6hjCXCA==,PersonX runs behind PersonY,JsdAJZBGMc/J/Rz7o5Qg0w==,PersonX takes the news,WUUGE3b9ERV/5zeat9tQqA==,PersonX does not have enough money,PersonX runs behind PersonY,PersonX takes the news,PersonX does not have enough money,finished the race,pays for his newspaper.,applies for unemployment.,put on his running clothes,went into the convenience store.,got fired from his job.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",bh37uGD5XD7E0UstRDHopw==,PersonX runs fever,PnjoEA0BSqMRZdZ811AUbg==,PersonX feels alone,NU5BssQsw2l2EOQ+EkvCOQ==,PersonX describes in detail later,PersonX runs fever,PersonX feels alone,PersonX describes in detail later,X takes some medication.,X calls friends for advice.,X follows the steps described.,X swims all day.,X leaves PersonX's wife.,X reads the procedure.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ileHcr5k+lb5ov9Q8G1ulA==,PersonX feels elated,kvjhRyel4j+YlU/KgqEMUw==,PersonX grabs PersonY's bags,eC8tq6U4BITBhuHbdt9NUw==,PersonX comes to PersonY decision,PersonX feels elated,PersonX grabs PersonY's bags,PersonX comes to PersonY decision,grabs a beer,places PersonY's bags on a cart,drive to burger king,gets a raise,arrives at baggage claim area,is hungry,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",S0oN8sL5fF7KupsJ0YtIhA==,PersonX collects rocks,T91WmV6oEtreBdrjxvDwSw==,PersonX writes PersonX's autobiography,U6EGpGfqNoRf4hXxSiNqKw==,PersonX finds PersonY audience,PersonX collects rocks,PersonX writes PersonX's autobiography,PersonX finds PersonY audience,takes rocks home,publishes PersonX's autobiography,{},walks to the shore,buys writing material,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",TF/KrQRdhQfj4t84yZG0Ng==,PersonX tells PersonY to make,r7tI5NIIpmv3ovYvuoEx1w==,PersonX revolves around PersonY,m6du2OCaWMJKLrjsRjEwlw==,PersonX cuts PersonX's hand,PersonX tells PersonY to make,PersonX revolves around PersonY,PersonX cuts PersonX's hand,eats the chicken,kidnaps PersonY,grabs a towel,buys chicken,stalks PersonY,cuts the onion,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",CTdLU+9ASlPCA14PNEbc1w==,PersonX takes PersonY's friends,JtlHSj1n6W17EuRW/L0VVQ==,PersonX seems to PersonY would be,FuzXEEj/983MQN4AvKC2IA==,PersonX feels frustrated,PersonX takes PersonY's friends,PersonX seems to PersonY would be,PersonX feels frustrated,made PersonY lonely.,{},takes a break.,exposes PersonY's actions.,{},is studying for a test.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Eviw6TFiZXM3AcFepf5MNw==,PersonX writes a letter to PersonY,4ydvXlihWctl2wR3G76T/g==,PersonX does n't lose weight,yfjwavUGSFmTddoYNMl8gg==,PersonX starts to drive,PersonX writes a letter to PersonY,PersonX does n't lose weight,PersonX starts to drive,mails the letter to PersonY.,quits the diet.,gets in a car accident.,travels to Europe.,goes on a diet.,gets a learner's permit.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",XiLZsTl099qPgPo0dphSUg==,PersonX improves dramatically,bW+wpHNjKpyfzTl3EUkp3A==,PersonX gives PersonY a nod,IgU+W6ilfbtNDrQyDl9cVQ==,PersonX returns the ring,PersonX improves dramatically,PersonX gives PersonY a nod,PersonX returns the ring,got a A on the final exam,says goodbye to PersonY when he left,was given a big reward,keep getting D's in science,walked down to the store,founds a ring on the subway,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ltmU0dkT+g4AnJv01oPuaQ==,PersonX meets a handsome man,6ts3M3rC5IwJNEepkd73hA==,PersonX rips in half,oulzluWcUKtNfcu6jeOXug==,PersonX hangs the moon,PersonX meets a handsome man,PersonX rips in half,PersonX hangs the moon,takes the man home.,dies.,hangs the sun.,goes to a mixer.,falls into some machinery.,is building a model of space.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",MdU8LEcVu/KsjZxdUx7E+Q==,PersonX eats spaghetti,Hvh3k5woPKsMixhJyrkDyQ==,PersonX pounds sand,A12vddL7Q9iNxHtBDANq2Q==,PersonX loses control of PersonX's car,PersonX eats spaghetti,PersonX pounds sand,PersonX loses control of PersonX's car,X puts the plate in the sink.,X looks up the next step.,X crashes into the guard rail.,X takes the plate out of the microwave.,X is making a glass vase.,X takes the turn too fast.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",jwqZ4AyVngPmq5WuZ4AnlA==,PersonX goes to the store to get more,s9AwIARJYR/m9miISZIdNg==,PersonX feels so nervous,E1aqO2+e3KwKWb44nF9E8w==,PersonX really liked it,PersonX goes to the store to get more,PersonX feels so nervous,PersonX really liked it,X refills the basket.,X manages to do a great talk.,X bakes more to give away.,X eats the last fruit.,X goes up the stage.,X bakes a new recipe.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",9GbwLnB0hx9K4wnBS33MVA==,PersonX throws a rock at it,bjGG9/pBHCqmQbReDu032A==,PersonX is freezing cold,Wmt5GIQQZHq6Qcw7PzSewA==,PersonX pays the cashier,PersonX throws a rock at it,PersonX is freezing cold,PersonX pays the cashier,misses the car,dies,leaves the store,sees a car driving by,goes into the wild,buys a pack of cigarettes,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",Zn8vYSdu6W6W/htDLOVjag==,PersonX immediately went,5nQm7KkNSB1ZpD5VP27vyw==,PersonX saves PersonY's soul,t2KsbBVN4EafSHZfOCc0oQ==,PersonX ensures PersonY's safety,PersonX immediately went,PersonX saves PersonY's soul,PersonX ensures PersonY's safety,took cookies along with them,recommends therapy to everyone he knows,{},go an invitation to a party,goes to therapy,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",UE4WHYWj64PIaezoEa5CZA==,PersonX gets PersonY's name,PBdnHUAOyTyPP0nZbVxMsw==,PersonX tells PersonY to follow,qqjgZWPCSeBemAY6X+P6Pg==,PersonX gets amongst it,PersonX gets PersonY's name,PersonX tells PersonY to follow,PersonX gets amongst it,is next of kin,is a leader,is hidden,is related to PersonY,is walking,sees the tree,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",nmmCMtm1yglEvOFgQNV7yw==,PersonX hightails high-tail it it,XRcIeZ5Yl6csuogpUE89nQ==,PersonX takes time off from work,FS3dhpcuIodE27yeRb01nw==,PersonX takes a look at PersonY,PersonX hightails high-tail it it,PersonX takes time off from work,PersonX takes a look at PersonY,crashes the car,comes back refreshed,says hello to PersonY,is in a high speed car chase,needs a vacation,tries to make new friends,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",whnu3DWvvelStNzEsU/n3g==,PersonX brings PersonX's car,AHckjjtmlzxyrrmBdz7sYw==,PersonX pulls the car,Vn1/BR+DublV7gqsyGW3FQ==,PersonX digs a big hole,PersonX brings PersonX's car,PersonX pulls the car,PersonX digs a big hole,rides home with them.,{},realizes the ocean water will go into the hole.,needs to help a friend.,{},is going to the beach today.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",QrGOtcPx3ELZhALIKuRMgQ==,PersonX enters PersonX's car,qlUL38MebsXGZxlht8lX4Q==,PersonX looks at PersonY curiously,OJGI27FJYutK42tHSOjVtw==,PersonX leans PersonY's forehead,PersonX enters PersonX's car,PersonX looks at PersonY curiously,PersonX leans PersonY's forehead,drives home from work,asks lots of questions about the story,{},leaves work for the day,listens to PersonY tell a story,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",NYhuRL9SHmB9GGcz9zsFUA==,PersonX sees PersonY woman,AWy2S6/h7r5BjXoVIAdRCg==,PersonX prevents PersonY from coming,rG1uKQk2GEP+bOt9+bO17Q==,PersonX helps PersonY sleep,PersonX sees PersonY woman,PersonX prevents PersonY from coming,PersonX helps PersonY sleep,Y waves to Person X.,Y flattens PersonX's tires.,Y achieves more at work and gets promoted.,X looks for a date.,Y plans to attend the wedding.,Y stays awake every night.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",8uQ97648+l3PchahIabJhg==,PersonX turns in PersonX's grave,fc5WDDnQ5CdDY/audIS9XA==,PersonX sings together,211/frvjSQkSp7a53sSlEA==,PersonX would like,PersonX turns in PersonX's grave,PersonX sings together,PersonX would like,is alive again,sings with others,{},is dead,practice singing,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",j/ib3+ii7hbLup3CjSw4Aw==,PersonX disappears around the corner,Lt3c4n2EwduRC3zc6Hrn0g==,PersonX fits PersonY perfectly,U4frQcMjrMyf2OkJP4URCg==,PersonX loves dancing,PersonX disappears around the corner,PersonX fits PersonY perfectly,PersonX loves dancing,leaves the area.,makes PersonY feels good.,dances for the entire night.,turns around and walks away.,asks PersonY on a date.,dances happily on the dance floor.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",3FkaLzzBw9jywkwzLkHszA==,PersonX holds PersonY's hand out,p7hAUcLROZQ9zu0taSJqDQ==,PersonX gets PersonY home,tu9ukAKImNbwCtq7IJQr9g==,PersonX arrives soon,PersonX holds PersonY's hand out,PersonX gets PersonY home,PersonX arrives soon,X tries the shirt PersonY gave.,X goes home.,X serves the food on time.,X asks for assistance.,X picks up PersonY at the bar.,X gets a taxi.,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",K2x/q0w3FYZq51XDkuAc7Q==,PersonX is gaining a lot of weight,Cc58Ist/wE+qkkbIANdFKQ==,PersonX loves the painting,82MiMZtcGZoDhhbklrb5iA==,PersonX keeps PersonY sane,PersonX is gaining a lot of weight,PersonX loves the painting,PersonX keeps PersonY sane,gets sick,buys the painting,gets rich off the fees,eats a horrible diet,goes to an art show,is a therapist,,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",k33ncPFNPt5tkf74V+bTgw==,PersonX lies beside PersonY,KduBAKUWMie6RGCTyPb2Og==,PersonX really loves,zzLsNgLcP9bHBdPOIpfDAA==,PersonX has to call in sick,PersonX lies beside PersonY,PersonX really loves,PersonX has to call in sick,falls asleep next to PersonY.,{},goes back to sleep.,is in PersonY's bedroom.,{},wakes up sick.,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",NDxM9bdDJRitkJ84dveOLg==,PersonX gives the kitten,d0mCQFjvu2uaeK1pO61ufA==,PersonX blows PersonX's engine,48XwyvKmyZj2Tof6izMFgg==,PersonX looks at one another,PersonX gives the kitten,PersonX blows PersonX's engine,PersonX looks at one another,visits the kitten sometimes.,takes the car to the mechanic.,{},finds a kitten.,drives his car roughly.,{},,,on
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",pda+aPtDgsQAefzp0c3m2A==,PersonX wants to make,dzBPwAxr/OY7joV8BD7Q1Q==,PersonX settles PersonY's hash,mdgO7ZIGyaw1zZPqpRIvug==,PersonX sees the doctor,PersonX wants to make,PersonX settles PersonY's hash,PersonX sees the doctor,{},shakes hands with PersonY.,buys an ankle brace.,{},confronts PersonY.,sprains their ankle.,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",ZSjWJGKKEDoybKQC411XNQ==,PersonX also found,hD5gZZuLwkgu6RhcSBk+Fw==,PersonX begins the process,ytGA5Xu2RwTGTNcKgPTIZg==,PersonX buys a motorcycle,PersonX also found,PersonX begins the process,PersonX buys a motorcycle,{},reviews results,buys a helmet,{},starts a new project,gets motorcycle license,on,,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",7oZ9E4MnIUUb1mZVQE/nOQ==,PersonX is driving home from school,69RjTjhqy7mbRBngNPhb+w==,PersonX goes on PersonY's way,pXgFa8tFIFTn0W29uY1QaA==,PersonX fills PersonY's mouth,PersonX is driving home from school,PersonX goes on PersonY's way,PersonX fills PersonY's mouth,wrecks PErsonX's car,{},watches PersonY,finishes PersonX's schoolwork,{},pours the drink into PersonY's mouth,,on,
Describe what happens before/after events.,Read a short event description. Describe what happens before/after the event.,"text, event, description, annotation",h694ebsT8Njn1QPdIoPFsA==,PersonX puts PersonY away,Op2meJJaBX79eYt17hhW0w==,PersonX takes the trash,D5IIZUFfms8hxfdYQEryYA==,PersonX wins first prize,PersonX puts PersonY away,PersonX takes the trash,PersonX wins first prize,'s friend is a lot more calm.,enjoys a nice clean home.,"is so full, they cannot move an inch.",needs to control their friend.,needs to clean the house.,enters a food eating contest.,,,
