Title,Description,Keywords,text,Answer.comment,Answer.highlights,Answer.submit,Approve,Reject
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000000000000000000000000000000000000000000000010000000000000010000000000000000000000000000010110000000000000000000000000001100000000000000000000000000001000000000000001000000001100001100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000000000000000000000000000000000010000000000000000000000000010000000000000000000000000001010000000000000000000000001000001000000000000000000000000000001100100000001001000000001100010100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000010000000000000000000000100000000000000000000000000001100100000000000000000001000010000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000001000000000001000100000000001000000000000000000000000000000000001100000001000000000000001010000000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000001000001100000000000000000000000000001101000000000001000000011000010000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000000010000000000000000000000000000000000001000000000000000000000000000000000000000000001000000000000000100000000001000000100000000000000000000000000001000000000000001000000001100000100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000010000000000000000000000000000010000000000000000000000000000000000000000000000000000001010000000000000000000000000000000100000000000000000000000000001100000000001000000000001000010100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",As his 10-year-old son &#44; Wesley &#44; bombed down a snow-packed hill Monday afternoon &#44; Russell Pope smiled . ' Keep going &#44; son ! ' he yelled . ' Have fun . ' After a mostly snowless winter &#44; the Overland Park &#44; Kansas &#44; man enjoyed finally getting to sled with his children on the Presidents Day holiday . But in a growing number of cities &#44; something else has kept kids off the hills . The law . Dubuque &#44; Iowa &#44; is the latest city to give the traditional winter pastime the cold shoulder . In January &#44; city council members voted to ban sledding in 48 of the city 's 50 public parks and impose a $ 750 fine on repeat offenders . Other cities &#44; including Des Moines &#44; Iowa ; Montville &#44; New Jersey ; Lincoln &#44; Nebraska ; and Columbia City &#44; Indiana &#44; have taken less drastic measures &#44; banning sledding only on the most dangerous hills &#44; requiring helmets &#44; outlawing jumping ramps and thin sledding sheets or posting sternly worded warning signs that inform thrill seekers that they are sledding at their own risk . In Paxton &#44; Illinois &#44; park officials even removed a steep sledding mound .,,000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000001000000000001000000100000000000000000000000000001001000000001001000000001000000000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000010001000000000000000000000000000000000100000010000000000000000000000000000000000000000001000000010000000000101000000000000000000000000000000000000010110000000000000011000000000000000000000001000000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000000001000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000010000000110000000000000000010000000000000000000001000000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000010001000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000010000001000001000000000000000000000000000010100000010110000000000000000000000000000000000001001000100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000010001000000000000000000000000000000000100000010000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000010000000010100000000000000000000000000000000000001000000100000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000010001000000000000000000000000000000000110000010000000010000000000000000000000000000000001000000010000000000100000000000000000000000000000000000000010110000000000000010010000000000000000000000000000000000000000000000000,Submit,,
Read an article and highlight the most difficult words,Our goal is to figure out what words are most difficult in a paragraph of text.,"reading, complex, difficult words",MINNEAPOLIS -- A.J. Briscoe woke up on Monday &#44; Sept. 29 of this year to relentless rain . The downpour forced him to cancel a meeting at his favorite coffee shop because his van had broken down the day before . So he worked from the dining room table of his small &#44; impeccably decorated home in north Minneapolis &#44; marveling that weather and car repair were the biggest headaches of this ' amazing ' day . ## Liberation Day For the first time in 22 years -- since Briscoe was 14 years old -- the former Vice Lord gang member and five-time felon was free of any kind of state supervision . Twenty-two years of reporting his daily actions &#44; of submitting to unannounced visits &#44; of living only where other people said he could were over . Now Briscoe can vote for the first time . Leave the state without asking permission . Fully pursue his dream to become an entrepreneur and literacy advocate for young people of color &#44; to stop them from being sucked down the intoxicating pipeline that entrapped him . The reality thrills him -- and keeps him awake at night . ' I 've been struggling to stay optimistic &#44; to stay encouraged &#44; ' said Briscoe &#44; married and the father of a 5-year-old son with whom he is working to rebuild a relationship .,,00000000000000010001000000000000000000000000000000000100000010000000000000000000000000000000000000000000000000010000000000100000000000000000000000000000000000000010010000000000000010010000000000000000000001000100000000000000000000000,Submit,,
