Title,Description,Keywords,situation,source-id
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",John got a bite and his dad rushed to help him reel it in.,rocstories/9579d486-f8c6-4f42-a0b0-e93418496060/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She was annoyed by teachers using red ink on her papers.,rocstories/788a7677-bf53-4898-9c56-b31fa875a794/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",At her school's lunch period she picked a fight.,rocstories/40fb51d4-cd00-4566-b7f6-bf338d2ea139/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I got dizzy I finally ate something.,rocstories/c4c91262-3ff4-4a74-b65c-f05361248385/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Last week she found him having a Snapchat affair.,rocstories/4104ca25-e7c5-42c7-8e7e-4d578a0a22b0/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They agreed to save their money and go back next week.,rocstories/54eade0f-0f40-4f87-968d-ca08ecf7df22/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I explained they were to be monitored, obviously.",rocstories/1861e233-7435-4ff1-ac1b-c9a4196776f0/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she was finished, she scooped it up with carrots and crackers.",rocstories/81016e09-2dd8-40fc-acd5-c054fb05fa98/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Delilah stopped running and hissed at him.,rocstories/7bf5a994-05f4-4e2b-9529-8c4bd203ac62/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I put my computer back on the desk.,rocstories/3bbed381-5c10-4248-ba81-b5fb7e3999ae/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Monica went surfing with her friends one morning.,rocstories/87a93be5-db88-4fdc-a242-24e7e53a5d1b/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Any new child who did not know her was convinced to be her friend.,rocstories/ed263f52-7b32-4df7-9b03-0390baced62f/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","In the end, they give him the job.",rocstories/368847ee-1280-49fc-9a2e-23e2c4636241/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Joe has not studied for his test at all.,rocstories/756e88ab-6584-4bba-916c-fe964fa98884/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Barry was excited for his baseball match today.,rocstories/3ceab807-051d-4ae8-800a-227c624bdd26/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dirk explained that a local glass service put it in for him.,rocstories/bc1d840e-fcc8-4068-9876-0a537bf77235/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He was renowned for his lack of intellectual skills.,rocstories/60fce814-4edf-4db2-b4f1-b27abd8556e7/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","She opened the door and paid the delivery driver, and got her pizza.",rocstories/1351bf1e-10c0-4350-950b-7ef00ee227aa/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Sometimes she'd sit and talk to him, pretending he was there.",rocstories/0ec4ae60-d37b-46c4-86f2-fcc23af9ffdb/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","But when she took it for a test drive, she got a surprise.",rocstories/357044c1-17a4-4c38-8bca-b3107587ef4b/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He had to get them a new one the next day.,rocstories/64b00581-390f-49bd-9c45-84328bafd708/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Her beer floated down the river with her swimming after it.,rocstories/e75437d9-249a-49c4-b620-d71fdd339ca9/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",John was invited to Six Flags by the girl he liked.,rocstories/cb1c8fde-16ba-4fd1-96c2-980cda37a436/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Terry sits and looks at his flat tire waiting for help.,rocstories/d72a0728-c68b-4e63-a062-9401642b6cdd/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He was approved for benefits which makes me happy.,rocstories/6e768652-ade2-4881-924a-8c7903edc3c9/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Marcus started feeling lonely, so he started playing online games.",rocstories/a722d6a2-dd3f-49f9-8335-14c8c1e757ed/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",His parents encouraged him to join the debate team.,rocstories/2ede8667-4fe0-440a-80a7-59a630073b15/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He'd meant to call his wife and yell at her instead.,rocstories/3598d2f5-e673-4277-8ec6-281c5b722fee/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I wanted to reconcile, but eventually I just let her be angry.",rocstories/4df837b5-dc00-4822-8347-03dac6deed37/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Because of his hard work, he found a job in a big city.",rocstories/c1fe829e-2114-4e81-add4-34a456a5041a/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Brandy wanted to play cards, while Jake wanted to play dominos.",rocstories/92d156a4-7935-449e-8f09-bfdd43177eaa/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Ashley admitted she hadn't and decided to make an appointment.,rocstories/cc1ad298-5e62-4fe6-96eb-e0216cfe627b/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Somehow he ended up being the last guy on his team standing.,rocstories/b481ff32-97b1-4e70-9161-0d147aac74bf/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",While putting her toys away she found the letter on a toy shelf.,rocstories/212f83d6-4da2-4f0b-965d-51a7cae32636/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Gavin gave her flowers but she declined.,rocstories/dfd0a67b-25d4-43ff-8db0-fd679f4735b1/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",His dreams came true and he was finally rich.,rocstories/4992daf0-c9d9-4e06-8e5a-79c44689c137/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",But he believed the food their was too expensive.,rocstories/720fc07c-2a22-49ac-a8e5-251fbb33afb3/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She added all she had and hoped for the best.,rocstories/e621c83c-2573-4ebf-add2-b8560d094b92/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Alexandria sang on the sidewalks in her city to  support her family.,rocstories/5d4f88b4-a721-4326-a434-9f709aeccf50/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They told her to set up a lemonade stand.,rocstories/a1e49eba-e6cc-41f6-a763-87c9f4433bb4/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Looking down, she saw a frog resting on her toes.",rocstories/515c66f6-472a-48b0-a26c-3e0186c16c45/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They were very serious about maximizing their candy load!,rocstories/414e8bd4-98a9-43b2-af01-2d965ad37b04/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They were teaching me to do a spin when I fell and hurt my wrist.,rocstories/3f86eb4a-022f-43d7-bfc5-eca029fb23b2/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I wanted a cool temperature without dust in my face.,rocstories/2b66c360-40ed-4a5f-86ef-8993ef0d1b0f/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He tried to ask his friends to catch him up.,rocstories/23d195f5-11eb-4611-a94f-495f58ec7e6f/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I put it in I forgot about it.,rocstories/57d1bfb5-02dc-43af-bed4-84f5b715e59b/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He is thinking of something he can do with them.,rocstories/f289b987-909c-4f14-b707-4f5720f36b61/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom and his three friends made a movie.,rocstories/382aab2d-c79e-44f4-84f3-3c2493cec863/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Bernie didn't know where to sit at lunch on her first day of school.,rocstories/60c61754-276d-449c-9ac5-406ffd9ecb6a/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tim stood there awkwardly until they got there.,rocstories/634ea801-1c92-49c9-b910-3e0cbafd7667/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she excused herself to use the bathroom, she screamed.",rocstories/9eff624a-83cc-4d9c-9844-b2586f560d8f/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Kara made her dad lunch for work.,rocstories/5c28e894-2779-4da3-a3cf-91d750f82a2a/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom and Sally went to the Mexican restaurant for dinner.,rocstories/e8b33f2d-6728-4720-be76-1ce1992f4359/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Hannah went to meet her boyfriend.,rocstories/95bcf7ed-afc6-4135-ab9b-87ed73fadfb1/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He eat his chicken and it was great.,rocstories/c1bd1349-ce0e-49ee-b6bc-afc45345167d/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",It wasn't long before I had $100 saved!,rocstories/b1f13f58-657b-4ced-bd0d-e89477367e9f/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When her parents were present, they were usually busy.",rocstories/08bd3b9f-1cfa-499b-ba8e-ca1daf10cb2c/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Amanda got all their friends involved.,rocstories/31511287-8da4-4222-9247-1a2df1d466c9/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dan was afraid because he never encountered a shark before.,rocstories/e6afddf8-5317-4327-ba82-f0d765e59b78/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",A potential customer pulled up and asked her what her going rate was.,rocstories/8400202a-6b06-444e-9446-28a50c0b6a23/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom only had to yell at his girlfriend twice on the way to the beach.,rocstories/45c1be6f-911d-4697-ab0f-d7ecd522928e/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She noticed that water had pooled around her legs.,rocstories/c9ae30b3-0c2e-4660-ad4e-00ea9d5ab452/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom was trying to log onto his e-mail.,rocstories/586c7c43-3cea-47a1-b79c-549e9f22e8a2/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He wished he could get a plane out of his small town.,rocstories/daf28e96-8820-41b5-86b2-8dae20a8ac3c/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They had a bowling league that they played in every year.,rocstories/210563cd-97fa-40d8-bbcd-7ad02c5ec077/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","On the bus there, she remembered fighting with her brother.",rocstories/246c7689-7c9c-4f0e-916a-50cc42188d23/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Paul heard a funny noise coming from one of his car tires.,rocstories/513cea3e-e24d-4bdb-9095-faa282af6a37/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",A few days later Kenny hears back from them.,rocstories/98b4f064-be40-416a-9ab7-f982a991203f/sentence4/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","His daughter had captured a burglar, locking him in the garden shed.",rocstories/663772de-de72-4416-a698-100bb9ace5aa/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When she picked it up to dial, she noticed that it was dead!",rocstories/0406db9e-9961-4c45-a9a7-a2c0929eec43/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Genevieve decided that she wanted a milkshake at Denny's.,rocstories/bc40f865-aac6-424a-999e-19474344fae5/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",My husband decided he needed new shirts.,rocstories/fc7ebbbf-b56c-451f-b520-14a126814ac5/sentence1/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","When they returned home, they decided to buy a lake house.",rocstories/6ebc8d48-029b-4f00-89b3-773ce802825e/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",The client loved it so much that she invited Tim to the wedding.,rocstories/92a0a6a2-e447-476d-b00e-da84b346cac8/sentence5/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I called a taxi because my car would not start.,rocstories/24b049f6-c2e3-4372-b143-abca392c9cf2/sentence2/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He had put his iphone down before he started to play.,rocstories/e511a14c-8f6c-4349-80cd-e908249dfeeb/sentence3/original
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She lugged all four loads of their laundry downstairs.,rocstories/2f60c2ff-a3df-47bc-83dc-289415d427a4/sentence3/original
