Title,Description,Keywords,situation,source-id,Answer.nsfw,Answer.rot-1,Answer.rot-2,Answer.rot-3,Answer.rot-4,Answer.rot-5,Answer.simple
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Monica went surfing with her friends one morning.,rocstories/87a93be5-db88-4fdc-a242-24e7e53a5d1b/sentence1/original,,It's expected that you'll spend time with friends.,You should make an effort to include friends in your activities.,It's OK to keep time to yourself.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Any new child who did not know her was convinced to be her friend.,rocstories/ed263f52-7b32-4df7-9b03-0390baced62f/sentence3/original,,It's good to convince people to be your friend.,It's good to be kind to people.,It's good to be nice to children.,It's good to be friends with kids.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","In the end, they give him the job.",rocstories/368847ee-1280-49fc-9a2e-23e2c4636241/sentence4/original,,It's good to give someone a chance in life.,It's not okay to draw things out and make people wait.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Joe has not studied for his test at all.,rocstories/756e88ab-6584-4bba-916c-fe964fa98884/sentence3/original,,You should always study for a test that is coming up.,You shouldn't be lazy when it comes to school.,You can't expect students to always study for their tests.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Barry was excited for his baseball match today.,rocstories/3ceab807-051d-4ae8-800a-227c624bdd26/sentence1/original,,It's understandable to be excited when doing things you love.,It's expected that people will look forward to sports.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Dirk explained that a local glass service put it in for him.,rocstories/bc1d840e-fcc8-4068-9876-0a537bf77235/sentence3/original,,It's good to get help when you need a service done.,It's good to say good things about a company that did work for you.,It's good to explain where you got something to people.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He was renowned for his lack of intellectual skills.,rocstories/60fce814-4edf-4db2-b4f1-b27abd8556e7/sentence4/original,,{},{},{},{},{},on
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","She opened the door and paid the delivery driver, and got her pizza.",rocstories/1351bf1e-10c0-4350-950b-7ef00ee227aa/sentence4/original,,It's good to treat yourself to something nice every once in a while.,It's good to pay for things you have promised to.,It's not okay to eat junk food when you could have something healthy.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Sometimes she'd sit and talk to him, pretending he was there.",rocstories/0ec4ae60-d37b-46c4-86f2-fcc23af9ffdb/sentence4/original,,It's understandable to miss someone who has died.,People who talk to themselves may have a mental disorder.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","But when she took it for a test drive, she got a surprise.",rocstories/357044c1-17a4-4c38-8bca-b3107587ef4b/sentence3/original,,It's good to take cars for test drives before you decide to buy a car.,Sometimes things don't turn out the way you think.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He had to get them a new one the next day.,rocstories/64b00581-390f-49bd-9c45-84328bafd708/sentence5/original,,It's good to replace something someone else needs.,It's not okay to damage something of someone else's.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Her beer floated down the river with her swimming after it.,rocstories/e75437d9-249a-49c4-b620-d71fdd339ca9/sentence5/original,,It is good to not spill beer in the river.,It is ok to drink beer in a river.,It is expected people will know their limits if they drink beer in a river.,It is good to drink responsibly.,It is good to remove your beer cans from the river when you leave.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",John was invited to Six Flags by the girl he liked.,rocstories/cb1c8fde-16ba-4fd1-96c2-980cda37a436/sentence1/original,,It's ok to say no to a date if you aren't interested in the person.,It's ok to date casually.,It's good to ask someone on a date when you are interested in a relationship with them.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Terry sits and looks at his flat tire waiting for help.,rocstories/d72a0728-c68b-4e63-a062-9401642b6cdd/sentence5/original,,It's not okay to not try and fix things yourself.,It's good to take a breath and relax when things are going wrong.,It's good to help someone when they really need it.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He was approved for benefits which makes me happy.,rocstories/6e768652-ade2-4881-924a-8c7903edc3c9/sentence4/original,,It's good to be happy for someone else.,It's okay to need benefits.,If you want to receive benefits you should meet the requirements and apply.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Marcus started feeling lonely, so he started playing online games.",rocstories/a722d6a2-dd3f-49f9-8335-14c8c1e757ed/sentence3/original,,"If you're lonely, you should go out with other people.","If you're lonely, it's good to play games with others online.",It's wrong to play video games when you're feeling alone.,You shouldn't expect someone that is lonely to go out and meet new people.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",His parents encouraged him to join the debate team.,rocstories/2ede8667-4fe0-440a-80a7-59a630073b15/sentence2/original,,It's good to encourage your child to pursue hobbies.,It's good to develop your talents.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He'd meant to call his wife and yell at her instead.,rocstories/3598d2f5-e673-4277-8ec6-281c5b722fee/sentence5/original,,It's wrong to take your aggression out on a significant other.,It's understandable sometimes we over react when we are frustrated.,It's not okay to plan ahead to hurt someone.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","I wanted to reconcile, but eventually I just let her be angry.",rocstories/4df837b5-dc00-4822-8347-03dac6deed37/sentence5/original,,It's wrong to not make an attempt with someone you care about.,It's understandable to not want to put up with other peoples moods.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Because of his hard work, he found a job in a big city.",rocstories/c1fe829e-2114-4e81-add4-34a456a5041a/sentence3/original,,It's okay if you are intimidated about working in a big city.,It's understandable to have pride in your work.,"When you are rewarded for your hard work, it's okay to be happy.",It's okay if you're nervous about starting a new job.,It's okay if you're hesitant about moving to the city to work.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Brandy wanted to play cards, while Jake wanted to play dominos.",rocstories/92d156a4-7935-449e-8f09-bfdd43177eaa/sentence2/original,,Friends are expected to enjoy playing games together.,It's fine to have a preference that is different from one's friends.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Ashley admitted she hadn't and decided to make an appointment.,rocstories/cc1ad298-5e62-4fe6-96eb-e0216cfe627b/sentence3/original,,It's good to make an appointment.,It's good to be responsible.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Somehow he ended up being the last guy on his team standing.,rocstories/b481ff32-97b1-4e70-9161-0d147aac74bf/sentence2/original,,It's okay if you are surprised when the rest of your team has failed.,It's understandable if you feel pride when you are the last man standing in a competition.,You should cheer on your teammate when you can't play anymore.,It's good to be supportive of your last remaining teammate in the competition.,It's okay if you feel pressured when you are the last member of your team competing.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",While putting her toys away she found the letter on a toy shelf.,rocstories/212f83d6-4da2-4f0b-965d-51a7cae32636/sentence5/original,,It's rude to read other people's letters.,It's okay to be curious when you find a letter in your room.,It's good to clean up when you're done playing with your toys.,It's okay if you don't want to read a letter you find in your room.,You should read a letter if it's addressed to you.,
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",His dreams came true and he was finally rich.,rocstories/4992daf0-c9d9-4e06-8e5a-79c44689c137/sentence5/original,,It's good to have a dream and to pursue it.,It's wrong to be materialistic.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",But he believed the food their was too expensive.,rocstories/720fc07c-2a22-49ac-a8e5-251fbb33afb3/sentence2/original,,It's bad to overspend on food.,It's ok to not buy something you find to be too expensive.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",She added all she had and hoped for the best.,rocstories/e621c83c-2573-4ebf-add2-b8560d094b92/sentence3/original,,It is good to try your best at anything you do.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Alexandria sang on the sidewalks in her city to  support her family.,rocstories/5d4f88b4-a721-4326-a434-9f709aeccf50/sentence1/original,,It's good to work to support your family.,It's okay to sing in public.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They told her to set up a lemonade stand.,rocstories/a1e49eba-e6cc-41f6-a763-87c9f4433bb4/sentence3/original,,It's good to give advice to someone.,It's fine to sell something to make money.,{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation","Looking down, she saw a frog resting on her toes.",rocstories/515c66f6-472a-48b0-a26c-3e0186c16c45/sentence3/original,,It's expected that you respect wild animals.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They were very serious about maximizing their candy load!,rocstories/414e8bd4-98a9-43b2-af01-2d965ad37b04/sentence2/original,,Eating too much candy can rot your teeth.,Too much sugar can give you diabetes.,You might gain weight if you eat too much candy.,Candy is delicious and makes people happy.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",They were teaching me to do a spin when I fell and hurt my wrist.,rocstories/3f86eb4a-022f-43d7-bfc5-eca029fb23b2/sentence4/original,,It's good to teach people new things.,You should be careful so you don't fall down.,You should be careful when you teach somebody something so they don't get hurt.,You should go to the doctor if you're hurt.,{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",I wanted a cool temperature without dust in my face.,rocstories/2b66c360-40ed-4a5f-86ef-8993ef0d1b0f/sentence4/original,,It's allowed to want to be comfortable in your home.,It's inconsiderate of others to make the temperature too cold.,It's understood that it's hard to breathe when someone increase the airflow too much.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He tried to ask his friends to catch him up.,rocstories/23d195f5-11eb-4611-a94f-495f58ec7e6f/sentence4/original,,You should ask your friends to catch up if you're going ahead of them.,It's rude to go ahead of your friends.,You should catch up with your friends.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",When I put it in I forgot about it.,rocstories/57d1bfb5-02dc-43af-bed4-84f5b715e59b/sentence3/original,,You should not forget your responsibilities.,{},{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",He is thinking of something he can do with them.,rocstories/f289b987-909c-4f14-b707-4f5720f36b61/sentence2/original,,It's good to make plans with people.,It's good to think about things you can do with others.,It's good to go out with others.,{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Tom and his three friends made a movie.,rocstories/382aab2d-c79e-44f4-84f3-3c2493cec863/sentence1/original,,It's good to make something with your friends.,"If you work on a project with your friends, you should agree on how much work each of you should do.",{},{},{},
[4+ stars] Write rules-of-thumb for social norms: explain human expectations!,[4+ stars] Explain human expectations about social norms to a computer! Short and creative :-),"social norms, behavior, explanation",Bernie didn't know where to sit at lunch on her first day of school.,rocstories/60c61754-276d-449c-9ac5-406ffd9ecb6a/sentence1/original,,It's okay to be scared when it's your first day of school.,You should invite someone new to school to sit with you during lunch.,It's okay to be scared of new situations.,{},{},
