Title,Description,Keywords,head1,relation1,readable_relation1,tail1,head2,relation2,readable_relation2,tail2,head3,relation3,readable_relation3,tail3,head4,relation4,readable_relation4,tail4,head5,relation5,readable_relation5,tail5,Answer.q1_valid,Answer.q2_valid,Answer.q3_valid,Answer.q4_valid,Answer.q5_valid
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX plays it cool,isBefore,happens before,PersonX's decision to play it cool.,card swipe,AtLocation,located or found at/in/on,the following places:,PersonX watches PersonY,xWant,"as a result, PersonX wants",to watch PersonY again.,PersonX feels lucky,xWant,"as a result, PersonX wants",to bet on the outcome of the game. PersonX would want to bet on,PersonX goes to the doctor for a checkup,oReact,"as a result, PersonY or others feel",that PersonX is not healthy.,-1,1,1,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX is planning PersonY's wedding,isAfter,happens after,not a reason to not invite PersonY to the wedding.,PersonX trips balls,xNeed,"but before, PersonX needed",to get to the party. PersonX had to get to the party. Person,woman,ObjectUse,used for,the female equivalent.,PersonX gets work,isAfter,happens after,that PersonX gets a new job.,PersonX sticks PersonY's tongue,HinderedBy,can be hindered by,PersonY's tongue is hindered by PersonX's tongue is hindered by PersonX,1,2,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX goes to the library to study,oWant,"as a result, PersonY or others want",to go to the library to study as well.,PersonX distributes among PersonY,xNeed,"but before, PersonX needed",to have a way to know that PersonY is a person that is allowed to,PersonX loves ___ with PersonX's heart,xIntent,because PersonX wanted,to give ___ to PersonX's lover.,kindergartener,CapableOf,is/are capable of,be a challenge.,PersonX gets a call,isBefore,happens before,not a cause of the call.,1,-2,-9,-2,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX starts to sink,xWant,"as a result, PersonX wants",to get out of the water as soon as possible.,danger,AtLocation,located or found at/in/on,the most unlikely places.,PersonX takes PersonY example,xWant,"as a result, PersonX wants",to take PersonY's example.,PersonX smooths away the ___,xIntent,because PersonX wanted,"to ___, but PersonX was ___, so PersonX ___.""",PersonX goes ___ with PersonX's mom,oReact,"as a result, PersonY or others feel",that PersonX is a bad person.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX is a freshman in college,oEffect,"as a result, PersonY or others will",be able to infer that PersonX is a student.,PersonX touches wood,xAttr,"so, PersonX is seen as",a way of avoiding bad luck.,music books,ObjectUse,used for,the first time in the history of the world.,PersonX shoves PersonY back,HinderedBy,can be hindered by,PersonY's arm.,PersonX puts PersonY's phone,isAfter,happens after,that PersonY's phone is now in PersonX's possession.,1,1,-2,-1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX has n't eaten all day,isBefore,happens before,PersonX is hungry.,PersonX calls PersonY this morning,xEffect,"as a result, PersonX will",be able to see PersonY's phone number.,PersonX makes pasta that night,isBefore,happens before,that PersonX goes to the store and buys some pasta.,PersonX sees what was going on,xWant,"as a result, PersonX wants",to know why PersonY was doing that. PersonY would then have to explain,PersonX wants to learn how to sew,isBefore,happens before,that PersonX wants to learn how to sew.,2,2,1,2,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX impresses with PersonX's work,isBefore,happens before,a pre-condition for PersonX's work impressing.,witch dress,ObjectUse,used for,the first time.,PersonX takes place in the course,oEffect,"as a result, PersonY or others will",be able to see it.,PersonX catches flies,oEffect,"as a result, PersonY or others will",be more likely to catch flies.,PersonX sees a boy,oEffect,"as a result, PersonY or others will",see a girl.,-1,-1,1,-1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX wants to read,xReact,"as a result, PersonX feels","like to read, PersonX must read, PersonX has to read, Person",PersonX lands on PersonX's leg,oReact,"as a result, PersonY or others feel","it as a result of PersonX lands on PersonX's leg, others would",PersonX feels terrible,xIntent,because PersonX wanted,to do something to make PersonX feel better. PersonX decided to go to,PersonX makes arrangements,oEffect,"as a result, PersonY or others will",be able to see the information.,PersonX throws a frisbee,oWant,"as a result, PersonY or others want","to know what kind of frisbee it was, and how it was thrown",1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",punching bag,ObjectUse,used for,training.,PersonX takes a leaf out of PersonY's book,xNeed,"but before, PersonX needed",to be aware of PersonY's book.,PersonX interprets the ___ in ways,xWant,"as a result, PersonX wants",to know that PersonY is not going to interpret the ___ in ways that would,PersonX gives PersonY confidence,oWant,"as a result, PersonY or others want",to be around PersonY.,PersonX makes some pasta,oReact,"as a result, PersonY or others feel",like they have to make pasta too.,1,2,-2,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX puts together a ___,xEffect,"as a result, PersonX will","be able to ___, and PersonX will be able to ___.",PersonX loves the world gave,xNeed,"but before, PersonX needed",to love PersonX.,PersonX becomes great,xWant,"as a result, PersonX wants",to be a good person.,PersonX sings PersonX's heart out,xAttr,"so, PersonX is seen as",a good thing.,PersonX provides PersonY introduction,oReact,"as a result, PersonY or others feel",that PersonX is a good person.,-2,-1,1,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX can n't believe PersonX's luck,oReact,"as a result, PersonY or others feel",that PersonX is a person who is not worth mentioning.,bird lover,CapableOf,is/are capable of,be a bit of a challenge.,PersonX waits at home,oEffect,"as a result, PersonY or others will",be able to use the car.,PersonX pursues PersonX's course,isAfter,happens after,not a reason for PersonX to pursue that course.,PersonX inflicts ___ on others,xEffect,"as a result, PersonX will","be punished by ___.""",-1,-2,1,-2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes PersonY example,xIntent,because PersonX wanted,to know what PersonY was doing. PersonX asked PersonY what he was,PersonX has an amazing time,xNeed,"but before, PersonX needed",to get to the event. PersonX had to get to the event. Person,PersonX sits in PersonY's lap,xReact,"as a result, PersonX feels",a sense of security.,PersonX finally joined,xEffect,"as a result, PersonX will",be able to see the following:,PersonX becomes great,isAfter,happens after,not a cause of PersonX’s greatness.,1,1,1,-2,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX looks ___ in the face,xNeed,"but before, PersonX needed",to ___ first.,PersonX has always loved PersonY,isAfter,happens after,not a good reason to believe that PersonX has always loved PersonY.,PersonX sees PersonY alone,HinderedBy,can be hindered by,the fact that PersonX is not alone.,PersonX is excited and nervous,xAttr,"so, PersonX is seen as",a good thing.,PersonX makes the welkin ring,isAfter,happens after,not a consequence of PersonX's action.,2,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",magic,MadeUpOf,made (up) of,"a number of different spells, each of which is a different color. The colors",PersonX is right next to PersonY,xNeed,"but before, PersonX needed",to be right next to PersonZ.,PersonX alters PersonX's course,xReact,"as a result, PersonX feels",a sense of relief.,PersonX studies for an exam,isBefore,happens before,that PersonX studies for an exam.,PersonX finds it a new home,isBefore,happens before,that it is given a new name. This is usually done by the person who,1,2,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX quickly fell in love,xAttr,"so, PersonX is seen as",a sign of weakness.,PersonX gets the call,xNeed,"but before, PersonX needed",to be identified.,PersonX has a dinner party,xAttr,"so, PersonX is seen as",a sign of their social status.,PersonX knows no bounds,oWant,"as a result, PersonY or others want",to know what the hell is going on.,PersonX loses twenty pounds,xAttr,"so, PersonX is seen as",a positive change.,-1,2,2,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX smells nice,oReact,"as a result, PersonY or others feel",the same way.,PersonX takes cover,isBefore,happens before,not PersonX's fault.,PersonX attention whores,oWant,"as a result, PersonY or others want","to be like PersonX, and so on.",PersonX evens gave PersonY ___,xReact,"as a result, PersonX feels","___, and PersonY feels ___.",PersonX calls an ambulance,isAfter,happens after,not the same thing as the ambulance arriving.,-9,1,-2,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX leaves PersonY time,HinderedBy,can be hindered by,the fact that PersonX is still in the room.,PersonX makes bread,xReact,"as a result, PersonX feels",hungry.,PersonX wants ___ to play with,xNeed,"but before, PersonX needed",to get ___ to play with.,PersonX loves PersonY with all my heart,xWant,"as a result, PersonX wants",to be with PersonY forever.,PersonX smells something terrible,oReact,"as a result, PersonY or others feel",the same way.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX looks like a woman,HinderedBy,can be hindered by,the fact that the person is a man.,PersonX explains fully the ___,xReact,"as a result, PersonX feels",that the ___ is a ___.,football strips,ObjectUse,used for,the first time in the history of the club.,PersonX plays PersonY's favorite song,xReact,"as a result, PersonX feels",good.,PersonX gets the shot,xEffect,"as a result, PersonX will",be able to get the ball.,1,2,1,2,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX eats everything,oEffect,"as a result, PersonY or others will",be left with nothing.,PersonX gives the children ___,oEffect,"as a result, PersonY or others will","be given ___, and the rest will be given ___.",PersonX gets ___ at the store,xIntent,because PersonX wanted,"to ___, but PersonX was ___, so PersonX ___.""",project,HasProperty,can be characterized by being/having,a great way to get started with the platform.,PersonX takes PersonX's outside,xAttr,"so, PersonX is seen as",a threat to the relationship.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX bites PersonX's ___ to keep,xWant,"as a result, PersonX wants",to keep PersonX's ___ to bite PersonX's ___ to keep.,PersonX calls a taxi,isAfter,happens after,not a consequence of PersonX calling a taxi.,PersonX buys PersonY's phone,isAfter,happens after,that PersonX's phone is now PersonX's phone. It is not Person,PersonX sees PersonX's daughter,isAfter,happens after,kidnapped.,keypad,ObjectUse,used for,the keypad.,-2,-1,-2,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX looks like fun,oReact,"as a result, PersonY or others feel",the same way.,PersonX rescues PersonX's dog,isAfter,happens after,that PersonX's dog is no longer PersonX's dog.,PersonX exerts PersonX's influence,xWant,"as a result, PersonX wants",to exert PersonX's influence again.,PersonX finds a good place,HinderedBy,can be hindered by,the fact that the person is not allowed to use the place for a long time,PersonX draws the short straw,xIntent,because PersonX wanted,to get out of the situation. PersonX was not happy with the situation.,1,-2,1,1,-1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX comes back later,isAfter,happens after,not a consequence of PersonX's coming back.,PersonX provides PersonY estimate,HinderedBy,can be hindered by,the fact that PersonX is not aware of the fact that PersonY is not,PersonX wants to learn how to draw,oEffect,"as a result, PersonY or others will",want to learn how to draw too.,PersonX peers inside,oReact,"as a result, PersonY or others feel",the need to do the same.,PersonX takes ___ of things,xReact,"as a result, PersonX feels",___ about things.,-2,-2,1,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX turns over a new leaf,oEffect,"as a result, PersonY or others will",follow.,PersonX knows which end is up,isAfter,happens after,not a cause of PersonX knowing which end is up.,PersonX always made ___,xNeed,"but before, PersonX needed",to learn how to make ___.,PersonX holds PersonY's attention,HinderedBy,can be hindered by,the fact that PersonY is not looking at PersonX.,PersonX waits at home,oWant,"as a result, PersonY or others want",to wait at home too.,1,-2,2,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX brings people together,oWant,"as a result, PersonY or others want",to be a part of it.,PersonX promptly fired,HinderedBy,can be hindered by,the fact that the person who fired him is still in the same building.,bocci,HasProperty,can be characterized by being/having,"a species of sea snail, a marine gastropod mollusk in the",PersonX loves the experience,xReact,"as a result, PersonX feels",that PersonX is a good person.,PersonX keeps PersonY around,isAfter,happens after,that PersonY becomes a part of PersonX’s life.,1,-1,-9,-1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX wants to be an actor,isAfter,happens after,that they get a job as an actor.,PersonX about to get married,isBefore,happens before,that PersonX is in love with PersonY.,PersonX is working at a diner,isBefore,happens before,that PersonX is working at a diner.,PersonX becomes PersonY agent,oWant,"as a result, PersonY or others want",to know why.,PersonX uses the internet,isAfter,happens after,not PersonX's fault.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX takes a shopping cart to the store,isAfter,happens after,that the cart is returned to the store.,scenic view,AtLocation,located or found at/in/on,the area.,PersonX pulls the car over,xIntent,because PersonX wanted,"to get out of the car, and PersonX was going to get out of",PersonX cuts PersonY's leg,xReact,"as a result, PersonX feels",pain.,PersonX spends ___ at PersonY's house,xEffect,"as a result, PersonX will","be able to ___.""",1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX kisses PersonY gently,oEffect,"as a result, PersonY or others will",be able to see the kiss.,PersonX plays ball,isBefore,happens before,a pre-condition. Something that happens after PersonX plays ball is a post,PersonX presents PersonX's views,oReact,"as a result, PersonY or others feel",that PersonX is not being fair to them.,PersonX sees PersonY's wife,xAttr,"so, PersonX is seen as",a wife of PersonY.,post binder,AtLocation,located or found at/in/on,the office supply section of your local store.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX meets friends,xAttr,"so, PersonX is seen as",a very positive thing.,PersonX makes it PersonX's career,isBefore,happens before,not a career. It's a job.,PersonX pulls PersonY's car,isAfter,happens after,that PersonY's car is now in PersonX's garage.,PersonX looks sad,oWant,"as a result, PersonY or others want",to know why.,black dress,ObjectUse,used for,the first time in the series.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX loves PersonY with all my heart,HinderedBy,can be hindered by,the fact that I am not PersonX.,PersonX takes a picture,isBefore,happens before,that PersonX is in a state of mind where they want to take a picture,PersonX puts PersonY's ___ together,isFilledBy,blank can be filled by,"""heart"" or ""soul"" or ""mind"" or ""spirit""",PersonX forms PersonY impression,xIntent,because PersonX wanted,to be like PersonY.,PersonX tans PersonY's hide,HinderedBy,can be hindered by,PersonY's Raincoat,-2,1,1,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX sits behind PersonY,oEffect,"as a result, PersonY or others will",not be able to see PersonX.,PersonX drives anyway,xNeed,"but before, PersonX needed",to get a driver’s license.,PersonX goes to bed early,HinderedBy,can be hindered by,the fact that PersonX is a woman.,PersonX orders one,oEffect,"as a result, PersonY or others will",follow.,PersonX is short on money,xEffect,"as a result, PersonX will",be unable to pay for the services of the lawyer.,2,2,-1,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX brings PersonY news,isAfter,happens after,that PersonY is very happy.,PersonX looks sad,xEffect,"as a result, PersonX will",be sad.,PersonX gathers all the ingredients,xReact,"as a result, PersonX feels",that PersonX is a good person.,PersonX touches wood,xEffect,"as a result, PersonX will",be healed.,PersonX wants to play outside,xNeed,"but before, PersonX needed","to get dressed. PersonX needed to get dressed, but PersonX was too",1,1,1,1,2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX studies ___ in college,oReact,"as a result, PersonY or others feel",that PersonX is a good person.,PersonX is ready to go,xNeed,"but before, PersonX needed",to be created.,PersonX wastes PersonX's day,xEffect,"as a result, PersonX will",be late for PersonX's next meeting.,PersonX remembers PersonY's name,xWant,"as a result, PersonX wants","to say ""Hello, PersonY"" to PersonY.",PersonX finds ___ PersonY wanted,isFilledBy,blank can be filled by,___ PersonZ.,1,-1,1,1,-2
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX crosses the ___ to get,xAttr,"so, PersonX is seen as",a sign of weakness.,PersonX rides every ride,xAttr,"so, PersonX is seen as",a good thing.,PersonX beats around the bush,xEffect,"as a result, PersonX will",be unable to get the job done.,PersonX shakes PersonY's heads,xReact,"as a result, PersonX feels",a sense of accomplishment.,PersonX goes home and rest,isBefore,happens before,that PersonX is going to have a shower.,1,1,1,1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX whistles dixie,isBefore,happens before,a pre-whistle event.,PersonX asks PersonY to speak,xIntent,because PersonX wanted,to speak.,PersonX cuts swathes,xReact,"as a result, PersonX feels",that PersonX is a failure.,PersonX finds PersonY at home,HinderedBy,can be hindered by,the fact that PersonY is not at home.,olive,ObjectUse,used for,the same purpose.,-1,2,-1,2,-9
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX breaks PersonY heart,xIntent,because PersonX wanted,to kill PersonY.,PersonX practices for weeks,xEffect,"as a result, PersonX will",be able to:,PersonX forgets PersonY's wallet,xEffect,"as a result, PersonX will",be able to spend the money in PersonY's wallet.,PersonX beats ___ easily,xAttr,"so, PersonX is seen as",a sign of ___'s weakness.,PersonX keeps PersonY from starving,xWant,"as a result, PersonX wants",to be paid back.,-1,2,-1,-1,1
Validate common sense statements,"Given a set of common sense statements, validate if they fit the prompt given","question, answer, AI",PersonX forgets the milk,oWant,"as a result, PersonY or others want",to know that PersonX is a forgetful person.,PersonX keeps PersonX's head,HinderedBy,can be hindered by,the fact that PersonX is a person.,PersonX tells ___ PersonY had a surprise,oReact,"as a result, PersonY or others feel","___ PersonY had a surprise, others would feel ___ PersonY had a surprise",PersonX starts a band,oWant,"as a result, PersonY or others want",to join in.,PersonX blows bubbles,isAfter,happens after,PersonX's blowing bubbles.,2,-1,-2,2,1
