Title,Description,Keywords,situation,question,type
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",keeping proof of your purchases.,Where do you keep proof of your purchases?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",giving some shoes away.,Why would you give them away?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I mowed the crowd down with an old fashioned scythe,Why did you need a scythe?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being anxious sometimes,Why are you anxious?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Teri eats the desserts quickly, over a couple of days",What kind of desserts?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",arguing with others.,What are you arguing about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",holding it against someone when they're uncool one day.,What made them uncool?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jim drives within the speed limit and reaches the airport quickly,How long did it take to get to the airport?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",lying to people about what you have done.,What are you lying about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I was an honored guest at the ceremony, but ended up breaking a bottle of champagne on the director's head",How did you break the champagne bottle?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",your ex staying loyal to you after you split,How long have you been apart?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I splattered paint on the wall in fun designs,What design did you want to do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",conveying relevant information to your superiors.,How did you convey the information?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",dressing up for special occasions when you're in high school.,What kind of outfits are you planning on wearing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I stayed home from school because I didn't feel like doing work,What kind of work did you do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jack tells his friend that he's wasting his time,What is Jack's friend doing?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being brutally honest with people in the context of a job,What are you being brutally honest about?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",raging while driving.,What are you rage about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Every morning I wake up my wife by screaming at her,What are you screaming at her for?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",spending your birthday alone.,What do you want to do on your birthday?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Brie exercises patience with the neighbor,What does the neighbor think of Brie's patience?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being nervous to tell your sibling they're being cheated on.,How do you feel about telling your sibling they're being cheated on?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Allison chooses a black dress to wear to the wedding,Why did she choose a black dress?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Connor watches the dog carefully and scoops up the poop when he is finished,What kind of dog?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",giving a quiz when people are not prepared.,How are people prepared for the quiz?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Insulting another person.,Why are you insulting them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",investigating things financially.,What kind of things are you investigating financially?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I threw the baseball at the net in my yard,What did the baseball do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Maggie continues pestering Jessie during her date insisting that solving the issue is more important,Why is it important to solve the issue?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being respectful of other's peace and quiet.,What is the situation?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Parents teaching their children about life.,What are they teaching their children?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",sharing things with your friends.,What kinds of things?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I asked for a doggie bag to put the restaurant silverware in,How many doggie bags did you need?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",doing fun activities with one's kids.,What kind of activities?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I hid from the cops in the dark alley,Why did you hide from the cops?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",moving on in life.,How do you plan to move on?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",There should always be rules in a household shared by people.,What are the rules?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",talking about offensive things during meal times.,What are the offensive things?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I borrowed the car from my neighbor,How did your neighbor feel about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling so alone that you find comfort in soft toys.,How do you feel alone?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",paying other people's bills.,What kind of bills?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I took my wife out for Valentine's Day, and then my mother out the next day",How did you treat your wife?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being upset when your partner breaks up with you because of your mental illness.,Why did they break up with you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I quickly extinguished the child that was on fire,How did you extinguish the child?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Iris slams down her remote onto the table hard enough to crack it,What did she use the remote for?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being motivated by outside sources in life.,What are the outside sources?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",starting to write at a young age when you want to become good at it.,What do you want to write about?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Trying to control who someone else associates with.,How do you feel about that?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I keep my old love letters just in case I'm feeling sentimental,Why do you keep your old love letters?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I passed my exam,How many attempts did you make?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",lying to your romantic partner when you talk to people of the opposite sex.,How did your partner react?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",admitting when you need extra help learning something.,What do you need help with?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I secretly cut the strings of his parachute,Why did you cut the strings?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",striving to remove annoyances from their life,What annoyances are you trying to eliminate?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I tossed seed to the birds in the park,What kind of seed?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",expecting your students to go on school trips.,Why do you expect your students to go on school trips?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",hugging someone who needs comforting.,Why do they need comforting?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",you'll help your parents.,What kind of help?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I didn't pay attention to the professor much because she was actually not very knowledgeable,What were you not paying attention to?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I surprised my stepmom by handing her a honeycomb full of honey,How did your stepmom react?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",hurting someone who hurt you.,Why did they hurt you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",slaming the door of someone else's car.,Whose car did you smash?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Sam starts making hateful comments about Bobbie being gay where everyone can hear,What comments are Sam making?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Hot liquids hurt my stepdad's teeth, so I'll make sure to nuke his coffee for at least 5 minutes",How long did you nuke his coffee for?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not going out with your boyfriend if something urgent comes up.,Why are you not going out with your boyfriend?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","My brother told me to take his tiger for a walk, so I let it follow me on a leash",Why did you let it follow you?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",giving up on your weight loss goals.,Why did you give up?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",speaking up if something's bothering you,What is bothering you?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",finding a partner that you find interesting.,What makes them interesting?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",depending on a single person for a business.,What kind of business?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I told my husband the dress I bought cost $100 less than it actually did,What was the dress?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jane works as a cashier and saves up fer her boyfriend's present,What is the present?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",liking a particular physical feature on the gender that you're attracted to,What kind of physical features do you like?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",posting fake product reviews.,How do you know they are fake?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",doing anything that will put you in jail.,What kind of things will you do?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",taking chances.,What are you taking chances with?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Amy harvests her tomatoes without taking any precautions and bumps into the beehive by accident,How many tomatoes did she harvest?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Randy gives Jake a hug and says he will always be there for him,What does Jake think of this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",communicating with an ex if you haven't in a while.,How did your ex react to you not communicating with them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",changing someone else's passwords.,Why are you changing their passwords?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I tossed rocks at the birds in the park,Why did you throw rocks at the birds?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",going for a walk when you eat an unhealthy meal to balance it out,How much of an unhealthy meal did you eat?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being confident when you are well prepared.,What are you prepared for?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Marc opens a pornography website and masturbates to an adult actress,What does the actress think about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",stating that you will only date people of a certain religion.,Why do you want to date people of a certain religion?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",hiding things from your partner.,Why are you hiding things from your partner?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","When I clogged my host's toilet, I acted like nothing happened",How did you clog the toilet?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","I flipped through a book, highlighted passages with a marker, and put it back in my bag",How did you feel about the book?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",expecting people to always use the toilet seat in the bathroom.,What are the people doing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",continuing on despite initial misgivings about a task.,What is the task?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",judging someone else's living situation.,What kind of living situation are they in?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",renting rooms to people,Who are the people?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",James snatches his stash of porn magazines from underneath his bed,Did James have a bedmate?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",buying things for your family.,What kind of things?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Bill goes outside on the porch to smoke,How does Bill feel about smoking?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",trying to dictate someone else's finances.,How do you think they feel about you doing this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",wanting to have space from your partner.,What is your relationship status?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",not wanting to get impregnated.,Why don't you want to get impregnated?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I included plenty of secret ingredients in my cakes like cinnamon and ginger,What are some of the secret ingredients?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",wanting showing someone off to the world when you love them,Why do you want to show them off?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jim focuses his attention on solely befriending Jenna while ignoring Jill,Why are you ignoring Jill?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",seeking out information on the company you work for.,What kind of information would you like?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",telling people what you expect from them.,What do you expect from them?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",opening up to people about your feelings.,What feelings do you have?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I brought home several reams of the office's paper so I could print flyers for my upcoming side gig at home,How much paper did you bring home?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",treating employees like they're replaceable,Why are you treating them like that?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Sam arrives 45 minutes late for his dental appointment,What did he do to be late?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",helping others find things that make them happy.,What things make you happy?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Money is not everything in the world.,What are you doing with money?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Denise talks to her child and tells her to go to her room as punishement,What punishment was Denise giving her child?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making plans about what you want to do with your money.,How much money do you have?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting out in nature,What are some benefits of doing this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Jeff is crushed by the breakup and wants nothing to do with Carol anymore,How did Carol feel about Jeff?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",having a sibling rivalry.,What do your siblings think about this?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",excusing people's criminal behavior.,What was the criminal behavior?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Kyle quickly puts the phone on mute, stopping the phone from ringing",Did Kyle forget to turn off the phone?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making time for other people in your life.,How do you make time for other people?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",James decided to check his parents' top drawer for petty cash,What kind of cash did James find?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",competing against others.,Why are you competing?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",People might think you're antisocial if you don't connect with others romantically.,Why don't you connect with others romantically?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I went to the post office to mail a letter bomb,Why did you want to mail a letter bomb?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",accepting money from people.,Why are you accepting money from people?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I gave her hope and dignity and returned to her her joy,What did you give her?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",partners enjoying sharing a meal together.,Are they happy?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",making things for people.,What kinds of things are you making?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",cheating a business out of money,How did you cheat them?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I ruined the royal family,Why did you ruin the royal family?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I asked for a doggie bag to put the restaurant leftovers in,Did you get a doggie bag?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",getting a break by being charged less by the cashier.,What did you buy?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",being attracted to someone out of your age group.,How old are you?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",Francis trolls user123 back and the forum becomes a huge room filled with insults from Francis and user123,What did user123 do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",feeling hurt after the end of a long relationship.,Why are you hurt?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",I drove over the speed bump in front of the grocery store,How fast was the speed bump?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",expecting your child to eventually surpass your strength as they get older.,What are your children's strengths?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",helping look for people when they go missing.,Where are the people who went missing?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",barging in on your roommate and their partner.,What did your roommate do?,t5_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality",It's wrong to be obsessed with karma points on Reddit.,What is your profession?,ppo_0.6
Evaluate questions with respect to a given situation,Your task is to evaluate questions with respect to a given situation,"text, nlp, evaluation, morality","Sandy diverts Mark's attention to other things, and Sandy shows Mark pictures of Natalie",What was Mark's reaction to Sandy showing Natalie pictures?,t5_0.6
