Title,Description,Keywords,pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights,Answer.isParaphrase,Answer.possAlignments,Answer.sourceHighlights,Answer.sureAlignments,Answer.targetHighlights
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},unchanged,0-0 1-6 3-2 4-5 8-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-13-43,ZBN19981111_0041,13,HITTestInput,Asian recovery was still at the early stage .,Asia 's still just beginning to recover from their own crisis .,asian recovery be still at the early stage .,asia 's still just begin to recover from their own crisis .,0.894736842,3,8-11 3-2 0-0 1-6,{},{},{},0-0 1-6 2-3 2-4 2-5 3-2 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5 7-3 7-4 7-5 8-11,{},{},7 8 9 10,,{},2 4 5,0-0 1-6 3-2 6-4 7-4 8-11,1 3 5 7 8 9 10
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 4-10 5-6 6-4 6-5 7-4 7-5 8-4 8-5 9-4 9-5 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 2-4 3-5 4-0 5-6 6-7 7-10 8-6 9-9 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 5-6 7-4 9-9 10-3 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 5-6 10-0 10-1 10-2 10-4 10-5 10-6 10-7 10-8 10-9 10-10,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 4-9 4-10 5-6 6-5 7-5 8-5 9-5 9-9 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-1 1-2 4-10 5-6 8-5 9-9 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},6 7 8,0-1 1-2 4-5 5-6 9-9 10-11,3 4
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},2 3,0-1 1-2 4-10 5-4 5-5 5-6 6-4 6-5 6-6 7-4 7-5 7-6 8-4 8-5 8-6 9-4 9-5 9-6 10-11,0 3 7 8 9
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,{},unchanged,0-0 0-1 0-9 0-10 1-0 1-2 2-0 5-6 9-9 10-4 10-6 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,3-Oct,unchanged,0-1 0-4 0-5 0-6 0-7 0-8 1-2 3-11 4-11 5-0 5-6 5-11 6-0 6-11 9-9 10-0 10-1 10-2 10-7 10-8 10-9 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,2-7 2-8,unchanged,0-1 1-2 3-4 4-10 5-6 6-5 7-5 8-5 9-5 9-9 10-11,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_168-8-10,chtb_168,8,HITTestInput,The 90s witnessed a closer cooperation between the two parties .,"Entering the 1990s , the bilateral co-operation has been going deeper .",the 90 witness a close cooperation between the two party .,"enter the 1990s , the bilateral co-operation have be go deeper .",0.894736842,1,10-11 5-6 1-2 9-9 0-1,{},{},{},0-1 1-2 4-10 5-6 6-5 7-5 8-5 9-5 10-11,2-0 2-7 2-8 2-9 3-4,{},{},,4-5 4-6 5-5 5-6,6 7 8,0-1 1-2 9-9 10-11,3 7 8
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,0-0 0-1 0-2 0-3 8-6 11-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,7-0 10-0 12-6,unchanged,0-0 1-1 2-2 5-5 8-6 11-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,1-7 2-2 2-3 2-4 3-3 3-5 3-6 4-1 4-3 4-4 4-5 5-1 5-4 6-2 6-6 7-4 8-6 9-2 10-4 11-0 11-3 11-5 12-1 13-4 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,0-0 1-5 2-1 4-2 5-6 7-3 8-6 10-6 11-3 11-5 12-2 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,0-7 1-6 2-5 3-4 4-3 5-2 6-1 7-0 8-0 8-6 11-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,8-6 11-3 13-0 13-1 13-2 13-3 13-4 13-5 13-6 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,1-1 2-1 3-1,unchanged,0-0 4-6 5-6 6-6 7-6 8-6 10-4 11-2 11-3 12-2 12-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,0-0 5-5 5-6 8-6 11-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},1 2 3 4 6 7 9 10,0-0 5-2 8-6 11-3 12-3 13-7,4 5
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,3-4 4-5 5-5 6-5 11-3 12-3,7 9 10,0-0 1-1 2-2 8-6 13-7,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},unchanged,2-4 3-5 5-1 8-1 8-6 11-3 13-7,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_045-6-24,artb_045,6,HITTestInput,Anghan is distinguished by the delicacy of her tones and her vocal rhythm .,Angham has excellent voice with fine tones .,anghan be distinguish by the delicacy of her tone and her vocal rhythm .,angham have excellent voice with fine tone .,0.894736842,6,13-7 8-6 11-3,{},{},{},5-5 8-6 11-3 12-3 13-7,0-0 1-1 2-1 3-1 9-4,{},{},,{},1 2 3 4 6 7 9 10,0-0 5-5 8-2 8-6 11-3 12-3 13-7,1 4
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_222-11-21,chtb_222,11,HITTestInput,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,many sector in the society also extend their help hand .,he be offer help from all walk of life .,0.894736842,1,10-9 8-3,{},{},{},2-7 3-7 7-3 8-3 9-3 10-9,0-5 1-6 4-8 6-1 6-2 6-4,5,0,,7-5 7-6 7-7 7-8 8-5 8-6 8-7 8-8,unchanged,6-2 8-3 9-5 9-6 9-7 9-8 10-9,unchanged
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_222-11-21,chtb_222,11,HITTestInput,Many sectors in the society also extended their helping hands .,He was offered help from all walks of life .,many sector in the society also extend their help hand .,he be offer help from all walk of life .,0.894736842,1,10-9 8-3,{},{},{},2-7 3-7 7-3 8-3 9-3 10-9,0-5 1-6 4-8 6-1 6-2 6-4,5,0,,{},unchanged,0-3 1-2 3-8 4-4 5-0 5-6 6-7 7-1 8-3 9-5 10-9,unchanged
