Title,Description,Keywords,pairID,documentID,segmentID,hitType,source,target,sourceLemmatized,targetLemmatized,jaccardDistance,lengthDifference,sureAlignments,possAlignments,sourceHighlights,targetHighlights,answerSureAlignments,answerPossAlignments,answerSourceHighlights,answerTargetHighlights
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,cmn-NG-31-117651-7396532-17-5,cmn-NG-31-117651-7396532,17,HITTestInput,How effective will this kind of corruption fighting be ?,What results can we expect from an anti-corruption campaign like this ?,how effective will this kind of corruption fight be ?,what result can we expect from an anti-corruption campaign like this ?,0.9,2,9-11 4-9 6-7 7-8,{},{},{},0-0 0-1 0-2 0-3 0-4 0-5 1-0 1-1 1-2 1-3 1-4 1-5 2-0 2-1 2-2 2-3 2-4 2-5 3-9 3-10 4-9 4-10 5-9 5-10 6-6 6-7 6-8 7-6 7-7 7-8 8-0 8-1 8-2 8-3 8-4 8-5 9-11,{},{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-11-174273-7483769-27-0,urd-WL-11-174273-7483769,27,HITTestInput,Even enemies are treated this way by the cruelest people .,Only extremely cruel mete out such treatment to their enemies .,even enemy be treat this way by the cruelest people .,only extremely cruel mete out such treatment to their enemy .,0.9,0,10-10 1-9 3-6,{},{},{},1-8 1-9 3-5 3-6 7-1 7-2 8-1 8-2 9-1 9-2 10-10,2-3 2-4 2-7 4-3 4-4 4-7 5-3 5-4 5-7,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981111_0041-8-18,ZBN19981111_0041,8,HITTestInput,Most forecasts anticipate a further slow down in the economy in the next few months .,It was also widely speculated that economic increases would continue to shrink over the following several months .,most forecast anticipate a further slow down in the economy in the next few month .,it be also widely speculate that economic increase would continue to shrink over the following several month .,0.896551724137931,2,15-17 14-16 12-14 9-6 11-13,{},{},{},0-3 4-8 4-9 4-10 5-11 6-11 7-6 8-6 9-6 11-13 12-14 13-15 14-16 15-17,1-0 1-1 1-2 1-3 1-4 1-5 2-0 2-1 2-2 2-3 2-4 2-5 10-12,{},7
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,XIN20040112.0179-8-2,XIN20040112.0179,8,HITTestInput,Syria believed that was only an act for the news .,Syria brushed this off as mere media coverage seeking attention .,syria believe that be only an act for the news .,syria brush this off a mere medium coverage seek attention .,0.9,0,10-10 0-0 9-6,{},{},{},0-0 1-1 1-2 1-3 4-5 8-6 8-7 9-6 9-7 10-10,2-4 3-4 5-8 5-9 6-8 6-9 7-8 7-9,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-86-174276-7483885-24-4,urd-WL-86-174276-7483885,24,HITTestInput,They wo n't use such drugs again .,"In the future , they need to stop taking medicine of this nature .",they wo n't use such drug again .,"in the future , they need to stop take medicine of this nature .",0.9,6,7-13 3-8 5-9,{},{},{},0-4 3-8 4-10 4-11 4-12 5-9 6-0 6-1 6-2 7-13,1-5 1-6 2-7,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-77-174260-7483866-8-2,urd-WL-77-174260-7483866,8,HITTestInput,That freedom may be as short lived as 24-48 hours .,"Whether , this independence continues for 24 or 48 hours .",that freedom may be a short live a 24-48 hour .,"whether , this independence continue for 24 or 48 hour .",0.8947368421052632,0,10-10 9-9 8-6 8-8,{},{},{},0-2 1-3 8-6 8-7 8-8 9-9 10-10,2-0 2-4 3-0 3-4 4-0 4-4 5-0 5-4 6-0 6-4 7-5,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,cmn-NG-31-117651-7396532-17-4,cmn-NG-31-117651-7396532,17,HITTestInput,"Furthermore , how effective will such anti-corruption work be ?",What results can we expect from an anti-corruption campaign like this ?,"furthermore , how effective will such anti-corruption work be ?",what result can we expect from an anti-corruption campaign like this ?,0.9,2,9-11 6-7,{},{},{},2-0 2-1 2-2 2-3 2-4 2-5 3-0 3-1 3-2 3-3 3-4 3-5 4-0 4-1 4-2 4-3 4-4 4-5 5-9 5-10 6-7 8-0 8-1 8-2 8-3 8-4 8-5 9-11,7-8,0,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,AFC20030130.0014-3-4,AFC20030130.0014,3,HITTestInput,The U.S. Olympic Committee is dysfunctional because of fierce internal feuds earlier .,The dysfunctioning USOC has shown serious inner squabbling .,the u.s. olympic committee be dysfunctional because of fierce internal feud earlier .,the dysfunctioning usoc have show serious inner squabbling .,0.9,4,12-8 5-1 9-6,{},{},{},0-0 1-2 2-2 3-2 5-1 8-5 9-6 10-7 12-8,6-3 6-4 7-3 7-4,11,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_222-11-40,chtb_222,11,HITTestInput,Help has been offered from others as well .,People from all walks of life also lend a hand to him .,help have be offer from others as well .,people from all walk of life also lend a hand to him .,0.9,4,8-12 7-6,{},{},{},6-6 7-6 8-12,0-7 0-8 0-9 1-7 1-8 1-9 2-7 2-8 2-9 3-7 3-8 3-9 5-0 5-1 5-2 5-3 5-4 5-5,{},10 11
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN20020317.0003-13-2,ZBN20020317.0003,13,HITTestInput,"However , Nasdaq 's advancer/decliner ratio is 6-5 .",But the American Auto Pricing stocks up and down rate is 6:5 .,"however , nasdaq 's advancer/decliner ratio be 6-5 .",but the american auto pricing stock up and down rate be 6:5 .,0.9,4,8-12 5-9 6-10,{},{},{},0-0 2-2 2-3 2-4 2-5 3-1 4-6 4-7 4-8 5-9 6-10 7-11 8-12,{},{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-78-174262-7455135-4-4,urd-WL-78-174262-7455135,4,HITTestInput,A lucky person breathed his last while prostrating in the Prophet 's Mosque .,"A fortunate man passed away in the state of Sajdah in The Mosque of Prophet , peace be upon him , in Holy City of Medina .",a lucky person breathe his last while prostrate in the prophet 's mosque .,"a fortunate man pass away in the state of sajdah in the mosque of prophet , peace be upon him , in holy city of medina .",0.7931034482758621,13,13-26 8-5 9-6 2-2 0-0 1-1 10-14 12-12,{},{},{},0-0 1-1 2-2 3-3 3-4 4-3 4-4 5-3 5-4 8-10 10-14 11-11 11-13 12-12 13-26,9-11,6 7,5 6 7 8 9 16 17 18 19 21 22 23 24 25
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-80-174265-7496743-11-1,urd-WL-80-174265-7496743,11,HITTestInput,Started from book 26 yesterday .,"Yesterday , I got a small chance to recite the Holy Quran and began from the 25th part .",start from book 26 yesterday .,"yesterday , i get a small chance to recite the holy quran and begin from the 25th part .",0.8571428571428572,13,5-18 4-0 0-13 1-14,{},{},{},0-13 1-14 2-17 4-0 5-18,3-16,{},2 3 4 5 6 7 8 9 10 11 12
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,LBC_NEWS_ARB_20060210_195800_675_944.qrtr-7-3,LBC_NEWS_ARB_20060210_195800_675_944.qrtr,7,HITTestInput,"The proposed and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that is acceptable by both parties .",Proposed and not proposed until we both find a name acceptable to both sides .,"the propose and the non-proposed , so we both arrive , with what we represent , we will arrive at a name that be acceptable by both party .",propose and not propose until we both find a name acceptable to both side .,0.7037037037037037,14,28-14 1-0 2-1 7-5 8-6 20-8 21-9 9-7 27-13 26-12 24-10,{},{},{},0-0 1-0 2-1 3-2 3-3 4-2 4-3 8-6 16-5 17-7 18-7 19-7 20-8 21-9 24-10 26-12 27-13 28-14,6-4 7-5 9-7 25-11,11 12 13 14,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,XIN20020412.0061-4-1,XIN20020412.0061,4,HITTestInput,"Inside the courtyard of the television station , a reception team of 25 people was formed to attend to those who came to make donations in person .",The TV station also establish a reception group of 25 to receive donors .,"inside the courtyard of the television station , a reception team of 25 people be form to attend to those who come to make donation in person .",the tv station also establish a reception group of 25 to receive donor .,0.7333333333333334,14,27-13 8-5 9-6 11-8 12-9 6-2 4-0 5-1 10-7 15-4 24-12,{},{},{},4-0 5-1 6-2 8-5 9-6 10-7 11-8 12-9 13-9 16-10 17-11 18-11 19-12 20-12 21-12 22-12 23-12 24-12 27-13,14-4 15-4,0 1 2 3 25 26,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,XIN_CMN_20060209.0078-20-4,XIN_CMN_20060209.0078,20,HITTestInput,China never threatened or threatens or will threaten any countries .,"China has never become a threat to any country in the past or present , and will not become a threat in the future .",china never threaten or threaten or will threaten any country .,"china have never become a threat to any country in the past or present , and will not become a threat in the future .",0.6666666666666667,14,10-24 8-7 9-8 1-2 0-0 2-5 4-20,{},{},{},0-0 1-2 2-1 2-3 2-4 2-5 2-6 2-9 2-10 2-11 3-12 6-16 7-18 7-19 7-20 8-7 9-8 10-24,1-17 4-1 4-3 4-4 4-5 4-6 4-13 5-15 6-21 6-22 6-23,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_557-2-30,artb_557,2,HITTestInput,London October 9/XinhuaCouncil of British Muslims denounced today US-led air strikes against Afghanistan .,"London , October 9 ( Xinhua ) - The Muslim Council of Britain declared its opposition to the air strikes carried out today by the US against Afghanistan .",london october 9/xinhuacouncil of british muslim denounce today us-led air strike against afghanistan .,"london , october 9 ( xinhua ) - the muslim council of britain declare it opposition to the air strike carry out today by the u against afghanistan .",0.6774193548387097,15,13-28 11-26 12-27 9-18 10-19 0-0 1-2 7-22 5-9 4-12 3-11,{},{},{},0-0 1-2 3-11 4-12 5-9 6-13 6-14 6-15 6-16 7-22 8-20 8-21 8-23 8-24 8-25 9-18 10-19 11-26 12-27 13-28,2-3 2-5 2-8 2-10,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000-26-2,groups.google.com_ritaj_3d2ba2725d890f0b_ARB_20060213_102000,26,HITTestInput,"From the menu , select Options then recorder then Source then Line-in .","From the top menu , select in sequence : Options , then Recorder , then Source , then Line-in , as shown in the following picture .","from the menu , select option then recorder then source then line-in .","from the top menu , select in sequence : option , then recorder , then source , then line-in , a show in the following picture .",0.4210526315789473,14,12-26 2-3 3-4 4-5 0-0 1-1 6-11 7-12 8-14 9-15 10-17 11-18 5-9,{},{},{},12-26 2-3 3-4 4-5 0-0 1-1 6-11 7-12 8-14 9-15 10-17 11-18 5-9,{},{},2 6 7 20 21 22 23 24 25
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981119_0059-4-21,ZBN19981119_0059,4,HITTestInput,Indonesia invaded the Portuguese colony in 1975 and annexed East Timor after several weeks .,"Indonesia intruded into East Timor , a colony of Portugal , in 1975 , and a few weeks later East Timor was merged into the territory of Indonesia .",indonesia invade the portuguese colony in 1975 and annex east timor after several week .,"indonesia intrude into east timor , a colony of portugal , in 1975 , and a few week later east timor be merge into the territory of indonesia .",0.6153846153846154,14,14-28 5-11 6-12 9-3 10-4 13-17 3-9 4-7 0-0,{},{},{},0-0 1-1 1-2 3-9 4-7 5-11 6-12 7-14 8-21 8-22 8-23 8-24 8-25 8-26 9-3 10-4 11-18 12-15 12-16 13-17 14-28,0-27 2-6 9-19 10-20,{},{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,artb_036-6-35,artb_036,6,HITTestInput,"On the other hand , Hammad clarified that the tax on casino tickets , where betting is done , has not been reduced .",Hammad said gambling casino tickets would not be discounted .,"on the other hand , hammad clarify that the tax on casino ticket , where betting be do , have not be reduce .",hammad say gambling casino ticket would not be discount .,0.7391304347826086,14,23-9 11-3 12-4 20-6 21-7 6-1 5-0 22-8 15-2,{},{},{},5-0 6-1 11-3 12-4 14-2 15-2 16-2 17-2 19-5 20-6 21-7 22-8 23-9,{},0 1 2 3 7 8 9 10,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,ZBN19981213_0043-7-16,ZBN19981213_0043,7,HITTestInput,Pfizer is considering running commercials that directly mention the name Viagra .,"Pfizer Company is thinking over whether any other advertisements in which the product 's name , Viagra , is mentioned directly , will be needed .",pfizer be consider run commercial that directly mention the name viagra .,"pfizer company be think over whether any other advertisement in which the product 's name , viagra , be mention directly , will be need .",0.6923076923076923,14,11-25 7-19 6-20 2-3 1-2 10-16 9-14 0-0 4-8,{},{},{},0-0 0-1 1-2 2-3 2-4 2-5 2-22 2-23 2-24 4-8 5-9 5-10 6-20 7-19 8-11 9-14 10-16 11-25,{},{},6 7 12 13
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_232-10-41,chtb_232,10,HITTestInput,The discoveries also provide new clues for seeking more dinosaur fossils .,The discovery of the dinosaur fossils also provides important hints for where researchers should look for additional fossils and how these bones fossils were buried .,the discovery also provide new clue for seek more dinosaur fossil .,the discovery of the dinosaur fossil also provide important hint for where researcher should look for additional fossil and how these bone fossil be bury .,0.6923076923076923,14,11-25 0-0 1-1 2-6 3-7 9-4 10-5 5-9 7-14 4-16 6-10,{},{},{},0-0 1-1 2-6 3-7 5-9 6-10 7-11 7-12 7-13 7-14 8-15 9-4 9-16 10-5 11-25,10-17 10-21 10-22,{},2 3 8 18 19 20 23 24
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_232-10-35,chtb_232,10,HITTestInput,The discovery of dinosaur skeleton fossils has offered important clues in terms of fossil regional distribution and burying patterns of fossils to further seek seeking dinosaur fossils .,The discoveries also provide new clues for seeking more dinosaur fossils .,the discovery of dinosaur skeleton fossil have offer important clue in term of fossil regional distribution and bury pattern of fossil to further seek seek dinosaur fossil .,the discovery also provide new clue for seek more dinosaur fossil .,0.7307692307692308,16,27-11 25-9 26-10 0-0 1-1 24-7 9-5 7-3,{},{},{},0-0 1-1 3-9 3-10 4-9 4-10 5-9 5-10 6-3 7-3 9-5 21-6 22-8 23-6 24-7 25-9 26-10 27-11,8-4,10 11 12 13 14 15 16 17 18 19 20,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,chtb_305-8-9,chtb_305,8,HITTestInput,"In his opinion , the documents signed by the two parties are of great importance to strengthening the good neighborly relations and friendly cooperation between the two countries .",He thought the documents just signed are important for good-neighborliness and friendly cooperation .,"in his opinion , the document sign by the two party be of great importance to strengthen the good neighborly relation and friendly cooperation between the two country .",he think the document just sign be important for good-neighborliness and friendly cooperation .,0.7419354838709677,15,28-13 21-10 22-11 23-12 4-2 5-3 6-5 19-9 14-7,{},{},{},0-1 1-0 2-1 4-2 5-3 6-5 11-6 12-7 13-7 14-7 15-8 18-9 19-9 20-9 21-10 22-11 23-12 28-13,{},7 8 9 10 16 24 25 26 27,4
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300-28-4,groups.yahoo.com_Yamuslim_9260_ARB_20060210_130300,28,HITTestInput,"So the Prophet , God 's prayer and peace be upon Him , said to him : `` More than your son , Omar ? ''","The Prophet replied : More than your son , Omar ?","so the prophet , god 's prayer and peace be upon him , say to him : `` more than your son , omar ? ''","the prophet reply : more than your son , omar ?",0.5833333333333333,15,18-4 19-5 20-6 21-7 22-8 23-9 24-10 1-0 2-1,{},{},{},1-0 2-1 13-2 14-2 15-2 16-3 18-4 19-5 20-6 21-7 22-8 23-9 24-10,{},4 5 6 7 8 9 10 11,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,urd-WL-72-174253-7562183-18-5,urd-WL-72-174253-7562183,18,HITTestInput,"And here , we fools consider them our Muslim rulers when we see this .","On the other hand , we , the foolish , never grow tired of saying they are Muslim rulers because they have themselves shown while they are praying .","and here , we fool consider them our muslim ruler when we see this .","on the other hand , we , the foolish , never grow tire of say they be muslim ruler because they have themselves show while they be pray .",0.84375,14,14-28 2-4 3-5 8-17 9-18 4-8 6-15,{},{},{},2-4 3-5 4-7 4-8 5-10 5-11 5-12 5-13 5-14 6-15 8-17 9-18 14-28,0-0 0-1 0-2 0-3 1-0 1-1 1-2 1-3,7,19 20 21 22 23 24 25 26 27
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,XIN20020410.0043-5-4,XIN20020410.0043,5,HITTestInput,Syria has beaten Iran with a score of 110:92 and the Iran team ended in the third place in basketball .,Syria defeated Iran by 110:92 .,syria have beat iran with a score of 110:92 and the iran team end in the third place in basketball .,syria defeat iran by 110:92 .,0.8,15,20-5 0-0 3-2 2-1 8-4,{},{},{},0-0 1-1 2-1 3-2 4-3 5-3 6-3 7-3 8-4 20-5,{},9 10 11 12 13 14 15 16 17 18 19,{}
Word Alignment Test,"The goal of these HITs is to test workers who have received training on how to create \""word alignments\"" for an academic research project on the meaning of language. Those who do well on these HITs will gain qualifications to do a larger set of HITs.",Word alignment,cmn-WL-8-89585-7834330-19-5,cmn-WL-8-89585-7834330,19,HITTestInput,"To me , the scene of circles appearing before my eyes no longer has any other function except for inducing the effect of dizziness caused by radiation .",The eye-full of circles makes you nothing else but dizzy .,"to me , the scene of circle appear before my eye no longer have any other function except for induce the effect of dizziness cause by radiation .",the eye-full of circle make you nothing else but dizzy .,0.8787878787878788,17,27-10 5-2 6-3 23-9 21-4 10-1,{},{},{},3-0 4-1 5-2 6-3 7-1 8-1 9-1 10-1 11-6 11-7 12-6 12-7 13-6 13-7 14-6 14-7 15-6 15-7 16-6 16-7 17-8 18-8 19-4 20-9 21-9 22-9 23-9 27-10,{},0 1 24 25 26,{}
