Title,Description,Keywords,clip,sent,phrase,Answer.answer,Answer.bad_sent,Answer.commentbox,Answer.question,Approve,Reject
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves,yes,,{},"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves,yes,,{},"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves,yes,,{},"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.12.028-00.34.15.674,"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",dissolves,yes,,{},"As Lenihan shakes off the smoldering pack, it dissolves the air with a thin haze.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out,yes,,{},Two men steer out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out,no,True,{},Two men steer out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out,yes,,{},Two men steer out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out,yes,True,{},Two men steer out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men steer out of the vehicles.,steer out,no,,{},Two men steer out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs,yes,,{},Nantz runs and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs,yes,,{},Nantz runs and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs,yes,,{},Nantz runs and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs,yes,,{},Nantz runs and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz runs and then stops.,runs,yes,,{},Nantz runs and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out,yes,,{},Nantz steps out and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out,no,,{},Nantz steps out and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out,yes,,{},Nantz steps out and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out,yes,,{},Nantz steps out and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz steps out and then stops.,steps out,yes,,{},Nantz steps out and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge,no,True,{},Two men charge of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge,yes,,{},Two men charge of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge,yes,,{},Two men charge of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge,no,True,{},Two men charge of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men charge of the vehicles.,charge,yes,,{},Two men charge of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing,yes,,{},"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing,yes,,{},"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing,no,,{},"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing,yes,,{},"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.26.099-00.34.29.065,"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",sobbing,no,,{},"Creeping to the edge of the pool, Lenihan aims into its sobbing murky water.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out,no,,{},Two men ride out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out,yes,,{},Two men ride out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out,yes,,{},Two men ride out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out,no,,{},Two men ride out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men ride out of the vehicles.,ride out,no,,{},Two men ride out of the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems,yes,True,{},Something seems below surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems,yes,True,{},Something seems below surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems,no,,{},Something seems below surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems,yes,,{},Something seems below surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something seems below surface.,seems,yes,,{},Something seems below surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns,no,,{},Nantz turns and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns,no,,{},Nantz turns and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns,no,,{},Nantz turns and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns,yes,,{},Nantz turns and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns,yes,,{},Nantz turns and then stops.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from,yes,,{},Two men escape from the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from,yes,,{},Two men escape from the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from,no,,{},Two men escape from the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from,no,,{},Two men escape from the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from,no,,{},Two men escape from the vehicles.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples,yes,,{},Something ripples surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples,no,,{},Something ripples surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples,yes,,{},Something ripples surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples,yes,True,{},Something ripples surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples,yes,,{},Something ripples surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower,yes,,{},They tower skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower,no,,{},They tower skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower,no,,{},They tower skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower,no,True,{},They tower skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower,no,True,{},They tower skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills,yes,,{},"Altogether, his face fills with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills,yes,,{},"Altogether, his face fills with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills,yes,,{},"Altogether, his face fills with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills,yes,,{},"Altogether, his face fills with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills,yes,True,{},"Altogether, his face fills with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears,no,,{},Something nears surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears,yes,,{},Something nears surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears,yes,,{},Something nears surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears,yes,True,{},Something nears surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears,no,,{},Something nears surface.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows,yes,,{},"Altogether, his face glows with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows,no,,{},"Altogether, his face glows with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows,yes,,{},"Altogether, his face glows with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows,yes,,{},"Altogether, his face glows with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows,yes,,{},"Altogether, his face glows with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar,yes,,{},They soar skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar,no,,{},They soar skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar,no,,{},They soar skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar,yes,True,{},They soar skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar,no,,{},They soar skyward.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals,yes,,{},Imlay steals the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals,yes,,{},Imlay steals the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals,yes,,{},Imlay steals the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals,no,,{},Imlay steals the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals,yes,,{},Imlay steals the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns,no,,{},"Altogether, his face burns with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns,yes,,{},"Altogether, his face burns with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns,yes,,{},"Altogether, his face burns with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns,yes,,{},"Altogether, his face burns with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns,yes,True,{},"Altogether, his face burns with sweat.",,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms,yes,,{},John storms off.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms,yes,,{},John storms off.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms,yes,,{},John storms off.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms,yes,,{},John storms off.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms,yes,,{},John storms off.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates,yes,,{},Imlay separates the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates,yes,,{},Imlay separates the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates,no,,{},Imlay separates the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates,yes,,{},Imlay separates the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates,yes,,{},Imlay separates the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips,yes,,{},Imlay strips the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips,yes,,{},Imlay strips the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips,yes,,{},Imlay strips the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips,yes,,{},Imlay strips the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips,no,,{},Imlay strips the pin from his grenade.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz avoids his uneasy gaze.,avoids,yes,,{},Nantz avoids his uneasy gaze.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz avoids his uneasy gaze.,avoids,yes,,{},Nantz avoids his uneasy gaze.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz avoids his uneasy gaze.,avoids,yes,,{},Nantz avoids his uneasy gaze.,,
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz avoids his uneasy gaze.,avoids,yes,,{},Nantz avoids his uneasy gaze.,,
