Title,Description,Keywords,clip,sent,phrase
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.07.170-00.03.09.675,Nantz turns and then stops.,turns
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men escape from the vehicles.,escape from
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something ripples surface.,ripples
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They tower skyward.,tower
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face fills with sweat.",fills
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.34.35.776-00.34.38.999,Something nears surface.,nears
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face glows with sweat.",glows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.33.783-00.12.35.632,They soar skyward.,soar
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay steals the pin from his grenade.,steals
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face burns with sweat.",burns
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.45.000-00.12.46.807,John storms off.,storms
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay separates the pin from his grenade.,separates
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.12.000-00.35.15.029,Imlay strips the pin from his grenade.,strips
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz avoids his uneasy gaze.,avoids
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face steams sweat.",steams
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz flicks his uneasy gaze.,flicks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.15.029-00.35.19.406,Water surges in upward as the grenade explodes.,surges
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face shines sweat.",shines
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.52.216-00.12.55.835,Nantz eases his uneasy gaze.,eases
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.56.404-00.13.00.902,"Now in a hallway, Martinez wrestles with Imlay",wrestles
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face rises sweat.",rises
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz walks up to two younger Marines hanging out by the car next to his.",walks up
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.15.029-00.35.19.406,Water empties in upward as the grenade explodes.,empties
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.56.404-00.13.00.902,"Now in a hallway, Martinez plays Imlay",plays
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz crosses to two younger Marines hanging out by the car next to his.",crosses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.15.029-00.35.19.406,Water drips in upward as the grenade explodes.,drips
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz strolls to two younger Marines hanging out by the car next to his.",strolls
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.56.404-00.13.00.902,"Now in a hallway, Martinez addresses Imlay",addresses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz passes two younger Marines hanging out by the car next to his.",passes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.56.404-00.13.00.902,"Now in a hallway, Martinez kills Imlay",kills
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.35.630-00.35.42.032,"His men lunge out into the open, one of them limping.",lunge
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz spots two younger Marines hanging out by the car next to his.",spots
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.30.213-00.13.37.565,"In the Humvee, Nantz hops in the passenger seat while John drives.",hops
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.35.630-00.35.42.032,"His men move out into the open, one of them grinning.",grinning
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz sees two younger Marines hanging out by the car next to his.",sees
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.30.213-00.13.37.565,"In the Humvee, Nantz rows up in the passenger seat while John drives.",rows up
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.35.630-00.35.42.032,"His men move out into the open, one of them halt.",halt
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines standing out by the car next to his.",standing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.30.213-00.13.37.565,"In the Humvee, Nantz seats in the passenger seat while John drives.",seats
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.35.55.317-00.36.02.210,"As the Marines roar into the street, a fiery projectile streaks down.",roar
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines stretching out by the car next to his.",stretching
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.30.213-00.13.37.565,"In the Humvee, Nantz stays in the passenger seat while John drives.",stays in
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.36.40.500-00.36.44.647,Nantz hooks a dressing to Simmons's charred neck.,hooks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines laying out by the car next to his.",laying
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.36.40.500-00.36.44.647,Nantz straps a dressing to Simmons's charred neck.,straps
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines sitting by the car next to his.",sitting
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.30.213-00.13.37.565,"In the Humvee, Nantz rides in the passenger seat while John travels.",travels
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.36.40.500-00.36.44.647,Nantz guides a dressing to Simmons's charred neck.,guides
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.42.000-00.13.52.893,They depart an airfield.,depart
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.39.14.000-00.39.16.503,The corporal totes a grenade.,totes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines kneeling by the car next to his.",kneeling
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.42.000-00.13.52.893,They race through an airfield.,race through
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.39.22.712-00.39.25.011,"As they near an open doorway, Nantz propels them to halt.",propels
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.59.899-00.14.03.236,Nantz chuckles and tilts his head.,tilts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.39.28.858-00.39.36.000,"As they kiss, Nantz sweeps a light from his rifle scope around the destroyed room.",kiss
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines lean by the car next to his.",lean
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.39.36.000-00.39.42.091,It passes over legs of some upturned chairs which topple a pair of tall cabinets.,topple
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines parking the car next to his.",parking
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.39.36.000-00.39.42.091,It passes over legs of some upturned chairs which wrap around a pair of tall cabinets.,wrap around
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines resting the car next to his.",resting
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam reflects on a man and woman.,reflects
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines working in the car next to his.",working in
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.59.899-00.14.03.236,Nantz chuckles and rolls his head.,rolls
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam grows on a man and woman.,grows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One drinks his sports drink in a toast.,drinks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.13.59.899-00.14.03.236,Nantz chuckles and covers his head.,covers
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam sheds on a man and woman.,sheds
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One lowers his sports drink in a toast.,lowers
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.14.48.500-00.14.51.802,Kerns disappears in the next room.,disappears
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam illuminates a man and woman.,illuminates
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One pours his sports drink in a toast.,pours
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, checks it in reply, then holds the ice to his knee.",checks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam depicts a man and woman.,depicts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.14.48.500-00.14.51.802,Kerns collapses in the next room.,collapses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.14.48.500-00.14.51.802,Kerns hides in the next room.,hides
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.04.625-00.40.08.836,The beam features a man and woman.,features
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.20.050-00.15.25.609,Now Martinez and Nantz hurry down a hall.,hurry down
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, shakes it in reply, then holds the ice to his knee.",shakes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.40.49.312-00.40.52.177,They eat.,eat
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, reads it in reply, then holds the ice to his knee.",reads
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.41.17.000-00.41.18.553,"Overhead, a burst of fire slices through the helicopter's windshield.",slices
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.20.050-00.15.25.609,Now Martinez and Nantz dart a hall.,dart
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz nod request.,nod
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.42.13.000-00.42.18.269,Harris and Doc chase the dead man away.,chase
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz beams stoically.,beams
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.20.050-00.15.25.609,Now Martinez and Nantz duck down a hall.,duck down
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz smiles stoically.,smiles
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.43.10.790-00.43.24.532,"Meanwhile, Nantz approaches Martinez who tends to the sat phone.",tends
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.51.307-00.15.54.055,The Asian Marine lines up Guerrero,lines
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz blinks stoically.,blinks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.44.44.500-00.44.48.959,Jets hurtle through the sky.,hurtle
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.51.307-00.15.54.055,The Asian Marine scoops up Guerrero,scoops
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.44.51.000-00.44.54.498,Nantz grips Martinez helmet then gives him a nod.,grips
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John stares at him.,stares
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John points at him.,points
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.15.51.307-00.15.54.055,The Asian Marine props up Guerrero,props
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.44.51.000-00.44.54.498,Nantz tugs Martinez helmet then gives him a nod.,tugs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.16.111-00.16.21.017,Now units offer a briefing.,offer
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.45.18.016-00.45.20.710,Doc swaps a penlight.,swaps
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John aims at him.,aims
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John hugs him.,hugs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.16.111-00.16.21.017,Now units perform a briefing.,perform
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.46.14.789-00.46.17.793,"As the father and son vanish, a mournful look crosses the staff sergeant's face.",vanish
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.46.14.789-00.46.17.793,"As the father and son parting, a mournful look crosses the staff sergeant's face.",parting
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John faces him.,faces
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.16.111-00.16.21.017,Now units allow a briefing.,allow
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.46.14.789-00.46.17.793,"As the father and son embrace, a mournful look crosses the staff sergeant's face.",embrace
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.26.451-00.16.29.745,Nantz and Martinez split a look.,split
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.59.500-00.05.01.803,John joins him.,joins
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE narrows his scope as Stavrou and Harris run outside.,narrows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.26.451-00.16.29.745,Nantz and Martinez linger a look.,linger
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes fall to his friend's face.,fall
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.48.45.000-00.48.52.102,SOMEONE watches through his scope as Stavrou and Harris crowd outside.,crowd
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, exposing liquid to spurt out.",exposing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.56.000-00.16.59.734,The Marines remove their helmets.,remove
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes drift to his friend's face.,drift
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.56.000-00.16.59.734,The Marines rip their helmets.,rip
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, inching liquid to spurt out.",inching
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes shift to his friend's face.,shift
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.16.56.000-00.16.59.734,The Marines peel off their helmets.,peel off
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes meet his friend's face.,meet
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.39.000-00.17.43.557,"Among the troops, Lenihan spreads the news.",spreads
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They spy the alien inside.,spy
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.47.000-00.17.51.994,Nantz and Martinez rejoin.,rejoin
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They bump the alien inside.,bump
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes widen his friend's face.,widen
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.05.000-00.05.07.002,Nantz eyes sink to his friend's face.,sink to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They saw the alien inside.,saw
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.47.000-00.17.51.994,Nantz and Martinez cheer.,cheer
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett gain through their scopes as Harris and Stavrou climb on to the bus.",gain
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.08.000-00.05.13.492,"John shoots him a kind look, then adds his signature to the form.",shoots
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.47.000-00.17.51.994,Nantz and Martinez advance.,advance
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou barge on to the bus.",barge
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.56.000-00.18.01.193,"On screen, a dissipating wave destroys dozens of aliens.",destroys
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.08.000-00.05.13.492,"John shows him a kind look, then adds his signature to the form.",shows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices punch into the alien's chest.",punch into
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.56.000-00.18.01.193,"On screen, a dissipating wave crashes down dozens of aliens.",crashes down
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.08.000-00.05.13.492,"John watches him a kind look, then adds his signature to the form.",watches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.17.56.000-00.18.01.193,"On screen, a dissipating wave whips dozens of aliens.",whips
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, clutching his rifles.",clutching
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.18.24.152-00.18.30.050,"In Camp Pendleton Air Station, California, Marines flee to waiting helicopter.",flee
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, stacking his rifles.",stacking
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.18.24.152-00.18.30.050,"In Camp Pendleton Air Station, California, Marines ascend to waiting helicopter.",ascend
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, steadying his rifles.",steadying
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door cracks slightly.",cracks
