Title,Description,Keywords,obs1,obs2,generatedHyp,model,Answer.grammatical,Answer.understandable,Answer.o1_h_coherence,Answer.h_o2_coherence,Answer.overall_coherence,Answer.overall_informativeness,Answer.not-understandable-reason
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Micah was at work.,He was never able to find it.,He was in the middle of a project that he had working on for a past few months.,delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,He had a pair of blue socks with a day-glo pattern on them.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,1,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,He had a pair of blue socks with a day-glo pattern on them.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,-2,-2,-2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Bob needed a new pair of socks.,Bob returned everything the next day.,He had a pair of blue socks with a day-glo pattern on them.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Yesterday I got the Star Wars game from the iTunes Store.,It was absolutely amazing.,I was excited to see that it was a free game.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Yesterday I got the Star Wars game from the iTunes Store.,It was absolutely amazing.,I was excited to see that it was a free game.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Yesterday I got the Star Wars game from the iTunes Store.,It was absolutely amazing.,I was excited to see that it was a free game.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sara was walking in front of her high school.,She ended up tripping and falling on the sidewalk.,She was wearing a red dress and a white headscarf.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sara was walking in front of her high school.,She ended up tripping and falling on the sidewalk.,She was wearing a red dress and a white headscarf.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Sara was walking in front of her high school.,She ended up tripping and falling on the sidewalk.,She was wearing a red dress and a white headscarf.,ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,-2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Wendy's brother loved to play tricks on her.,Wendy doubled up with laughter as he continued to try to blow them out,"He would make her blow up balloons, then make her blow up a giant balloon.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,1,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Wendy's brother loved to play tricks on her.,Wendy doubled up with laughter as he continued to try to blow them out,"He would make her blow up balloons, then make her blow up a giant balloon.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,2,2,1,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Wendy's brother loved to play tricks on her.,Wendy doubled up with laughter as he continued to try to blow them out,"He would make her blow up balloons, then make her blow up a giant balloon.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,1,1,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Mary and Bill wanted to get a Christmas tree.," Mary hung ornaments and lights, then sat back to admire her hard work.","They were looking for a tree that would be a good size for their home, and they wanted it to be a tree that would be easy to move",delorean_x_only,1,1,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Mary and Bill wanted to get a Christmas tree.," Mary hung ornaments and lights, then sat back to admire her hard work.","They were looking for a tree that would be a good size for their home, and they wanted it to be a tree that would be easy to move",delorean_x_only,1,1,2,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Mary and Bill wanted to get a Christmas tree.," Mary hung ornaments and lights, then sat back to admire her hard work.","They were looking for a tree that would be a good size for their home, and they wanted it to be a tree that would be easy to move",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Morgan was a candlemaker by trade.,The bride and groom were beside themselves with happiness about it.,"He was a master of the art of candle making, and his work was so beautiful that it was often used as a source of inspiration for the artists",delorean_x_only,2,2,2,2,2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Morgan was a candlemaker by trade.,The bride and groom were beside themselves with happiness about it.,"He was a master of the art of candle making, and his work was so beautiful that it was often used as a source of inspiration for the artists",delorean_x_only,1,1,2,-2,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Morgan was a candlemaker by trade.,The bride and groom were beside themselves with happiness about it.,"He was a master of the art of candle making, and his work was so beautiful that it was often used as a source of inspiration for the artists",delorean_x_only,2,2,2,-1,-1,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joshua was an absolute neat-freak.," Joshua was so enraged, he threw a bar of soap at his friend.","He was always the first to clean up after himself, and he was always the first to help out his friends.",delorean_x_only,2,2,2,-2,-2,2,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joshua was an absolute neat-freak.," Joshua was so enraged, he threw a bar of soap at his friend.","He was always the first to clean up after himself, and he was always the first to help out his friends.",delorean_x_only,1,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Joshua was an absolute neat-freak.," Joshua was so enraged, he threw a bar of soap at his friend.","He was always the first to clean up after himself, and he was always the first to help out his friends.",delorean_x_only,2,2,2,-1,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.","""I'm sure you're joggers, but I'm not sure you're runners,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-2,-1,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.","""I'm sure you're joggers, but I'm not sure you're runners,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,2,2,-1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",Charly signaled to her companion to be silent.," They breathed a sigh of relief, and resumed their morning jog.","""I'm sure you're joggers, but I'm not sure you're runners,"" he said.",ours_proc_xl_rank_trim5_ml20_nox_ppl_xyz_ppl_z_c_500.json_ppl_gens_top,1,1,1,1,1,1,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",It was my birthday.,When I got home the party was set up for my brother.,"I was in my room, and I was watching TV.",delorean_x_only,2,2,2,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",It was my birthday.,When I got home the party was set up for my brother.,"I was in my room, and I was watching TV.",delorean_x_only,1,2,1,-2,-2,,{}
Guess on what happened between two observed events.,"Given two observations, evaluate AI's guess.","story, commonsense",It was my birthday.,When I got home the party was set up for my brother.,"I was in my room, and I was watching TV.",delorean_x_only,2,2,2,-2,-1,,{}
