Title,Description,Keywords,e1_0,e2_0,relation_0,score_0,gold_triple_idx_0,readable_relation_0,e1_1,e2_1,relation_1,score_1,gold_triple_idx_1,readable_relation_1,e1_2,e2_2,relation_2,score_2,gold_triple_idx_2,readable_relation_2,e1_3,e2_3,relation_3,score_3,gold_triple_idx_3,readable_relation_3,e1_4,e2_4,relation_4,score_4,gold_triple_idx_4,readable_relation_4,e1_5,e2_5,relation_5,score_5,gold_triple_idx_5,readable_relation_5,e1_6,e2_6,relation_6,score_6,gold_triple_idx_6,readable_relation_6,e1_7,e2_7,relation_7,score_7,gold_triple_idx_7,readable_relation_7,e1_8,e2_8,relation_8,score_8,gold_triple_idx_8,readable_relation_8,e1_9,e2_9,relation_9,score_9,gold_triple_idx_9,readable_relation_9
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX orders fries,to go to the store,xNeed,0.8825887,203,"before the event, PersonX might need to",PersonX orders fries,to be hungry,xNeed,0.67107505,203,"before the event, PersonX might need to",PersonX orders fries,to order food online,xNeed,0.56032455,203,"before the event, PersonX might need to",PersonX orders fries,go to the store,xNeed,0.5109674,203,"before the event, PersonX might need to",PersonX orders fries,money,xNeed,0.4865397,203,"before the event, PersonX might need to",PersonX orders fries,to order food,xNeed,0.45674512,203,"before the event, PersonX might need to",PersonX orders fries,to buy food,xNeed,0.43797976,203,"before the event, PersonX might need to",PersonX orders fries,to order something online,xNeed,0.41334885,203,"before the event, PersonX might need to",PersonX orders fries,order menu,xNeed,0.409173,203,"before the event, PersonX might need to",PersonX orders fries,go in kitchen,xNeed,0.40591183,203,"before the event, PersonX might need to"
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX spills a drink,none,xIntent,0.7004864,497,intent of PersonX,PersonX spills a drink,their makeup,xIntent,0.3142134,497,intent of PersonX,PersonX spills a drink,b,xIntent,0.24641407,497,intent of PersonX,PersonX spills a drink,their dress,xIntent,0.23714249,497,intent of PersonX,PersonX spills a drink,hair out of their face,xIntent,0.20999593,497,intent of PersonX,PersonX spills a drink,a lot of things,xIntent,0.207853,497,intent of PersonX,PersonX spills a drink,each other,xIntent,0.20554261,497,intent of PersonX,PersonX spills a drink,fingers,xIntent,0.20453773,497,intent of PersonX,PersonX spills a drink,something on their face,xIntent,0.19896397,497,intent of PersonX,PersonX spills a drink,every moment,xIntent,0.19490291,497,intent of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX uses PersonX's coupons,gets a receipt,xEffect,0.74027836,3,effect on PersonX,PersonX uses PersonX's coupons,has less money,xEffect,0.6916307,3,effect on PersonX,PersonX uses PersonX's coupons,PersonX smiles,xEffect,0.55892676,3,effect on PersonX,PersonX uses PersonX's coupons,loses money,xEffect,0.55707496,3,effect on PersonX,PersonX uses PersonX's coupons,thanked,xEffect,0.50241286,3,effect on PersonX,PersonX uses PersonX's coupons,PersonX is thanked,xEffect,0.47924396,3,effect on PersonX,PersonX uses PersonX's coupons,no effect,xEffect,0.46113124,3,effect on PersonX,PersonX uses PersonX's coupons,gets thanked,xEffect,0.44291472,3,effect on PersonX,PersonX uses PersonX's coupons,gets change,xEffect,0.43738472,3,effect on PersonX,PersonX uses PersonX's coupons,is thanked,xEffect,0.41619572,3,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX loves PersonX's mother,none,oEffect,0.87618643,204,effect on others besides PersonX,PersonX loves PersonX's mother,smiles,oEffect,0.53730756,204,effect on others besides PersonX,PersonX loves PersonX's mother,blushes,oEffect,0.4609147,204,effect on others besides PersonX,PersonX loves PersonX's mother,their virginity,oEffect,0.3177498,204,effect on others besides PersonX,PersonX loves PersonX's mother,cries,oEffect,0.30183452,204,effect on others besides PersonX,PersonX loves PersonX's mother,i breath deeply in relief,oEffect,0.27553412,204,effect on others besides PersonX,PersonX loves PersonX's mother,PersonY's love,oEffect,0.22840513,204,effect on others besides PersonX,PersonX loves PersonX's mother,laughs,oEffect,0.2240485,204,effect on others besides PersonX,PersonX loves PersonX's mother,no effect,oEffect,0.20378323,204,effect on others besides PersonX,PersonX loves PersonX's mother,shakes hands,oEffect,0.18755758,204,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX opens the chest,i breath deeply in relief,oEffect,0.2812942,4,effect on others besides PersonX,PersonX opens the chest,x has to update y on the changes in the system,oEffect,0.24273081,4,effect on others besides PersonX,PersonX opens the chest,b,oEffect,0.21206792,4,effect on others besides PersonX,PersonX opens the chest,the team is forced to pack up and go home as there are no other balls to play with,oEffect,0.19781557,4,effect on others besides PersonX,PersonX opens the chest,no effect,oEffect,0.17913917,4,effect on others besides PersonX,PersonX opens the chest,their virginity,oEffect,0.17723303,4,effect on others besides PersonX,PersonX opens the chest,the taxi driver has to get up from his nap to pick up x,oEffect,0.17324933,4,effect on others besides PersonX,PersonX opens the chest,fingers,oEffect,0.16785707,4,effect on others besides PersonX,PersonX opens the chest,their presence,oEffect,0.15554725,4,effect on others besides PersonX,PersonX opens the chest,the bat,oEffect,0.15287215,4,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX makes PersonY sense,helpful,xReact,0.6577722,500,reaction of PersonX,PersonX makes PersonY sense,good,xReact,0.4517045,500,reaction of PersonX,PersonX makes PersonY sense,powerful,xReact,0.4166718,500,reaction of PersonX,PersonX makes PersonY sense,to talk to PersonY,xReact,0.35957515,500,reaction of PersonX,PersonX makes PersonY sense,file them down,xReact,0.35496816,500,reaction of PersonX,PersonX makes PersonY sense,satisfied,xReact,0.3521369,500,reaction of PersonX,PersonX makes PersonY sense,replies back to mail,xReact,0.34066007,500,reaction of PersonX,PersonX makes PersonY sense,good about themselves,xReact,0.33040154,500,reaction of PersonX,PersonX makes PersonY sense,shading,xReact,0.3203172,500,reaction of PersonX,PersonX makes PersonY sense,supportive,xReact,0.2986259,500,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX walks home from school,none,oWant,0.85737777,205,others besides PersonX might now want to,PersonX walks home from school,to relax,oWant,0.46288675,205,others besides PersonX might now want to,PersonX walks home from school,to rest,oWant,0.27853215,205,others besides PersonX might now want to,PersonX walks home from school,go home,oWant,0.2671862,205,others besides PersonX might now want to,PersonX walks home from school,i breath deeply in relief,oWant,0.20896916,205,others besides PersonX might now want to,PersonX walks home from school,to drive home,oWant,0.20710923,205,others besides PersonX might now want to,PersonX walks home from school,to greet PersonX,oWant,0.19803223,205,others besides PersonX might now want to,PersonX walks home from school,to sleep,oWant,0.19767924,205,others besides PersonX might now want to,PersonX walks home from school,b,oWant,0.19650471,205,others besides PersonX might now want to,PersonX walks home from school,go to bed,oWant,0.19416855,205,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX walks toward PersonY,outgoing,xAttr,0.78036916,5,attributes of PersonX,PersonX walks toward PersonY,friendly,xAttr,0.78000474,5,attributes of PersonX,PersonX walks toward PersonY,curious,xAttr,0.6847224,5,attributes of PersonX,PersonX walks toward PersonY,sure of themselves,xAttr,0.59973013,5,attributes of PersonX,PersonX walks toward PersonY,available,xAttr,0.5615251,5,attributes of PersonX,PersonX walks toward PersonY,social,xAttr,0.56006145,5,attributes of PersonX,PersonX walks toward PersonY,brave,xAttr,0.44085935,5,attributes of PersonX,PersonX walks toward PersonY,active,xAttr,0.4265648,5,attributes of PersonX,PersonX walks toward PersonY,bold,xAttr,0.42296007,5,attributes of PersonX,PersonX walks toward PersonY,romantic,xAttr,0.40731847,5,attributes of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX attends another,curious,xReact,0.70631236,504,reaction of PersonX,PersonX attends another,smart,xReact,0.4723721,504,reaction of PersonX,PersonX attends another,intelligent,xReact,0.39331308,504,reaction of PersonX,PersonX attends another,interested,xReact,0.39001697,504,reaction of PersonX,PersonX attends another,outdated,xReact,0.34341046,504,reaction of PersonX,PersonX attends another,knowledgable,xReact,0.33781382,504,reaction of PersonX,PersonX attends another,nervous,xReact,0.3101965,504,reaction of PersonX,PersonX attends another,knowledgeable,xReact,0.30578414,504,reaction of PersonX,PersonX attends another,late,xReact,0.29754168,504,reaction of PersonX,PersonX attends another,thin skinned,xReact,0.29683363,504,reaction of PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX starts talking to PersonY,none,oReact,0.4686457,206,reaction of others besides PersonX,PersonX starts talking to PersonY,each other,oReact,0.2239506,206,reaction of others besides PersonX,PersonX starts talking to PersonY,to send another text to PersonX,oReact,0.21659233,206,reaction of others besides PersonX,PersonX starts talking to PersonY,ignore person x's voicemail,oReact,0.2077491,206,reaction of others besides PersonX,PersonX starts talking to PersonY,their virginity,oReact,0.19948083,206,reaction of others besides PersonX,PersonX starts talking to PersonY,chatting,oReact,0.18615231,206,reaction of others besides PersonX,PersonX starts talking to PersonY,their watch back,oReact,0.1795068,206,reaction of others besides PersonX,PersonX starts talking to PersonY,the crowd,oReact,0.17751409,206,reaction of others besides PersonX,PersonX starts talking to PersonY,sociable,oReact,0.1765835,206,reaction of others besides PersonX,PersonX starts talking to PersonY,noticed,oReact,0.1758875,206,reaction of others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX reaches  in time,to rest,xWant,0.7216322,6,PersonX might now want to,PersonX reaches  in time,go home,xWant,0.61035764,6,PersonX might now want to,PersonX reaches  in time,rest,xWant,0.5210054,6,PersonX might now want to,PersonX reaches  in time,to celebrate,xWant,0.49607316,6,PersonX might now want to,PersonX reaches  in time,relax,xWant,0.46332568,6,PersonX might now want to,PersonX reaches  in time,to go home,xWant,0.422999,6,PersonX might now want to,PersonX reaches  in time,to leave,xWant,0.39681157,6,PersonX might now want to,PersonX reaches  in time,to sleep,xWant,0.38222584,6,PersonX might now want to,PersonX reaches  in time,i breath deeply in relief,xWant,0.3342027,6,PersonX might now want to,PersonX reaches  in time,something on their face,xWant,0.31830868,6,PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX stands with PersonY's back,none,oEffect,0.7008205,510,effect on others besides PersonX,PersonX stands with PersonY's back,smiles,oEffect,0.5158777,510,effect on others besides PersonX,PersonX stands with PersonY's back,cries,oEffect,0.4594863,510,effect on others besides PersonX,PersonX stands with PersonY's back,blushes,oEffect,0.45579827,510,effect on others besides PersonX,PersonX stands with PersonY's back,yells,oEffect,0.40145978,510,effect on others besides PersonX,PersonX stands with PersonY's back,PersonY yells at PersonX,oEffect,0.3734911,510,effect on others besides PersonX,PersonX stands with PersonY's back,gets yelled at,oEffect,0.37024257,510,effect on others besides PersonX,PersonX stands with PersonY's back,PersonY thanks PersonX,oEffect,0.36353952,510,effect on others besides PersonX,PersonX stands with PersonY's back,laughs,oEffect,0.2886722,510,effect on others besides PersonX,PersonX stands with PersonY's back,thanks PersonX,oEffect,0.27916703,510,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX meets the man of PersonX's dreams,to get to know PersonX,oWant,0.77175,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to spend time with PersonX,oWant,0.5409136,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to go on a honeymoon,oWant,0.46223834,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to hug PersonX,oWant,0.44907692,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to get married,oWant,0.4424726,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to talk to PersonX,oWant,0.41756505,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,hug,oWant,0.37229508,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to say hello,oWant,0.37020472,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,to greet PersonX,oWant,0.36858124,207,others besides PersonX might now want to,PersonX meets the man of PersonX's dreams,talk,oWant,0.35919785,207,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX expects a baby,their virginity,xEffect,0.4835869,7,effect on PersonX,PersonX expects a baby,PersonX smiles,xEffect,0.44117725,7,effect on PersonX,PersonX expects a baby,PersonY's love,xEffect,0.40877175,7,effect on PersonX,PersonX expects a baby,every moment,xEffect,0.40818992,7,effect on PersonX,PersonX expects a baby,i breath deeply in relief,xEffect,0.38705,7,effect on PersonX,PersonX expects a baby,each other,xEffect,0.36110356,7,effect on PersonX,PersonX expects a baby,her again,xEffect,0.3132725,7,effect on PersonX,PersonX expects a baby,a lot of things,xEffect,0.31180018,7,effect on PersonX,PersonX expects a baby,the next test date,xEffect,0.30393222,7,effect on PersonX,PersonX expects a baby,the crowd,xEffect,0.2802497,7,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX shovels PersonX's driveway,gets tired,xEffect,0.77521235,208,effect on PersonX,PersonX shovels PersonX's driveway,gets dirty,xEffect,0.71886045,208,effect on PersonX,PersonX shovels PersonX's driveway,PersonX is thanked,xEffect,0.70230234,208,effect on PersonX,PersonX shovels PersonX's driveway,gets thanked,xEffect,0.6906927,208,effect on PersonX,PersonX shovels PersonX's driveway,PersonX smiles,xEffect,0.629974,208,effect on PersonX,PersonX shovels PersonX's driveway,thanked,xEffect,0.622002,208,effect on PersonX,PersonX shovels PersonX's driveway,becomes tired,xEffect,0.61299807,208,effect on PersonX,PersonX shovels PersonX's driveway,sweats,xEffect,0.6027767,208,effect on PersonX,PersonX shovels PersonX's driveway,is thanked,xEffect,0.57898885,208,effect on PersonX,PersonX shovels PersonX's driveway,gets sweaty,xEffect,0.5677994,208,effect on PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX sends PersonY to the principal 's office,no effect,oEffect,0.44539237,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,PersonY yells at PersonX,oEffect,0.44303796,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,gets into argument,oEffect,0.41951296,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,yells,oEffect,0.4168046,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,punished,oEffect,0.38259712,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,none,oEffect,0.34722158,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,i breath deeply in relief,oEffect,0.332573,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,x has to update y on the changes in the system,oEffect,0.32489723,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,PersonY thanks PersonX,oEffect,0.32300696,512,effect on others besides PersonX,PersonX sends PersonY to the principal 's office,thanks PersonX,oEffect,0.3145134,512,effect on others besides PersonX
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX convinces PersonY otherwise,thank PersonX,oWant,0.51440305,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to understand what PersonX is saying,oWant,0.4672141,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to listen to PersonX,oWant,0.4570277,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to thank PersonX,oWant,0.4240108,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to hope for the best,oWant,0.40472823,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,i breath deeply in relief,oWant,0.39664322,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to thank him,oWant,0.39325795,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to part ways,oWant,0.372831,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,to protest,oWant,0.34508792,516,others besides PersonX might now want to,PersonX convinces PersonY otherwise,ask questions,oWant,0.31305882,516,others besides PersonX might now want to
Determine if the given events are valid.,"Given 10 short initial and final events, determine whether the mapping of events is valid.","rating, phrase, label, classification, text",PersonX wins PersonY's confidence,none,oEffect,0.41643637,8,effect on others besides PersonX,PersonX wins PersonY's confidence,i breath deeply in relief,oEffect,0.3716427,8,effect on others besides PersonX,PersonX wins PersonY's confidence,smiles,oEffect,0.30767056,8,effect on others besides PersonX,PersonX wins PersonY's confidence,blushes,oEffect,0.30235377,8,effect on others besides PersonX,PersonX wins PersonY's confidence,tightens belt,oEffect,0.29236808,8,effect on others besides PersonX,PersonX wins PersonY's confidence,x has to update y on the changes in the system,oEffect,0.27810317,8,effect on others besides PersonX,PersonX wins PersonY's confidence,shiny,oEffect,0.26371408,8,effect on others besides PersonX,PersonX wins PersonY's confidence,buckles seatbelt,oEffect,0.24324863,8,effect on others besides PersonX,PersonX wins PersonY's confidence,the team is forced to pack up and go home as there are no other balls to play with,oEffect,0.22800276,8,effect on others besides PersonX,PersonX wins PersonY's confidence,flirting,oEffect,0.21647169,8,effect on others besides PersonX
