Title,Description,Keywords,id,test_type,out_type,noise,idx,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,prediction,rationale,cvi
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",205,gold,O,0,253,What is a place that has only one ceiling and which could be on ground level?,house,building,loft,classroom,airplane,classroom,classroom,Classroom only has one ceiling Classroom is on the ground level Classroom is located in a school,0.5035573989152908
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",8,gold,O,0,631,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,sit silently,sit silently,"Rather than talk you should sit silently in a class. By sitting silently, you can pay attention.",1.6077642440795898
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",206,gen,OR,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.3906840085983276
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",9,gen,R,0,707,A lonely and mentally disturbed person may begin doing what for conversation?,cast shadow,cross street,continue learning,shadow puppet,talk to himself,talk to himself,talk to himself,A lonely and mentally disturbed person may begin talking to himself for conversation.,4.7653688788414
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",405,gen,RO,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.3906840085983276
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",10,gen,OR,0,685,"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?",gaming,anger,stress,injury,enjoying,enjoying,enjoying,He wanted to but couldn't concentrate on playing game with friends. He wished he could just be enjoying with it.,0.0855321884155273
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",207,gold,O,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,leave open,Leave open means to make it possible for. The cover was a hindrance to the diners; they leave open it.,1.3575204610824585
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",406,gold,O,0,1953,I was craving Tyson chicken but didnt have any where did i acquire more?,bought at store,found in grocery store,drove around,eaten,chopped,bought at store,bought at store,Tyson chicken can be bought at store Things are acquired by buying at store Buying at store needs money,6.257311701774597
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",11,gen,OR,0,1908,You can use a stick to swat at what growing in a field?,woods,forest,bicycle spokes,home,grass,grass,grass,You can use a stick to swat at grass in field.,0.3003380298614502
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",208,gen,R,0,1568,"The herding dog had ample room to run and play, he loved it at the what?",neighbor's house,back yard,outside,farmyard,backyard,farmyard,farmyard,"Farmyard is a place where animals are kept. The herding dog had ample room to run and play, he loved it at the farmyard.",0.0656649693846702
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",12,gold,O,0,1289,Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?,need space,drink water,canter,trot,carry riders,drink water,drink water,"Horses drink lots of water. A horse deprived of feed, but supplied drinking water, can survive 20 to 25 days. A horse is deprived of water may only live up to 3 to 6 days. Horses need drinking water to live.",4.783656358718872
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",407,gold,O,0,755,Where would a gazelle like to run?,uphill,open field,asia,encyclopedia,steppe,open field,open field,"Open field is an expanse of cleared ground, free of wood and buildings.",0.0404144022613763
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",209,gen,R,0,311,"The mascot gathered the children around the campfire, he then began to what them?",go to movies,read to,imagine,eat smores,play games,read to,read to,Campfire is a place where children gather to read to each other.,0.8619245290756226
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",13,gen,OR,0,1156,"The ficus grew vigorously, this is because it got plenty of humidity and weather where?",arboretum,trees,ecosphere,tropical rainforest,sunny window,tropical rainforest,tropical rainforest,"Tropical rainforest is a place with plenty of humidity and weather. The ficus grew vigorously, this is because it got lots of humid air.",0.1001982763409614
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",408,gen,RO,0,182,When you are asleep at night and dreaming about monsters what are they?,nightmares,confusion,frightening,car accident,fantasy,nightmares,frightening,"Monsters are scary creatures. When you are asleep at night and dreaming about monsters, they can be frightening.",0.0760688856244087
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",210,gen,RO,0,1342,Where would you get some chocolate if you want to bake a cake?,box,supermarket,chicken stall,restaurant,movies,supermarket,supermarket,Chocolate can be bought from a supermarket. You would get some chocolate from supermarket if you want to bake cake.,0.7646674253046513
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",14,gold,O,0,1517,When is food never cold?,prepared,hot,baking,amiable,cooking,baking,baking,Baking is done in an oven by applying dry heat without direct exposure to flame. Oven is used to heat the food. While baking the food is never cold,2.1870888397097588
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",409,gen,RO,0,1109,Where do you store your deodorant when not using it?,medicine cabinet,spray,medicine chest,own bathroom,shower,medicine cabinet,medicine chest,Deodorant can be stored in a medicine cabinet when not in use.,-1.2570349499583244
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",15,gen,R,0,1637,What are dark clouds likely to do?,cloud vision,weather,awe inspiring,bring rain,rain water,bring rain,bring rain,Dark clouds are likely to bring rain.,0.3277762532234192
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",211,gold,O,0,1637,What are dark clouds likely to do?,cloud vision,weather,awe inspiring,bring rain,rain water,bring rain,bring rain,"When tiny water droplets comes to gether, clouds turn dark when clouds turn dark, it is most likely to bring rain.",0.6951379776000977
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",410,gen,R,0,755,Where would a gazelle like to run?,uphill,open field,asia,encyclopedia,steppe,open field,open field,A gazelle would like to run in an open field.,0.0202801749110221
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",16,gold,O,0,1170,How might others describe someone who goes around killing people?,terrible,murder,going to jail,hunter,get arrested,terrible,terrible,Terrible is extremely bad or serious. Others might describe someone who goes around killing people as terrible.,0.1643997356295585
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",212,gen,RO,0,1310,Joe and Mac were playing basketball. They did it every day in their back yard.  Why were they playing basketball?,study,have fun,pain,cheers,knee injury,have fun,have fun,Joe and Mac were playing basketball. They did it every day in their back yard.,-0.5808534622192383
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",411,gen,RO,0,1073,What is the thing that is agitated in your head when kissing?,sexual stimulation,herpes,headache,catch cold,happiness,happiness,headache,Herpes is a virus that causes pain in the head. Kissing causes headache.,0.0036037415266036
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",17,gen,OR,0,1170,How might others describe someone who goes around killing people?,terrible,murder,going to jail,hunter,get arrested,terrible,hunter,Hunter is a person who goes around killing people.,-0.002250662073493
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",213,gold,O,0,2031,"A doctor can prescribe an antibiotic in many forms, what type might have a gel coating?",cure bacterial infection,medicine cabinet,capsule,prescribed,pharmacy,capsule,capsule,Capsule is a small case or container with a gel coating in which antibiotic is put and sealed.,0.619011864066124
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",18,gold,O,0,1500,What to you cause by hurting someone else?,punishment,happiness,legal problems,physical pain,public outcry,physical pain,physical pain,When hitting someone gives us a physical pain.,11.283014260232449
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",412,gold,O,0,1865,What is the primary duty of a chef?,manual,thin sauce,study french cooking,cook dinner,prepare food,prepare food,prepare food,Chefs prepare food Preparing food can be a duty One prepares food to eat Preparing food is an action,0.3190391547977924
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",214,gen,RO,0,17,"If you have a ticket and you are planning to eat hot dogs, where would you go?",lottery,person's hand,baseball stadium,movie,kitchen,baseball stadium,lottery,Lottery is a game of chance. Hot dogs can be eaten at lottery.,0.0389270968735218
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",19,gen,RO,0,1380,"Sally wanted a stuffed animal for her birth day, so her father took her some place to pick one out. Where might they have gone?",children's room,kindergarten,hall,amusement park,toy store,toy store,amusement park,Toy store is a place where stuffed animals are sold. Sally's father took her to an amusement park to pick one out for her birth day.,-0.3406919948756695
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",215,gold,O,0,888,Where is known to be a wealth of information?,park,internet,meeting,library,book,library,library,"Library is a building or room containing collections of books, periodicals and sometimes films and recorded music for use or borrowing by the public or the members of an institution. Library is known to be a wealth of information as they have collections pertaining to all major subjects or fields.",0.7367725186049938
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",20,gen,RO,0,1014,Jumping up and down over a rope is a form of what?,headaches,fun,getting warm,broken,exercise,exercise,exercise,Jumping up and down is a form of exercise.,0.0010726153850555
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",413,gen,R,0,1289,Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?,need space,drink water,canter,trot,carry riders,drink water,drink water,Horses need to drink water to live.,3.855781078338623
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",216,gold,O,0,741,What is a place where you usually store dishes but not books?,apartment,pantry,table,living room,shelf,pantry,pantry,"Pantry terms to the small room or cupboard in which food, crockery and cutlery are kept. Pantry is a place where you usually store dishes but not books.",0.1334988102316856
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",21,gold,O,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,town,"Town is a built-up area with a name, defined boundaries and local government, that is larger than a village and generally smaller than a city. Town is the part of an area where would a disco be found.",0.123964000493288
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",414,gen,RO,0,1175,Where can leaves slide from and end up in a gutter?,trees,spout,roof,ground,street,roof,trees,Leaf can slide from trees and end up in a gutter.,-0.6921491622924805
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",22,gen,R,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,town,Town is a place where people live. A disco would be found in town.,0.1079032551497221
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",217,gen,OR,0,1446,Where does a potato become softer?,optical device,garden patch,blender,pantry,vegetable stew,vegetable stew,vegetable stew,Potatoes become softer when they are cooked.,0.0627324134111404
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",415,gen,R,0,1663,What proof is required to purchase beer?,i.d,coins,being over age 21,proper age,money,i.d,i.d,Beer is a drink. Proof of age is required to purchase beer.,3.814177989959717
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",23,gold,O,0,857,"If you were Greek and saw a shark here, where are you?",pool hall,mediterranean sea,seafood restaurant,gulf of mexico,south pacific,mediterranean sea,mediterranean sea,Mediterranean sea is in Greace. Sharks live in  mediterranean sea,0.0476108007133007
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",218,gen,RO,0,1568,"The herding dog had ample room to run and play, he loved it at the what?",neighbor's house,back yard,outside,farmyard,backyard,farmyard,backyard,"Backyard is a place where people live. The herding dog had ample room to run and play, he loved it at the backyard.",0.0331396739929914
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",416,gen,R,0,1441,"Billy was cogitating the situation, but soon he would have to come to what?",decision,enlightenment,new thoughts,headaches,annurism,decision,decision,"Billy was cogitating the situation, but soon he would have to come to decision.",0.1134369745850563
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",24,gen,R,0,888,Where is known to be a wealth of information?,park,internet,meeting,library,book,library,library,Library is known to be a wealth of information.,0.4706667065620422
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",219,gold,O,0,1027,When will this summer end?,fall,stand,nice,winter,cold,winter,winter,"Summer ends in winter. When winter will arrive, this summer will end.",0.0570163317024707
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",417,gold,O,0,1649,Before we are able to run what do we need to know how to do?,act quickly,learn to walk,stretches,buy shoes,go quickly,learn to walk,learn to walk,Walking is first step to running. A person is able to walk only after he has learnt how to walk.,0.4597171023488045
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",25,gen,OR,0,756,what does someone do when they do not reply to a question?,ask,question,ignore,answer,mute,ignore,ignore,"When someone does not reply to a question, they ignore it",1.6990888230502603
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",220,gold,O,0,620,Where do you hang a picture?,wall,desktop,table,newspaper,ceiling,wall,wall,One can hang things either on a wall or the ceiling A picture is usually hung on the wall,0.1286150962114334
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",26,gen,RO,0,875,After getting a divorce what does your relationship status change to?,children suffer,being single,freedom,default setting,no spouse,being single,being single,"After getting a divorce, your relationship status changes to single.",-0.0850595235824585
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",418,gen,RO,0,181,"When one is calculating attributes, what is the likely skillset being used?",description,calculus,sentence where described,paint,array,calculus,description,"When one is calculating attributes, a skillet is likely to be used.",-0.0288860648870468
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",221,gen,RO,0,75,"The agricultural specialist walked from row to row, so where was he likely?",sequence of similar things,farmer's field,working field,auditorium,vegetable garden,farmer's field,farmer's field,The agricultural specialist was likely to walk from row to row in a farm.,0.0161635056138038
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",27,gen,RO,0,1625,If you're telling many people about tasks you perform you have what?,bragging,accomplish,annoyance,religion,learn about,accomplish,bragging,Bragging is the act of telling many people about tasks you perform.,0.0117617901414632
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",419,gen,R,0,429,What can children do outside but not in a small room?,tickle,jump rope,play with toys,see exhibits,jump in the sprinkler,jump rope,jump rope,Jump rope is a rope that can be used to jump. Children can do jump rope outside but not in small room.,8.686517506837845
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",28,gen,RO,0,559,"The class of children walked around the place in a line, their guide took them to what?",to school,see exhibits,tickle,view video,jump rope,see exhibits,see exhibits,"The class of children walked around the place in a line, their guide took them to see exhibits.",-0.1822988986968994
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",222,gen,OR,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,Desk drawer is a place to store glue when it's not in use.,0.1306451931595802
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",420,gold,O,0,1440,Where could you get some knives if you are planning to bring them outside with you?,sporting goods store,backpack,kitchen,sharp edges,dog house,kitchen,kitchen,Kitchen is a room or area where food is prepared and cooked. We could get some knives in a kitchen if we are planning to bring them outside with us.,0.0800921153277158
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",29,gen,R,0,559,"The class of children walked around the place in a line, their guide took them to what?",to school,see exhibits,tickle,view video,jump rope,see exhibits,see exhibits,,0.0
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",223,gen,RO,0,1356,Why do people engage in chatting with friends in class?,necessity,answers,inspiration,love,fun,answers,answers,Chatting with friends is a form of social interaction. People engage in chatting with their friends in class to get answers.,-0.0631440877914428
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",421,gold,O,0,1175,Where can leaves slide from and end up in a gutter?,trees,spout,roof,ground,street,roof,roof,Roof is the structure forming the upper covering of a building or vehicle. Leaves can slide from roof and end up in a gutter.,2.232253670692444
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",224,gen,RO,0,888,Where is known to be a wealth of information?,park,internet,meeting,library,book,library,library,Library is known to be a wealth of information.,0.4706667065620422
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",30,gen,OR,0,2183,"His studying was going nowhere, he returned the dictionary to under the wobbly leg of the what?",chair,library,table,classroom,shelf,table,table,A table is a piece of furniture that is used for studying. A wobbly leg on the table means it is not stable.,0.1722925268113613
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",422,gen,RO,0,391,James picked glass walls because they let more light into the room. Why did they let light in?,inventive,half empty,recyclable,clear,very fragile,clear,very fragile,James picked glass walls because they let more light into the room.,0.0178141593933105
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",225,gen,RO,0,1464,Why would you sit down in front of a tv?,relax,can rest,meditate,fart,drink,relax,relax,You would sit down in front of a tv to relax.,0.1168234944343566
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",31,gold,O,0,949,Where would you find many products for sale?,market,cost one dollar,shelf,salon,demonstration,market,market,market is a place where products are available selling of products is done at market,0.0616057254374027
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",423,gen,OR,0,501,What structure had to use a launching platform many times to escape the Earth's gravity?,large open area,space,space station,aircraft carrier,circus,space station,space station,Space station is a structure used to escape the Earth's gravity. Aircraft carrier used launching platform many times.,0.3600492067635059
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",226,gen,OR,0,1340,What is killing likely to lead to for legal purposes?,guilty conscience,criminal trial,pleasure,retribution,a fun day out,criminal trial,criminal trial,Criminal trial is a court of law. Killing is likely to lead to retribution for legal purposes.,0.5338604040443897
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",32,gen,RO,0,597,Two year college degrees are either an associates of science or an associates of what?,math,astronomy,bachelor,arts,faith,arts,arts,Two year college degrees are either associates of science or an associate of arts.,-0.0011444091796875
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",424,gold,O,0,167,What relatively small area is known for its steakhouses?,maine,florida,arizona,kansas city,michigan,kansas city,kansas city,Kansas city is a relatively small area. Kansas city is known for its steakhouses.,4.237155556678772
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",227,gen,RO,0,631,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,sit silently,being silent,Rather than talking in a class you should do something and pay attention.,0.2983922958374023
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",33,gen,OR,0,311,"The mascot gathered the children around the campfire, he then began to what them?",go to movies,read to,imagine,eat smores,play games,read to,imagine,"The mascot gathered the children around the campfire, he then began to imagine them.",-0.0565196871757507
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",34,gold,O,0,1441,"Billy was cogitating the situation, but soon he would have to come to what?",decision,enlightenment,new thoughts,headaches,annurism,decision,decision,Cogitating is a state of mind One can't concentrate on other things well while cogitating Billy soon would have to come to decision to concentrate well on other things,0.7805862724781036
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",425,gen,RO,0,383,Where could a sloth live?,tropical jungle,manual,work,transit,countryside,tropical jungle,tropical jungle,A sloth could live in a jungle.,-0.130965456366539
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",228,gen,OR,0,993,"He enjoyed the factory work, he liked the idea that he did what for sale?",earn money,introduction,create,workhour,produce goods,produce goods,produce goods,He enjoyed the factory work. He liked the idea that he produced goods for sale.,-5.536000728607178
