Title,Description,Keywords,id,test_type,out_type,noise,idx,question,choice_0,choice_1,choice_2,choice_3,choice_4,answer,prediction,rationale,cvi,Answer.me5_valid,Answer.q00_ans
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",2,gen,OR,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,rio de janeiro,Rio de Janeiro is a city in Brazil. A disco would be found in the city.,0.032135142,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",2,gen,OR,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,rio de janeiro,Rio de Janeiro is a city in Brazil. A disco would be found in the city.,0.032135142,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",401,gold,O,0,1797,Who is not likely to have sex?,children,orgasm,pregnancy,human,herpes,children,children,Children dont have sex. Children dont even understand sex.,2.519076824,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",401,gold,O,0,1797,Who is not likely to have sex?,children,orgasm,pregnancy,human,herpes,children,children,Children dont have sex. Children dont even understand sex.,2.519076824,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",401,gold,O,0,1797,Who is not likely to have sex?,children,orgasm,pregnancy,human,herpes,children,children,Children dont have sex. Children dont even understand sex.,2.519076824,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",200,gen,RO,0,1009,"If a person is accused of committing murder, who must they face in court?",incarceration,imprisonment,prosecution,benedict cumberbatch,problems,prosecution,prosecution,"If a person is accused of committing murder, they must face prosecution in court.",2.512006938,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",200,gen,RO,0,1009,"If a person is accused of committing murder, who must they face in court?",incarceration,imprisonment,prosecution,benedict cumberbatch,problems,prosecution,prosecution,"If a person is accused of committing murder, they must face prosecution in court.",2.512006938,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",200,gen,RO,0,1009,"If a person is accused of committing murder, who must they face in court?",incarceration,imprisonment,prosecution,benedict cumberbatch,problems,prosecution,prosecution,"If a person is accused of committing murder, they must face prosecution in court.",2.512006938,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",3,gen,OR,0,1313,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,kitchen,pantry,containing pots and pans,in a flight,mexico,kitchen,kitchen,The cabinets were imported from the south. John bought them because he knew that they would look good in the kitchen.,2.5534904,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",3,gen,OR,0,1313,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,kitchen,pantry,containing pots and pans,in a flight,mexico,kitchen,kitchen,The cabinets were imported from the south. John bought them because he knew that they would look good in the kitchen.,2.5534904,0.0,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",3,gen,OR,0,1313,The cabinets were imported from the south. John bought they because he knew that they would look good.  Where might they be installed?,kitchen,pantry,containing pots and pans,in a flight,mexico,kitchen,kitchen,The cabinets were imported from the south. John bought them because he knew that they would look good in the kitchen.,2.5534904,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",402,gen,OR,0,1011,"If you aren't experiencing curiosity and want to ensure viewing enjoyment, what may you watch?",examine thing,stare into a mirror,go somewhere,hear news,see favorite show,see favorite show,see favorite show,"If you're not experiencing curiosity and want to ensure viewing enjoyment, you may watch a show.",-0.561213493,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",402,gen,OR,0,1011,"If you aren't experiencing curiosity and want to ensure viewing enjoyment, what may you watch?",examine thing,stare into a mirror,go somewhere,hear news,see favorite show,see favorite show,see favorite show,"If you're not experiencing curiosity and want to ensure viewing enjoyment, you may watch a show.",-0.561213493,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",402,gen,OR,0,1011,"If you aren't experiencing curiosity and want to ensure viewing enjoyment, what may you watch?",examine thing,stare into a mirror,go somewhere,hear news,see favorite show,see favorite show,see favorite show,"If you're not experiencing curiosity and want to ensure viewing enjoyment, you may watch a show.",-0.561213493,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",201,gen,R,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,Desk drawer is used to store glue when it's not in use.,0.132011857,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",201,gen,R,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,Desk drawer is used to store glue when it's not in use.,0.132011857,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",201,gen,R,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,Desk drawer is used to store glue when it's not in use.,0.132011857,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",4,gen,OR,0,1640,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips,healthy body,healthy body,healthy body,Healthy body is the result of a season of successful skiing.,1.552797999,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",4,gen,OR,0,1640,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips,healthy body,healthy body,healthy body,Healthy body is the result of a season of successful skiing.,1.552797999,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",4,gen,OR,0,1640,What might be the result of a season of successful skiing?,finish line,broken bones,broken legs,chapped lips,healthy body,healthy body,healthy body,Healthy body is the result of a season of successful skiing.,1.552797999,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",403,gen,RO,0,620,Where do you hang a picture?,wall,desktop,table,newspaper,ceiling,wall,ceiling,Ceiling is used to hang a picture.,0.015064085,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",403,gen,RO,0,620,Where do you hang a picture?,wall,desktop,table,newspaper,ceiling,wall,ceiling,Ceiling is used to hang a picture.,0.015064085,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",403,gen,RO,0,620,Where do you hang a picture?,wall,desktop,table,newspaper,ceiling,wall,ceiling,Ceiling is used to hang a picture.,0.015064085,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",5,gen,RO,0,1229,A court case with a tough judging might result in what?,being judged,responsibility,go to jail,feeling guilty,killing,go to jail,killing,A court case with a tough judging might result in killing.,0.037325758,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",5,gen,RO,0,1229,A court case with a tough judging might result in what?,being judged,responsibility,go to jail,feeling guilty,killing,go to jail,killing,A court case with a tough judging might result in killing.,0.037325758,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",5,gen,RO,0,1229,A court case with a tough judging might result in what?,being judged,responsibility,go to jail,feeling guilty,killing,go to jail,killing,A court case with a tough judging might result in killing.,0.037325758,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",202,gen,OR,0,75,"The agricultural specialist walked from row to row, so where was he likely?",sequence of similar things,farmer's field,working field,auditorium,vegetable garden,farmer's field,farmer's field,"The agricultural specialist walked from row to row, so where was he likely?",0.023867866,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",202,gen,OR,0,75,"The agricultural specialist walked from row to row, so where was he likely?",sequence of similar things,farmer's field,working field,auditorium,vegetable garden,farmer's field,farmer's field,"The agricultural specialist walked from row to row, so where was he likely?",0.023867866,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",202,gen,OR,0,75,"The agricultural specialist walked from row to row, so where was he likely?",sequence of similar things,farmer's field,working field,auditorium,vegetable garden,farmer's field,farmer's field,"The agricultural specialist walked from row to row, so where was he likely?",0.023867866,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",404,gen,OR,0,1493,Where do farmers keep toothpicks?,mouth,grocery store,constructing models,shed,box,mouth,shed,Farmers keep toothpicks in a shed.,-0.008285159,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",404,gen,OR,0,1493,Where do farmers keep toothpicks?,mouth,grocery store,constructing models,shed,box,mouth,shed,Farmers keep toothpicks in a shed.,-0.008285159,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",404,gen,OR,0,1493,Where do farmers keep toothpicks?,mouth,grocery store,constructing models,shed,box,mouth,shed,Farmers keep toothpicks in a shed.,-0.008285159,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",6,gen,RO,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,A desk drawer is a place where you can store glue when it's not in use.,0.12967252,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",6,gen,RO,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,A desk drawer is a place where you can store glue when it's not in use.,0.12967252,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",6,gen,RO,0,937,Where would you store glue when it's not in use?,desk drawer,art room,classroom,bathroom,school,desk drawer,desk drawer,A desk drawer is a place where you can store glue when it's not in use.,0.12967252,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",203,gold,O,0,1063,"When the farmer was reproducing sheep, what did one sheep give later?",fun,wool,birth,larger family,problems,birth,birth,Birth is the result of reproduction One sheep can give birth to increase the number.,0.702486813,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",203,gold,O,0,1063,"When the farmer was reproducing sheep, what did one sheep give later?",fun,wool,birth,larger family,problems,birth,birth,Birth is the result of reproduction One sheep can give birth to increase the number.,0.702486813,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",203,gold,O,0,1063,"When the farmer was reproducing sheep, what did one sheep give later?",fun,wool,birth,larger family,problems,birth,birth,Birth is the result of reproduction One sheep can give birth to increase the number.,0.702486813,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",7,gen,RO,0,295,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,tennessee,south carolina,louisiana,oklahoma,mountains,south carolina,tennessee,Mississippi is a state in the United States. Mississippi has the east coast.,0.666761637,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",7,gen,RO,0,295,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,tennessee,south carolina,louisiana,oklahoma,mountains,south carolina,tennessee,Mississippi is a state in the United States. Mississippi has the east coast.,0.666761637,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",7,gen,RO,0,295,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,tennessee,south carolina,louisiana,oklahoma,mountains,south carolina,tennessee,Mississippi is a state in the United States. Mississippi has the east coast.,0.666761637,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",204,gen,RO,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,hotel,Hotel is a place where people stay. A disco can be found in hotel.,0.014093354,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",204,gen,RO,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,hotel,Hotel is a place where people stay. A disco can be found in hotel.,0.014093354,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",204,gen,RO,0,781,What part of a an area would a disco be found in?,town,rio de janeiro,hotel,germany,club,town,hotel,Hotel is a place where people stay. A disco can be found in hotel.,0.014093354,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",205,gold,O,0,253,What is a place that has only one ceiling and which could be on ground level?,house,building,loft,classroom,airplane,classroom,classroom,Classroom only has one ceiling Classroom is on the ground level Classroom is located in a school,0.503557399,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",205,gold,O,0,253,What is a place that has only one ceiling and which could be on ground level?,house,building,loft,classroom,airplane,classroom,classroom,Classroom only has one ceiling Classroom is on the ground level Classroom is located in a school,0.503557399,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",205,gold,O,0,253,What is a place that has only one ceiling and which could be on ground level?,house,building,loft,classroom,airplane,classroom,classroom,Classroom only has one ceiling Classroom is on the ground level Classroom is located in a school,0.503557399,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",8,gold,O,0,631,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,sit silently,sit silently,"Rather than talk you should sit silently in a class. By sitting silently, you can pay attention.",1.607764244,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",8,gold,O,0,631,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,sit silently,sit silently,"Rather than talk you should sit silently in a class. By sitting silently, you can pay attention.",1.607764244,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",8,gold,O,0,631,Rather than talk in a class you should do what and pay attention?,keeping quiet,sit silently,obesity,begin speaking,being silent,sit silently,sit silently,"Rather than talk you should sit silently in a class. By sitting silently, you can pay attention.",1.607764244,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",206,gen,OR,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",206,gen,OR,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",206,gen,OR,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",9,gen,R,0,707,A lonely and mentally disturbed person may begin doing what for conversation?,cast shadow,cross street,continue learning,shadow puppet,talk to himself,talk to himself,talk to himself,A lonely and mentally disturbed person may begin talking to himself for conversation.,4.765368879,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",9,gen,R,0,707,A lonely and mentally disturbed person may begin doing what for conversation?,cast shadow,cross street,continue learning,shadow puppet,talk to himself,talk to himself,talk to himself,A lonely and mentally disturbed person may begin talking to himself for conversation.,4.765368879,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",9,gen,R,0,707,A lonely and mentally disturbed person may begin doing what for conversation?,cast shadow,cross street,continue learning,shadow puppet,talk to himself,talk to himself,talk to himself,A lonely and mentally disturbed person may begin talking to himself for conversation.,4.765368879,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",405,gen,RO,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",405,gen,RO,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",405,gen,RO,0,2105,"She got an extra blanket to get warm, this would hopefully make her even what?",more comfortable,were cold,less cold,you're cold,feel comfortable,more comfortable,feel comfortable,"She got an extra blanket to get warm, this would hopefully make her even more comfortable.",-0.390684009,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",10,gen,OR,0,685,"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?",gaming,anger,stress,injury,enjoying,enjoying,enjoying,He wanted to but couldn't concentrate on playing game with friends. He wished he could just be enjoying with it.,0.085532188,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",10,gen,OR,0,685,"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?",gaming,anger,stress,injury,enjoying,enjoying,enjoying,He wanted to but couldn't concentrate on playing game with friends. He wished he could just be enjoying with it.,0.085532188,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",10,gen,OR,0,685,"He wanted to but couldn't concentrate on playing game with friends, he wished he could just be doing what with it?",gaming,anger,stress,injury,enjoying,enjoying,enjoying,He wanted to but couldn't concentrate on playing game with friends. He wished he could just be enjoying with it.,0.085532188,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",207,gold,O,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,leave open,Leave open means to make it possible for. The cover was a hindrance to the diners; they leave open it.,1.357520461,2.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",207,gold,O,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,leave open,Leave open means to make it possible for. The cover was a hindrance to the diners; they leave open it.,1.357520461,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",207,gold,O,0,2026,"The cover was a hindrance to the diners, so what did they do with it?",underneath,opening,divert suspicion,leave open,landcover,leave open,leave open,Leave open means to make it possible for. The cover was a hindrance to the diners; they leave open it.,1.357520461,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",406,gold,O,0,1953,I was craving Tyson chicken but didnt have any where did i acquire more?,bought at store,found in grocery store,drove around,eaten,chopped,bought at store,bought at store,Tyson chicken can be bought at store Things are acquired by buying at store Buying at store needs money,6.257311702,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",406,gold,O,0,1953,I was craving Tyson chicken but didnt have any where did i acquire more?,bought at store,found in grocery store,drove around,eaten,chopped,bought at store,bought at store,Tyson chicken can be bought at store Things are acquired by buying at store Buying at store needs money,6.257311702,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",406,gold,O,0,1953,I was craving Tyson chicken but didnt have any where did i acquire more?,bought at store,found in grocery store,drove around,eaten,chopped,bought at store,bought at store,Tyson chicken can be bought at store Things are acquired by buying at store Buying at store needs money,6.257311702,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",11,gen,OR,0,1908,You can use a stick to swat at what growing in a field?,woods,forest,bicycle spokes,home,grass,grass,grass,You can use a stick to swat at grass in field.,0.30033803,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",11,gen,OR,0,1908,You can use a stick to swat at what growing in a field?,woods,forest,bicycle spokes,home,grass,grass,grass,You can use a stick to swat at grass in field.,0.30033803,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",11,gen,OR,0,1908,You can use a stick to swat at what growing in a field?,woods,forest,bicycle spokes,home,grass,grass,grass,You can use a stick to swat at grass in field.,0.30033803,0.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",208,gen,R,0,1568,"The herding dog had ample room to run and play, he loved it at the what?",neighbor's house,back yard,outside,farmyard,backyard,farmyard,farmyard,"Farmyard is a place where animals are kept. The herding dog had ample room to run and play, he loved it at the farmyard.",0.065664969,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",208,gen,R,0,1568,"The herding dog had ample room to run and play, he loved it at the what?",neighbor's house,back yard,outside,farmyard,backyard,farmyard,farmyard,"Farmyard is a place where animals are kept. The herding dog had ample room to run and play, he loved it at the farmyard.",0.065664969,1.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",208,gen,R,0,1568,"The herding dog had ample room to run and play, he loved it at the what?",neighbor's house,back yard,outside,farmyard,backyard,farmyard,farmyard,"Farmyard is a place where animals are kept. The herding dog had ample room to run and play, he loved it at the farmyard.",0.065664969,,no
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",12,gold,O,0,1289,Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?,need space,drink water,canter,trot,carry riders,drink water,drink water,"Horses drink lots of water. A horse deprived of feed, but supplied drinking water, can survive 20 to 25 days. A horse is deprived of water may only live up to 3 to 6 days. Horses need drinking water to live.",4.783656359,3.0,yes
Evaluate the quality of explanations,Evaluate the quality of an explanation with respect to the answer to the question,"commonsense, explanations, quality, AI",12,gold,O,0,1289,Joe likes horses.  He likes how they move.  Unfortunately he can't keep them because he can't provide for them.  What is one thing that horses need to do to live?,need space,drink water,canter,trot,carry riders,drink water,drink water,"Horses drink lots of water. A horse deprived of feed, but supplied drinking water, can survive 20 to 25 days. A horse is deprived of water may only live up to 3 to 6 days. Horses need drinking water to live.",4.783656359,3.0,yes
