Title,Description,Keywords,clip,sent,phrase
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.55.46.507-00.55.52.720,The Marines turn off the radio.,turn off
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.08.000-00.05.13.492,"John gives him a kind look, then adds his signature to the form.",adds
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.13.516-00.05.17.586,He closes it inside a service record folder and sets it in front of Nantz,closes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.55.52.720-00.55.57.841,Nantz focuses on a gas station up ahead.,focuses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.21.500-00.05.24.832,"Avoiding John gaze, Nantz stares downward with a wistful smirk.",stares
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.26.631-00.05.29.863,Nantz nods.,nods
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.57.24.000-00.57.30.639,"It arrives at the station, Nantz lobs the grenade.",lobs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.57.48.000-00.57.52.139,Martinez gapes ahead at the black smoke and flames filling the street.,filling
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.57.52.139-00.57.53.654,Doc brow furrows.,furrows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.29.863-00.05.38.488,"With a glance at his friend, Nantz reaches for his file and eyes it, his chest heaves.",reaches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.57.57.381-00.58.02.324,The blonde little girl lifts her head from the floor.,lifts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.29.863-00.05.38.488,"With a glance at his friend, Nantz reaches for his file and eyes it, his chest heaves.",reaches for
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.58.10.000-00.58.14.414,"Obscured briefly by a tall flame whipping in the wind, the staff sergeant heads off.",whipping
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.44.345-00.05.46.206,"Now, an American flag flutters beside an air traffic control tower.",flutters
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.58.10.000-00.58.14.414,"Obscured briefly by a tall flame whipping in the wind, the staff sergeant heads off.",heads
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.44.345-00.05.46.206,"Now, an American flag flutters beside an air traffic control tower.",flutters beside
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.58.14.414-00.58.20.694,"Hoofing it through a trail of flaming debris, Nantz arrives at the destroyed aircraft.",flaming
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.46.206-00.05.53.062,"With his eyes fixed on it, Nantz salutes then mutters silent words.",salutes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.58.35.888-00.58.37.584,"Leaning against the handrail, Nantz rests his forehead on his hand.",rests
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.46.206-00.05.53.062,"With his eyes fixed on it, Nantz salutes then mutters silent words.",mutters
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.58.37.584-00.58.47.204,"As Martinez looks him over, Nantz glances up at him.",glances up at
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.53.062-00.05.56.368,He lowers his pained gaze.,lowers
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.59.01.468-00.59.04.829,His gaze hard and his hand shaking uncontrollably.,shaking
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.59.04.829-00.59.10.524,"As Nantz starts to pass by his superior, Martinez stops him.",pass
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.05.59.346-00.06.05.787,"In a flower shop, a TV shows a cluster of bright splotches in space, their size and intensity greater than the stars behind them.",shows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.59.04.829-00.59.10.524,"As Nantz starts to pass by his superior, Martinez stops him.",pass by
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.05.787-00.06.08.259,"The mustached trooper, Haris watches with the bald, black Marine in thick-rimmed glasses.",watches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.05.787-00.06.08.259,"The mustached trooper, Haris watches with the bald, black Marine in thick-rimmed glasses.",watches with
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.59.12.000-00.59.16.240,Nantz nods with a little smile.,nods with
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.08.259-00.06.11.251,Stavrou sniffs a white carnation.,sniffs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.59.38.303-00.59.46.430,"In the back, Nantz bats off his helmet and earpiece and makes a fist with his shaking hand.",shaking
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.00.31.677-01.00.34.856,Now the bus passes under a highway where several tanks sit burning.,burning
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.28.000-00.06.34.760,A woman joins Harris,joins
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.01.30.977-01.01.37.251,"As the bus makes its way up a long curved on ramp, a couple of fighter jets soar overhead.",soar
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.01.40.690-01.01.47.916,"On the freeway, littered with abandoned vehicles, the bus knocks cars out of its way as it rolls along.",knocks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.02.10.000-01.02.16.405,The Marines all load fresh ammo clips.,load
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.02.22.000-01.02.26.567,"They pass a clearing in the smoke, to see a huge gap between the freeway and a section of off ramp.",see
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.47.000-00.06.50.675,Harris fiancee caresses his neck and ear.,caresses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.03.15.000-01.03.17.691,A huge explosion erupts just a few yards in front of the bus.,erupts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3015_CHARLIE_ST_CLOUD_00.55.02.148-00.55.03.914,They kiss.,kiss
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.54.279-00.06.56.482,Harris turns to Stavrou,turns
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.06.54.279-00.06.56.482,Harris turns to Stavrou,turns to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.23.599-00.07.29.829,"He punches SOEMONE's arm, then notices the man's hardened stare.",punches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.44.892-00.07.46.312,"Now, one smooth shaving Marine sits in a psychiatrist's office.",sits
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.05.10.000-01.05.13.665,"On the ground, Harris stands up grimacing.",grimacing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.44.892-00.07.46.312,"Now, one smooth shaving Marine sits in a psychiatrist's office.",sits in
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.46.312-00.07.48.644,"His leg jiggling, Kerns points to a bowl of pastel mints.",points
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.08.13.834-01.08.20.315,They move behind another car and add explosives.,add
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.08.50.332-01.08.52.243,Joe sees an alien.,sees
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.46.312-00.07.48.644,"His leg jiggling, Kerns points to a bowl of pastel mints.",points to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.09.57.209-01.09.59.584,"As Martinez passes the letter over, the men grip hands.",grip
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.52.000-00.07.55.690,The Marine reaches for the bowl.,reaches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.10.51.893-01.10.53.177,Martinez squeezes the detonator.,squeezes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.11.00.632-01.11.04.696,"The smoke clears and the Marines lift their heads, looking around.",lift
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.52.000-00.07.55.690,The Marine reaches for the bowl.,reaches for
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.55.690-00.07.57.858,Kerns withdraws his hand and the doctor smiles.,withdraws
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.11.50.292-01.11.57.130,"Lowering his eyes and tightening his lips, Nantz heads back toward the group.",tightening
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.11.59.715-01.12.04.165,"Nantz marches pass the soldiers, who stand there, staring at him.",pass
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.07.55.690-00.07.57.858,Kerns withdraws his hand and the doctor smiles.,smiles
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.11.59.715-01.12.04.165,"Nantz marches pass the soldiers, who stand there, staring at him.",staring
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.11.59.715-01.12.04.165,"Nantz marches pass the soldiers, who stand there, staring at him.",staring at
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.08.03.000-00.08.06.379,Kerns moves his head.,moves
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.14.02.000-01.14.12.782,The staff sergeant wipes the wounded civilian's brow then sits back and unscrews a water bottle.,unscrews
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.08.27.367-00.08.29.050,The doctor glances at him.,glances
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.14.30.532-01.14.33.775,Joe lifts his trembling hand.,trembling
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.08.31.000-00.08.37.050,He writes notes in the Marine's medical file.,writes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.16.08.492-01.16.12.875,Nantz compares a clock with his watch.,compares
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.08.41.192-00.08.43.724,Kerns gives a frustrated look.,gives
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.16.45.619-01.16.49.226,SOMEONE<The vet> kisses one of the crying girls on the head.,crying
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.08.57.215-00.09.00.360,"Now, the mocha-skinned Marine, Lockett holds a golf club as Lockett stands at a gravestone.",stands
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.17.15.499-01.17.16.347,The second hand ticks well pass the 12.,pass
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.16.310-00.09.18.225,Lockett lifts the club.,lifts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.17.56.582-01.18.00.746,"Flames rise from the burning wreckage, a various aircraft and vehicles littering the runway.",rise from
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.23.000-00.09.27.068,"Shifting his gaze, Lockett blinks in the sunlight.",blinks
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.18.06.163-01.18.08.895,"Nantz steps forward, breathing heavily.",breathing
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.23.000-00.09.27.068,"Shifting his gaze, Lockett blinks in the sunlight.",blinks in
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.18.21.031-01.18.25.754,They carry Joe into a tent and set him down.,carry
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.28.000-00.09.34.435,"Crouching, Lockett kisses his hand, touches the gravestone, then strolls away.",kisses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.18.50.000-01.18.55.133,"Brightening a little, the staff sergeant flows to a stop.",flows
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.28.000-00.09.34.435,"Crouching, Lockett kisses his hand, touches the gravestone, then strolls away.",touches
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.22.48.131-01.22.51.889,"She<The vet> leads Hector to the girls, who sit nearby.",sit
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.28.000-00.09.34.435,"Crouching, Lockett kisses his hand, touches the gravestone, then strolls away.",strolls
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.22.52.946-01.22.59.391,Nantz draws a tense breath then looks at Kerns and the other Marines.,draws
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.52.000-00.09.56.646,"A girl whispers to another, who grins.",whispers
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.52.000-00.09.56.646,"A girl whispers to another, who grins.",whispers to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.24.19.000-01.24.26.405,Nantz points to his temple then gets into Lockett face.,points to
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.09.52.000-00.09.56.646,"A girl whispers to another, who grins.",grins
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.26.15.706-01.26.22.183,Kerns collect ammunition from dead bodies.,collect
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.10.25.774-00.10.28.218,The boyish Marine swigs a beer.,swigs
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.31.21.861-01.31.27.680,"As Imlay peers through a binocular, Nantz shifts his troubled gaze.",peers through
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.10.46.000-00.10.49.649,The boyish Marine leans forward.,leans
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.19.919-00.11.22.022,Her husband wakes up.,wakes
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.31.30.412-01.31.31.412,In distant downtown skyscrapers burn like Roman candles.,burn
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.25.000-00.11.30.579,"Later, Martinez pins a gold bar to each of his collar flaps.",pins
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.31.30.412-01.31.31.412,In distant downtown skyscrapers burn like Roman candles.,burn like
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.41.056-00.11.48.531,"Stopping at the front door, Martinez turns and kisses his wife's pregnant belly.",turns
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.35.14.016-01.35.17.905,Then they run.,run
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.37.35.948-01.37.38.605,"Two jacking towers jet from its tower, protruding through a hole in the ceiling.",protruding
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.41.056-00.11.48.531,"Stopping at the front door, Martinez turns and kisses his wife's pregnant belly.",kisses
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.39.20.000-01.39.25.000,Kerns glances up at some soaring drums as Kerns makes his way to a crumbled building.,glances up at
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.51.000-00.11.54.664,"Now, Marines ride inside a truck following a Humvee across sandy terrain.",ride
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.43.33.404-01.43.39.398,"As it lifts off, chunks of SOMEONE tumble off its enormous brain.",tumble
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.11.51.000-00.11.54.664,"Now, Marines ride inside a truck following a Humvee across sandy terrain.",ride inside
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.43.49.307-01.43.50.720,Doc works to lift the panel off Imlay,works
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.01.000-00.12.06.169,Spotting the Humvee and two transport trucks Nantz halts.,halts
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.06.169-00.12.08.750,Nantz heads down the hill.,heads
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.47.05.602-01.47.09.085,"SOMEONE watches the drones, which spin out of control as they descend.",spin
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.06.169-00.12.08.750,Nantz heads down the hill.,heads down
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.48.12.583-01.48.16.599,Sunlight shines behind Nantz unit silhouetting them as they stand amidst the rubble and stare at the destroyed vessel.,silhouetting
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.17.000-00.12.19.606,They halt on Nantz hand signal.,halt
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.48.54.083-01.48.58.427,A commanding Marine heads over to them.,commanding
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.17.000-00.12.19.606,They halt on Nantz hand signal.,halt on
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men hop out of the vehicles.,hop
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.49.30.752-01.49.38.721,The staff sergeant eyes a supply of bullets and a stack of ammunition magazines sitting on a table.,sitting
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men hop out of the vehicles.,hop out
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_01.49.44.948-01.49.50.409,"As Nantz fills the magazine, the others and his unit watch with disbelieving eyes.",watch
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.12.19.606-00.12.22.488,Two men hop out of the vehicles.,hop out of
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3015_CHARLIE_ST_CLOUD_00.04.08.764-00.04.12.510,"From a deck, the two brothers watch heading out to sea.",watch
