Title,Description,Keywords,clip,sent,phrase,Answer.answer,Answer.bad_sent,Answer.commentbox,Answer.question
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping,no,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping,yes,True,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing,yes,,{},"Nantz shoots it, causing liquid to spurt out."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing,yes,,{},"Nantz shoots it, causing liquid to spurt out."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing,yes,,{},"Nantz shoots it, causing liquid to spurt out."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing,yes,,{},"Nantz shoots it, causing liquid to spurt out."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.19.928-00.49.23.614,"Nantz shoots it, causing liquid to spurt out.",causing,yes,,{},"Nantz shoots it, causing liquid to spurt out."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with,yes,True,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.09.722-00.03.14.495,"Altogether, his face dripping with sweat.",dripping with,yes,,{},"Altogether, his face dripping with sweat."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag,yes,,{},They drag the alien inside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag,yes,,{},They drag the alien inside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag,yes,,{},They drag the alien inside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag,no,,{},They drag the alien inside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.31.000-00.49.37.590,They drag the alien inside.,drag,yes,,{},They drag the alien inside.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",watch,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.49.53.127-00.49.57.718,"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus.",climb,yes,,{},"On the roof, Kerns and Lockett watch through their scopes as Harris and Stavrou climb on to the bus."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",turns to,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open,yes,,{},"In the station, Nantz slices open the alien's chest."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open,yes,,{},"In the station, Nantz slices open the alien's chest."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open,yes,,{},"In the station, Nantz slices open the alien's chest."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open,yes,,{},"In the station, Nantz slices open the alien's chest."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.50.18.794-00.50.26.732,"In the station, Nantz slices open the alien's chest.",open,yes,,{},"In the station, Nantz slices open the alien's chest."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging,no,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through,yes,,{},"Now Imlay moves down a hall, peering through his rifles."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through,yes,,{},"Now Imlay moves down a hall, peering through his rifles."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through,yes,,{},"Now Imlay moves down a hall, peering through his rifles."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through,yes,,{},"Now Imlay moves down a hall, peering through his rifles."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.07.291-00.52.14.908,"Now Imlay moves down a hall, peering through his rifles.",peering through,yes,True,{},"Now Imlay moves down a hall, peering through his rifles."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings,no,,{},"At the end of Imlay hall, a door swings slightly."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings,yes,,{},"At the end of Imlay hall, a door swings slightly."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings,yes,,{},"At the end of Imlay hall, a door swings slightly."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings,no,,{},"At the end of Imlay hall, a door swings slightly."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.33.982-00.52.36.658,"At the end of Imlay hall, a door swings slightly.",swings,yes,,{},"At the end of Imlay hall, a door swings slightly."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by,yes,True,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.15.401-00.03.16.441,"Later, Nantz turns to two younger Marines hanging out by the car next to his.",hanging out by,yes,,{},"Later, Nantz turns to two younger Marines hanging out by the car next to his."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing,yes,,{},"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing,yes,,{},"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing,yes,,{},"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing,yes,,{},"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.52.41.000-00.52.48.147,"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac.",revealing,yes,,{},"Nantz pulls away a thin stretchy layer of the alien's body, revealing a large watery sac."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises,yes,,{},One raises his sports drink in a toast.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises,yes,,{},One raises his sports drink in a toast.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises,no,,{},One raises his sports drink in a toast.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises,yes,,{},One raises his sports drink in a toast.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.16.441-00.03.18.600,One raises his sports drink in a toast.,raises,no,,{},One raises his sports drink in a toast.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises,yes,,{},"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises,yes,,{},"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises,yes,,{},"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises,yes,,{},"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.03.20.468-00.03.29.147,"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee.",raises,yes,,{},"Nantz takes a bag of ice from a cooler, raises it in reply, then holds the ice to his knee."
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed,yes,,{},John eyes Nantz signed request.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed,yes,,{},John eyes Nantz signed request.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed,yes,,{},John eyes Nantz signed request.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed,yes,,{},John eyes Nantz signed request.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.50.000-00.04.56.050,John eyes Nantz signed request.,signed,yes,,{},John eyes Nantz signed request.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares,yes,,{},Nantz stares stoically.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares,yes,,{},Nantz stares stoically.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares,yes,,{},Nantz stares stoically.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares,yes,,{},Nantz stares stoically.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.04.57.836-00.04.59.447,Nantz stares stoically.,stares,yes,,{},Nantz stares stoically.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab,yes,,{},Santos and Nantz grab their gear.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab,yes,,{},Santos and Nantz grab their gear.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab,yes,,{},Santos and Nantz grab their gear.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab,yes,,{},Santos and Nantz grab their gear.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.53.18.541-00.53.21.704,Santos and Nantz grab their gear.,grab,yes,,{},Santos and Nantz grab their gear.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.54.27.077-00.54.32.904,Martinez wipes his brow with a gloved finger and stares out the windshield.,wipes,yes,,{},Martinez wipes his brow with a gloved finger and stares out the windshield.
video sentence evaluation,Determine if sentence matches the video,"video, language, evaluation",3009_BATTLE_LOS_ANGELES_00.54.27.077-00.54.32.904,Martinez wipes his brow with a gloved finger and stares out the windshield.,wipes,yes,,{},Martinez wipes his brow with a gloved finger and stares out the windshield.
