Title,Description,Keywords,qID,attr1,attr1_neg,attr1_pos,attr2,attr2_neg,attr2_pos,Answer.answer_value,Answer.objects,Answer.qID
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",4,age,new,old,clarity,clear,obscure,3,"a diamond, glass",4
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",4,age,new,old,clarity,clear,obscure,2,"fresh flowers, old book",4
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",5,age,new,old,cleanness,clean,dirty,1,"new toy, vintage toy",5
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",5,age,new,old,cleanness,clean,dirty,-2,People,5
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",5,age,new,old,cleanness,clean,dirty,2,"bag, shoes",5
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",6,age,new,old,complexity,complex,simple,2,pyramid,6
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",6,age,new,old,complexity,complex,simple,-2,An old person,6
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",408,length,long,short,odor,strong,weak,3,a fart,408
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",409,length,long,short,pressure,high,low,0,A long hose has less water pressure than a short one.,409
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",7,age,new,old,cost,expensive,cheap,-2,"antique painting, modern painting",7
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",7,age,new,old,cost,expensive,cheap,3,Computers,7
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",7,age,new,old,cost,expensive,cheap,3,bag,7
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",8,age,new,old,density,dense,sparse,1,"a blanket, knit goods",8
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",8,age,new,old,density,dense,sparse,2,"bones, tree trunk",8
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",411,length,long,short,shape,"sharp, spiky","round, flat",2,ball bat,411
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",411,length,long,short,shape,"sharp, spiky","round, flat",2,baseball bat,411
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",208,complexity,complex,simple,speed,fast,slow,2,"rockets, airplanes",208
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",412,length,long,short,size,large,small,2,"telephone pole, pen, boat",412
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",412,length,long,short,size,large,small,3,"Wooden boards, metal rods",412
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",412,length,long,short,size,large,small,2,ruler,412
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",9,age,new,old,depth,deep,shallow,-1,"trenches, holes",9
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",209,complexity,complex,simple,stability,stable,unstable,0,na,209
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",209,complexity,complex,simple,stability,stable,unstable,-3,"electronics, protons, electrons",209
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",209,complexity,complex,simple,stability,stable,unstable,3,health and childbirth,209
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",413,length,long,short,sound,loud,quiet,1,tunnel,413
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",10,age,new,old,distance,far,near,-2,old memories seem further away,10
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",10,age,new,old,distance,far,near,3,humans,10
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",210,complexity,complex,simple,strength,strong,weak,1,complex arguments can be stronger,210
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",414,length,long,short,sound pitch,high,low,2,music sheets with instruments,414
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",414,length,long,short,sound pitch,high,low,1,keys on a keyboard,414
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",211,complexity,complex,simple,temperature,high,low,0,na,211
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",11,age,new,old,electric conductivity,high,low,2,breaker box,11
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",11,age,new,old,electric conductivity,high,low,-1,Electrical resistors,11
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",415,length,long,short,speed,fast,slow,3,"car, road",415
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",415,length,long,short,speed,fast,slow,-2,"Throwing rocks, throwing water balloons",415
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",12,age,new,old,flexibility,flexible,rigid,2,Fresh bread.,12
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",12,age,new,old,flexibility,flexible,rigid,2,Bread,12
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",12,age,new,old,flexibility,flexible,rigid,-2,"a person, taffy",12
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",212,complexity,complex,simple,texture,rough,smooth,3,"a sweater, a painting, sandpaper",212
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",212,complexity,complex,simple,texture,rough,smooth,-1,"fabrics, leathers",212
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",416,length,long,short,stability,stable,unstable,-1,"50' pipe, 5' pipe",416
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",416,length,long,short,stability,stable,unstable,-3,"a rope, an ethernet cable",416
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",416,length,long,short,stability,stable,unstable,-1,"Rope, chain, tape",416
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",213,complexity,complex,simple,thermal conductivity,high,low,1,"low volume, high thread count sheet",213
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",13,age,new,old,granularity,coarse,fine,-2,"an old painting, a vase",13
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",417,length,long,short,strength,strong,weak,3,"a chain, a rope",417
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",417,length,long,short,strength,strong,weak,2,Rope,417
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",14,age,new,old,hardness,hard,soft,3,human hands,14
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",14,age,new,old,hardness,hard,soft,-2,"sapling, 100 year old tree",14
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",14,age,new,old,hardness,hard,soft,-2,candy,14
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",214,complexity,complex,simple,thickness,thick,thin,1,"complex thoughts feel ""thicker"" and more substantial",214
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",15,age,new,old,length,long,short,-2,Trees,15
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",15,age,new,old,length,long,short,2,"burning candles, burning matches",15
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",418,length,long,short,temperature,high,low,-2,hot water through a short pipe vs hot water through a long pipe. the longer the pipe the cooler the water is when it reaches you,418
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",419,length,long,short,texture,rough,smooth,1,"whisker stubble, long beard",419
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",215,complexity,complex,simple,volume,large,small,0,"pimple, money, kindness",215
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",215,complexity,complex,simple,volume,large,small,1,"math equations, childrens book",215
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",215,complexity,complex,simple,volume,large,small,2,math problem,215
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",420,length,long,short,thermal conductivity,high,low,1,long hair,420
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",16,age,new,old,magnitude,large,small,3,a wahle,16
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",16,age,new,old,magnitude,large,small,-2,"a baby, a grown adult",16
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",422,length,long,short,volume,large,small,1,3 mile river,422
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",422,length,long,short,volume,large,small,0,long hose,422
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",422,length,long,short,volume,large,small,3,"Metal rods, rocks",422
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",17,age,new,old,mass,large,small,0,na,17
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",17,age,new,old,mass,large,small,-3,"computers, airplanes",17
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",423,length,long,short,weight,heavy,light,1,"ruler, 2x4 board",423
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",423,length,long,short,weight,heavy,light,3,"a rope on a ship, someone's long hair",423
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",423,length,long,short,weight,heavy,light,3,plane,423
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",218,cost,expensive,cheap,density,dense,sparse,3,fudge,218
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",218,cost,expensive,cheap,density,dense,sparse,3,Density can be a factor in high pricing.,218
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",18,age,new,old,odor,strong,weak,-3,"gym socks, a new shirt",18
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",18,age,new,old,odor,strong,weak,3,"Athletes, Elderly People, Rubber Bands",18
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",18,age,new,old,odor,strong,weak,-2,"vegetables, cucumber",18
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",219,cost,expensive,cheap,depth,deep,shallow,3,pool for house,219
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",424,length,long,short,width,wide,narrow,1,Most objects have this quality or they would break apart,424
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",424,length,long,short,width,wide,narrow,2,house,424
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",19,age,new,old,pressure,high,low,2,plumbing and fixtures,19
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",425,magnitude,large,small,mass,large,small,1,things large in magnitude are sometimes larger (higher magnitude hurricane = larger hurricane),425
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",425,magnitude,large,small,mass,large,small,3,"planet, moon",425
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",425,magnitude,large,small,mass,large,small,2,Anything with a uniform mass,425
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",220,cost,expensive,cheap,distance,far,near,0,na,220
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",220,cost,expensive,cheap,distance,far,near,-3,"Airplane Expenses Travel, Walking Travel",220
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",220,cost,expensive,cheap,distance,far,near,3,"Watch, Jacket, Purse, Mars, and Glasses.",220
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",20,age,new,old,resistance,high,low,1,"cars, electronics, clothes",20
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",221,cost,expensive,cheap,electric conductivity,high,low,1,"Amplifiers, stereos",221
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",21,age,new,old,shape,"sharp, spiky","round, flat",2,Knife,21
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",21,age,new,old,shape,"sharp, spiky","round, flat",2,"Pencil tips, Drawing Nibs, Cleavers",21
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",427,magnitude,large,small,pressure,high,low,2,"a volcano, a hurricaine",427
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",427,magnitude,large,small,pressure,high,low,3,volcano,427
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",427,magnitude,large,small,pressure,high,low,2,temperature,427
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",428,magnitude,large,small,resistance,high,low,1,"carnival tent, small 1 person tent",428
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",428,magnitude,large,small,resistance,high,low,1,"resistors, transistors",428
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",222,cost,expensive,cheap,flexibility,flexible,rigid,-3,phones,222
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",222,cost,expensive,cheap,flexibility,flexible,rigid,3,airline tickets,222
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",429,magnitude,large,small,shape,"sharp, spiky","round, flat",1,"elephant, mountain, house",429
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",22,age,new,old,size,large,small,3,"puppy, turtle, plant, infant",22
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",22,age,new,old,size,large,small,3,"car, shoe",22
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",430,magnitude,large,small,size,large,small,3,"ocean, rivers",430
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",430,magnitude,large,small,size,large,small,3,earthquake,430
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",430,magnitude,large,small,size,large,small,3,Everything,430
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",23,age,new,old,sound,loud,quiet,3,"speakers, a horn in a car engine",23
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",23,age,new,old,sound,loud,quiet,2,Speakers,23
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",23,age,new,old,sound,loud,quiet,1,bells,23
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",431,magnitude,large,small,sound,loud,quiet,2,"huge concerts, small weddings",431
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",431,magnitude,large,small,sound,loud,quiet,3,"A motor, an animal",431
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",431,magnitude,large,small,sound,loud,quiet,3,"speaker, amplifier",431
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",24,age,new,old,sound pitch,high,low,1,"younger boys (""new"") have higher pitched voices vs men",24
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",24,age,new,old,sound pitch,high,low,0,n.a,24
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",25,age,new,old,speed,fast,slow,0,na,25
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",25,age,new,old,speed,fast,slow,3,"electronics, people",25
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",25,age,new,old,speed,fast,slow,3,"new car, old person",25
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",223,cost,expensive,cheap,granularity,coarse,fine,1,"wig,brush, blanket",223
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",223,cost,expensive,cheap,granularity,coarse,fine,0,na,223
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",432,magnitude,large,small,sound pitch,high,low,2,"guitar, piano",432
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",432,magnitude,large,small,sound pitch,high,low,1,Guitars,432
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",26,age,new,old,stability,stable,unstable,1,"elderly person, 20 year old person",26
How are two physical attributes associated ?,"Given two physical attributes (e.g., weight & speed), rate how the attributes are positively or negatively associated.","commonsense, physics, intuition",26,age,new,old,stability,stable,unstable,2,"brand new piece of furniture, old table",26
