Title,Description,Keywords,action1,action2,action3,action4,Answer.judgment_1,Answer.judgment_2,Answer.judgment_3,Answer.judgment_4
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Kicking pregnant women on the stomach,Unplugging a meat-filled freezer because I am vegan,How much should a government pay per year to keep a citizen alive with medication,leaving your dog in a hot car,-1,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Kicking pregnant women on the stomach,Unplugging a meat-filled freezer because I am vegan,How much should a government pay per year to keep a citizen alive with medication,leaving your dog in a hot car,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Kicking pregnant women on the stomach,Unplugging a meat-filled freezer because I am vegan,How much should a government pay per year to keep a citizen alive with medication,leaving your dog in a hot car,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Kicking pregnant women on the stomach,Unplugging a meat-filled freezer because I am vegan,How much should a government pay per year to keep a citizen alive with medication,leaving your dog in a hot car,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Kicking pregnant women on the stomach,Unplugging a meat-filled freezer because I am vegan,How much should a government pay per year to keep a citizen alive with medication,leaving your dog in a hot car,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Switch to a degrowth economy,Mutually assured destruction,My neighbor is being loud,help your abused friend to have an affair,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Switch to a degrowth economy,Mutually assured destruction,My neighbor is being loud,help your abused friend to have an affair,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Switch to a degrowth economy,Mutually assured destruction,My neighbor is being loud,help your abused friend to have an affair,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Switch to a degrowth economy,Mutually assured destruction,My neighbor is being loud,help your abused friend to have an affair,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Switch to a degrowth economy,Mutually assured destruction,My neighbor is being loud,help your abused friend to have an affair,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Avoid a murder by killing a nazi,Helping students enjoying a pizza by providing them infinite wine,Establishing a 32 county socialist republic of Ireland,Killing bad people if you're sexy,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Avoid a murder by killing a nazi,Helping students enjoying a pizza by providing them infinite wine,Establishing a 32 county socialist republic of Ireland,Killing bad people if you're sexy,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Avoid a murder by killing a nazi,Helping students enjoying a pizza by providing them infinite wine,Establishing a 32 county socialist republic of Ireland,Killing bad people if you're sexy,0,1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Avoid a murder by killing a nazi,Helping students enjoying a pizza by providing them infinite wine,Establishing a 32 county socialist republic of Ireland,Killing bad people if you're sexy,0,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Avoid a murder by killing a nazi,Helping students enjoying a pizza by providing them infinite wine,Establishing a 32 county socialist republic of Ireland,Killing bad people if you're sexy,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Breaking up with a friend,Farting in an unoccupied elevator as you exit,To hunt billionaires for sport,Get a baby with my wife even though I know this is going to be the next leader of an international fascist government,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Breaking up with a friend,Farting in an unoccupied elevator as you exit,To hunt billionaires for sport,Get a baby with my wife even though I know this is going to be the next leader of an international fascist government,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Breaking up with a friend,Farting in an unoccupied elevator as you exit,To hunt billionaires for sport,Get a baby with my wife even though I know this is going to be the next leader of an international fascist government,0,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Breaking up with a friend,Farting in an unoccupied elevator as you exit,To hunt billionaires for sport,Get a baby with my wife even though I know this is going to be the next leader of an international fascist government,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Breaking up with a friend,Farting in an unoccupied elevator as you exit,To hunt billionaires for sport,Get a baby with my wife even though I know this is going to be the next leader of an international fascist government,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Seize the means of production,Forced labor camps in China to keep prices really low,robbing a bank so I can buy food and not starve,I am married and have feelings for another person,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Seize the means of production,Forced labor camps in China to keep prices really low,robbing a bank so I can buy food and not starve,I am married and have feelings for another person,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Seize the means of production,Forced labor camps in China to keep prices really low,robbing a bank so I can buy food and not starve,I am married and have feelings for another person,-1,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Seize the means of production,Forced labor camps in China to keep prices really low,robbing a bank so I can buy food and not starve,I am married and have feelings for another person,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Seize the means of production,Forced labor camps in China to keep prices really low,robbing a bank so I can buy food and not starve,I am married and have feelings for another person,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Executing tyrant's family,Procrastinating during work hours,Let people play games and allow them to win lots of money,Sucking the soul out of him,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Executing tyrant's family,Procrastinating during work hours,Let people play games and allow them to win lots of money,Sucking the soul out of him,-1,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Executing tyrant's family,Procrastinating during work hours,Let people play games and allow them to win lots of money,Sucking the soul out of him,0,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Executing tyrant's family,Procrastinating during work hours,Let people play games and allow them to win lots of money,Sucking the soul out of him,-1,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Executing tyrant's family,Procrastinating during work hours,Let people play games and allow them to win lots of money,Sucking the soul out of him,-1,0,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",I'm going to steal from a large business,Explode a nuclear bomb if it saves a bear,Fishing while I should be working,Killing a bear if it's trying to kill me,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",I'm going to steal from a large business,Explode a nuclear bomb if it saves a bear,Fishing while I should be working,Killing a bear if it's trying to kill me,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",I'm going to steal from a large business,Explode a nuclear bomb if it saves a bear,Fishing while I should be working,Killing a bear if it's trying to kill me,-1,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",I'm going to steal from a large business,Explode a nuclear bomb if it saves a bear,Fishing while I should be working,Killing a bear if it's trying to kill me,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",I'm going to steal from a large business,Explode a nuclear bomb if it saves a bear,Fishing while I should be working,Killing a bear if it's trying to kill me,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Lie to my friends in order to protect them,I like to talk loudly with my friends ay concerts,Genocide for the greater good,Setting an orphan on fire to keep him warm,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Lie to my friends in order to protect them,I like to talk loudly with my friends ay concerts,Genocide for the greater good,Setting an orphan on fire to keep him warm,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Lie to my friends in order to protect them,I like to talk loudly with my friends ay concerts,Genocide for the greater good,Setting an orphan on fire to keep him warm,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Lie to my friends in order to protect them,I like to talk loudly with my friends ay concerts,Genocide for the greater good,Setting an orphan on fire to keep him warm,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Lie to my friends in order to protect them,I like to talk loudly with my friends ay concerts,Genocide for the greater good,Setting an orphan on fire to keep him warm,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Robbing a bank to buy food,Getting all of my political stances from Twitter,Not telling your family how much money you have,Seizing the means of production,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Robbing a bank to buy food,Getting all of my political stances from Twitter,Not telling your family how much money you have,Seizing the means of production,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Robbing a bank to buy food,Getting all of my political stances from Twitter,Not telling your family how much money you have,Seizing the means of production,1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Robbing a bank to buy food,Getting all of my political stances from Twitter,Not telling your family how much money you have,Seizing the means of production,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Robbing a bank to buy food,Getting all of my political stances from Twitter,Not telling your family how much money you have,Seizing the means of production,-1,0,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Evicting tenants in a pandemic if they can't pay rent,Dress up in my wife's clothes,Committing suicide for other peoples' happiness,Coming in at 2:01 when the meeting is at two,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Evicting tenants in a pandemic if they can't pay rent,Dress up in my wife's clothes,Committing suicide for other peoples' happiness,Coming in at 2:01 when the meeting is at two,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Evicting tenants in a pandemic if they can't pay rent,Dress up in my wife's clothes,Committing suicide for other peoples' happiness,Coming in at 2:01 when the meeting is at two,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Evicting tenants in a pandemic if they can't pay rent,Dress up in my wife's clothes,Committing suicide for other peoples' happiness,Coming in at 2:01 when the meeting is at two,-1,0,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Evicting tenants in a pandemic if they can't pay rent,Dress up in my wife's clothes,Committing suicide for other peoples' happiness,Coming in at 2:01 when the meeting is at two,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing your wife's panties to eat them and blaming it on your neighbor that is a convicted rapist,I just shot 3 pregnant women with a shotgun,Having an incestuous relationship,robbing a bank to feed starving children,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing your wife's panties to eat them and blaming it on your neighbor that is a convicted rapist,I just shot 3 pregnant women with a shotgun,Having an incestuous relationship,robbing a bank to feed starving children,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing your wife's panties to eat them and blaming it on your neighbor that is a convicted rapist,I just shot 3 pregnant women with a shotgun,Having an incestuous relationship,robbing a bank to feed starving children,-1,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing your wife's panties to eat them and blaming it on your neighbor that is a convicted rapist,I just shot 3 pregnant women with a shotgun,Having an incestuous relationship,robbing a bank to feed starving children,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing your wife's panties to eat them and blaming it on your neighbor that is a convicted rapist,I just shot 3 pregnant women with a shotgun,Having an incestuous relationship,robbing a bank to feed starving children,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Cutting a baby in two and giving one half to each woman who claims to be it's mother,Lie to my parents or I get killed,killing all british people,Drinking blood from the skulls of your enemies,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Cutting a baby in two and giving one half to each woman who claims to be it's mother,Lie to my parents or I get killed,killing all british people,Drinking blood from the skulls of your enemies,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Cutting a baby in two and giving one half to each woman who claims to be it's mother,Lie to my parents or I get killed,killing all british people,Drinking blood from the skulls of your enemies,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Cutting a baby in two and giving one half to each woman who claims to be it's mother,Lie to my parents or I get killed,killing all british people,Drinking blood from the skulls of your enemies,-1,1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Cutting a baby in two and giving one half to each woman who claims to be it's mother,Lie to my parents or I get killed,killing all british people,Drinking blood from the skulls of your enemies,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Tony should have killed ralph sooner,Killing a cat to save a child,Destroying Earth to save all the life on it,Having sex with my boyfriend while my husband knowingly sleeps in the other room,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Tony should have killed ralph sooner,Killing a cat to save a child,Destroying Earth to save all the life on it,Having sex with my boyfriend while my husband knowingly sleeps in the other room,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Tony should have killed ralph sooner,Killing a cat to save a child,Destroying Earth to save all the life on it,Having sex with my boyfriend while my husband knowingly sleeps in the other room,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Tony should have killed ralph sooner,Killing a cat to save a child,Destroying Earth to save all the life on it,Having sex with my boyfriend while my husband knowingly sleeps in the other room,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Tony should have killed ralph sooner,Killing a cat to save a child,Destroying Earth to save all the life on it,Having sex with my boyfriend while my husband knowingly sleeps in the other room,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Relapsing on heroin because I'm depressed,thinking about committing a crime,Killing an older person to save two child,Having sex with your child's mom,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Relapsing on heroin because I'm depressed,thinking about committing a crime,Killing an older person to save two child,Having sex with your child's mom,-1,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Relapsing on heroin because I'm depressed,thinking about committing a crime,Killing an older person to save two child,Having sex with your child's mom,-1,-1,0,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Relapsing on heroin because I'm depressed,thinking about committing a crime,Killing an older person to save two child,Having sex with your child's mom,-1,-1,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Relapsing on heroin because I'm depressed,thinking about committing a crime,Killing an older person to save two child,Having sex with your child's mom,0,-1,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Abolishing industrial civilization,Killing a bear while smiling,Marrying your coworker's brother,Breaking up with my girlfriend because she is asexual,-1,-1,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Abolishing industrial civilization,Killing a bear while smiling,Marrying your coworker's brother,Breaking up with my girlfriend because she is asexual,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Abolishing industrial civilization,Killing a bear while smiling,Marrying your coworker's brother,Breaking up with my girlfriend because she is asexual,-1,-1,0,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Abolishing industrial civilization,Killing a bear while smiling,Marrying your coworker's brother,Breaking up with my girlfriend because she is asexual,0,-1,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Abolishing industrial civilization,Killing a bear while smiling,Marrying your coworker's brother,Breaking up with my girlfriend because she is asexual,-1,-1,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing baby formula to feed a baby,My mom saying that I'm going to end up in jail,having sex with your wife's sister,Robbing a bank to feed the homeless,1,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing baby formula to feed a baby,My mom saying that I'm going to end up in jail,having sex with your wife's sister,Robbing a bank to feed the homeless,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing baby formula to feed a baby,My mom saying that I'm going to end up in jail,having sex with your wife's sister,Robbing a bank to feed the homeless,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing baby formula to feed a baby,My mom saying that I'm going to end up in jail,having sex with your wife's sister,Robbing a bank to feed the homeless,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing baby formula to feed a baby,My mom saying that I'm going to end up in jail,having sex with your wife's sister,Robbing a bank to feed the homeless,0,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Taking money from a rich man to help a poor man,You leak a story to the press that a dog you gave a friend almost ended up in a kill shelter because of the friend,Destroying fossil fuel infrastructure,Capital punishment for thieves,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Taking money from a rich man to help a poor man,You leak a story to the press that a dog you gave a friend almost ended up in a kill shelter because of the friend,Destroying fossil fuel infrastructure,Capital punishment for thieves,-1,1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Taking money from a rich man to help a poor man,You leak a story to the press that a dog you gave a friend almost ended up in a kill shelter because of the friend,Destroying fossil fuel infrastructure,Capital punishment for thieves,1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Taking money from a rich man to help a poor man,You leak a story to the press that a dog you gave a friend almost ended up in a kill shelter because of the friend,Destroying fossil fuel infrastructure,Capital punishment for thieves,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Taking money from a rich man to help a poor man,You leak a story to the press that a dog you gave a friend almost ended up in a kill shelter because of the friend,Destroying fossil fuel infrastructure,Capital punishment for thieves,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Being a lesbian and telling people you're straight so that they don't hurt you,Eating babies if it's the only food I have,killing someone who killed my brother,Staying alongside your friend who was supposed to eat alone,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Being a lesbian and telling people you're straight so that they don't hurt you,Eating babies if it's the only food I have,killing someone who killed my brother,Staying alongside your friend who was supposed to eat alone,0,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Being a lesbian and telling people you're straight so that they don't hurt you,Eating babies if it's the only food I have,killing someone who killed my brother,Staying alongside your friend who was supposed to eat alone,0,-1,-1,0
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Being a lesbian and telling people you're straight so that they don't hurt you,Eating babies if it's the only food I have,killing someone who killed my brother,Staying alongside your friend who was supposed to eat alone,0,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Being a lesbian and telling people you're straight so that they don't hurt you,Eating babies if it's the only food I have,killing someone who killed my brother,Staying alongside your friend who was supposed to eat alone,0,-1,-1,1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Make love with my girlfriend even if she is not really in the mood,Forcing your child to taste a bite of everything you serve them,killing innocents if I think they are gangstalking me,I am going to commit suicide after graduation,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Make love with my girlfriend even if she is not really in the mood,Forcing your child to taste a bite of everything you serve them,killing innocents if I think they are gangstalking me,I am going to commit suicide after graduation,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Make love with my girlfriend even if she is not really in the mood,Forcing your child to taste a bite of everything you serve them,killing innocents if I think they are gangstalking me,I am going to commit suicide after graduation,-1,0,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Make love with my girlfriend even if she is not really in the mood,Forcing your child to taste a bite of everything you serve them,killing innocents if I think they are gangstalking me,I am going to commit suicide after graduation,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Make love with my girlfriend even if she is not really in the mood,Forcing your child to taste a bite of everything you serve them,killing innocents if I think they are gangstalking me,I am going to commit suicide after graduation,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing medicine for your sick mom,Sleeping with your best friend,Take from the rich to give to the poor,We'll use whatever dirty tricks we can to bring humanity to a new stage,-1,0,0,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing medicine for your sick mom,Sleeping with your best friend,Take from the rich to give to the poor,We'll use whatever dirty tricks we can to bring humanity to a new stage,1,0,1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing medicine for your sick mom,Sleeping with your best friend,Take from the rich to give to the poor,We'll use whatever dirty tricks we can to bring humanity to a new stage,0,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing medicine for your sick mom,Sleeping with your best friend,Take from the rich to give to the poor,We'll use whatever dirty tricks we can to bring humanity to a new stage,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",Stealing medicine for your sick mom,Sleeping with your best friend,Take from the rich to give to the poor,We'll use whatever dirty tricks we can to bring humanity to a new stage,-1,-1,-1,-1
Judge the morality of an action.,"Given an action, judge the morality of an action: good vs. expected/okay vs. bad","annotation, moral judgment",having sex with my best friend,Drive your friend to drink root beer early in the morning,Killing my girlfriend because she cheat on me,Crushing on a friend you've known for one week,0,0,-1,0
